id,author,work_title,title,section,text,word_count,language
1,Bonifacius 1. (Papst),Briefe des heiligen Bonifacius 1.,Briefe des heiligen Bonifacius I.,1,XLII. Der heilige Bonifacius I. (vom 28. Decemb. 418 — 4. Sept. 422).1,13,deutsch
2,Bonifacius 1. (Papst),Briefe des heiligen Bonifacius 1.,Briefe des heiligen Bonifacius I.,2,"Bonifacius übernahm von seinem Vorgänger den Streit mit den Bischöfen Africas über die Appellation, welcher erst unter seinem Nachfolger Cölestinus beendigt wurde. Das zwischen Bonifacius und Eulalius entstandene Schisma wurde durch kaiserlichen Spruch, der allerdings auf dem wahrheitsgetreuen Bericht des römischen Klerus beruhte, entschieden und führte eine, freilich wieder durch die Interpellation des Papstes veranlaßte Stellung des weltlichen Regimentes zur Papstwahl herbei, welche dieser und der Kirche gefährlich und schädlich werden mußte, sobald die späteren Kaiser sich nicht mehr als Schutzherren, sondern als Herren der Kirche in die Papstwahl einmengten.",90,deutsch
3,Bonifacius 1. (Papst),Briefe des heiligen Bonifacius 1.,Briefe des heiligen Bonifacius I.,3,"Die bereits auskeimenden ehrgeizigen Pläne der Bischöfe von Constantinopel wußte Bonifacius durch Energie und Wachsamkeit zu vereiteln. Die zum Schaden der übrigen Kirchen Galliens ungebührlich ausgedehnte Macht des Bischofs Patroclus von Arles wies er wieder in die gehörigen Schranken zurück. Aus einem Schreiben des heiligen Augustinus an Bonifacius ersehen wir, daß Beide einen schriftlichen und freundschaftlichen Verkehr unterhielten, und verdanken wir demselben die Abfassung von vier gegen die Pelagianer gerichteten Büchern dnrch den heil. Angustinus.",75,deutsch
4,Bonifacius 1. (Papst),Briefe des heiligen Bonifacius 1.,Briefe des heiligen Bonifacius I.,4,"Von den echten Schreiben dieses Papstes nahm Pseudoisidor vier in seine Sammlung auf. Ausserdem existiren Fragmente zweier unechter Briefe, im Pontificalbuche zwei ihm zugetheilte Decrete, bei Gratian ausser den den echten Schreiben entlehnten noch sieben unter dem Namen eines Papstes Bonifacius, in der Sammlung von fünf Büchern zwei Decrete.",49,deutsch
5,Bonifacius 1. (Papst),Briefe des heiligen Bonifacius 1.,Briefe des heiligen Bonifacius 1.,1,"Nach dem Tode des Papstes Zosimus wählte eine kleine Partei den Archidiakon Eulalius, der größere Theil des Klerus und Volkes den Bonifacius. Die Eulalianer schleppten sogar den todkranken Bischof von Ostia, der zur Ordination des Bischofs von Rom berechtigt war, mit Gewalt herbei und suchten durch den Stadtpräfecten Symmachus die Bestätigung ihres Candidaten vom Kaiser zu erlangen.",57,deutsch
6,Bonifacius 1. (Papst),Briefe des heiligen Bonifacius 1.,Briefe des heiligen Bonifacius 1.,2,"Symmachus berichtete auch unter dem 29. December 418 an den Kaiser Honorius, daß Eulalius ordnungsgemäß zum Papste gewählt worden sei, Bonifacius aber allem Gesetze und aller Gewohnheit zuwider. Honorius ließ sich durch diesen Bericht täuschen und bestätigte in einem Reseript vom 3.",42,deutsch
7,Bonifacius 1. (Papst),Briefe des heiligen Bonifacius 1.,Briefe des heiligen Bonifacius 1.,3,"Jän-ner 419 an Symmachus die Wahl des Eulalius, Bonifacius aber solle Rom verlassen, im Nothfalle mit Gewalt entfernt werden. Hierauf beklagt sich Symmachus in einem Schreiben an den Kaiser vom 8. Jänner, daß sich Bonifacius seinen Befehlen widersetzt habe. Nun sendeten die römischen Priester den wahrheitsgetreuen Bericht über die rechtmäßige Wahl des Bonifacius an den Kaiser, welchen derselbe in einem Schreiben an Symmachus vom 15.",65,deutsch
8,Bonifacius 1. (Papst),Briefe des heiligen Bonifacius 1.,Briefe des heiligen Bonifacius 1.,4,Jänner empfangen zu haben bestätigt; demnach ist unser Brief in der ersten Hälfte des Jänner 419 abgefaßt.,17,deutsch
9,Bonifacius 1. (Papst),Briefe des heiligen Bonifacius 1.,Briefe des heiligen Bonifacius 1.,1,"1. Wir kommen mit einer Bitte zu euerer Milde, gottesfürchtigste und gnädigste Kaiser Honorius und Theodosius. Nach dem Hinscheiden des heil. Zosimus, des Papstes der katholischen Kirche der Stadt Rom, traten nach hergebrachter Sitte und dem Gesetze der kirchlichen Disciplin selbst gemäß wir Priester in größerer Anzahl zusammen, um über die Aufstellung eines Nachfolgers gemeinschaftlich zu verhandeln.",57,deutsch
10,Bonifacius 1. (Papst),Briefe des heiligen Bonifacius 1.,Briefe des heiligen Bonifacius 1.,2,"Da jedoch die lateranensische Kirche, deren Eingänge fast gänzlich verrammelt waren, der Archidiakon Eulalius, nachdem er das Leichenbegängniß des höchsten Priesters freventlich hintangesetzt hatte,1mit Diakonen, sehr wenigen Priestern und einer aufgeregten Volksmasse besetzt hielt, so giengen wir am nächsten Tage (28.",41,deutsch
