id,author,work_title,title,section,text,word_count,language
1,Clemens von Alexandrien,Paidagogos,Paidagogos,1,". Gelegt ist, ihr Kinder, der Grund der Wahrheit für uns selbst, das unerschütterliche Fundament der Erkenntnis des heiligen Tempels des großen Gottes, eine herrliche Ermahnung, ein Streben nach ewigem Leben durch vernunftgemäßen Gehorsam, auf geistigem Boden errichtet. Da sich nun bei dem Menschen diese drei finden, Gesinnungen, Handlungen, Gemütsbewegungen, so hat das ermahnende1Wort die Gesinnungen des Menschen als sein Arbeitsfeld zugeteilt erhalten, als ein Führer zur Gottesfurcht; wie ein Schiffskiel bildet es die Unterlage für den Bau des Glaubens; in großer Freude über dieses Wort sagen wir uns feierlich von dem alten Wahn los und werden jung für das Heil, indem wir in das Loblied des Propheten einstimmen: „Wie gütig ist Gott gegen Israel, gegen die, welche geraden Herzens sind! 2",122,deutsch
2,Clemens von Alexandrien,Paidagogos,Paidagogos,2,"2. Die Leitung aller Handlungen aber hat das beratende, und die Gemütsbewegungen heilt das tröstende Wort. Es ist aber dies alles nur ein und dasselbe Wort, das den Menschen aus der ihm von Jugend an vertrauten weltlichen Gewohnheit herausreißt und ihn zu dem einzigartigen Heile des Glaubens an Gott erzieht.",50,deutsch
3,Clemens von Alexandrien,Paidagogos,Paidagogos,3,"3. Der Führer zum Himmel, das Wort, hieß, solange es zum Heile einlud, ermahnend (in besonderem Sinne ist es das Wort, das wegen eines Teils seiner Tätigkeit überhaupt ermunternd genannt wird; denn ermahnendist die ganze Frömmigkeit, insofern sie in dem angeborenen Denkvermögen das Verlangen nach dem jetzigen und dem zukünftigen Leben erzeugt).",52,deutsch
4,Clemens von Alexandrien,Paidagogos,Paidagogos,4,"4. Jetzt aber ist es beides zugleich, sowohl heilend als beratend, indem auf die eine seiner Wirkungen die andere folgt; deshalb gibt es dem, der die Ermahnungen gehört hat, guten Rat und, was die Hauptsache ist, es verspricht die Heilung der in uns vorhandenen Leidenschaften.",45,deutsch
5,Clemens von Alexandrien,Paidagogos,Paidagogos,5,"Wir wollen es aber mit einem einzigen, ihm angemessenen Namen „Erzieher nennen, da es ihm ja darauf ankommt, zum Handeln hinzuführen, nicht grundsätzliche Erwägungen anzustellen, wie es ja auch sein Ziel ist, die Seele besser, nicht sie klüger zu machen und zu einem sittsamen, nicht zu einem gelehrten Leben den Weg zu weisen.",53,deutsch
6,Clemens von Alexandrien,Paidagogos,Paidagogos,6,"Die Unterscheidung zwischen ermahnender, beratender, tröstender und belehrender Rede wird von Seneca, Epist. 95, 65, auf Poseidonios zurückgeführt.",18,deutsch
7,Clemens von Alexandrien,Paidagogos,Paidagogos,1,"1. Freilich hat das gleiche Wort auch die Aufgabe zu lehren, aber nicht jetzt; denn das belehrende Wort hat die Aufgabe, bei der Behandlung der Glaubenssätze zu erklären und zu offenbaren; der Erzieher dagegen, der auf das Handeln gerichtet ist, trieb zuerst zur Bildung eines sittlichen Charakters an; jetzt aber mahnt er auch zur Erfüllung unserer Pflichten, indem er uns die lautersten sittlichen Weisungen gibt und das Beispiel derer, die früher in die Irre gingen, den Späteren vor Augen führt.",80,deutsch
8,Clemens von Alexandrien,Paidagogos,Paidagogos,2,"2. Beides ist vom größten Nutzen, das eine, nämlich die Art, gute Ermahnungen zu geben, mit Rücksicht auf den Gehorsam; das andere, daß man etwas als Beispiel anführt, hat auch seinerseits, ähnlich wie das soeben genannte Paar, einen doppelten Zweck: erstens daß wir das Gute annehmen und nachahmen und zweitens daß wir das andere von uns weisen und ihm aus dem Wege gehen.1",63,deutsch
9,Clemens von Alexandrien,Paidagogos,Paidagogos,1,"1. Heilung der Leidenschaften ist die Folge davon, daß der Erzieher durch die ermutigenden Beispiele die Seelen kräftigt und mit liebevollen Ratschlägen wie mit„lindernden Heilmitteln 1die Kranken zu einem anderen Leben, zu der völligen Erkenntnis der Wahrheit, führt. Gesundheit und Erkenntnis sind aber nicht gleichbedeutend, vielmehr entsteht die eine durch Unterweisung, die andere durch Heilung.",55,deutsch
10,Clemens von Alexandrien,Paidagogos,Paidagogos,2,"2. Ein Kranker kann also nicht früher etwas von den Lehrstoffen gründlich erlernen, bevor er nicht völlig genesen ist. Es wird auch nicht immer jede Lehre in der gleichen Weise den Lernenden und den Kranken vorgetragen, sondern bei den einen zum Zweck der Erkenntnis, bei den andern zum Zweck der Heilung.",51,deutsch
