id,author,work_title,work_id,section_type,section_number,subsection_number,verse_number,title,text,footnotes,word_count,language,parent_section,hierarchy_level,is_introduction,is_footnote,original_url,page_number
1,Aristides von Athen 50-134,Apologie (BKV),cpg-1062,introduction,,,,WerkeAristides von Athen (50-134)ApologiaEinleitung zur Apologie des AristidesAristides von Athen 50,"WerkeAristides von Athen (50-134)ApologiaEinleitung zur Apologie des AristidesAristides von Athen 50-134ApologiaEinleitung zur Apologie des AristidesBibliographische AngabeEinleitung zur Apologie des Aristides In: Frühchristliche Apologeten und Märtyrerakten Band I. Aus dem Griechischen und Lateinischen übersetzt von Dr. Kaspar Julius (Aristides); Dr. Gerhard Rauschen (Justin, Diognet); Dr. R.C. Kukula (Tatian); P. Anselm Eberhard (Athenagoras). (Bibliothek der Kirchenväter, 1. Reihe, Band 12) München 1913. (Commentary, Deutsch)SchlüsselCPG 1062Datum2. Jh.MitarbeiterJürgen VoosDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( kB)TextText anzeigenScans des TextesInhaltsangabe",[],76,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1062/versions/einleitung-zur-apologie-des-aristides/divisions,1
2,Aristides von Athen 50-134,Apologie (BKV),cpg-1062,introduction,,,,WerkeAristides von Athen (50-134)ApologiaEinleitung zur Apologie des AristidesAristides von Athen 50,"WerkeAristides von Athen (50-134)ApologiaEinleitung zur Apologie des AristidesAristides von Athen 50-134ApologiaEinleitung zur Apologie des AristidesBibliographische AngabeEinleitung zur Apologie des Aristides In: Frühchristliche Apologeten und Märtyrerakten Band I. Aus dem Griechischen und Lateinischen übersetzt von Dr. Kaspar Julius (Aristides); Dr. Gerhard Rauschen (Justin, Diognet); Dr. R.C. Kukula (Tatian); P. Anselm Eberhard (Athenagoras). (Bibliothek der Kirchenväter, 1. Reihe, Band 12) München 1913. (Commentary, Deutsch)SchlüsselCPG 1062Datum2. Jh.MitarbeiterJürgen VoosDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( kB)TextText anzeigenScans des TextesInhaltsangabe",[],76,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1062/versions/einleitung-zur-apologie-des-aristides/divisions,1
3,Aristides von Athen 50-134,Apologie (BKV),cpg-1062,introduction,,,,WerkeAristides von Athen (50-134)ApologiaEinleitung zur Apologie des Aristides,WerkeAristides von Athen (50-134)ApologiaEinleitung zur Apologie des Aristides,[],8,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1062/versions/einleitung-zur-apologie-des-aristides/divisions,1
4,Aristides von Athen 50-134,Apologie (BKV),cpg-1062,introduction,,,,Aristides von Athen 50-134ApologiaEinleitung zur Apologie des Aristides,Aristides von Athen 50-134ApologiaEinleitung zur Apologie des Aristides,[],8,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1062/versions/einleitung-zur-apologie-des-aristides/divisions,1
5,Aristides von Athen 50-134,Apologie (BKV),cpg-1062,paragraph,,,,Aristides von Athen 50-134,Aristides von Athen 50-134,[],4,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1062/versions/einleitung-zur-apologie-des-aristides/divisions,1
6,Aristides von Athen 50-134,Apologie (BKV),cpg-1062,introduction,,,,Einleitung zur Apologie des Aristides,Einleitung zur Apologie des Aristides,[],5,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1062/versions/einleitung-zur-apologie-des-aristides/divisions,1
7,Aristides von Athen 50-134,Apologie (BKV),cpg-1062,heading,,,,Bibliographische Angabe,Bibliographische Angabe,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1062/versions/einleitung-zur-apologie-des-aristides/divisions,1
8,Aristides von Athen 50-134,Apologie (BKV),cpg-1062,introduction,,,,Einleitung zur Apologie des Aristides In: Frühchristliche Apologeten und Märtyrerakten Band I. Aus d,"Einleitung zur Apologie des Aristides In: Frühchristliche Apologeten und Märtyrerakten Band I. Aus dem Griechischen und Lateinischen übersetzt von Dr. Kaspar Julius (Aristides); Dr. Gerhard Rauschen (Justin, Diognet); Dr. R.C. Kukula (Tatian); P. Anselm Eberhard (Athenagoras). (Bibliothek der Kirchenväter, 1. Reihe, Band 12) München 1913. (Commentary, Deutsch)",[],47,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1062/versions/einleitung-zur-apologie-des-aristides/divisions,1
9,Aristides von Athen 50-134,Apologie (BKV),cpg-1062,heading,,,,Mitarbeiter,Mitarbeiter,[],1,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1062/versions/einleitung-zur-apologie-des-aristides/divisions,1
10,Aristides von Athen 50-134,Apologie (BKV),cpg-1062,paragraph,,,,Jürgen Voos,Jürgen Voos,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1062/versions/einleitung-zur-apologie-des-aristides/divisions,1
11,Aristides von Athen 50-134,Apologie (BKV),cpg-1062,paragraph,,,,DOCX ( kB),DOCX ( kB),[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1062/versions/einleitung-zur-apologie-des-aristides/divisions,1
12,Aristides von Athen 50-134,Apologie (BKV),cpg-1062,paragraph,,,,EPUB ( kB),EPUB ( kB),[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1062/versions/einleitung-zur-apologie-des-aristides/divisions,1
