id,author,work_title,work_id,section_type,section_number,subsection_number,verse_number,title,text,footnotes,word_count,language,parent_section,hierarchy_level,is_introduction,is_footnote,original_url,page_number
1,Athanasius von Alexandrien 295-373,Four Discourses against the Arians,cpg-2093,introduction,,,,WerkeAthanasius von Alexandrien (295-373)Orationes contra ArianosEinleitung zu den Reden gegen die A,"WerkeAthanasius von Alexandrien (295-373)Orationes contra ArianosEinleitung zu den Reden gegen die Arianer (BKV)Athanasius von Alexandrien 295-373Orationes contra ArianosEinleitung zu den Reden gegen die Arianer (BKV)Bibliographische AngabeEinleitung zu den Reden gegen die Arianer In: Des heiligen Athanasius ausgewählte Schriften aus dem Griechischen übers. (Athanasius Band 1; Bibliothek der Kirchenväter, 1. Reihe, Band 13) Kempten; München : J. Kösel, 1913 (Commentary, Deutsch)SchlüsselCPG 2093Datum4. Jh.MitarbeiterManfred KrautDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( kB)TextText anzeigenScans des TextesInhaltsangabe",[],74,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-2093/versions/einleitung-zu-den-reden-gegen-die-arianer-bkv/divisions,1
2,Athanasius von Alexandrien 295-373,Four Discourses against the Arians,cpg-2093,introduction,,,,WerkeAthanasius von Alexandrien (295-373)Orationes contra ArianosEinleitung zu den Reden gegen die A,"WerkeAthanasius von Alexandrien (295-373)Orationes contra ArianosEinleitung zu den Reden gegen die Arianer (BKV)Athanasius von Alexandrien 295-373Orationes contra ArianosEinleitung zu den Reden gegen die Arianer (BKV)Bibliographische AngabeEinleitung zu den Reden gegen die Arianer In: Des heiligen Athanasius ausgewählte Schriften aus dem Griechischen übers. (Athanasius Band 1; Bibliothek der Kirchenväter, 1. Reihe, Band 13) Kempten; München : J. Kösel, 1913 (Commentary, Deutsch)SchlüsselCPG 2093Datum4. Jh.MitarbeiterManfred KrautDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( kB)TextText anzeigenScans des TextesInhaltsangabe",[],74,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-2093/versions/einleitung-zu-den-reden-gegen-die-arianer-bkv/divisions,1
3,Athanasius von Alexandrien 295-373,Four Discourses against the Arians,cpg-2093,introduction,,,,WerkeAthanasius von Alexandrien (295-373)Orationes contra ArianosEinleitung zu den Reden gegen die A,WerkeAthanasius von Alexandrien (295-373)Orationes contra ArianosEinleitung zu den Reden gegen die Arianer (BKV),[],13,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-2093/versions/einleitung-zu-den-reden-gegen-die-arianer-bkv/divisions,1
4,Athanasius von Alexandrien 295-373,Four Discourses against the Arians,cpg-2093,introduction,,,,Athanasius von Alexandrien 295-373Orationes contra ArianosEinleitung zu den Reden gegen die Arianer ,Athanasius von Alexandrien 295-373Orationes contra ArianosEinleitung zu den Reden gegen die Arianer (BKV),[],13,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-2093/versions/einleitung-zu-den-reden-gegen-die-arianer-bkv/divisions,1
5,Athanasius von Alexandrien 295-373,Four Discourses against the Arians,cpg-2093,paragraph,,,,Athanasius von Alexandrien 295-373,Athanasius von Alexandrien 295-373,[],4,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-2093/versions/einleitung-zu-den-reden-gegen-die-arianer-bkv/divisions,1
6,Athanasius von Alexandrien 295-373,Four Discourses against the Arians,cpg-2093,paragraph,,,,Orationes contra Arianos,Orationes contra Arianos,[],3,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-2093/versions/einleitung-zu-den-reden-gegen-die-arianer-bkv/divisions,1
7,Athanasius von Alexandrien 295-373,Four Discourses against the Arians,cpg-2093,introduction,,,,Einleitung zu den Reden gegen die Arianer (BKV),Einleitung zu den Reden gegen die Arianer (BKV),[],8,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-2093/versions/einleitung-zu-den-reden-gegen-die-arianer-bkv/divisions,1
8,Athanasius von Alexandrien 295-373,Four Discourses against the Arians,cpg-2093,heading,,,,Bibliographische Angabe,Bibliographische Angabe,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-2093/versions/einleitung-zu-den-reden-gegen-die-arianer-bkv/divisions,1
9,Athanasius von Alexandrien 295-373,Four Discourses against the Arians,cpg-2093,introduction,,,,Einleitung zu den Reden gegen die Arianer In: Des heiligen Athanasius ausgewählte Schriften aus dem ,"Einleitung zu den Reden gegen die Arianer In: Des heiligen Athanasius ausgewählte Schriften aus dem Griechischen übers. (Athanasius Band 1; Bibliothek der Kirchenväter, 1. Reihe, Band 13) Kempten; München : J. Kösel, 1913 (Commentary, Deutsch)",[],35,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-2093/versions/einleitung-zu-den-reden-gegen-die-arianer-bkv/divisions,1
10,Athanasius von Alexandrien 295-373,Four Discourses against the Arians,cpg-2093,heading,,,,Mitarbeiter,Mitarbeiter,[],1,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-2093/versions/einleitung-zu-den-reden-gegen-die-arianer-bkv/divisions,1
