id,author,work_title,work_id,section_type,section_number,subsection_number,verse_number,title,text,footnotes,word_count,language,parent_section,hierarchy_level,is_introduction,is_footnote,original_url,page_number
1,Athanasius von Alexandrien 295-373,Schreiben an die Antiochier (BKV),cpg-2134,paragraph,,,,WerkeAthanasius von Alexandrien (295-373)Tomus ad AntiochenosTome or Synodal Letter to the People of,"WerkeAthanasius von Alexandrien (295-373)Tomus ad AntiochenosTome or Synodal Letter to the People of AntiochAthanasius von Alexandrien 295-373Tomus ad AntiochenosTome or Synodal Letter to the People of AntiochBibliographische AngabeNPNF2-04. Athanasius: Select Works and Letters by Philip Schaff (Translation, Englisch)SchlüsselCPG 2134Datum4. Jh.MitarbeiterPhilip SchaffTextText anzeigenScans des TextesInhaltsangabe",[],44,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-2134/versions/tome-or-synodal-letter-to-the-people-of-antioch/divisions,1
2,Athanasius von Alexandrien 295-373,Schreiben an die Antiochier (BKV),cpg-2134,paragraph,,,,WerkeAthanasius von Alexandrien (295-373)Tomus ad AntiochenosTome or Synodal Letter to the People of,"WerkeAthanasius von Alexandrien (295-373)Tomus ad AntiochenosTome or Synodal Letter to the People of AntiochAthanasius von Alexandrien 295-373Tomus ad AntiochenosTome or Synodal Letter to the People of AntiochBibliographische AngabeNPNF2-04. Athanasius: Select Works and Letters by Philip Schaff (Translation, Englisch)SchlüsselCPG 2134Datum4. Jh.MitarbeiterPhilip SchaffTextText anzeigenScans des TextesInhaltsangabe",[],44,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-2134/versions/tome-or-synodal-letter-to-the-people-of-antioch/divisions,1
3,Athanasius von Alexandrien 295-373,Schreiben an die Antiochier (BKV),cpg-2134,paragraph,,,,WerkeAthanasius von Alexandrien (295-373)Tomus ad AntiochenosTome or Synodal Letter to the People of,WerkeAthanasius von Alexandrien (295-373)Tomus ad AntiochenosTome or Synodal Letter to the People of Antioch,[],14,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-2134/versions/tome-or-synodal-letter-to-the-people-of-antioch/divisions,1
4,Athanasius von Alexandrien 295-373,Schreiben an die Antiochier (BKV),cpg-2134,paragraph,,,,Athanasius von Alexandrien 295-373Tomus ad AntiochenosTome or Synodal Letter to the People of Antioc,Athanasius von Alexandrien 295-373Tomus ad AntiochenosTome or Synodal Letter to the People of Antioch,[],14,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-2134/versions/tome-or-synodal-letter-to-the-people-of-antioch/divisions,1
5,Athanasius von Alexandrien 295-373,Schreiben an die Antiochier (BKV),cpg-2134,paragraph,,,,Athanasius von Alexandrien 295-373,Athanasius von Alexandrien 295-373,[],4,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-2134/versions/tome-or-synodal-letter-to-the-people-of-antioch/divisions,1
6,Athanasius von Alexandrien 295-373,Schreiben an die Antiochier (BKV),cpg-2134,paragraph,,,,Tomus ad Antiochenos,Tomus ad Antiochenos,[],3,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-2134/versions/tome-or-synodal-letter-to-the-people-of-antioch/divisions,1
7,Athanasius von Alexandrien 295-373,Schreiben an die Antiochier (BKV),cpg-2134,paragraph,,,,Tome or Synodal Letter to the People of Antioch,Tome or Synodal Letter to the People of Antioch,[],9,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-2134/versions/tome-or-synodal-letter-to-the-people-of-antioch/divisions,1
8,Athanasius von Alexandrien 295-373,Schreiben an die Antiochier (BKV),cpg-2134,heading,,,,Bibliographische Angabe,Bibliographische Angabe,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-2134/versions/tome-or-synodal-letter-to-the-people-of-antioch/divisions,1
9,Athanasius von Alexandrien 295-373,Schreiben an die Antiochier (BKV),cpg-2134,paragraph,,,,"NPNF2-04. Athanasius: Select Works and Letters by Philip Schaff (Translation, Englisch)","NPNF2-04. Athanasius: Select Works and Letters by Philip Schaff (Translation, Englisch)",[],11,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-2134/versions/tome-or-synodal-letter-to-the-people-of-antioch/divisions,1
10,Athanasius von Alexandrien 295-373,Schreiben an die Antiochier (BKV),cpg-2134,heading,,,,Mitarbeiter,Mitarbeiter,[],1,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-2134/versions/tome-or-synodal-letter-to-the-people-of-antioch/divisions,1
