id,author,work_title,work_id,section_type,section_number,subsection_number,verse_number,title,text,footnotes,word_count,language,parent_section,hierarchy_level,is_introduction,is_footnote,original_url,page_number
1,Athenagoras von Athen 133-190,A Plea for the Christians,cpg-1070,introduction,,,,WerkeAthenagoras von Athen (133-190)Supplicatio pro ChristianisIntroductory Note to the Writings of ,"WerkeAthenagoras von Athen (133-190)Supplicatio pro ChristianisIntroductory Note to the Writings of AthenagorasAthenagoras von Athen 133-190Supplicatio pro ChristianisIntroductory Note to the Writings of AthenagorasBibliographische AngabeThe Ante-Nicene Fahters Translations of The Writings of the Fathers down to A.D. 325 The Rev. Alexander Roberts, D.D., and James Donaldson, LL.D., Editors American Reprint of the Edinburgh Edition Revised and chronologically arranged, with brief prefaces and occasional notes by A. Cleveland Coxe, D.D. Volume II: Fathers of the second Century: Hermas, Tatian, Athenagoras, Theophilus, and Clement of Alexandria (entire) 1885, reprint 2001 (Commentary, Englisch)SchlüsselCPG 1070Datum2. Jh.Andere WerkeTextText anzeigenScans des TextesInhaltsangabe",[],95,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1070/versions/introductory-note-to-the-writings-of-athenagoras/divisions,1
2,Athenagoras von Athen 133-190,A Plea for the Christians,cpg-1070,introduction,,,,WerkeAthenagoras von Athen (133-190)Supplicatio pro ChristianisIntroductory Note to the Writings of ,"WerkeAthenagoras von Athen (133-190)Supplicatio pro ChristianisIntroductory Note to the Writings of AthenagorasAthenagoras von Athen 133-190Supplicatio pro ChristianisIntroductory Note to the Writings of AthenagorasBibliographische AngabeThe Ante-Nicene Fahters Translations of The Writings of the Fathers down to A.D. 325 The Rev. Alexander Roberts, D.D., and James Donaldson, LL.D., Editors American Reprint of the Edinburgh Edition Revised and chronologically arranged, with brief prefaces and occasional notes by A. Cleveland Coxe, D.D. Volume II: Fathers of the second Century: Hermas, Tatian, Athenagoras, Theophilus, and Clement of Alexandria (entire) 1885, reprint 2001 (Commentary, Englisch)SchlüsselCPG 1070Datum2. Jh.Andere WerkeTextText anzeigenScans des TextesInhaltsangabe",[],95,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1070/versions/introductory-note-to-the-writings-of-athenagoras/divisions,1
3,Athenagoras von Athen 133-190,A Plea for the Christians,cpg-1070,paragraph,,,,WerkeAthenagoras von Athen (133-190)Supplicatio pro ChristianisIntroductory Note to the Writings of ,WerkeAthenagoras von Athen (133-190)Supplicatio pro ChristianisIntroductory Note to the Writings of Athenagoras,[],12,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1070/versions/introductory-note-to-the-writings-of-athenagoras/divisions,1
4,Athenagoras von Athen 133-190,A Plea for the Christians,cpg-1070,paragraph,,,,Athenagoras von Athen 133-190Supplicatio pro ChristianisIntroductory Note to the Writings of Athenag,Athenagoras von Athen 133-190Supplicatio pro ChristianisIntroductory Note to the Writings of Athenagoras,[],12,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1070/versions/introductory-note-to-the-writings-of-athenagoras/divisions,1
5,Athenagoras von Athen 133-190,A Plea for the Christians,cpg-1070,paragraph,,,,Athenagoras von Athen 133-190,Athenagoras von Athen 133-190,[],4,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1070/versions/introductory-note-to-the-writings-of-athenagoras/divisions,1
6,Athenagoras von Athen 133-190,A Plea for the Christians,cpg-1070,paragraph,,,,Supplicatio pro Christianis,Supplicatio pro Christianis,[],3,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1070/versions/introductory-note-to-the-writings-of-athenagoras/divisions,1
7,Athenagoras von Athen 133-190,A Plea for the Christians,cpg-1070,paragraph,,,,Introductory Note to the Writings of Athenagoras,Introductory Note to the Writings of Athenagoras,[],7,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1070/versions/introductory-note-to-the-writings-of-athenagoras/divisions,1
8,Athenagoras von Athen 133-190,A Plea for the Christians,cpg-1070,heading,,,,Bibliographische Angabe,Bibliographische Angabe,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1070/versions/introductory-note-to-the-writings-of-athenagoras/divisions,1
9,Athenagoras von Athen 133-190,A Plea for the Christians,cpg-1070,introduction,,,,The Ante-Nicene Fahters Translations of The Writings of the Fathers down to A.D. 325 The Rev. Alexan,"The Ante-Nicene Fahters Translations of The Writings of the Fathers down to A.D. 325 The Rev. Alexander Roberts, D.D., and James Donaldson, LL.D., Editors American Reprint of the Edinburgh Edition Revised and chronologically arranged, with brief prefaces and occasional notes by A. Cleveland Coxe, D.D. Volume II: Fathers of the second Century: Hermas, Tatian, Athenagoras, Theophilus, and Clement of Alexandria (entire) 1885, reprint 2001 (Commentary, Englisch)",[],66,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1070/versions/introductory-note-to-the-writings-of-athenagoras/divisions,1
10,Athenagoras von Athen 133-190,A Plea for the Christians,cpg-1070,heading,,,,Andere Werke,Andere Werke,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1070/versions/introductory-note-to-the-writings-of-athenagoras/divisions,1
11,Athenagoras von Athen 133-190,A Plea for the Christians,cpg-1070,paragraph,,,,Text anzeigen,Text anzeigen,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1070/versions/introductory-note-to-the-writings-of-athenagoras/divisions,1
12,Athenagoras von Athen 133-190,A Plea for the Christians,cpg-1070,paragraph,,,,Scans des Textes,Scans des Textes,[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1070/versions/introductory-note-to-the-writings-of-athenagoras/divisions,1
13,Athenagoras von Athen 133-190,A Plea for the Christians,cpg-1070,heading,,,,Inhaltsangabe,Inhaltsangabe,[],1,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1070/versions/introductory-note-to-the-writings-of-athenagoras/divisions,1
14,Athenagoras von Athen 133-190,A Plea for the Christians,cpg-1070,introduction,,,,Text anzeigenBibliographische AngabeScans dieser VersionÜbersetzungen dieses WerksA Plea for the Chr,Text anzeigenBibliographische AngabeScans dieser VersionÜbersetzungen dieses WerksA Plea for the ChristiansApologie des ChrétiensBittschrift für die Christen (BKV)Kommentare zu diesem WerkEinleitung zu Athenagoras' Bittschrift für die ChristenIntroductory Note to the Writings of AthenagorasInhaltsangabe,[],32,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1070/versions/introductory-note-to-the-writings-of-athenagoras/divisions,1
15,Athenagoras von Athen 133-190,A Plea for the Christians,cpg-1070,introduction,,,,Text anzeigenBibliographische AngabeScans dieser VersionÜbersetzungen dieses WerksA Plea for the Chr,Text anzeigenBibliographische AngabeScans dieser VersionÜbersetzungen dieses WerksA Plea for the ChristiansApologie des ChrétiensBittschrift für die Christen (BKV)Kommentare zu diesem WerkEinleitung zu Athenagoras' Bittschrift für die ChristenIntroductory Note to the Writings of AthenagorasInhaltsangabe,[],32,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1070/versions/introductory-note-to-the-writings-of-athenagoras/divisions,1
