id,author,work_title,work_id,section_type,section_number,subsection_number,verse_number,title,text,footnotes,word_count,language,parent_section,hierarchy_level,is_introduction,is_footnote,original_url,page_number
1,Athenagoras von Athen 133-190,De la Résurrection des Morts,cpg-1071,introduction,,,,WerkeAthenagoras von Athen (133-190)De resurrectione mortuorumThe Treatise of Athenagoras The Atheni,"WerkeAthenagoras von Athen (133-190)De resurrectione mortuorumThe Treatise of Athenagoras The Athenian, Philosopher and Christian, on the Resurrection of the DeadAthenagoras von Athen 133-190De resurrectione mortuorumThe Treatise of Athenagoras The Athenian, Philosopher and Christian, on the Resurrection of the DeadBibliographische AngabeThe Ante-Nicene Fahters Translations of The Writings of the Fathers down to A.D. 325 The Rev. Alexander Roberts, D.D., and James Donaldson, LL.D., Editors American Reprint of the Edinburgh Edition Revised and chronologically arranged, with brief prefaces and occasional notes by A. Cleveland Coxe, D.D. Volume II: Fathers of the second Century: Hermas, Tatian, Athenagoras, Theophilus, and Clement of Alexandria (entire) 1885, reprint 2001 (Translation, Englisch)SchlüsselCPG 1071Datum2. Jh.TextText anzeigenScans des TextesInhaltsangabe",[],110,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1071/versions/the-treatise-of-athenagoras-the-athenian-philosopher-and-christian-on-the-resurrection-of-the-dead/divisions,1
2,Athenagoras von Athen 133-190,De la Résurrection des Morts,cpg-1071,introduction,,,,WerkeAthenagoras von Athen (133-190)De resurrectione mortuorumThe Treatise of Athenagoras The Atheni,"WerkeAthenagoras von Athen (133-190)De resurrectione mortuorumThe Treatise of Athenagoras The Athenian, Philosopher and Christian, on the Resurrection of the DeadAthenagoras von Athen 133-190De resurrectione mortuorumThe Treatise of Athenagoras The Athenian, Philosopher and Christian, on the Resurrection of the DeadBibliographische AngabeThe Ante-Nicene Fahters Translations of The Writings of the Fathers down to A.D. 325 The Rev. Alexander Roberts, D.D., and James Donaldson, LL.D., Editors American Reprint of the Edinburgh Edition Revised and chronologically arranged, with brief prefaces and occasional notes by A. Cleveland Coxe, D.D. Volume II: Fathers of the second Century: Hermas, Tatian, Athenagoras, Theophilus, and Clement of Alexandria (entire) 1885, reprint 2001 (Translation, Englisch)SchlüsselCPG 1071Datum2. Jh.TextText anzeigenScans des TextesInhaltsangabe",[],110,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1071/versions/the-treatise-of-athenagoras-the-athenian-philosopher-and-christian-on-the-resurrection-of-the-dead/divisions,1
3,Athenagoras von Athen 133-190,De la Résurrection des Morts,cpg-1071,paragraph,,,,WerkeAthenagoras von Athen (133-190)De resurrectione mortuorumThe Treatise of Athenagoras The Atheni,"WerkeAthenagoras von Athen (133-190)De resurrectione mortuorumThe Treatise of Athenagoras The Athenian, Philosopher and Christian, on the Resurrection of the Dead",[],20,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1071/versions/the-treatise-of-athenagoras-the-athenian-philosopher-and-christian-on-the-resurrection-of-the-dead/divisions,1
4,Athenagoras von Athen 133-190,De la Résurrection des Morts,cpg-1071,paragraph,,,,"Athenagoras von Athen 133-190De resurrectione mortuorumThe Treatise of Athenagoras The Athenian, Phi","Athenagoras von Athen 133-190De resurrectione mortuorumThe Treatise of Athenagoras The Athenian, Philosopher and Christian, on the Resurrection of the Dead",[],20,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1071/versions/the-treatise-of-athenagoras-the-athenian-philosopher-and-christian-on-the-resurrection-of-the-dead/divisions,1
5,Athenagoras von Athen 133-190,De la Résurrection des Morts,cpg-1071,paragraph,,,,Athenagoras von Athen 133-190,Athenagoras von Athen 133-190,[],4,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1071/versions/the-treatise-of-athenagoras-the-athenian-philosopher-and-christian-on-the-resurrection-of-the-dead/divisions,1
6,Athenagoras von Athen 133-190,De la Résurrection des Morts,cpg-1071,paragraph,,,,De resurrectione mortuorum,De resurrectione mortuorum,[],3,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1071/versions/the-treatise-of-athenagoras-the-athenian-philosopher-and-christian-on-the-resurrection-of-the-dead/divisions,1
7,Athenagoras von Athen 133-190,De la Résurrection des Morts,cpg-1071,paragraph,,,,"The Treatise of Athenagoras The Athenian, Philosopher and Christian, on the Resurrection of the Dead","The Treatise of Athenagoras The Athenian, Philosopher and Christian, on the Resurrection of the Dead",[],15,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1071/versions/the-treatise-of-athenagoras-the-athenian-philosopher-and-christian-on-the-resurrection-of-the-dead/divisions,1
8,Athenagoras von Athen 133-190,De la Résurrection des Morts,cpg-1071,heading,,,,Bibliographische Angabe,Bibliographische Angabe,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1071/versions/the-treatise-of-athenagoras-the-athenian-philosopher-and-christian-on-the-resurrection-of-the-dead/divisions,1
9,Athenagoras von Athen 133-190,De la Résurrection des Morts,cpg-1071,introduction,,,,The Ante-Nicene Fahters Translations of The Writings of the Fathers down to A.D. 325 The Rev. Alexan,"The Ante-Nicene Fahters Translations of The Writings of the Fathers down to A.D. 325 The Rev. Alexander Roberts, D.D., and James Donaldson, LL.D., Editors American Reprint of the Edinburgh Edition Revised and chronologically arranged, with brief prefaces and occasional notes by A. Cleveland Coxe, D.D. Volume II: Fathers of the second Century: Hermas, Tatian, Athenagoras, Theophilus, and Clement of Alexandria (entire) 1885, reprint 2001 (Translation, Englisch)",[],66,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1071/versions/the-treatise-of-athenagoras-the-athenian-philosopher-and-christian-on-the-resurrection-of-the-dead/divisions,1
10,Athenagoras von Athen 133-190,De la Résurrection des Morts,cpg-1071,paragraph,,,,Text anzeigen,Text anzeigen,[],2,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1071/versions/the-treatise-of-athenagoras-the-athenian-philosopher-and-christian-on-the-resurrection-of-the-dead/divisions,1
11,Athenagoras von Athen 133-190,De la Résurrection des Morts,cpg-1071,paragraph,,,,Scans des Textes,Scans des Textes,[],3,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1071/versions/the-treatise-of-athenagoras-the-athenian-philosopher-and-christian-on-the-resurrection-of-the-dead/divisions,1
12,Athenagoras von Athen 133-190,De la Résurrection des Morts,cpg-1071,heading,,,,Inhaltsangabe,Inhaltsangabe,[],1,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1071/versions/the-treatise-of-athenagoras-the-athenian-philosopher-and-christian-on-the-resurrection-of-the-dead/divisions,1
13,Athenagoras von Athen 133-190,De la Résurrection des Morts,cpg-1071,introduction,,,,Text anzeigenBibliographische AngabeScans dieser VersionÜbersetzungen dieses WerksDe la Résurrection,"Text anzeigenBibliographische AngabeScans dieser VersionÜbersetzungen dieses WerksDe la Résurrection des MortsvergleichenThe Treatise of Athenagoras The Athenian, Philosopher and Christian, on the Resurrection of the DeadÜber die Auferstehung der Toten (BKV)vergleichenKommentare zu diesem WerkEinleitung zu Athenagoras' Auferstehung der TotenIntroductory Note to the Writings of AthenagorasInhaltsangabe",[],44,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1071/versions/the-treatise-of-athenagoras-the-athenian-philosopher-and-christian-on-the-resurrection-of-the-dead/divisions,1
14,Athenagoras von Athen 133-190,De la Résurrection des Morts,cpg-1071,introduction,,,,Text anzeigenBibliographische AngabeScans dieser VersionÜbersetzungen dieses WerksDe la Résurrection,"Text anzeigenBibliographische AngabeScans dieser VersionÜbersetzungen dieses WerksDe la Résurrection des MortsvergleichenThe Treatise of Athenagoras The Athenian, Philosopher and Christian, on the Resurrection of the DeadÜber die Auferstehung der Toten (BKV)vergleichenKommentare zu diesem WerkEinleitung zu Athenagoras' Auferstehung der TotenIntroductory Note to the Writings of AthenagorasInhaltsangabe",[],44,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1071/versions/the-treatise-of-athenagoras-the-athenian-philosopher-and-christian-on-the-resurrection-of-the-dead/divisions,1
15,Athenagoras von Athen 133-190,De la Résurrection des Morts,cpg-1071,introduction,,,,Text anzeigenBibliographische AngabeScans dieser VersionÜbersetzungen dieses WerksDe la Résurrection,"Text anzeigenBibliographische AngabeScans dieser VersionÜbersetzungen dieses WerksDe la Résurrection des MortsvergleichenThe Treatise of Athenagoras The Athenian, Philosopher and Christian, on the Resurrection of the DeadÜber die Auferstehung der Toten (BKV)vergleichenKommentare zu diesem WerkEinleitung zu Athenagoras' Auferstehung der TotenIntroductory Note to the Writings of AthenagorasInhaltsangabe",[],44,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1071/versions/the-treatise-of-athenagoras-the-athenian-philosopher-and-christian-on-the-resurrection-of-the-dead/divisions,1
