id,author,work_title,work_id,section_type,section_number,subsection_number,verse_number,title,text,footnotes,word_count,language,parent_section,hierarchy_level,is_introduction,is_footnote,original_url,page_number
1,Clemens von Alexandrien 150-215,Teppiche (BKV),cpg-1377,introduction,,,,WerkeClemens von Alexandrien (150-215)StromataElucidations of StromataClemens von Alexandrien 150-21,"WerkeClemens von Alexandrien (150-215)StromataElucidations of StromataClemens von Alexandrien 150-215StromataElucidations of StromataBibliographische AngabeThe Ante-Nicene Fahters Translations of The Writings of the Fathers down to A.D. 325 The Rev. Alexander Roberts, D.D., and James Donaldson, LL.D., Editors American Reprint of the Edinburgh Edition Revised and chronologically arranged, with brief prefaces and occasional notes by A. Cleveland Coxe, D.D. Volume II: Fathers of the second Century: Hermas, Tatian, Athenagoras, Theophilus, and Clement of Alexandria (entire) 1885, reprint 2001 (Commentary, Englisch)SchlüsselCPG 1377Datum3. Jh.TextText anzeigenScans des TextesInhaltsangabe",[],82,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1377/versions/elucidations-of-stromata/divisions,1
2,Clemens von Alexandrien 150-215,Teppiche (BKV),cpg-1377,introduction,,,,WerkeClemens von Alexandrien (150-215)StromataElucidations of StromataClemens von Alexandrien 150-21,"WerkeClemens von Alexandrien (150-215)StromataElucidations of StromataClemens von Alexandrien 150-215StromataElucidations of StromataBibliographische AngabeThe Ante-Nicene Fahters Translations of The Writings of the Fathers down to A.D. 325 The Rev. Alexander Roberts, D.D., and James Donaldson, LL.D., Editors American Reprint of the Edinburgh Edition Revised and chronologically arranged, with brief prefaces and occasional notes by A. Cleveland Coxe, D.D. Volume II: Fathers of the second Century: Hermas, Tatian, Athenagoras, Theophilus, and Clement of Alexandria (entire) 1885, reprint 2001 (Commentary, Englisch)SchlüsselCPG 1377Datum3. Jh.TextText anzeigenScans des TextesInhaltsangabe",[],82,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1377/versions/elucidations-of-stromata/divisions,1
3,Clemens von Alexandrien 150-215,Teppiche (BKV),cpg-1377,paragraph,,,,WerkeClemens von Alexandrien (150-215)StromataElucidations of Stromata,WerkeClemens von Alexandrien (150-215)StromataElucidations of Stromata,[],6,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1377/versions/elucidations-of-stromata/divisions,1
4,Clemens von Alexandrien 150-215,Teppiche (BKV),cpg-1377,paragraph,,,,Clemens von Alexandrien 150-215StromataElucidations of Stromata,Clemens von Alexandrien 150-215StromataElucidations of Stromata,[],6,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1377/versions/elucidations-of-stromata/divisions,1
5,Clemens von Alexandrien 150-215,Teppiche (BKV),cpg-1377,paragraph,,,,Clemens von Alexandrien 150-215,Clemens von Alexandrien 150-215,[],4,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1377/versions/elucidations-of-stromata/divisions,1
6,Clemens von Alexandrien 150-215,Teppiche (BKV),cpg-1377,paragraph,,,,Elucidations of Stromata,Elucidations of Stromata,[],3,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1377/versions/elucidations-of-stromata/divisions,1
7,Clemens von Alexandrien 150-215,Teppiche (BKV),cpg-1377,heading,,,,Bibliographische Angabe,Bibliographische Angabe,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1377/versions/elucidations-of-stromata/divisions,1
8,Clemens von Alexandrien 150-215,Teppiche (BKV),cpg-1377,introduction,,,,The Ante-Nicene Fahters Translations of The Writings of the Fathers down to A.D. 325 The Rev. Alexan,"The Ante-Nicene Fahters Translations of The Writings of the Fathers down to A.D. 325 The Rev. Alexander Roberts, D.D., and James Donaldson, LL.D., Editors American Reprint of the Edinburgh Edition Revised and chronologically arranged, with brief prefaces and occasional notes by A. Cleveland Coxe, D.D. Volume II: Fathers of the second Century: Hermas, Tatian, Athenagoras, Theophilus, and Clement of Alexandria (entire) 1885, reprint 2001 (Commentary, Englisch)",[],66,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1377/versions/elucidations-of-stromata/divisions,1
9,Clemens von Alexandrien 150-215,Teppiche (BKV),cpg-1377,paragraph,,,,Text anzeigen,Text anzeigen,[],2,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1377/versions/elucidations-of-stromata/divisions,1
10,Clemens von Alexandrien 150-215,Teppiche (BKV),cpg-1377,paragraph,,,,Scans des Textes,Scans des Textes,[],3,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1377/versions/elucidations-of-stromata/divisions,1
11,Clemens von Alexandrien 150-215,Teppiche (BKV),cpg-1377,heading,,,,Inhaltsangabe,Inhaltsangabe,[],1,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1377/versions/elucidations-of-stromata/divisions,1
12,Clemens von Alexandrien 150-215,Teppiche (BKV),cpg-1377,paragraph,,,,Text anzeigenBibliographische AngabeScans dieser VersionÜbersetzungen dieses WerksTeppiche (BKV)Komm,Text anzeigenBibliographische AngabeScans dieser VersionÜbersetzungen dieses WerksTeppiche (BKV)Kommentare zu diesem WerkElucidations of StromataIntroductory Note to Clement of AlexandriaInhaltsangabe,[],18,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1377/versions/elucidations-of-stromata/divisions,1
13,Clemens von Alexandrien 150-215,Teppiche (BKV),cpg-1377,paragraph,,,,Text anzeigenBibliographische AngabeScans dieser VersionÜbersetzungen dieses WerksTeppiche (BKV)Komm,Text anzeigenBibliographische AngabeScans dieser VersionÜbersetzungen dieses WerksTeppiche (BKV)Kommentare zu diesem WerkElucidations of StromataIntroductory Note to Clement of AlexandriaInhaltsangabe,[],18,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1377/versions/elucidations-of-stromata/divisions,1
14,Clemens von Alexandrien 150-215,Teppiche (BKV),cpg-1377,paragraph,,,,Text anzeigenBibliographische AngabeScans dieser VersionÜbersetzungen dieses WerksTeppiche (BKV)Komm,Text anzeigenBibliographische AngabeScans dieser VersionÜbersetzungen dieses WerksTeppiche (BKV)Kommentare zu diesem WerkElucidations of StromataIntroductory Note to Clement of AlexandriaInhaltsangabe,[],18,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1377/versions/elucidations-of-stromata/divisions,1
15,Clemens von Alexandrien 150-215,Teppiche (BKV),cpg-1377,paragraph,,,,Text anzeigenBibliographische AngabeScans dieser Version,Text anzeigenBibliographische AngabeScans dieser Version,[],5,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1377/versions/elucidations-of-stromata/divisions,1
16,Clemens von Alexandrien 150-215,Teppiche (BKV),cpg-1377,paragraph,,,,Text anzeigen,Text anzeigen,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1377/versions/elucidations-of-stromata/divisions,1
17,Clemens von Alexandrien 150-215,Teppiche (BKV),cpg-1377,paragraph,,,,Bibliographische Angabe,Bibliographische Angabe,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1377/versions/elucidations-of-stromata/divisions,1
18,Clemens von Alexandrien 150-215,Teppiche (BKV),cpg-1377,paragraph,,,,Scans dieser Version,Scans dieser Version,[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1377/versions/elucidations-of-stromata/divisions,1
19,Clemens von Alexandrien 150-215,Teppiche (BKV),cpg-1377,paragraph,,,,Übersetzungen dieses Werks,Übersetzungen dieses Werks,[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1377/versions/elucidations-of-stromata/divisions,1
20,Clemens von Alexandrien 150-215,Teppiche (BKV),cpg-1377,paragraph,,,,Kommentare zu diesem Werk,Kommentare zu diesem Werk,[],4,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1377/versions/elucidations-of-stromata/divisions,1
21,Clemens von Alexandrien 150-215,Teppiche (BKV),cpg-1377,paragraph,,,,Inhaltsangabe,Inhaltsangabe,[],1,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1377/versions/elucidations-of-stromata/divisions,1
