id,author,work_title,work_id,section_type,section_number,subsection_number,verse_number,title,text,footnotes,word_count,language,parent_section,hierarchy_level,is_introduction,is_footnote,original_url,page_number
1,Clemens von Rom 35-99,First Epistle to the Corinthians (Loeb),cpg-1001,paragraph,,,,WerkeClemens von Rom (35-99)Epistula ad CorinthiosFirst Epistle to the Corinthians (Loeb)Clemens von,"WerkeClemens von Rom (35-99)Epistula ad CorinthiosFirst Epistle to the Corinthians (Loeb)Clemens von Rom 35-99Epistula ad CorinthiosFirst Epistle to the Corinthians (Loeb)Bibliographische AngabeFirst Epistle to the Corinthians. In: The Apostolic Fathers. Vol. 1. I Clement. II Clement. Ignatius. Polycarp. Didache. Barnabas. (Loeb Classical Library). Cambridge: Harvard University Press, 1912 Kirsopp Lake (Edition, Griechisch)SchlüsselCPG 1001Datum1. Jh.TextText anzeigenScans des TextesInhaltsangabe",[],57,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-1001/versions/clem-1clem-loeb/divisions,1
2,Clemens von Rom 35-99,First Epistle to the Corinthians (Loeb),cpg-1001,paragraph,,,,WerkeClemens von Rom (35-99)Epistula ad CorinthiosFirst Epistle to the Corinthians (Loeb)Clemens von,"WerkeClemens von Rom (35-99)Epistula ad CorinthiosFirst Epistle to the Corinthians (Loeb)Clemens von Rom 35-99Epistula ad CorinthiosFirst Epistle to the Corinthians (Loeb)Bibliographische AngabeFirst Epistle to the Corinthians. In: The Apostolic Fathers. Vol. 1. I Clement. II Clement. Ignatius. Polycarp. Didache. Barnabas. (Loeb Classical Library). Cambridge: Harvard University Press, 1912 Kirsopp Lake (Edition, Griechisch)SchlüsselCPG 1001Datum1. Jh.TextText anzeigenScans des TextesInhaltsangabe",[],57,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-1001/versions/clem-1clem-loeb/divisions,1
3,Clemens von Rom 35-99,First Epistle to the Corinthians (Loeb),cpg-1001,paragraph,,,,WerkeClemens von Rom (35-99)Epistula ad CorinthiosFirst Epistle to the Corinthians (Loeb),WerkeClemens von Rom (35-99)Epistula ad CorinthiosFirst Epistle to the Corinthians (Loeb),[],11,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-1001/versions/clem-1clem-loeb/divisions,1
4,Clemens von Rom 35-99,First Epistle to the Corinthians (Loeb),cpg-1001,paragraph,,,,Clemens von Rom 35-99Epistula ad CorinthiosFirst Epistle to the Corinthians (Loeb),Clemens von Rom 35-99Epistula ad CorinthiosFirst Epistle to the Corinthians (Loeb),[],11,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-1001/versions/clem-1clem-loeb/divisions,1
5,Clemens von Rom 35-99,First Epistle to the Corinthians (Loeb),cpg-1001,paragraph,,,,Clemens von Rom 35-99,Clemens von Rom 35-99,[],4,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-1001/versions/clem-1clem-loeb/divisions,1
6,Clemens von Rom 35-99,First Epistle to the Corinthians (Loeb),cpg-1001,paragraph,,,,Epistula ad Corinthios,Epistula ad Corinthios,[],3,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-1001/versions/clem-1clem-loeb/divisions,1
7,Clemens von Rom 35-99,First Epistle to the Corinthians (Loeb),cpg-1001,paragraph,,,,First Epistle to the Corinthians (Loeb),First Epistle to the Corinthians (Loeb),[],6,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-1001/versions/clem-1clem-loeb/divisions,1
8,Clemens von Rom 35-99,First Epistle to the Corinthians (Loeb),cpg-1001,heading,,,,Bibliographische Angabe,Bibliographische Angabe,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1001/versions/clem-1clem-loeb/divisions,1
9,Clemens von Rom 35-99,First Epistle to the Corinthians (Loeb),cpg-1001,paragraph,,,,First Epistle to the Corinthians. In: The Apostolic Fathers. Vol. 1. I Clement. II Clement. Ignatius,"First Epistle to the Corinthians. In: The Apostolic Fathers. Vol. 1. I Clement. II Clement. Ignatius. Polycarp. Didache. Barnabas. (Loeb Classical Library). Cambridge: Harvard University Press, 1912 Kirsopp Lake (Edition, Griechisch)",[],31,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1001/versions/clem-1clem-loeb/divisions,1
10,Clemens von Rom 35-99,First Epistle to the Corinthians (Loeb),cpg-1001,paragraph,,,,Text anzeigen,Text anzeigen,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1001/versions/clem-1clem-loeb/divisions,1
11,Clemens von Rom 35-99,First Epistle to the Corinthians (Loeb),cpg-1001,paragraph,,,,Scans des Textes,Scans des Textes,[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1001/versions/clem-1clem-loeb/divisions,1
12,Clemens von Rom 35-99,First Epistle to the Corinthians (Loeb),cpg-1001,heading,,,,Inhaltsangabe,Inhaltsangabe,[],1,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1001/versions/clem-1clem-loeb/divisions,1
13,Clemens von Rom 35-99,First Epistle to the Corinthians (Loeb),cpg-1001,introduction,,,,Text anzeigenBibliographische AngabeScans dieser VersionEditionen dieses WerksFirst Epistle to the C,Text anzeigenBibliographische AngabeScans dieser VersionEditionen dieses WerksFirst Epistle to the Corinthians (Loeb)Übersetzungen dieses WerksErster Brief an die Korinther (BKV)vergleichenThe First Epistle of Clement to the CorinthiansvergleichenThe First Epistle of Clement to the CorinthiansvergleichenKommentare zu diesem WerkEinleitung zum ersten KlemensbriefIntroductory Note to the First Epistle of Clement to the CorinthiansIntroductory Notice - The Epistles of ClementInhaltsangabe,[],55,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1001/versions/clem-1clem-loeb/divisions,1
14,Clemens von Rom 35-99,First Epistle to the Corinthians (Loeb),cpg-1001,introduction,,,,Text anzeigenBibliographische AngabeScans dieser VersionEditionen dieses WerksFirst Epistle to the C,Text anzeigenBibliographische AngabeScans dieser VersionEditionen dieses WerksFirst Epistle to the Corinthians (Loeb)Übersetzungen dieses WerksErster Brief an die Korinther (BKV)vergleichenThe First Epistle of Clement to the CorinthiansvergleichenThe First Epistle of Clement to the CorinthiansvergleichenKommentare zu diesem WerkEinleitung zum ersten KlemensbriefIntroductory Note to the First Epistle of Clement to the CorinthiansIntroductory Notice - The Epistles of ClementInhaltsangabe,[],55,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1001/versions/clem-1clem-loeb/divisions,1
15,Clemens von Rom 35-99,First Epistle to the Corinthians (Loeb),cpg-1001,introduction,,,,Text anzeigenBibliographische AngabeScans dieser VersionEditionen dieses WerksFirst Epistle to the C,Text anzeigenBibliographische AngabeScans dieser VersionEditionen dieses WerksFirst Epistle to the Corinthians (Loeb)Übersetzungen dieses WerksErster Brief an die Korinther (BKV)vergleichenThe First Epistle of Clement to the CorinthiansvergleichenThe First Epistle of Clement to the CorinthiansvergleichenKommentare zu diesem WerkEinleitung zum ersten KlemensbriefIntroductory Note to the First Epistle of Clement to the CorinthiansIntroductory Notice - The Epistles of ClementInhaltsangabe,[],55,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1001/versions/clem-1clem-loeb/divisions,1
16,Clemens von Rom 35-99,First Epistle to the Corinthians (Loeb),cpg-1001,paragraph,,,,Text anzeigenBibliographische AngabeScans dieser Version,Text anzeigenBibliographische AngabeScans dieser Version,[],5,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1001/versions/clem-1clem-loeb/divisions,1
17,Clemens von Rom 35-99,First Epistle to the Corinthians (Loeb),cpg-1001,paragraph,,,,Text anzeigen,Text anzeigen,[],2,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1001/versions/clem-1clem-loeb/divisions,1
18,Clemens von Rom 35-99,First Epistle to the Corinthians (Loeb),cpg-1001,paragraph,,,,Bibliographische Angabe,Bibliographische Angabe,[],2,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1001/versions/clem-1clem-loeb/divisions,1
19,Clemens von Rom 35-99,First Epistle to the Corinthians (Loeb),cpg-1001,paragraph,,,,Scans dieser Version,Scans dieser Version,[],3,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1001/versions/clem-1clem-loeb/divisions,1
20,Clemens von Rom 35-99,First Epistle to the Corinthians (Loeb),cpg-1001,paragraph,,,,Editionen dieses Werks,Editionen dieses Werks,[],3,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1001/versions/clem-1clem-loeb/divisions,1
21,Clemens von Rom 35-99,First Epistle to the Corinthians (Loeb),cpg-1001,paragraph,,,,Übersetzungen dieses Werks,Übersetzungen dieses Werks,[],3,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1001/versions/clem-1clem-loeb/divisions,1
22,Clemens von Rom 35-99,First Epistle to the Corinthians (Loeb),cpg-1001,paragraph,,,,Kommentare zu diesem Werk,Kommentare zu diesem Werk,[],4,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1001/versions/clem-1clem-loeb/divisions,1
23,Clemens von Rom 35-99,First Epistle to the Corinthians (Loeb),cpg-1001,paragraph,,,,Inhaltsangabe,Inhaltsangabe,[],1,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1001/versions/clem-1clem-loeb/divisions,1
