id,author,work_title,work_id,section_type,section_number,subsection_number,verse_number,title,text,footnotes,word_count,language,parent_section,hierarchy_level,is_introduction,is_footnote,original_url,page_number
1,Cyrillus von Alexandrien 376-444,Erklärung des nizänischen Glaubensbekenntnisses (BKV),cpg-5355,paragraph,,,,"WerkeCyrillus von Alexandrien (376-444)(Ep. 55) Ad Anastasium, Alexandrum, Martinianum, Iohannem, Pa","WerkeCyrillus von Alexandrien (376-444)(Ep. 55) Ad Anastasium, Alexandrum, Martinianum, Iohannem, Paregorium presb. et Maximum diac. ceterosque monachos OrientalesErklärung des nizänischen Glaubensbekenntnisses (BKV)Cyrillus von Alexandrien 376-444(Ep. 55) Ad Anastasium, Alexandrum, Martinianum, Iohannem, Paregorium presb. et Maximum diac. ceterosque monachos OrientalesErklärung des nizänischen Glaubensbekenntnisses (BKV)Bibliographische AngabeErklärung des nizänischen Glaubensbekenntnisses In: Des heiligen Kirchenlehrers Cyrillus von Alexandrien ausgewählte Schriften aus dem Griechischen übers. von Otto Bardenhewer. (Bibliothek der Kirchenväter, 2. Reihe, Band 12) Kempten; München : J. Kösel : F. Pustet, 1935 (Translation, Deutsch)SchlüsselCPG 5355Datum5. Jh.MitarbeiterFrans-Joris FabriDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( kB)TextText anzeigenScans des TextesInhaltsangabe",[],95,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-5355/versions/erklarung-des-nizanischen-glaubensbekenntnisses-bkv/divisions,1
2,Cyrillus von Alexandrien 376-444,Erklärung des nizänischen Glaubensbekenntnisses (BKV),cpg-5355,paragraph,,,,"WerkeCyrillus von Alexandrien (376-444)(Ep. 55) Ad Anastasium, Alexandrum, Martinianum, Iohannem, Pa","WerkeCyrillus von Alexandrien (376-444)(Ep. 55) Ad Anastasium, Alexandrum, Martinianum, Iohannem, Paregorium presb. et Maximum diac. ceterosque monachos OrientalesErklärung des nizänischen Glaubensbekenntnisses (BKV)Cyrillus von Alexandrien 376-444(Ep. 55) Ad Anastasium, Alexandrum, Martinianum, Iohannem, Paregorium presb. et Maximum diac. ceterosque monachos OrientalesErklärung des nizänischen Glaubensbekenntnisses (BKV)Bibliographische AngabeErklärung des nizänischen Glaubensbekenntnisses In: Des heiligen Kirchenlehrers Cyrillus von Alexandrien ausgewählte Schriften aus dem Griechischen übers. von Otto Bardenhewer. (Bibliothek der Kirchenväter, 2. Reihe, Band 12) Kempten; München : J. Kösel : F. Pustet, 1935 (Translation, Deutsch)SchlüsselCPG 5355Datum5. Jh.MitarbeiterFrans-Joris FabriDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( kB)TextText anzeigenScans des TextesInhaltsangabe",[],95,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-5355/versions/erklarung-des-nizanischen-glaubensbekenntnisses-bkv/divisions,1
3,Cyrillus von Alexandrien 376-444,Erklärung des nizänischen Glaubensbekenntnisses (BKV),cpg-5355,paragraph,,,,"WerkeCyrillus von Alexandrien (376-444)(Ep. 55) Ad Anastasium, Alexandrum, Martinianum, Iohannem, Pa","WerkeCyrillus von Alexandrien (376-444)(Ep. 55) Ad Anastasium, Alexandrum, Martinianum, Iohannem, Paregorium presb. et Maximum diac. ceterosque monachos OrientalesErklärung des nizänischen Glaubensbekenntnisses (BKV)",[],22,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-5355/versions/erklarung-des-nizanischen-glaubensbekenntnisses-bkv/divisions,1
4,Cyrillus von Alexandrien 376-444,Erklärung des nizänischen Glaubensbekenntnisses (BKV),cpg-5355,paragraph,,,,"Cyrillus von Alexandrien 376-444(Ep. 55) Ad Anastasium, Alexandrum, Martinianum, Iohannem, Paregoriu","Cyrillus von Alexandrien 376-444(Ep. 55) Ad Anastasium, Alexandrum, Martinianum, Iohannem, Paregorium presb. et Maximum diac. ceterosque monachos OrientalesErklärung des nizänischen Glaubensbekenntnisses (BKV)",[],22,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-5355/versions/erklarung-des-nizanischen-glaubensbekenntnisses-bkv/divisions,1
5,Cyrillus von Alexandrien 376-444,Erklärung des nizänischen Glaubensbekenntnisses (BKV),cpg-5355,paragraph,,,,Cyrillus von Alexandrien 376-444,Cyrillus von Alexandrien 376-444,[],4,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-5355/versions/erklarung-des-nizanischen-glaubensbekenntnisses-bkv/divisions,1
6,Cyrillus von Alexandrien 376-444,Erklärung des nizänischen Glaubensbekenntnisses (BKV),cpg-5355,paragraph,,,,"(Ep. 55) Ad Anastasium, Alexandrum, Martinianum, Iohannem, Paregorium presb. et Maximum diac. cetero","(Ep. 55) Ad Anastasium, Alexandrum, Martinianum, Iohannem, Paregorium presb. et Maximum diac. ceterosque monachos Orientales",[],15,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-5355/versions/erklarung-des-nizanischen-glaubensbekenntnisses-bkv/divisions,1
7,Cyrillus von Alexandrien 376-444,Erklärung des nizänischen Glaubensbekenntnisses (BKV),cpg-5355,paragraph,,,,Erklärung des nizänischen Glaubensbekenntnisses (BKV),Erklärung des nizänischen Glaubensbekenntnisses (BKV),[],5,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-5355/versions/erklarung-des-nizanischen-glaubensbekenntnisses-bkv/divisions,1
8,Cyrillus von Alexandrien 376-444,Erklärung des nizänischen Glaubensbekenntnisses (BKV),cpg-5355,heading,,,,Bibliographische Angabe,Bibliographische Angabe,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-5355/versions/erklarung-des-nizanischen-glaubensbekenntnisses-bkv/divisions,1
9,Cyrillus von Alexandrien 376-444,Erklärung des nizänischen Glaubensbekenntnisses (BKV),cpg-5355,paragraph,,,,Erklärung des nizänischen Glaubensbekenntnisses In: Des heiligen Kirchenlehrers Cyrillus von Alexand,"Erklärung des nizänischen Glaubensbekenntnisses In: Des heiligen Kirchenlehrers Cyrillus von Alexandrien ausgewählte Schriften aus dem Griechischen übers. von Otto Bardenhewer. (Bibliothek der Kirchenväter, 2. Reihe, Band 12) Kempten; München : J. Kösel : F. Pustet, 1935 (Translation, Deutsch)",[],38,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-5355/versions/erklarung-des-nizanischen-glaubensbekenntnisses-bkv/divisions,1
10,Cyrillus von Alexandrien 376-444,Erklärung des nizänischen Glaubensbekenntnisses (BKV),cpg-5355,heading,,,,Mitarbeiter,Mitarbeiter,[],1,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-5355/versions/erklarung-des-nizanischen-glaubensbekenntnisses-bkv/divisions,1
