id,author,work_title,work_id,section_type,section_number,subsection_number,verse_number,title,text,footnotes,word_count,language,parent_section,hierarchy_level,is_introduction,is_footnote,original_url,page_number
1,"Dionysius Areopagita, ps. 520",Angeblicher Brief an den Mönch Demophilus (BKV),cpg-6611,paragraph,,,,"WerkeDionysius Areopagita, ps. (520)Ad DemophilumAngeblicher Brief an den Mönch Demophilus (BKV)Dion","WerkeDionysius Areopagita, ps. (520)Ad DemophilumAngeblicher Brief an den Mönch Demophilus (BKV)Dionysius Areopagita, ps. 520Ad DemophilumAngeblicher Brief an den Mönch Demophilus (BKV)Bibliographische AngabeAngeblicher Brief an den Mönch Demophilus (Ad Demophilum) In: Des heiligen Dionysus Areopagita angebliche Schriften über ""Göttliche Namen""; Angeblicher Brief an den Mönch Demophilus aus dem Griechischen übers. von Josef Stiglmayr. (Des heiligen Dionysus Areopagita ausgewählte Schriften Bd. 2; Bibliothek der Kirchenväter, 2. Reihe, Band 2) Kempten; München : J. Kösel : F. Pustet, 1933. (Translation, Deutsch)SchlüsselCPG 6611Datum5. Jh.MitarbeiterUwe HoltmannDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( kB)TextText anzeigenScans des TextesInhaltsangabe",[],92,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-6611/versions/angeblicher-brief-an-den-monch-demophilus-bkv/divisions,1
2,"Dionysius Areopagita, ps. 520",Angeblicher Brief an den Mönch Demophilus (BKV),cpg-6611,paragraph,,,,"WerkeDionysius Areopagita, ps. (520)Ad DemophilumAngeblicher Brief an den Mönch Demophilus (BKV)Dion","WerkeDionysius Areopagita, ps. (520)Ad DemophilumAngeblicher Brief an den Mönch Demophilus (BKV)Dionysius Areopagita, ps. 520Ad DemophilumAngeblicher Brief an den Mönch Demophilus (BKV)Bibliographische AngabeAngeblicher Brief an den Mönch Demophilus (Ad Demophilum) In: Des heiligen Dionysus Areopagita angebliche Schriften über ""Göttliche Namen""; Angeblicher Brief an den Mönch Demophilus aus dem Griechischen übers. von Josef Stiglmayr. (Des heiligen Dionysus Areopagita ausgewählte Schriften Bd. 2; Bibliothek der Kirchenväter, 2. Reihe, Band 2) Kempten; München : J. Kösel : F. Pustet, 1933. (Translation, Deutsch)SchlüsselCPG 6611Datum5. Jh.MitarbeiterUwe HoltmannDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( kB)TextText anzeigenScans des TextesInhaltsangabe",[],92,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-6611/versions/angeblicher-brief-an-den-monch-demophilus-bkv/divisions,1
3,"Dionysius Areopagita, ps. 520",Angeblicher Brief an den Mönch Demophilus (BKV),cpg-6611,paragraph,,,,"WerkeDionysius Areopagita, ps. (520)Ad DemophilumAngeblicher Brief an den Mönch Demophilus (BKV)","WerkeDionysius Areopagita, ps. (520)Ad DemophilumAngeblicher Brief an den Mönch Demophilus (BKV)",[],11,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-6611/versions/angeblicher-brief-an-den-monch-demophilus-bkv/divisions,1
4,"Dionysius Areopagita, ps. 520",Angeblicher Brief an den Mönch Demophilus (BKV),cpg-6611,paragraph,,,,"Dionysius Areopagita, ps. 520Ad DemophilumAngeblicher Brief an den Mönch Demophilus (BKV)","Dionysius Areopagita, ps. 520Ad DemophilumAngeblicher Brief an den Mönch Demophilus (BKV)",[],11,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-6611/versions/angeblicher-brief-an-den-monch-demophilus-bkv/divisions,1
5,"Dionysius Areopagita, ps. 520",Angeblicher Brief an den Mönch Demophilus (BKV),cpg-6611,paragraph,,,,"Dionysius Areopagita, ps. 520","Dionysius Areopagita, ps. 520",[],4,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-6611/versions/angeblicher-brief-an-den-monch-demophilus-bkv/divisions,1
6,"Dionysius Areopagita, ps. 520",Angeblicher Brief an den Mönch Demophilus (BKV),cpg-6611,paragraph,,,,Ad Demophilum,Ad Demophilum,[],2,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-6611/versions/angeblicher-brief-an-den-monch-demophilus-bkv/divisions,1
7,"Dionysius Areopagita, ps. 520",Angeblicher Brief an den Mönch Demophilus (BKV),cpg-6611,paragraph,,,,Angeblicher Brief an den Mönch Demophilus (BKV),Angeblicher Brief an den Mönch Demophilus (BKV),[],7,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-6611/versions/angeblicher-brief-an-den-monch-demophilus-bkv/divisions,1
8,"Dionysius Areopagita, ps. 520",Angeblicher Brief an den Mönch Demophilus (BKV),cpg-6611,heading,,,,Bibliographische Angabe,Bibliographische Angabe,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-6611/versions/angeblicher-brief-an-den-monch-demophilus-bkv/divisions,1
9,"Dionysius Areopagita, ps. 520",Angeblicher Brief an den Mönch Demophilus (BKV),cpg-6611,paragraph,,,,Angeblicher Brief an den Mönch Demophilus (Ad Demophilum) In: Des heiligen Dionysus Areopagita angeb,"Angeblicher Brief an den Mönch Demophilus (Ad Demophilum) In: Des heiligen Dionysus Areopagita angebliche Schriften über ""Göttliche Namen""; Angeblicher Brief an den Mönch Demophilus aus dem Griechischen übers. von Josef Stiglmayr. (Des heiligen Dionysus Areopagita ausgewählte Schriften Bd. 2; Bibliothek der Kirchenväter, 2. Reihe, Band 2) Kempten; München : J. Kösel : F. Pustet, 1933. (Translation, Deutsch)",[],57,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-6611/versions/angeblicher-brief-an-den-monch-demophilus-bkv/divisions,1
10,"Dionysius Areopagita, ps. 520",Angeblicher Brief an den Mönch Demophilus (BKV),cpg-6611,heading,,,,Mitarbeiter,Mitarbeiter,[],1,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-6611/versions/angeblicher-brief-an-den-monch-demophilus-bkv/divisions,1
