id,author,work_title,work_id,section_type,section_number,subsection_number,verse_number,title,text,footnotes,word_count,language,parent_section,hierarchy_level,is_introduction,is_footnote,original_url,page_number
1,"Dionysius Areopagita, ps. 520",De mystica theologia,cpg-6603,paragraph,,,,"WerkeDionysius Areopagita, ps. (520)De mystica theologiaDionysius Areopagita, ps. 520De mystica theo","WerkeDionysius Areopagita, ps. (520)De mystica theologiaDionysius Areopagita, ps. 520De mystica theologiaBibliographische AngabeΤοῦ ἐν Ἅγιοις Διονυσίου Ἀρεοπαγίτου πρὸς Τιμόθεον περὶ μυστικής θεολογίας Sancti Dionysii Areopagitae ad Timotheum De Mystica Theologia: Interprete Balthasare Corderio Societatis Jesu Doctore Theologo PG 3 997-1048 CORDIER (1634). (Edition, Griechisch)SchlüsselCPG 6603Datum500-520TextText anzeigenScans des TextesInhaltsangabe",[],47,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-6603/versions/de-mystica-theologia/divisions,1
2,"Dionysius Areopagita, ps. 520",De mystica theologia,cpg-6603,paragraph,,,,"WerkeDionysius Areopagita, ps. (520)De mystica theologiaDionysius Areopagita, ps. 520De mystica theo","WerkeDionysius Areopagita, ps. (520)De mystica theologiaDionysius Areopagita, ps. 520De mystica theologiaBibliographische AngabeΤοῦ ἐν Ἅγιοις Διονυσίου Ἀρεοπαγίτου πρὸς Τιμόθεον περὶ μυστικής θεολογίας Sancti Dionysii Areopagitae ad Timotheum De Mystica Theologia: Interprete Balthasare Corderio Societatis Jesu Doctore Theologo PG 3 997-1048 CORDIER (1634). (Edition, Griechisch)SchlüsselCPG 6603Datum500-520TextText anzeigenScans des TextesInhaltsangabe",[],47,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-6603/versions/de-mystica-theologia/divisions,1
3,"Dionysius Areopagita, ps. 520",De mystica theologia,cpg-6603,paragraph,,,,"WerkeDionysius Areopagita, ps. (520)De mystica theologia","WerkeDionysius Areopagita, ps. (520)De mystica theologia",[],6,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-6603/versions/de-mystica-theologia/divisions,1
4,"Dionysius Areopagita, ps. 520",De mystica theologia,cpg-6603,paragraph,,,,"Dionysius Areopagita, ps. 520De mystica theologia","Dionysius Areopagita, ps. 520De mystica theologia",[],6,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-6603/versions/de-mystica-theologia/divisions,1
5,"Dionysius Areopagita, ps. 520",De mystica theologia,cpg-6603,paragraph,,,,"Dionysius Areopagita, ps. 520","Dionysius Areopagita, ps. 520",[],4,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-6603/versions/de-mystica-theologia/divisions,1
6,"Dionysius Areopagita, ps. 520",De mystica theologia,cpg-6603,paragraph,,,,De mystica theologia,De mystica theologia,[],3,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-6603/versions/de-mystica-theologia/divisions,1
7,"Dionysius Areopagita, ps. 520",De mystica theologia,cpg-6603,heading,,,,Bibliographische Angabe,Bibliographische Angabe,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-6603/versions/de-mystica-theologia/divisions,1
8,"Dionysius Areopagita, ps. 520",De mystica theologia,cpg-6603,paragraph,,,,Τοῦ ἐν Ἅγιοις Διονυσίου Ἀρεοπαγίτου πρὸς Τιμόθεον περὶ μυστικής θεολογίας Sancti Dionysii Areopagita,"Τοῦ ἐν Ἅγιοις Διονυσίου Ἀρεοπαγίτου πρὸς Τιμόθεον περὶ μυστικής θεολογίας Sancti Dionysii Areopagitae ad Timotheum De Mystica Theologia: Interprete Balthasare Corderio Societatis Jesu Doctore Theologo PG 3 997-1048 CORDIER (1634). (Edition, Griechisch)",[],32,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-6603/versions/de-mystica-theologia/divisions,1
9,"Dionysius Areopagita, ps. 520",De mystica theologia,cpg-6603,paragraph,,,,Text anzeigen,Text anzeigen,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-6603/versions/de-mystica-theologia/divisions,1
10,"Dionysius Areopagita, ps. 520",De mystica theologia,cpg-6603,paragraph,,,,Scans des Textes,Scans des Textes,[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-6603/versions/de-mystica-theologia/divisions,1
11,"Dionysius Areopagita, ps. 520",De mystica theologia,cpg-6603,heading,,,,Inhaltsangabe,Inhaltsangabe,[],1,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-6603/versions/de-mystica-theologia/divisions,1
12,"Dionysius Areopagita, ps. 520",De mystica theologia,cpg-6603,paragraph,,,,Text anzeigenBibliographische AngabeScans dieser VersionEditionen dieses WerksDe mystica theologiaÜb,Text anzeigenBibliographische AngabeScans dieser VersionEditionen dieses WerksDe mystica theologiaÜbersetzungen dieses WerksMystische Theologie (Edith Stein)vergleichenInhaltsangabe,[],14,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-6603/versions/de-mystica-theologia/divisions,1
13,"Dionysius Areopagita, ps. 520",De mystica theologia,cpg-6603,paragraph,,,,Text anzeigenBibliographische AngabeScans dieser VersionEditionen dieses WerksDe mystica theologiaÜb,Text anzeigenBibliographische AngabeScans dieser VersionEditionen dieses WerksDe mystica theologiaÜbersetzungen dieses WerksMystische Theologie (Edith Stein)vergleichenInhaltsangabe,[],14,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-6603/versions/de-mystica-theologia/divisions,1
14,"Dionysius Areopagita, ps. 520",De mystica theologia,cpg-6603,paragraph,,,,Text anzeigenBibliographische AngabeScans dieser VersionEditionen dieses WerksDe mystica theologiaÜb,Text anzeigenBibliographische AngabeScans dieser VersionEditionen dieses WerksDe mystica theologiaÜbersetzungen dieses WerksMystische Theologie (Edith Stein)vergleichenInhaltsangabe,[],14,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-6603/versions/de-mystica-theologia/divisions,1
15,"Dionysius Areopagita, ps. 520",De mystica theologia,cpg-6603,paragraph,,,,Text anzeigenBibliographische AngabeScans dieser Version,Text anzeigenBibliographische AngabeScans dieser Version,[],5,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-6603/versions/de-mystica-theologia/divisions,1
16,"Dionysius Areopagita, ps. 520",De mystica theologia,cpg-6603,paragraph,,,,Text anzeigen,Text anzeigen,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-6603/versions/de-mystica-theologia/divisions,1
17,"Dionysius Areopagita, ps. 520",De mystica theologia,cpg-6603,paragraph,,,,Bibliographische Angabe,Bibliographische Angabe,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-6603/versions/de-mystica-theologia/divisions,1
18,"Dionysius Areopagita, ps. 520",De mystica theologia,cpg-6603,paragraph,,,,Scans dieser Version,Scans dieser Version,[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-6603/versions/de-mystica-theologia/divisions,1
19,"Dionysius Areopagita, ps. 520",De mystica theologia,cpg-6603,paragraph,,,,Editionen dieses Werks,Editionen dieses Werks,[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-6603/versions/de-mystica-theologia/divisions,1
20,"Dionysius Areopagita, ps. 520",De mystica theologia,cpg-6603,paragraph,,,,Übersetzungen dieses Werks,Übersetzungen dieses Werks,[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-6603/versions/de-mystica-theologia/divisions,1
21,"Dionysius Areopagita, ps. 520",De mystica theologia,cpg-6603,paragraph,,,,Inhaltsangabe,Inhaltsangabe,[],1,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-6603/versions/de-mystica-theologia/divisions,1
