id,author,work_title,work_id,section_type,section_number,subsection_number,verse_number,title,text,footnotes,word_count,language,parent_section,hierarchy_level,is_introduction,is_footnote,original_url,page_number
1,"Dionysius Areopagita, ps. 520",Kirchliche Hierarchie (BKV),cpg-6601,paragraph,,,,"WerkeDionysius Areopagita, ps. (520)De ecclesiastica hierarchiaKirchliche Hierarchie (BKV)Dionysius ","WerkeDionysius Areopagita, ps. (520)De ecclesiastica hierarchiaKirchliche Hierarchie (BKV)Dionysius Areopagita, ps. 520De ecclesiastica hierarchiaKirchliche Hierarchie (BKV)Bibliographische AngabeKirchliche Hierarchie (De ecclesiastica hierarchia) In: Des heiligen Dionysus Areopagita angebliche Schriften über die beiden Hierarchien. Aus dem Griechischen übersetzt von Josef Stiglmayr. (Bibliothek der Kirchenväter, 1. Reihe, Band 2) München 1911. (Translation, Deutsch)SchlüsselCPG 6601Datum5. Jh.MitarbeiterUwe HoltmannDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( kB)TextText anzeigenScans des TextesInhaltsangabe",[],63,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-6601/versions/kirchliche-hierarchie-bkv/divisions,1
2,"Dionysius Areopagita, ps. 520",Kirchliche Hierarchie (BKV),cpg-6601,paragraph,,,,"WerkeDionysius Areopagita, ps. (520)De ecclesiastica hierarchiaKirchliche Hierarchie (BKV)Dionysius ","WerkeDionysius Areopagita, ps. (520)De ecclesiastica hierarchiaKirchliche Hierarchie (BKV)Dionysius Areopagita, ps. 520De ecclesiastica hierarchiaKirchliche Hierarchie (BKV)Bibliographische AngabeKirchliche Hierarchie (De ecclesiastica hierarchia) In: Des heiligen Dionysus Areopagita angebliche Schriften über die beiden Hierarchien. Aus dem Griechischen übersetzt von Josef Stiglmayr. (Bibliothek der Kirchenväter, 1. Reihe, Band 2) München 1911. (Translation, Deutsch)SchlüsselCPG 6601Datum5. Jh.MitarbeiterUwe HoltmannDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( kB)TextText anzeigenScans des TextesInhaltsangabe",[],63,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-6601/versions/kirchliche-hierarchie-bkv/divisions,1
3,"Dionysius Areopagita, ps. 520",Kirchliche Hierarchie (BKV),cpg-6601,paragraph,,,,"WerkeDionysius Areopagita, ps. (520)De ecclesiastica hierarchiaKirchliche Hierarchie (BKV)","WerkeDionysius Areopagita, ps. (520)De ecclesiastica hierarchiaKirchliche Hierarchie (BKV)",[],8,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-6601/versions/kirchliche-hierarchie-bkv/divisions,1
4,"Dionysius Areopagita, ps. 520",Kirchliche Hierarchie (BKV),cpg-6601,paragraph,,,,"Dionysius Areopagita, ps. 520De ecclesiastica hierarchiaKirchliche Hierarchie (BKV)","Dionysius Areopagita, ps. 520De ecclesiastica hierarchiaKirchliche Hierarchie (BKV)",[],8,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-6601/versions/kirchliche-hierarchie-bkv/divisions,1
5,"Dionysius Areopagita, ps. 520",Kirchliche Hierarchie (BKV),cpg-6601,paragraph,,,,"Dionysius Areopagita, ps. 520","Dionysius Areopagita, ps. 520",[],4,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-6601/versions/kirchliche-hierarchie-bkv/divisions,1
6,"Dionysius Areopagita, ps. 520",Kirchliche Hierarchie (BKV),cpg-6601,paragraph,,,,De ecclesiastica hierarchia,De ecclesiastica hierarchia,[],3,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-6601/versions/kirchliche-hierarchie-bkv/divisions,1
7,"Dionysius Areopagita, ps. 520",Kirchliche Hierarchie (BKV),cpg-6601,paragraph,,,,Kirchliche Hierarchie (BKV),Kirchliche Hierarchie (BKV),[],3,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-6601/versions/kirchliche-hierarchie-bkv/divisions,1
8,"Dionysius Areopagita, ps. 520",Kirchliche Hierarchie (BKV),cpg-6601,heading,,,,Bibliographische Angabe,Bibliographische Angabe,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-6601/versions/kirchliche-hierarchie-bkv/divisions,1
9,"Dionysius Areopagita, ps. 520",Kirchliche Hierarchie (BKV),cpg-6601,paragraph,,,,Kirchliche Hierarchie (De ecclesiastica hierarchia) In: Des heiligen Dionysus Areopagita angebliche ,"Kirchliche Hierarchie (De ecclesiastica hierarchia) In: Des heiligen Dionysus Areopagita angebliche Schriften über die beiden Hierarchien. Aus dem Griechischen übersetzt von Josef Stiglmayr. (Bibliothek der Kirchenväter, 1. Reihe, Band 2) München 1911. (Translation, Deutsch)",[],34,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-6601/versions/kirchliche-hierarchie-bkv/divisions,1
10,"Dionysius Areopagita, ps. 520",Kirchliche Hierarchie (BKV),cpg-6601,heading,,,,Mitarbeiter,Mitarbeiter,[],1,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-6601/versions/kirchliche-hierarchie-bkv/divisions,1
11,"Dionysius Areopagita, ps. 520",Kirchliche Hierarchie (BKV),cpg-6601,paragraph,,,,Uwe Holtmann,Uwe Holtmann,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-6601/versions/kirchliche-hierarchie-bkv/divisions,1
12,"Dionysius Areopagita, ps. 520",Kirchliche Hierarchie (BKV),cpg-6601,paragraph,,,,DOCX ( kB),DOCX ( kB),[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-6601/versions/kirchliche-hierarchie-bkv/divisions,1
13,"Dionysius Areopagita, ps. 520",Kirchliche Hierarchie (BKV),cpg-6601,paragraph,,,,EPUB ( kB),EPUB ( kB),[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-6601/versions/kirchliche-hierarchie-bkv/divisions,1
14,"Dionysius Areopagita, ps. 520",Kirchliche Hierarchie (BKV),cpg-6601,paragraph,,,,PDF ( kB),PDF ( kB),[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-6601/versions/kirchliche-hierarchie-bkv/divisions,1
15,"Dionysius Areopagita, ps. 520",Kirchliche Hierarchie (BKV),cpg-6601,paragraph,,,,RTF ( kB),RTF ( kB),[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-6601/versions/kirchliche-hierarchie-bkv/divisions,1
16,"Dionysius Areopagita, ps. 520",Kirchliche Hierarchie (BKV),cpg-6601,paragraph,,,,Text anzeigen,Text anzeigen,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-6601/versions/kirchliche-hierarchie-bkv/divisions,1
17,"Dionysius Areopagita, ps. 520",Kirchliche Hierarchie (BKV),cpg-6601,paragraph,,,,Scans des Textes,Scans des Textes,[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-6601/versions/kirchliche-hierarchie-bkv/divisions,1
18,"Dionysius Areopagita, ps. 520",Kirchliche Hierarchie (BKV),cpg-6601,heading,,,,Inhaltsangabe,Inhaltsangabe,[],1,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-6601/versions/kirchliche-hierarchie-bkv/divisions,1
19,"Dionysius Areopagita, ps. 520",Kirchliche Hierarchie (BKV),cpg-6601,introduction,,,,Text anzeigenBibliographische AngabeScans dieser VersionDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( k,Text anzeigenBibliographische AngabeScans dieser VersionDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( kB)Übersetzungen dieses WerksKirchliche Hierarchie (BKV)Kirchliche Hierarchie (Edith Stein)vergleichenTraité de la Hiérarchie EcclesiastiquevergleichenKommentare zu diesem WerkEinleitung zur Himmlischen und Kirchlichen HierarchieInhaltsangabe,[],32,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-6601/versions/kirchliche-hierarchie-bkv/divisions,1
20,"Dionysius Areopagita, ps. 520",Kirchliche Hierarchie (BKV),cpg-6601,introduction,,,,Text anzeigenBibliographische AngabeScans dieser VersionDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( k,Text anzeigenBibliographische AngabeScans dieser VersionDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( kB)Übersetzungen dieses WerksKirchliche Hierarchie (BKV)Kirchliche Hierarchie (Edith Stein)vergleichenTraité de la Hiérarchie EcclesiastiquevergleichenKommentare zu diesem WerkEinleitung zur Himmlischen und Kirchlichen HierarchieInhaltsangabe,[],32,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-6601/versions/kirchliche-hierarchie-bkv/divisions,1
21,"Dionysius Areopagita, ps. 520",Kirchliche Hierarchie (BKV),cpg-6601,introduction,,,,Text anzeigenBibliographische AngabeScans dieser VersionDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( k,Text anzeigenBibliographische AngabeScans dieser VersionDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( kB)Übersetzungen dieses WerksKirchliche Hierarchie (BKV)Kirchliche Hierarchie (Edith Stein)vergleichenTraité de la Hiérarchie EcclesiastiquevergleichenKommentare zu diesem WerkEinleitung zur Himmlischen und Kirchlichen HierarchieInhaltsangabe,[],32,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-6601/versions/kirchliche-hierarchie-bkv/divisions,1
22,"Dionysius Areopagita, ps. 520",Kirchliche Hierarchie (BKV),cpg-6601,paragraph,,,,Text anzeigenBibliographische AngabeScans dieser VersionDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( k,Text anzeigenBibliographische AngabeScans dieser VersionDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( kB),[],13,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-6601/versions/kirchliche-hierarchie-bkv/divisions,1
23,"Dionysius Areopagita, ps. 520",Kirchliche Hierarchie (BKV),cpg-6601,paragraph,,,,Text anzeigen,Text anzeigen,[],2,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-6601/versions/kirchliche-hierarchie-bkv/divisions,1
24,"Dionysius Areopagita, ps. 520",Kirchliche Hierarchie (BKV),cpg-6601,paragraph,,,,Bibliographische Angabe,Bibliographische Angabe,[],2,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-6601/versions/kirchliche-hierarchie-bkv/divisions,1
25,"Dionysius Areopagita, ps. 520",Kirchliche Hierarchie (BKV),cpg-6601,paragraph,,,,Scans dieser Version,Scans dieser Version,[],3,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-6601/versions/kirchliche-hierarchie-bkv/divisions,1
26,"Dionysius Areopagita, ps. 520",Kirchliche Hierarchie (BKV),cpg-6601,paragraph,,,,DOCX ( kB),DOCX ( kB),[],3,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-6601/versions/kirchliche-hierarchie-bkv/divisions,1
