id,author,work_title,work_id,section_type,section_number,subsection_number,verse_number,title,text,footnotes,word_count,language,parent_section,hierarchy_level,is_introduction,is_footnote,original_url,page_number
1,"Dionysius Areopagita, ps. 520",ΠΕΡΙ ΘΕΙΩΝ ΟΝΟΜΑΤΩΝ,cpg-6602,paragraph,,,,"WerkeDionysius Areopagita, ps. (520)De divinis nominibusVon den göttlichen Namen (Edith Stein)Dionys","WerkeDionysius Areopagita, ps. (520)De divinis nominibusVon den göttlichen Namen (Edith Stein)Dionysius Areopagita, ps. 520De divinis nominibusVon den göttlichen Namen (Edith Stein)Bibliographische AngabeVon den göttlichen Namen (De divinis nominibus) In: Edith Steins Übersetzungen der Schriften des Dionysius Areopagita (ESGA 17) aus dem Griechischen übers. von Edith Stein. Quelle: Opera S. Dionysii Areopagitae cum Scholiis S. Maximi et Paraphrasi Pachymerae a Balthasare Corderio Soc. Jesu Doct. Theol. latine interpretata et notis theologicis illustrata. Antwerpen. 1634. – Τοῦ ἐν Ἅγιοις Διονυσίου Ἀρεοπαγίτου περὶ Θείων Ὀνομάτων – Sancti Dionysii Areopagitae de Divinis Nominibus (Translation, Deutsch)SchlüsselCPG 6602Datum5. Jh.TextText anzeigenScans des TextesInhaltsangabe",[],96,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-6602/versions/von-den-gottlichen-namen-ES/divisions,1
2,"Dionysius Areopagita, ps. 520",ΠΕΡΙ ΘΕΙΩΝ ΟΝΟΜΑΤΩΝ,cpg-6602,paragraph,,,,"WerkeDionysius Areopagita, ps. (520)De divinis nominibusVon den göttlichen Namen (Edith Stein)Dionys","WerkeDionysius Areopagita, ps. (520)De divinis nominibusVon den göttlichen Namen (Edith Stein)Dionysius Areopagita, ps. 520De divinis nominibusVon den göttlichen Namen (Edith Stein)Bibliographische AngabeVon den göttlichen Namen (De divinis nominibus) In: Edith Steins Übersetzungen der Schriften des Dionysius Areopagita (ESGA 17) aus dem Griechischen übers. von Edith Stein. Quelle: Opera S. Dionysii Areopagitae cum Scholiis S. Maximi et Paraphrasi Pachymerae a Balthasare Corderio Soc. Jesu Doct. Theol. latine interpretata et notis theologicis illustrata. Antwerpen. 1634. – Τοῦ ἐν Ἅγιοις Διονυσίου Ἀρεοπαγίτου περὶ Θείων Ὀνομάτων – Sancti Dionysii Areopagitae de Divinis Nominibus (Translation, Deutsch)SchlüsselCPG 6602Datum5. Jh.TextText anzeigenScans des TextesInhaltsangabe",[],96,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-6602/versions/von-den-gottlichen-namen-ES/divisions,1
3,"Dionysius Areopagita, ps. 520",ΠΕΡΙ ΘΕΙΩΝ ΟΝΟΜΑΤΩΝ,cpg-6602,paragraph,,,,"WerkeDionysius Areopagita, ps. (520)De divinis nominibusVon den göttlichen Namen (Edith Stein)","WerkeDionysius Areopagita, ps. (520)De divinis nominibusVon den göttlichen Namen (Edith Stein)",[],11,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-6602/versions/von-den-gottlichen-namen-ES/divisions,1
4,"Dionysius Areopagita, ps. 520",ΠΕΡΙ ΘΕΙΩΝ ΟΝΟΜΑΤΩΝ,cpg-6602,paragraph,,,,"Dionysius Areopagita, ps. 520De divinis nominibusVon den göttlichen Namen (Edith Stein)","Dionysius Areopagita, ps. 520De divinis nominibusVon den göttlichen Namen (Edith Stein)",[],11,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-6602/versions/von-den-gottlichen-namen-ES/divisions,1
5,"Dionysius Areopagita, ps. 520",ΠΕΡΙ ΘΕΙΩΝ ΟΝΟΜΑΤΩΝ,cpg-6602,paragraph,,,,"Dionysius Areopagita, ps. 520","Dionysius Areopagita, ps. 520",[],4,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-6602/versions/von-den-gottlichen-namen-ES/divisions,1
6,"Dionysius Areopagita, ps. 520",ΠΕΡΙ ΘΕΙΩΝ ΟΝΟΜΑΤΩΝ,cpg-6602,paragraph,,,,De divinis nominibus,De divinis nominibus,[],3,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-6602/versions/von-den-gottlichen-namen-ES/divisions,1
7,"Dionysius Areopagita, ps. 520",ΠΕΡΙ ΘΕΙΩΝ ΟΝΟΜΑΤΩΝ,cpg-6602,paragraph,,,,Von den göttlichen Namen (Edith Stein),Von den göttlichen Namen (Edith Stein),[],6,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-6602/versions/von-den-gottlichen-namen-ES/divisions,1
8,"Dionysius Areopagita, ps. 520",ΠΕΡΙ ΘΕΙΩΝ ΟΝΟΜΑΤΩΝ,cpg-6602,heading,,,,Bibliographische Angabe,Bibliographische Angabe,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-6602/versions/von-den-gottlichen-namen-ES/divisions,1
9,"Dionysius Areopagita, ps. 520",ΠΕΡΙ ΘΕΙΩΝ ΟΝΟΜΑΤΩΝ,cpg-6602,paragraph,,,,Von den göttlichen Namen (De divinis nominibus) In: Edith Steins Übersetzungen der Schriften des Dio,"Von den göttlichen Namen (De divinis nominibus) In: Edith Steins Übersetzungen der Schriften des Dionysius Areopagita (ESGA 17) aus dem Griechischen übers. von Edith Stein. Quelle: Opera S. Dionysii Areopagitae cum Scholiis S. Maximi et Paraphrasi Pachymerae a Balthasare Corderio Soc. Jesu Doct. Theol. latine interpretata et notis theologicis illustrata. Antwerpen. 1634. – Τοῦ ἐν Ἅγιοις Διονυσίου Ἀρεοπαγίτου περὶ Θείων Ὀνομάτων – Sancti Dionysii Areopagitae de Divinis Nominibus (Translation, Deutsch)",[],70,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-6602/versions/von-den-gottlichen-namen-ES/divisions,1
10,"Dionysius Areopagita, ps. 520",ΠΕΡΙ ΘΕΙΩΝ ΟΝΟΜΑΤΩΝ,cpg-6602,paragraph,,,,Text anzeigen,Text anzeigen,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-6602/versions/von-den-gottlichen-namen-ES/divisions,1
