id,author,work_title,work_id,section_type,section_number,subsection_number,verse_number,title,text,footnotes,word_count,language,parent_section,hierarchy_level,is_introduction,is_footnote,original_url,page_number
1,Dionysius von Alexandria,"To Hierax, a Bishop in Egypt",cpg-1566,introduction,,,,"WerkeDionysius von AlexandriaEpistula festalis ad HieracemTo Hierax, a Bishop in EgyptDionysius von ","WerkeDionysius von AlexandriaEpistula festalis ad HieracemTo Hierax, a Bishop in EgyptDionysius von AlexandriaEpistula festalis ad HieracemTo Hierax, a Bishop in EgyptBibliographische AngabeThe Writings of the Fathers Down to AD 325 ANTE-NICENE FATHERS VOLUME 6. Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. Edited by Alexander Roberts, D.D. James Donaldson, LL.D. Revised and chronologically arranged, with brief prefaces and occasional notes, by A. Cleveland Coxe, D.D. T T CLARK EDINBURGH WM. B. EERDMANS PUBLISHING COMPANY GRAND RAPIDS, MICHIGAN Fathers of the Third Century: Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. AMERICAN EDITION. Chronologically arranged, with brief notes and prefaces, by A. Cleveland Coxe, D.D. originally published in the United States by the Christian Literature Publishing Company, 1886 (Second printing 1995) (Translation, Englisch)SchlüsselCPG 1566Datum3. Jh.TextText anzeigenScans des TextesInhaltsangabe",[],137,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1566/versions/to-hierax-a-bishop-in-egypt/divisions,1
2,Dionysius von Alexandria,"To Hierax, a Bishop in Egypt",cpg-1566,introduction,,,,"WerkeDionysius von AlexandriaEpistula festalis ad HieracemTo Hierax, a Bishop in EgyptDionysius von ","WerkeDionysius von AlexandriaEpistula festalis ad HieracemTo Hierax, a Bishop in EgyptDionysius von AlexandriaEpistula festalis ad HieracemTo Hierax, a Bishop in EgyptBibliographische AngabeThe Writings of the Fathers Down to AD 325 ANTE-NICENE FATHERS VOLUME 6. Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. Edited by Alexander Roberts, D.D. James Donaldson, LL.D. Revised and chronologically arranged, with brief prefaces and occasional notes, by A. Cleveland Coxe, D.D. T T CLARK EDINBURGH WM. B. EERDMANS PUBLISHING COMPANY GRAND RAPIDS, MICHIGAN Fathers of the Third Century: Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. AMERICAN EDITION. Chronologically arranged, with brief notes and prefaces, by A. Cleveland Coxe, D.D. originally published in the United States by the Christian Literature Publishing Company, 1886 (Second printing 1995) (Translation, Englisch)SchlüsselCPG 1566Datum3. Jh.TextText anzeigenScans des TextesInhaltsangabe",[],137,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1566/versions/to-hierax-a-bishop-in-egypt/divisions,1
3,Dionysius von Alexandria,"To Hierax, a Bishop in Egypt",cpg-1566,paragraph,,,,"WerkeDionysius von AlexandriaEpistula festalis ad HieracemTo Hierax, a Bishop in Egypt","WerkeDionysius von AlexandriaEpistula festalis ad HieracemTo Hierax, a Bishop in Egypt",[],11,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1566/versions/to-hierax-a-bishop-in-egypt/divisions,1
4,Dionysius von Alexandria,"To Hierax, a Bishop in Egypt",cpg-1566,paragraph,,,,"Dionysius von AlexandriaEpistula festalis ad HieracemTo Hierax, a Bishop in Egypt","Dionysius von AlexandriaEpistula festalis ad HieracemTo Hierax, a Bishop in Egypt",[],11,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1566/versions/to-hierax-a-bishop-in-egypt/divisions,1
5,Dionysius von Alexandria,"To Hierax, a Bishop in Egypt",cpg-1566,paragraph,,,,Dionysius von Alexandria,Dionysius von Alexandria,[],3,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1566/versions/to-hierax-a-bishop-in-egypt/divisions,1
6,Dionysius von Alexandria,"To Hierax, a Bishop in Egypt",cpg-1566,paragraph,,,,Epistula festalis ad Hieracem,Epistula festalis ad Hieracem,[],4,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1566/versions/to-hierax-a-bishop-in-egypt/divisions,1
7,Dionysius von Alexandria,"To Hierax, a Bishop in Egypt",cpg-1566,paragraph,,,,"To Hierax, a Bishop in Egypt","To Hierax, a Bishop in Egypt",[],6,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1566/versions/to-hierax-a-bishop-in-egypt/divisions,1
8,Dionysius von Alexandria,"To Hierax, a Bishop in Egypt",cpg-1566,heading,,,,Bibliographische Angabe,Bibliographische Angabe,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1566/versions/to-hierax-a-bishop-in-egypt/divisions,1
9,Dionysius von Alexandria,"To Hierax, a Bishop in Egypt",cpg-1566,introduction,,,,"The Writings of the Fathers Down to AD 325 ANTE-NICENE FATHERS VOLUME 6. Gregory Thaumaturgus, Diony","The Writings of the Fathers Down to AD 325 ANTE-NICENE FATHERS VOLUME 6. Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. Edited by Alexander Roberts, D.D. James Donaldson, LL.D. Revised and chronologically arranged, with brief prefaces and occasional notes, by A. Cleveland Coxe, D.D. T T CLARK EDINBURGH WM. B. EERDMANS PUBLISHING COMPANY GRAND RAPIDS, MICHIGAN Fathers of the Third Century: Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. AMERICAN EDITION. Chronologically arranged, with brief notes and prefaces, by A. Cleveland Coxe, D.D. originally published in the United States by the Christian Literature Publishing Company, 1886 (Second printing 1995) (Translation, Englisch)",[],111,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1566/versions/to-hierax-a-bishop-in-egypt/divisions,1
10,Dionysius von Alexandria,"To Hierax, a Bishop in Egypt",cpg-1566,paragraph,,,,Text anzeigen,Text anzeigen,[],2,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1566/versions/to-hierax-a-bishop-in-egypt/divisions,1
