id,author,work_title,work_id,section_type,section_number,subsection_number,verse_number,title,text,footnotes,word_count,language,parent_section,hierarchy_level,is_introduction,is_footnote,original_url,page_number
1,Dionysius von Rom,Against the Sabellians,cpg-1860,introduction,,,,WerkeDionysius von RomEpistula Dionysii Romani contra SabellianosFrom the Books Against SabelliusDio,"WerkeDionysius von RomEpistula Dionysii Romani contra SabellianosFrom the Books Against SabelliusDionysius von RomEpistula Dionysii Romani contra SabellianosFrom the Books Against SabelliusBibliographische AngabeThe Writings of the Fathers Down to AD 325 ANTE-NICENE FATHERS VOLUME 6. Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. Edited by Alexander Roberts, D.D. James Donaldson, LL.D. Revised and chronologically arranged, with brief prefaces and occasional notes, by A. Cleveland Coxe, D.D. T T CLARK EDINBURGH WM. B. EERDMANS PUBLISHING COMPANY GRAND RAPIDS, MICHIGAN Fathers of the Third Century: Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. AMERICAN EDITION. Chronologically arranged, with brief notes and prefaces, by A. Cleveland Coxe, D.D. originally published in the United States by the Christian Literature Publishing Company, 1886 (Second printing 1995) (Commentary, Englisch)SchlüsselCPG 1860Datum3. Jh.TextText anzeigenScans des TextesInhaltsangabe",[],137,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1860/versions/from-the-books-against-sabellius/divisions,1
2,Dionysius von Rom,Against the Sabellians,cpg-1860,introduction,,,,WerkeDionysius von RomEpistula Dionysii Romani contra SabellianosFrom the Books Against SabelliusDio,"WerkeDionysius von RomEpistula Dionysii Romani contra SabellianosFrom the Books Against SabelliusDionysius von RomEpistula Dionysii Romani contra SabellianosFrom the Books Against SabelliusBibliographische AngabeThe Writings of the Fathers Down to AD 325 ANTE-NICENE FATHERS VOLUME 6. Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. Edited by Alexander Roberts, D.D. James Donaldson, LL.D. Revised and chronologically arranged, with brief prefaces and occasional notes, by A. Cleveland Coxe, D.D. T T CLARK EDINBURGH WM. B. EERDMANS PUBLISHING COMPANY GRAND RAPIDS, MICHIGAN Fathers of the Third Century: Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. AMERICAN EDITION. Chronologically arranged, with brief notes and prefaces, by A. Cleveland Coxe, D.D. originally published in the United States by the Christian Literature Publishing Company, 1886 (Second printing 1995) (Commentary, Englisch)SchlüsselCPG 1860Datum3. Jh.TextText anzeigenScans des TextesInhaltsangabe",[],137,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1860/versions/from-the-books-against-sabellius/divisions,1
3,Dionysius von Rom,Against the Sabellians,cpg-1860,paragraph,,,,WerkeDionysius von RomEpistula Dionysii Romani contra SabellianosFrom the Books Against Sabellius,WerkeDionysius von RomEpistula Dionysii Romani contra SabellianosFrom the Books Against Sabellius,[],11,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1860/versions/from-the-books-against-sabellius/divisions,1
4,Dionysius von Rom,Against the Sabellians,cpg-1860,paragraph,,,,Dionysius von RomEpistula Dionysii Romani contra SabellianosFrom the Books Against Sabellius,Dionysius von RomEpistula Dionysii Romani contra SabellianosFrom the Books Against Sabellius,[],11,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1860/versions/from-the-books-against-sabellius/divisions,1
5,Dionysius von Rom,Against the Sabellians,cpg-1860,paragraph,,,,Dionysius von Rom,Dionysius von Rom,[],3,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1860/versions/from-the-books-against-sabellius/divisions,1
6,Dionysius von Rom,Against the Sabellians,cpg-1860,paragraph,,,,Epistula Dionysii Romani contra Sabellianos,Epistula Dionysii Romani contra Sabellianos,[],5,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1860/versions/from-the-books-against-sabellius/divisions,1
7,Dionysius von Rom,Against the Sabellians,cpg-1860,paragraph,,,,From the Books Against Sabellius,From the Books Against Sabellius,[],5,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1860/versions/from-the-books-against-sabellius/divisions,1
8,Dionysius von Rom,Against the Sabellians,cpg-1860,heading,,,,Bibliographische Angabe,Bibliographische Angabe,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1860/versions/from-the-books-against-sabellius/divisions,1
9,Dionysius von Rom,Against the Sabellians,cpg-1860,introduction,,,,"The Writings of the Fathers Down to AD 325 ANTE-NICENE FATHERS VOLUME 6. Gregory Thaumaturgus, Diony","The Writings of the Fathers Down to AD 325 ANTE-NICENE FATHERS VOLUME 6. Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. Edited by Alexander Roberts, D.D. James Donaldson, LL.D. Revised and chronologically arranged, with brief prefaces and occasional notes, by A. Cleveland Coxe, D.D. T T CLARK EDINBURGH WM. B. EERDMANS PUBLISHING COMPANY GRAND RAPIDS, MICHIGAN Fathers of the Third Century: Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. AMERICAN EDITION. Chronologically arranged, with brief notes and prefaces, by A. Cleveland Coxe, D.D. originally published in the United States by the Christian Literature Publishing Company, 1886 (Second printing 1995) (Commentary, Englisch)",[],111,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1860/versions/from-the-books-against-sabellius/divisions,1
10,Dionysius von Rom,Against the Sabellians,cpg-1860,paragraph,,,,Text anzeigen,Text anzeigen,[],2,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1860/versions/from-the-books-against-sabellius/divisions,1
11,Dionysius von Rom,Against the Sabellians,cpg-1860,paragraph,,,,Scans des Textes,Scans des Textes,[],3,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1860/versions/from-the-books-against-sabellius/divisions,1
12,Dionysius von Rom,Against the Sabellians,cpg-1860,heading,,,,Inhaltsangabe,Inhaltsangabe,[],1,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1860/versions/from-the-books-against-sabellius/divisions,1
