id,author,work_title,work_id,section_type,section_number,subsection_number,verse_number,title,text,footnotes,word_count,language,parent_section,hierarchy_level,is_introduction,is_footnote,original_url,page_number
1,Ephräm der Syrer 306-373,Hymnen gegen die Irrlehren (BKV),cpg-3949,paragraph,,,,WerkeEphräm der Syrer (306-373)Hymnen contra haeresesHymnen gegen die Irrlehren (BKV)Ephräm der Syre,"WerkeEphräm der Syrer (306-373)Hymnen contra haeresesHymnen gegen die Irrlehren (BKV)Ephräm der Syrer 306-373Hymnen contra haeresesHymnen gegen die Irrlehren (BKV)Bibliographische AngabeHymnen gegen die Irrlehren (Hymnen contra haereses) In: Des heiligen Ephräm des Syrers ausgewählte Schriften aus dem Syrischen und Griechischen übers. (Des heiligen Ephräm des Syrers ausgewählte Schriften Bd. 1; Bibliothek der Kirchenväter, 1. Reihe, Band 61) Kempten; München : J. Kösel : F. Pustet, 1928. (Translation, Deutsch)Schlüssel??? CPG 3949Datum4. Jh.MitarbeiterDiether Wegener und Rudolf HeumannDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( kB)MD ( kB)TextText anzeigenScans des TextesInhaltsangabe",[],87,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-3949/versions/hymnen-gegen-die-irrlehren-bkv/divisions,1
2,Ephräm der Syrer 306-373,Hymnen gegen die Irrlehren (BKV),cpg-3949,paragraph,,,,WerkeEphräm der Syrer (306-373)Hymnen contra haeresesHymnen gegen die Irrlehren (BKV)Ephräm der Syre,"WerkeEphräm der Syrer (306-373)Hymnen contra haeresesHymnen gegen die Irrlehren (BKV)Ephräm der Syrer 306-373Hymnen contra haeresesHymnen gegen die Irrlehren (BKV)Bibliographische AngabeHymnen gegen die Irrlehren (Hymnen contra haereses) In: Des heiligen Ephräm des Syrers ausgewählte Schriften aus dem Syrischen und Griechischen übers. (Des heiligen Ephräm des Syrers ausgewählte Schriften Bd. 1; Bibliothek der Kirchenväter, 1. Reihe, Band 61) Kempten; München : J. Kösel : F. Pustet, 1928. (Translation, Deutsch)Schlüssel??? CPG 3949Datum4. Jh.MitarbeiterDiether Wegener und Rudolf HeumannDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( kB)MD ( kB)TextText anzeigenScans des TextesInhaltsangabe",[],87,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-3949/versions/hymnen-gegen-die-irrlehren-bkv/divisions,1
3,Ephräm der Syrer 306-373,Hymnen gegen die Irrlehren (BKV),cpg-3949,paragraph,,,,WerkeEphräm der Syrer (306-373)Hymnen contra haeresesHymnen gegen die Irrlehren (BKV),WerkeEphräm der Syrer (306-373)Hymnen contra haeresesHymnen gegen die Irrlehren (BKV),[],10,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-3949/versions/hymnen-gegen-die-irrlehren-bkv/divisions,1
4,Ephräm der Syrer 306-373,Hymnen gegen die Irrlehren (BKV),cpg-3949,paragraph,,,,Ephräm der Syrer 306-373Hymnen contra haeresesHymnen gegen die Irrlehren (BKV),Ephräm der Syrer 306-373Hymnen contra haeresesHymnen gegen die Irrlehren (BKV),[],10,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-3949/versions/hymnen-gegen-die-irrlehren-bkv/divisions,1
5,Ephräm der Syrer 306-373,Hymnen gegen die Irrlehren (BKV),cpg-3949,paragraph,,,,Ephräm der Syrer 306-373,Ephräm der Syrer 306-373,[],4,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-3949/versions/hymnen-gegen-die-irrlehren-bkv/divisions,1
6,Ephräm der Syrer 306-373,Hymnen gegen die Irrlehren (BKV),cpg-3949,paragraph,,,,Hymnen contra haereses,Hymnen contra haereses,[],3,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-3949/versions/hymnen-gegen-die-irrlehren-bkv/divisions,1
7,Ephräm der Syrer 306-373,Hymnen gegen die Irrlehren (BKV),cpg-3949,paragraph,,,,Hymnen gegen die Irrlehren (BKV),Hymnen gegen die Irrlehren (BKV),[],5,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-3949/versions/hymnen-gegen-die-irrlehren-bkv/divisions,1
8,Ephräm der Syrer 306-373,Hymnen gegen die Irrlehren (BKV),cpg-3949,heading,,,,Bibliographische Angabe,Bibliographische Angabe,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-3949/versions/hymnen-gegen-die-irrlehren-bkv/divisions,1
9,Ephräm der Syrer 306-373,Hymnen gegen die Irrlehren (BKV),cpg-3949,paragraph,,,,Hymnen gegen die Irrlehren (Hymnen contra haereses) In: Des heiligen Ephräm des Syrers ausgewählte S,"Hymnen gegen die Irrlehren (Hymnen contra haereses) In: Des heiligen Ephräm des Syrers ausgewählte Schriften aus dem Syrischen und Griechischen übers. (Des heiligen Ephräm des Syrers ausgewählte Schriften Bd. 1; Bibliothek der Kirchenväter, 1. Reihe, Band 61) Kempten; München : J. Kösel : F. Pustet, 1928. (Translation, Deutsch)",[],48,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-3949/versions/hymnen-gegen-die-irrlehren-bkv/divisions,1
10,Ephräm der Syrer 306-373,Hymnen gegen die Irrlehren (BKV),cpg-3949,paragraph,,,,??? CPG 3949,??? CPG 3949,[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-3949/versions/hymnen-gegen-die-irrlehren-bkv/divisions,1
11,Ephräm der Syrer 306-373,Hymnen gegen die Irrlehren (BKV),cpg-3949,heading,,,,Mitarbeiter,Mitarbeiter,[],1,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-3949/versions/hymnen-gegen-die-irrlehren-bkv/divisions,1
12,Ephräm der Syrer 306-373,Hymnen gegen die Irrlehren (BKV),cpg-3949,paragraph,,,,Diether Wegener und Rudolf Heumann,Diether Wegener und Rudolf Heumann,[],5,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-3949/versions/hymnen-gegen-die-irrlehren-bkv/divisions,1
13,Ephräm der Syrer 306-373,Hymnen gegen die Irrlehren (BKV),cpg-3949,paragraph,,,,DOCX ( kB),DOCX ( kB),[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-3949/versions/hymnen-gegen-die-irrlehren-bkv/divisions,1
14,Ephräm der Syrer 306-373,Hymnen gegen die Irrlehren (BKV),cpg-3949,paragraph,,,,EPUB ( kB),EPUB ( kB),[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-3949/versions/hymnen-gegen-die-irrlehren-bkv/divisions,1
15,Ephräm der Syrer 306-373,Hymnen gegen die Irrlehren (BKV),cpg-3949,paragraph,,,,PDF ( kB),PDF ( kB),[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-3949/versions/hymnen-gegen-die-irrlehren-bkv/divisions,1
16,Ephräm der Syrer 306-373,Hymnen gegen die Irrlehren (BKV),cpg-3949,paragraph,,,,RTF ( kB),RTF ( kB),[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-3949/versions/hymnen-gegen-die-irrlehren-bkv/divisions,1
17,Ephräm der Syrer 306-373,Hymnen gegen die Irrlehren (BKV),cpg-3949,paragraph,,,,MD ( kB),MD ( kB),[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-3949/versions/hymnen-gegen-die-irrlehren-bkv/divisions,1
18,Ephräm der Syrer 306-373,Hymnen gegen die Irrlehren (BKV),cpg-3949,paragraph,,,,Text anzeigen,Text anzeigen,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-3949/versions/hymnen-gegen-die-irrlehren-bkv/divisions,1
19,Ephräm der Syrer 306-373,Hymnen gegen die Irrlehren (BKV),cpg-3949,paragraph,,,,Scans des Textes,Scans des Textes,[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-3949/versions/hymnen-gegen-die-irrlehren-bkv/divisions,1
