id,author,work_title,work_id,section_type,section_number,subsection_number,verse_number,title,text,footnotes,word_count,language,parent_section,hierarchy_level,is_introduction,is_footnote,original_url,page_number
1,Epiphanius von Salamis 315-403,Ancoratus,cpg-3744,paragraph,,,,WerkeEpiphanius von Salamis (315-403)AncoratusEpiphanius von Salamis 315-403AncoratusBibliographisch,"WerkeEpiphanius von Salamis (315-403)AncoratusEpiphanius von Salamis 315-403AncoratusBibliographische AngabeEpiphanius Ancoratus (ed. K. Holl, post R. Khazarzar) Epiphanius, Band 1: Ancoratus und Panarion Die griechischen christlichen Schriftsteller 25. Leipzig: Hinrichs, 1915. P. 1–149. (Edition, Griechisch)SchlüsselCPG 3744Datum4. Jh.TextText anzeigenScans des TextesInhaltsangabe",[],38,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-3744/versions/ancoratus/divisions,1
2,Epiphanius von Salamis 315-403,Ancoratus,cpg-3744,paragraph,,,,WerkeEpiphanius von Salamis (315-403)AncoratusEpiphanius von Salamis 315-403AncoratusBibliographisch,"WerkeEpiphanius von Salamis (315-403)AncoratusEpiphanius von Salamis 315-403AncoratusBibliographische AngabeEpiphanius Ancoratus (ed. K. Holl, post R. Khazarzar) Epiphanius, Band 1: Ancoratus und Panarion Die griechischen christlichen Schriftsteller 25. Leipzig: Hinrichs, 1915. P. 1–149. (Edition, Griechisch)SchlüsselCPG 3744Datum4. Jh.TextText anzeigenScans des TextesInhaltsangabe",[],38,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-3744/versions/ancoratus/divisions,1
3,Epiphanius von Salamis 315-403,Ancoratus,cpg-3744,paragraph,,,,WerkeEpiphanius von Salamis (315-403)Ancoratus,WerkeEpiphanius von Salamis (315-403)Ancoratus,[],4,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-3744/versions/ancoratus/divisions,1
4,Epiphanius von Salamis 315-403,Ancoratus,cpg-3744,paragraph,,,,Epiphanius von Salamis 315-403Ancoratus,Epiphanius von Salamis 315-403Ancoratus,[],4,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-3744/versions/ancoratus/divisions,1
5,Epiphanius von Salamis 315-403,Ancoratus,cpg-3744,paragraph,,,,Epiphanius von Salamis 315-403,Epiphanius von Salamis 315-403,[],4,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-3744/versions/ancoratus/divisions,1
6,Epiphanius von Salamis 315-403,Ancoratus,cpg-3744,heading,,,,Bibliographische Angabe,Bibliographische Angabe,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-3744/versions/ancoratus/divisions,1
7,Epiphanius von Salamis 315-403,Ancoratus,cpg-3744,paragraph,,,,"Epiphanius Ancoratus (ed. K. Holl, post R. Khazarzar) Epiphanius, Band 1: Ancoratus und Panarion Die","Epiphanius Ancoratus (ed. K. Holl, post R. Khazarzar) Epiphanius, Band 1: Ancoratus und Panarion Die griechischen christlichen Schriftsteller 25. Leipzig: Hinrichs, 1915. P. 1–149. (Edition, Griechisch)",[],26,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-3744/versions/ancoratus/divisions,1
8,Epiphanius von Salamis 315-403,Ancoratus,cpg-3744,paragraph,,,,Text anzeigen,Text anzeigen,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-3744/versions/ancoratus/divisions,1
9,Epiphanius von Salamis 315-403,Ancoratus,cpg-3744,paragraph,,,,Scans des Textes,Scans des Textes,[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-3744/versions/ancoratus/divisions,1
10,Epiphanius von Salamis 315-403,Ancoratus,cpg-3744,heading,,,,Inhaltsangabe,Inhaltsangabe,[],1,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-3744/versions/ancoratus/divisions,1
11,Epiphanius von Salamis 315-403,Ancoratus,cpg-3744,paragraph,,,,Text anzeigenBibliographische AngabeScans dieser VersionEditionen dieses WerksAncoratusÜbersetzungen,Text anzeigenBibliographische AngabeScans dieser VersionEditionen dieses WerksAncoratusÜbersetzungen dieses WerksDer Festgeankerte (BKV)vergleichenInhaltsangabe,[],11,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-3744/versions/ancoratus/divisions,1
12,Epiphanius von Salamis 315-403,Ancoratus,cpg-3744,paragraph,,,,Text anzeigenBibliographische AngabeScans dieser VersionEditionen dieses WerksAncoratusÜbersetzungen,Text anzeigenBibliographische AngabeScans dieser VersionEditionen dieses WerksAncoratusÜbersetzungen dieses WerksDer Festgeankerte (BKV)vergleichenInhaltsangabe,[],11,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-3744/versions/ancoratus/divisions,1
13,Epiphanius von Salamis 315-403,Ancoratus,cpg-3744,paragraph,,,,Text anzeigenBibliographische AngabeScans dieser VersionEditionen dieses WerksAncoratusÜbersetzungen,Text anzeigenBibliographische AngabeScans dieser VersionEditionen dieses WerksAncoratusÜbersetzungen dieses WerksDer Festgeankerte (BKV)vergleichenInhaltsangabe,[],11,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-3744/versions/ancoratus/divisions,1
14,Epiphanius von Salamis 315-403,Ancoratus,cpg-3744,paragraph,,,,Text anzeigenBibliographische AngabeScans dieser Version,Text anzeigenBibliographische AngabeScans dieser Version,[],5,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-3744/versions/ancoratus/divisions,1
15,Epiphanius von Salamis 315-403,Ancoratus,cpg-3744,paragraph,,,,Text anzeigen,Text anzeigen,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-3744/versions/ancoratus/divisions,1
16,Epiphanius von Salamis 315-403,Ancoratus,cpg-3744,paragraph,,,,Bibliographische Angabe,Bibliographische Angabe,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-3744/versions/ancoratus/divisions,1
17,Epiphanius von Salamis 315-403,Ancoratus,cpg-3744,paragraph,,,,Scans dieser Version,Scans dieser Version,[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-3744/versions/ancoratus/divisions,1
18,Epiphanius von Salamis 315-403,Ancoratus,cpg-3744,paragraph,,,,Editionen dieses Werks,Editionen dieses Werks,[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-3744/versions/ancoratus/divisions,1
