id,author,work_title,work_id,section_type,section_number,subsection_number,verse_number,title,text,footnotes,word_count,language,parent_section,hierarchy_level,is_introduction,is_footnote,original_url,page_number
1,Gregor der Wundertäter (Gregorios Thaumaturgos) 213-270,Canonical Epistle,cpg-1765,paragraph,,,,WerkeGregor der Wundertäter (Gregorios Thaumaturgos) (213-270)Epistula canonicaSendschreiben kirchli,"WerkeGregor der Wundertäter (Gregorios Thaumaturgos) (213-270)Epistula canonicaSendschreiben kirchlicher Verordnungen (BKV)Gregor der Wundertäter (Gregorios Thaumaturgos) 213-270Epistula canonicaSendschreiben kirchlicher Verordnungen (BKV)Bibliographische AngabeSendschreiben kirchlicher Verordnungen (Epistula canonica) In: Des heiligen Dionysus Areopagita angebliche Schriften über die beiden Hierarchien... Des heiligen Gregorius Thaumaturgus ausgewählte Schriften aus dem Griechischen übersetzt von Dr. P. Hermann Bourier Benediktiner von Augsburg (Bibliothek der Kirchenväter, 1. Reihe, Band 2) Kempten und München 1911, 264–270. (Translation, Deutsch)SchlüsselCPG 1765Datum3. Jh.MitarbeiterRudolf HeumannDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( kB)TextText anzeigenScans des TextesInhaltsangabe",[],81,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-1765/versions/sendschreiben-kirchlicher-verordnungen-bkv/divisions,1
2,Gregor der Wundertäter (Gregorios Thaumaturgos) 213-270,Canonical Epistle,cpg-1765,paragraph,,,,WerkeGregor der Wundertäter (Gregorios Thaumaturgos) (213-270)Epistula canonicaSendschreiben kirchli,"WerkeGregor der Wundertäter (Gregorios Thaumaturgos) (213-270)Epistula canonicaSendschreiben kirchlicher Verordnungen (BKV)Gregor der Wundertäter (Gregorios Thaumaturgos) 213-270Epistula canonicaSendschreiben kirchlicher Verordnungen (BKV)Bibliographische AngabeSendschreiben kirchlicher Verordnungen (Epistula canonica) In: Des heiligen Dionysus Areopagita angebliche Schriften über die beiden Hierarchien... Des heiligen Gregorius Thaumaturgus ausgewählte Schriften aus dem Griechischen übersetzt von Dr. P. Hermann Bourier Benediktiner von Augsburg (Bibliothek der Kirchenväter, 1. Reihe, Band 2) Kempten und München 1911, 264–270. (Translation, Deutsch)SchlüsselCPG 1765Datum3. Jh.MitarbeiterRudolf HeumannDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( kB)TextText anzeigenScans des TextesInhaltsangabe",[],81,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-1765/versions/sendschreiben-kirchlicher-verordnungen-bkv/divisions,1
3,Gregor der Wundertäter (Gregorios Thaumaturgos) 213-270,Canonical Epistle,cpg-1765,paragraph,,,,WerkeGregor der Wundertäter (Gregorios Thaumaturgos) (213-270)Epistula canonicaSendschreiben kirchli,WerkeGregor der Wundertäter (Gregorios Thaumaturgos) (213-270)Epistula canonicaSendschreiben kirchlicher Verordnungen (BKV),[],10,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-1765/versions/sendschreiben-kirchlicher-verordnungen-bkv/divisions,1
4,Gregor der Wundertäter (Gregorios Thaumaturgos) 213-270,Canonical Epistle,cpg-1765,paragraph,,,,Gregor der Wundertäter (Gregorios Thaumaturgos) 213-270Epistula canonicaSendschreiben kirchlicher Ve,Gregor der Wundertäter (Gregorios Thaumaturgos) 213-270Epistula canonicaSendschreiben kirchlicher Verordnungen (BKV),[],10,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-1765/versions/sendschreiben-kirchlicher-verordnungen-bkv/divisions,1
5,Gregor der Wundertäter (Gregorios Thaumaturgos) 213-270,Canonical Epistle,cpg-1765,paragraph,,,,Gregor der Wundertäter (Gregorios Thaumaturgos) 213-270,Gregor der Wundertäter (Gregorios Thaumaturgos) 213-270,[],6,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-1765/versions/sendschreiben-kirchlicher-verordnungen-bkv/divisions,1
6,Gregor der Wundertäter (Gregorios Thaumaturgos) 213-270,Canonical Epistle,cpg-1765,paragraph,,,,Epistula canonica,Epistula canonica,[],2,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-1765/versions/sendschreiben-kirchlicher-verordnungen-bkv/divisions,1
7,Gregor der Wundertäter (Gregorios Thaumaturgos) 213-270,Canonical Epistle,cpg-1765,paragraph,,,,Sendschreiben kirchlicher Verordnungen (BKV),Sendschreiben kirchlicher Verordnungen (BKV),[],4,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-1765/versions/sendschreiben-kirchlicher-verordnungen-bkv/divisions,1
8,Gregor der Wundertäter (Gregorios Thaumaturgos) 213-270,Canonical Epistle,cpg-1765,heading,,,,Bibliographische Angabe,Bibliographische Angabe,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1765/versions/sendschreiben-kirchlicher-verordnungen-bkv/divisions,1
9,Gregor der Wundertäter (Gregorios Thaumaturgos) 213-270,Canonical Epistle,cpg-1765,paragraph,,,,Sendschreiben kirchlicher Verordnungen (Epistula canonica) In: Des heiligen Dionysus Areopagita ange,"Sendschreiben kirchlicher Verordnungen (Epistula canonica) In: Des heiligen Dionysus Areopagita angebliche Schriften über die beiden Hierarchien... Des heiligen Gregorius Thaumaturgus ausgewählte Schriften aus dem Griechischen übersetzt von Dr. P. Hermann Bourier Benediktiner von Augsburg (Bibliothek der Kirchenväter, 1. Reihe, Band 2) Kempten und München 1911, 264–270. (Translation, Deutsch)",[],48,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1765/versions/sendschreiben-kirchlicher-verordnungen-bkv/divisions,1
10,Gregor der Wundertäter (Gregorios Thaumaturgos) 213-270,Canonical Epistle,cpg-1765,heading,,,,Mitarbeiter,Mitarbeiter,[],1,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1765/versions/sendschreiben-kirchlicher-verordnungen-bkv/divisions,1
11,Gregor der Wundertäter (Gregorios Thaumaturgos) 213-270,Canonical Epistle,cpg-1765,paragraph,,,,Rudolf Heumann,Rudolf Heumann,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1765/versions/sendschreiben-kirchlicher-verordnungen-bkv/divisions,1
12,Gregor der Wundertäter (Gregorios Thaumaturgos) 213-270,Canonical Epistle,cpg-1765,paragraph,,,,DOCX ( kB),DOCX ( kB),[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1765/versions/sendschreiben-kirchlicher-verordnungen-bkv/divisions,1
13,Gregor der Wundertäter (Gregorios Thaumaturgos) 213-270,Canonical Epistle,cpg-1765,paragraph,,,,EPUB ( kB),EPUB ( kB),[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1765/versions/sendschreiben-kirchlicher-verordnungen-bkv/divisions,1
14,Gregor der Wundertäter (Gregorios Thaumaturgos) 213-270,Canonical Epistle,cpg-1765,paragraph,,,,PDF ( kB),PDF ( kB),[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1765/versions/sendschreiben-kirchlicher-verordnungen-bkv/divisions,1
15,Gregor der Wundertäter (Gregorios Thaumaturgos) 213-270,Canonical Epistle,cpg-1765,paragraph,,,,RTF ( kB),RTF ( kB),[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1765/versions/sendschreiben-kirchlicher-verordnungen-bkv/divisions,1
16,Gregor der Wundertäter (Gregorios Thaumaturgos) 213-270,Canonical Epistle,cpg-1765,paragraph,,,,Text anzeigen,Text anzeigen,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1765/versions/sendschreiben-kirchlicher-verordnungen-bkv/divisions,1
17,Gregor der Wundertäter (Gregorios Thaumaturgos) 213-270,Canonical Epistle,cpg-1765,paragraph,,,,Scans des Textes,Scans des Textes,[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1765/versions/sendschreiben-kirchlicher-verordnungen-bkv/divisions,1
18,Gregor der Wundertäter (Gregorios Thaumaturgos) 213-270,Canonical Epistle,cpg-1765,heading,,,,Inhaltsangabe,Inhaltsangabe,[],1,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1765/versions/sendschreiben-kirchlicher-verordnungen-bkv/divisions,1
19,Gregor der Wundertäter (Gregorios Thaumaturgos) 213-270,Canonical Epistle,cpg-1765,paragraph,,,,Text anzeigenBibliographische AngabeScans dieser VersionDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( k,Text anzeigenBibliographische AngabeScans dieser VersionDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( kB)Übersetzungen dieses WerksCanonical EpistlevergleichenSendschreiben kirchlicher Verordnungen (BKV)Kommentare zu diesem WerkElucidations - Canonical EpistleIntroductory Note to Gregory ThaumaturgusInhaltsangabe,[],29,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1765/versions/sendschreiben-kirchlicher-verordnungen-bkv/divisions,1
20,Gregor der Wundertäter (Gregorios Thaumaturgos) 213-270,Canonical Epistle,cpg-1765,paragraph,,,,Text anzeigenBibliographische AngabeScans dieser VersionDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( k,Text anzeigenBibliographische AngabeScans dieser VersionDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( kB)Übersetzungen dieses WerksCanonical EpistlevergleichenSendschreiben kirchlicher Verordnungen (BKV)Kommentare zu diesem WerkElucidations - Canonical EpistleIntroductory Note to Gregory ThaumaturgusInhaltsangabe,[],29,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1765/versions/sendschreiben-kirchlicher-verordnungen-bkv/divisions,1
21,Gregor der Wundertäter (Gregorios Thaumaturgos) 213-270,Canonical Epistle,cpg-1765,paragraph,,,,Text anzeigenBibliographische AngabeScans dieser VersionDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( k,Text anzeigenBibliographische AngabeScans dieser VersionDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( kB)Übersetzungen dieses WerksCanonical EpistlevergleichenSendschreiben kirchlicher Verordnungen (BKV)Kommentare zu diesem WerkElucidations - Canonical EpistleIntroductory Note to Gregory ThaumaturgusInhaltsangabe,[],29,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1765/versions/sendschreiben-kirchlicher-verordnungen-bkv/divisions,1
