id,author,work_title,work_id,section_type,section_number,subsection_number,verse_number,title,text,footnotes,word_count,language,parent_section,hierarchy_level,is_introduction,is_footnote,original_url,page_number
1,Gregor der Wundertäter (Gregorios Thaumaturgos) 213-270,The Second Homily,cpg-1776-1,introduction,,,,WerkeGregor der Wundertäter (Gregorios Thaumaturgos) (213-270)Homilia ii in annuntiationem Virginis ,"WerkeGregor der Wundertäter (Gregorios Thaumaturgos) (213-270)Homilia ii in annuntiationem Virginis MariaeIntroductory Note to Gregory ThaumaturgusGregor der Wundertäter (Gregorios Thaumaturgos) 213-270Homilia ii in annuntiationem Virginis MariaeIntroductory Note to Gregory ThaumaturgusBibliographische AngabeThe Writings of the Fathers Down to AD 325 ANTE-NICENE FATHERS VOLUME 6. Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. Edited by Alexander Roberts, D.D. James Donaldson, LL.D. Revised and chronologically arranged, with brief prefaces and occasional notes, by A. Cleveland Coxe, D.D. T T CLARK EDINBURGH WM. B. EERDMANS PUBLISHING COMPANY GRAND RAPIDS, MICHIGAN Fathers of the Third Century: Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. AMERICAN EDITION. Chronologically arranged, with brief notes and prefaces, by A. Cleveland Coxe, D.D. originally published in the United States by the Christian Literature Publishing Company, 1886 (Second printing 1995) (Commentary, Englisch)SchlüsselCPG 1776Datum3. Jh.Andere WerkeTextText anzeigenScans des TextesInhaltsangabe",[],146,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1776-1/versions/introductory-note-to-gregory-thaumaturgus/divisions,1
2,Gregor der Wundertäter (Gregorios Thaumaturgos) 213-270,The Second Homily,cpg-1776-1,introduction,,,,WerkeGregor der Wundertäter (Gregorios Thaumaturgos) (213-270)Homilia ii in annuntiationem Virginis ,"WerkeGregor der Wundertäter (Gregorios Thaumaturgos) (213-270)Homilia ii in annuntiationem Virginis MariaeIntroductory Note to Gregory ThaumaturgusGregor der Wundertäter (Gregorios Thaumaturgos) 213-270Homilia ii in annuntiationem Virginis MariaeIntroductory Note to Gregory ThaumaturgusBibliographische AngabeThe Writings of the Fathers Down to AD 325 ANTE-NICENE FATHERS VOLUME 6. Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. Edited by Alexander Roberts, D.D. James Donaldson, LL.D. Revised and chronologically arranged, with brief prefaces and occasional notes, by A. Cleveland Coxe, D.D. T T CLARK EDINBURGH WM. B. EERDMANS PUBLISHING COMPANY GRAND RAPIDS, MICHIGAN Fathers of the Third Century: Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. AMERICAN EDITION. Chronologically arranged, with brief notes and prefaces, by A. Cleveland Coxe, D.D. originally published in the United States by the Christian Literature Publishing Company, 1886 (Second printing 1995) (Commentary, Englisch)SchlüsselCPG 1776Datum3. Jh.Andere WerkeTextText anzeigenScans des TextesInhaltsangabe",[],146,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1776-1/versions/introductory-note-to-gregory-thaumaturgus/divisions,1
3,Gregor der Wundertäter (Gregorios Thaumaturgos) 213-270,The Second Homily,cpg-1776-1,paragraph,,,,WerkeGregor der Wundertäter (Gregorios Thaumaturgos) (213-270)Homilia ii in annuntiationem Virginis ,WerkeGregor der Wundertäter (Gregorios Thaumaturgos) (213-270)Homilia ii in annuntiationem Virginis MariaeIntroductory Note to Gregory Thaumaturgus,[],15,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1776-1/versions/introductory-note-to-gregory-thaumaturgus/divisions,1
4,Gregor der Wundertäter (Gregorios Thaumaturgos) 213-270,The Second Homily,cpg-1776-1,paragraph,,,,Gregor der Wundertäter (Gregorios Thaumaturgos) 213-270Homilia ii in annuntiationem Virginis MariaeI,Gregor der Wundertäter (Gregorios Thaumaturgos) 213-270Homilia ii in annuntiationem Virginis MariaeIntroductory Note to Gregory Thaumaturgus,[],15,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1776-1/versions/introductory-note-to-gregory-thaumaturgus/divisions,1
5,Gregor der Wundertäter (Gregorios Thaumaturgos) 213-270,The Second Homily,cpg-1776-1,paragraph,,,,Gregor der Wundertäter (Gregorios Thaumaturgos) 213-270,Gregor der Wundertäter (Gregorios Thaumaturgos) 213-270,[],6,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1776-1/versions/introductory-note-to-gregory-thaumaturgus/divisions,1
6,Gregor der Wundertäter (Gregorios Thaumaturgos) 213-270,The Second Homily,cpg-1776-1,paragraph,,,,Homilia ii in annuntiationem Virginis Mariae,Homilia ii in annuntiationem Virginis Mariae,[],6,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1776-1/versions/introductory-note-to-gregory-thaumaturgus/divisions,1
7,Gregor der Wundertäter (Gregorios Thaumaturgos) 213-270,The Second Homily,cpg-1776-1,paragraph,,,,Introductory Note to Gregory Thaumaturgus,Introductory Note to Gregory Thaumaturgus,[],5,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1776-1/versions/introductory-note-to-gregory-thaumaturgus/divisions,1
8,Gregor der Wundertäter (Gregorios Thaumaturgos) 213-270,The Second Homily,cpg-1776-1,heading,,,,Bibliographische Angabe,Bibliographische Angabe,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1776-1/versions/introductory-note-to-gregory-thaumaturgus/divisions,1
9,Gregor der Wundertäter (Gregorios Thaumaturgos) 213-270,The Second Homily,cpg-1776-1,introduction,,,,"The Writings of the Fathers Down to AD 325 ANTE-NICENE FATHERS VOLUME 6. Gregory Thaumaturgus, Diony","The Writings of the Fathers Down to AD 325 ANTE-NICENE FATHERS VOLUME 6. Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. Edited by Alexander Roberts, D.D. James Donaldson, LL.D. Revised and chronologically arranged, with brief prefaces and occasional notes, by A. Cleveland Coxe, D.D. T T CLARK EDINBURGH WM. B. EERDMANS PUBLISHING COMPANY GRAND RAPIDS, MICHIGAN Fathers of the Third Century: Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. AMERICAN EDITION. Chronologically arranged, with brief notes and prefaces, by A. Cleveland Coxe, D.D. originally published in the United States by the Christian Literature Publishing Company, 1886 (Second printing 1995) (Commentary, Englisch)",[],111,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1776-1/versions/introductory-note-to-gregory-thaumaturgus/divisions,1
10,Gregor der Wundertäter (Gregorios Thaumaturgos) 213-270,The Second Homily,cpg-1776-1,heading,,,,Andere Werke,Andere Werke,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1776-1/versions/introductory-note-to-gregory-thaumaturgus/divisions,1
