id,author,work_title,work_id,section_type,section_number,subsection_number,verse_number,title,text,footnotes,word_count,language,parent_section,hierarchy_level,is_introduction,is_footnote,original_url,page_number
1,Gregor von Nazianz 329-390,12. Rede: An seinen Vater,cpg-301012,paragraph,,,,WerkeGregor von Nazianz (329-390)Oratio 12: Ad patrem12. Rede: An seinen VaterGregor von Nazianz 329,"WerkeGregor von Nazianz (329-390)Oratio 12: Ad patrem12. Rede: An seinen VaterGregor von Nazianz 329-390Oratio 12: Ad patrem12. Rede: An seinen VaterBibliographische Angabe12. Rede. In: Des heiligen Bischofs Gregor von Nazianz Reden aus dem Griechischen übers. und mit Einl. und Anmerkungen versehen von Philipp Haeuser. (Bibliothek der Kirchenväter, 1. Reihe, Band 59) Kempten; München : J. Kösel : F. Pustet, 1928, 264-269. (Translation, Deutsch)SchlüsselCPG 3010.12Datum372MitarbeiterBirgit Genten und Rudolf HeumannTextText anzeigenScans des TextesInhaltsangabe",[],71,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-301012/versions/BKV1-59-Rede12/divisions,1
2,Gregor von Nazianz 329-390,12. Rede: An seinen Vater,cpg-301012,paragraph,,,,WerkeGregor von Nazianz (329-390)Oratio 12: Ad patrem12. Rede: An seinen VaterGregor von Nazianz 329,"WerkeGregor von Nazianz (329-390)Oratio 12: Ad patrem12. Rede: An seinen VaterGregor von Nazianz 329-390Oratio 12: Ad patrem12. Rede: An seinen VaterBibliographische Angabe12. Rede. In: Des heiligen Bischofs Gregor von Nazianz Reden aus dem Griechischen übers. und mit Einl. und Anmerkungen versehen von Philipp Haeuser. (Bibliothek der Kirchenväter, 1. Reihe, Band 59) Kempten; München : J. Kösel : F. Pustet, 1928, 264-269. (Translation, Deutsch)SchlüsselCPG 3010.12Datum372MitarbeiterBirgit Genten und Rudolf HeumannTextText anzeigenScans des TextesInhaltsangabe",[],71,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-301012/versions/BKV1-59-Rede12/divisions,1
3,Gregor von Nazianz 329-390,12. Rede: An seinen Vater,cpg-301012,paragraph,,,,WerkeGregor von Nazianz (329-390)Oratio 12: Ad patrem12. Rede: An seinen Vater,WerkeGregor von Nazianz (329-390)Oratio 12: Ad patrem12. Rede: An seinen Vater,[],11,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-301012/versions/BKV1-59-Rede12/divisions,1
4,Gregor von Nazianz 329-390,12. Rede: An seinen Vater,cpg-301012,paragraph,,,,Gregor von Nazianz 329-390Oratio 12: Ad patrem12. Rede: An seinen Vater,Gregor von Nazianz 329-390Oratio 12: Ad patrem12. Rede: An seinen Vater,[],11,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-301012/versions/BKV1-59-Rede12/divisions,1
5,Gregor von Nazianz 329-390,12. Rede: An seinen Vater,cpg-301012,paragraph,,,,Gregor von Nazianz 329-390,Gregor von Nazianz 329-390,[],4,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-301012/versions/BKV1-59-Rede12/divisions,1
6,Gregor von Nazianz 329-390,12. Rede: An seinen Vater,cpg-301012,paragraph,,,,Oratio 12: Ad patrem,Oratio 12: Ad patrem,[],4,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-301012/versions/BKV1-59-Rede12/divisions,1
7,Gregor von Nazianz 329-390,12. Rede: An seinen Vater,cpg-301012,paragraph,12,,,12. Rede: An seinen Vater,12. Rede: An seinen Vater,[],5,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-301012/versions/BKV1-59-Rede12/divisions,1
8,Gregor von Nazianz 329-390,12. Rede: An seinen Vater,cpg-301012,heading,,,,Bibliographische Angabe,Bibliographische Angabe,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-301012/versions/BKV1-59-Rede12/divisions,1
9,Gregor von Nazianz 329-390,12. Rede: An seinen Vater,cpg-301012,paragraph,12,,,12. Rede. In: Des heiligen Bischofs Gregor von Nazianz Reden aus dem Griechischen übers. und mit Ein,"12. Rede. In: Des heiligen Bischofs Gregor von Nazianz Reden aus dem Griechischen übers. und mit Einl. und Anmerkungen versehen von Philipp Haeuser. (Bibliothek der Kirchenväter, 1. Reihe, Band 59) Kempten; München : J. Kösel : F. Pustet, 1928, 264-269. (Translation, Deutsch)",[],42,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-301012/versions/BKV1-59-Rede12/divisions,1
10,Gregor von Nazianz 329-390,12. Rede: An seinen Vater,cpg-301012,paragraph,,,,CPG,CPG,[],1,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-301012/versions/BKV1-59-Rede12/divisions,1
11,Gregor von Nazianz 329-390,12. Rede: An seinen Vater,cpg-301012,heading,,,,Mitarbeiter,Mitarbeiter,[],1,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-301012/versions/BKV1-59-Rede12/divisions,1
