id,author,work_title,work_id,section_type,section_number,subsection_number,verse_number,title,text,footnotes,word_count,language,parent_section,hierarchy_level,is_introduction,is_footnote,original_url,page_number
1,Gregor von Nyssa 335-394,Das Gebet des Herrn (BKV),cpg-3160,introduction,,,,WerkeGregor von Nyssa (335-394)De oratione dominica orationes v.Einleitung zur Schrift: „Über das Ge,"WerkeGregor von Nyssa (335-394)De oratione dominica orationes v.Einleitung zur Schrift: „Über das Gebet (des Herrn)""Gregor von Nyssa 335-394De oratione dominica orationes v.Einleitung zur Schrift: „Über das Gebet (des Herrn)""Bibliographische AngabeEinleitung zur Schrift: „Über das Gebet (des Herrn)."" In: Des heiligen Bischofs Gregor von Nyssa Schriften aus dem Griechischen übers. (Bibliothek der Kirchenväter, 1. Reihe, Band 56) Kempten; München : J. Kösel : F. Pustet, 1927 (Commentary, Deutsch)SchlüsselCPG 3160Datum4. Jh.MitarbeiterVeit Ruland Rudolf HeumannDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( kB)TextText anzeigenScans des TextesInhaltsangabe",[],83,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-3160/versions/einleitung-zur-schrift-uber-das-gebet-des-herrn/divisions,1
2,Gregor von Nyssa 335-394,Das Gebet des Herrn (BKV),cpg-3160,introduction,,,,WerkeGregor von Nyssa (335-394)De oratione dominica orationes v.Einleitung zur Schrift: „Über das Ge,"WerkeGregor von Nyssa (335-394)De oratione dominica orationes v.Einleitung zur Schrift: „Über das Gebet (des Herrn)""Gregor von Nyssa 335-394De oratione dominica orationes v.Einleitung zur Schrift: „Über das Gebet (des Herrn)""Bibliographische AngabeEinleitung zur Schrift: „Über das Gebet (des Herrn)."" In: Des heiligen Bischofs Gregor von Nyssa Schriften aus dem Griechischen übers. (Bibliothek der Kirchenväter, 1. Reihe, Band 56) Kempten; München : J. Kösel : F. Pustet, 1927 (Commentary, Deutsch)SchlüsselCPG 3160Datum4. Jh.MitarbeiterVeit Ruland Rudolf HeumannDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( kB)TextText anzeigenScans des TextesInhaltsangabe",[],83,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-3160/versions/einleitung-zur-schrift-uber-das-gebet-des-herrn/divisions,1
3,Gregor von Nyssa 335-394,Das Gebet des Herrn (BKV),cpg-3160,introduction,,,,WerkeGregor von Nyssa (335-394)De oratione dominica orationes v.Einleitung zur Schrift: „Über das Ge,"WerkeGregor von Nyssa (335-394)De oratione dominica orationes v.Einleitung zur Schrift: „Über das Gebet (des Herrn)""",[],15,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-3160/versions/einleitung-zur-schrift-uber-das-gebet-des-herrn/divisions,1
4,Gregor von Nyssa 335-394,Das Gebet des Herrn (BKV),cpg-3160,introduction,,,,Gregor von Nyssa 335-394De oratione dominica orationes v.Einleitung zur Schrift: „Über das Gebet (de,"Gregor von Nyssa 335-394De oratione dominica orationes v.Einleitung zur Schrift: „Über das Gebet (des Herrn)""",[],15,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-3160/versions/einleitung-zur-schrift-uber-das-gebet-des-herrn/divisions,1
5,Gregor von Nyssa 335-394,Das Gebet des Herrn (BKV),cpg-3160,paragraph,,,,Gregor von Nyssa 335-394,Gregor von Nyssa 335-394,[],4,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-3160/versions/einleitung-zur-schrift-uber-das-gebet-des-herrn/divisions,1
6,Gregor von Nyssa 335-394,Das Gebet des Herrn (BKV),cpg-3160,paragraph,,,,De oratione dominica orationes v.,De oratione dominica orationes v.,[],5,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-3160/versions/einleitung-zur-schrift-uber-das-gebet-des-herrn/divisions,1
7,Gregor von Nyssa 335-394,Das Gebet des Herrn (BKV),cpg-3160,introduction,,,,"Einleitung zur Schrift: „Über das Gebet (des Herrn)""","Einleitung zur Schrift: „Über das Gebet (des Herrn)""",[],8,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-3160/versions/einleitung-zur-schrift-uber-das-gebet-des-herrn/divisions,1
8,Gregor von Nyssa 335-394,Das Gebet des Herrn (BKV),cpg-3160,heading,,,,Bibliographische Angabe,Bibliographische Angabe,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-3160/versions/einleitung-zur-schrift-uber-das-gebet-des-herrn/divisions,1
9,Gregor von Nyssa 335-394,Das Gebet des Herrn (BKV),cpg-3160,introduction,,,,"Einleitung zur Schrift: „Über das Gebet (des Herrn)."" In: Des heiligen Bischofs Gregor von Nyssa Sch","Einleitung zur Schrift: „Über das Gebet (des Herrn)."" In: Des heiligen Bischofs Gregor von Nyssa Schriften aus dem Griechischen übers. (Bibliothek der Kirchenväter, 1. Reihe, Band 56) Kempten; München : J. Kösel : F. Pustet, 1927 (Commentary, Deutsch)",[],38,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-3160/versions/einleitung-zur-schrift-uber-das-gebet-des-herrn/divisions,1
10,Gregor von Nyssa 335-394,Das Gebet des Herrn (BKV),cpg-3160,heading,,,,Mitarbeiter,Mitarbeiter,[],1,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-3160/versions/einleitung-zur-schrift-uber-das-gebet-des-herrn/divisions,1
11,Gregor von Nyssa 335-394,Das Gebet des Herrn (BKV),cpg-3160,paragraph,,,,Veit Ruland Rudolf Heumann,Veit Ruland Rudolf Heumann,[],4,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-3160/versions/einleitung-zur-schrift-uber-das-gebet-des-herrn/divisions,1
12,Gregor von Nyssa 335-394,Das Gebet des Herrn (BKV),cpg-3160,paragraph,,,,DOCX ( kB),DOCX ( kB),[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-3160/versions/einleitung-zur-schrift-uber-das-gebet-des-herrn/divisions,1
13,Gregor von Nyssa 335-394,Das Gebet des Herrn (BKV),cpg-3160,paragraph,,,,EPUB ( kB),EPUB ( kB),[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-3160/versions/einleitung-zur-schrift-uber-das-gebet-des-herrn/divisions,1
14,Gregor von Nyssa 335-394,Das Gebet des Herrn (BKV),cpg-3160,paragraph,,,,PDF ( kB),PDF ( kB),[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-3160/versions/einleitung-zur-schrift-uber-das-gebet-des-herrn/divisions,1
15,Gregor von Nyssa 335-394,Das Gebet des Herrn (BKV),cpg-3160,paragraph,,,,RTF ( kB),RTF ( kB),[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-3160/versions/einleitung-zur-schrift-uber-das-gebet-des-herrn/divisions,1
16,Gregor von Nyssa 335-394,Das Gebet des Herrn (BKV),cpg-3160,paragraph,,,,Text anzeigen,Text anzeigen,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-3160/versions/einleitung-zur-schrift-uber-das-gebet-des-herrn/divisions,1
17,Gregor von Nyssa 335-394,Das Gebet des Herrn (BKV),cpg-3160,paragraph,,,,Scans des Textes,Scans des Textes,[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-3160/versions/einleitung-zur-schrift-uber-das-gebet-des-herrn/divisions,1
18,Gregor von Nyssa 335-394,Das Gebet des Herrn (BKV),cpg-3160,heading,,,,Inhaltsangabe,Inhaltsangabe,[],1,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-3160/versions/einleitung-zur-schrift-uber-das-gebet-des-herrn/divisions,1
19,Gregor von Nyssa 335-394,Das Gebet des Herrn (BKV),cpg-3160,introduction,,,,Text anzeigenBibliographische AngabeScans dieser VersionDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( k,"Text anzeigenBibliographische AngabeScans dieser VersionDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( kB)Übersetzungen dieses WerksDas Gebet des Herrn (BKV)Kommentare zu diesem WerkEinleitung zur Schrift: „Über das Gebet (des Herrn)""Inhaltsangabe",[],29,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-3160/versions/einleitung-zur-schrift-uber-das-gebet-des-herrn/divisions,1
20,Gregor von Nyssa 335-394,Das Gebet des Herrn (BKV),cpg-3160,introduction,,,,Text anzeigenBibliographische AngabeScans dieser VersionDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( k,"Text anzeigenBibliographische AngabeScans dieser VersionDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( kB)Übersetzungen dieses WerksDas Gebet des Herrn (BKV)Kommentare zu diesem WerkEinleitung zur Schrift: „Über das Gebet (des Herrn)""Inhaltsangabe",[],29,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-3160/versions/einleitung-zur-schrift-uber-das-gebet-des-herrn/divisions,1
