id,author,work_title,work_id,section_type,section_number,subsection_number,verse_number,title,text,footnotes,word_count,language,parent_section,hierarchy_level,is_introduction,is_footnote,original_url,page_number
1,Hippolytus von Rom 170-235,The Refutation of All Heresies,cpg-1899,paragraph,,,,WerkeHippolytus von Rom (170-235)Refutatio omnium haeresiumWiderlegung aller Häresien (BKV)Hippolytu,"WerkeHippolytus von Rom (170-235)Refutatio omnium haeresiumWiderlegung aller Häresien (BKV)Hippolytus von Rom 170-235Refutatio omnium haeresiumWiderlegung aller Häresien (BKV)Bibliographische AngabeWiderlegung aller Häresien (Refutatio omnium haeresium) In: Des heiligen Hippolytus von Rom - Widerlegung aller Häresien. Aus dem Griechischen übersetzt von Dr. Theol. Graf Konrad Preysing. (Bibliothek der Kirchenväter, 1. Reihe, Band 40) München 1922. (Translation, Deutsch)SchlüsselCPG 1899Datum3. Jh.MitarbeiterUrsula Schultheiß und Rudolf HeumannDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( kB)TextText anzeigenScans des TextesInhaltsangabe",[],71,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-1899/versions/widerlegung-aller-haresien-bkv/divisions,1
2,Hippolytus von Rom 170-235,The Refutation of All Heresies,cpg-1899,paragraph,,,,WerkeHippolytus von Rom (170-235)Refutatio omnium haeresiumWiderlegung aller Häresien (BKV)Hippolytu,"WerkeHippolytus von Rom (170-235)Refutatio omnium haeresiumWiderlegung aller Häresien (BKV)Hippolytus von Rom 170-235Refutatio omnium haeresiumWiderlegung aller Häresien (BKV)Bibliographische AngabeWiderlegung aller Häresien (Refutatio omnium haeresium) In: Des heiligen Hippolytus von Rom - Widerlegung aller Häresien. Aus dem Griechischen übersetzt von Dr. Theol. Graf Konrad Preysing. (Bibliothek der Kirchenväter, 1. Reihe, Band 40) München 1922. (Translation, Deutsch)SchlüsselCPG 1899Datum3. Jh.MitarbeiterUrsula Schultheiß und Rudolf HeumannDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( kB)TextText anzeigenScans des TextesInhaltsangabe",[],71,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-1899/versions/widerlegung-aller-haresien-bkv/divisions,1
3,Hippolytus von Rom 170-235,The Refutation of All Heresies,cpg-1899,paragraph,,,,WerkeHippolytus von Rom (170-235)Refutatio omnium haeresiumWiderlegung aller Häresien (BKV),WerkeHippolytus von Rom (170-235)Refutatio omnium haeresiumWiderlegung aller Häresien (BKV),[],9,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-1899/versions/widerlegung-aller-haresien-bkv/divisions,1
4,Hippolytus von Rom 170-235,The Refutation of All Heresies,cpg-1899,paragraph,,,,Hippolytus von Rom 170-235Refutatio omnium haeresiumWiderlegung aller Häresien (BKV),Hippolytus von Rom 170-235Refutatio omnium haeresiumWiderlegung aller Häresien (BKV),[],9,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-1899/versions/widerlegung-aller-haresien-bkv/divisions,1
5,Hippolytus von Rom 170-235,The Refutation of All Heresies,cpg-1899,paragraph,,,,Hippolytus von Rom 170-235,Hippolytus von Rom 170-235,[],4,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-1899/versions/widerlegung-aller-haresien-bkv/divisions,1
6,Hippolytus von Rom 170-235,The Refutation of All Heresies,cpg-1899,paragraph,,,,Refutatio omnium haeresium,Refutatio omnium haeresium,[],3,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-1899/versions/widerlegung-aller-haresien-bkv/divisions,1
7,Hippolytus von Rom 170-235,The Refutation of All Heresies,cpg-1899,paragraph,,,,Widerlegung aller Häresien (BKV),Widerlegung aller Häresien (BKV),[],4,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-1899/versions/widerlegung-aller-haresien-bkv/divisions,1
8,Hippolytus von Rom 170-235,The Refutation of All Heresies,cpg-1899,heading,,,,Bibliographische Angabe,Bibliographische Angabe,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1899/versions/widerlegung-aller-haresien-bkv/divisions,1
9,Hippolytus von Rom 170-235,The Refutation of All Heresies,cpg-1899,paragraph,,,,Widerlegung aller Häresien (Refutatio omnium haeresium) In: Des heiligen Hippolytus von Rom - Widerl,"Widerlegung aller Häresien (Refutatio omnium haeresium) In: Des heiligen Hippolytus von Rom - Widerlegung aller Häresien. Aus dem Griechischen übersetzt von Dr. Theol. Graf Konrad Preysing. (Bibliothek der Kirchenväter, 1. Reihe, Band 40) München 1922. (Translation, Deutsch)",[],37,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1899/versions/widerlegung-aller-haresien-bkv/divisions,1
10,Hippolytus von Rom 170-235,The Refutation of All Heresies,cpg-1899,heading,,,,Mitarbeiter,Mitarbeiter,[],1,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1899/versions/widerlegung-aller-haresien-bkv/divisions,1
11,Hippolytus von Rom 170-235,The Refutation of All Heresies,cpg-1899,paragraph,,,,Ursula Schultheiß und Rudolf Heumann,Ursula Schultheiß und Rudolf Heumann,[],5,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1899/versions/widerlegung-aller-haresien-bkv/divisions,1
12,Hippolytus von Rom 170-235,The Refutation of All Heresies,cpg-1899,paragraph,,,,DOCX ( kB),DOCX ( kB),[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1899/versions/widerlegung-aller-haresien-bkv/divisions,1
13,Hippolytus von Rom 170-235,The Refutation of All Heresies,cpg-1899,paragraph,,,,EPUB ( kB),EPUB ( kB),[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1899/versions/widerlegung-aller-haresien-bkv/divisions,1
14,Hippolytus von Rom 170-235,The Refutation of All Heresies,cpg-1899,paragraph,,,,PDF ( kB),PDF ( kB),[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1899/versions/widerlegung-aller-haresien-bkv/divisions,1
15,Hippolytus von Rom 170-235,The Refutation of All Heresies,cpg-1899,paragraph,,,,RTF ( kB),RTF ( kB),[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1899/versions/widerlegung-aller-haresien-bkv/divisions,1
16,Hippolytus von Rom 170-235,The Refutation of All Heresies,cpg-1899,paragraph,,,,Text anzeigen,Text anzeigen,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1899/versions/widerlegung-aller-haresien-bkv/divisions,1
17,Hippolytus von Rom 170-235,The Refutation of All Heresies,cpg-1899,paragraph,,,,Scans des Textes,Scans des Textes,[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1899/versions/widerlegung-aller-haresien-bkv/divisions,1
18,Hippolytus von Rom 170-235,The Refutation of All Heresies,cpg-1899,heading,,,,Inhaltsangabe,Inhaltsangabe,[],1,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1899/versions/widerlegung-aller-haresien-bkv/divisions,1
19,Hippolytus von Rom 170-235,The Refutation of All Heresies,cpg-1899,paragraph,,,,Text anzeigenBibliographische AngabeScans dieser VersionDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( k,Text anzeigenBibliographische AngabeScans dieser VersionDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( kB)Übersetzungen dieses WerksThe Refutation of All HeresiesvergleichenWiderlegung aller Häresien (BKV)Inhaltsangabe,[],22,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1899/versions/widerlegung-aller-haresien-bkv/divisions,1
20,Hippolytus von Rom 170-235,The Refutation of All Heresies,cpg-1899,paragraph,,,,Text anzeigenBibliographische AngabeScans dieser VersionDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( k,Text anzeigenBibliographische AngabeScans dieser VersionDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( kB)Übersetzungen dieses WerksThe Refutation of All HeresiesvergleichenWiderlegung aller Häresien (BKV)Inhaltsangabe,[],22,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1899/versions/widerlegung-aller-haresien-bkv/divisions,1
