id,author,work_title,work_id,section_type,section_number,subsection_number,verse_number,title,text,footnotes,word_count,language,parent_section,hierarchy_level,is_introduction,is_footnote,original_url,page_number
1,Ignatius von Antiochien 35-110,Other Epistles of Ignatius,cpg-1026,introduction,,,,WerkeIgnatius von Antiochien (35-110)Epistulae interpolatae et epistulae suppositiciaeIntroductory N,"WerkeIgnatius von Antiochien (35-110)Epistulae interpolatae et epistulae suppositiciaeIntroductory Note to the Spurious Epistles of IgnatiusIgnatius von Antiochien 35-110Epistulae interpolatae et epistulae suppositiciaeIntroductory Note to the Spurious Epistles of IgnatiusBibliographische AngabeANTE-NICENE FATHERS Volume 1 The Apostolic Fathers, Justin Martyr, Irenaeus Edited by Alexander Roberts, D.D. James Donaldson, LL.D. revised and chronologically arranged, with brief prefaces and occasional notes by A. Cleveland Coxe, D.D. Second printing- June 1995 This is a reprint edition of the American Bdition of the Ante-Nicene Fathers, Volume 1, The Apostolic Fathers, Justin Martyr, Irenaeus, originally published in the United States by the Christian Literature Publishing Company, 1885. (Commentary, Englisch)SchlüsselCPG 1026Andere WerkeTextText anzeigenScans des TextesInhaltsangabe",[],107,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1026/versions/introductory-note-to-the-spurious-epistles-of-ignatius/divisions,1
2,Ignatius von Antiochien 35-110,Other Epistles of Ignatius,cpg-1026,introduction,,,,WerkeIgnatius von Antiochien (35-110)Epistulae interpolatae et epistulae suppositiciaeIntroductory N,"WerkeIgnatius von Antiochien (35-110)Epistulae interpolatae et epistulae suppositiciaeIntroductory Note to the Spurious Epistles of IgnatiusIgnatius von Antiochien 35-110Epistulae interpolatae et epistulae suppositiciaeIntroductory Note to the Spurious Epistles of IgnatiusBibliographische AngabeANTE-NICENE FATHERS Volume 1 The Apostolic Fathers, Justin Martyr, Irenaeus Edited by Alexander Roberts, D.D. James Donaldson, LL.D. revised and chronologically arranged, with brief prefaces and occasional notes by A. Cleveland Coxe, D.D. Second printing- June 1995 This is a reprint edition of the American Bdition of the Ante-Nicene Fathers, Volume 1, The Apostolic Fathers, Justin Martyr, Irenaeus, originally published in the United States by the Christian Literature Publishing Company, 1885. (Commentary, Englisch)SchlüsselCPG 1026Andere WerkeTextText anzeigenScans des TextesInhaltsangabe",[],107,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1026/versions/introductory-note-to-the-spurious-epistles-of-ignatius/divisions,1
3,Ignatius von Antiochien 35-110,Other Epistles of Ignatius,cpg-1026,paragraph,,,,WerkeIgnatius von Antiochien (35-110)Epistulae interpolatae et epistulae suppositiciaeIntroductory N,WerkeIgnatius von Antiochien (35-110)Epistulae interpolatae et epistulae suppositiciaeIntroductory Note to the Spurious Epistles of Ignatius,[],15,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1026/versions/introductory-note-to-the-spurious-epistles-of-ignatius/divisions,1
4,Ignatius von Antiochien 35-110,Other Epistles of Ignatius,cpg-1026,paragraph,,,,Ignatius von Antiochien 35-110Epistulae interpolatae et epistulae suppositiciaeIntroductory Note to ,Ignatius von Antiochien 35-110Epistulae interpolatae et epistulae suppositiciaeIntroductory Note to the Spurious Epistles of Ignatius,[],15,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1026/versions/introductory-note-to-the-spurious-epistles-of-ignatius/divisions,1
5,Ignatius von Antiochien 35-110,Other Epistles of Ignatius,cpg-1026,paragraph,,,,Ignatius von Antiochien 35-110,Ignatius von Antiochien 35-110,[],4,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1026/versions/introductory-note-to-the-spurious-epistles-of-ignatius/divisions,1
6,Ignatius von Antiochien 35-110,Other Epistles of Ignatius,cpg-1026,paragraph,,,,Epistulae interpolatae et epistulae suppositiciae,Epistulae interpolatae et epistulae suppositiciae,[],5,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1026/versions/introductory-note-to-the-spurious-epistles-of-ignatius/divisions,1
7,Ignatius von Antiochien 35-110,Other Epistles of Ignatius,cpg-1026,paragraph,,,,Introductory Note to the Spurious Epistles of Ignatius,Introductory Note to the Spurious Epistles of Ignatius,[],8,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1026/versions/introductory-note-to-the-spurious-epistles-of-ignatius/divisions,1
8,Ignatius von Antiochien 35-110,Other Epistles of Ignatius,cpg-1026,heading,,,,Bibliographische Angabe,Bibliographische Angabe,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1026/versions/introductory-note-to-the-spurious-epistles-of-ignatius/divisions,1
9,Ignatius von Antiochien 35-110,Other Epistles of Ignatius,cpg-1026,introduction,,,,"ANTE-NICENE FATHERS Volume 1 The Apostolic Fathers, Justin Martyr, Irenaeus Edited by Alexander Robe","ANTE-NICENE FATHERS Volume 1 The Apostolic Fathers, Justin Martyr, Irenaeus Edited by Alexander Roberts, D.D. James Donaldson, LL.D. revised and chronologically arranged, with brief prefaces and occasional notes by A. Cleveland Coxe, D.D. Second printing- June 1995 This is a reprint edition of the American Bdition of the Ante-Nicene Fathers, Volume 1, The Apostolic Fathers, Justin Martyr, Irenaeus, originally published in the United States by the Christian Literature Publishing Company, 1885. (Commentary, Englisch)",[],73,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1026/versions/introductory-note-to-the-spurious-epistles-of-ignatius/divisions,1
10,Ignatius von Antiochien 35-110,Other Epistles of Ignatius,cpg-1026,heading,,,,Andere Werke,Andere Werke,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1026/versions/introductory-note-to-the-spurious-epistles-of-ignatius/divisions,1
11,Ignatius von Antiochien 35-110,Other Epistles of Ignatius,cpg-1026,paragraph,,,,Text anzeigen,Text anzeigen,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1026/versions/introductory-note-to-the-spurious-epistles-of-ignatius/divisions,1
12,Ignatius von Antiochien 35-110,Other Epistles of Ignatius,cpg-1026,paragraph,,,,Scans des Textes,Scans des Textes,[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1026/versions/introductory-note-to-the-spurious-epistles-of-ignatius/divisions,1
13,Ignatius von Antiochien 35-110,Other Epistles of Ignatius,cpg-1026,heading,,,,Inhaltsangabe,Inhaltsangabe,[],1,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1026/versions/introductory-note-to-the-spurious-epistles-of-ignatius/divisions,1
14,Ignatius von Antiochien 35-110,Other Epistles of Ignatius,cpg-1026,paragraph,,,,Text anzeigenBibliographische AngabeScans dieser VersionÜbersetzungen dieses WerksOther Epistles of ,Text anzeigenBibliographische AngabeScans dieser VersionÜbersetzungen dieses WerksOther Epistles of IgnatiusKommentare zu diesem WerkIntroductory Note to the Spurious Epistles of IgnatiusInhaltsangabe,[],20,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1026/versions/introductory-note-to-the-spurious-epistles-of-ignatius/divisions,1
15,Ignatius von Antiochien 35-110,Other Epistles of Ignatius,cpg-1026,paragraph,,,,Text anzeigenBibliographische AngabeScans dieser VersionÜbersetzungen dieses WerksOther Epistles of ,Text anzeigenBibliographische AngabeScans dieser VersionÜbersetzungen dieses WerksOther Epistles of IgnatiusKommentare zu diesem WerkIntroductory Note to the Spurious Epistles of IgnatiusInhaltsangabe,[],20,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1026/versions/introductory-note-to-the-spurious-epistles-of-ignatius/divisions,1
16,Ignatius von Antiochien 35-110,Other Epistles of Ignatius,cpg-1026,paragraph,,,,Text anzeigenBibliographische AngabeScans dieser VersionÜbersetzungen dieses WerksOther Epistles of ,Text anzeigenBibliographische AngabeScans dieser VersionÜbersetzungen dieses WerksOther Epistles of IgnatiusKommentare zu diesem WerkIntroductory Note to the Spurious Epistles of IgnatiusInhaltsangabe,[],20,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1026/versions/introductory-note-to-the-spurious-epistles-of-ignatius/divisions,1
17,Ignatius von Antiochien 35-110,Other Epistles of Ignatius,cpg-1026,paragraph,,,,Text anzeigenBibliographische AngabeScans dieser Version,Text anzeigenBibliographische AngabeScans dieser Version,[],5,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1026/versions/introductory-note-to-the-spurious-epistles-of-ignatius/divisions,1
18,Ignatius von Antiochien 35-110,Other Epistles of Ignatius,cpg-1026,paragraph,,,,Text anzeigen,Text anzeigen,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1026/versions/introductory-note-to-the-spurious-epistles-of-ignatius/divisions,1
19,Ignatius von Antiochien 35-110,Other Epistles of Ignatius,cpg-1026,paragraph,,,,Bibliographische Angabe,Bibliographische Angabe,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1026/versions/introductory-note-to-the-spurious-epistles-of-ignatius/divisions,1
20,Ignatius von Antiochien 35-110,Other Epistles of Ignatius,cpg-1026,paragraph,,,,Scans dieser Version,Scans dieser Version,[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1026/versions/introductory-note-to-the-spurious-epistles-of-ignatius/divisions,1
21,Ignatius von Antiochien 35-110,Other Epistles of Ignatius,cpg-1026,paragraph,,,,Übersetzungen dieses Werks,Übersetzungen dieses Werks,[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1026/versions/introductory-note-to-the-spurious-epistles-of-ignatius/divisions,1
22,Ignatius von Antiochien 35-110,Other Epistles of Ignatius,cpg-1026,paragraph,,,,Kommentare zu diesem Werk,Kommentare zu diesem Werk,[],4,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1026/versions/introductory-note-to-the-spurious-epistles-of-ignatius/divisions,1
23,Ignatius von Antiochien 35-110,Other Epistles of Ignatius,cpg-1026,paragraph,,,,Inhaltsangabe,Inhaltsangabe,[],1,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1026/versions/introductory-note-to-the-spurious-epistles-of-ignatius/divisions,1
