id,author,work_title,work_id,section_type,section_number,subsection_number,verse_number,title,text,footnotes,word_count,language,parent_section,hierarchy_level,is_introduction,is_footnote,original_url,page_number
1,Ignatius von Antiochien 35-110,Syriac Version of the Ignatian Epistles,cpg-1025-2,introduction,,,,WerkeIgnatius von Antiochien (35-110)Epistulae vii. Versiones syriacaeSyriac Version of the Ignatian,"WerkeIgnatius von Antiochien (35-110)Epistulae vii. Versiones syriacaeSyriac Version of the Ignatian EpistlesIgnatius von Antiochien 35-110Epistulae vii. Versiones syriacaeSyriac Version of the Ignatian EpistlesBibliographische AngabeANTE-NICENE FATHERS Volume 1 The Apostolic Fathers, Justin Martyr, Irenaeus Edited by Alexander Roberts, D.D. James Donaldson, LL.D. revised and chronologically arranged, with brief prefaces and occasional notes by A. Cleveland Coxe, D.D. Second printing- June 1995 This is a reprint edition of the American Bdition of the Ante-Nicene Fathers, Volume 1, The Apostolic Fathers, Justin Martyr, Irenaeus, originally published in the United States by the Christian Literature Publishing Company, 1885. (Translation, Englisch)SchlüsselCPG 1025TextText anzeigenScans des TextesInhaltsangabe",[],100,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1025-2/versions/syriac-version-of-the-ignatian-epistles/divisions,1
2,Ignatius von Antiochien 35-110,Syriac Version of the Ignatian Epistles,cpg-1025-2,introduction,,,,WerkeIgnatius von Antiochien (35-110)Epistulae vii. Versiones syriacaeSyriac Version of the Ignatian,"WerkeIgnatius von Antiochien (35-110)Epistulae vii. Versiones syriacaeSyriac Version of the Ignatian EpistlesIgnatius von Antiochien 35-110Epistulae vii. Versiones syriacaeSyriac Version of the Ignatian EpistlesBibliographische AngabeANTE-NICENE FATHERS Volume 1 The Apostolic Fathers, Justin Martyr, Irenaeus Edited by Alexander Roberts, D.D. James Donaldson, LL.D. revised and chronologically arranged, with brief prefaces and occasional notes by A. Cleveland Coxe, D.D. Second printing- June 1995 This is a reprint edition of the American Bdition of the Ante-Nicene Fathers, Volume 1, The Apostolic Fathers, Justin Martyr, Irenaeus, originally published in the United States by the Christian Literature Publishing Company, 1885. (Translation, Englisch)SchlüsselCPG 1025TextText anzeigenScans des TextesInhaltsangabe",[],100,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1025-2/versions/syriac-version-of-the-ignatian-epistles/divisions,1
3,Ignatius von Antiochien 35-110,Syriac Version of the Ignatian Epistles,cpg-1025-2,paragraph,,,,WerkeIgnatius von Antiochien (35-110)Epistulae vii. Versiones syriacaeSyriac Version of the Ignatian,WerkeIgnatius von Antiochien (35-110)Epistulae vii. Versiones syriacaeSyriac Version of the Ignatian Epistles,[],12,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1025-2/versions/syriac-version-of-the-ignatian-epistles/divisions,1
4,Ignatius von Antiochien 35-110,Syriac Version of the Ignatian Epistles,cpg-1025-2,paragraph,,,,Ignatius von Antiochien 35-110Epistulae vii. Versiones syriacaeSyriac Version of the Ignatian Epistl,Ignatius von Antiochien 35-110Epistulae vii. Versiones syriacaeSyriac Version of the Ignatian Epistles,[],12,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1025-2/versions/syriac-version-of-the-ignatian-epistles/divisions,1
5,Ignatius von Antiochien 35-110,Syriac Version of the Ignatian Epistles,cpg-1025-2,paragraph,,,,Ignatius von Antiochien 35-110,Ignatius von Antiochien 35-110,[],4,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1025-2/versions/syriac-version-of-the-ignatian-epistles/divisions,1
6,Ignatius von Antiochien 35-110,Syriac Version of the Ignatian Epistles,cpg-1025-2,paragraph,,,,Epistulae vii. Versiones syriacae,Epistulae vii. Versiones syriacae,[],4,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1025-2/versions/syriac-version-of-the-ignatian-epistles/divisions,1
7,Ignatius von Antiochien 35-110,Syriac Version of the Ignatian Epistles,cpg-1025-2,paragraph,,,,Syriac Version of the Ignatian Epistles,Syriac Version of the Ignatian Epistles,[],6,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1025-2/versions/syriac-version-of-the-ignatian-epistles/divisions,1
8,Ignatius von Antiochien 35-110,Syriac Version of the Ignatian Epistles,cpg-1025-2,heading,,,,Bibliographische Angabe,Bibliographische Angabe,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1025-2/versions/syriac-version-of-the-ignatian-epistles/divisions,1
9,Ignatius von Antiochien 35-110,Syriac Version of the Ignatian Epistles,cpg-1025-2,introduction,,,,"ANTE-NICENE FATHERS Volume 1 The Apostolic Fathers, Justin Martyr, Irenaeus Edited by Alexander Robe","ANTE-NICENE FATHERS Volume 1 The Apostolic Fathers, Justin Martyr, Irenaeus Edited by Alexander Roberts, D.D. James Donaldson, LL.D. revised and chronologically arranged, with brief prefaces and occasional notes by A. Cleveland Coxe, D.D. Second printing- June 1995 This is a reprint edition of the American Bdition of the Ante-Nicene Fathers, Volume 1, The Apostolic Fathers, Justin Martyr, Irenaeus, originally published in the United States by the Christian Literature Publishing Company, 1885. (Translation, Englisch)",[],73,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1025-2/versions/syriac-version-of-the-ignatian-epistles/divisions,1
10,Ignatius von Antiochien 35-110,Syriac Version of the Ignatian Epistles,cpg-1025-2,paragraph,,,,Text anzeigen,Text anzeigen,[],2,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1025-2/versions/syriac-version-of-the-ignatian-epistles/divisions,1
