id,author,work_title,work_id,section_type,section_number,subsection_number,verse_number,title,text,footnotes,word_count,language,parent_section,hierarchy_level,is_introduction,is_footnote,original_url,page_number
1,Johannes Chrysostomus 344-407,Commentaire sur l'épître aux Philippiens,cpg-4432,introduction,,,,WerkeJohannes Chrysostomus (344-407)In epistulam ad PhilippensesEinleitungJohannes Chrysostomus 344-,"WerkeJohannes Chrysostomus (344-407)In epistulam ad PhilippensesEinleitungJohannes Chrysostomus 344-407In epistulam ad PhilippensesEinleitungBibliographische AngabeEinleitung In: Des heiligen Kirchenlehrers Johannes Chrysostomus Erzbischofs von Konstantinopel Kommentar zu den Briefen des hl. Paulus an die Philipper und Kolosser aus dem Griechischen übers. von Wenzel Stoderl. (Des heiligen Kirchenlehrers Johannes Chrysostomus ausgewählte Schriften Bd. 7; Bibliothek der Kirchenväter, 1. Reihe, Band 45) Kempten; München : J. Kösel : F. Pustet, 1924 (Commentary, Deutsch)SchlüsselCPG 4432Datum4. Jh.MitarbeiterOttmar StrüberAndere WerkeDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( kB)TextText anzeigenScans des TextesInhaltsangabe",[],82,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-4432/versions/einleitung-3/divisions,1
2,Johannes Chrysostomus 344-407,Commentaire sur l'épître aux Philippiens,cpg-4432,introduction,,,,WerkeJohannes Chrysostomus (344-407)In epistulam ad PhilippensesEinleitungJohannes Chrysostomus 344-,"WerkeJohannes Chrysostomus (344-407)In epistulam ad PhilippensesEinleitungJohannes Chrysostomus 344-407In epistulam ad PhilippensesEinleitungBibliographische AngabeEinleitung In: Des heiligen Kirchenlehrers Johannes Chrysostomus Erzbischofs von Konstantinopel Kommentar zu den Briefen des hl. Paulus an die Philipper und Kolosser aus dem Griechischen übers. von Wenzel Stoderl. (Des heiligen Kirchenlehrers Johannes Chrysostomus ausgewählte Schriften Bd. 7; Bibliothek der Kirchenväter, 1. Reihe, Band 45) Kempten; München : J. Kösel : F. Pustet, 1924 (Commentary, Deutsch)SchlüsselCPG 4432Datum4. Jh.MitarbeiterOttmar StrüberAndere WerkeDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( kB)TextText anzeigenScans des TextesInhaltsangabe",[],82,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-4432/versions/einleitung-3/divisions,1
3,Johannes Chrysostomus 344-407,Commentaire sur l'épître aux Philippiens,cpg-4432,introduction,,,,WerkeJohannes Chrysostomus (344-407)In epistulam ad PhilippensesEinleitung,WerkeJohannes Chrysostomus (344-407)In epistulam ad PhilippensesEinleitung,[],6,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-4432/versions/einleitung-3/divisions,1
4,Johannes Chrysostomus 344-407,Commentaire sur l'épître aux Philippiens,cpg-4432,introduction,,,,Johannes Chrysostomus 344-407In epistulam ad PhilippensesEinleitung,Johannes Chrysostomus 344-407In epistulam ad PhilippensesEinleitung,[],6,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-4432/versions/einleitung-3/divisions,1
5,Johannes Chrysostomus 344-407,Commentaire sur l'épître aux Philippiens,cpg-4432,paragraph,,,,Johannes Chrysostomus 344-407,Johannes Chrysostomus 344-407,[],3,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-4432/versions/einleitung-3/divisions,1
6,Johannes Chrysostomus 344-407,Commentaire sur l'épître aux Philippiens,cpg-4432,paragraph,,,,In epistulam ad Philippenses,In epistulam ad Philippenses,[],4,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-4432/versions/einleitung-3/divisions,1
7,Johannes Chrysostomus 344-407,Commentaire sur l'épître aux Philippiens,cpg-4432,introduction,,,,Einleitung,Einleitung,[],1,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-4432/versions/einleitung-3/divisions,1
8,Johannes Chrysostomus 344-407,Commentaire sur l'épître aux Philippiens,cpg-4432,heading,,,,Bibliographische Angabe,Bibliographische Angabe,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-4432/versions/einleitung-3/divisions,1
9,Johannes Chrysostomus 344-407,Commentaire sur l'épître aux Philippiens,cpg-4432,introduction,,,,Einleitung In: Des heiligen Kirchenlehrers Johannes Chrysostomus Erzbischofs von Konstantinopel Komm,"Einleitung In: Des heiligen Kirchenlehrers Johannes Chrysostomus Erzbischofs von Konstantinopel Kommentar zu den Briefen des hl. Paulus an die Philipper und Kolosser aus dem Griechischen übers. von Wenzel Stoderl. (Des heiligen Kirchenlehrers Johannes Chrysostomus ausgewählte Schriften Bd. 7; Bibliothek der Kirchenväter, 1. Reihe, Band 45) Kempten; München : J. Kösel : F. Pustet, 1924 (Commentary, Deutsch)",[],56,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-4432/versions/einleitung-3/divisions,1
10,Johannes Chrysostomus 344-407,Commentaire sur l'épître aux Philippiens,cpg-4432,heading,,,,Mitarbeiter,Mitarbeiter,[],1,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-4432/versions/einleitung-3/divisions,1
