id,author,work_title,work_id,section_type,section_number,subsection_number,verse_number,title,text,footnotes,word_count,language,parent_section,hierarchy_level,is_introduction,is_footnote,original_url,page_number
1,Johannes Chrysostomus 344-407,Erster Brief an Theodor (BKV),cpg-4305,introduction,,,,WerkeJohannes Chrysostomus (344-407)Ad Theodorum lapsum IEinleitung: Erster Brief an TheodorJohannes,"WerkeJohannes Chrysostomus (344-407)Ad Theodorum lapsum IEinleitung: Erster Brief an TheodorJohannes Chrysostomus 344-407Ad Theodorum lapsum IEinleitung: Erster Brief an TheodorBibliographische AngabeEinleitung: Erster Brief an Theodor In: Ausgewählte Schriften des heiligen Chrysostomus, Erzbischof von Konstantinopel und Kirchenlehrer. Übersetzt von Dr. Chrysostomus Mitterrutzner. (Bibliothek der Kirchenväter, 1 Serie, Band 3), Kempten 1890. (Commentary, Deutsch)SchlüsselCPG 4305Datum4. Jh.MitarbeiterUwe HoltmannDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( kB)TextText anzeigenScans des TextesInhaltsangabe",[],65,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-4305/versions/einleitung-erster-brief-an-theodor/divisions,1
2,Johannes Chrysostomus 344-407,Erster Brief an Theodor (BKV),cpg-4305,introduction,,,,WerkeJohannes Chrysostomus (344-407)Ad Theodorum lapsum IEinleitung: Erster Brief an TheodorJohannes,"WerkeJohannes Chrysostomus (344-407)Ad Theodorum lapsum IEinleitung: Erster Brief an TheodorJohannes Chrysostomus 344-407Ad Theodorum lapsum IEinleitung: Erster Brief an TheodorBibliographische AngabeEinleitung: Erster Brief an Theodor In: Ausgewählte Schriften des heiligen Chrysostomus, Erzbischof von Konstantinopel und Kirchenlehrer. Übersetzt von Dr. Chrysostomus Mitterrutzner. (Bibliothek der Kirchenväter, 1 Serie, Band 3), Kempten 1890. (Commentary, Deutsch)SchlüsselCPG 4305Datum4. Jh.MitarbeiterUwe HoltmannDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( kB)TextText anzeigenScans des TextesInhaltsangabe",[],65,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-4305/versions/einleitung-erster-brief-an-theodor/divisions,1
3,Johannes Chrysostomus 344-407,Erster Brief an Theodor (BKV),cpg-4305,introduction,,,,WerkeJohannes Chrysostomus (344-407)Ad Theodorum lapsum IEinleitung: Erster Brief an Theodor,WerkeJohannes Chrysostomus (344-407)Ad Theodorum lapsum IEinleitung: Erster Brief an Theodor,[],10,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-4305/versions/einleitung-erster-brief-an-theodor/divisions,1
4,Johannes Chrysostomus 344-407,Erster Brief an Theodor (BKV),cpg-4305,introduction,,,,Johannes Chrysostomus 344-407Ad Theodorum lapsum IEinleitung: Erster Brief an Theodor,Johannes Chrysostomus 344-407Ad Theodorum lapsum IEinleitung: Erster Brief an Theodor,[],10,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-4305/versions/einleitung-erster-brief-an-theodor/divisions,1
5,Johannes Chrysostomus 344-407,Erster Brief an Theodor (BKV),cpg-4305,paragraph,,,,Johannes Chrysostomus 344-407,Johannes Chrysostomus 344-407,[],3,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-4305/versions/einleitung-erster-brief-an-theodor/divisions,1
6,Johannes Chrysostomus 344-407,Erster Brief an Theodor (BKV),cpg-4305,paragraph,,,,Ad Theodorum lapsum I,Ad Theodorum lapsum I,[],4,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-4305/versions/einleitung-erster-brief-an-theodor/divisions,1
7,Johannes Chrysostomus 344-407,Erster Brief an Theodor (BKV),cpg-4305,introduction,,,,Einleitung: Erster Brief an Theodor,Einleitung: Erster Brief an Theodor,[],5,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-4305/versions/einleitung-erster-brief-an-theodor/divisions,1
8,Johannes Chrysostomus 344-407,Erster Brief an Theodor (BKV),cpg-4305,heading,,,,Bibliographische Angabe,Bibliographische Angabe,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-4305/versions/einleitung-erster-brief-an-theodor/divisions,1
9,Johannes Chrysostomus 344-407,Erster Brief an Theodor (BKV),cpg-4305,introduction,,,,"Einleitung: Erster Brief an Theodor In: Ausgewählte Schriften des heiligen Chrysostomus, Erzbischof ","Einleitung: Erster Brief an Theodor In: Ausgewählte Schriften des heiligen Chrysostomus, Erzbischof von Konstantinopel und Kirchenlehrer. Übersetzt von Dr. Chrysostomus Mitterrutzner. (Bibliothek der Kirchenväter, 1 Serie, Band 3), Kempten 1890. (Commentary, Deutsch)",[],32,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-4305/versions/einleitung-erster-brief-an-theodor/divisions,1
10,Johannes Chrysostomus 344-407,Erster Brief an Theodor (BKV),cpg-4305,heading,,,,Mitarbeiter,Mitarbeiter,[],1,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-4305/versions/einleitung-erster-brief-an-theodor/divisions,1
11,Johannes Chrysostomus 344-407,Erster Brief an Theodor (BKV),cpg-4305,paragraph,,,,Uwe Holtmann,Uwe Holtmann,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-4305/versions/einleitung-erster-brief-an-theodor/divisions,1
12,Johannes Chrysostomus 344-407,Erster Brief an Theodor (BKV),cpg-4305,paragraph,,,,DOCX ( kB),DOCX ( kB),[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-4305/versions/einleitung-erster-brief-an-theodor/divisions,1
13,Johannes Chrysostomus 344-407,Erster Brief an Theodor (BKV),cpg-4305,paragraph,,,,EPUB ( kB),EPUB ( kB),[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-4305/versions/einleitung-erster-brief-an-theodor/divisions,1
