id,author,work_title,work_id,section_type,section_number,subsection_number,verse_number,title,text,footnotes,word_count,language,parent_section,hierarchy_level,is_introduction,is_footnote,original_url,page_number
1,Johannes Chrysostomus 344-407,Homilien über die Bildsäulen (BKV),cpg-4330,introduction,,,,WerkeJohannes Chrysostomus (344-407)Ad populum Antiochenum homiliae I-XXI [De statuis]Preface to the,"WerkeJohannes Chrysostomus (344-407)Ad populum Antiochenum homiliae I-XXI [De statuis]Preface to the Benedictine Edition of the Homilies on the StatuesJohannes Chrysostomus 344-407Ad populum Antiochenum homiliae I-XXI [De statuis]Preface to the Benedictine Edition of the Homilies on the StatuesBibliographische AngabeEarly Christian Literature. Fathers of the Church, etc. A select Library of the Nicene and Post-Nicene Fathers of the Christian Church. Edited by Philip Schaff, D.D., LL.D., Professor of Church History in the Union Theological Seminary, New York. In Connection with a number of patristic scholars of Europe and America. Volume IX: Saint Chrysostom: On the Priesthood; Ascetic Treatises; Select Homilies and Letters; Homilies on the Statues. T T Clarc, Edinburgh, 1989. (Commentary, Englisch)SchlüsselCPG 4330Datum4. Jh.TextText anzeigenScans des TextesInhaltsangabe",[],116,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-4330/versions/preface-to-the-benedictine-edition-of-the-homilies-on-the-statues/divisions,1
2,Johannes Chrysostomus 344-407,Homilien über die Bildsäulen (BKV),cpg-4330,introduction,,,,WerkeJohannes Chrysostomus (344-407)Ad populum Antiochenum homiliae I-XXI [De statuis]Preface to the,"WerkeJohannes Chrysostomus (344-407)Ad populum Antiochenum homiliae I-XXI [De statuis]Preface to the Benedictine Edition of the Homilies on the StatuesJohannes Chrysostomus 344-407Ad populum Antiochenum homiliae I-XXI [De statuis]Preface to the Benedictine Edition of the Homilies on the StatuesBibliographische AngabeEarly Christian Literature. Fathers of the Church, etc. A select Library of the Nicene and Post-Nicene Fathers of the Christian Church. Edited by Philip Schaff, D.D., LL.D., Professor of Church History in the Union Theological Seminary, New York. In Connection with a number of patristic scholars of Europe and America. Volume IX: Saint Chrysostom: On the Priesthood; Ascetic Treatises; Select Homilies and Letters; Homilies on the Statues. T T Clarc, Edinburgh, 1989. (Commentary, Englisch)SchlüsselCPG 4330Datum4. Jh.TextText anzeigenScans des TextesInhaltsangabe",[],116,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-4330/versions/preface-to-the-benedictine-edition-of-the-homilies-on-the-statues/divisions,1
3,Johannes Chrysostomus 344-407,Homilien über die Bildsäulen (BKV),cpg-4330,introduction,,,,WerkeJohannes Chrysostomus (344-407)Ad populum Antiochenum homiliae I-XXI [De statuis]Preface to the,WerkeJohannes Chrysostomus (344-407)Ad populum Antiochenum homiliae I-XXI [De statuis]Preface to the Benedictine Edition of the Homilies on the Statues,[],19,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-4330/versions/preface-to-the-benedictine-edition-of-the-homilies-on-the-statues/divisions,1
4,Johannes Chrysostomus 344-407,Homilien über die Bildsäulen (BKV),cpg-4330,introduction,,,,Johannes Chrysostomus 344-407Ad populum Antiochenum homiliae I-XXI [De statuis]Preface to the Benedi,Johannes Chrysostomus 344-407Ad populum Antiochenum homiliae I-XXI [De statuis]Preface to the Benedictine Edition of the Homilies on the Statues,[],19,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-4330/versions/preface-to-the-benedictine-edition-of-the-homilies-on-the-statues/divisions,1
5,Johannes Chrysostomus 344-407,Homilien über die Bildsäulen (BKV),cpg-4330,paragraph,,,,Johannes Chrysostomus 344-407,Johannes Chrysostomus 344-407,[],3,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-4330/versions/preface-to-the-benedictine-edition-of-the-homilies-on-the-statues/divisions,1
6,Johannes Chrysostomus 344-407,Homilien über die Bildsäulen (BKV),cpg-4330,paragraph,,,,Ad populum Antiochenum homiliae I-XXI [De statuis],Ad populum Antiochenum homiliae I-XXI [De statuis],[],7,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-4330/versions/preface-to-the-benedictine-edition-of-the-homilies-on-the-statues/divisions,1
7,Johannes Chrysostomus 344-407,Homilien über die Bildsäulen (BKV),cpg-4330,introduction,,,,Preface to the Benedictine Edition of the Homilies on the Statues,Preface to the Benedictine Edition of the Homilies on the Statues,[],11,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-4330/versions/preface-to-the-benedictine-edition-of-the-homilies-on-the-statues/divisions,1
8,Johannes Chrysostomus 344-407,Homilien über die Bildsäulen (BKV),cpg-4330,heading,,,,Bibliographische Angabe,Bibliographische Angabe,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-4330/versions/preface-to-the-benedictine-edition-of-the-homilies-on-the-statues/divisions,1
9,Johannes Chrysostomus 344-407,Homilien über die Bildsäulen (BKV),cpg-4330,paragraph,,,,"Early Christian Literature. Fathers of the Church, etc. A select Library of the Nicene and Post-Nice","Early Christian Literature. Fathers of the Church, etc. A select Library of the Nicene and Post-Nicene Fathers of the Christian Church. Edited by Philip Schaff, D.D., LL.D., Professor of Church History in the Union Theological Seminary, New York. In Connection with a number of patristic scholars of Europe and America. Volume IX: Saint Chrysostom: On the Priesthood; Ascetic Treatises; Select Homilies and Letters; Homilies on the Statues. T T Clarc, Edinburgh, 1989. (Commentary, Englisch)",[],74,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-4330/versions/preface-to-the-benedictine-edition-of-the-homilies-on-the-statues/divisions,1
10,Johannes Chrysostomus 344-407,Homilien über die Bildsäulen (BKV),cpg-4330,paragraph,,,,Text anzeigen,Text anzeigen,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-4330/versions/preface-to-the-benedictine-edition-of-the-homilies-on-the-statues/divisions,1
