id,author,work_title,work_id,section_type,section_number,subsection_number,verse_number,title,text,footnotes,word_count,language,parent_section,hierarchy_level,is_introduction,is_footnote,original_url,page_number
1,Johannes Chrysostomus 344-407,Homilies of St. John Chrysostom on the First Epistle of St. Paul the Apostle to the Thessalonians,cpg-4434-1,introduction,,,,WerkeJohannes Chrysostomus (344-407)In epistulam i ad Thessalonicenses homiliae 1-11 (CCEL)Preface o,"WerkeJohannes Chrysostomus (344-407)In epistulam i ad Thessalonicenses homiliae 1-11 (CCEL)Preface on the Epistles to the Philippians, Colossians, and ThessaloniansJohannes Chrysostomus 344-407In epistulam i ad Thessalonicenses homiliae 1-11 (CCEL)Preface on the Epistles to the Philippians, Colossians, and ThessaloniansBibliographische AngabeEarly Christian Literature. Fathers of the Church, etc. A select library of the Nicene and Post-Nicene Fathers of the Christian Church Edited by Philip Schaff, D.D., LL.D., professor of church history in the Union Theological Seminary, New York. In connection with a number of patristic scholars of Europe and America. Volume XIII: Saint Chrysostom: Homilies on Galatians, Ephesians, Philippians, Colossians, Thessalonians, Timothy, Titus, and Philemon. T T Clark, Edinburgh, 1889. (Commentary, Englisch)SchlüsselCPG 4434Datum4. Jh.Andere WerkeTextText anzeigenScans des TextesInhaltsangabe",[],115,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-4434-1/versions/preface-on-the-epistles-to-the-philippians-colossians-and-thessalonians/divisions,1
2,Johannes Chrysostomus 344-407,Homilies of St. John Chrysostom on the First Epistle of St. Paul the Apostle to the Thessalonians,cpg-4434-1,introduction,,,,WerkeJohannes Chrysostomus (344-407)In epistulam i ad Thessalonicenses homiliae 1-11 (CCEL)Preface o,"WerkeJohannes Chrysostomus (344-407)In epistulam i ad Thessalonicenses homiliae 1-11 (CCEL)Preface on the Epistles to the Philippians, Colossians, and ThessaloniansJohannes Chrysostomus 344-407In epistulam i ad Thessalonicenses homiliae 1-11 (CCEL)Preface on the Epistles to the Philippians, Colossians, and ThessaloniansBibliographische AngabeEarly Christian Literature. Fathers of the Church, etc. A select library of the Nicene and Post-Nicene Fathers of the Christian Church Edited by Philip Schaff, D.D., LL.D., professor of church history in the Union Theological Seminary, New York. In connection with a number of patristic scholars of Europe and America. Volume XIII: Saint Chrysostom: Homilies on Galatians, Ephesians, Philippians, Colossians, Thessalonians, Timothy, Titus, and Philemon. T T Clark, Edinburgh, 1889. (Commentary, Englisch)SchlüsselCPG 4434Datum4. Jh.Andere WerkeTextText anzeigenScans des TextesInhaltsangabe",[],115,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-4434-1/versions/preface-on-the-epistles-to-the-philippians-colossians-and-thessalonians/divisions,1
3,Johannes Chrysostomus 344-407,Homilies of St. John Chrysostom on the First Epistle of St. Paul the Apostle to the Thessalonians,cpg-4434-1,introduction,,,,WerkeJohannes Chrysostomus (344-407)In epistulam i ad Thessalonicenses homiliae 1-11 (CCEL)Preface o,"WerkeJohannes Chrysostomus (344-407)In epistulam i ad Thessalonicenses homiliae 1-11 (CCEL)Preface on the Epistles to the Philippians, Colossians, and Thessalonians",[],19,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-4434-1/versions/preface-on-the-epistles-to-the-philippians-colossians-and-thessalonians/divisions,1
4,Johannes Chrysostomus 344-407,Homilies of St. John Chrysostom on the First Epistle of St. Paul the Apostle to the Thessalonians,cpg-4434-1,introduction,,,,Johannes Chrysostomus 344-407In epistulam i ad Thessalonicenses homiliae 1-11 (CCEL)Preface on the E,"Johannes Chrysostomus 344-407In epistulam i ad Thessalonicenses homiliae 1-11 (CCEL)Preface on the Epistles to the Philippians, Colossians, and Thessalonians",[],19,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-4434-1/versions/preface-on-the-epistles-to-the-philippians-colossians-and-thessalonians/divisions,1
5,Johannes Chrysostomus 344-407,Homilies of St. John Chrysostom on the First Epistle of St. Paul the Apostle to the Thessalonians,cpg-4434-1,paragraph,,,,Johannes Chrysostomus 344-407,Johannes Chrysostomus 344-407,[],3,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-4434-1/versions/preface-on-the-epistles-to-the-philippians-colossians-and-thessalonians/divisions,1
6,Johannes Chrysostomus 344-407,Homilies of St. John Chrysostom on the First Epistle of St. Paul the Apostle to the Thessalonians,cpg-4434-1,paragraph,,,,In epistulam i ad Thessalonicenses homiliae 1-11 (CCEL),In epistulam i ad Thessalonicenses homiliae 1-11 (CCEL),[],8,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-4434-1/versions/preface-on-the-epistles-to-the-philippians-colossians-and-thessalonians/divisions,1
7,Johannes Chrysostomus 344-407,Homilies of St. John Chrysostom on the First Epistle of St. Paul the Apostle to the Thessalonians,cpg-4434-1,introduction,,,,"Preface on the Epistles to the Philippians, Colossians, and Thessalonians","Preface on the Epistles to the Philippians, Colossians, and Thessalonians",[],10,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-4434-1/versions/preface-on-the-epistles-to-the-philippians-colossians-and-thessalonians/divisions,1
8,Johannes Chrysostomus 344-407,Homilies of St. John Chrysostom on the First Epistle of St. Paul the Apostle to the Thessalonians,cpg-4434-1,heading,,,,Bibliographische Angabe,Bibliographische Angabe,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-4434-1/versions/preface-on-the-epistles-to-the-philippians-colossians-and-thessalonians/divisions,1
9,Johannes Chrysostomus 344-407,Homilies of St. John Chrysostom on the First Epistle of St. Paul the Apostle to the Thessalonians,cpg-4434-1,paragraph,,,,"Early Christian Literature. Fathers of the Church, etc. A select library of the Nicene and Post-Nice","Early Christian Literature. Fathers of the Church, etc. A select library of the Nicene and Post-Nicene Fathers of the Christian Church Edited by Philip Schaff, D.D., LL.D., professor of church history in the Union Theological Seminary, New York. In connection with a number of patristic scholars of Europe and America. Volume XIII: Saint Chrysostom: Homilies on Galatians, Ephesians, Philippians, Colossians, Thessalonians, Timothy, Titus, and Philemon. T T Clark, Edinburgh, 1889. (Commentary, Englisch)",[],72,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-4434-1/versions/preface-on-the-epistles-to-the-philippians-colossians-and-thessalonians/divisions,1
10,Johannes Chrysostomus 344-407,Homilies of St. John Chrysostom on the First Epistle of St. Paul the Apostle to the Thessalonians,cpg-4434-1,heading,,,,Andere Werke,Andere Werke,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-4434-1/versions/preface-on-the-epistles-to-the-philippians-colossians-and-thessalonians/divisions,1
11,Johannes Chrysostomus 344-407,Homilies of St. John Chrysostom on the First Epistle of St. Paul the Apostle to the Thessalonians,cpg-4434-1,paragraph,,,,Text anzeigen,Text anzeigen,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-4434-1/versions/preface-on-the-epistles-to-the-philippians-colossians-and-thessalonians/divisions,1
12,Johannes Chrysostomus 344-407,Homilies of St. John Chrysostom on the First Epistle of St. Paul the Apostle to the Thessalonians,cpg-4434-1,paragraph,,,,Scans des Textes,Scans des Textes,[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-4434-1/versions/preface-on-the-epistles-to-the-philippians-colossians-and-thessalonians/divisions,1
13,Johannes Chrysostomus 344-407,Homilies of St. John Chrysostom on the First Epistle of St. Paul the Apostle to the Thessalonians,cpg-4434-1,heading,,,,Inhaltsangabe,Inhaltsangabe,[],1,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-4434-1/versions/preface-on-the-epistles-to-the-philippians-colossians-and-thessalonians/divisions,1
14,Johannes Chrysostomus 344-407,Homilies of St. John Chrysostom on the First Epistle of St. Paul the Apostle to the Thessalonians,cpg-4434-1,introduction,,,,Text anzeigenBibliographische AngabeScans dieser VersionÜbersetzungen dieses WerksHomilies of St. Jo,"Text anzeigenBibliographische AngabeScans dieser VersionÜbersetzungen dieses WerksHomilies of St. John Chrysostom on the First Epistle of St. Paul the Apostle to the ThessaloniansKommentare zu diesem WerkPreface on the Epistles to the Philippians, Colossians, and ThessaloniansInhaltsangabe",[],35,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-4434-1/versions/preface-on-the-epistles-to-the-philippians-colossians-and-thessalonians/divisions,1
15,Johannes Chrysostomus 344-407,Homilies of St. John Chrysostom on the First Epistle of St. Paul the Apostle to the Thessalonians,cpg-4434-1,introduction,,,,Text anzeigenBibliographische AngabeScans dieser VersionÜbersetzungen dieses WerksHomilies of St. Jo,"Text anzeigenBibliographische AngabeScans dieser VersionÜbersetzungen dieses WerksHomilies of St. John Chrysostom on the First Epistle of St. Paul the Apostle to the ThessaloniansKommentare zu diesem WerkPreface on the Epistles to the Philippians, Colossians, and ThessaloniansInhaltsangabe",[],35,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-4434-1/versions/preface-on-the-epistles-to-the-philippians-colossians-and-thessalonians/divisions,1
16,Johannes Chrysostomus 344-407,Homilies of St. John Chrysostom on the First Epistle of St. Paul the Apostle to the Thessalonians,cpg-4434-1,introduction,,,,Text anzeigenBibliographische AngabeScans dieser VersionÜbersetzungen dieses WerksHomilies of St. Jo,"Text anzeigenBibliographische AngabeScans dieser VersionÜbersetzungen dieses WerksHomilies of St. John Chrysostom on the First Epistle of St. Paul the Apostle to the ThessaloniansKommentare zu diesem WerkPreface on the Epistles to the Philippians, Colossians, and ThessaloniansInhaltsangabe",[],35,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-4434-1/versions/preface-on-the-epistles-to-the-philippians-colossians-and-thessalonians/divisions,1
17,Johannes Chrysostomus 344-407,Homilies of St. John Chrysostom on the First Epistle of St. Paul the Apostle to the Thessalonians,cpg-4434-1,paragraph,,,,Text anzeigenBibliographische AngabeScans dieser Version,Text anzeigenBibliographische AngabeScans dieser Version,[],5,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-4434-1/versions/preface-on-the-epistles-to-the-philippians-colossians-and-thessalonians/divisions,1
18,Johannes Chrysostomus 344-407,Homilies of St. John Chrysostom on the First Epistle of St. Paul the Apostle to the Thessalonians,cpg-4434-1,paragraph,,,,Text anzeigen,Text anzeigen,[],2,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-4434-1/versions/preface-on-the-epistles-to-the-philippians-colossians-and-thessalonians/divisions,1
19,Johannes Chrysostomus 344-407,Homilies of St. John Chrysostom on the First Epistle of St. Paul the Apostle to the Thessalonians,cpg-4434-1,paragraph,,,,Bibliographische Angabe,Bibliographische Angabe,[],2,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-4434-1/versions/preface-on-the-epistles-to-the-philippians-colossians-and-thessalonians/divisions,1
20,Johannes Chrysostomus 344-407,Homilies of St. John Chrysostom on the First Epistle of St. Paul the Apostle to the Thessalonians,cpg-4434-1,paragraph,,,,Scans dieser Version,Scans dieser Version,[],3,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-4434-1/versions/preface-on-the-epistles-to-the-philippians-colossians-and-thessalonians/divisions,1
21,Johannes Chrysostomus 344-407,Homilies of St. John Chrysostom on the First Epistle of St. Paul the Apostle to the Thessalonians,cpg-4434-1,paragraph,,,,Übersetzungen dieses Werks,Übersetzungen dieses Werks,[],3,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-4434-1/versions/preface-on-the-epistles-to-the-philippians-colossians-and-thessalonians/divisions,1
22,Johannes Chrysostomus 344-407,Homilies of St. John Chrysostom on the First Epistle of St. Paul the Apostle to the Thessalonians,cpg-4434-1,paragraph,,,,Kommentare zu diesem Werk,Kommentare zu diesem Werk,[],4,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-4434-1/versions/preface-on-the-epistles-to-the-philippians-colossians-and-thessalonians/divisions,1
23,Johannes Chrysostomus 344-407,Homilies of St. John Chrysostom on the First Epistle of St. Paul the Apostle to the Thessalonians,cpg-4434-1,paragraph,,,,Inhaltsangabe,Inhaltsangabe,[],1,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-4434-1/versions/preface-on-the-epistles-to-the-philippians-colossians-and-thessalonians/divisions,1
