id,author,work_title,work_id,section_type,section_number,subsection_number,verse_number,title,text,footnotes,word_count,language,parent_section,hierarchy_level,is_introduction,is_footnote,original_url,page_number
1,Johannes Chrysostomus 344-407,Homilies of St. John Chrysostom on the Gospel according to St. John,cpg-4425,introduction,,,,WerkeJohannes Chrysostomus (344-407)In Iohannem homiliae 1-88Preface to the Homilies on the Gospel o,"WerkeJohannes Chrysostomus (344-407)In Iohannem homiliae 1-88Preface to the Homilies on the Gospel of St. JohnJohannes Chrysostomus 344-407In Iohannem homiliae 1-88Preface to the Homilies on the Gospel of St. JohnBibliographische AngabeA select library of the Nicene and Post-Nicene Fathers of the Christian Church. Edited by Philip Schaff, D.D., LL.D., Professor of Church History in the Union Theological Seminary, New York In connection with a number of patristic scholars of Europe and America. Volume XIV: Saint Chrysostom: Homilies on the Gospel of St. John and the Epistle to the Hebrews. T T Clark, Edinburgh, 1889. (Commentary, Englisch)SchlüsselCPG 4425Datum4. Jh.TextText anzeigenScans des TextesInhaltsangabe",[],100,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-4425/versions/preface-to-the-homilies-on-the-gospel-of-st-john/divisions,1
2,Johannes Chrysostomus 344-407,Homilies of St. John Chrysostom on the Gospel according to St. John,cpg-4425,introduction,,,,WerkeJohannes Chrysostomus (344-407)In Iohannem homiliae 1-88Preface to the Homilies on the Gospel o,"WerkeJohannes Chrysostomus (344-407)In Iohannem homiliae 1-88Preface to the Homilies on the Gospel of St. JohnJohannes Chrysostomus 344-407In Iohannem homiliae 1-88Preface to the Homilies on the Gospel of St. JohnBibliographische AngabeA select library of the Nicene and Post-Nicene Fathers of the Christian Church. Edited by Philip Schaff, D.D., LL.D., Professor of Church History in the Union Theological Seminary, New York In connection with a number of patristic scholars of Europe and America. Volume XIV: Saint Chrysostom: Homilies on the Gospel of St. John and the Epistle to the Hebrews. T T Clark, Edinburgh, 1889. (Commentary, Englisch)SchlüsselCPG 4425Datum4. Jh.TextText anzeigenScans des TextesInhaltsangabe",[],100,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-4425/versions/preface-to-the-homilies-on-the-gospel-of-st-john/divisions,1
3,Johannes Chrysostomus 344-407,Homilies of St. John Chrysostom on the Gospel according to St. John,cpg-4425,introduction,,,,WerkeJohannes Chrysostomus (344-407)In Iohannem homiliae 1-88Preface to the Homilies on the Gospel o,WerkeJohannes Chrysostomus (344-407)In Iohannem homiliae 1-88Preface to the Homilies on the Gospel of St. John,[],15,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-4425/versions/preface-to-the-homilies-on-the-gospel-of-st-john/divisions,1
4,Johannes Chrysostomus 344-407,Homilies of St. John Chrysostom on the Gospel according to St. John,cpg-4425,introduction,,,,Johannes Chrysostomus 344-407In Iohannem homiliae 1-88Preface to the Homilies on the Gospel of St. J,Johannes Chrysostomus 344-407In Iohannem homiliae 1-88Preface to the Homilies on the Gospel of St. John,[],15,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-4425/versions/preface-to-the-homilies-on-the-gospel-of-st-john/divisions,1
5,Johannes Chrysostomus 344-407,Homilies of St. John Chrysostom on the Gospel according to St. John,cpg-4425,paragraph,,,,Johannes Chrysostomus 344-407,Johannes Chrysostomus 344-407,[],3,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-4425/versions/preface-to-the-homilies-on-the-gospel-of-st-john/divisions,1
6,Johannes Chrysostomus 344-407,Homilies of St. John Chrysostom on the Gospel according to St. John,cpg-4425,paragraph,,,,In Iohannem homiliae 1-88,In Iohannem homiliae 1-88,[],4,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-4425/versions/preface-to-the-homilies-on-the-gospel-of-st-john/divisions,1
7,Johannes Chrysostomus 344-407,Homilies of St. John Chrysostom on the Gospel according to St. John,cpg-4425,introduction,,,,Preface to the Homilies on the Gospel of St. John,Preface to the Homilies on the Gospel of St. John,[],10,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-4425/versions/preface-to-the-homilies-on-the-gospel-of-st-john/divisions,1
8,Johannes Chrysostomus 344-407,Homilies of St. John Chrysostom on the Gospel according to St. John,cpg-4425,heading,,,,Bibliographische Angabe,Bibliographische Angabe,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-4425/versions/preface-to-the-homilies-on-the-gospel-of-st-john/divisions,1
9,Johannes Chrysostomus 344-407,Homilies of St. John Chrysostom on the Gospel according to St. John,cpg-4425,paragraph,,,,A select library of the Nicene and Post-Nicene Fathers of the Christian Church. Edited by Philip Sch,"A select library of the Nicene and Post-Nicene Fathers of the Christian Church. Edited by Philip Schaff, D.D., LL.D., Professor of Church History in the Union Theological Seminary, New York In connection with a number of patristic scholars of Europe and America. Volume XIV: Saint Chrysostom: Homilies on the Gospel of St. John and the Epistle to the Hebrews. T T Clark, Edinburgh, 1889. (Commentary, Englisch)",[],66,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-4425/versions/preface-to-the-homilies-on-the-gospel-of-st-john/divisions,1
10,Johannes Chrysostomus 344-407,Homilies of St. John Chrysostom on the Gospel according to St. John,cpg-4425,paragraph,,,,Text anzeigen,Text anzeigen,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-4425/versions/preface-to-the-homilies-on-the-gospel-of-st-john/divisions,1
11,Johannes Chrysostomus 344-407,Homilies of St. John Chrysostom on the Gospel according to St. John,cpg-4425,paragraph,,,,Scans des Textes,Scans des Textes,[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-4425/versions/preface-to-the-homilies-on-the-gospel-of-st-john/divisions,1
12,Johannes Chrysostomus 344-407,Homilies of St. John Chrysostom on the Gospel according to St. John,cpg-4425,heading,,,,Inhaltsangabe,Inhaltsangabe,[],1,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-4425/versions/preface-to-the-homilies-on-the-gospel-of-st-john/divisions,1
