id,author,work_title,work_id,section_type,section_number,subsection_number,verse_number,title,text,footnotes,word_count,language,parent_section,hierarchy_level,is_introduction,is_footnote,original_url,page_number
1,Johannes Chrysostomus 344-407,Letters to Olympias,cpg-4405,paragraph,,,,WerkeJohannes Chrysostomus (344-407)Epist. 1-17 ad OlympiademLetters to OlympiasJohannes Chrysostomu,"WerkeJohannes Chrysostomus (344-407)Epist. 1-17 ad OlympiademLetters to OlympiasJohannes Chrysostomus 344-407Epist. 1-17 ad OlympiademLetters to OlympiasBibliographische AngabeEarly Christian Literature. Fathers of the Church, etc. A select Library of the Nicene and Post-Nicene Fathers of the Christian Church. Edited by Philip Schaff, D.D., LL.D., Professor of Church History in the Union Theological Seminary, New York. In Connection with a number of patristic scholars of Europe and America. Volume IX: Saint Chrysostom: On the Priesthood; Ascetic Treatises; Select Homilies and Letters; Homilies on the Statues. T T Clarc, Edinburgh, 1889. (Translation, Englisch)SchlüsselCPG 4405Datum4. Jh.TextText anzeigenScans des TextesInhaltsangabe",[],94,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-4405/versions/letters-to-olympias/divisions,1
2,Johannes Chrysostomus 344-407,Letters to Olympias,cpg-4405,paragraph,,,,WerkeJohannes Chrysostomus (344-407)Epist. 1-17 ad OlympiademLetters to OlympiasJohannes Chrysostomu,"WerkeJohannes Chrysostomus (344-407)Epist. 1-17 ad OlympiademLetters to OlympiasJohannes Chrysostomus 344-407Epist. 1-17 ad OlympiademLetters to OlympiasBibliographische AngabeEarly Christian Literature. Fathers of the Church, etc. A select Library of the Nicene and Post-Nicene Fathers of the Christian Church. Edited by Philip Schaff, D.D., LL.D., Professor of Church History in the Union Theological Seminary, New York. In Connection with a number of patristic scholars of Europe and America. Volume IX: Saint Chrysostom: On the Priesthood; Ascetic Treatises; Select Homilies and Letters; Homilies on the Statues. T T Clarc, Edinburgh, 1889. (Translation, Englisch)SchlüsselCPG 4405Datum4. Jh.TextText anzeigenScans des TextesInhaltsangabe",[],94,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-4405/versions/letters-to-olympias/divisions,1
3,Johannes Chrysostomus 344-407,Letters to Olympias,cpg-4405,paragraph,,,,WerkeJohannes Chrysostomus (344-407)Epist. 1-17 ad OlympiademLetters to Olympias,WerkeJohannes Chrysostomus (344-407)Epist. 1-17 ad OlympiademLetters to Olympias,[],8,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-4405/versions/letters-to-olympias/divisions,1
4,Johannes Chrysostomus 344-407,Letters to Olympias,cpg-4405,paragraph,,,,Johannes Chrysostomus 344-407Epist. 1-17 ad OlympiademLetters to Olympias,Johannes Chrysostomus 344-407Epist. 1-17 ad OlympiademLetters to Olympias,[],8,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-4405/versions/letters-to-olympias/divisions,1
5,Johannes Chrysostomus 344-407,Letters to Olympias,cpg-4405,paragraph,,,,Johannes Chrysostomus 344-407,Johannes Chrysostomus 344-407,[],3,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-4405/versions/letters-to-olympias/divisions,1
6,Johannes Chrysostomus 344-407,Letters to Olympias,cpg-4405,paragraph,,,,Epist. 1-17 ad Olympiadem,Epist. 1-17 ad Olympiadem,[],4,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-4405/versions/letters-to-olympias/divisions,1
7,Johannes Chrysostomus 344-407,Letters to Olympias,cpg-4405,paragraph,,,,Letters to Olympias,Letters to Olympias,[],3,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-4405/versions/letters-to-olympias/divisions,1
8,Johannes Chrysostomus 344-407,Letters to Olympias,cpg-4405,heading,,,,Bibliographische Angabe,Bibliographische Angabe,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-4405/versions/letters-to-olympias/divisions,1
9,Johannes Chrysostomus 344-407,Letters to Olympias,cpg-4405,paragraph,,,,"Early Christian Literature. Fathers of the Church, etc. A select Library of the Nicene and Post-Nice","Early Christian Literature. Fathers of the Church, etc. A select Library of the Nicene and Post-Nicene Fathers of the Christian Church. Edited by Philip Schaff, D.D., LL.D., Professor of Church History in the Union Theological Seminary, New York. In Connection with a number of patristic scholars of Europe and America. Volume IX: Saint Chrysostom: On the Priesthood; Ascetic Treatises; Select Homilies and Letters; Homilies on the Statues. T T Clarc, Edinburgh, 1889. (Translation, Englisch)",[],74,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-4405/versions/letters-to-olympias/divisions,1
10,Johannes Chrysostomus 344-407,Letters to Olympias,cpg-4405,paragraph,,,,Text anzeigen,Text anzeigen,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-4405/versions/letters-to-olympias/divisions,1
11,Johannes Chrysostomus 344-407,Letters to Olympias,cpg-4405,paragraph,,,,Scans des Textes,Scans des Textes,[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-4405/versions/letters-to-olympias/divisions,1
12,Johannes Chrysostomus 344-407,Letters to Olympias,cpg-4405,heading,,,,Inhaltsangabe,Inhaltsangabe,[],1,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-4405/versions/letters-to-olympias/divisions,1
