id,author,work_title,work_id,section_type,section_number,subsection_number,verse_number,title,text,footnotes,word_count,language,parent_section,hierarchy_level,is_introduction,is_footnote,original_url,page_number
1,Julius Sextus Africanus,Narrative of Events Happening in Persia on the Birth of Christ,cpg-1960,introduction,,,,WerkeJulius Sextus AfricanusChronographiae (fragmenta) ?Introductory Notice to Julius AfricanusJuliu,"WerkeJulius Sextus AfricanusChronographiae (fragmenta) ?Introductory Notice to Julius AfricanusJulius Sextus AfricanusChronographiae (fragmenta) ?Introductory Notice to Julius AfricanusBibliographische AngabeThe Writings of the Fathers Down to AD 325 ANTE-NICENE FATHERS VOLUME 6. Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. Edited by Alexander Roberts, D.D. James Donaldson, LL.D. Revised and chronologically arranged, with brief prefaces and occasional notes, by A. Cleveland Coxe, D.D. T T CLARK EDINBURGH WM. B. EERDMANS PUBLISHING COMPANY GRAND RAPIDS, MICHIGAN Fathers of the Third Century: Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. AMERICAN EDITION. Chronologically arranged, with brief notes and prefaces, by A. Cleveland Coxe, D.D. originally published in the United States by the Christian Literature Publishing Company, 1886 (Second printing 1995) (Commentary, Englisch)SchlüsselxDatum3. Jh.Andere WerkeTextText anzeigenScans des TextesInhaltsangabe",[],133,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1960/versions/introductory-notice-to-julius-africanus/divisions,1
2,Julius Sextus Africanus,Narrative of Events Happening in Persia on the Birth of Christ,cpg-1960,introduction,,,,WerkeJulius Sextus AfricanusChronographiae (fragmenta) ?Introductory Notice to Julius AfricanusJuliu,"WerkeJulius Sextus AfricanusChronographiae (fragmenta) ?Introductory Notice to Julius AfricanusJulius Sextus AfricanusChronographiae (fragmenta) ?Introductory Notice to Julius AfricanusBibliographische AngabeThe Writings of the Fathers Down to AD 325 ANTE-NICENE FATHERS VOLUME 6. Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. Edited by Alexander Roberts, D.D. James Donaldson, LL.D. Revised and chronologically arranged, with brief prefaces and occasional notes, by A. Cleveland Coxe, D.D. T T CLARK EDINBURGH WM. B. EERDMANS PUBLISHING COMPANY GRAND RAPIDS, MICHIGAN Fathers of the Third Century: Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. AMERICAN EDITION. Chronologically arranged, with brief notes and prefaces, by A. Cleveland Coxe, D.D. originally published in the United States by the Christian Literature Publishing Company, 1886 (Second printing 1995) (Commentary, Englisch)SchlüsselxDatum3. Jh.Andere WerkeTextText anzeigenScans des TextesInhaltsangabe",[],133,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1960/versions/introductory-notice-to-julius-africanus/divisions,1
3,Julius Sextus Africanus,Narrative of Events Happening in Persia on the Birth of Christ,cpg-1960,paragraph,,,,WerkeJulius Sextus AfricanusChronographiae (fragmenta) ?Introductory Notice to Julius Africanus,WerkeJulius Sextus AfricanusChronographiae (fragmenta) ?Introductory Notice to Julius Africanus,[],9,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1960/versions/introductory-notice-to-julius-africanus/divisions,1
4,Julius Sextus Africanus,Narrative of Events Happening in Persia on the Birth of Christ,cpg-1960,paragraph,,,,Julius Sextus AfricanusChronographiae (fragmenta) ?Introductory Notice to Julius Africanus,Julius Sextus AfricanusChronographiae (fragmenta) ?Introductory Notice to Julius Africanus,[],9,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1960/versions/introductory-notice-to-julius-africanus/divisions,1
5,Julius Sextus Africanus,Narrative of Events Happening in Persia on the Birth of Christ,cpg-1960,paragraph,,,,Julius Sextus Africanus,Julius Sextus Africanus,[],3,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1960/versions/introductory-notice-to-julius-africanus/divisions,1
6,Julius Sextus Africanus,Narrative of Events Happening in Persia on the Birth of Christ,cpg-1960,paragraph,,,,Chronographiae (fragmenta) ?,Chronographiae (fragmenta) ?,[],3,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1960/versions/introductory-notice-to-julius-africanus/divisions,1
7,Julius Sextus Africanus,Narrative of Events Happening in Persia on the Birth of Christ,cpg-1960,paragraph,,,,Introductory Notice to Julius Africanus,Introductory Notice to Julius Africanus,[],5,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1960/versions/introductory-notice-to-julius-africanus/divisions,1
8,Julius Sextus Africanus,Narrative of Events Happening in Persia on the Birth of Christ,cpg-1960,heading,,,,Bibliographische Angabe,Bibliographische Angabe,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1960/versions/introductory-notice-to-julius-africanus/divisions,1
9,Julius Sextus Africanus,Narrative of Events Happening in Persia on the Birth of Christ,cpg-1960,introduction,,,,"The Writings of the Fathers Down to AD 325 ANTE-NICENE FATHERS VOLUME 6. Gregory Thaumaturgus, Diony","The Writings of the Fathers Down to AD 325 ANTE-NICENE FATHERS VOLUME 6. Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. Edited by Alexander Roberts, D.D. James Donaldson, LL.D. Revised and chronologically arranged, with brief prefaces and occasional notes, by A. Cleveland Coxe, D.D. T T CLARK EDINBURGH WM. B. EERDMANS PUBLISHING COMPANY GRAND RAPIDS, MICHIGAN Fathers of the Third Century: Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. AMERICAN EDITION. Chronologically arranged, with brief notes and prefaces, by A. Cleveland Coxe, D.D. originally published in the United States by the Christian Literature Publishing Company, 1886 (Second printing 1995) (Commentary, Englisch)",[],111,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1960/versions/introductory-notice-to-julius-africanus/divisions,1
10,Julius Sextus Africanus,Narrative of Events Happening in Persia on the Birth of Christ,cpg-1960,heading,,,,Andere Werke,Andere Werke,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1960/versions/introductory-notice-to-julius-africanus/divisions,1
