id,author,work_title,work_id,section_type,section_number,subsection_number,verse_number,title,text,footnotes,word_count,language,parent_section,hierarchy_level,is_introduction,is_footnote,original_url,page_number
1,Justin der Märtyrer 100-165,Apologia Prima,cpg-1073a,paragraph,,,,WerkeJustin der Märtyrer (100-165)Apologia (prima)Apologia PrimaJustin der Märtyrer 100-165Apologia ,"WerkeJustin der Märtyrer (100-165)Apologia (prima)Apologia PrimaJustin der Märtyrer 100-165Apologia (prima)Apologia PrimaBibliographische AngabeJustinus: Apologia (ed. E. J. Goodspeed) Die ältesten Apologeten, Göttingen: Vandenhoeck Ruprecht, 1915, 26–77. (Edition, Griechisch)SchlüsselCPG 1073aDatum2. Jh.TextText anzeigenScans des TextesInhaltsangabe",[],32,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-1073a/versions/apologia-prima/divisions,1
2,Justin der Märtyrer 100-165,Apologia Prima,cpg-1073a,paragraph,,,,WerkeJustin der Märtyrer (100-165)Apologia (prima)Apologia PrimaJustin der Märtyrer 100-165Apologia ,"WerkeJustin der Märtyrer (100-165)Apologia (prima)Apologia PrimaJustin der Märtyrer 100-165Apologia (prima)Apologia PrimaBibliographische AngabeJustinus: Apologia (ed. E. J. Goodspeed) Die ältesten Apologeten, Göttingen: Vandenhoeck Ruprecht, 1915, 26–77. (Edition, Griechisch)SchlüsselCPG 1073aDatum2. Jh.TextText anzeigenScans des TextesInhaltsangabe",[],32,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-1073a/versions/apologia-prima/divisions,1
3,Justin der Märtyrer 100-165,Apologia Prima,cpg-1073a,paragraph,,,,WerkeJustin der Märtyrer (100-165)Apologia (prima)Apologia Prima,WerkeJustin der Märtyrer (100-165)Apologia (prima)Apologia Prima,[],6,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-1073a/versions/apologia-prima/divisions,1
4,Justin der Märtyrer 100-165,Apologia Prima,cpg-1073a,paragraph,,,,Justin der Märtyrer 100-165Apologia (prima)Apologia Prima,Justin der Märtyrer 100-165Apologia (prima)Apologia Prima,[],6,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-1073a/versions/apologia-prima/divisions,1
5,Justin der Märtyrer 100-165,Apologia Prima,cpg-1073a,paragraph,,,,Justin der Märtyrer 100-165,Justin der Märtyrer 100-165,[],4,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-1073a/versions/apologia-prima/divisions,1
6,Justin der Märtyrer 100-165,Apologia Prima,cpg-1073a,paragraph,,,,Apologia (prima),Apologia (prima),[],2,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-1073a/versions/apologia-prima/divisions,1
7,Justin der Märtyrer 100-165,Apologia Prima,cpg-1073a,paragraph,,,,Apologia Prima,Apologia Prima,[],2,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-1073a/versions/apologia-prima/divisions,1
8,Justin der Märtyrer 100-165,Apologia Prima,cpg-1073a,heading,,,,Bibliographische Angabe,Bibliographische Angabe,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1073a/versions/apologia-prima/divisions,1
9,Justin der Märtyrer 100-165,Apologia Prima,cpg-1073a,paragraph,,,,"Justinus: Apologia (ed. E. J. Goodspeed) Die ältesten Apologeten, Göttingen: Vandenhoeck Ruprecht, 1","Justinus: Apologia (ed. E. J. Goodspeed) Die ältesten Apologeten, Göttingen: Vandenhoeck Ruprecht, 1915, 26–77. (Edition, Griechisch)",[],16,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1073a/versions/apologia-prima/divisions,1
10,Justin der Märtyrer 100-165,Apologia Prima,cpg-1073a,paragraph,,,,Text anzeigen,Text anzeigen,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1073a/versions/apologia-prima/divisions,1
