id,author,work_title,work_id,section_type,section_number,subsection_number,verse_number,title,text,footnotes,word_count,language,parent_section,hierarchy_level,is_introduction,is_footnote,original_url,page_number
1,Leontius Neapolitanus 585-662,Symeon der Narr um Christi Willen,cpg-7883,paragraph,,,,WerkeLeontius Neapolitanus (585-662)Vita Symeonis SaliSymeon der Narr um Christi WillenLeontius Neap,"WerkeLeontius Neapolitanus (585-662)Vita Symeonis SaliSymeon der Narr um Christi WillenLeontius Neapolitanus 585-662Vita Symeonis SaliSymeon der Narr um Christi WillenBibliographische AngabeByzantinische Legenden Deutsch von Hans Lietzmann Jena, 1911. Verlegt bei Eugen Diederichs Mit Zeichnungen von Hans Lietzmann - Torbole gedruckt in der Hoffmannschen Buchdruckerei Stuttgart im Jahr 1911 (Translation, Deutsch)SchlüsselCPG 7883Datum7. Jh.MitarbeiterEva-Marie LaumannTextText anzeigenScans des TextesInhaltsangabe",[],55,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-7883/versions/symeon-der-narr-um-christi-willen/divisions,1
2,Leontius Neapolitanus 585-662,Symeon der Narr um Christi Willen,cpg-7883,paragraph,,,,WerkeLeontius Neapolitanus (585-662)Vita Symeonis SaliSymeon der Narr um Christi WillenLeontius Neap,"WerkeLeontius Neapolitanus (585-662)Vita Symeonis SaliSymeon der Narr um Christi WillenLeontius Neapolitanus 585-662Vita Symeonis SaliSymeon der Narr um Christi WillenBibliographische AngabeByzantinische Legenden Deutsch von Hans Lietzmann Jena, 1911. Verlegt bei Eugen Diederichs Mit Zeichnungen von Hans Lietzmann - Torbole gedruckt in der Hoffmannschen Buchdruckerei Stuttgart im Jahr 1911 (Translation, Deutsch)SchlüsselCPG 7883Datum7. Jh.MitarbeiterEva-Marie LaumannTextText anzeigenScans des TextesInhaltsangabe",[],55,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-7883/versions/symeon-der-narr-um-christi-willen/divisions,1
3,Leontius Neapolitanus 585-662,Symeon der Narr um Christi Willen,cpg-7883,paragraph,,,,WerkeLeontius Neapolitanus (585-662)Vita Symeonis SaliSymeon der Narr um Christi Willen,WerkeLeontius Neapolitanus (585-662)Vita Symeonis SaliSymeon der Narr um Christi Willen,[],10,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-7883/versions/symeon-der-narr-um-christi-willen/divisions,1
4,Leontius Neapolitanus 585-662,Symeon der Narr um Christi Willen,cpg-7883,paragraph,,,,Leontius Neapolitanus 585-662Vita Symeonis SaliSymeon der Narr um Christi Willen,Leontius Neapolitanus 585-662Vita Symeonis SaliSymeon der Narr um Christi Willen,[],10,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-7883/versions/symeon-der-narr-um-christi-willen/divisions,1
5,Leontius Neapolitanus 585-662,Symeon der Narr um Christi Willen,cpg-7883,paragraph,,,,Leontius Neapolitanus 585-662,Leontius Neapolitanus 585-662,[],3,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-7883/versions/symeon-der-narr-um-christi-willen/divisions,1
6,Leontius Neapolitanus 585-662,Symeon der Narr um Christi Willen,cpg-7883,paragraph,,,,Vita Symeonis Sali,Vita Symeonis Sali,[],3,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-7883/versions/symeon-der-narr-um-christi-willen/divisions,1
7,Leontius Neapolitanus 585-662,Symeon der Narr um Christi Willen,cpg-7883,paragraph,,,,Symeon der Narr um Christi Willen,Symeon der Narr um Christi Willen,[],6,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-7883/versions/symeon-der-narr-um-christi-willen/divisions,1
8,Leontius Neapolitanus 585-662,Symeon der Narr um Christi Willen,cpg-7883,heading,,,,Bibliographische Angabe,Bibliographische Angabe,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-7883/versions/symeon-der-narr-um-christi-willen/divisions,1
9,Leontius Neapolitanus 585-662,Symeon der Narr um Christi Willen,cpg-7883,paragraph,,,,"Byzantinische Legenden Deutsch von Hans Lietzmann Jena, 1911. Verlegt bei Eugen Diederichs Mit Zeich","Byzantinische Legenden Deutsch von Hans Lietzmann Jena, 1911. Verlegt bei Eugen Diederichs Mit Zeichnungen von Hans Lietzmann - Torbole gedruckt in der Hoffmannschen Buchdruckerei Stuttgart im Jahr 1911 (Translation, Deutsch)",[],30,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-7883/versions/symeon-der-narr-um-christi-willen/divisions,1
10,Leontius Neapolitanus 585-662,Symeon der Narr um Christi Willen,cpg-7883,heading,,,,Mitarbeiter,Mitarbeiter,[],1,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-7883/versions/symeon-der-narr-um-christi-willen/divisions,1
11,Leontius Neapolitanus 585-662,Symeon der Narr um Christi Willen,cpg-7883,paragraph,,,,Eva-Marie Laumann,Eva-Marie Laumann,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-7883/versions/symeon-der-narr-um-christi-willen/divisions,1
12,Leontius Neapolitanus 585-662,Symeon der Narr um Christi Willen,cpg-7883,paragraph,,,,Text anzeigen,Text anzeigen,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-7883/versions/symeon-der-narr-um-christi-willen/divisions,1
13,Leontius Neapolitanus 585-662,Symeon der Narr um Christi Willen,cpg-7883,paragraph,,,,Scans des Textes,Scans des Textes,[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-7883/versions/symeon-der-narr-um-christi-willen/divisions,1
14,Leontius Neapolitanus 585-662,Symeon der Narr um Christi Willen,cpg-7883,heading,,,,Inhaltsangabe,Inhaltsangabe,[],1,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-7883/versions/symeon-der-narr-um-christi-willen/divisions,1
15,Leontius Neapolitanus 585-662,Symeon der Narr um Christi Willen,cpg-7883,paragraph,,,,Text anzeigenBibliographische AngabeScans dieser VersionÜbersetzungen dieses WerksSymeon der Narr um,Text anzeigenBibliographische AngabeScans dieser VersionÜbersetzungen dieses WerksSymeon der Narr um Christi WillenInhaltsangabe,[],12,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-7883/versions/symeon-der-narr-um-christi-willen/divisions,1
16,Leontius Neapolitanus 585-662,Symeon der Narr um Christi Willen,cpg-7883,paragraph,,,,Text anzeigenBibliographische AngabeScans dieser VersionÜbersetzungen dieses WerksSymeon der Narr um,Text anzeigenBibliographische AngabeScans dieser VersionÜbersetzungen dieses WerksSymeon der Narr um Christi WillenInhaltsangabe,[],12,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-7883/versions/symeon-der-narr-um-christi-willen/divisions,1
17,Leontius Neapolitanus 585-662,Symeon der Narr um Christi Willen,cpg-7883,paragraph,,,,Text anzeigenBibliographische AngabeScans dieser VersionÜbersetzungen dieses WerksSymeon der Narr um,Text anzeigenBibliographische AngabeScans dieser VersionÜbersetzungen dieses WerksSymeon der Narr um Christi WillenInhaltsangabe,[],12,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-7883/versions/symeon-der-narr-um-christi-willen/divisions,1
18,Leontius Neapolitanus 585-662,Symeon der Narr um Christi Willen,cpg-7883,paragraph,,,,Text anzeigenBibliographische AngabeScans dieser Version,Text anzeigenBibliographische AngabeScans dieser Version,[],5,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-7883/versions/symeon-der-narr-um-christi-willen/divisions,1
19,Leontius Neapolitanus 585-662,Symeon der Narr um Christi Willen,cpg-7883,paragraph,,,,Text anzeigen,Text anzeigen,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-7883/versions/symeon-der-narr-um-christi-willen/divisions,1
20,Leontius Neapolitanus 585-662,Symeon der Narr um Christi Willen,cpg-7883,paragraph,,,,Bibliographische Angabe,Bibliographische Angabe,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-7883/versions/symeon-der-narr-um-christi-willen/divisions,1
21,Leontius Neapolitanus 585-662,Symeon der Narr um Christi Willen,cpg-7883,paragraph,,,,Scans dieser Version,Scans dieser Version,[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-7883/versions/symeon-der-narr-um-christi-willen/divisions,1
22,Leontius Neapolitanus 585-662,Symeon der Narr um Christi Willen,cpg-7883,paragraph,,,,Übersetzungen dieses Werks,Übersetzungen dieses Werks,[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-7883/versions/symeon-der-narr-um-christi-willen/divisions,1
23,Leontius Neapolitanus 585-662,Symeon der Narr um Christi Willen,cpg-7883,paragraph,,,,Inhaltsangabe,Inhaltsangabe,[],1,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-7883/versions/symeon-der-narr-um-christi-willen/divisions,1
