id,author,work_title,work_id,section_type,section_number,subsection_number,verse_number,title,text,footnotes,word_count,language,parent_section,hierarchy_level,is_introduction,is_footnote,original_url,page_number
1,"Liturgien, Griechische",Die griechische Basiliusliturgie (BKV),cpg-2905,introduction,,,,"WerkeLiturgien, GriechischeLiturgiaEinleitung: Die griechische BasiliusliturgieLiturgien, Griechisch","WerkeLiturgien, GriechischeLiturgiaEinleitung: Die griechische BasiliusliturgieLiturgien, GriechischeLiturgiaEinleitung: Die griechische BasiliusliturgieBibliographische AngabeEinleitung: Die griechische Basiliusliturgie In: Griechische Liturgien. Übers. von Remigius Storf ; mit Einl. versehen von Theodor Schermann. (Bibliothek der Kirchenväter, 1. Reihe, Band 5) München 1912. (Commentary, Deutsch)SchlüsselCPG 2905MitarbeiterRudolf HeumannDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( kB)TextText anzeigenScans des TextesInhaltsangabe",[],51,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-2905/versions/einleitung-die-griechische-basiliusliturgie/divisions,1
2,"Liturgien, Griechische",Die griechische Basiliusliturgie (BKV),cpg-2905,introduction,,,,"WerkeLiturgien, GriechischeLiturgiaEinleitung: Die griechische BasiliusliturgieLiturgien, Griechisch","WerkeLiturgien, GriechischeLiturgiaEinleitung: Die griechische BasiliusliturgieLiturgien, GriechischeLiturgiaEinleitung: Die griechische BasiliusliturgieBibliographische AngabeEinleitung: Die griechische Basiliusliturgie In: Griechische Liturgien. Übers. von Remigius Storf ; mit Einl. versehen von Theodor Schermann. (Bibliothek der Kirchenväter, 1. Reihe, Band 5) München 1912. (Commentary, Deutsch)SchlüsselCPG 2905MitarbeiterRudolf HeumannDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( kB)TextText anzeigenScans des TextesInhaltsangabe",[],51,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-2905/versions/einleitung-die-griechische-basiliusliturgie/divisions,1
3,"Liturgien, Griechische",Die griechische Basiliusliturgie (BKV),cpg-2905,introduction,,,,"WerkeLiturgien, GriechischeLiturgiaEinleitung: Die griechische Basiliusliturgie","WerkeLiturgien, GriechischeLiturgiaEinleitung: Die griechische Basiliusliturgie",[],5,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-2905/versions/einleitung-die-griechische-basiliusliturgie/divisions,1
4,"Liturgien, Griechische",Die griechische Basiliusliturgie (BKV),cpg-2905,introduction,,,,"Liturgien, GriechischeLiturgiaEinleitung: Die griechische Basiliusliturgie","Liturgien, GriechischeLiturgiaEinleitung: Die griechische Basiliusliturgie",[],5,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-2905/versions/einleitung-die-griechische-basiliusliturgie/divisions,1
5,"Liturgien, Griechische",Die griechische Basiliusliturgie (BKV),cpg-2905,paragraph,,,,"Liturgien, Griechische","Liturgien, Griechische",[],2,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-2905/versions/einleitung-die-griechische-basiliusliturgie/divisions,1
6,"Liturgien, Griechische",Die griechische Basiliusliturgie (BKV),cpg-2905,introduction,,,,Einleitung: Die griechische Basiliusliturgie,Einleitung: Die griechische Basiliusliturgie,[],4,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-2905/versions/einleitung-die-griechische-basiliusliturgie/divisions,1
7,"Liturgien, Griechische",Die griechische Basiliusliturgie (BKV),cpg-2905,heading,,,,Bibliographische Angabe,Bibliographische Angabe,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-2905/versions/einleitung-die-griechische-basiliusliturgie/divisions,1
8,"Liturgien, Griechische",Die griechische Basiliusliturgie (BKV),cpg-2905,introduction,,,,Einleitung: Die griechische Basiliusliturgie In: Griechische Liturgien. Übers. von Remigius Storf ; ,"Einleitung: Die griechische Basiliusliturgie In: Griechische Liturgien. Übers. von Remigius Storf ; mit Einl. versehen von Theodor Schermann. (Bibliothek der Kirchenväter, 1. Reihe, Band 5) München 1912. (Commentary, Deutsch)",[],29,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-2905/versions/einleitung-die-griechische-basiliusliturgie/divisions,1
9,"Liturgien, Griechische",Die griechische Basiliusliturgie (BKV),cpg-2905,heading,,,,Mitarbeiter,Mitarbeiter,[],1,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-2905/versions/einleitung-die-griechische-basiliusliturgie/divisions,1
10,"Liturgien, Griechische",Die griechische Basiliusliturgie (BKV),cpg-2905,paragraph,,,,Rudolf Heumann,Rudolf Heumann,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-2905/versions/einleitung-die-griechische-basiliusliturgie/divisions,1
11,"Liturgien, Griechische",Die griechische Basiliusliturgie (BKV),cpg-2905,paragraph,,,,DOCX ( kB),DOCX ( kB),[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-2905/versions/einleitung-die-griechische-basiliusliturgie/divisions,1
12,"Liturgien, Griechische",Die griechische Basiliusliturgie (BKV),cpg-2905,paragraph,,,,EPUB ( kB),EPUB ( kB),[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-2905/versions/einleitung-die-griechische-basiliusliturgie/divisions,1
13,"Liturgien, Griechische",Die griechische Basiliusliturgie (BKV),cpg-2905,paragraph,,,,PDF ( kB),PDF ( kB),[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-2905/versions/einleitung-die-griechische-basiliusliturgie/divisions,1
14,"Liturgien, Griechische",Die griechische Basiliusliturgie (BKV),cpg-2905,paragraph,,,,RTF ( kB),RTF ( kB),[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-2905/versions/einleitung-die-griechische-basiliusliturgie/divisions,1
15,"Liturgien, Griechische",Die griechische Basiliusliturgie (BKV),cpg-2905,paragraph,,,,Text anzeigen,Text anzeigen,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-2905/versions/einleitung-die-griechische-basiliusliturgie/divisions,1
16,"Liturgien, Griechische",Die griechische Basiliusliturgie (BKV),cpg-2905,paragraph,,,,Scans des Textes,Scans des Textes,[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-2905/versions/einleitung-die-griechische-basiliusliturgie/divisions,1
17,"Liturgien, Griechische",Die griechische Basiliusliturgie (BKV),cpg-2905,heading,,,,Inhaltsangabe,Inhaltsangabe,[],1,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-2905/versions/einleitung-die-griechische-basiliusliturgie/divisions,1
