id,author,work_title,work_id,section_type,section_number,subsection_number,verse_number,title,text,footnotes,word_count,language,parent_section,hierarchy_level,is_introduction,is_footnote,original_url,page_number
1,Märtyrerakten,Epistula Ecclesiae Smyrnensis de martyrio s. Polycarpi (Loeb),cpg-1045,introduction,,,,WerkeMärtyreraktenEpistula Ecclesiae Smyrnensis de martyrio s. PolycarpiEinleitung: Der Brief des Mä,"WerkeMärtyreraktenEpistula Ecclesiae Smyrnensis de martyrio s. PolycarpiEinleitung: Der Brief des Märtyrers und Bischofs Polykarp von Smyrna an die Gemeinde von PhilippiMärtyreraktenEpistula Ecclesiae Smyrnensis de martyrio s. PolycarpiEinleitung: Der Brief des Märtyrers und Bischofs Polykarp von Smyrna an die Gemeinde von PhilippiBibliographische AngabeEinleitung: Der Brief des Märtyrers und Bischofs Polykarp von Smyrna an die Gemeinde von Philippi. In: Die Apostolischen Väter. Aus dem Griechischen übersetzt von Franz Zeller. (Bibliothek der Kirchenväter, 1. Reihe, Band 35) München 1918. (Commentary, Deutsch)SchlüsselCPG 1045MitarbeiterJürgen VoosDownloadDOC ( kB)EPU ( kB)PDF ( kB)RTF ( kB)TextText anzeigenScans des TextesInhaltsangabe",[],91,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1045/versions/einleitung-der-brief-des-martyrers-und-bischofs-polykarp-von-smyrna-an-die-gemeinde-von-philippi/divisions,1
2,Märtyrerakten,Epistula Ecclesiae Smyrnensis de martyrio s. Polycarpi (Loeb),cpg-1045,introduction,,,,WerkeMärtyreraktenEpistula Ecclesiae Smyrnensis de martyrio s. PolycarpiEinleitung: Der Brief des Mä,"WerkeMärtyreraktenEpistula Ecclesiae Smyrnensis de martyrio s. PolycarpiEinleitung: Der Brief des Märtyrers und Bischofs Polykarp von Smyrna an die Gemeinde von PhilippiMärtyreraktenEpistula Ecclesiae Smyrnensis de martyrio s. PolycarpiEinleitung: Der Brief des Märtyrers und Bischofs Polykarp von Smyrna an die Gemeinde von PhilippiBibliographische AngabeEinleitung: Der Brief des Märtyrers und Bischofs Polykarp von Smyrna an die Gemeinde von Philippi. In: Die Apostolischen Väter. Aus dem Griechischen übersetzt von Franz Zeller. (Bibliothek der Kirchenväter, 1. Reihe, Band 35) München 1918. (Commentary, Deutsch)SchlüsselCPG 1045MitarbeiterJürgen VoosDownloadDOC ( kB)EPU ( kB)PDF ( kB)RTF ( kB)TextText anzeigenScans des TextesInhaltsangabe",[],91,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1045/versions/einleitung-der-brief-des-martyrers-und-bischofs-polykarp-von-smyrna-an-die-gemeinde-von-philippi/divisions,1
3,Märtyrerakten,Epistula Ecclesiae Smyrnensis de martyrio s. Polycarpi (Loeb),cpg-1045,introduction,,,,WerkeMärtyreraktenEpistula Ecclesiae Smyrnensis de martyrio s. PolycarpiEinleitung: Der Brief des Mä,WerkeMärtyreraktenEpistula Ecclesiae Smyrnensis de martyrio s. PolycarpiEinleitung: Der Brief des Märtyrers und Bischofs Polykarp von Smyrna an die Gemeinde von Philippi,[],21,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1045/versions/einleitung-der-brief-des-martyrers-und-bischofs-polykarp-von-smyrna-an-die-gemeinde-von-philippi/divisions,1
4,Märtyrerakten,Epistula Ecclesiae Smyrnensis de martyrio s. Polycarpi (Loeb),cpg-1045,introduction,,,,MärtyreraktenEpistula Ecclesiae Smyrnensis de martyrio s. PolycarpiEinleitung: Der Brief des Märtyre,MärtyreraktenEpistula Ecclesiae Smyrnensis de martyrio s. PolycarpiEinleitung: Der Brief des Märtyrers und Bischofs Polykarp von Smyrna an die Gemeinde von Philippi,[],21,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1045/versions/einleitung-der-brief-des-martyrers-und-bischofs-polykarp-von-smyrna-an-die-gemeinde-von-philippi/divisions,1
5,Märtyrerakten,Epistula Ecclesiae Smyrnensis de martyrio s. Polycarpi (Loeb),cpg-1045,paragraph,,,,Märtyrerakten,Märtyrerakten,[],1,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1045/versions/einleitung-der-brief-des-martyrers-und-bischofs-polykarp-von-smyrna-an-die-gemeinde-von-philippi/divisions,1
6,Märtyrerakten,Epistula Ecclesiae Smyrnensis de martyrio s. Polycarpi (Loeb),cpg-1045,paragraph,,,,Epistula Ecclesiae Smyrnensis de martyrio s. Polycarpi,Epistula Ecclesiae Smyrnensis de martyrio s. Polycarpi,[],7,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1045/versions/einleitung-der-brief-des-martyrers-und-bischofs-polykarp-von-smyrna-an-die-gemeinde-von-philippi/divisions,1
7,Märtyrerakten,Epistula Ecclesiae Smyrnensis de martyrio s. Polycarpi (Loeb),cpg-1045,introduction,,,,Einleitung: Der Brief des Märtyrers und Bischofs Polykarp von Smyrna an die Gemeinde von Philippi,Einleitung: Der Brief des Märtyrers und Bischofs Polykarp von Smyrna an die Gemeinde von Philippi,[],15,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1045/versions/einleitung-der-brief-des-martyrers-und-bischofs-polykarp-von-smyrna-an-die-gemeinde-von-philippi/divisions,1
8,Märtyrerakten,Epistula Ecclesiae Smyrnensis de martyrio s. Polycarpi (Loeb),cpg-1045,heading,,,,Bibliographische Angabe,Bibliographische Angabe,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1045/versions/einleitung-der-brief-des-martyrers-und-bischofs-polykarp-von-smyrna-an-die-gemeinde-von-philippi/divisions,1
9,Märtyrerakten,Epistula Ecclesiae Smyrnensis de martyrio s. Polycarpi (Loeb),cpg-1045,introduction,,,,Einleitung: Der Brief des Märtyrers und Bischofs Polykarp von Smyrna an die Gemeinde von Philippi. I,"Einleitung: Der Brief des Märtyrers und Bischofs Polykarp von Smyrna an die Gemeinde von Philippi. In: Die Apostolischen Väter. Aus dem Griechischen übersetzt von Franz Zeller. (Bibliothek der Kirchenväter, 1. Reihe, Band 35) München 1918. (Commentary, Deutsch)",[],37,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1045/versions/einleitung-der-brief-des-martyrers-und-bischofs-polykarp-von-smyrna-an-die-gemeinde-von-philippi/divisions,1
10,Märtyrerakten,Epistula Ecclesiae Smyrnensis de martyrio s. Polycarpi (Loeb),cpg-1045,heading,,,,Mitarbeiter,Mitarbeiter,[],1,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1045/versions/einleitung-der-brief-des-martyrers-und-bischofs-polykarp-von-smyrna-an-die-gemeinde-von-philippi/divisions,1
