id,author,work_title,work_id,section_type,section_number,subsection_number,verse_number,title,text,footnotes,word_count,language,parent_section,hierarchy_level,is_introduction,is_footnote,original_url,page_number
1,Origenes † 253/54,A Letter from Origen to Africanus,cpg-1494,introduction,,,,WerkeOrigenes ( 253 54)Epistula ad Iulium AfricanumA Letter from Origen to AfricanusOrigenes 253 54E,"WerkeOrigenes ( 253 54)Epistula ad Iulium AfricanumA Letter from Origen to AfricanusOrigenes 253 54Epistula ad Iulium AfricanumA Letter from Origen to AfricanusBibliographische AngabeThe Writings of the Fathers Down to A.D. 325 Ante-Nicene Fathers. Volume 4. Fathers of the Third Century: Tertullian, Part Fourth; Minucius Felix; Commodian; Origen, Parts First and Second. Chronologically arranged, with brief notes and prefaces, by A. Cleveland Coxe, D.D. Hendrickson Publishers, Inc. Printed in the United States of America. originally published in the United States by the Christian Literature Publishing Company, 1885. (Translation, Englisch)SchlüsselCPG 1494Datum3. Jh.TextText anzeigenScans des TextesInhaltsangabe",[],93,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1494/versions/a-letter-from-origen-to-africanus/divisions,1
2,Origenes † 253/54,A Letter from Origen to Africanus,cpg-1494,introduction,,,,WerkeOrigenes ( 253 54)Epistula ad Iulium AfricanumA Letter from Origen to AfricanusOrigenes 253 54E,"WerkeOrigenes ( 253 54)Epistula ad Iulium AfricanumA Letter from Origen to AfricanusOrigenes 253 54Epistula ad Iulium AfricanumA Letter from Origen to AfricanusBibliographische AngabeThe Writings of the Fathers Down to A.D. 325 Ante-Nicene Fathers. Volume 4. Fathers of the Third Century: Tertullian, Part Fourth; Minucius Felix; Commodian; Origen, Parts First and Second. Chronologically arranged, with brief notes and prefaces, by A. Cleveland Coxe, D.D. Hendrickson Publishers, Inc. Printed in the United States of America. originally published in the United States by the Christian Literature Publishing Company, 1885. (Translation, Englisch)SchlüsselCPG 1494Datum3. Jh.TextText anzeigenScans des TextesInhaltsangabe",[],93,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1494/versions/a-letter-from-origen-to-africanus/divisions,1
3,Origenes † 253/54,A Letter from Origen to Africanus,cpg-1494,paragraph,,,,WerkeOrigenes ( 253 54)Epistula ad Iulium AfricanumA Letter from Origen to Africanus,WerkeOrigenes ( 253 54)Epistula ad Iulium AfricanumA Letter from Origen to Africanus,[],12,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1494/versions/a-letter-from-origen-to-africanus/divisions,1
4,Origenes † 253/54,A Letter from Origen to Africanus,cpg-1494,paragraph,,,,Origenes 253 54Epistula ad Iulium AfricanumA Letter from Origen to Africanus,Origenes 253 54Epistula ad Iulium AfricanumA Letter from Origen to Africanus,[],11,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1494/versions/a-letter-from-origen-to-africanus/divisions,1
5,Origenes † 253/54,A Letter from Origen to Africanus,cpg-1494,paragraph,,,,Origenes 253 54,Origenes 253 54,[],3,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1494/versions/a-letter-from-origen-to-africanus/divisions,1
6,Origenes † 253/54,A Letter from Origen to Africanus,cpg-1494,paragraph,,,,Epistula ad Iulium Africanum,Epistula ad Iulium Africanum,[],4,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1494/versions/a-letter-from-origen-to-africanus/divisions,1
7,Origenes † 253/54,A Letter from Origen to Africanus,cpg-1494,paragraph,,,,A Letter from Origen to Africanus,A Letter from Origen to Africanus,[],6,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1494/versions/a-letter-from-origen-to-africanus/divisions,1
8,Origenes † 253/54,A Letter from Origen to Africanus,cpg-1494,heading,,,,Bibliographische Angabe,Bibliographische Angabe,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1494/versions/a-letter-from-origen-to-africanus/divisions,1
9,Origenes † 253/54,A Letter from Origen to Africanus,cpg-1494,introduction,,,,The Writings of the Fathers Down to A.D. 325 Ante-Nicene Fathers. Volume 4. Fathers of the Third Cen,"The Writings of the Fathers Down to A.D. 325 Ante-Nicene Fathers. Volume 4. Fathers of the Third Century: Tertullian, Part Fourth; Minucius Felix; Commodian; Origen, Parts First and Second. Chronologically arranged, with brief notes and prefaces, by A. Cleveland Coxe, D.D. Hendrickson Publishers, Inc. Printed in the United States of America. originally published in the United States by the Christian Literature Publishing Company, 1885. (Translation, Englisch)",[],66,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1494/versions/a-letter-from-origen-to-africanus/divisions,1
10,Origenes † 253/54,A Letter from Origen to Africanus,cpg-1494,paragraph,,,,Text anzeigen,Text anzeigen,[],2,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1494/versions/a-letter-from-origen-to-africanus/divisions,1
