id,author,work_title,work_id,section_type,section_number,subsection_number,verse_number,title,text,footnotes,word_count,language,parent_section,hierarchy_level,is_introduction,is_footnote,original_url,page_number
1,Palladius von Helenopolis 363-431,Histoire Lausiaque (Vies d'ascètes et de pères du désert),cpg-6036,paragraph,,,,WerkePalladius von Helenopolis (363-431)Historia LausiacaLeben der Väter (BKV)Palladius von Helenopo,"WerkePalladius von Helenopolis (363-431)Historia LausiacaLeben der Väter (BKV)Palladius von Helenopolis 363-431Historia LausiacaLeben der Väter (BKV)Bibliographische AngabeLeben der Väter (Historia Lausiaca). Griechische Liturgien. Übers. von Remigius Storf ; mit Einl. versehen von Theodor Schermann. (Bibliothek der Kirchenväter, 1. Reihe, Band 5) München 1912. (Translation, Deutsch)SchlüsselCPG 6036Datum5. Jh.MitarbeiterJürgen VoosDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( kB)TextText anzeigenScans des TextesInhaltsangabe",[],58,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-6036/versions/leben-der-vater-bkv/divisions,1
2,Palladius von Helenopolis 363-431,Histoire Lausiaque (Vies d'ascètes et de pères du désert),cpg-6036,paragraph,,,,WerkePalladius von Helenopolis (363-431)Historia LausiacaLeben der Väter (BKV)Palladius von Helenopo,"WerkePalladius von Helenopolis (363-431)Historia LausiacaLeben der Väter (BKV)Palladius von Helenopolis 363-431Historia LausiacaLeben der Väter (BKV)Bibliographische AngabeLeben der Väter (Historia Lausiaca). Griechische Liturgien. Übers. von Remigius Storf ; mit Einl. versehen von Theodor Schermann. (Bibliothek der Kirchenväter, 1. Reihe, Band 5) München 1912. (Translation, Deutsch)SchlüsselCPG 6036Datum5. Jh.MitarbeiterJürgen VoosDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( kB)TextText anzeigenScans des TextesInhaltsangabe",[],58,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-6036/versions/leben-der-vater-bkv/divisions,1
3,Palladius von Helenopolis 363-431,Histoire Lausiaque (Vies d'ascètes et de pères du désert),cpg-6036,paragraph,,,,WerkePalladius von Helenopolis (363-431)Historia LausiacaLeben der Väter (BKV),WerkePalladius von Helenopolis (363-431)Historia LausiacaLeben der Väter (BKV),[],8,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-6036/versions/leben-der-vater-bkv/divisions,1
4,Palladius von Helenopolis 363-431,Histoire Lausiaque (Vies d'ascètes et de pères du désert),cpg-6036,paragraph,,,,Palladius von Helenopolis 363-431Historia LausiacaLeben der Väter (BKV),Palladius von Helenopolis 363-431Historia LausiacaLeben der Väter (BKV),[],8,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-6036/versions/leben-der-vater-bkv/divisions,1
5,Palladius von Helenopolis 363-431,Histoire Lausiaque (Vies d'ascètes et de pères du désert),cpg-6036,paragraph,,,,Palladius von Helenopolis 363-431,Palladius von Helenopolis 363-431,[],4,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-6036/versions/leben-der-vater-bkv/divisions,1
6,Palladius von Helenopolis 363-431,Histoire Lausiaque (Vies d'ascètes et de pères du désert),cpg-6036,paragraph,,,,Historia Lausiaca,Historia Lausiaca,[],2,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-6036/versions/leben-der-vater-bkv/divisions,1
7,Palladius von Helenopolis 363-431,Histoire Lausiaque (Vies d'ascètes et de pères du désert),cpg-6036,paragraph,,,,Leben der Väter (BKV),Leben der Väter (BKV),[],4,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-6036/versions/leben-der-vater-bkv/divisions,1
8,Palladius von Helenopolis 363-431,Histoire Lausiaque (Vies d'ascètes et de pères du désert),cpg-6036,heading,,,,Bibliographische Angabe,Bibliographische Angabe,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-6036/versions/leben-der-vater-bkv/divisions,1
9,Palladius von Helenopolis 363-431,Histoire Lausiaque (Vies d'ascètes et de pères du désert),cpg-6036,paragraph,,,,Leben der Väter (Historia Lausiaca). Griechische Liturgien. Übers. von Remigius Storf ; mit Einl. ve,"Leben der Väter (Historia Lausiaca). Griechische Liturgien. Übers. von Remigius Storf ; mit Einl. versehen von Theodor Schermann. (Bibliothek der Kirchenväter, 1. Reihe, Band 5) München 1912. (Translation, Deutsch)",[],29,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-6036/versions/leben-der-vater-bkv/divisions,1
10,Palladius von Helenopolis 363-431,Histoire Lausiaque (Vies d'ascètes et de pères du désert),cpg-6036,heading,,,,Mitarbeiter,Mitarbeiter,[],1,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-6036/versions/leben-der-vater-bkv/divisions,1
