id,author,work_title,work_id,section_type,section_number,subsection_number,verse_number,title,text,footnotes,word_count,language,parent_section,hierarchy_level,is_introduction,is_footnote,original_url,page_number
1,Polykarp von Smyrna 69-155,The Epistle of S. Polycarp to the Philippians (Loeb),cpg-1040,paragraph,,,,WerkePolykarp von Smyrna (69-155)Epistula ad PhilippensesDer Brief des Polykarp von Smyrna an die Ge,"WerkePolykarp von Smyrna (69-155)Epistula ad PhilippensesDer Brief des Polykarp von Smyrna an die Gemeinde von Philippi (BKV)Polykarp von Smyrna 69-155Epistula ad PhilippensesDer Brief des Polykarp von Smyrna an die Gemeinde von Philippi (BKV)Bibliographische AngabeDer Brief des Polykarp von Smyrna an die Gemeinde von Philippi aus dem Griechischen übersetzt von Franz Zeller In: Die Apostolischen Väter (Bibliothek der Kirchenväter, 1. Reihe, Band 35) München 1918, 163–170. (Translation, Deutsch)SchlüsselCPG 1040Datum2. Jh.MitarbeiterJürgen Voos und Sr. Dr. M. Benedicta ArndtDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( kB)TextText anzeigenScans des TextesInhaltsangabe",[],87,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-1040/versions/der-brief-des-polykarp-von-smyrna-an-die-gemeinde-von-philippi-bkv/divisions,1
2,Polykarp von Smyrna 69-155,The Epistle of S. Polycarp to the Philippians (Loeb),cpg-1040,paragraph,,,,WerkePolykarp von Smyrna (69-155)Epistula ad PhilippensesDer Brief des Polykarp von Smyrna an die Ge,"WerkePolykarp von Smyrna (69-155)Epistula ad PhilippensesDer Brief des Polykarp von Smyrna an die Gemeinde von Philippi (BKV)Polykarp von Smyrna 69-155Epistula ad PhilippensesDer Brief des Polykarp von Smyrna an die Gemeinde von Philippi (BKV)Bibliographische AngabeDer Brief des Polykarp von Smyrna an die Gemeinde von Philippi aus dem Griechischen übersetzt von Franz Zeller In: Die Apostolischen Väter (Bibliothek der Kirchenväter, 1. Reihe, Band 35) München 1918, 163–170. (Translation, Deutsch)SchlüsselCPG 1040Datum2. Jh.MitarbeiterJürgen Voos und Sr. Dr. M. Benedicta ArndtDownloadDOCX ( kB)EPUB ( kB)PDF ( kB)RTF ( kB)TextText anzeigenScans des TextesInhaltsangabe",[],87,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-1040/versions/der-brief-des-polykarp-von-smyrna-an-die-gemeinde-von-philippi-bkv/divisions,1
3,Polykarp von Smyrna 69-155,The Epistle of S. Polycarp to the Philippians (Loeb),cpg-1040,paragraph,,,,WerkePolykarp von Smyrna (69-155)Epistula ad PhilippensesDer Brief des Polykarp von Smyrna an die Ge,WerkePolykarp von Smyrna (69-155)Epistula ad PhilippensesDer Brief des Polykarp von Smyrna an die Gemeinde von Philippi (BKV),[],17,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-1040/versions/der-brief-des-polykarp-von-smyrna-an-die-gemeinde-von-philippi-bkv/divisions,1
4,Polykarp von Smyrna 69-155,The Epistle of S. Polycarp to the Philippians (Loeb),cpg-1040,paragraph,,,,Polykarp von Smyrna 69-155Epistula ad PhilippensesDer Brief des Polykarp von Smyrna an die Gemeinde ,Polykarp von Smyrna 69-155Epistula ad PhilippensesDer Brief des Polykarp von Smyrna an die Gemeinde von Philippi (BKV),[],17,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-1040/versions/der-brief-des-polykarp-von-smyrna-an-die-gemeinde-von-philippi-bkv/divisions,1
5,Polykarp von Smyrna 69-155,The Epistle of S. Polycarp to the Philippians (Loeb),cpg-1040,paragraph,,,,Polykarp von Smyrna 69-155,Polykarp von Smyrna 69-155,[],4,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-1040/versions/der-brief-des-polykarp-von-smyrna-an-die-gemeinde-von-philippi-bkv/divisions,1
6,Polykarp von Smyrna 69-155,The Epistle of S. Polycarp to the Philippians (Loeb),cpg-1040,paragraph,,,,Epistula ad Philippenses,Epistula ad Philippenses,[],3,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-1040/versions/der-brief-des-polykarp-von-smyrna-an-die-gemeinde-von-philippi-bkv/divisions,1
7,Polykarp von Smyrna 69-155,The Epistle of S. Polycarp to the Philippians (Loeb),cpg-1040,paragraph,,,,Der Brief des Polykarp von Smyrna an die Gemeinde von Philippi (BKV),Der Brief des Polykarp von Smyrna an die Gemeinde von Philippi (BKV),[],12,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-1040/versions/der-brief-des-polykarp-von-smyrna-an-die-gemeinde-von-philippi-bkv/divisions,1
8,Polykarp von Smyrna 69-155,The Epistle of S. Polycarp to the Philippians (Loeb),cpg-1040,heading,,,,Bibliographische Angabe,Bibliographische Angabe,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1040/versions/der-brief-des-polykarp-von-smyrna-an-die-gemeinde-von-philippi-bkv/divisions,1
9,Polykarp von Smyrna 69-155,The Epistle of S. Polycarp to the Philippians (Loeb),cpg-1040,paragraph,,,,Der Brief des Polykarp von Smyrna an die Gemeinde von Philippi aus dem Griechischen übersetzt von Fr,"Der Brief des Polykarp von Smyrna an die Gemeinde von Philippi aus dem Griechischen übersetzt von Franz Zeller In: Die Apostolischen Väter (Bibliothek der Kirchenväter, 1. Reihe, Band 35) München 1918, 163–170. (Translation, Deutsch)",[],34,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1040/versions/der-brief-des-polykarp-von-smyrna-an-die-gemeinde-von-philippi-bkv/divisions,1
10,Polykarp von Smyrna 69-155,The Epistle of S. Polycarp to the Philippians (Loeb),cpg-1040,heading,,,,Mitarbeiter,Mitarbeiter,[],1,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1040/versions/der-brief-des-polykarp-von-smyrna-an-die-gemeinde-von-philippi-bkv/divisions,1
11,Polykarp von Smyrna 69-155,The Epistle of S. Polycarp to the Philippians (Loeb),cpg-1040,paragraph,,,,Jürgen Voos und Sr. Dr. M. Benedicta Arndt,Jürgen Voos und Sr. Dr. M. Benedicta Arndt,[],8,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1040/versions/der-brief-des-polykarp-von-smyrna-an-die-gemeinde-von-philippi-bkv/divisions,1
12,Polykarp von Smyrna 69-155,The Epistle of S. Polycarp to the Philippians (Loeb),cpg-1040,paragraph,,,,DOCX ( kB),DOCX ( kB),[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1040/versions/der-brief-des-polykarp-von-smyrna-an-die-gemeinde-von-philippi-bkv/divisions,1
13,Polykarp von Smyrna 69-155,The Epistle of S. Polycarp to the Philippians (Loeb),cpg-1040,paragraph,,,,EPUB ( kB),EPUB ( kB),[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1040/versions/der-brief-des-polykarp-von-smyrna-an-die-gemeinde-von-philippi-bkv/divisions,1
14,Polykarp von Smyrna 69-155,The Epistle of S. Polycarp to the Philippians (Loeb),cpg-1040,paragraph,,,,PDF ( kB),PDF ( kB),[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1040/versions/der-brief-des-polykarp-von-smyrna-an-die-gemeinde-von-philippi-bkv/divisions,1
15,Polykarp von Smyrna 69-155,The Epistle of S. Polycarp to the Philippians (Loeb),cpg-1040,paragraph,,,,RTF ( kB),RTF ( kB),[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1040/versions/der-brief-des-polykarp-von-smyrna-an-die-gemeinde-von-philippi-bkv/divisions,1
16,Polykarp von Smyrna 69-155,The Epistle of S. Polycarp to the Philippians (Loeb),cpg-1040,paragraph,,,,Text anzeigen,Text anzeigen,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1040/versions/der-brief-des-polykarp-von-smyrna-an-die-gemeinde-von-philippi-bkv/divisions,1
17,Polykarp von Smyrna 69-155,The Epistle of S. Polycarp to the Philippians (Loeb),cpg-1040,paragraph,,,,Scans des Textes,Scans des Textes,[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1040/versions/der-brief-des-polykarp-von-smyrna-an-die-gemeinde-von-philippi-bkv/divisions,1
18,Polykarp von Smyrna 69-155,The Epistle of S. Polycarp to the Philippians (Loeb),cpg-1040,heading,,,,Inhaltsangabe,Inhaltsangabe,[],1,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1040/versions/der-brief-des-polykarp-von-smyrna-an-die-gemeinde-von-philippi-bkv/divisions,1
