id,author,work_title,work_id,section_type,section_number,subsection_number,verse_number,title,text,footnotes,word_count,language,parent_section,hierarchy_level,is_introduction,is_footnote,original_url,page_number
1,Theodotus,Excerpts of Theodotus,cpg-1139,introduction,,,,WerkeTheodotusExcerpta e TheodotoIntroductory Notice to Excerpts of TheodotusTheodotusExcerpta e The,"WerkeTheodotusExcerpta e TheodotoIntroductory Notice to Excerpts of TheodotusTheodotusExcerpta e TheodotoIntroductory Notice to Excerpts of TheodotusBibliographische AngabeThe Writings of the Fathers Down to A.D. 325 ANTE-NICENE FATHERS VOLUME 8. The Twelve Patriarchs, Excerpts and Epistles, The Clementina, Apocrypha, Decretals, Memoirs of Edessa and Syriac Documents, Remains of the First Ages Edited by ALEXANDER ROBERTS, D.D., and JAMES DONALDSON, LL.D. Revised and Chronologically Arranged, with Brief Prefaces and Occasional Notes by A. CLEVELAND COXE, D.D. T T CLARK EDINBURGH WM. B. EERDMANS PUBLISHING COMPANY GRAND RAPIDS, MICHIGAN Fathers of the Third and Fourth Centuries: The Twelve Patriarchs, Excerpts and Epistles, The Clementina, Apocrypha, Decretals, Memoirs of Edessa and Syriac Documents, Remains of the First Ages. American Edition. Chronologically Arranged, with Notes, Prefaces, and Elucidations, by A. Cleveland Coxe, D.D. (Commentary, Englisch)SchlüsselCPG 1139Datum3. Jh.TextText anzeigenScans des TextesInhaltsangabe",[],134,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1139/versions/introductory-notice-to-excerpts-of-theodotus/divisions,1
2,Theodotus,Excerpts of Theodotus,cpg-1139,introduction,,,,WerkeTheodotusExcerpta e TheodotoIntroductory Notice to Excerpts of TheodotusTheodotusExcerpta e The,"WerkeTheodotusExcerpta e TheodotoIntroductory Notice to Excerpts of TheodotusTheodotusExcerpta e TheodotoIntroductory Notice to Excerpts of TheodotusBibliographische AngabeThe Writings of the Fathers Down to A.D. 325 ANTE-NICENE FATHERS VOLUME 8. The Twelve Patriarchs, Excerpts and Epistles, The Clementina, Apocrypha, Decretals, Memoirs of Edessa and Syriac Documents, Remains of the First Ages Edited by ALEXANDER ROBERTS, D.D., and JAMES DONALDSON, LL.D. Revised and Chronologically Arranged, with Brief Prefaces and Occasional Notes by A. CLEVELAND COXE, D.D. T T CLARK EDINBURGH WM. B. EERDMANS PUBLISHING COMPANY GRAND RAPIDS, MICHIGAN Fathers of the Third and Fourth Centuries: The Twelve Patriarchs, Excerpts and Epistles, The Clementina, Apocrypha, Decretals, Memoirs of Edessa and Syriac Documents, Remains of the First Ages. American Edition. Chronologically Arranged, with Notes, Prefaces, and Elucidations, by A. Cleveland Coxe, D.D. (Commentary, Englisch)SchlüsselCPG 1139Datum3. Jh.TextText anzeigenScans des TextesInhaltsangabe",[],134,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1139/versions/introductory-notice-to-excerpts-of-theodotus/divisions,1
3,Theodotus,Excerpts of Theodotus,cpg-1139,paragraph,,,,WerkeTheodotusExcerpta e TheodotoIntroductory Notice to Excerpts of Theodotus,WerkeTheodotusExcerpta e TheodotoIntroductory Notice to Excerpts of Theodotus,[],8,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1139/versions/introductory-notice-to-excerpts-of-theodotus/divisions,1
4,Theodotus,Excerpts of Theodotus,cpg-1139,paragraph,,,,TheodotusExcerpta e TheodotoIntroductory Notice to Excerpts of Theodotus,TheodotusExcerpta e TheodotoIntroductory Notice to Excerpts of Theodotus,[],8,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1139/versions/introductory-notice-to-excerpts-of-theodotus/divisions,1
5,Theodotus,Excerpts of Theodotus,cpg-1139,paragraph,,,,Excerpta e Theodoto,Excerpta e Theodoto,[],3,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1139/versions/introductory-notice-to-excerpts-of-theodotus/divisions,1
6,Theodotus,Excerpts of Theodotus,cpg-1139,paragraph,,,,Introductory Notice to Excerpts of Theodotus,Introductory Notice to Excerpts of Theodotus,[],6,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1139/versions/introductory-notice-to-excerpts-of-theodotus/divisions,1
7,Theodotus,Excerpts of Theodotus,cpg-1139,heading,,,,Bibliographische Angabe,Bibliographische Angabe,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1139/versions/introductory-notice-to-excerpts-of-theodotus/divisions,1
8,Theodotus,Excerpts of Theodotus,cpg-1139,introduction,,,,"The Writings of the Fathers Down to A.D. 325 ANTE-NICENE FATHERS VOLUME 8. The Twelve Patriarchs, Ex","The Writings of the Fathers Down to A.D. 325 ANTE-NICENE FATHERS VOLUME 8. The Twelve Patriarchs, Excerpts and Epistles, The Clementina, Apocrypha, Decretals, Memoirs of Edessa and Syriac Documents, Remains of the First Ages Edited by ALEXANDER ROBERTS, D.D., and JAMES DONALDSON, LL.D. Revised and Chronologically Arranged, with Brief Prefaces and Occasional Notes by A. CLEVELAND COXE, D.D. T T CLARK EDINBURGH WM. B. EERDMANS PUBLISHING COMPANY GRAND RAPIDS, MICHIGAN Fathers of the Third and Fourth Centuries: The Twelve Patriarchs, Excerpts and Epistles, The Clementina, Apocrypha, Decretals, Memoirs of Edessa and Syriac Documents, Remains of the First Ages. American Edition. Chronologically Arranged, with Notes, Prefaces, and Elucidations, by A. Cleveland Coxe, D.D. (Commentary, Englisch)",[],114,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1139/versions/introductory-notice-to-excerpts-of-theodotus/divisions,1
9,Theodotus,Excerpts of Theodotus,cpg-1139,paragraph,,,,Text anzeigen,Text anzeigen,[],2,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1139/versions/introductory-notice-to-excerpts-of-theodotus/divisions,1
10,Theodotus,Excerpts of Theodotus,cpg-1139,paragraph,,,,Scans des Textes,Scans des Textes,[],3,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1139/versions/introductory-notice-to-excerpts-of-theodotus/divisions,1
11,Theodotus,Excerpts of Theodotus,cpg-1139,heading,,,,Inhaltsangabe,Inhaltsangabe,[],1,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1139/versions/introductory-notice-to-excerpts-of-theodotus/divisions,1
