id,author,work_title,work_id,section_type,section_number,subsection_number,verse_number,title,text,footnotes,word_count,language,parent_section,hierarchy_level,is_introduction,is_footnote,original_url,page_number
1,Theophilus von Antiochien 183,Ad Autolycum,cpg-1107,paragraph,,,,WerkeTheophilus von Antiochien (183)Ad AutolycumÀ AutolyqueTheophilus von Antiochien 183Ad Autolycum,"WerkeTheophilus von Antiochien (183)Ad AutolycumÀ AutolyqueTheophilus von Antiochien 183Ad AutolycumÀ AutolyqueBibliographische AngabeSAINT THÉOPHILE D'ANTIOCHE À AUTOLYQUE. Numérisé par Albocicade Traduction de l'abbé M. de Genoude, 1838 (Translation, Französisch)SchlüsselCPG 1107Datum2. Jh.TextText anzeigenScans des TextesInhaltsangabe",[],33,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-1107/versions/a-autolyque/divisions,1
2,Theophilus von Antiochien 183,Ad Autolycum,cpg-1107,paragraph,,,,WerkeTheophilus von Antiochien (183)Ad AutolycumÀ AutolyqueTheophilus von Antiochien 183Ad Autolycum,"WerkeTheophilus von Antiochien (183)Ad AutolycumÀ AutolyqueTheophilus von Antiochien 183Ad AutolycumÀ AutolyqueBibliographische AngabeSAINT THÉOPHILE D'ANTIOCHE À AUTOLYQUE. Numérisé par Albocicade Traduction de l'abbé M. de Genoude, 1838 (Translation, Französisch)SchlüsselCPG 1107Datum2. Jh.TextText anzeigenScans des TextesInhaltsangabe",[],33,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-1107/versions/a-autolyque/divisions,1
3,Theophilus von Antiochien 183,Ad Autolycum,cpg-1107,paragraph,,,,WerkeTheophilus von Antiochien (183)Ad AutolycumÀ Autolyque,WerkeTheophilus von Antiochien (183)Ad AutolycumÀ Autolyque,[],6,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-1107/versions/a-autolyque/divisions,1
4,Theophilus von Antiochien 183,Ad Autolycum,cpg-1107,paragraph,,,,Theophilus von Antiochien 183Ad AutolycumÀ Autolyque,Theophilus von Antiochien 183Ad AutolycumÀ Autolyque,[],6,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-1107/versions/a-autolyque/divisions,1
5,Theophilus von Antiochien 183,Ad Autolycum,cpg-1107,paragraph,,,,Theophilus von Antiochien 183,Theophilus von Antiochien 183,[],4,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-1107/versions/a-autolyque/divisions,1
6,Theophilus von Antiochien 183,Ad Autolycum,cpg-1107,paragraph,,,,Ad Autolycum,Ad Autolycum,[],2,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-1107/versions/a-autolyque/divisions,1
7,Theophilus von Antiochien 183,Ad Autolycum,cpg-1107,paragraph,,,,À Autolyque,À Autolyque,[],2,deutsch,,0,False,False,https://bkv.unifr.ch/works/cpg-1107/versions/a-autolyque/divisions,1
8,Theophilus von Antiochien 183,Ad Autolycum,cpg-1107,heading,,,,Bibliographische Angabe,Bibliographische Angabe,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1107/versions/a-autolyque/divisions,1
9,Theophilus von Antiochien 183,Ad Autolycum,cpg-1107,paragraph,,,,"SAINT THÉOPHILE D'ANTIOCHE À AUTOLYQUE. Numérisé par Albocicade Traduction de l'abbé M. de Genoude, ","SAINT THÉOPHILE D'ANTIOCHE À AUTOLYQUE. Numérisé par Albocicade Traduction de l'abbé M. de Genoude, 1838 (Translation, Französisch)",[],17,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1107/versions/a-autolyque/divisions,1
10,Theophilus von Antiochien 183,Ad Autolycum,cpg-1107,paragraph,,,,Text anzeigen,Text anzeigen,[],2,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1107/versions/a-autolyque/divisions,1
11,Theophilus von Antiochien 183,Ad Autolycum,cpg-1107,paragraph,,,,Scans des Textes,Scans des Textes,[],3,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1107/versions/a-autolyque/divisions,1
12,Theophilus von Antiochien 183,Ad Autolycum,cpg-1107,heading,,,,Inhaltsangabe,Inhaltsangabe,[],1,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1107/versions/a-autolyque/divisions,1
13,Theophilus von Antiochien 183,Ad Autolycum,cpg-1107,paragraph,,,,Text anzeigenBibliographische AngabeScans dieser VersionEditionen dieses WerksAd Autolycumvergleiche,Text anzeigenBibliographische AngabeScans dieser VersionEditionen dieses WerksAd AutolycumvergleichenÜbersetzungen dieses WerksÀ AutolyqueAn Autolykus (BKV)vergleichenTheophilus to AutolycusvergleichenKommentare zu diesem WerkAnhang. Chronologie des hl. TheophilusIntroductory Note to Theophilus of AntiochInhaltsangabe,[],27,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1107/versions/a-autolyque/divisions,1
14,Theophilus von Antiochien 183,Ad Autolycum,cpg-1107,paragraph,,,,Text anzeigenBibliographische AngabeScans dieser VersionEditionen dieses WerksAd Autolycumvergleiche,Text anzeigenBibliographische AngabeScans dieser VersionEditionen dieses WerksAd AutolycumvergleichenÜbersetzungen dieses WerksÀ AutolyqueAn Autolykus (BKV)vergleichenTheophilus to AutolycusvergleichenKommentare zu diesem WerkAnhang. Chronologie des hl. TheophilusIntroductory Note to Theophilus of AntiochInhaltsangabe,[],27,deutsch,,3,False,False,https://bkv.unifr.ch/works/cpg-1107/versions/a-autolyque/divisions,1
