id,author,work_title,work_id,section_type,section_number,subsection_number,verse_number,title,text,footnotes,word_count,language,parent_section,hierarchy_level,is_introduction,is_footnote,original_url,page_number
1,Unbekannter Autor,Ephräm der Syrer (306-373),cpg-3961,introduction,,,,WerkeEphräm der Syrer (306-373)Ephräm der Syrer (306-373)Schlüssel??? CPG 3961TexteÜbersetzungen die,"WerkeEphräm der Syrer (306-373)Ephräm der Syrer (306-373)Schlüssel??? CPG 3961TexteÜbersetzungen dieses WerksDrei Reden über den Glauben (BKV) Drei Reden über den Glauben In: Des heiligen Ephräm des Syrers ausgewählte Schriften aus dem Syrischen und Griechischen übers. (Des heiligen Ephräm des Syrers ausgewählte Schriften Bd. 1; Bibliothek der Kirchenväter, 1. Reihe, Band 37) Kempten; München : J. Kösel : F. Pustet, 1919 1919Text anzeigenKommentare zu diesem WerkVorbemerkung: Drei Reden über den Glauben Vorbemerkung: Drei Reden über den Glauben In: Des heiligen Ephräm des Syrers ausgewählte Schriften aus dem Syrischen und Griechischen übers. (Des heiligen Ephräm des Syrers ausgewählte Schriften Bd. 1; Bibliothek der Kirchenväter, 1. Reihe, Band 37) Kempten; München : J. Kösel : F. Pustet, 1919 1919Text anzeigen",[],117,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-3961,1
2,Unbekannter Autor,Ephräm der Syrer (306-373),cpg-3961,paragraph,,,,WerkeEphräm der Syrer (306-373),WerkeEphräm der Syrer (306-373),[],4,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-3961,1
3,Unbekannter Autor,Ephräm der Syrer (306-373),cpg-3961,heading,,,,Ephräm der Syrer (306-373),Ephräm der Syrer (306-373),[],4,deutsch,,2,False,False,https://bkv.unifr.ch/works/cpg-3961,1
4,Unbekannter Autor,Ephräm der Syrer (306-373),cpg-3961,paragraph,,,,??? CPG 3961,??? CPG 3961,[],3,deutsch,,2,False,False,https://bkv.unifr.ch/works/cpg-3961,1
5,Unbekannter Autor,Ephräm der Syrer (306-373),cpg-3961,paragraph,,,,Übersetzungen dieses WerksDrei Reden über den Glauben (BKV) Drei Reden über den Glauben In: Des heil,"Übersetzungen dieses WerksDrei Reden über den Glauben (BKV) Drei Reden über den Glauben In: Des heiligen Ephräm des Syrers ausgewählte Schriften aus dem Syrischen und Griechischen übers. (Des heiligen Ephräm des Syrers ausgewählte Schriften Bd. 1; Bibliothek der Kirchenväter, 1. Reihe, Band 37) Kempten; München : J. Kösel : F. Pustet, 1919 1919Text anzeigen",[],54,deutsch,,2,False,False,https://bkv.unifr.ch/works/cpg-3961,1
6,Unbekannter Autor,Ephräm der Syrer (306-373),cpg-3961,paragraph,,,,Übersetzungen dieses WerksDrei Reden über den Glauben (BKV) Drei Reden über den Glauben In: Des heil,"Übersetzungen dieses WerksDrei Reden über den Glauben (BKV) Drei Reden über den Glauben In: Des heiligen Ephräm des Syrers ausgewählte Schriften aus dem Syrischen und Griechischen übers. (Des heiligen Ephräm des Syrers ausgewählte Schriften Bd. 1; Bibliothek der Kirchenväter, 1. Reihe, Band 37) Kempten; München : J. Kösel : F. Pustet, 1919 1919Text anzeigen",[],54,deutsch,,2,False,False,https://bkv.unifr.ch/works/cpg-3961,1
7,Unbekannter Autor,Ephräm der Syrer (306-373),cpg-3961,heading,,,,Übersetzungen dieses Werks,Übersetzungen dieses Werks,[],3,deutsch,,4,False,False,https://bkv.unifr.ch/works/cpg-3961,1
8,Unbekannter Autor,Ephräm der Syrer (306-373),cpg-3961,paragraph,,,,Drei Reden über den Glauben (BKV) Drei Reden über den Glauben In: Des heiligen Ephräm des Syrers aus,"Drei Reden über den Glauben (BKV) Drei Reden über den Glauben In: Des heiligen Ephräm des Syrers ausgewählte Schriften aus dem Syrischen und Griechischen übers. (Des heiligen Ephräm des Syrers ausgewählte Schriften Bd. 1; Bibliothek der Kirchenväter, 1. Reihe, Band 37) Kempten; München : J. Kösel : F. Pustet, 1919 1919Text anzeigen",[],52,deutsch,,4,False,False,https://bkv.unifr.ch/works/cpg-3961,1
9,Unbekannter Autor,Ephräm der Syrer (306-373),cpg-3961,introduction,,,,Kommentare zu diesem WerkVorbemerkung: Drei Reden über den Glauben Vorbemerkung: Drei Reden über den,"Kommentare zu diesem WerkVorbemerkung: Drei Reden über den Glauben Vorbemerkung: Drei Reden über den Glauben In: Des heiligen Ephräm des Syrers ausgewählte Schriften aus dem Syrischen und Griechischen übers. (Des heiligen Ephräm des Syrers ausgewählte Schriften Bd. 1; Bibliothek der Kirchenväter, 1. Reihe, Band 37) Kempten; München : J. Kösel : F. Pustet, 1919 1919Text anzeigen",[],56,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-3961,1
10,Unbekannter Autor,Ephräm der Syrer (306-373),cpg-3961,introduction,,,,Kommentare zu diesem WerkVorbemerkung: Drei Reden über den Glauben Vorbemerkung: Drei Reden über den,"Kommentare zu diesem WerkVorbemerkung: Drei Reden über den Glauben Vorbemerkung: Drei Reden über den Glauben In: Des heiligen Ephräm des Syrers ausgewählte Schriften aus dem Syrischen und Griechischen übers. (Des heiligen Ephräm des Syrers ausgewählte Schriften Bd. 1; Bibliothek der Kirchenväter, 1. Reihe, Band 37) Kempten; München : J. Kösel : F. Pustet, 1919 1919Text anzeigen",[],56,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-3961,1
11,Unbekannter Autor,Ephräm der Syrer (306-373),cpg-3961,heading,,,,Kommentare zu diesem Werk,Kommentare zu diesem Werk,[],4,deutsch,,4,False,False,https://bkv.unifr.ch/works/cpg-3961,1
12,Unbekannter Autor,Ephräm der Syrer (306-373),cpg-3961,introduction,,,,Vorbemerkung: Drei Reden über den Glauben Vorbemerkung: Drei Reden über den Glauben In: Des heiligen,"Vorbemerkung: Drei Reden über den Glauben Vorbemerkung: Drei Reden über den Glauben In: Des heiligen Ephräm des Syrers ausgewählte Schriften aus dem Syrischen und Griechischen übers. (Des heiligen Ephräm des Syrers ausgewählte Schriften Bd. 1; Bibliothek der Kirchenväter, 1. Reihe, Band 37) Kempten; München : J. Kösel : F. Pustet, 1919 1919Text anzeigen",[],53,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-3961,1
