id,author,work_title,work_id,section_type,section_number,subsection_number,verse_number,title,text,footnotes,word_count,language,parent_section,hierarchy_level,is_introduction,is_footnote,original_url,page_number
1,Unbekannter Autor,Eusebius von Caesarea (260-339),cpg-3495,introduction,,,,WerkeEusebius von Caesarea (260-339)Eusebius von Caesarea (260-339)SchlüsselCPG 3495TexteEditionen d,"WerkeEusebius von Caesarea (260-339)Eusebius von Caesarea (260-339)SchlüsselCPG 3495TexteEditionen dieses WerksἘκκλησιαστικὴ ἱστορία Eusebii opera in: Patrologia Graeca 19 - 24 ed. J. P. Migne 1857Text anzeigenÜbersetzungen dieses WerksKirchengeschichte (BKV) Eusebius, Ausgewählte Schriften Band II: Kirchengeschichte. Aus dem Griechischen übersetzt von Phil. Häuser. (Bibliothek der Kirchenväter, 2. Reihe, Band 1) München 1932. 1932Text anzeigenHistoire ecclésiastique TEXTES ET DOCUMENTS POUR L'ÉTUDE HISTORIQUE DU CHRISTIANISME PUBLIÉS SOUS LA DIRECTION DE HIPPOLYTE HEMMER ET PAUL LEJAY - EUSÈBE, HISTOIRE ECCLÉSIASTIQUE, LIVRES I-IV - TEXTE GREC ET TRADUCTION FRANÇAISE, PAR ÉMILE GRAPIN, CURÉ DOYEN DE NUITS (CÔTE-D'OR), PARIS, LIBRAIRIE ALPHONSE PICARD ET FILS, 82, RUE BONAPARTE, 82, 1911 TEXTES ET DOCUMENTS POUR L'ÉTUDE HISTORIQUE DU CHRISTIANISME PUBLIÉS SOUS LA DIRECTION DE HIPPOLYTE HEMMER ET PAUL LEJAY - EUSÈBE, HISTOIRE ECCLÉSIASTIQUE, LIVRES V-VIII - TEXTE GREC ET TRADUCTION FRANÇAISE, PAR ÉMILE GRAPIN, CURÉ DOYEN DE NUITS (CÔTE-D'OR), PARIS, LIBRAIRIE ALPHONSE PICARD ET FILS, 82, RUE BONAPARTE, 82, 1911 TEXTES ET DOCUMENTS POUR L'ÉTUDE HISTORIQUE DU CHRISTIANISME PUBLIÉS SOUS LA DIRECTION DE HIPPOLYTE HEMMER ET PAUL LEJAY - EUSÈBE, HISTOIRE ECCLÉSIASTIQUE, LIVRES IX-X, SUR LES MARTYRS DE PALESTINE - TEXTE GREC ET TRADUCTION FRANÇAISE AVEC UN INDEX GÉNÉRAL DES DEUX OUVRAGES, PAR ÉMILE GRAPIN, CURÉ DOYEN DE NUITS (CÔTE-D'OR), PARIS, AUGUSTE PICARD, ÉDITEUR, 82, RUE BONAPARTE, 82, 1913 1911-1913Text anzeigenThe Church History of Eusebius A select library of the Nicene and Post-Nicene Fathers of the Christian Church. Second Series. Translated into English with prolegomena and explanatory notes. Volumes I-VII. Under the editorial supervision of Philip Schaff, D.D., LL.D., Professor of Church History in the Union Theological Seminary, New York and Henry Wace, D.D., Principal of King's College, London. Volume I: Eusebius Pamphilus: Church History, Life of Constantine, Oration in Praise of Constantine T T Clark, Edinburgh, 1890. 1890Text anzeigenKommentare zu diesem WerkEinleitung: Kirchengeschichte des Eusebius Einleitung: Kirchengeschichte des Eusebius In: Eusebius, Ausgewählte Schriften Band II: Kirchengeschichte. Aus dem Griechischen übersetzt von Phil. Häuser. (Bibliothek der Kirchenväter, 2. Reihe, Band 1) München 1932. 1932Text anzeigenIntroduction to Eusebius' Church History A select library of the Nicene and Post-Nicene Fathers of the Christian Church. Second Series. Translated into English with prolegomena and explanatory notes. Volumes I-VII. Under the editorial supervision of Philip Schaff, D.D., LL.D., Professor of Church History in the Union Theological Seminary, New York and Henry Wace, D.D., Principal of King's College, London. Volume I: Eusebius Pamphilus: Church History, Life of Constantine, Oration in Praise of Constantine T T Clark, Edinburgh, 1890. 1890Text anzeigenSupplementary Notes and Tables A select library of the Nicene and Post-Nicene Fathers of the Christian Church. Second Series. Translated into English with prolegomena and explanatory notes. Volumes I-VII. Under the editorial supervision of Philip Schaff, D.D., LL.D., Professor of Church History in the Union Theological Seminary, New York and Henry Wace, D.D., Principal of King's College, London. Volume I: Eusebius Pamphilus: Church History, Life of Constantine, Oration in Praise of Constantine T T Clark, Edinburgh, 1890. 1890Text anzeigen",[],483,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-3495,1
2,Unbekannter Autor,Eusebius von Caesarea (260-339),cpg-3495,paragraph,,,,WerkeEusebius von Caesarea (260-339),WerkeEusebius von Caesarea (260-339),[],4,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-3495,1
3,Unbekannter Autor,Eusebius von Caesarea (260-339),cpg-3495,heading,,,,Eusebius von Caesarea (260-339),Eusebius von Caesarea (260-339),[],4,deutsch,,2,False,False,https://bkv.unifr.ch/works/cpg-3495,1
4,Unbekannter Autor,Eusebius von Caesarea (260-339),cpg-3495,paragraph,,,,Editionen dieses WerksἘκκλησιαστικὴ ἱστορία Eusebii opera in: Patrologia Graeca 19 - 24 ed. J. P. Mi,Editionen dieses WerksἘκκλησιαστικὴ ἱστορία Eusebii opera in: Patrologia Graeca 19 - 24 ed. J. P. Migne 1857Text anzeigen,[],18,deutsch,,2,False,False,https://bkv.unifr.ch/works/cpg-3495,1
5,Unbekannter Autor,Eusebius von Caesarea (260-339),cpg-3495,paragraph,,,,Editionen dieses WerksἘκκλησιαστικὴ ἱστορία Eusebii opera in: Patrologia Graeca 19 - 24 ed. J. P. Mi,Editionen dieses WerksἘκκλησιαστικὴ ἱστορία Eusebii opera in: Patrologia Graeca 19 - 24 ed. J. P. Migne 1857Text anzeigen,[],18,deutsch,,2,False,False,https://bkv.unifr.ch/works/cpg-3495,1
6,Unbekannter Autor,Eusebius von Caesarea (260-339),cpg-3495,heading,,,,Editionen dieses Werks,Editionen dieses Werks,[],3,deutsch,,4,False,False,https://bkv.unifr.ch/works/cpg-3495,1
7,Unbekannter Autor,Eusebius von Caesarea (260-339),cpg-3495,paragraph,,,,Ἐκκλησιαστικὴ ἱστορία Eusebii opera in: Patrologia Graeca 19 - 24 ed. J. P. Migne 1857Text anzeigen,Ἐκκλησιαστικὴ ἱστορία Eusebii opera in: Patrologia Graeca 19 - 24 ed. J. P. Migne 1857Text anzeigen,[],16,deutsch,,4,False,False,https://bkv.unifr.ch/works/cpg-3495,1
8,Unbekannter Autor,Eusebius von Caesarea (260-339),cpg-3495,paragraph,,,,"Übersetzungen dieses WerksKirchengeschichte (BKV) Eusebius, Ausgewählte Schriften Band II: Kirchenge","Übersetzungen dieses WerksKirchengeschichte (BKV) Eusebius, Ausgewählte Schriften Band II: Kirchengeschichte. Aus dem Griechischen übersetzt von Phil. Häuser. (Bibliothek der Kirchenväter, 2. Reihe, Band 1) München 1932. 1932Text anzeigenHistoire ecclésiastique TEXTES ET DOCUMENTS POUR L'ÉTUDE HISTORIQUE DU CHRISTIANISME PUBLIÉS SOUS LA DIRECTION DE HIPPOLYTE HEMMER ET PAUL LEJAY - EUSÈBE, HISTOIRE ECCLÉSIASTIQUE, LIVRES I-IV - TEXTE GREC ET TRADUCTION FRANÇAISE, PAR ÉMILE GRAPIN, CURÉ DOYEN DE NUITS (CÔTE-D'OR), PARIS, LIBRAIRIE ALPHONSE PICARD ET FILS, 82, RUE BONAPARTE, 82, 1911 TEXTES ET DOCUMENTS POUR L'ÉTUDE HISTORIQUE DU CHRISTIANISME PUBLIÉS SOUS LA DIRECTION DE HIPPOLYTE HEMMER ET PAUL LEJAY - EUSÈBE, HISTOIRE ECCLÉSIASTIQUE, LIVRES V-VIII - TEXTE GREC ET TRADUCTION FRANÇAISE, PAR ÉMILE GRAPIN, CURÉ DOYEN DE NUITS (CÔTE-D'OR), PARIS, LIBRAIRIE ALPHONSE PICARD ET FILS, 82, RUE BONAPARTE, 82, 1911 TEXTES ET DOCUMENTS POUR L'ÉTUDE HISTORIQUE DU CHRISTIANISME PUBLIÉS SOUS LA DIRECTION DE HIPPOLYTE HEMMER ET PAUL LEJAY - EUSÈBE, HISTOIRE ECCLÉSIASTIQUE, LIVRES IX-X, SUR LES MARTYRS DE PALESTINE - TEXTE GREC ET TRADUCTION FRANÇAISE AVEC UN INDEX GÉNÉRAL DES DEUX OUVRAGES, PAR ÉMILE GRAPIN, CURÉ DOYEN DE NUITS (CÔTE-D'OR), PARIS, AUGUSTE PICARD, ÉDITEUR, 82, RUE BONAPARTE, 82, 1913 1911-1913Text anzeigenThe Church History of Eusebius A select library of the Nicene and Post-Nicene Fathers of the Christian Church. Second Series. Translated into English with prolegomena and explanatory notes. Volumes I-VII. Under the editorial supervision of Philip Schaff, D.D., LL.D., Professor of Church History in the Union Theological Seminary, New York and Henry Wace, D.D., Principal of King's College, London. Volume I: Eusebius Pamphilus: Church History, Life of Constantine, Oration in Praise of Constantine T T Clark, Edinburgh, 1890. 1890Text anzeigen",[],267,deutsch,,4,False,False,https://bkv.unifr.ch/works/cpg-3495,1
9,Unbekannter Autor,Eusebius von Caesarea (260-339),cpg-3495,paragraph,,,,"Übersetzungen dieses WerksKirchengeschichte (BKV) Eusebius, Ausgewählte Schriften Band II: Kirchenge","Übersetzungen dieses WerksKirchengeschichte (BKV) Eusebius, Ausgewählte Schriften Band II: Kirchengeschichte. Aus dem Griechischen übersetzt von Phil. Häuser. (Bibliothek der Kirchenväter, 2. Reihe, Band 1) München 1932. 1932Text anzeigenHistoire ecclésiastique TEXTES ET DOCUMENTS POUR L'ÉTUDE HISTORIQUE DU CHRISTIANISME PUBLIÉS SOUS LA DIRECTION DE HIPPOLYTE HEMMER ET PAUL LEJAY - EUSÈBE, HISTOIRE ECCLÉSIASTIQUE, LIVRES I-IV - TEXTE GREC ET TRADUCTION FRANÇAISE, PAR ÉMILE GRAPIN, CURÉ DOYEN DE NUITS (CÔTE-D'OR), PARIS, LIBRAIRIE ALPHONSE PICARD ET FILS, 82, RUE BONAPARTE, 82, 1911 TEXTES ET DOCUMENTS POUR L'ÉTUDE HISTORIQUE DU CHRISTIANISME PUBLIÉS SOUS LA DIRECTION DE HIPPOLYTE HEMMER ET PAUL LEJAY - EUSÈBE, HISTOIRE ECCLÉSIASTIQUE, LIVRES V-VIII - TEXTE GREC ET TRADUCTION FRANÇAISE, PAR ÉMILE GRAPIN, CURÉ DOYEN DE NUITS (CÔTE-D'OR), PARIS, LIBRAIRIE ALPHONSE PICARD ET FILS, 82, RUE BONAPARTE, 82, 1911 TEXTES ET DOCUMENTS POUR L'ÉTUDE HISTORIQUE DU CHRISTIANISME PUBLIÉS SOUS LA DIRECTION DE HIPPOLYTE HEMMER ET PAUL LEJAY - EUSÈBE, HISTOIRE ECCLÉSIASTIQUE, LIVRES IX-X, SUR LES MARTYRS DE PALESTINE - TEXTE GREC ET TRADUCTION FRANÇAISE AVEC UN INDEX GÉNÉRAL DES DEUX OUVRAGES, PAR ÉMILE GRAPIN, CURÉ DOYEN DE NUITS (CÔTE-D'OR), PARIS, AUGUSTE PICARD, ÉDITEUR, 82, RUE BONAPARTE, 82, 1913 1911-1913Text anzeigenThe Church History of Eusebius A select library of the Nicene and Post-Nicene Fathers of the Christian Church. Second Series. Translated into English with prolegomena and explanatory notes. Volumes I-VII. Under the editorial supervision of Philip Schaff, D.D., LL.D., Professor of Church History in the Union Theological Seminary, New York and Henry Wace, D.D., Principal of King's College, London. Volume I: Eusebius Pamphilus: Church History, Life of Constantine, Oration in Praise of Constantine T T Clark, Edinburgh, 1890. 1890Text anzeigen",[],267,deutsch,,4,False,False,https://bkv.unifr.ch/works/cpg-3495,1
10,Unbekannter Autor,Eusebius von Caesarea (260-339),cpg-3495,heading,,,,Übersetzungen dieses Werks,Übersetzungen dieses Werks,[],3,deutsch,,4,False,False,https://bkv.unifr.ch/works/cpg-3495,1
11,Unbekannter Autor,Eusebius von Caesarea (260-339),cpg-3495,paragraph,,,,"Kirchengeschichte (BKV) Eusebius, Ausgewählte Schriften Band II: Kirchengeschichte. Aus dem Griechis","Kirchengeschichte (BKV) Eusebius, Ausgewählte Schriften Band II: Kirchengeschichte. Aus dem Griechischen übersetzt von Phil. Häuser. (Bibliothek der Kirchenväter, 2. Reihe, Band 1) München 1932. 1932Text anzeigen",[],26,deutsch,,4,False,False,https://bkv.unifr.ch/works/cpg-3495,1
12,Unbekannter Autor,Eusebius von Caesarea (260-339),cpg-3495,paragraph,,,,Histoire ecclésiastique TEXTES ET DOCUMENTS POUR L'ÉTUDE HISTORIQUE DU CHRISTIANISME PUBLIÉS SOUS LA,"Histoire ecclésiastique TEXTES ET DOCUMENTS POUR L'ÉTUDE HISTORIQUE DU CHRISTIANISME PUBLIÉS SOUS LA DIRECTION DE HIPPOLYTE HEMMER ET PAUL LEJAY - EUSÈBE, HISTOIRE ECCLÉSIASTIQUE, LIVRES I-IV - TEXTE GREC ET TRADUCTION FRANÇAISE, PAR ÉMILE GRAPIN, CURÉ DOYEN DE NUITS (CÔTE-D'OR), PARIS, LIBRAIRIE ALPHONSE PICARD ET FILS, 82, RUE BONAPARTE, 82, 1911 TEXTES ET DOCUMENTS POUR L'ÉTUDE HISTORIQUE DU CHRISTIANISME PUBLIÉS SOUS LA DIRECTION DE HIPPOLYTE HEMMER ET PAUL LEJAY - EUSÈBE, HISTOIRE ECCLÉSIASTIQUE, LIVRES V-VIII - TEXTE GREC ET TRADUCTION FRANÇAISE, PAR ÉMILE GRAPIN, CURÉ DOYEN DE NUITS (CÔTE-D'OR), PARIS, LIBRAIRIE ALPHONSE PICARD ET FILS, 82, RUE BONAPARTE, 82, 1911 TEXTES ET DOCUMENTS POUR L'ÉTUDE HISTORIQUE DU CHRISTIANISME PUBLIÉS SOUS LA DIRECTION DE HIPPOLYTE HEMMER ET PAUL LEJAY - EUSÈBE, HISTOIRE ECCLÉSIASTIQUE, LIVRES IX-X, SUR LES MARTYRS DE PALESTINE - TEXTE GREC ET TRADUCTION FRANÇAISE AVEC UN INDEX GÉNÉRAL DES DEUX OUVRAGES, PAR ÉMILE GRAPIN, CURÉ DOYEN DE NUITS (CÔTE-D'OR), PARIS, AUGUSTE PICARD, ÉDITEUR, 82, RUE BONAPARTE, 82, 1913 1911-1913Text anzeigen",[],161,deutsch,,4,False,False,https://bkv.unifr.ch/works/cpg-3495,1
13,Unbekannter Autor,Eusebius von Caesarea (260-339),cpg-3495,paragraph,,,,The Church History of Eusebius A select library of the Nicene and Post-Nicene Fathers of the Christi,"The Church History of Eusebius A select library of the Nicene and Post-Nicene Fathers of the Christian Church. Second Series. Translated into English with prolegomena and explanatory notes. Volumes I-VII. Under the editorial supervision of Philip Schaff, D.D., LL.D., Professor of Church History in the Union Theological Seminary, New York and Henry Wace, D.D., Principal of King's College, London. Volume I: Eusebius Pamphilus: Church History, Life of Constantine, Oration in Praise of Constantine T T Clark, Edinburgh, 1890. 1890Text anzeigen",[],80,deutsch,,4,False,False,https://bkv.unifr.ch/works/cpg-3495,1
14,Unbekannter Autor,Eusebius von Caesarea (260-339),cpg-3495,introduction,,,,Kommentare zu diesem WerkEinleitung: Kirchengeschichte des Eusebius Einleitung: Kirchengeschichte de,"Kommentare zu diesem WerkEinleitung: Kirchengeschichte des Eusebius Einleitung: Kirchengeschichte des Eusebius In: Eusebius, Ausgewählte Schriften Band II: Kirchengeschichte. Aus dem Griechischen übersetzt von Phil. Häuser. (Bibliothek der Kirchenväter, 2. Reihe, Band 1) München 1932. 1932Text anzeigenIntroduction to Eusebius' Church History A select library of the Nicene and Post-Nicene Fathers of the Christian Church. Second Series. Translated into English with prolegomena and explanatory notes. Volumes I-VII. Under the editorial supervision of Philip Schaff, D.D., LL.D., Professor of Church History in the Union Theological Seminary, New York and Henry Wace, D.D., Principal of King's College, London. Volume I: Eusebius Pamphilus: Church History, Life of Constantine, Oration in Praise of Constantine T T Clark, Edinburgh, 1890. 1890Text anzeigenSupplementary Notes and Tables A select library of the Nicene and Post-Nicene Fathers of the Christian Church. Second Series. Translated into English with prolegomena and explanatory notes. Volumes I-VII. Under the editorial supervision of Philip Schaff, D.D., LL.D., Professor of Church History in the Union Theological Seminary, New York and Henry Wace, D.D., Principal of King's College, London. Volume I: Eusebius Pamphilus: Church History, Life of Constantine, Oration in Praise of Constantine T T Clark, Edinburgh, 1890. 1890Text anzeigen",[],193,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-3495,1
15,Unbekannter Autor,Eusebius von Caesarea (260-339),cpg-3495,introduction,,,,Kommentare zu diesem WerkEinleitung: Kirchengeschichte des Eusebius Einleitung: Kirchengeschichte de,"Kommentare zu diesem WerkEinleitung: Kirchengeschichte des Eusebius Einleitung: Kirchengeschichte des Eusebius In: Eusebius, Ausgewählte Schriften Band II: Kirchengeschichte. Aus dem Griechischen übersetzt von Phil. Häuser. (Bibliothek der Kirchenväter, 2. Reihe, Band 1) München 1932. 1932Text anzeigenIntroduction to Eusebius' Church History A select library of the Nicene and Post-Nicene Fathers of the Christian Church. Second Series. Translated into English with prolegomena and explanatory notes. Volumes I-VII. Under the editorial supervision of Philip Schaff, D.D., LL.D., Professor of Church History in the Union Theological Seminary, New York and Henry Wace, D.D., Principal of King's College, London. Volume I: Eusebius Pamphilus: Church History, Life of Constantine, Oration in Praise of Constantine T T Clark, Edinburgh, 1890. 1890Text anzeigenSupplementary Notes and Tables A select library of the Nicene and Post-Nicene Fathers of the Christian Church. Second Series. Translated into English with prolegomena and explanatory notes. Volumes I-VII. Under the editorial supervision of Philip Schaff, D.D., LL.D., Professor of Church History in the Union Theological Seminary, New York and Henry Wace, D.D., Principal of King's College, London. Volume I: Eusebius Pamphilus: Church History, Life of Constantine, Oration in Praise of Constantine T T Clark, Edinburgh, 1890. 1890Text anzeigen",[],193,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-3495,1
16,Unbekannter Autor,Eusebius von Caesarea (260-339),cpg-3495,heading,,,,Kommentare zu diesem Werk,Kommentare zu diesem Werk,[],4,deutsch,,4,False,False,https://bkv.unifr.ch/works/cpg-3495,1
17,Unbekannter Autor,Eusebius von Caesarea (260-339),cpg-3495,introduction,,,,"Einleitung: Kirchengeschichte des Eusebius Einleitung: Kirchengeschichte des Eusebius In: Eusebius, ","Einleitung: Kirchengeschichte des Eusebius Einleitung: Kirchengeschichte des Eusebius In: Eusebius, Ausgewählte Schriften Band II: Kirchengeschichte. Aus dem Griechischen übersetzt von Phil. Häuser. (Bibliothek der Kirchenväter, 2. Reihe, Band 1) München 1932. 1932Text anzeigen",[],33,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-3495,1
