id,author,work_title,work_id,section_type,section_number,subsection_number,verse_number,title,text,footnotes,word_count,language,parent_section,hierarchy_level,is_introduction,is_footnote,original_url,page_number
1,Unbekannter Autor,Ignatius von Antiochien (35-110),cpg-1026,introduction,,,,WerkeIgnatius von Antiochien (35-110)Ignatius von Antiochien (35-110)SchlüsselCPG 1026TexteÜbersetzu,"WerkeIgnatius von Antiochien (35-110)Ignatius von Antiochien (35-110)SchlüsselCPG 1026TexteÜbersetzungen dieses WerksOther Epistles of Ignatius ANTE-NICENE FATHERS Volume 1 The Apostolic Fathers, Justin Martyr, Irenaeus Edited by Alexander Roberts, D.D. James Donaldson, LL.D. revised and chronologically arranged, with brief prefaces and occasional notes by A. Cleveland Coxe, D.D. Second printing- June 1995 This is a reprint edition of the American Bdition of the Ante-Nicene Fathers, Volume 1, The Apostolic Fathers, Justin Martyr, Irenaeus, originally published in the United States by the Christian Literature Publishing Company, 1885. 1885Text anzeigenKommentare zu diesem WerkIntroductory Note to the Spurious Epistles of Ignatius ANTE-NICENE FATHERS Volume 1 The Apostolic Fathers, Justin Martyr, Irenaeus Edited by Alexander Roberts, D.D. James Donaldson, LL.D. revised and chronologically arranged, with brief prefaces and occasional notes by A. Cleveland Coxe, D.D. Second printing- June 1995 This is a reprint edition of the American Bdition of the Ante-Nicene Fathers, Volume 1, The Apostolic Fathers, Justin Martyr, Irenaeus, originally published in the United States by the Christian Literature Publishing Company, 1885. 1885Text anzeigen",[],169,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1026,1
2,Unbekannter Autor,Ignatius von Antiochien (35-110),cpg-1026,paragraph,,,,WerkeIgnatius von Antiochien (35-110),WerkeIgnatius von Antiochien (35-110),[],4,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1026,1
3,Unbekannter Autor,Ignatius von Antiochien (35-110),cpg-1026,heading,,,,Ignatius von Antiochien (35-110),Ignatius von Antiochien (35-110),[],4,deutsch,,2,False,False,https://bkv.unifr.ch/works/cpg-1026,1
4,Unbekannter Autor,Ignatius von Antiochien (35-110),cpg-1026,introduction,,,,Übersetzungen dieses WerksOther Epistles of Ignatius ANTE-NICENE FATHERS Volume 1 The Apostolic Fath,"Übersetzungen dieses WerksOther Epistles of Ignatius ANTE-NICENE FATHERS Volume 1 The Apostolic Fathers, Justin Martyr, Irenaeus Edited by Alexander Roberts, D.D. James Donaldson, LL.D. revised and chronologically arranged, with brief prefaces and occasional notes by A. Cleveland Coxe, D.D. Second printing- June 1995 This is a reprint edition of the American Bdition of the Ante-Nicene Fathers, Volume 1, The Apostolic Fathers, Justin Martyr, Irenaeus, originally published in the United States by the Christian Literature Publishing Company, 1885. 1885Text anzeigen",[],79,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1026,1
5,Unbekannter Autor,Ignatius von Antiochien (35-110),cpg-1026,introduction,,,,Übersetzungen dieses WerksOther Epistles of Ignatius ANTE-NICENE FATHERS Volume 1 The Apostolic Fath,"Übersetzungen dieses WerksOther Epistles of Ignatius ANTE-NICENE FATHERS Volume 1 The Apostolic Fathers, Justin Martyr, Irenaeus Edited by Alexander Roberts, D.D. James Donaldson, LL.D. revised and chronologically arranged, with brief prefaces and occasional notes by A. Cleveland Coxe, D.D. Second printing- June 1995 This is a reprint edition of the American Bdition of the Ante-Nicene Fathers, Volume 1, The Apostolic Fathers, Justin Martyr, Irenaeus, originally published in the United States by the Christian Literature Publishing Company, 1885. 1885Text anzeigen",[],79,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1026,1
6,Unbekannter Autor,Ignatius von Antiochien (35-110),cpg-1026,heading,,,,Übersetzungen dieses Werks,Übersetzungen dieses Werks,[],3,deutsch,,4,False,False,https://bkv.unifr.ch/works/cpg-1026,1
7,Unbekannter Autor,Ignatius von Antiochien (35-110),cpg-1026,introduction,,,,"Other Epistles of Ignatius ANTE-NICENE FATHERS Volume 1 The Apostolic Fathers, Justin Martyr, Irenae","Other Epistles of Ignatius ANTE-NICENE FATHERS Volume 1 The Apostolic Fathers, Justin Martyr, Irenaeus Edited by Alexander Roberts, D.D. James Donaldson, LL.D. revised and chronologically arranged, with brief prefaces and occasional notes by A. Cleveland Coxe, D.D. Second printing- June 1995 This is a reprint edition of the American Bdition of the Ante-Nicene Fathers, Volume 1, The Apostolic Fathers, Justin Martyr, Irenaeus, originally published in the United States by the Christian Literature Publishing Company, 1885. 1885Text anzeigen",[],77,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1026,1
8,Unbekannter Autor,Ignatius von Antiochien (35-110),cpg-1026,introduction,,,,Kommentare zu diesem WerkIntroductory Note to the Spurious Epistles of Ignatius ANTE-NICENE FATHERS ,"Kommentare zu diesem WerkIntroductory Note to the Spurious Epistles of Ignatius ANTE-NICENE FATHERS Volume 1 The Apostolic Fathers, Justin Martyr, Irenaeus Edited by Alexander Roberts, D.D. James Donaldson, LL.D. revised and chronologically arranged, with brief prefaces and occasional notes by A. Cleveland Coxe, D.D. Second printing- June 1995 This is a reprint edition of the American Bdition of the Ante-Nicene Fathers, Volume 1, The Apostolic Fathers, Justin Martyr, Irenaeus, originally published in the United States by the Christian Literature Publishing Company, 1885. 1885Text anzeigen",[],84,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1026,1
9,Unbekannter Autor,Ignatius von Antiochien (35-110),cpg-1026,introduction,,,,Kommentare zu diesem WerkIntroductory Note to the Spurious Epistles of Ignatius ANTE-NICENE FATHERS ,"Kommentare zu diesem WerkIntroductory Note to the Spurious Epistles of Ignatius ANTE-NICENE FATHERS Volume 1 The Apostolic Fathers, Justin Martyr, Irenaeus Edited by Alexander Roberts, D.D. James Donaldson, LL.D. revised and chronologically arranged, with brief prefaces and occasional notes by A. Cleveland Coxe, D.D. Second printing- June 1995 This is a reprint edition of the American Bdition of the Ante-Nicene Fathers, Volume 1, The Apostolic Fathers, Justin Martyr, Irenaeus, originally published in the United States by the Christian Literature Publishing Company, 1885. 1885Text anzeigen",[],84,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1026,1
10,Unbekannter Autor,Ignatius von Antiochien (35-110),cpg-1026,heading,,,,Kommentare zu diesem Werk,Kommentare zu diesem Werk,[],4,deutsch,,4,False,False,https://bkv.unifr.ch/works/cpg-1026,1
