id,author,work_title,work_id,section_type,section_number,subsection_number,verse_number,title,text,footnotes,word_count,language,parent_section,hierarchy_level,is_introduction,is_footnote,original_url,page_number
1,Unbekannter Autor,Johannes Chrysostomus (344-407),cpg-4330,introduction,,,,WerkeJohannes Chrysostomus (344-407)Johannes Chrysostomus (344-407)SchlüsselCPG 4330TexteÜbersetzung,"WerkeJohannes Chrysostomus (344-407)Johannes Chrysostomus (344-407)SchlüsselCPG 4330TexteÜbersetzungen dieses WerksHomilien über die Bildsäulen (BKV) Homilien über die Bildsäulen (Ad populum Antiochenum homiliae I-XXI [De statuis]) In: Des heiligen Kirchenlehrers Johannes Chrysostomus Einundzwanzig Homilien über die Bildsäulen. Aus dem Urtexte übers. von Joh. Chrysostomus Mitterrutzner (Bibliothek der Kirchenväter, 1 Serie, Band 22), Kempten, 1874. 1874Text anzeigenHomilies of St. John Chrysostom Early Christian Literature. Fathers of the Church, etc. A select Library of the Nicene and Post-Nicene Fathers of the Christian Church. Edited by Philip Schaff, D.D., LL.D., Professor of Church History in the Union Theological Seminary, New York. In Connection with a number of patristic scholars of Europe and America. Volume IX: Saint Chrysostom: On the Priesthood; Ascetic Treatises; Select Homilies and Letters; Homilies on the Statues. T T Clarc, Edinburgh, 1989. 1989Text anzeigenKommentare zu diesem WerkEinleitung in die Säulenhomilien Einleitung in die Säulenhomilien In: Des heiligen Kirchenlehrers Johannes Chrysostomus Einundzwanzig Homilien über die Bildsäulen. Aus dem Urtexte übers. von Joh. Chrysostomus Mitterrutzner (Bibliothek der Kirchenväter, 1 Serie, Band 22), Kempten, 1874. 1874Text anzeigenPreface to the Benedictine Edition of the Homilies on the Statues Early Christian Literature. Fathers of the Church, etc. A select Library of the Nicene and Post-Nicene Fathers of the Christian Church. Edited by Philip Schaff, D.D., LL.D., Professor of Church History in the Union Theological Seminary, New York. In Connection with a number of patristic scholars of Europe and America. Volume IX: Saint Chrysostom: On the Priesthood; Ascetic Treatises; Select Homilies and Letters; Homilies on the Statues. T T Clarc, Edinburgh, 1989. 1989Text anzeigen",[],255,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-4330,1
2,Unbekannter Autor,Johannes Chrysostomus (344-407),cpg-4330,paragraph,,,,WerkeJohannes Chrysostomus (344-407),WerkeJohannes Chrysostomus (344-407),[],3,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-4330,1
3,Unbekannter Autor,Johannes Chrysostomus (344-407),cpg-4330,heading,,,,Johannes Chrysostomus (344-407),Johannes Chrysostomus (344-407),[],3,deutsch,,2,False,False,https://bkv.unifr.ch/works/cpg-4330,1
4,Unbekannter Autor,Johannes Chrysostomus (344-407),cpg-4330,paragraph,,,,Übersetzungen dieses WerksHomilien über die Bildsäulen (BKV) Homilien über die Bildsäulen (Ad populu,"Übersetzungen dieses WerksHomilien über die Bildsäulen (BKV) Homilien über die Bildsäulen (Ad populum Antiochenum homiliae I-XXI [De statuis]) In: Des heiligen Kirchenlehrers Johannes Chrysostomus Einundzwanzig Homilien über die Bildsäulen. Aus dem Urtexte übers. von Joh. Chrysostomus Mitterrutzner (Bibliothek der Kirchenväter, 1 Serie, Band 22), Kempten, 1874. 1874Text anzeigenHomilies of St. John Chrysostom Early Christian Literature. Fathers of the Church, etc. A select Library of the Nicene and Post-Nicene Fathers of the Christian Church. Edited by Philip Schaff, D.D., LL.D., Professor of Church History in the Union Theological Seminary, New York. In Connection with a number of patristic scholars of Europe and America. Volume IX: Saint Chrysostom: On the Priesthood; Ascetic Treatises; Select Homilies and Letters; Homilies on the Statues. T T Clarc, Edinburgh, 1989. 1989Text anzeigen",[],126,deutsch,,2,False,False,https://bkv.unifr.ch/works/cpg-4330,1
5,Unbekannter Autor,Johannes Chrysostomus (344-407),cpg-4330,paragraph,,,,Übersetzungen dieses WerksHomilien über die Bildsäulen (BKV) Homilien über die Bildsäulen (Ad populu,"Übersetzungen dieses WerksHomilien über die Bildsäulen (BKV) Homilien über die Bildsäulen (Ad populum Antiochenum homiliae I-XXI [De statuis]) In: Des heiligen Kirchenlehrers Johannes Chrysostomus Einundzwanzig Homilien über die Bildsäulen. Aus dem Urtexte übers. von Joh. Chrysostomus Mitterrutzner (Bibliothek der Kirchenväter, 1 Serie, Band 22), Kempten, 1874. 1874Text anzeigenHomilies of St. John Chrysostom Early Christian Literature. Fathers of the Church, etc. A select Library of the Nicene and Post-Nicene Fathers of the Christian Church. Edited by Philip Schaff, D.D., LL.D., Professor of Church History in the Union Theological Seminary, New York. In Connection with a number of patristic scholars of Europe and America. Volume IX: Saint Chrysostom: On the Priesthood; Ascetic Treatises; Select Homilies and Letters; Homilies on the Statues. T T Clarc, Edinburgh, 1989. 1989Text anzeigen",[],126,deutsch,,2,False,False,https://bkv.unifr.ch/works/cpg-4330,1
6,Unbekannter Autor,Johannes Chrysostomus (344-407),cpg-4330,heading,,,,Übersetzungen dieses Werks,Übersetzungen dieses Werks,[],3,deutsch,,4,False,False,https://bkv.unifr.ch/works/cpg-4330,1
7,Unbekannter Autor,Johannes Chrysostomus (344-407),cpg-4330,paragraph,,,,Homilien über die Bildsäulen (BKV) Homilien über die Bildsäulen (Ad populum Antiochenum homiliae I-X,"Homilien über die Bildsäulen (BKV) Homilien über die Bildsäulen (Ad populum Antiochenum homiliae I-XXI [De statuis]) In: Des heiligen Kirchenlehrers Johannes Chrysostomus Einundzwanzig Homilien über die Bildsäulen. Aus dem Urtexte übers. von Joh. Chrysostomus Mitterrutzner (Bibliothek der Kirchenväter, 1 Serie, Band 22), Kempten, 1874. 1874Text anzeigen",[],46,deutsch,,4,False,False,https://bkv.unifr.ch/works/cpg-4330,1
8,Unbekannter Autor,Johannes Chrysostomus (344-407),cpg-4330,paragraph,,,,"Homilies of St. John Chrysostom Early Christian Literature. Fathers of the Church, etc. A select Lib","Homilies of St. John Chrysostom Early Christian Literature. Fathers of the Church, etc. A select Library of the Nicene and Post-Nicene Fathers of the Christian Church. Edited by Philip Schaff, D.D., LL.D., Professor of Church History in the Union Theological Seminary, New York. In Connection with a number of patristic scholars of Europe and America. Volume IX: Saint Chrysostom: On the Priesthood; Ascetic Treatises; Select Homilies and Letters; Homilies on the Statues. T T Clarc, Edinburgh, 1989. 1989Text anzeigen",[],79,deutsch,,4,False,False,https://bkv.unifr.ch/works/cpg-4330,1
9,Unbekannter Autor,Johannes Chrysostomus (344-407),cpg-4330,introduction,,,,Kommentare zu diesem WerkEinleitung in die Säulenhomilien Einleitung in die Säulenhomilien In: Des h,"Kommentare zu diesem WerkEinleitung in die Säulenhomilien Einleitung in die Säulenhomilien In: Des heiligen Kirchenlehrers Johannes Chrysostomus Einundzwanzig Homilien über die Bildsäulen. Aus dem Urtexte übers. von Joh. Chrysostomus Mitterrutzner (Bibliothek der Kirchenväter, 1 Serie, Band 22), Kempten, 1874. 1874Text anzeigenPreface to the Benedictine Edition of the Homilies on the Statues Early Christian Literature. Fathers of the Church, etc. A select Library of the Nicene and Post-Nicene Fathers of the Christian Church. Edited by Philip Schaff, D.D., LL.D., Professor of Church History in the Union Theological Seminary, New York. In Connection with a number of patristic scholars of Europe and America. Volume IX: Saint Chrysostom: On the Priesthood; Ascetic Treatises; Select Homilies and Letters; Homilies on the Statues. T T Clarc, Edinburgh, 1989. 1989Text anzeigen",[],125,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-4330,1
10,Unbekannter Autor,Johannes Chrysostomus (344-407),cpg-4330,introduction,,,,Kommentare zu diesem WerkEinleitung in die Säulenhomilien Einleitung in die Säulenhomilien In: Des h,"Kommentare zu diesem WerkEinleitung in die Säulenhomilien Einleitung in die Säulenhomilien In: Des heiligen Kirchenlehrers Johannes Chrysostomus Einundzwanzig Homilien über die Bildsäulen. Aus dem Urtexte übers. von Joh. Chrysostomus Mitterrutzner (Bibliothek der Kirchenväter, 1 Serie, Band 22), Kempten, 1874. 1874Text anzeigenPreface to the Benedictine Edition of the Homilies on the Statues Early Christian Literature. Fathers of the Church, etc. A select Library of the Nicene and Post-Nicene Fathers of the Christian Church. Edited by Philip Schaff, D.D., LL.D., Professor of Church History in the Union Theological Seminary, New York. In Connection with a number of patristic scholars of Europe and America. Volume IX: Saint Chrysostom: On the Priesthood; Ascetic Treatises; Select Homilies and Letters; Homilies on the Statues. T T Clarc, Edinburgh, 1989. 1989Text anzeigen",[],125,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-4330,1
