id,author,work_title,work_id,section_type,section_number,subsection_number,verse_number,title,text,footnotes,word_count,language,parent_section,hierarchy_level,is_introduction,is_footnote,original_url,page_number
1,Unbekannter Autor,Methodius von Olympus (260-312),cpg-1811,introduction,,,,WerkeMethodius von Olympus (260-312)Methodius von Olympus (260-312)SchlüsselCPG 1811TexteÜbersetzung,"WerkeMethodius von Olympus (260-312)Methodius von Olympus (260-312)SchlüsselCPG 1811TexteÜbersetzungen dieses WerksConcerning Free-Will The Writings of the Fathers Down to AD 325 ANTE-NICENE FATHERS VOLUME 6. Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. Edited by Alexander Roberts, D.D. James Donaldson, LL.D. Revised and chronologically arranged, with brief prefaces and occasional notes, by A. Cleveland Coxe, D.D. T T CLARK EDINBURGH WM. B. EERDMANS PUBLISHING COMPANY GRAND RAPIDS, MICHIGAN Fathers of the Third Century: Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. AMERICAN EDITION. Chronologically arranged, with brief notes and prefaces, by A. Cleveland Coxe, D.D. originally published in the United States by the Christian Literature Publishing Company, 1886 (Second printing 1995) 1886Text anzeigenKommentare zu diesem WerkNote on Methodius The Writings of the Fathers Down to AD 325 ANTE-NICENE FATHERS VOLUME 6. Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. Edited by Alexander Roberts, D.D. James Donaldson, LL.D. Revised and chronologically arranged, with brief prefaces and occasional notes, by A. Cleveland Coxe, D.D. T T CLARK EDINBURGH WM. B. EERDMANS PUBLISHING COMPANY GRAND RAPIDS, MICHIGAN Fathers of the Third Century: Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. AMERICAN EDITION. Chronologically arranged, with brief notes and prefaces, by A. Cleveland Coxe, D.D. originally published in the United States by the Christian Literature Publishing Company, 1886 (Second printing 1995) 1886Text anzeigen",[],238,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1811,1
2,Unbekannter Autor,Methodius von Olympus (260-312),cpg-1811,paragraph,,,,WerkeMethodius von Olympus (260-312),WerkeMethodius von Olympus (260-312),[],4,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1811,1
3,Unbekannter Autor,Methodius von Olympus (260-312),cpg-1811,heading,,,,Methodius von Olympus (260-312),Methodius von Olympus (260-312),[],4,deutsch,,2,False,False,https://bkv.unifr.ch/works/cpg-1811,1
4,Unbekannter Autor,Methodius von Olympus (260-312),cpg-1811,introduction,,,,Übersetzungen dieses WerksConcerning Free-Will The Writings of the Fathers Down to AD 325 ANTE-NICEN,"Übersetzungen dieses WerksConcerning Free-Will The Writings of the Fathers Down to AD 325 ANTE-NICENE FATHERS VOLUME 6. Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. Edited by Alexander Roberts, D.D. James Donaldson, LL.D. Revised and chronologically arranged, with brief prefaces and occasional notes, by A. Cleveland Coxe, D.D. T T CLARK EDINBURGH WM. B. EERDMANS PUBLISHING COMPANY GRAND RAPIDS, MICHIGAN Fathers of the Third Century: Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. AMERICAN EDITION. Chronologically arranged, with brief notes and prefaces, by A. Cleveland Coxe, D.D. originally published in the United States by the Christian Literature Publishing Company, 1886 (Second printing 1995) 1886Text anzeigen",[],115,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1811,1
5,Unbekannter Autor,Methodius von Olympus (260-312),cpg-1811,introduction,,,,Übersetzungen dieses WerksConcerning Free-Will The Writings of the Fathers Down to AD 325 ANTE-NICEN,"Übersetzungen dieses WerksConcerning Free-Will The Writings of the Fathers Down to AD 325 ANTE-NICENE FATHERS VOLUME 6. Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. Edited by Alexander Roberts, D.D. James Donaldson, LL.D. Revised and chronologically arranged, with brief prefaces and occasional notes, by A. Cleveland Coxe, D.D. T T CLARK EDINBURGH WM. B. EERDMANS PUBLISHING COMPANY GRAND RAPIDS, MICHIGAN Fathers of the Third Century: Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. AMERICAN EDITION. Chronologically arranged, with brief notes and prefaces, by A. Cleveland Coxe, D.D. originally published in the United States by the Christian Literature Publishing Company, 1886 (Second printing 1995) 1886Text anzeigen",[],115,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1811,1
6,Unbekannter Autor,Methodius von Olympus (260-312),cpg-1811,heading,,,,Übersetzungen dieses Werks,Übersetzungen dieses Werks,[],3,deutsch,,4,False,False,https://bkv.unifr.ch/works/cpg-1811,1
7,Unbekannter Autor,Methodius von Olympus (260-312),cpg-1811,introduction,,,,Concerning Free-Will The Writings of the Fathers Down to AD 325 ANTE-NICENE FATHERS VOLUME 6. Gregor,"Concerning Free-Will The Writings of the Fathers Down to AD 325 ANTE-NICENE FATHERS VOLUME 6. Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. Edited by Alexander Roberts, D.D. James Donaldson, LL.D. Revised and chronologically arranged, with brief prefaces and occasional notes, by A. Cleveland Coxe, D.D. T T CLARK EDINBURGH WM. B. EERDMANS PUBLISHING COMPANY GRAND RAPIDS, MICHIGAN Fathers of the Third Century: Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. AMERICAN EDITION. Chronologically arranged, with brief notes and prefaces, by A. Cleveland Coxe, D.D. originally published in the United States by the Christian Literature Publishing Company, 1886 (Second printing 1995) 1886Text anzeigen",[],113,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1811,1
8,Unbekannter Autor,Methodius von Olympus (260-312),cpg-1811,introduction,,,,Kommentare zu diesem WerkNote on Methodius The Writings of the Fathers Down to AD 325 ANTE-NICENE FA,"Kommentare zu diesem WerkNote on Methodius The Writings of the Fathers Down to AD 325 ANTE-NICENE FATHERS VOLUME 6. Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. Edited by Alexander Roberts, D.D. James Donaldson, LL.D. Revised and chronologically arranged, with brief prefaces and occasional notes, by A. Cleveland Coxe, D.D. T T CLARK EDINBURGH WM. B. EERDMANS PUBLISHING COMPANY GRAND RAPIDS, MICHIGAN Fathers of the Third Century: Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. AMERICAN EDITION. Chronologically arranged, with brief notes and prefaces, by A. Cleveland Coxe, D.D. originally published in the United States by the Christian Literature Publishing Company, 1886 (Second printing 1995) 1886Text anzeigen",[],117,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1811,1
9,Unbekannter Autor,Methodius von Olympus (260-312),cpg-1811,introduction,,,,Kommentare zu diesem WerkNote on Methodius The Writings of the Fathers Down to AD 325 ANTE-NICENE FA,"Kommentare zu diesem WerkNote on Methodius The Writings of the Fathers Down to AD 325 ANTE-NICENE FATHERS VOLUME 6. Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. Edited by Alexander Roberts, D.D. James Donaldson, LL.D. Revised and chronologically arranged, with brief prefaces and occasional notes, by A. Cleveland Coxe, D.D. T T CLARK EDINBURGH WM. B. EERDMANS PUBLISHING COMPANY GRAND RAPIDS, MICHIGAN Fathers of the Third Century: Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. AMERICAN EDITION. Chronologically arranged, with brief notes and prefaces, by A. Cleveland Coxe, D.D. originally published in the United States by the Christian Literature Publishing Company, 1886 (Second printing 1995) 1886Text anzeigen",[],117,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1811,1
10,Unbekannter Autor,Methodius von Olympus (260-312),cpg-1811,heading,,,,Kommentare zu diesem Werk,Kommentare zu diesem Werk,[],4,deutsch,,4,False,False,https://bkv.unifr.ch/works/cpg-1811,1
