id,author,work_title,work_id,section_type,section_number,subsection_number,verse_number,title,text,footnotes,word_count,language,parent_section,hierarchy_level,is_introduction,is_footnote,original_url,page_number
1,Unbekannter Autor,Pierius Presbyter von Alexandrien,cpg-1630,introduction,,,,WerkePierius Presbyter von AlexandrienPierius Presbyter von AlexandrienSchlüsselCPG 1630TexteÜberset,"WerkePierius Presbyter von AlexandrienPierius Presbyter von AlexandrienSchlüsselCPG 1630TexteÜbersetzungen dieses WerksFragments of Pierus The Writings of the Fathers Down to AD 325 ANTE-NICENE FATHERS VOLUME 6. Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. Edited by Alexander Roberts, D.D. James Donaldson, LL.D. Revised and chronologically arranged, with brief prefaces and occasional notes, by A. Cleveland Coxe, D.D. T T CLARK EDINBURGH WM. B. EERDMANS PUBLISHING COMPANY GRAND RAPIDS, MICHIGAN Fathers of the Third Century: Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. AMERICAN EDITION. Chronologically arranged, with brief notes and prefaces, by A. Cleveland Coxe, D.D. originally published in the United States by the Christian Literature Publishing Company, 1886 (Second printing 1995) 1886Text anzeigenKommentare zu diesem WerkNote to Pierus of Alexandria The Writings of the Fathers Down to AD 325 ANTE-NICENE FATHERS VOLUME 6. Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. Edited by Alexander Roberts, D.D. James Donaldson, LL.D. Revised and chronologically arranged, with brief prefaces and occasional notes, by A. Cleveland Coxe, D.D. T T CLARK EDINBURGH WM. B. EERDMANS PUBLISHING COMPANY GRAND RAPIDS, MICHIGAN Fathers of the Third Century: Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. AMERICAN EDITION. Chronologically arranged, with brief notes and prefaces, by A. Cleveland Coxe, D.D. originally published in the United States by the Christian Literature Publishing Company, 1886 (Second printing 1995) 1886Text anzeigen",[],241,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1630,1
2,Unbekannter Autor,Pierius Presbyter von Alexandrien,cpg-1630,paragraph,,,,WerkePierius Presbyter von Alexandrien,WerkePierius Presbyter von Alexandrien,[],4,deutsch,,1,False,False,https://bkv.unifr.ch/works/cpg-1630,1
3,Unbekannter Autor,Pierius Presbyter von Alexandrien,cpg-1630,heading,,,,Pierius Presbyter von Alexandrien,Pierius Presbyter von Alexandrien,[],4,deutsch,,2,False,False,https://bkv.unifr.ch/works/cpg-1630,1
4,Unbekannter Autor,Pierius Presbyter von Alexandrien,cpg-1630,introduction,,,,Übersetzungen dieses WerksFragments of Pierus The Writings of the Fathers Down to AD 325 ANTE-NICENE,"Übersetzungen dieses WerksFragments of Pierus The Writings of the Fathers Down to AD 325 ANTE-NICENE FATHERS VOLUME 6. Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. Edited by Alexander Roberts, D.D. James Donaldson, LL.D. Revised and chronologically arranged, with brief prefaces and occasional notes, by A. Cleveland Coxe, D.D. T T CLARK EDINBURGH WM. B. EERDMANS PUBLISHING COMPANY GRAND RAPIDS, MICHIGAN Fathers of the Third Century: Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. AMERICAN EDITION. Chronologically arranged, with brief notes and prefaces, by A. Cleveland Coxe, D.D. originally published in the United States by the Christian Literature Publishing Company, 1886 (Second printing 1995) 1886Text anzeigen",[],116,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1630,1
5,Unbekannter Autor,Pierius Presbyter von Alexandrien,cpg-1630,introduction,,,,Übersetzungen dieses WerksFragments of Pierus The Writings of the Fathers Down to AD 325 ANTE-NICENE,"Übersetzungen dieses WerksFragments of Pierus The Writings of the Fathers Down to AD 325 ANTE-NICENE FATHERS VOLUME 6. Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. Edited by Alexander Roberts, D.D. James Donaldson, LL.D. Revised and chronologically arranged, with brief prefaces and occasional notes, by A. Cleveland Coxe, D.D. T T CLARK EDINBURGH WM. B. EERDMANS PUBLISHING COMPANY GRAND RAPIDS, MICHIGAN Fathers of the Third Century: Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. AMERICAN EDITION. Chronologically arranged, with brief notes and prefaces, by A. Cleveland Coxe, D.D. originally published in the United States by the Christian Literature Publishing Company, 1886 (Second printing 1995) 1886Text anzeigen",[],116,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1630,1
6,Unbekannter Autor,Pierius Presbyter von Alexandrien,cpg-1630,heading,,,,Übersetzungen dieses Werks,Übersetzungen dieses Werks,[],3,deutsch,,4,False,False,https://bkv.unifr.ch/works/cpg-1630,1
7,Unbekannter Autor,Pierius Presbyter von Alexandrien,cpg-1630,introduction,,,,Fragments of Pierus The Writings of the Fathers Down to AD 325 ANTE-NICENE FATHERS VOLUME 6. Gregory,"Fragments of Pierus The Writings of the Fathers Down to AD 325 ANTE-NICENE FATHERS VOLUME 6. Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. Edited by Alexander Roberts, D.D. James Donaldson, LL.D. Revised and chronologically arranged, with brief prefaces and occasional notes, by A. Cleveland Coxe, D.D. T T CLARK EDINBURGH WM. B. EERDMANS PUBLISHING COMPANY GRAND RAPIDS, MICHIGAN Fathers of the Third Century: Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. AMERICAN EDITION. Chronologically arranged, with brief notes and prefaces, by A. Cleveland Coxe, D.D. originally published in the United States by the Christian Literature Publishing Company, 1886 (Second printing 1995) 1886Text anzeigen",[],114,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1630,1
8,Unbekannter Autor,Pierius Presbyter von Alexandrien,cpg-1630,introduction,,,,Kommentare zu diesem WerkNote to Pierus of Alexandria The Writings of the Fathers Down to AD 325 ANT,"Kommentare zu diesem WerkNote to Pierus of Alexandria The Writings of the Fathers Down to AD 325 ANTE-NICENE FATHERS VOLUME 6. Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. Edited by Alexander Roberts, D.D. James Donaldson, LL.D. Revised and chronologically arranged, with brief prefaces and occasional notes, by A. Cleveland Coxe, D.D. T T CLARK EDINBURGH WM. B. EERDMANS PUBLISHING COMPANY GRAND RAPIDS, MICHIGAN Fathers of the Third Century: Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. AMERICAN EDITION. Chronologically arranged, with brief notes and prefaces, by A. Cleveland Coxe, D.D. originally published in the United States by the Christian Literature Publishing Company, 1886 (Second printing 1995) 1886Text anzeigen",[],119,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1630,1
9,Unbekannter Autor,Pierius Presbyter von Alexandrien,cpg-1630,introduction,,,,Kommentare zu diesem WerkNote to Pierus of Alexandria The Writings of the Fathers Down to AD 325 ANT,"Kommentare zu diesem WerkNote to Pierus of Alexandria The Writings of the Fathers Down to AD 325 ANTE-NICENE FATHERS VOLUME 6. Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. Edited by Alexander Roberts, D.D. James Donaldson, LL.D. Revised and chronologically arranged, with brief prefaces and occasional notes, by A. Cleveland Coxe, D.D. T T CLARK EDINBURGH WM. B. EERDMANS PUBLISHING COMPANY GRAND RAPIDS, MICHIGAN Fathers of the Third Century: Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. AMERICAN EDITION. Chronologically arranged, with brief notes and prefaces, by A. Cleveland Coxe, D.D. originally published in the United States by the Christian Literature Publishing Company, 1886 (Second printing 1995) 1886Text anzeigen",[],119,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1630,1
10,Unbekannter Autor,Pierius Presbyter von Alexandrien,cpg-1630,heading,,,,Kommentare zu diesem Werk,Kommentare zu diesem Werk,[],4,deutsch,,4,False,False,https://bkv.unifr.ch/works/cpg-1630,1
11,Unbekannter Autor,Pierius Presbyter von Alexandrien,cpg-1630,introduction,,,,Note to Pierus of Alexandria The Writings of the Fathers Down to AD 325 ANTE-NICENE FATHERS VOLUME 6,"Note to Pierus of Alexandria The Writings of the Fathers Down to AD 325 ANTE-NICENE FATHERS VOLUME 6. Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. Edited by Alexander Roberts, D.D. James Donaldson, LL.D. Revised and chronologically arranged, with brief prefaces and occasional notes, by A. Cleveland Coxe, D.D. T T CLARK EDINBURGH WM. B. EERDMANS PUBLISHING COMPANY GRAND RAPIDS, MICHIGAN Fathers of the Third Century: Gregory Thaumaturgus, Dionysius the Great, Julius Africanus, Anatolius and Minor Writers, Methodius, Arnobius. AMERICAN EDITION. Chronologically arranged, with brief notes and prefaces, by A. Cleveland Coxe, D.D. originally published in the United States by the Christian Literature Publishing Company, 1886 (Second printing 1995) 1886Text anzeigen",[],116,deutsch,,1,True,False,https://bkv.unifr.ch/works/cpg-1630,1
