author,werk,kapitel,vers,text
Athanasius,Übersetzung (Deutsch): Absetzung des Arius (SWKV),Absetzung des Arius,1,"Absetzung des Arius und seiner Genossen durch Alexander, Erzbischof von Alexandrien.1"
Athanasius,Übersetzung (Deutsch): Absetzung des Arius (SWKV),Absetzung des Arius,,"S. 109Alexander wünscht den Priestern und Diakonen von Alexandrien und Mareotis, gegenwärtig den Gegenwärtigen, seinen geliebten Brüdern Freude in dem Herrn."
Athanasius,Übersetzung (Deutsch): Absetzung des Arius (SWKV),Absetzung des Arius,,"Ungeachtet ihr bereits mein Schreiben, welches ich an den Arius und dessen Genossen gesendet, und worin ichS. 110dieselben ermahnt habe, der Gottlosigkeit zu entsagen, und dem gesunden und katholischen Glauben zu gehorchen, unterschrieben, und dadurch euere richtige Denkungsart und euere Uebereinstimmung mit der katholischen Kirche hinsichtlich der Dogmen an den Tag gelegt habet; so habe ich doch, weil ich allenthalben den Mitdienern das auf den Arius und seine Genossen Bezügliche schriftlich bekannt machte, für nöthig erachtet, sowohl euch, die Kleriker der Stadt, zu versammeln, als auch euch, die von Mareotis, hieher zu bescheiden; zumal da aus euch die Priester Chares und Pistus, und die Diakone Sarapion, Parammon, Zosimus und Irenäus an die Arianer sich anschlossen, und mit ihnen abgesetzt werden wollten; damit ihr auch das jetzige Schreiben kennen lernet, und damit ihr hierin euere Eintracht an den Tag leget, und der Absetzung des Arius, Pistus und ihrer Genossen euere Zustimmung gebet. Denn es geziemt sich, daß ihr mein Schreiben kennet und daß es ein Jeder, als wäre es von ihm selbst geschrieben, beherzige."
Athanasius,Übersetzung (Deutsch): Absetzung des Arius (SWKV),Absetzung des Arius,,"Es wird hier am rechten Orte seyn, das Umlaufschreiben des alexandrinischen Bischofes Alexander, dieses ehrwürdigen und sanften Mannes, so wie dessen Absetzung des Arius beizufügen, weil beide auf den Anfang des Arianismus Bezug haben, und Licht über denselben verbreiten. Diese trefflichen Ueberreste der Vorzeit finden sich bei Sokrates H. E. lib. I, c. 6. sehr fehlerhaft, bei Gelasius Hist. Concil. Nicaen. II, 3. in Cassiodor's Historia tripartita I, 13; bei Nicephorus H. E. VIII, 8. Alexander folgte dem alexandrinischen Bischofe Achillas nach, war 325 zu Nicäa im Concilium zugegen, und starb am 26. Februar (nach Andern am 17ten April, 326.) Ihm folgte Athanasius.↩"
Athanasius,Übersetzung (Deutsch): Umlaufschreiben,1.,1,S. 1101Den geliebtesten und geehrtesten Mitdienern der katholischen Kirche aller Orten wünscht Alexander Freude in dem Herrn.
Athanasius,Übersetzung (Deutsch): Umlaufschreiben,1.,,"Da die katholische Kirche nur Ein Leib ist, und da in den göttlichen Schriften befohlen wird, das Band der Eintracht und des Friedens zu erhalten; so folgt, daß wirS. 111einander dasjenige, was von einem Jeden geschieht, schreiben und kund thun, damit, wenn ein Glied entweder leidet oder sich freuet, wir Alle miteinander entweder leiden, oder uns freuen. In unserer Diöcese sind jetzt gottlose Männer aufgetreten und Feinde Christi, welche den Abfall lehren, den man mit Recht für den Vorläufer des Antichristus ansehen, und so nennen kann. Ich wünschte zwar so etwas dem Stillschweigen zu übergeben, damit das Uebel vielleicht nur in den Häuptern der Ketzerei vertilgt würde, und etwas solches nicht in andere Orte dringen, und die Ohren einiger Unvorsichtigen beflecken möchte. Allein da Eusebius, jetzt Bischof von Nikomedien, in dem Wahne, daß alle Angelegenheiten der Kirche auf ihm beruhen, weil nämlich, nachdem er Berytus verlassen, und aus Ehrgeiz in die Kirche von Nikomedien sich eingedrängt hat, deßwegen nicht zur Strafe gezogen worden ist; da er, sage ich, den Schutz jener Abtrünnigen übernommen, und überall hin Empfehlungsschreiben für dieselben zu schicken sich unterfangen hat, um einige Unwissende in diese höchst schändliche und Christo widerstrebende Ketzerei zu ziehen: so ward ich gezwungen, weil ich wußte, was in dem Gesetze geschrieben steht, die Sache nicht ferner mit Stillschweigen zu übergehen, sondern euch Allen kund zu machen, auf daß ihr sowohl die, welche abtrünnig geworden sind, als auch die unheilvollen Worte ihrer Ketzerei kennet, und, wenn etwa Eusebius schreiben sollte, nicht darauf achtet. Denn da er seine alte schlechte Gesinnung, die er eine Zeit lang verschwieg, jetzt mit Hülfe jener Menschen erneuern will; so nimmt er zwar den Schein an, daß er wegen jener schreibe, beweiset aber in der That, daß er dieses seinetwegen zu thun sich beeifere."
Athanasius,Übersetzung (Deutsch): Umlaufschreiben,1.,,"Es wird hier am rechten Orte seyn, das Umlaufschreiben des alexandrinischen Bischofes Alexander, dieses ehrwürdigen und sanften Mannes, so wie dessen Absetzung des Arius beizufügen, weil beide auf den Anfang des Arianismus Bezug haben, und Licht über denselben verbreiten. Diese trefflichen Ueberreste der Vorzeit finden sich bei Sokrates H. E. lib. I, c. 6. sehr fehlerhaft, bei Gelasius Hist. Concil. Nicaen. II, 3. in Cassiodor's Historia tripartita I, 13; bei Nicephorus H. E. VIII, 8. Alexander folgte dem alexandrinischen Bischofe Achillas nach, war 325 zu Nicäa im Concilium zugegen, und starb am 26. Februar (nach Andern am 17ten April, 326.) Ihm folgte Athanasius.↩"
Athanasius,Übersetzung (Deutsch): Umlaufschreiben,1.,1,S. 1101Den geliebtesten und geehrtesten Mitdienern der katholischen Kirche aller Orten wünscht Alexander Freude in dem Herrn.
Athanasius,Übersetzung (Deutsch): Umlaufschreiben,1.,,"Da die katholische Kirche nur Ein Leib ist, und da in den göttlichen Schriften befohlen wird, das Band der Eintracht und des Friedens zu erhalten; so folgt, daß wirS. 111einander dasjenige, was von einem Jeden geschieht, schreiben und kund thun, damit, wenn ein Glied entweder leidet oder sich freuet, wir Alle miteinander entweder leiden, oder uns freuen. In unserer Diöcese sind jetzt gottlose Männer aufgetreten und Feinde Christi, welche den Abfall lehren, den man mit Recht für den Vorläufer des Antichristus ansehen, und so nennen kann. Ich wünschte zwar so etwas dem Stillschweigen zu übergeben, damit das Uebel vielleicht nur in den Häuptern der Ketzerei vertilgt würde, und etwas solches nicht in andere Orte dringen, und die Ohren einiger Unvorsichtigen beflecken möchte. Allein da Eusebius, jetzt Bischof von Nikomedien, in dem Wahne, daß alle Angelegenheiten der Kirche auf ihm beruhen, weil nämlich, nachdem er Berytus verlassen, und aus Ehrgeiz in die Kirche von Nikomedien sich eingedrängt hat, deßwegen nicht zur Strafe gezogen worden ist; da er, sage ich, den Schutz jener Abtrünnigen übernommen, und überall hin Empfehlungsschreiben für dieselben zu schicken sich unterfangen hat, um einige Unwissende in diese höchst schändliche und Christo widerstrebende Ketzerei zu ziehen: so ward ich gezwungen, weil ich wußte, was in dem Gesetze geschrieben steht, die Sache nicht ferner mit Stillschweigen zu übergehen, sondern euch Allen kund zu machen, auf daß ihr sowohl die, welche abtrünnig geworden sind, als auch die unheilvollen Worte ihrer Ketzerei kennet, und, wenn etwa Eusebius schreiben sollte, nicht darauf achtet. Denn da er seine alte schlechte Gesinnung, die er eine Zeit lang verschwieg, jetzt mit Hülfe jener Menschen erneuern will; so nimmt er zwar den Schein an, daß er wegen jener schreibe, beweiset aber in der That, daß er dieses seinetwegen zu thun sich beeifere."
Athanasius,Übersetzung (Deutsch): Umlaufschreiben,1.,,"Es wird hier am rechten Orte seyn, das Umlaufschreiben des alexandrinischen Bischofes Alexander, dieses ehrwürdigen und sanften Mannes, so wie dessen Absetzung des Arius beizufügen, weil beide auf den Anfang des Arianismus Bezug haben, und Licht über denselben verbreiten. Diese trefflichen Ueberreste der Vorzeit finden sich bei Sokrates H. E. lib. I, c. 6. sehr fehlerhaft, bei Gelasius Hist. Concil. Nicaen. II, 3. in Cassiodor's Historia tripartita I, 13; bei Nicephorus H. E. VIII, 8. Alexander folgte dem alexandrinischen Bischofe Achillas nach, war 325 zu Nicäa im Concilium zugegen, und starb am 26. Februar (nach Andern am 17ten April, 326.) Ihm folgte Athanasius.↩"
Athanasius,Übersetzung (Deutsch): Umlaufschreiben,1.,1,S. 1101Den geliebtesten und geehrtesten Mitdienern der katholischen Kirche aller Orten wünscht Alexander Freude in dem Herrn.
Athanasius,Übersetzung (Deutsch): Umlaufschreiben,1.,,"Da die katholische Kirche nur Ein Leib ist, und da in den göttlichen Schriften befohlen wird, das Band der Eintracht und des Friedens zu erhalten; so folgt, daß wirS. 111einander dasjenige, was von einem Jeden geschieht, schreiben und kund thun, damit, wenn ein Glied entweder leidet oder sich freuet, wir Alle miteinander entweder leiden, oder uns freuen. In unserer Diöcese sind jetzt gottlose Männer aufgetreten und Feinde Christi, welche den Abfall lehren, den man mit Recht für den Vorläufer des Antichristus ansehen, und so nennen kann. Ich wünschte zwar so etwas dem Stillschweigen zu übergeben, damit das Uebel vielleicht nur in den Häuptern der Ketzerei vertilgt würde, und etwas solches nicht in andere Orte dringen, und die Ohren einiger Unvorsichtigen beflecken möchte. Allein da Eusebius, jetzt Bischof von Nikomedien, in dem Wahne, daß alle Angelegenheiten der Kirche auf ihm beruhen, weil nämlich, nachdem er Berytus verlassen, und aus Ehrgeiz in die Kirche von Nikomedien sich eingedrängt hat, deßwegen nicht zur Strafe gezogen worden ist; da er, sage ich, den Schutz jener Abtrünnigen übernommen, und überall hin Empfehlungsschreiben für dieselben zu schicken sich unterfangen hat, um einige Unwissende in diese höchst schändliche und Christo widerstrebende Ketzerei zu ziehen: so ward ich gezwungen, weil ich wußte, was in dem Gesetze geschrieben steht, die Sache nicht ferner mit Stillschweigen zu übergehen, sondern euch Allen kund zu machen, auf daß ihr sowohl die, welche abtrünnig geworden sind, als auch die unheilvollen Worte ihrer Ketzerei kennet, und, wenn etwa Eusebius schreiben sollte, nicht darauf achtet. Denn da er seine alte schlechte Gesinnung, die er eine Zeit lang verschwieg, jetzt mit Hülfe jener Menschen erneuern will; so nimmt er zwar den Schein an, daß er wegen jener schreibe, beweiset aber in der That, daß er dieses seinetwegen zu thun sich beeifere."
Athanasius,Übersetzung (Deutsch): Umlaufschreiben,1.,,"Es wird hier am rechten Orte seyn, das Umlaufschreiben des alexandrinischen Bischofes Alexander, dieses ehrwürdigen und sanften Mannes, so wie dessen Absetzung des Arius beizufügen, weil beide auf den Anfang des Arianismus Bezug haben, und Licht über denselben verbreiten. Diese trefflichen Ueberreste der Vorzeit finden sich bei Sokrates H. E. lib. I, c. 6. sehr fehlerhaft, bei Gelasius Hist. Concil. Nicaen. II, 3. in Cassiodor's Historia tripartita I, 13; bei Nicephorus H. E. VIII, 8. Alexander folgte dem alexandrinischen Bischofe Achillas nach, war 325 zu Nicäa im Concilium zugegen, und starb am 26. Februar (nach Andern am 17ten April, 326.) Ihm folgte Athanasius.↩"
Athanasius,Übersetzung (Deutsch): Umlaufschreiben,1.,1,S. 1101Den geliebtesten und geehrtesten Mitdienern der katholischen Kirche aller Orten wünscht Alexander Freude in dem Herrn.
Athanasius,Übersetzung (Deutsch): Umlaufschreiben,1.,,"Da die katholische Kirche nur Ein Leib ist, und da in den göttlichen Schriften befohlen wird, das Band der Eintracht und des Friedens zu erhalten; so folgt, daß wirS. 111einander dasjenige, was von einem Jeden geschieht, schreiben und kund thun, damit, wenn ein Glied entweder leidet oder sich freuet, wir Alle miteinander entweder leiden, oder uns freuen. In unserer Diöcese sind jetzt gottlose Männer aufgetreten und Feinde Christi, welche den Abfall lehren, den man mit Recht für den Vorläufer des Antichristus ansehen, und so nennen kann. Ich wünschte zwar so etwas dem Stillschweigen zu übergeben, damit das Uebel vielleicht nur in den Häuptern der Ketzerei vertilgt würde, und etwas solches nicht in andere Orte dringen, und die Ohren einiger Unvorsichtigen beflecken möchte. Allein da Eusebius, jetzt Bischof von Nikomedien, in dem Wahne, daß alle Angelegenheiten der Kirche auf ihm beruhen, weil nämlich, nachdem er Berytus verlassen, und aus Ehrgeiz in die Kirche von Nikomedien sich eingedrängt hat, deßwegen nicht zur Strafe gezogen worden ist; da er, sage ich, den Schutz jener Abtrünnigen übernommen, und überall hin Empfehlungsschreiben für dieselben zu schicken sich unterfangen hat, um einige Unwissende in diese höchst schändliche und Christo widerstrebende Ketzerei zu ziehen: so ward ich gezwungen, weil ich wußte, was in dem Gesetze geschrieben steht, die Sache nicht ferner mit Stillschweigen zu übergehen, sondern euch Allen kund zu machen, auf daß ihr sowohl die, welche abtrünnig geworden sind, als auch die unheilvollen Worte ihrer Ketzerei kennet, und, wenn etwa Eusebius schreiben sollte, nicht darauf achtet. Denn da er seine alte schlechte Gesinnung, die er eine Zeit lang verschwieg, jetzt mit Hülfe jener Menschen erneuern will; so nimmt er zwar den Schein an, daß er wegen jener schreibe, beweiset aber in der That, daß er dieses seinetwegen zu thun sich beeifere."
Athanasius,Übersetzung (Deutsch): Umlaufschreiben,1.,,"Es wird hier am rechten Orte seyn, das Umlaufschreiben des alexandrinischen Bischofes Alexander, dieses ehrwürdigen und sanften Mannes, so wie dessen Absetzung des Arius beizufügen, weil beide auf den Anfang des Arianismus Bezug haben, und Licht über denselben verbreiten. Diese trefflichen Ueberreste der Vorzeit finden sich bei Sokrates H. E. lib. I, c. 6. sehr fehlerhaft, bei Gelasius Hist. Concil. Nicaen. II, 3. in Cassiodor's Historia tripartita I, 13; bei Nicephorus H. E. VIII, 8. Alexander folgte dem alexandrinischen Bischofe Achillas nach, war 325 zu Nicäa im Concilium zugegen, und starb am 26. Februar (nach Andern am 17ten April, 326.) Ihm folgte Athanasius.↩"
Corpus_cpl-129,Übersetzung (Deutsch): Der Tod ein Gut (BKV),"1. Wie sollte der Tod kein Übel sein, da er das Leben beendigt?",,"S. 3721. Nachdem ich bereits über die Seele gesprochen habe, scheint es mir, daß ich unschwer daran Einiges anknüpfe, um den Nachweis zu führen, daß der Tod ein wahres Gut sei. Alles nämlich, was der Seele schadet, kann als ein Übel betrachtet werden; was ihr aber in keiner Weise nachtheilig ist, kann auch nicht als ein Übel gelten. Wir können weiter schließen: Alles, was kein Übel ist, ist gut. Was aber fehlerhaft und verderblich ist, dürfen wir ein Übel nennen, während Dasjenige, was frei von verderblichen Fehlern ist, als Gut bezeichnet wird. Gut und Übel sind also einander entgegengesetzt und schließen sich gegenseitig aus. In ähnlicher Weise reden wir von Schuldlosigkeit, wo der Wille, zu schaden, nicht vorhanden ist. Wer aber jener Schuldlosigkeit sich nicht bewußt ist, Den nennen wir schuldig. Barmherzig ist Derjenige, der gerne verzeiht; unbarmherzig dagegen, wer zum Verzeihen und Nachgeben nicht zu bestimmen ist."
Corpus_cpl-129,Übersetzung (Deutsch): Der Tod ein Gut (BKV),"1. Wie sollte der Tod kein Übel sein, da er das Leben beendigt?",2,"Vielleicht wird mir der Einwand gemacht: Kann es denn einen schärferen Gegensatz geben als Leben undS. 373Tod? Wenn nun das Leben ein Gut ist, wie wäre der Tod kein Übel? Wir brauchen aber nur näher festzustellen, was Leben und Tod eigentlich ist, um jenen Einwurf zu beseitigen. Leben heißt äusserlich genommen: athmen; denn mit dem letzten Athemzuge tritt der Tod ein. Man wird nun freilich geneigt sein, diesen Lebensodem als ein Gut zu betrachten und dann so zu schließen: Leben ist der Genuß, Sterben ist der Verlust eines hohen Gutes. So sagt ja auch die Schrift: „Siehe, ich habe euch vorgelegt Leben und Tod, Gutes und Böses.“1Da wird das Leben als ein Gut, der Tod als Übel bezeichnet, und Beides wird zur Wahl gestellt. Im Anschlusse an die heutige Lesung wird auch vielleicht daran erinnert, daß der erste Mensch im Paradiese von allen Bäumen des Gartens, auch vom Baume des Lebens essen sollte; von dem Baume der Erkenntniß des Guten und Bösen aber sollte er nicht essen: an dem Tage, an welchem er davon aß, sollte er des Todes sterben. Der Mensch mißachtete das göttliche Gebot; die Vergeltung blieb ihm nicht aus: aus dem Paradiese verstoßen, mußte er den Tod kosten. So ist denn der Tod ein Übel, weil er die Vollstreckung des Verwerfungurtheils ist."
Corpus_cpl-129,Übersetzung (Deutsch): Der Tod ein Gut (BKV),"1. Wie sollte der Tod kein Übel sein, da er das Leben beendigt?",,"S. 3721. Nachdem ich bereits über die Seele gesprochen habe, scheint es mir, daß ich unschwer daran Einiges anknüpfe, um den Nachweis zu führen, daß der Tod ein wahres Gut sei. Alles nämlich, was der Seele schadet, kann als ein Übel betrachtet werden; was ihr aber in keiner Weise nachtheilig ist, kann auch nicht als ein Übel gelten. Wir können weiter schließen: Alles, was kein Übel ist, ist gut. Was aber fehlerhaft und verderblich ist, dürfen wir ein Übel nennen, während Dasjenige, was frei von verderblichen Fehlern ist, als Gut bezeichnet wird. Gut und Übel sind also einander entgegengesetzt und schließen sich gegenseitig aus. In ähnlicher Weise reden wir von Schuldlosigkeit, wo der Wille, zu schaden, nicht vorhanden ist. Wer aber jener Schuldlosigkeit sich nicht bewußt ist, Den nennen wir schuldig. Barmherzig ist Derjenige, der gerne verzeiht; unbarmherzig dagegen, wer zum Verzeihen und Nachgeben nicht zu bestimmen ist."
