id,author,work_title,section,text,word_count,language
Athanasius_von_Alexandria_Absetzung_des_Arius_1,Athanasius von Alexandria,Absetzung des Arius,1,"Absetzung des Arius Absetzung des Arius und seiner Genossen durch Alexander, Erzbischof von Alexandrie Alexander wünscht den Priestern und Diakonen von Alexandrien und Mareotis, gegenwärtig den Gegenwärtigen, seinen geliebten Brüdern Freude in dem Herrn. Ungeachtet ihr bereits mein Schreiben, welches ich an den Arius und dessen Genossen gesendet, und worin ich dieselben ermahnt habe, der Gottlosigkeit zu entsagen, und dem gesunden und katholischen Glauben zu gehorchen, unterschrieben, und dadurch euere richtige Denkungsart und euere Uebereinstimmung mit der katholischen Kirche hinsichtlich der Dogmen an den Tag gelegt habet; so habe ich doch, weil ich allenthalben den Mitdienern das auf den Arius und seine Genossen Bezügliche schriftlich bekannt machte, für nöthig erachtet, sowohl euch, die Kleriker der Stadt, zu versammeln, als auch euch, die von Mareotis, hieher zu bescheiden; zumal da aus euch die Priester Chares und Pistus, und die Diakone Sarapion, Parammon, Zosimus und Irenäus an die Arianer sich anschlossen, und mit ihnen abgesetzt werden wollten; damit ihr auch das jetzige Schreiben kennen lernet, und damit ihr hierin euere Eintracht an den Tag leget, und der Absetzung des Arius, Pistus und ihrer Genossen euere Zustimmung gebet. Denn es geziemt sich, daß ihr mein Schreiben kennet und daß es ein Jeder, als wäre es von ihm selbst geschrieben, beherzige.",207,de
Athanasius_von_Alexandria_Umlaufschreiben_1,Athanasius von Alexandria,Umlaufschreiben,1,"Umlaufschreiben (Epistula encyclica) Den geliebtesten und geehrtesten Mitdienern der katholischen Kirche aller Orten wünscht Alexander Freude in dem Herrn. Da die katholische Kirche nur Ein Leib ist, und da in den göttlichen Schriften befohlen wird, das Band der Eintracht und des Friedens zu erhalten; so folgt, daß wir einander dasjenige, was von einem Jeden geschieht, schreiben und kund thun, damit, wenn ein Glied entweder leidet oder sich freuet, wir Alle miteinander entweder leiden, oder uns freuen. In unserer Diöcese sind jetzt gottlose Männer aufgetreten und Feinde Christi, welche den Abfall lehren, den man mit Recht für den Vorläufer des Antichristus ansehen, und so nennen kann. Ich wünschte zwar so etwas dem Stillschweigen zu übergeben, damit das Uebel vielleicht nur in den Häuptern der Ketzerei vertilgt würde, und etwas solches nicht in andere Orte dringen, und die Ohren einiger Unvorsichtigen beflecken möchte. Allein da Eusebius, jetzt Bischof von Nikomedien, in dem Wahne, daß alle Angelegenheiten der Kirche auf ihm beruhen, weil nämlich, nachdem er Berytus verlassen, und aus Ehrgeiz in die Kirche von Nikomedien sich eingedrängt hat, deßwegen nicht zur Strafe gezogen worden ist; da er, sage ich, den Schutz jener Abtrünnigen übernommen, und überall hin Empfehlungsschreiben für dieselben zu schicken sich unterfangen hat, um einige Unwissende in diese höchst schändliche und Christo widerstrebende Ketzerei zu ziehen: so ward ich gezwungen, weil ich wußte, was in dem Gesetze geschrieben steht, die Sache nicht ferner mit Stillschweigen zu übergehen, sondern euch Allen kund zu machen, auf daß ihr sowohl die, welche abtrünnig geworden sind, als auch die unheilvollen Worte ihrer Ketzerei kennet, und, wenn etwa Eusebius schreiben sollte, nicht darauf achtet. Denn da er seine alte schlechte Gesinnung, die er eine Zeit lang verschwieg, jetzt mit Hülfe jener Menschen erneuern will; so nimmt er zwar den Schein an, daß er wegen jener schreibe, beweiset aber in der That, daß er dieses seinetwegen zu thun sich beeifere. Die also, welche abtrünnig wurden, sind: Arius, Achilles, Aithales, Karpones, ein zweiter Arius, und Sarmates, welche alle einst Priester waren; ferner Euzoius, Lucius, Julius, Menas, Helladius, und Gajus, weiland Diakone, und mit ihnen Secundus und Theonas, einst Titularbischöfe. Was sie aber den heiligen Schriften zuwiderlaufendes ersonnen haben und schwätzen, ist Folgendes. Nicht immer war Gott Vater, sondern es gab eine Zeit, wo Gott nicht Vater war.",380,de
Athanasius_von_Alexandria_Umlaufschreiben_2,Athanasius von Alexandria,Umlaufschreiben,2,"Nicht immer war Gottes Wort, sondern er ist aus Nichts entstanden; denn der seyende Gott hat das nichtseyende Wort aus Nichtseyendem gemacht; und deßhalb gab es auch eine Zeit, in der es nicht war. Denn der Sohn ist etwas Geschaffenes und Gemachtes, und der Wesenheit nach dem Vater nicht gleich; auch ist er nicht das wirkliche und natürliche Wort des Vaters, noch dessen wirkliche Weisheit, sondern Eines aus den geschaffenen und entstandenen Dingen, und wird im uneigentlichen Sinne Wort und Weisheit genannt, da er selbst durch das eigene Wort Gottes gemacht ist, und durch die Weisheit in Gott, durch welche Gott sowohl Alles Uebrige, als ihn selbst gemacht hat. Demnach ist er von Natur veränderlich und wandelbar, so wie alle vernünftigen Wesen. Das Wort ist der Wesenheit Gottes fremd, und von derselben verschieden und abgesondert. Auch kann der Vater von dem Sohne nicht ausgesprochen werden; denn das Wort kennt den Vater nicht vollkommen und nicht genau, und kann ihn nicht vollkommen schauen. Denn nicht einmal seine eigene Wesenheit kennt der Sohn, wie sie ist; denn unsertwegen ist er gemacht worden, damit uns Gott durch denselben wie durch ein Werkzeug erschaffen könnte; und er wäre nicht entstanden, hätte nicht Gott uns erschaffen wollen. Es fragte sie daher Jemand, ob das Wort Gottes eben so verändert werden könne, wie der Teufel verändert worden sey; und sie scheuten sich nicht zu sagen: Ja; denn es ist, weil es entstanden und erschaffen ist, veränderlicher Natur. Weil die Arianer dieses sagten, und auf dieser unverschämten Behauptung beharrten, belegten wir sie und ihre Anhänger in einer Versammlung der Bischöfe von Aegypten und Libyen, welche gegen hundert an der Zahl waren, mit dem Bannfluche. Eusebius und seine Freunde aber nahmen sie auf und bemühten sich, die Lüge mit der Wahrheit, und die Gottlosigkeit mit der Gottesverehrung zu vermischen. Allein sie werden es nicht vermögen; denn die Wahrheit siegt, und2 „es gibt kein Bündniß des Lichtes mit der Finsterniß, und keine Uebereinstimmung Christi mit Belial. “ Denn wer hat je etwas solches gehört. Oder wen befremdet es nicht, indem er es jetzt hört. Wer verschließt nicht die Ohren, damit sie nicht der Unflath dieser Worte verunreinige. Wer sollte, wenn er den Johannes sprechen hört:3 „Im Anfange war das Wort“, Leute nicht verdammen, welche sagen: Es war einmal eine Zeit, in welcher es nicht war.",386,de
Athanasius_von_Alexandria_Umlaufschreiben_3,Athanasius von Alexandria,Umlaufschreiben,3,"Wer sollte, wenn er diese Worte des Evangeliums hört:4 „Der eingeborne Sohn;“ und: „Durch ihn ist Alles gemacht,“ diejenigen nicht verabscheuen, welche sagen: Er ist Eines aus den gemachten Dingen. Denn wie kann der Eines aus den durch ihn entstandenen Dingen seyn, oder wie der Eingeborne, welcher, wie jene sagen, allen Dingen beigezählt wird, wenn auch er selbst etwas Geschaffenes und Gemachtes ist. Wie aber kann er aus Nichtseyendem gemacht seyn, da der Vater spricht:5 „Es brachte hervor mein Herz ein gutes Wort;“ und:6 „Aus dem Innern erzeugte ich dich vor dem Morgenstern. “ Oder wie kann der von der Wesenheit des Vaters verschieden seyn, welcher das vollkommene Ebenbild und der Abglanz des Vaters7 ist, und welcher sagt:8 „Wer mich sieht, der sieht auch den Vater. “ Wie aber konnte es, wenn das Wort oder die Vernunft und Weisheit Gottes der Sohn ist, einmal eine Zeit geben, wo er nicht war. Denn dieses ist eben so viel, als wenn sie sagten, Gott sey einmal ohne Vernunft und Weisheit gewesen. Wie aber ist der veränderlich und wandelbar, welcher, und zwar in eigener Person, sagt:9 „Ich bin in dem Vater und der Vater ist in mir. und:10 „Ich und der Vater sind Eins:“ durch den Propheten aber:11 „Sehet mich, denn ich bin, und ändere mich nicht. “ Denn obgleich dieser Ausspruch auch auf den Vater selbst bezogen werden kann, so dürfte er doch hier passender hinsichtlich des Wortes gesagt seyn, weil dieses auch, nachdem es Mensch geworden war, sich nicht veränderte, sondern, „Jesus Christus,“ wie der Apostel sagt, gestern und heute und in Ewigkeit ebenderselbe ist Wer hat sie aber verleitet, zu sagen, daß er unsertwegen entstanden sey, ungeachtet Paulus schreibt:13 „Wegen dessen alle Dinge, und durch den alle Dinge sind. “ Denn was ihre Gotteslästerung betrifft, daß nämlich der Sohn den Vater nicht vollkommen kenne, darüber darf man sich nicht wundern; denn da sie es sich einmal vorgenommen haben, Christum zu bekämpfen, verfälschen sie auch seine Worte, indem er spricht:14 „Wie mich mein Vater kennt, kenne auch ich den Vater. “ Wenn also der Vater den Sohn nur theilweise kennt, so kennt offenbar auch der Sohn den Vater nicht vollkommen. Wenn es aber nicht erlaubt ist dieses zu sagen, und wenn der Vater den Sohn vollkommen kennt; so ist es einleuchtend, daß, wie der Vater sein Wort kennt, eben so auch das Wort seinen Vater kennt, dessen Wort es auch ist.",400,de
Athanasius_von_Alexandria_Umlaufschreiben_4,Athanasius von Alexandria,Umlaufschreiben,4,"Durch diese Worte und durch die Anführung der göttlichen Schriften haben wir sie oft widerlegt. Aber sie haben, wie Chamäleone, abermals umgewendet, und beeifern sich, jene Schriftstelle auf sich anzuwenden:15 „Wenn der Gottlose in den Abgrund kommt, verachtet er. “ Es hat allerdings viele Sekten vor ihnen gegeben, welche mehr, als erlaubt war, wagten, und in Unsinn geriethen. Diese aber, welche mit allen ihren Schwätzereien darauf ausgehen, die Gottheit des Wortes aufzuheben, haben dieses bewirkt, daß jene einiger Massen gerechtfertiget erscheinen, weil sie selbst dem Antichristus noch mehr sich genähert haben. Deßwegen sind sie von der Kirche abgesetzt und mit dem Banne belegt worden. Wir trauern zwar über ihr Verderben, zumal da sie, nachdem sie einst die Lehre der Kirche kennen gelernt haben, nun von derselben abgefallen sind; es befremdet uns aber dieses nicht; denn eben dasselbe ist auch dem Himenäus und dem Philetus begegnet, und vor diesen dem Judas, welcher, nachdem er dem Heilande gefolgt, später ein Verräther und Abtrünniger geworden ist. Uebrigens sind wir hinsichtlich eben dieser nicht unbelehrt geblieben; sondern der Herr hat vorhergesagt:16 „Sehet zu, daß euch Niemand verführe; denn Viele werden kommen in meinem Namen, und sagen: ich bin es. und: die Zelt ist gekommen. und sie werden Viele verführen; folget ihnen also nicht nach. “ Paulus aber, welcher dieses von dem Heilande vernahm, schrieb:17 „In den letzten Zeiten werden Einige von dem gesunden Glauben abfallen, und verführerischen Geistern und Teufelslehren, welche die Wahrheit verschmähen, Gehör geben. “ Da nun unser Herr und Heiland Jesus Christus sowohl in eigener Person solches gelehrt, als auch durch den Apostel solche Dinge uns angedeutet hat; haben wir, die wir ihre Gottlosigkeit persönlich hörten, mit Recht diese Menschen, wie oben gesagt wurde, mit dem Fluche belegt, und sie für solche erklärt, welche von der katholischen Kirche und dem katholischen Glauben abtrünnig geworden sind. Wir haben, geliebte und geehrteste Mitdiener, die Sache euerer Frömmigkeit zu wissen gethan, damit ihr nicht Einige aus jhnen, wenn sie es unverschämter Weise wagen sollten, zu euch zu gehen, aufnehmet, und nicht dem Eusebius oder irgend einem Andern, wenn er darüber an euch schreibt, Glauben schenket. Denn uns als Christen geziemt es, Alle, welche gegen Christum reden oder denken, als Feinde Gottes und als Seelenverderber zu verabscheuen, und sie nicht einmal zu grüßen, damit wir niemals Theil nehmen an ihren bösen Werken, wie der selige Johannes befiehlt",392,de
Athanasius_von_Alexandria_Umlaufschreiben_5,Athanasius von Alexandria,Umlaufschreiben,5,"Grüßet die Brüder, welche bei euch sind; euch grüßen die, welche bei mir sind. Priester von Alexandrien. Ich Priester Colluthus stimme diesen Schreiben bei, so wie der Absetzung des Arius und der Genossen seiner Gottlosigkeit. Alexander, Priester. Alexander, Priester. Dioscorus, Priester. Nilara, Priester. Dionysius, Priester. Arpokration, Priester. Eusebius, Priester. Agathus, Priester. Nemesius, Priester. Apis, Priester. Longus, Priester. Proterius, Priester. Silvanus, Priester. Paulus, Priester. Perous, Priester. Cyrus, Priester. Ammonius, Diakon. Ambytianus, Diakon. Makarius, Diakon. Gajus, Diakon. Pistus, Diakon. Alexander, Diakon. Athanasius, Diakon. Dionysius, Diakon. Eumenes, Diakon. Agathon, Diakon. Apollonius, Diakon. Polybius, Diakon. Olympius, Diakon. Markus, Diakon. Athanasius, Diakon. Comodus, Diakon. Makarius, Diakon. Sarapion, Diakon. Paulus, Diakon. Nilus, Diakon. Petrus, Diakon. Romanus, Diakon. Priester von Mareotis Ich Priester Apollonius stimme diesen Schreiben bei, so wie der Absetzung des Arius und der Genossen seiner Gottlosigkeit. Jngenius, Priester. Serenus, Priester. Ammonius, Priester. Didymus, Priester. Dioskorus, Priester. Herakles, Priester. Sostras, Priester. Boccon, Priester. Theon, Priester. Agathus, Priester. Thyrannus, Priester. Achillas, Priester. Copres, Priester. Paulus, Priester. Ammonas, Priester. Thaleläus, Priester. Orion, Priester. Dionysius, Priester. Sarapion, Diakon. Didymus, Diakon. Justus, Diakon. Ptollarion, Diakon. Didymus, Diakon. Seras, Diakon. Demetrius, Diakon. Gajus, Diakon. Maurus, Diakon. Hierax, Diakon. Alexander, Diakon. Markus, Diakon. Comon, Diakon. Sarmaton, Diakon. Tryphon, Diakon. Carpon, Diakon. Amonius, Diakon. Zoilus, Diakon. Kor. Vl, Psalm. XLIV, Ioh. XIV, Das heißt: In mir, dem Abglanze seiner Herrlichkeit und dem Ebenbilde seines Wesens sind alle seine Eigenschaften vereinbart. In mir siehst du also die Gottheit, welche du zu sehen wünschest. Malach. IIl, Sprüch. XVlll",244,de
Athanasius_von_Alexandria_Des_hl__Athanasius_Schutzschri_1,Athanasius von Alexandria,Des hl. Athanasius Schutzschrift an Kaiser Constantius,1,"Des hl. Athanasius Schutzschrift an Kaiser Constantius (Apologia ad Constantium) Da ich weiß, daß Du schon seit vielen Jahren Christ bist und die Frömmigkeit von Deinen Vorfahren ererbt hast, so gehe ich jetzt guten Muthes an meine Vertheidigung. Indem ich mich nämlich der Worte des seligen Paulus bediene,1 mache ich ihn zu meinem Fürsprecher bei Dir. Denn ich weiß, daß er ein Verkünder der Wahrheit ist, Du aber, gottesfürchtiger Augustus, seine Worte gerne vernimmst. Was nun die kirchlichen Angelegenheiten und die gegen mich geschmiedeten Ränke anbelangt, so genügen die Beschlüsse so vieler Bischöfe, um Deiner Frömmigkeit davon Zeugniß zu geben. Auch reicht die Reue des Ursacius und Valens hin, um Alle zu überzeugen, daß Nichts von dem, was sie gegen uns vorbrachten, auf Wahrheit beruhte. Denn könnte sonst Jemand ein so kräftiges Zeugnis geben, als Diese schriftlich niedergelegt haben. „Wir logen, wir erdichteten, und alle Anschuldigungen gegen Athanasius strotzen von Verleumdung. “ Zu diesem offenen Beweis kommt noch, wenn Du es noch vernehmen willst, daß die Ankläger in unserer Gegenwart gegen den Priester Makarius keinen Beweis führten, in unserer Abwesenheit aber für sich allein thaten, was ihnen beliebte. Ein solches Verfahren aber hat zunächst nach dem göttlichen Gesetze, dann aber auch nach unsern Gesetzen keine Giltigkeit. Daraus kannst Du überzeugt sein, daß Deine wahrheitsliebende und gottesfürchtige Gewissenhaftigkeit uns von jedem Verdachte frei finden und unsere Gegner als Verleumder erklären wird. [Forts. v. ] Was aber die Verleumdung betrifft, die bei Deiner Menschenfreundlichkeit wegen des gottesfürchtigen Kaisers, Deines Bruders Constans seligen und ewigen Andenkens, gegen mich gerichtet wurde, — denn das verbreiten die Feinde und haben es sogar zu schreiben gewagt, — genügt das Frühere zum Beweise, daß auch das nicht wahr sei. Denn wenn es andere Menschen wären, die das sagen, so könnte die Sache in Untersuchung gezogen werden, und es wäre ein umständlicher Beweis und eine augenscheinliche Überführung nöthig. Wenn aber die, welche das Erste erdichtet, auch Dieß zusammengesetzt haben, wie geht nicht aus Jenem hervor, daß auch Dieß erdichtet sei. Deßhalb sagen sie Dir Dieß wieder* insgeheim*, weil sie glauben, Deine Gottesfurcht hintergehen zu können. Aber sie täuschen sich. Denn nicht, wie sie wollen, hörst Du sie, sondern Du hast in Deiner Geduld auch uns die Vertheidigung gestattet. Denn daß Du nicht plötzlich in Flammen geriethest und Strafe verhängtest, ging auf nichts Anderes hinaus, als daß Du als gerechter Herrscher auch die Vertheidigung des Angeklagten abwarten wolltest.",399,de
Athanasius_von_Alexandria_Des_hl__Athanasius_Schutzschri_2,Athanasius von Alexandria,Des hl. Athanasius Schutzschrift an Kaiser Constantius,2,"Wenn Du Dich herablässest, diese anzuhören, so hoffe ich zuversichtlich, daß Du auch hierin sie tadeln wirst als verwegene Menschen, die Gott nicht fürchten, welcher befiehlt, daß man den König nicht anlügch schäme mich nun fürwahr, mich wegen solcher Punkte zu vertheidigen, die, wie ich glaube, nicht einmal der Ankläger in unserer Gegenwart erwähnen würde. Denn er weiß ganz gut, daß er lügt, und daß ich weder wahnsinnig bin, noch den Verstand verloren habe, so daß man muthmaßen könnte, ich hätte so Etwas auch nur gedacht. Deßhalb würde ich auch sonst Niemandem auf gestellte Frage antworten, damit nicht, die mich anhören, während der Zeit der Vertheidigung in Ungewißheit schweben. Vor Deiner Gottesfurcht aber vertheidige ich mich mit lauter und deutlicher Stimme und ausgestreckter Hand, wie ich es vom Apostel gelernt habe: „Ich rufe Gott zum Zeugen an auf meine Seele,“2 und wie in den Büchern der Könige geschrieben steht: „Zeuge ist der Herr, und Zeuge sein Gesalbter,“3 so gestatte auch mir zu sagen: Ich habe niemals über Deine Gottesfurcht ein schlimmes Wort bei Deinem Bruder Constans seligen Andenkens, dem gottesfürchtigen Kaiser, gesprochen. Ich habe ihn nicht aufgestachelt, wie Diese mich verleumdet haben. Vielmehr, wenn er einmal, da wir zu ihm kamen, Deiner Menschenfreundlichkeit Erwähnung that, — und er that Erwähnung, als Thalassus nach Pitybion kam und wir in Aquileja verweilten, — so sei der Herr mein Zeuge, wie ich Deiner Gottesfurcht erwähnte und so über Dich redete, wie der Herr es Deiner Seele offenbaren möge, damit Du Dich von der Ränkesucht meiner Verleumder überzeugest. Gestatte mir, menschenfreundlicher Kaiser, Dieß zu sagen, und gewähre mir großmüthige Nachsicht. Nicht hat jener Freund Christi sich so viel vergeben, noch war ich ein so bedeutender Mann, daß wir über solche Dinge mit einander Rücksprache nahmen, oder daß ich den Bruder beim Bruder hätte anschwärzen, oder vor dem Kaiser hätte des Kaisers in ungünstigem Sinne gedenken sollen. Ich bin nicht wahnsinnig, o Kaiser, und ich vergesse nicht des göttlichen Ausspruches, welcher lautet: „Und in deinem Gewissen verfluche den König nicht, und in den Räumen deines Schlafgemaches verfluche den Reichen nicht. Denn ein Vogel des Himmels wird dein Wort weiter tragen, und das beflügelte Thier deine Rede verkünden. “4 Wenn aber sich nicht verbergen läßt, was man insgeheim gegen euch Könige spricht, wie ist es glaubwürdig, daß ich vor dem Kaiser und vielen Anwesenden gegen Dich gesprochen habe.",392,de
Athanasius_von_Alexandria_Des_hl__Athanasius_Schutzschri_3,Athanasius von Alexandria,Des hl. Athanasius Schutzschrift an Kaiser Constantius,3,"Denn niemals habe ich Deinen Bruder allein gesehen, noch hat dieser jemals mit mir allein verkehrt, sondern immer kam ich in Begleitung des Bischofs der Stadt, wo ich war, und Anderer, die dort sich ausserdem aufhielten, zu ihm, und wir sahen ihn gemeinschaftlich und gingen mit einander wieder zurück. Es kann Dieß Fortunatian, der Bischof von Aquileja, bezeugen. Auch der Vater Hosius kann es bestätigen, ebenso Crispinus, der Bischof von Patavium, Lucillus in Beroni, Dionysius in Leis, der Bischof Vincentius in Campanien, und da Maximin von Trier und Protasius von Mailand gestorben sind, kann der damalige Magister5 Eugenius Zeugniß geben. Denn dieser stand an der Schwelle und vernahm, um was wir ihn baten, und was er uns zu erwidern geruhte. Obschon nun das ein genügender Beweis ist, so gestatte mir gleichwohl, daß ich Dir den Zweck meiner Reise auseinandersetze, damit Du auch daraus die kennen lernst, so uns leichtfertig verleumden. Ich verfügte mich von Alexandria nicht ins Lager Deines Bruders oder sonst zu Jemand, sondern ich reiste nur nach Rom, und indem ich meine Sache der Kirche anvertraute, — denn das war meine einzige Sorge, — wohnte ich den Versammlungen bei. An Deinen Bruder schrieb ich nur, als die Anhänger des Eusebius ihm gegen mich geschrieben hatten und ich, da ich noch in Alexandria war, mich vertheidigen mußte, und als er mir auftrug, ihm Abschriften der heiligen Schrift zu verschaffen, fertigte ich solche an und schickte sie ihm; denn ich muß in meiner Vertheidigung Deiner Gottesfurcht gegenüber die Wahrheit sagen. Nach Verlauf von drei Jahren schreibt er mir nun im vierten Jahre und ladet mich ein, zu ihm zu kommen. Er war aber in Mailand. Und als ich um die Ursache fragte, — denn ich kannte sie nicht, der Herr sei mein Zeuge, — da erfuhr ich, daß einige Bischöfe, die dahin gekommen seien, ihn angegangen hätten, sich schriftlich an Deine Gottesfurcht zu wenden, daß eine Synode veranstaltet würde. Glaube mir, Kaiser, so ist es geschehen, ich lüge nicht. Ich ging also nach Mailand und wurde von ihm sehr herablassend behandelt. Denn er gewährte mir Audienz und theilte mir mit, daß er in einem Schreiben an Dich den Wunsch nach Abhaltung einer Synode ausgedrückt habe. Da ich mich aber in der vorhin genannten Stadt befand, schickte er mich wieder nach Gallien. Denn dahin ging auch Vater Hosius, und wir sollten von dort nach Sardica reisen.",395,de
Athanasius_von_Alexandria_Des_hl__Athanasius_Schutzschri_4,Athanasius von Alexandria,Des hl. Athanasius Schutzschrift an Kaiser Constantius,4,"Als ich aber nach der Synode in Naissus6 weilte, schrieb er mir, und ich ging von da fort und hielt mich nunmehr in Aquileja auf. Dort erhielt ich das von Deiner Gottesfurcht an mich gerichtete Schreiben. Von da wurde ich von dem Manne seligen Andenkens wieder gerufen, und ich verfügte mich nach Gallien. Und von da reiste ich zu Deiner Gottesfurcht. Welches ist also der Ort und welches die Zeit, wo ich solche Reden geführt habe, wie sie der Ankläger mir zur Last legt. Oder in wessen Gegenwart habe ich so wahnsinnige Worte gesprochen, wie er sie mir in lügenhafter Weise unterschiebt. Oder was kann er gegen mich für einen Zeugen aufbringen. Denn was seine Augen gesehen haben, das muß er auch sagen, wie die heilige Schrift vorschreibt. 7 Er nun wird keinen Zeugen für das finden, was nicht stattgefunden hat. Ich aber habe zum Zeugen, daß ich nicht lüge, ausser der Wahrheit auch Deine Gottesfurcht. Denn da ich weiß, daß Du ein sehr gutes Gedächtniß hast, so ersuche ich Dich an die Worte zu denken, die ich sprach, als Du mir die Ehre gewährtest, vor Deinen Augen erscheinen zu dürfen, zuerst in Viminacium,8 dann zu Cäsarea in Kappadocien, und drittens in Antiochia, ob ich, wenn ich von den Anhängern des Eusebius Dir gegenüber sprach, die mir arg mitspielten, irgend Einen von denen anschwärzte, welche mir Unrecht zufügten. Wenn ich aber nicht einmal die anschwärzte, gegen die ich mich erklären mußte, hätte ich nicht wahnsinnig sein müssen, um einen Kaiser bei einem Kaiser anzuschwärzen und Brüder an einander zu hetzen. Laß daher, ich bitte, entweder in meiner persönlichen Gegenwart mich überführen, oder verurtheile die Verleumdungen und ahme den David nach, welcher sagt: „Den, der heimlich über seinen Nebenmenschen Übles sagte, verfolgte ich. “9 Denn so weit es von ihnen abhing, haben sie gemordet; denn „ein lügnerischer Mund tödtet die Seele. “10 Aber Deine Geduld hat den Ausschlag gegeben und mir die Rechtfertigung gestattet, damit sie als zanksüchtige und verleumderische Menschen erkannt werden können. Dieß über Deinen gottesfürchtigen Bruder seligen Andenkens. Denn Du kannst vermöge der Dir von Gott verliehenen Weisheit aus diesem Wenigen schon Vieles abnehmen und die Anklage als Erfindung erkennen. Was die zweite Verleumdung anbelangt, daß ich an den Tyrannen11 geschrieben habe, — denn seinen Namen will ich gar nicht nennen, — so bitte ich, laß untersuchen und nachforschen, wie Du willst, und durch wen es Dir beliebt.",400,de
