id,author,work_title,section,text,word_count,language
Augustinus_von_Hippo_Erstes_Schreiben_des_heiligen__1,Augustinus von Hippo,Erstes Schreiben des heiligen Hilarius an Konstantius Augustus.,1,"Erstes Schreiben des heiligen Hilarius an Konstantius Augustus. Erstes Hauptstück. Deine gütige Gemüthsart, seligster Herr Augustus. stimmt mit deiner wohlwollenden Gesinnung ganz überein. Und weil aus der Quelle deiner väterlichen Milde Barmherzigkeit in reichlichem Maße fließt; so hoffen wir vertrauensvoll, daß wir das, um was wir bitten, leicht erlangen können. Nicht allein mit Worten, sondern auch mit Thränen flehen wir, daß die katholischen Kirchen nicht mehr länger das drückendste Unrecht zu erdulden, und unerträgliche Verfolgungen und Schmähungen von unsern Brüdern1, was der großen Verruchtheit wegen unsäglich ist, zu leiden haben mögen. Deine Milde sorge dafür und beschließe, daß überall sämmtliche Richter, welchen die Verwaltungen der Provinzen anvertraut sind, und welchen nur die Besorgung und Schlichtung der Staatsangelegenheiten obliegen muß, der Aufsicht über die Religion sich enthalten, und daß sie sich in Zukunft nicht mehr auf eine anmaßende Weise das Recht aneignen sollten, über die Angelegenheiten der Geistlichen zu erkennen, und unschuldige Menschen durch mannigfaltige Drangsale, Drohungen, Gewaltthätigkeiten und Schrecken zn entmuthigen und zu quälen. Zweites Hauptstück. Deine ausgezeichnete und bewunderungswürdige Weisheit sieht wohl selbst ein, daß es sich nicht gezieme, daß es nicht erlaubt sey, Menschen, welche nicht wollen und sich dagegen sträuben, zu zwingen und zu nöthigen, daß sie sich, durch Gewalt unterdrückt, denen unterwerfen und hingeben, welche nicht aufhören, den verdorbenen Samen einer falschen Lehre auszustreuen. Dieß ist der Zweck, welchen ihr bei euern Bemühungen, und bei euerer Leitung des Staates nach heilsamen Entwürfen vor Augen habt, welchen ihr durch euere Wachsamkeit bei Tag und bei Nacht zu erreichen strebet, daß Allen, über welche ihr gebietet, der süße Genuß der Freiheit zu Theil werden möchte. Auf keine andere Weise kann das, was in Verwirrung gerathen ist, in Ordnung gebracht, und das, was auseinander gerissen ist, zusammengehalten werden; als wenn ein Jeder, durch keinen Zwang der Knechtschaft gebunden, völlige Freiheit zu leben hat. Gewiß muß die Stimme derjenigen von deiner Leutseligkeit erhört werden, welche laut rufend „Ich bin ein Ka- tholik, ich will kein Ketzer seyn; ich bin ein Christ, kein Arianer: und es ist besser für mich, in dieser Welt zu sterben, als durch die gebietende Macht irgend eines Privaten zur Verletzung der keuschen Jungfrauschaft der Wahrheit mich verleiten zu lassen. “ Und es muß deiner Gewissenhaftigkeit, ruhmvollster Augustus.",371,de
Augustinus_von_Hippo_Erstes_Schreiben_des_heiligen__2,Augustinus von Hippo,Erstes Schreiben des heiligen Hilarius an Konstantius Augustus.,2,"billig dünken, daß diejenigen, welche Gott den Herrn und das göttliche Gericht fürchten, nicht durch verabscheuungswerthe Lästerungen sich beflecken oder verunreinigen, sondern die Freiheit haben, jenen Bischöfen und geistlichen Vorgesetzten zu folgen, welche theils die Bande der Liebe unverletzt bewahren, theils fortwährenden und ungetrübten Frieden haben wollen. Denn es ist theils unmöglich, theils läßt es die Vernunft nicht zu, daß Widerstreitendes in Eintracht stehe, Ungleiches vereint, Wahres und Falsches mit einander vermischt, Licht und Finsterniß verbunden werde, dann auch Tag und Nacht irgend eine Verbindung haben. Wenn also, was wir ohne Bedenklichkeit hoffen und glauben, dieses deine dir nicht beigebrachte, sondern angeborne Güte rühret; so erlasse den Befehl, daß die Beamten der Orte nicht ihre Neigung, ihre Gunst und ihre Gnade den uns höchst lästigen Ketzern schenken sollen. Deine Milde erlaube den Völkern, diejenigen Lehrer, welche sie wünschen, welche sie für gut halten, welche sie auserwählen, anzuhören, der Feier der göttlichen Geheimnisse beizuwohnen, und für deine Erhaltung und Glückseligkeit Gebete darzubringen. Drittes Hauptstück. Es verbreite Niemand aus Verkehrtheit oder Haß boshafte Gerüchte; wahrlich, es ist nicht nur keine Empörung, sondern nicht einmal erbittertes Murren zu befürchten. Ueber- all herrscht Ruhe und Ehrfurcht. Und nun hören diejenigen, welche durch die verderbliche Lehre der Arianer angesteckt und verunreiniget sind, nicht auf, mit verruchtem Munde und irreligiösem Sinne die Reinheit der Evangelien zu verderben, und das wahre Glaubensbekenntniß der Apostel zu verfälschen. Sie verstehen die göttlichen Propheten nicht. Listig und verschmitzt gebrauchen sie einen Kunstgriff, diesen nämlich, daß sie die verhehlte gefährliche Ansteckung durch den Deckmantel ausgesuchter Worte verhüllen, und das verderbliche Gift nicht eher ausgießen, als bis sie unbefangene und schuldlose Menschen unter dem Vorwande des christlichen Namens ergriffen und verstrickt, und sie, damit nicht sie allein zu Grunde gehen, zu Mitschuldigen ihres schrecklichen Verbrechens gemacht haben. Viertes Hauptstück. Daher bitten wir dringend deine Milde, daß du diejenigen, welche noch (treffliche Priester nämlich, die diesen so wichtigen Namen mit Auszeichnung verdienen), entweder in der Verbannung oder in Wüsten schmachten, in ihre Sitze zurückkehren heißest, damit überall erfreuende Freiheit und heitere Fröhlichkeit herrsche. Fünftes Hauptstück. Wer sieht, wer erkennt es nicht.",348,de
Augustinus_von_Hippo_Erstes_Schreiben_des_heiligen__3,Augustinus von Hippo,Erstes Schreiben des heiligen Hilarius an Konstantius Augustus.,3,"Nach fast vierhundert Jahren, nachdem der eingeborne Sohn Gottes sich herabgelassen hat, dem zu Grunde gehenden Menschengeschlechte zu Hülfe zu kommen, hat sich, als wären zuvor keine Apo- stel, und nach ihrem Martyrtode und Hinscheiden keine Christen gewesen, jetzt diese neue und höchst garstige Seuche, nicht durch eine verpestete Luft, sondern durch abscheuliche Gotteslästerer, nämlich der Arianismus, verbreitet. Haben also die, welche vorher geglaubt haben, eine vergebliche Hoffnung auf Unsterblichkeit gehegt. Erst vor Kurzem erfuhren wir, daß diese Erdichtungen theils von den beiden Eusebius2, theils von Narcissus3, theils von Theodorus4, theils von Stephanus, theils von Acacius5, theils von Menophantus6, und von den unwissenden und boshaften zwei Jungen, Ursacius7 und Valens ersonnen worden seyen, deren Briefe vorgezeigt und auch durch trifftige Zeugen widerlegt werden, welche dieselben mehr bellen, als ihre Ansichten erörtern gehört haben. Diejenigen, welche mit diesen unkluger und unvorsichtiger Weise Gemeinschaft machen, müssen, weil die Genossen der Laster auch Mitgenossen der Verbrechen werden, nothwendig auch, da sie schon in diesem Leben verstoßen und verworfen sind, wenn der Tag des Gerichtes kommt, ewige Strafen leiden. Sechstes Hauptstück. Es ist also Niemanden mehr zweifelhaft, welche Sorge8 jene heiligen Männer zur Freisprechung des Athanasius übernommen haben; so daß es nach den Aussprüchen der Synode, welche gemäß der Ehrwürdigkeit des priesterlichen Urtheiles mit priesterlicher oder kirchlicher Gewissenhaftigkeit abgefaßt seyn mußten, nöthig war, an den Herrscher zu schreiben und eine Gesandtschaft abzuordnen. Aber um was anders flehen sie in diesem Schreiben, als um freie Ausübung des Glaubens, und um Abwendung der Ansteckung durch die arianische Lehre, und um was anders bitten sie, als darum, daß man mit dem Verfahren durch Bande, Kerker, Richterstühle, mit jener ganzen grausamen Behandlung, und mit den neuen Foltern auch gegen Angeklagte einhalten möchte. Gott hat die Kenntniß von ihm mehr gelehrt, als gefordert; und indem er seinen Vorschriften durch wundervolle himmlische Wirkungen Ansehen verschaffte, verschmähte er es, den Willen zu zwingen, ihn zu bekennen. Wenn zum wahren Glauben solche Gewalt nöthigen würde, so würde die bischöfliche Lehre einschreiten, und sagen: Gott ist der Herr des Weltalls, er bedarf keines gezwungenen Gehorsames, er fordert kein gezwungenes Bekenntniß. Nicht täuschen muß man ihn, sondern sich seiner würdig machen. Unsertwegen vielmehr, nicht seinetwegen müssen wir ihn verehren. Ich kann nur den, welcher will, aufnehmen, nur den, welcher bittet, anhören, nur den, welcher bekennt, bezeichnen.",382,de
Augustinus_von_Hippo_Erstes_Schreiben_des_heiligen__4,Augustinus von Hippo,Erstes Schreiben des heiligen Hilarius an Konstantius Augustus.,4,"Er muß mit Unbefangenheit gesucht, durch Bekenntniß kennen gelernt, mit Liebe geliebt, mit Furcht verehrt, mit Frömmigkeit der Gesinnung bewahrt werden. Aber was ist denn dieß, daß die Priester durch Fesseln gezwungen werden, unter Qualen den Befehl erhalten, Gott zu fürchten. Priester werden in Gefängnissen eingeschlossen, das Volk wird in geketteter Reihe gefesselt eingesperrt, Jungfrauen werden zur Qual entblößt, und die Gott geheiligten Leiber zur öffentlichen Schau ausgestellt, und zum Genusse der Schaulust und zur Folter gebraucht. Sie zwingen sie nämlich nicht dazu, daß alle Christen, sondern dazu, daß sie Arianer seyn sollen; sie nöthigen die Bekenner des Glaubens an Gott auf eine verbrecherische Weise zur Theilnahme an ihrer Sündhaftigkeit. Ja sie verleiten durch das Ansehen ihres Namens selbst den Kaiser zu einem Irrthume, indem sie es für Recht ausgeben, daß sie unter dem Scheine von Gottesfurcht in dieser Verkehrtheit Untergebene sich verschaffen. Sie fordern peinliche Untersuchungen, sie verlangen die Hülfe der Gerichte, sie rufen die Gewalt und das Ansehen des Regenten an. Sie schämen sich nicht der Verkehrtheit ihrer verbrecherischen Gesinnungen, und konnten bisher nicht einmal durch das angemaßte Recht des Zwanges die Beistimmung des Volkes erzwingen. Siebentes Hauptstück. Würden diese Dinge aus alten Papieren an das Licht gebracht, und würden sie unserm jetzigen Zeitalter berichtet, so hätte man, wie ich glaube, über wichtige Sachen bedenkliche Zweifel erheben müssen. Und wenn von andern, den nächsten besten, gefordert würde, einen als schuldig zu erklären; so würde man die Glaubwürdigkeit der Schriften, das Leben der Richter, die Zuverläßigkeit der Ankläger, ja auch den Charakter und die Handlungen des Mannes selbst untersuchen. Denn seine Lossprechung würde schon durch die gemeinschaftliche Verdammung der Arianer bewirkt werden; und es wäre mit großer Gefahr verbunden, das Gericht aufzulösen, ohne zugleich die Untersuchung der Schuld und der Unschuld wieder aufzunehmen; und zum Behufe seiner Vertheidigung würde ihm nebst der Lehre des Glaubens das ganze Ansehen des Alterthumes zur Seite stehen. Aber da jetzt diejenigen selbst, welche damals als arianische Ketzer verdammt wurden, die Sache betreiben, Alles in Verwirrung setzen, und auf Alle durch Macht und Bestechung einen verderblichen Einfluß üben, und da, wenn Athanasius schul- dig gewesen ist9, er noch schuldig seyn kann; so mögen die Zeugen sprechen, so mögen die Richter erwägen, es möge die Lehre des Glaubens mit ihrem aus den Vorschriften der Evangelien und der Apostel geschöpften Lichte strahlen. Welche Blindheit des Verstandes ist es. Welche Stumpfheit des Sinnes. Welche Vergessenheit der Hoffnung.",400,de
Augustinus_von_Hippo_Erstes_Schreiben_des_heiligen__5,Augustinus von Hippo,Erstes Schreiben des heiligen Hilarius an Konstantius Augustus.,5,"Welche Liebe zu Verbrechen. Welcher Haß gegen die Wahrheit. Zur Begünstigung der Verdammten wenden sie die Liebe gegen Gott an. Achtes Hauptstück. Ich komme nun auf das, was sich erst neulich ereignet hat, wobei es die verbrecherische Sekte sogar verschmähte, ihre boshaften Kniffe zu verheimlichen. Der Bischof Eusebius von Vercella ist ein Mann, welcher in seinem ganzen Leben Gott diente. An diesen erging nach der Synode zu Arelate, da der Bischof Paulinus den so großen Verbrechen derselben entgegengetreten war, der Befehl, nach Mediolanum (Mailand) zu kommen. Dort war bereits die Rotte der Bösgesinnten versammelt, und ihm wurde zehn Tage hindurch verboten, in die Versammlung zu gehen, bis sich endlich die verkehrte Bosheit gegen den so heiligen Mann erschöpfte. Dann wurde er zu allen vereiterten Versammlungen, zu welchen er wollte, gerufen. Er erschien zugleich mit dem römischen Klerus, und dem Lucifer, dem Bischofe von Sardinien. Als man in ihn drang, daß er gegen den Athanasius unterzeichnen sollte, sprach er: „Man müsse zuvor hinsichtlich des Glaubens der Priester gewiß seyn; ihm seyen einige von denen, welche zugegen wären, als solche bekannt, welche von Irrlehren befleckt seyen. “ Er legte die Glaubenserklärung von Nicäa vor, wovon wir oben10 Meldung gethan haben, und versprach, alles zu thun, was sie forderten, wenn sie das Glaubensbekenntniß unterschrieben haben würden. Dionysius, Bischof von Mailand, nahm das Papier zuerst; als er schriftlich das Bekenntniß abzulegen begann, riß ihm Valens die Feder und das Papier gewaltsam aus den Händen, und schrie, es wäre nicht möglich, daß von nun an etwas verhandelt würde. Die Sache, gelangte nach vielem Lärm zur Kenntniß des Volkes; bei Allen, entstand große Trauer; der Glaube ward von Priestern bekämpft. Weil nun jene das Urtheil des Volkes fürchteten, begaben sie sich aus der Kirche zu dem Palaste. Was für ein Urtheil sie gegen den Eusebius lange vorher, ehe er in die Versammlung trat, verfaßt haben, sagt das Urtheil selbst von sich aus. Hilarius versagt den Arianern, obwohl sie grausam gegen die Katholiken wütheten, die Benennung „Brüder“ nicht; auf dieselbe Weise sagt Gregorius Naz. Rede 33, Kap. 17: „Brüder nenne ich euch noch, obwohl ihr eine wenig brüderliche Gesinnung gegen uns heget. “ Nämlich Eusebius von Nicomedia, und Eusebius von Cäsarea. Von ihnen schreibt Athanasius in dem Buche „über die Synoden:“ „Eusebius von Nicomedia hat den Arius hoch gepriesen, und gesagt: Wenn du klug bist, so wünsche, daß Alle so denken.",394,de
Augustinus_von_Hippo_Erstes_Schreiben_des_heiligen__6,Augustinus von Hippo,Erstes Schreiben des heiligen Hilarius an Konstantius Augustus.,6,"Auch Eusebius aus Cäsarea in Palästina hat sich in dem Schreiben an den Bischof Euphratio nicht gescheut, offen zu sagen, Christus sey nicht wahrer Gott. So nennt auch der heilige Hieronymus im Briefe an Pammachus und Ocean den Eusebius von Cäsarea den offenbarsten Verfechter der Gottlosigkeit des Arius. Narcissus lebte um die Mitte des vierten Jahrhunderts in Cilicien zu Jeronopolis, wo er Bischof war, er war der eifrigste Vertheidiger des Arianismus, und bot beim Kaiser Konstantin Alles auf, daß die Verdammung des heiligen Athanasius von Seite der Arianer, vom Kaiser bestätiget wurde. Als man aber die Treulosigkeit und den Unglauben des Narcissus auf der Synode zu Sardica erkannte, wurde er seines Bisthumes entsetzt. Sieh Niceph. Buch IX, Hptst. Die meisten Handschriften lesen Theodotus; und ihnen stimmt auch Athanasius im Buche über die Synoden bei, und selbst Arius zählt ihn in dem Briefe an Eusebius von Nikomedia unter seine Anhänger, unter dem Namen „Theodotus von Laodicäa. ” Doch wollten wir die Lesart: Theodorus, beibehalten, weil sie aus dem Schreiben aus Sardika hervorgeht, wo Theodorus gelesen wird; so wie auch in dem dem Hilarius unterschobenen Fragmente II. § Eben so lesen wir auch bei Sulpicius Severus, der dem Hilarius genau folgt, „Theodorus von Heraklia” (ab Heraclia Theodorum. ) Acacius, Nachfolger des Eusebius Pamphilus in der Bischofswürde zu Cäsarea 333, ein zu seiner Zeit, nach dem Zeugnisse des Sozomenus, gelehrter Mann, und eifriger Verfechter des Semiarianismus. Er lebte in steter Feindschaft gegen Cyrillus, den Bischof von Jerusalem, und trachtete ihn zu verdrängen. Er war streitsüchtig und stand unter dem Schutze des Kaisers Konstantin. Auf sein Anstiften wurde der Pabst Liberius verbannt, und Felix als Gegenpabst bestätiget, Er bekannte auf mehrern Koncilien den Arianismus, und schrieb mehrere Werke in dem Sinne seiner Irrlehre. Menophantus, Bischof von Ephesus, war einer von denen, die den Aussprüchen und Beschlüssen des Konciliums von Nicäa sich widersetzten, und die Lehre des Arius billigten, und die Konsubstantialität (gleiche Wesenheit, Ὁμοουσία) des Sohnes mit dem Vater läugneten. Er wurde auch in der Synode zu Sardika verdammt, und seiner bischöflichen Würde entsetzt. Sieh Niceph. VIII. Buch, Hptstk. Ursacius, Bischof von Siegidonum, und Valens, Bischof von Mursia, wurden schon in der Synode zu Sardika verdammt. Diese Sorge übernahmen die zu Sardica versammelten Bischöfe, welche von ihren Verhandlungen sogleich die Kaiser schriftlich in Kenntniß setzten; und nachher sandte Konstans zwei aus ihnen mit einem Schreiben an seinen Bruder Konstantius.",395,de
Augustinus_von_Hippo_Erstes_Schreiben_des_heiligen__7,Augustinus von Hippo,Erstes Schreiben des heiligen Hilarius an Konstantius Augustus.,7,"Athanasius wurde vor dem zu Sardika gehaltenen Koncilium für schuldig, in diesem aber für unschuldig erklärt, so daß mit seiner Lossprechung auch die Verdammung der Arianer verbunden war. Der Theil, in welchem hievon Meldung gethan wurde, ist verloren gegangen.",39,de
Augustinus_von_Hippo_Zweites_Schreiben_des_heiligen_1,Augustinus von Hippo,Zweites Schreiben des heiligen Hilarius an Konstantius Augustus.,1,"Zweites Schreiben des heiligen Hilarius an Konstantius Augustus. Erstes Hauptstück. Ich weiß gar wohl, frömmster Kaiser. daß das, was über manche Angelegenheiten zur öffentlichen Kenntniß gelangt, nach der Würde derer, welche es vorbringen, entweder für wichtig, oder für unbedeutend angesehen zu werden pflegt; da bei den verschiedenen Meinungen die Verachtung oder die Begünstigung eines Mannes auf die wankende Gemüthsstimmung hinsichtlich der Geneigtheit, ihm Gehör zu geben, großen Einfluß hat. Aber ich, der ich über eine göttliche Angelegenheit bei dir Religiöses vortragen werde, habe die Besorgniß nicht, welche man sonst zu haben pflegt; weil, da du gut und gewissenhaft bist, bei Männern, welche der Religionen kundig sind, eine Beurtheilung wohl nicht fehlerhafter Weise über das, was man von Jemanden hört, sondern darüber, ob das, was man hört, religiös sey, entscheiden dürfte. Und weil mir von Gott die günstige Ge- legenheit, vor dir zu erscheinen1, gewährt worden ist, so hat auch hierin mein gewissenhaftes Pflichtgefühl zu verhindern nicht unterlassen, daß gegen den Vortrag, welchen ich vor dir über die Religion halte, etwa irgend etwas Unangemessenes von Seite dessen, welcher mit dir spricht, verstoße. Zweites Hauptstück. Ich bin Bischof, verbleibe in dem Verbande mit allen gallischen Kirchen und Bischöfen, wenn auch in der Verbannung, und ertheile der Gemeinde noch durch meine Priester die Kommunion. Ich bin aber nicht eines Verbrechens wegen, sondern durch Partheihaß verbannt; und bin bei dir, frommer Kaiser, durch falsche Berichte der Synode, nicht wegen Verbrechen, von welchen man etwa Kenntniß gehabt hätte, durch gottlose Menschen angeklagt worden. Ich habe für die Wahrheit meiner Klage einen sehr gewichtvollen Zeugen, nämlich meinen gewissenhaften Herrn, deinen Cäsar Iulianus2, welcher während meiner Verbannung von den Boshaften mehr Schmach, als ich Unbilden, ertragen hat. Denn vorhanden sind euere gütigen Schreiben; nicht unbekannt aber sind alle ihre Ränke, welche sie zur Bewirkung meiner Verbannung geschmiedet haben. Ja selbst der Leiter oder Urheber alles Geschehenen ist in dieser Stadt. Im Vertrauen auf diese Reinheit meines Gewissens werde ich aufdecken, daß du, Augustus, betrogen wurdest, und daß dein Cäsar getäuscht wurde, mit der Erklärung, daß ich, eine nicht nur der Heiligkeit eines Bischofs, sondern auch der Rechtschaffenheit eines Laien unangemessene Wandlung von mir nachweisen kann, nicht mehr durch Nachsicht das Priesteramt erwarten, sondern in der Buße eines Laien ergrauen will. Drittes Hauptstück. Dieses aber, o gnädigster Kaiser.",380,de
Augustinus_von_Hippo_Zweites_Schreiben_des_heiligen_2,Augustinus von Hippo,Zweites Schreiben des heiligen Hilarius an Konstantius Augustus.,2,"überlasse ich nun deinem Gutdünken, in wie fern und wie du mich sprechen lassen willst, und ich das, worüber ich hauptsächlich mit dir zu dieser Zeit zu sprechen wünsche vortragen soll. Du wirst wenigstens für die Gegenwart die nöthige Einleitung dazu treffen, daß ich den, auf dessen Betreiben ich verbannt bin, da er anwesend ist, zu dem Geständnisse der Ränke, welche er sich erlaubt hat, bringe. Aber ich werde nichts davon reden, ausser wenn Du es befiehlst. Ich spreche aber jetzt, weil ich Furcht hege wegen der Gefahr der Welt, wegen der Schuld meines Stillschweigens, und wegen des Gerichtes Gottes; weil ich Sorge trage für die Hoffnung, für das Leben, und nicht sowohl für meine, als für deine Unsterblichkeit, und für die Unsterblichkeit Aller. Und weil ich diese Sorge mit sehr vielen gemein habe, so ist auch meine Erwartung mit ihrer gemeinsamen Hoffnung verbunden. Viertes Hauptstück. Lerne das Glaubensbekenntnis kennen, welches du schon lange, bester und frömmster Kaiser. von den Bischöfen zu hören wünschest, und nicht hörst. Denn da diejenigen, von welchem es gefordert wird, das Ihrige niederzuschreiben, und nicht das, was Gottes Lehre ist, kund thun; haben sie einen ewigen Kreis, von Irrthum und immer in sich wiederkehrendem Streite gezogen. Denn die Bescheidenheit der menschlichen Schwäche hätte das ganze Geheimnis der göttlichen Erkenntniß nur mit jenen Grenzen ihres Wissens umfassen, mit welchen sie geglaubt hat, und nicht nach der bei der Taufe eingetretenen Bekennung und Beschwörung des Glaubens „im Namen des Vaters, und des Sohnes, und des heiligen Geistes,“ etwas anders entweder bezweifeln oder erneuern sollen. Aber Einige haben entweder aus Anmaßung, oder aus Leichtfertigkeit oder aus Irrthum die unveränderlichen Bestimmungen der apostlischen Lehre theils arglistig dargestellt, theils frech überschritten; indem sie im Bekenntnisse des Vaters und des Sohnes und des heiligen Geistes die wahre natürliche Bedeutung verfälschen, damit der Sinn das nicht behalten möchte, was bei dem Geheimnisse der Wiedergeburt bekannt werden muß. Daher ist nach der Ansicht gewisser Menschen weder der Vater Vater, noch der Sohn Sohn, noch der heilige Geist heiliger Geist. Und bei dem Drange dieser Gelegenheit hat sich, als wenn sie zu billigen wäre, seitdem der Gebrauch den Glauben niederzuschreiben und zu erneuern, festgesetzt.",360,de
Augustinus_von_Hippo_Zweites_Schreiben_des_heiligen_3,Augustinus von Hippo,Zweites Schreiben des heiligen Hilarius an Konstantius Augustus.,3,"Dieser hat dann, nachdem er angefangen, vielmehr Neues zu bilden, als das, Empfangene beizubehalten, weder das Alte vertheidiget, noch das Neue bekräftiget; und so entstand mehr ein Glaube der Zeiten, als der Evangelien; indem er nach Jahren niedergeschrieben, und nicht dem bei der Taufe abgelegten Bekenntnisse gemäß festgehalten wird. Sehr gefährlich ist es für uns und auch sogar beklagenswerth ist es, daß es jetzt so viele Glauben gibt, als Willensmeinungen; und daß wir so viele Lehren haben, als Sitten, und daß so viele Ursachen von Gotteslästerungen um sich greifen, als es Laster gibt; indem entweder die Glauben so niedergeschrieben werden, wie wir wollen, oder so verstanden werden, wie wir nicht wollen. Und da, wie Ein Gott und Ein Herr und Eine Taufe, so auch Ein Glaube ist, weichen wir von jenem Glauben ab, welcher der einzige ist; und da mehrere entstehen, fangen sie an, dazu da zu seyn, damit es keinen gebe. Fünftes Hauptstück. Denn wir sind uns gegenseitig bewußt, daß seit der Synode der nicäischen Versammlung, nichts anders, als der Glaube, niedergeschrieben werde. Während über Worte gestritten, während über die Neuerungen Untersuchung gepflogen, während über Zweideutigkeiten zu sprechen Gelegenheit dargeboten, während über die Urheber3 Klage erhoben, während über die Ansichten Streit erregt, während die Uebereinstimmung erschwert wird, während Einer dem Andern verflucht zu seyn anfängt; gehört fast Niemand mehr Christo an. Denn wir schwanken, von dem unsichern Winde der Lehren getrieben, umher, und verwirren, wenn wir lehren, oder irren, wenn wir belehrt werden. Welche Veränderungen faßt nicht der Glaube4 auch nur vom letzten Jahre in sich. Erstens der Glaube, welcher beschließt, daß man von dem Homousion schweigen sollte; zweitens wieder der, welcher das Homousion5 ausspricht und verkündiget; dann drittens der, welcher die von den Vätern einfach angenommene Usia aus Nachsicht entschuldiget; und endlich viertens der, welcher nicht entschuldiget, sondern verdammt. Und wie weit ging man endlich, so daß weder bei uns, noch bei Jemandem vor uns von nun an Etwas heilig und unverletzt bleibt. Was aber die Gleichheit Gottes des Sohnes mit Gott dem Vater betrifft, so setzen wir durch unsere Glaubensbekenntnisse, wenn unsere erbärmliche Zeit ja noch einen Glauben hat, daß er entweder nicht ganz, oder theilweise gleich sey, nämlich wir trefflichen Schiedsrichter über die himmlischen Sakramente, und Durchforscher der unsichtbaren Geheimnisse den Glauben, an Gott herab.",379,de
