id,author,work_title,section,text,word_count,language
Clemens_von_Rom_Erster_Brief_an_die_Korinther_1,Clemens von Rom,Erster Brief an die Korinther,1,"Erster Brief des Klemens an die Korinther Die Kirche Gottes, die zu Rom in der Fremde lebt, an die Kirche Gottes, die zu Korinth in der Fremde lebt, den Berufenen, nach dem Willen Gottes durch unseren Herrn Jesus Christus Geheiligten, Gnade sei euch und Friede in reicher Fülle von dem allmächtigen Gott durch Jesus Christus. Kap. Der gute Stand der Korinthergemeinde vor dem Streit. Wegen der plötzlichen und einander nachfolgenden Drangsale und Leiden bei uns, Brüder, glauben wir, etwas lässig sein zu dürfen, bis wir unsere Aufmerksamkeit den bei euch lebhaft verhandelten Dingen zuwendeten; wir meinen, Geliebte, den für die Auserwählten Gottes unpassenden und fremdartigen, den ruchlosen und unseligen Streit, den einige wenige hitzige und verwegene Leute, die da sind, bis zu einem solchen Grade von Unverstand angefacht haben, dass euer ehrwürdiger, hochgerühmter und bei allen Menschen beliebter Name in hohem Grade beschimpft wurde. Denn wer ist bei euch eingekehrt und hätte nicht euren tüchtigen und festen Glauben gerühmt. Wer hätte nicht eure besonnene und geziemende Frömmigkeit in Christus bewundert. Wer hätte nicht die großartige Weise eurer Gastfreundschaft verkündet. Wer nicht eure vollkommene und zuverlässige Erkenntnis gerühmt. Denn ohne Ansehen der Person tatet ihr alles und nach den Gesetzen des Herrn war euer Wandel, da ihr untertänig waret euren Vorgesetzten und die geziemende Ehrfurcht euren Priestern erzeigtet; die Jungen wieset ihr an, eine gemäßigte und heilige Gesinnung zu hegen, den Frauen befahlet ihr, alles in einem tadellosen, heiligen und reinen Gewissen zu tun und ihre Männer in der richtigen Weise zu lieben; auch lehrtet ihr sie, in den Schranken der Unterwürfigkeit sich zu halten und das Hauswesen würdevoll zu besorgen und sich in jeglicher Hinsicht verständig zu benehmen. Kap. Friede der Korinther; ihr Eifer im Guten. Alle waret ihr demütiger Gesinnung, fern jeder Überhebung, lieber Untergebene als Gebieter, freudiger zum Geben als zum Nehmen1; ihr waret zufrieden mit den Gütern, die Christus für den Lebensweg euch gab und auf sie bedacht; seine Worte habt ihr gar sorgfältig eingeschlossen in euer Inneres (Herz), und seine Leiden standen euch vor Augen. So war allen ein tiefer und gedeihlicher Friede beschieden und ein unstillbares Verlangen, Gutes zu tun, und in vollen Strömen ergoss sich der Heilige Geist über (euch) alle.",367,de
Clemens_von_Rom_Erster_Brief_an_die_Korinther_2,Clemens von Rom,Erster Brief an die Korinther,2,"Voll heiligen Eifers habt ihr in guter Absicht mit frommem Vertrauen eure Hände ausgestreckt zu dem allmächtigen Gotte und ihn angefleht, er möge euch gnädig sein, wenn ihr wider Willen einen Fehler begangen hattet. Ein Wetteifer war unter euch Tag und Nacht zum Frommen der ganzen Gemeinde von Brüdern, auf dass mit Erbarmen und Gewissenhaftigkeit die Zahl seiner Auserwählten gerettet werdhr waret aufrichtig und arglos und truget einander Schlimmes nicht nach. Jeder Streit und jede Spaltung war euch ein Gräuel. Über die Fehltritte des Nächsten empfandet ihr Schmerz; seine Sünden sahet ihr an als eure eigenen. Keine gute Tat hat euch gereut, „zu jedem guten Werke waret ihr bereit"" Geschmückt durch einen ganz tugendhaften und ehrwürdigen Wandel, vollbrachtet ihr alles in seiner (= des Herrn) Furcht; die Gebote und Satzungen des Herrn waren eingeschrieben auf die Wände eures Herzens. Kap. Veränderung durch den Streit. Jeglicher Ruhm und volles Gedeihen ward euch zuteil, und es hat sich erfüllet das Wort der Schrift: „Er aß und trank, wurde dick und fett, da schlug er aus, der Geliebte“ Daher kommt Eifersucht und Neid, Streit und Aufruhr, Verfolgung und Unordnung, Krieg und Gefangenschaft. So erhoben sich die Unbeachteten gegen die Geachteten, die Ruhmlosen gegen die Berühmten, die Unverständigen gegen die Weisen, die Jungen gegen die Alten. Deshalb ist weit weg geflohen die Gerechtigkeit und der Friede, indem jeder ablegte die Furcht Gottes und in seinem Glauben an ihn erblindete, nicht mehr wandelte auf dem gesetzlichen Pfad seiner Gebote noch ein Christus würdiges Leben führte, sondern indem jeder den Leidenschaften seines bösen Herzens nachging: so nahmen sie die ungerechte und gottlose Eifersucht in sich auf, durch welche auch „der Tod in die Welt gekommen ist” Kap. Eifersucht hat stets schlimme Folgen gezeitigt. So steht nämlich geschrieben: „Und es geschah nach einigen Tagen, da brachte Kain von den Früchten der Erde Gott ein Opfer dar, und Abel seinerseits brachte dar von der Erstgeburt der Schafe und von ihrem Fette. Und Gott sah auf Abel und seine Gaben, Kain aber und seine Opfer beachtete er nicht. Und Kain war gar sehr betrübt und sein Angesicht fiel ein. Und Gott sprach zu Kain: Warum bist du gar so betrübt geworden und warum ist eingefallen dein Angesicht. Hast du nicht gesündigt, wenn du zwar richtig dargebracht, aber nicht richtig geteilt hast.",382,de
Clemens_von_Rom_Erster_Brief_an_die_Korinther_3,Clemens von Rom,Erster Brief an die Korinther,3,"Beruhige dich; es kehrt zu dir zurück deine Gabe, und du sollst verfügen über sie. Und Kain sprach zu seinem Bruder Abel: Wir wollen auf das Feld hinausgehen. Und es geschah, während sie auf dem Felde waren, erhob sich Kain gegen seinen Bruder Abel und schlug ihn tot“ Sehet, Brüder, Eifersucht und Neid hat den Brudermord verschuldet. Wegen der Eifersucht musste unser Vater Jakob fliehen vor dem Angesicht Esaus, seines Bruders. Die Eifersucht war schuld, dass Joseph bis zum Tode verfolgt wurde und dass er in Knechtschaft geriet. Eifersucht zwang Moses, vor dem Angesichte des ägyptischen Königs Pharao zu fliehen, da er von einem Stammesgenossen hören musste: „Wer hat dich zum Richter oder Rächer über uns gesetzt. Willst du etwa auch mich umbringen, wie du gestern den Ägypter erschlagen hast. ”6 Wegen Eifersucht mussten Aaron und Mariam außerhalb des Lagers bleiben Eifersucht führte Dathan und Abiron lebend in die Unterwelt hinab, weil sie sich widersetzten gegen Moses, den Diener Gottes Wegen Eifersucht musste David Mordanschlag erleiden nicht nur von Leuten fremder Stämme, sondern auch von Saul, dem Könige Israels, wurde er verfolgt Kap. Auch die Apostel wurden Opfer der Eifersucht. Aber, um mit den alten Beispielen aufzuhören, wollen wir nun auf die Kämpfer der neuesten Zeit kommen; wir wollen die hervorstechendsten Beispiele unseres Zeitalters herausgreifen. Wegen Eifersucht und Neid haben die größten und gerechtesten Männer, Säulen waren sie, Verfolgung und Kampf bis zum Tode getragen. Stellen wir uns die guten Apostel vor Augen: einen Petrus, der wegen ungerechter Eifersucht nicht ein oder zwei, sondern vielerlei Mühseligkeiten erduldet hat und, nachdem er so sein Zeugnis (für Christus) abgelegt hatte, angelangt ist an dem ihn gebührenden Orte der Herrlichkeit. Wegen Eifersucht und Streit hat Paulus den Beweis seiner Ausdauer erbracht. Siebenmal gefesselt, vertrieben, gesteinigt, Herold (des Evangeliums) im Osten und Westen, holte er sich den herrlichen Ruhm seines Glaubens. Er hatte Gerechtigkeit der ganzen Welt gelehrt, war bis in den äußersten Westen vorgedrungen und hatte vor den Machthabern sein Zeugnis abgelegt, so wurde er weggenommen von dieser Welt und ging ein in den heiligen Ort, das größte Beispiel der Geduld. Kap. Schaden der Eifersucht in anderen Kreisen.",355,de
Clemens_von_Rom_Erster_Brief_an_die_Korinther_4,Clemens von Rom,Erster Brief an die Korinther,4,"Diesen Männern, die einen heiligen Wandel geführt haben, ward zugesellt eine große Zahl Auserwählter, die wegen der Eifersucht durch viele Misshandlungen und Prüfungen gelitten haben und so unter uns zum herrlichsten Vorbild geworden sind. Frauen wurden wegen der Eifersucht verfolgt, wie Danaiden und Dirken10, ertrugen fürchterliche und grauenhafte Peinen, wandelten so auf dem sicheren Pfade des Glaubens und holten sich den herrlichen Preis, obwohl sie schwach am Leibe waren. Eifersucht hat schon Frauen ihren Männern entfremdet und hat das Wort unseres Vaters Adam geändert: „Das nun ist Bein von meinem Beine und Fleisch von meinem Fleische"" Eifersucht und Streit hat große Städte zerstört und große Völker mit der Wurzel ausgerottet. Kap. Mahnung zur Umkehr im Hinblick auf das Blut Christi. Dies, meine Geliebten, schreiben wir nicht nur zu eurer Ermahnung, sondern auch zu unserer eigenen Beherzigung; wir befinden uns ja auf demselben Kampfplatz, und der gleiche Kampf ist uns auferlegt. Deshalb wollen wir die leeren und eitlen Sorgen aufgeben und wollen uns zuwenden der ruhmvollen und heiligen Regel der uns übergebenen Lehre, und wollen sehen, was schön, erfreulich und angenehm ist in den Augen unseres Schöpfers. Wir wollen hinblicken auf das Blut Christi und erkennen, wie kostbar es auch Gott seinem Vater ist, weil es, wegen unseres Heiles vergossen, der ganzen Welt die Gnade der Reue gebracht hat. Lasset uns alle Geschlechter durchwandeln und erkennen, dass der Herr einem jeden Geschlechte Gelegenheit zur Buße gab, allen, die sich zu ihm bekehren wollten. Noe12 predigte Buße, und die auf ihn hörten, wurden gerettet. Jona13 kündigte den Niniviten ihren Untergang an; sie taten Buße für ihre Sünden, versöhnten durch Gebet ihren Gott und erlangten Rettung, obwohl sie nicht zum Volke Gottes gehörten. Kap. Gott selbst verspricht den Reuigen Vergebung. Die Diener der Gnade Gottes haben durch den Heiligen Geist über die Buße geredet, ja auch er selbst, der Gebieter über alle, hat über die Buße gesprochen unter einem Eidschwur: „So wahr ich lebe, spricht der Herr, ich will nicht den Tod des Sünders, sondern dass er Buße tue“14; und er fügt den guten Rat hinzu: „Haus Israel, bekehre dich von deiner Gottlosigkeit",350,de
Clemens_von_Rom_Erster_Brief_an_die_Korinther_5,Clemens von Rom,Erster Brief an die Korinther,5,"Sprich zu den Kindern meines Volkes: Wenn eure Sünden reichen von der Erde bis zum Himmel und wenn sie rot sind wie Scharlach und schwarz wie ein Bußsack und ihr euch aus ganzem Herzen zu mir bekehret und sprechet: „Vater“, dann werde ich euch erhören wie ein heiliges Volk Und an einer anderen Stelle spricht er also: „Waschet und reiniget euch, entfernet eure Schlechtigkeit von euren Seelen vor meinen Augen. Lasset ab von eurer Bosheit, lernet Gutes tun, suchet gerecht zu sein, helfet den Unrecht Leidenden, seid ein Anwalt dem Waisenkind, und der Witwe verschaffet Recht. Dann kommt hierher, und wir wollen rechten miteinander, spricht der Herr. Und wenn eure Sünden sind wie Purpur, werde ich sie weiß machen wie Schnee, und wenn sie sind wie Scharlach, will ich sie weiß machen wie Wolle. Und wenn ihr guten Willen habt und auf mich höret, sollt ihr die Güter der Erde genießen; wenn ihr aber keinen guten Willen habt und nicht auf mich höret, wird das Schwert euch fressen. Der Mund des Herrn hat dies gesprochen” Da er also wollte, dass alle seine Lieblinge teilhaben an der Buße so bestärkte er sie mit seinem allmächtigen Willen. Kap. Beispiele gottesfürchtiger und gottbegnadigter Männer: Enoch und Noe. Deshalb wollen wir hören auf seinen heiligen, ruhmvollen Willen, sein Erbarmen und seine Güte erflehend, niederfallen und uns zuwenden seinen Erbarmungen, nachdem wir aufgegeben haben die nutzlose Mühe, den Streit und die Eifersucht, die zum Tode führt. Hinschauen wollen wir auf die, die in Vollkommenheit seiner erhabenen Herrlichkeit gedient haben. Nehmen wir Enoch18, der in Gehorsam gerecht befunden und entrückt wurde, ohne dass von seinem Tod eine Spur entdeckt wurde. Noe19 wurde als gläubig befunden und verkündete durch seinen (Gottes-) Dienst der Welt ihre Wiedergeburt, und durch ihn hat der Herr die Tiere gerettet, die in Eintracht in die Arche gegangen waren. Kap. Das Beispiel Abrahams. Abraham, der Freund genannt, wurde als gläubig befunden, weil er den Worten Gottes gehorsam war. Dieser ging in Gehorsam weg aus seinem Lande, aus seiner Verwandtschaft und aus seinem Vaterhause, um ein kleines Land, eine schwache Verwandtschaft und ein kleines Haus zu verlassen und dafür die Verheißungen Gottes zu erben. Denn er sagt ihm",364,de
Clemens_von_Rom_Erster_Brief_an_die_Korinther_6,Clemens von Rom,Erster Brief an die Korinther,6,"„Gehe hinweg aus deinem Lande und aus deiner Verwandtschaft und aus dem Hause deines Vaters in das Land, das ich dir zeigen werde; und ich werde dich zu einem großen Volke machen und ich werde dich segnen und werde deinen Namen groß machen, und du wirst gesegnet sein; und ich werde segnen, die dich segnen, und verfluchen, die dich verfluchen, und in dir werden gesegnet werden alle Geschlechter der Erde“ Und wiederum bei seinem Abschied von Lot sagte ihm Gott: „Erhebe deine Augen und schaue von dem Orte, wo du jetzt bist, nach Norden und Süden, nach Osten und Westen; denn alles Land, das du siehst, ich werde es dir und deinem Samen geben auf ewig. Und ich werde deine Nachkommen machen wie den Staub der Erde; wenn einer den Staub der Erde zählen kann, wird man auch deinen Samen zählen können“ Und wiederum sagt er: „Gott führte den Abraham heraus und sagte zu ihm: Schaue auf zum Himmel und zähle die Sterne, wenn du sie zählen kannst; so wird dein Same sein. Abraham glaubte aber seinem Gott, und es wurde ihm angerechnet zur Gerechtigkeit” Wegen seines Glaubens und seiner Gastfreundschaft wurde ihm im Alter ein Sohn geschenkt, und im Gehorsam brachte er ihn Gott als Opfer hin auf einen der Berge, die er ihm gezeigt hatte. Kap. Das Beispiel Lots. Wegen Gastfreundschaft und Frömmigkeit wurde Lot aus Sodoma gerettet23, während die ganze Umgebung durch Feuer und Schwefel gerichtet wurde; der Herr hatte es ja vorher verkündet, dass er die nicht verlässt, die auf ihn hoffen, dass er aber den Abtrünnigen Strafe und Qual auferlegt. Denn sein Weib, das mit ihm herausgezogen, aber anderer Meinung und nicht eines Sinnes mit ihm war, wurde zu dem Zweck als Wahrzeichen hingestellt - sie wurde nämlich zu einer Salzsäule bis auf den heutigen Tag -, damit allen es ersichtlich sei, dass die mit geteiltem Herzen und die, welche an der Macht Gottes zweifeln, zum Gericht und zum Warnungszeichen für alle Geschlechter werden. Kap. Beispiel Raabs. Wegen ihres Glaubens und ihrer Gastfreundschaft wurde Raab, die Dirne, gerettet Als nämlich Jesus, der Sohn Naves, Späher nach Jericho geschickt hatte, erfuhr der König des Landes, dass sie gekommen waren, um ihr Land auszukundschaften, und er sandte Männer aus, sie zu ergreifen, um sie dann zu töten.",380,de
Clemens_von_Rom_Erster_Brief_an_die_Korinther_7,Clemens von Rom,Erster Brief an die Korinther,7,"Die gastliche Raab nahm sie nun auf und verbarg sie im Obergemach unter dem Flachse. Als aber die Leute des Königs vor ihr standen und sagten: „Bei dir sind die eingekehrt, die unser Land auskundschaften, führe sie heraus, denn der König gebietet es so“, erwiderte sie: „Die Leute, die ihr suchet, sind zwar zu mir gekommen, aber sogleich sind sie wieder weggegangen und sie ziehen ihres Weges weiter”25, dabei zeigte sie ihnen eine andere Richtung. Und sie sprach zu den Männern: „Ich sehe es klar ein, dass Gott der Herr euch dieses Land gibt; denn Angst und Furcht vor euch hat die Bewohner desselben ergriffen. Wenn es nun geschieht, dass ihr das Land in Besitz nehmet, rettet mich und das Haus meines Vaters“ Und sie sagten zu ihr: „So soll es sein, wie du uns gesagt hast. Wenn du uns also heranrücken siehst, dann versammle alle deine Angehörigen unter deinem Dache, und sie werden gerettet werden; denn alle, die man außerhalb des Hauses antrifft, werden verloren sein” Und sie rieten ihr, ein Zeichen zu geben, dass sie zu ihrem Hause ein rotes (Seil) heraushängen solle; damit offenbarten sie, dass durch das Blut des Herrn Erlösung zuteil werden soll allen, die an Gott glauben und auf ihn hoffen. Sehet, Geliebte, nicht nur Glaube, sondern sogar die Prophetengabe hat in dem Weibe gewohnt. Kap. Mahnung zur Demut und Barmherzigkeit. Daher wollen wir, Brüder, demütigen Sinnes sein, ablegen jede Prahlerei, Hochmut, Unbesonnenheit, Zorn und erfüllen, was geschrieben steht [es sagt nämlich der Heilige Geist: „Nicht rühme sich der Weise in seiner Weisheit noch der Starke in seiner Stärke noch der Reiche in seinem Reichtum, sondern wer sich rühmt, rühme sich im Herrn, damit er ihn suche und Recht und Gerechtigkeit übe""28]. Dabei wollen wir vor allem eingedenk sein der Worte des Herrn Jesus, die er sprach, da er uns Geduld und Langmut lehrte. Denn so hat er gesprochen: „Seid barmherzig, damit ihr Barmherzigkeit erlanget; verzeihet, damit ihr Verzeihung findet; wie ihr tuet, so wird man euch tun; wie ihr gebet, so wird euch gegeben werden; wie ihr richtet, so werdet ihr gerichtet werden; wie ihr Milde übet, so werdet ihr Milde erfahren; mit welchem Maße ihr messet, mit dem wird euch gemessen werden",370,de
Clemens_von_Rom_Erster_Brief_an_die_Korinther_8,Clemens von Rom,Erster Brief an die Korinther,8,"Mit diesem Gebote und diesen Vorschriften wollen wir uns stärken, damit wir wandeln im Gehorsam gegen seine heiligen Worte, demütigen Sinnes; denn also spricht das heilige Wort: „Wen werde ich ansehen, außer den Sanftmütigen und den Ruhigen und den, der meine Worte fürchtet. ” Kap. Schließet euch lieber Gott als den Aufrührern an. Es ist daher recht und heilig, Männer, Brüder, mehr Gott Untertan zu sein, als denen zu folgen, die in Prahlerei und Abfall Führer zu verruchter Eifersucht sind. Denn wir werden nicht in den nächsten besten (= geringen) Schaden, vielmehr in große Gefahr uns stürzen, wenn wir uns verwegen dem Willen von Leuten ausliefern, die es auf Streit und Zwist abgesehen haben, um uns von dem, was gut ist, abzubringen. Lasst uns freundlich sein gegen uns selbst, gemäß der Freundlichkeit und Liebe unseres Schöpfers. Denn es steht geschrieben; „Mildherzige werden wohnen im Lande, und Unschuldige werden in demselben bleiben, die Gottlosen aber werden daraus vertilgt werden“ Und wiederum sagt er: „Ich sah den Gottlosen hochragend und erhaben wie die Zedern Libanons; und ich ging vorüber und siehe, er war nicht mehr, und ich suchte seinen Ort, aber ich fand ihn nicht. Bewahre die Unschuld und schaue auf Rechtlichkeit, weil ein Erbe beschieden ist dem friedfertigen Menschen” Kap. Schließet euch den wahren Freunden des Friedens an. Deshalb wollen wir uns denen anschließen, die in Frömmigkeit den Frieden lieben, aber nicht denen, die in Verstellung den Frieden wollen. Er sagt nämlich an einer Stelle: „Dieses Volk ehrt mich mit den Lippen, aber ihr Herz ist ferne von mir“ Und wiederum: „Mit ihrem Munde sprachen sie Lob, mit ihrem Herzen aber Fluch” Und wieder sagt er: „Sie liebten ihn mit dem Munde, und mit ihrer Zunge täuschten sie ihn, ihr Herz aber meint es nicht aufrichtig mit ihm, und sie wurden nicht für treu erachtet in seinem Testamente“ „Deshalb sollen stumm werden die trügerischen Lippen, da sie Schlimmes reden wider den Gerechten” Und wiederum; „Verderben wird der Herr alle die trügerischen Lippen, eine prahlerische Zunge, Leute, die sprechen: Unsere Zunge wollen wir berühmt machen, unsere Lippen stehen uns bei; wer ist unser Herr. Wegen des Elends der Darbenden und wegen des Seufzens der Armen will ich jetzt mich erheben, spricht der Herr; ich will Rettung bringen; offen werde ich dabei zu Werke gehen"" Kap. Christus unser Vorbild in der Demut.",389,de
Clemens_von_Rom_Erster_Brief_an_die_Korinther_9,Clemens von Rom,Erster Brief an die Korinther,9,"Den Demütigen gehört nämlich Christus, nicht denen, die sich erheben über seine Herde. Das Szepter der Majestät Gottes, der Herr Jesus Christus, ist nicht erschienen in prahlerischem und auffallendem Prunke, obwohl er es gekonnt hätte, sondern in Demut, wie der Heilige Geist von ihm verkündet hatte; er sagt nämlich: „Herr, wer hat unserer Predigt geglaubt. wem ist der Arm des Herrn offenbar geworden. Wir redeten angesichts seiner: er ist wie ein Kindlein, wie ein Schössling in dürstendem Erdreich; er hat nicht Gestalt noch Würde; und wir haben ihn gesehen, und er hatte weder Gestalt noch Schönheit, vielmehr ist seine Gestalt unscheinbar, zurückbleibend hinter der Gestalt der Menschen; er ist ein Mann in Wunden und Weh und versteht Krankheit zu tragen; weil sich abgewendet hat sein Antlitz, deshalb wurde er zurückgesetzt und nicht beachtet. Er trägt unsere Sünden und leidet für uns, und wir glaubten, er selbst sei in Weh und Schmerz und Elend. Aber er ist verwundet unserer Sünden wegen und gezüchtigt ob unserer Missetaten. Zu unserem Frieden liegt auf ihm die Züchtigung, durch seine Striemen sind wir geheilt. Alle gingen wir irre wie Schafe, der Mensch verirrte sich auf seinem Wege. Und der Herr gab ihn dahin für unsere Sünden, und er selbst öffnete den Mund nicht wegen seiner Misshandlung. Wie ein Lamm wurde er zur Schlachtbank geführt, und wie ein Schaf stumm bleibt vor dem Scherer, so tat er seinen Mund nicht auf. In seiner Erniedrigung wurde seine Verurteilung aufgehoben. Wer wird sein Geschlecht aufzählen. da von der Erde sein Leben weggenommen wird. Wegen der Missetaten meines Volkes wird er zum Tod geführt. Und ich will hingeben die Bösen für sein Grab und die Reichen für seinen Tod; denn er hat nichts Böses getan, und in seinem Mund ward kein Trug gefunden. Und der Herr will ihn befreien von seiner Qual. Wenn ihr Opfer bringt für eure Sünden, wird eure Seele lang lebende Nachkommen sehen. Und der Herr will mindern die Mühsal seiner Seele, will Licht ihm zeigen und durch Einsicht bilden, rechtfertigen den Gerechten, der vielen gut dient; und ihre Sünden will er selbst hin wegnehmen. Deshalb wird er viele beerben und die Beute der Starken teilen dafür, dass seine Seele hingegeben wurde in den Tod und er gezählt wurde unter die Bösen.",376,de
Clemens_von_Rom_Erster_Brief_an_die_Korinther_10,Clemens von Rom,Erster Brief an die Korinther,10,"Und er selbst hat die Sünden vieler getragen, und wegen ihrer Sünden wurde er dahingegeben“ Und wiederum sagt er selbst: „Ich aber bin ein Wurm und kein Mensch, der Spott der Menschen und die Verachtung des Volkes. Alle, die mich sahen, verlachten mich, schwatzten mit den Lippen und schüttelten das Haupt: Er hat auf Gott gehofft, er erlöse ihn, rette ihn, da er ihm geneigt ist” Ihr sehet, Geliebte, wer das Vorbild ist, das uns gegeben ist; wenn nämlich der Herr sich so erniedrigt hat, was sollen dann wir tun, die wir unter das Joch seiner Gnade durch ihn selbst gekommen sind. Kap. Die Propheten, Abraham, Moses, Job, Vorbilder der Demut. Wir wollen Nachahmer sein auch derjenigen, die in Ziegen- und Schaffellen einherzogen und die Ankunft Christi verkündeten; wir meinen die Propheten Elias, Elisäus und dazu noch Ezechiel, ferner die ein gutes Zeugnis erhalten haben (von Gott). Ein herrliches Zeugnis wurde dem Abraham gegeben, Freund Gottes wurde er zubenannt, und er sprach die Herrlichkeit Gottes betrachtend in Demut: „Ich aber bin Erde und Asche“ Ferner steht auch über Job also geschrieben: „Job aber war gerecht und untadelig, wahrheitsliebend, gottesfürchtig, von allem Bösen ferne” Aber er selbst klagt sich an mit den Worten: „Keiner ist rein von Schmutz, auch wenn sein Leben nur einen Tag dauert“ Moses wurde treu in seinem (Gottes) ganzen Hause genannt, und durch seinen Dienst strafte Gott Ägypten durch die Geißeln und Plagen, (die er) gegen sie (sandte); aber auch er führte, obwohl hochgeehrt, keine hochfahrenden Reden, sondern sprach, als ihm die Offenbarung im Dombusch gegeben wurde: „Wer bin ich, dass Du mich sendest. Ich habe eine schwache Stimme und eine schwere Zunge” Und wieder sagt er: „Ich aber bin Dunst, (der) von einem Kochtopfe (aufsteigt)"" Kap. David ein Muster der Demut. Was aber sollen wir sagen von David, der ein so gutes Zeugnis erhielt. Zu ihm sprach Gott: „Ich habe gefunden einen Mann nach meinem Herzen, David, Jesses Sohn, in ewigem Erbarmen habe ich ihn gesalbt“ Aber auch er sprach zu Gott: „Erbarme Dich meiner, Gott, nach Deiner großen Barmherzigkeit, und nach der Menge Deiner Erbarmung lösche aus meine Missetat, Mehr und mehr wasche mich von meiner Ungerechtigkeit, und von meiner Sünde reinige mich; denn mein Unrecht sehe ich ein, und meine Sünde steht vor meinem Auge immerdar.",382,de
