id,author,work_title,section,text,word_count,language
Cyprian_von_Karthago_Die_prokonsularischen_Akten_de_1,Cyprian von Karthago,Die prokonsularischen Akten des Hl. Cyprian,1,"Die prokonsularischen Akten des Hl. Cyprian DIE PROKONSULARISCHEN AKTEN DES HL. CYPRIAN. In dem Jahre, als Kaiser Valerianus zum vierten Male und Gallienus zum dritten Male Konsuln waren, am August, sagte zu Karthago im Verhörlokale der Prokonsul Paternus zum Bischof Cyprian: Die geheiligten Kaiser Valerianus und Gallienus haben gnädigst ein Schreiben an mich gerichtet des Inhaltes, daß diejenigen, welche die römische Religion nicht üben, doch die römischen Gebräuche anerkennen sollen. Ich frage dich daher nach deinem Namen, was antwortest du mir. Der Bischof Cyprian antwortete: Ich bin ein Christ und Bischof. Ich kenne keine andern Götter als den einen und wahren Gott, der Himmel und Erde und das Meer und alles, was darin ist, gemacht hat. Diesem Gotte dienen wir Christen, zu ihm beten wir Tag und Nacht für uns und für alle Menschen, auch für das Wohl der Kaiser. Der Prokonsul Paternus sagte: Verharrst du also in dieser Gesinnung. Der Bischof Cyprian antwortete: Eine gute Gesinnung, die Gott anerkennt, ist unabänderlich. Der Prokonsul Paternus sagte: Wirst du also nach dem Gebote des Valerianus und Gallienus als Verbannter nach der Stadt Kurubis gehen. Der Bischof Cyprian antwortete: Ich gehe. Der Prokonsul Paternus sagte: Nicht nur über die Bischöfe, sondern auch über die Priester haben die Kaiser mir zu schreiben geruht; ich möchte daher von dir erfahren, welche Priester sich in dieser Stadt befinden. Der Bischof Cyprian antwortete: in euren Gesetzen habt ihr gut und heilsam die Angeberei verboten. Darum wird auch von mir keiner angegeben und verraten werden; sie können aber in ihren Städten aufgefunden werden. Der Prokonsul Paternus sagte: Ich halte heute an dieser Stelle Untersuchung. Cyprian entgegnete: Da unsere Lehre verbietet, daß sich einer selbst melde, und da dieses auch deiner Auffassung entgegen ist, so können sie sich nicht selbst stellen; aber wenn du sie aufsuchst, wirst du sie finden. Der Prokonsul Paternus sagte: Ich werde sie finden, und fügte hinzu: Sie haben auch geboten, es sollen nicht an bestimmten Orten Zusammenkünfte stattfinden und man solle nicht in die Cömeterien gehen. Wer also dieses so heilsame Gebot nicht beobachtet, soll mit dem Tode bestraft werden. Der Bischof Cyprian entgegnete: Tu, was dir geboten ist. Darauf befahl der Prokonsul Paternus, den heiligen Bischof Cyprian in die Verbannung abzuführen. Als er dort lange verweilt hatte, folgte auf den Prokonsul Aspasius Paternus der Prokonsul Galerius Maximus, der den heiligen Bischof Cyprian aus der Verbannung zurückrufen und sich vorstellen ließ.",398,de
Cyprian_von_Karthago_Die_prokonsularischen_Akten_de_2,Cyprian von Karthago,Die prokonsularischen Akten des Hl. Cyprian,2,"Als nun Cyprian, der von Gott erwählte heilige Märtyrer, aus der Stadt Kurubis, in die er nach dem Befehle des damaligen Prokonsuls Aspasius Paternus verwiesen worden war, zurückgekehrt war, blieb er auf heiliges Geheiß in seinen Gärten und erwartete dort täglich, daß er aufgesucht werde, wie es ihm geoffenbart worden war. Als er dort weilte, kamen plötzlich am September unter dem Konsulate des Tuskus und Bassus zwei Offiziere zu ihm, der eine ein Amtsdiener des Prokonsuls Galerius Maximus, der andere von der berittenen Wache desselben Beamten. Sie nahmen ihn in ihren Wagen, setzten ihn in die Mitte und führten ihn nach Sexti, wohin derselbe Prokonsul Galerius Maximus sich zur Wiederherstellung seiner Gesundheit zurückgezogen hatte. Darum befahl auch der Prokonsul Galerius Maximus, den Cyprian für den folgenden Tag für ihn aufzubewahren. Für diese Zeit wurde der hl. Cyprian zu dem Offizier und Amtsdiener des erlauchten Prokonsuls Galerius Maximus geführt und blieb in seinem Hause in einem Dorfe, welches Saturni heißt, zwischen Venerea und Salutaria. Dort kam eine ganze Schar von Brüdern zusammen. Als der heilige Cyprian dies erfuhr, befahl er, die Mädchen zu bewachen, weil alle im Dorfe vor der Türe des Hauses des Offiziers blieben. Am folgenden Tage, dem September, kam früh viel Volk in Sexti zusammen nach der Anordnung des Prokonsuls Galerius Maximus. Derselbe Prokonsul Galerius Maximus ließ am gleichen Tage den Cyprian vor sich führen, als er im Vorhofe Sauciolum zu Gericht saß. Als er gebracht worden war, sagte der Prokonsul Galerius Maximus zum Bischofe Cyprian: Bist du Thascius Cyprianus. Der Bischof Cyprian antwortete: Das bin ich. Der Prokonsul Galerius Maximus fragte: Du hast dich Menschen von gotteslästerischem Sinn zum Papas hingegeben. Der Bischof Cyprian antwortete: Ja. Der Prokonsul Galerius Maximus sagte: Die geheiligten Kaiser haben dir befohlen zu opfern. Der Bischof Cyprian antwortete: Das tu ich nicht. Galerius Maximus sagte: Überlege es dir. Der Bischof Cyprian antwortete: Tu, was deine Pflicht ist; in einer so gerechten Sache ist nichts zu überlegen. Nachdem Galerius Maximus sich mit seinen Räten besprochen hatte, fällte er mit Widerwillen das Urteil etwa in folgendem Wortlaut: Du hast lange mit verbrecherischem Sinne gelebt, hast viele Menschen in deine gottlose Verschwörung hineingezogen und hast dich zum Feinde der römischen Götter und der heiligen Gesetze gemacht; auch haben dich die frommen und geheiligten Fürsten, die Kaiser Valerianus und Gallienus und der erlauchte Cäsar Galerianus nicht zur Gemeinschaft ihrer Religionsgebräuche zurückführen können.",396,de
Cyprian_von_Karthago_Die_prokonsularischen_Akten_de_3,Cyprian von Karthago,Die prokonsularischen Akten des Hl. Cyprian,3,"Darum sollst du, nachdem du als der Urheber und Bannerträger der gemeinsten Verbrechen gefaßt worden bist, denen zum warnenden Beispiele werden, die du in deine Freveltat hineingezogen hast; dein Blut soll die Weihe für das Gesetz sein. Als er das gesagt hatte, las er von einer Tafel das Urteil: Thascius Cyprianus soll mit dem Schwerte hingerichtet werden. Der Bischof Cyprian sagte: Gott sei Dank. Nach diesem Urteilsspruch rief eine Menge der Brüder: Auch wir wollen mit ihm enthauptet werden. Darüber entstand eine Bewegung unter den Brüdern und viele folgten ihm nach. Und so wurde Cyprian auf das zum Landgut Sexti gehörige Feld hinausgeführt, legte dort seinen Mantel ab, kniete nieder und brachte, zur Erde hingestreckt, sein Gebet dar. Als er sich darauf auch noch seiner Dalmatik entledigt und sie den Diakonen übergeben hatte, stand er im bloßen Linnen da und erwartete den Scharfrichter. Als der Scharfrichter kam, befahl er den Seinigen, ihm 25 Goldstücke zu geben. Leintücher aber und Handtücher wurden von Brüdern vor ihm her getragen; darauf hat der selige Cyprian mit eigener Hand sich die Augen verbunden. Da er aber die Binden an seine Hände nicht selbst anlegen konnte, haben ihm der Priester Julianus und der Subdiakon Julianus die Hände verbunden. So hat der heilige Cyprian sein Leiden vollendet; sein Leib aber wurde wegen der Neugierde der Heiden in der Nähe hingelegt. Von dort ist er bei Nacht erhoben und mit Wachslichtern und Fackeln zu der Begräbnisstätte des Prokurators Makrobius Kandidianus, die am Wege von Mappalia bei den Fischteichen ist, unter Gebet und in großer Feierlichkeit übertragen worden. Wenige Tage darnach ist der Prokonsul Galerius Maximus gestorben. Es litt aber der seligste Märtyrer Cyprian am September unter den Kaisern Valerianus und Gallienus und unter der Herrschaft unseres Herrn Jesu Christi; ihm sei Ehre und Ruhm in alle Ewigkeit. Amen.",301,de
Cyprian_von_Karthago_Leben_des_C_cilius_Cyprianus_v_1,Cyprian von Karthago,Leben des Cäcilius Cyprianus von Diakon Pontius,1,"Leben des Cäcilius Cyprianus von Diakon Pontius (Vita Caecilii Cypriani). Der Zweck des Buches und die Schwierigkeit der Aufgabe. Der fromme Vorsteher und ruhmbedeckte Zeuge Gottes Cyprian hat zwar viele Werke verfaßt, durch die das Andenken an seinen so würdigen Namen fortleben wird, und die reiche Fülle seiner Beredsamkeit und der (in ihm wirkenden) göttlichen Gnade hat sich in der gesegneten Fruchtbarkeit seiner Reden so reichlich ergossen, daß sie vielleicht bis ans Ende der Welt nicht verstummt: weil jedoch seinen Werken und Verdiensten auch dieses Recht zukommt, schien es mir angebracht, einen kurzen Abriß davon zu geben, nicht als ob das Leben eines so großen Mannes irgendwem selbst unter den Heiden unbekannt wäre, sondern damit auch unseren Nachkommen ein so unvergleichliches und hehres Vorbild zum ewigen Gedächtnis vor Augen gestellt wird, so daß sie sich auf Grund dieser Aufzeichnung ihn zum Muster nehmen. Nachdem unsere Vorfahren in ihrer Verehrung für den Märtyrertod an sich sogar Laien und Katechumenen gegenüber, die das Martyrium erlangten, sich dazu verpflichtet fühlten, daß sie viele oder, ich möchte fast sagen, so ziemlich alle Einzelheiten ihres Leidens niederschrieben und so auch uns damals noch nicht Geborenen zur Kenntnis brachten, wäre es doch sicherlich eine Härte, das Leiden eines so bedeutenden Priesters und großen Märtyrers, wie Cyprian es ist, mit Stillschweigen zu übergehen, der auch ohne das Martyrium unser Lehrer sein konnte, und die Taten unverkündet zu lassen, die er bei seinen Lebzeiten ausgeführt hat. Sie sind auch wahrlich so groß, so herrlich und wunderbar, daß ich bei der Betrachtung ihrer Erhabenheit erschrecke. Und ich bekenne, daß ich nicht imstande bin, von seinen ehrenvollen Verdiensten eine würdige Schilderung zu geben und seine so gewaltigen Taten in einer Weise darzustellen, daß sie auch so groß erscheinen, wie sie wirklich sind. Allerdings kann die Fülle seines Ruhmes an sich schon genügen, und sie bedarf gar nicht erst der Verkündigung durch fremden Mund. Dazu kommt auch noch, daß ihr über ihn recht viel oder womöglich alles zu hören wünscht und voll brennenden Eifers wenigstens seine Taten zu erfahren begehrt, wenn auch sein lebendiges Wort inzwischen verstummt ist. Wenn ich auf diese Zumutung hin sage, mir fehlt es an der nötigen Beredsamkeit, so sage ich damit noch viel zu wenig. Der Beredsamkeit selbst fehlt es ja an den entsprechenden Mitteln, um euer Verlangen vollkommen zu stillen.",385,de
Cyprian_von_Karthago_Leben_des_C_cilius_Cyprianus_v_2,Cyprian von Karthago,Leben des Cäcilius Cyprianus von Diakon Pontius,2,"So sehen wir uns denn von zwei Seiten her schwer bedrängt: er legt uns mit seinen trefflichen Eigenschaften eine drückende Last auf, und ihr setzt uns mit eurer Wißbegierde fortwährend zu. Cyprians Bekehrung und ihr Einfluß auf sein Leben. Wo soll ich also beginnen, wo mit der Schilderung seiner Vorzüge einsetzen, wenn nicht bei dem Anfang seines Glaubens und bei seiner himmlischen Geburt. Denn die Taten eines Gottesmenschen2 dürfen doch erst von dem Zeitpunkt ab gerechnet werden, wo er Gott geboren ist. Mag er auch zuvor Studien betrieben und sich voll Hingebung der Beschäftigung mit den edlen Wissenschaften gewidmet haben, so übergehe ich dennoch all das; denn es diente ihm höchstens zu weltlichen Zwecken. Erst von der Zeit ab, wo er die heiligen Schriften kennen lernte, wo die Wolken der Welt weichen mußten und er sich in das Licht der geistlichen Weisheit erhob, — erst von da ab will ich berichten, soweit ich Augenzeuge seines Lebens war und soweit ich von älteren Leuten etwas erfahren konnte. Um das eine aber muß ich bitten, daß man die Unzulänglichkeit meiner Worte — und sie müssen unzulänglich bleiben — nicht seinem Ruhme, sondern vielmehr meiner Unwissenheit zur Last legt. — Als er noch in den ersten Anfängen seines Glaubens stand, da war er überzeugt, nichts sei mehr Gottes würdig als die Beobachtung der Enthaltsamkeit. Denn nur dann könne Herz und Sinn fähig werden, die Wahrheit völlig zu erfassen, wenn man die Begehrlichkeit des Fleisches mit der gesunden und ungeschwächten Kraft der Heiligkeit niederzwinge. Wer hätte je von einem solchen Wunder gehört. Noch nicht hatte die zweite Geburt den neuen Menschen mit dem ganzen Glanze des göttlichen Lichtes erleuchtet und schon überwand er die alte, vormalige Finsternis lediglich durch den bloßen Schimmer dieses Lichtes. Bald darauf — und das ist noch ein größeres Wunder —, als er, obwohl noch ein Neuling, aus den göttlichen Schriften im Eifer seines Glaubens bereits einige Lehren kennen gelernt hatte, da machte er sich sofort etwas zu eigen, das, wie er fand, dazu dienen konnte, sich bei dem Herrn Verdienste zu erwerben. Er verkaufte sein Eigentum3 und verteilte fast den ganzen Erlös, um zahlreichen Bedürftigen den nötigen Unterhalt zu gewähren.",361,de
Cyprian_von_Karthago_Leben_des_C_cilius_Cyprianus_v_3,Cyprian von Karthago,Leben des Cäcilius Cyprianus von Diakon Pontius,3,"So erwarb er sich zwei Verdienste zu gleicher Zeit: er entsagte nicht nur dem eitlen Streben dieser Welt, das am meisten Verderben stiftet, sondern er übte auch Barmherzigkeit, die Gott sogar den ihm dargebrachten Opfern vorgezogen hat4 und an der es selbst jener5 hat fehlen lassen, der sich rühmte, alle Gebote des Gesetzes beobachtet zu haben So gelangte er in dem eilfertigen Eifer seiner Frömmigkeit beinahe schon eher zur Vollkommenheit, als er den Weg zu ihr kennen lernte. Wer, sagt mir nur, von den Alten7 hat so etwas getan. Wer von den bejahrtesten, schon im Glauben stehenden Greisen, an deren Herz und Ohr schon so manches Jahr die göttlichen Worte geschlagen, hätte eine derartige Leistung aufzuweisen, wie sie dieser im Glauben noch Unfertige, den man vielleicht noch gar nicht als Christen anerkannte und der doch alles Alter weit hinter sich ließ, mit seinen ruhmvollen und bewunderungswürdigen Werken vollbracht hat. Kein Mensch erntet gleich nach der Aussaat, kein Mensch keltert Trauben von ganz jungen Pflanzungen, kein Mensch sucht reife Früchte an Bäumchen, die eben erst eingesetzt sind. Bei ihm aber traf das alles in unglaublicher Weise zu: bei ihm kam, wenn man so sagen darf, denn es klingt ganz unglaublich, — bei ihm kam das Dreschen vor dem Säen, die Traube vor der Rebe, die Frucht vor der Wurzel. Seine Ernennung zum Presbyter und sein vorbildliches Wirken. Ein Brief des Apostels besagt, man solle die Neubekehrten8 übergehen, damit nicht unerfahrene Neulinge sich irgendwie gegen Gott verfehlen, solange ihrem noch nicht fest gegründeten Sinn die Torheit des Heidentums anhafte. Er war das erste und, wie ich glaube, das einzige Beispiel dafür, daß man durch den Glauben mehr gefördert werden kann als durch die Zeit. Allerdings ist in der Apostelgeschichte9 von jenem Eunuchen die Rede, der alsbald von Philippus die Taufe erhielt, weil er von ganzem Herzen gläubig geworden war. Aber der Vergleich stimmt nicht; denn der Eunuche dort war ein Jude, und auf seinem Heimwege von dem Tempel des Herrn las er den Propheten Isaias und hoffte auf Christus, wenn er auch meinte, er sei noch nicht gekommen; unser Cyprian aber kam von den unwissenden Heiden, und doch zeigte er gleich zu Beginn eine solche Reife des Glaubens, wie sie vielleicht nur wenige am Ende ihres Lebens erreicht haben. Kurzum: die göttliche Gnade kannte (ihm gegenüber) keinen Verzug, keinen Aufschub. Ja, noch mehr: er erhielt sofort die Würde eines Presbyters oder Priesters.",400,de
Cyprian_von_Karthago_Leben_des_C_cilius_Cyprianus_v_4,Cyprian von Karthago,Leben des Cäcilius Cyprianus von Diakon Pontius,4,"Denn wer sollte einem von so gläubigem Vertrauen erfüllten Herzen nicht alle Ehrengrade anvertrauen. Zahlreich sind die Taten, die er noch als Laie vollbrachte, vieles vollführte er, als er schon Priester war, viel anderes leistete er, indem er sich in getreuer Nachahmung dem Vorbild der alten Gerechten anschloß und gehorsam alle Pflichten der Frömmigkeit erfüllte, um sich bei Gott Verdienste zu erwerben. Denn wenn er von einem las, der Gottes Lob und Anerkennung gefunden hatte, so schloß er daran regelmäßig die Mahnung, man solle nach den Tatsachen forschen, wegen deren der Betreffende Gott gefallen habe. Wenn an irgendeiner Stelle10 Job rühmend „der wahre Verehrer Gottes“ genannt ist, mit dem ""sich keiner auf Erden vergleichen lasse“, so lehrte er stets, man müsse dann auch all das tun, was Job zuvor getan habe, damit auch wir von Gott ein ähnliches Zeugnis für uns erlangen, indem wir ebenso handeln „Er machte sich nichts aus dem Verlust seines Vermögens und brachte es in der Übung der Tugend so weit, daß er die schlimmen zeitlichen Folgen seiner Frömmigkeit12 gar nicht fühlte. Weder Armut noch Kummer zerbrach ihn, durch die Bitten seiner Gattin ließ er sich nicht beirren, und auch die gräßliche Pein seines eigenen Leibes vermochte ihn nicht zu erschüttern. Fest blieb die Tugend an ihrem Sitze haften, und die auf tiefen Wurzeln ruhende Ergebung ließ trotz der Versuche und Angriffe des Teufels nicht ab, in dankbarem Glauben selbst mitten im Unglück ihren Herrn zu segnen. Sein Haus stand jedem offen, der da kam: da gab es keine Witwe, die mit leeren Händen zurückgekehrt, keinen Blinden, der nicht von ihm begleitet und geführt worden wäre, keinen Gebrechlichen, den nicht er gehoben und getragen, keinen, der der Hilfe eines Mächtigeren bedurft und nicht an ihm einen Beschützer gefunden hätte. “ „So müssen die tun“, pflegte er zu sagen, „die Gott zu gefallen wünschen. “ Und indem er so nacheinander alle Guten als Muster vor Augen stellte und stets die Besten nachahmte, machte er sich selbst zum nachahmenswürdigen Vorbild. Seine Freundschaft mit Cäcilianus, der ihn für das Christentum gewonnen hatte. Freilich stand er auch in enger Freundschaft mit einem gerechten und denkwürdigen Mann aus unserem Kreise13, namens Cäcilianus, der damals Presbyter war nach Alter und Rang und ihn von dem Irrtum der Welt zur Erkenntnis des wahren Gottes bekehrt hatte.",383,de
Cyprian_von_Karthago_Leben_des_C_cilius_Cyprianus_v_5,Cyprian von Karthago,Leben des Cäcilius Cyprianus von Diakon Pontius,5,"Ihm brachte er seine volle Achtung und die höchste Ehrerbietung entgegen, indem er zu ihm nicht mehr wie zu einem gleichaltrigen Herzensfreund, sondern als dem Vater seines neuen Lebens in hingebender Verehrung emporsah. So wurde denn Cäcilianus durch seine Dienstwilligkeit so bezaubert und durch die Beweise seiner unermeßlichen Liebe derart für ihn eingenommen, daß er ihm bei seinem Hinscheiden von der Welt ganz kurz vor seiner Abberufung seine Gattin und seine Kinder ans Herz legte und ihn, den er zu einem Glied seiner Glaubensgemeinschaft gemacht hatte, schließlich auch noch als Erben seiner Gatten- und Vaterliebe einsetzte. Die Wahl des Neophyten zum Bischof. Es würde zu weit führen, auf Einzelheiten einzugehen, und alle seine Taten aufzuzählen, wäre eine mühsame Arbeit. Zum Beweis für seine guten Werke genügt meines Erachtens schon die eine Tatsache, daß er durch das Urteil Gottes und die Gunst des Volkes zum Amte eines Priesters und zur Würde des Bischofs auserkoren wurde, er, der erst vor kurzem bekehrt und, wie man meinte, noch ein Neuling war. Freilich er strahlte schon in den frühesten Tagen seines Glaubens und in der Erstlingszeit seines geistlichen Lebens seine edle Begabung in so herrlichem Lichte, daß er, umgeben von dem Glanze zwar noch nicht des Amtes, sondern erst der auf ihn gesetzten Hoffnung, die ihm zugedachte priesterliche Stellung vollauf auszufüllen versprach. Auch den besonderen Umstand will ich nicht übergehen, wie er voll Demut sich zurückzog, als das ganze Volk auf göttliche Eingebung hin in Liebe und Verehrung für ihn überströmte, wie er vor Älteren zurücktreten wollte und sich eines solchen Ehrentitels für unwürdig hielt, —wodurch er nur um so würdiger wurde. Denn würdiger wird doch einer, der etwas ablehnt, was er verdient. In welcher Erregung wogte damals das beunruhigte Volk hin und her, das ja, wie der Ausgang zeigte, in seinem geistlichen Sehnen nicht bloß einen Bischof begehrte; denn in ihm, nach dem es damals auf Grund einer geheimnisvollen, göttlichen Vorahnung so ungestüm verlangte, suchte es nicht allein den Priester, sondern auch den künftigen Märtyrer. In Massen hatten die Brüder die Türen seines Hauses besetzt, und an allen Zugängen strömten die Lieben voll Besorgnis ab und zu. Da hätte es ihm vielleicht gerade so ergehen können wie jenem Apostel14, daß er sich wünschte, durch das Fenster herabgelassen zu werden, wenn er mit dem Apostel schon damals auch die Ehre der Weihe geteilt hätte.",390,de
Cyprian_von_Karthago_Leben_des_C_cilius_Cyprianus_v_6,Cyprian von Karthago,Leben des Cäcilius Cyprianus von Diakon Pontius,6,"Da konnte man sehen, wie alle anderen in ängstlicher Spannung auf seine Ankunft warteten und mit unmäßigem Jubel ihn aufnahmen, als er dann wirklich kam. Nur ungern sage ich es, aber ich darf es nicht verschweigen: einige widersetzten sich seinem Siege. Mit welch sanfter Geduld jedoch, mit welchem Wohlwollen übte er Nachsicht gegen sie, mit welcher Milde verzieh er ihnen, indem er sie hernach zur Verwunderung vieler zu seinen besten und vertrautesten Freunden zählte. Denn wem sollte es nicht als ein Wunder erscheinen, wie schnell hier sein sonst so treues Gedächtnis zu vergessen vermochte. Charakteristik seiner Person. Wie glänzend er sich in der Folgezeit bewährt hat, wer vermöchte das zu berichten. Wie groß war seine Frömmigkeit und Tatkraft, wie gewaltig seine Barmherzigkeit und Strenge zugleich. Von seinem Antlitz strahlte so viel Heiligkeit und Gnade aus, daß sein Anblick den Sinn verwirrte. Würdevoll und heiter zugleich war seine Miene, ebenso frei von düsterem Ernst wie von übertriebener Freundlichkeit, vielmehr aus beiden gerade die rechte Mischung. So konnte man zweifeln, ob er Ehrfurcht oder Liebe verdiente, in Wahrheit jedoch gebührte ihm beides. Aber auch seine Kleidung stimmte vollkommen zu diesem Eindruck und hielt gleichfalls gerade die richtige Mitte ein: er war ebensowenig aufgebläht von weltlichem Stolz, als daß er gar etwa schmutzige Ärmlichkeit zur Schau getragen hätte. Denn diese Art von Kleidung wirkt ebenso herausfordernd, die so durch ihre übertriebene Dürftigkeit auffällt. Was aber hätte Cyprian als Bischof an den Armen tun sollen, denen er doch schon als Katechumene seine Liebe bewies. Mag sonst die Vorsteher der Wohltätigkeit erst das Gebot ihres Amtes zu guten Werken verpflichtet oder die gemeinsame heilige Religion zu dem Dienst der werktätigen Liebe gedrängt haben: Cyprian ist nicht erst auf dem Bischofsstuhl so geworden, sondern er war es schon von sich aus, als er ihn bestieg. Seine Flucht [während der decischen Verfolgung] und ihre Rechtfertigung durch seine nachherige schriftstellerische Tätigkeit. So erlangte er denn auch für solche Verdienste sogleich den Ruhm der Ächtung Es fehlte ja nur noch das eine, daß er, der in der geheimen Verborgenheit seines Inneren im vollen Ruhme der Frömmigkeit und des Glaubens strahlte, auch öffentlich unter den Heiden einen berühmten Namen bekam. Bei der Schnelligkeit, mit der er stets alles erreichte, hätte ihm damals auch die ihm gebührende Märtyrerkrone rasch zuteil werden können, zumal ja auch immer und immer wieder der Ruf ertönte: „Vor die Löwen mit ihm.",396,de
Cyprian_von_Karthago_Leben_des_C_cilius_Cyprianus_v_7,Cyprian von Karthago,Leben des Cäcilius Cyprianus von Diakon Pontius,7,"16 Aber es war ihm bestimmt, erst alle Stufen des Ruhmes zu durchlaufen, bis er so den Höhepunkt erreichte, und die damals vom Untergang bedrohte Kirche brauchte notwendig die Hilfe eines so reichen Geistes. Denn17 angenommen, er wäre damals des Martyriums gewürdigt und hinweggenommen worden: wer hätte dann den Segen der mit dem Glauben fortschreitenden Gnade aufzeigen solle Wer hätte dann die Jungfrauen durch die Lehren des Herrn wie mit Zügeln zu einer der Keuschheit entsprechenden Zucht und zu einer der Heiligkeit würdigen Tracht angehalte Wer hätte die Gefallenen Buße gelehrt20, die Abgefallenen die Wahrheit, die Abtrünnigen die Einigkeit21, die Söhne Gottes den Frieden und das Gesetz des evangelischen Gebets. 22 Wer hätte dann die lästernden Heiden bezwungen und ihre Vorwürfe gegen uns auf sie selbst zurückgeschleudert. 23 Wer hätte die Christen in ihrer allzu tiefen Betrübnis über den Verlust der Ihrigen oder, was noch schlimmer ist, in ihrer Kleingläubigkeit durch die Aussicht auf die kommenden Dinge zu trösten vermocht. 24 Vom wem hätten wir so trefflich die Barmherzigkeit25, vom wem die Geduld gelernt. 26 Wer hätte die aus der giftigen Bosheit des Neides stammende Mißgunst durch ein so süßes, heilbringendes Mittel unterdrückt. 27 Wer hätte solche Märtyrer durch die Mahnung des göttlichen Wortes zu ermuntern verstande Wer hätte endlich die vielen schon zum zweiten Male auf ihrer Stirne gezeichneten Bekenner, die als Beispiele für das Martyrium noch am Leben behalten wurden, durch das schrille Schmettern der himmlischen Posaune angefeuert. 29 Gut, wirklich gut traf es sich damals, eine wahrhaft geistliche Fügung war es da, daß ein für so viele und für so gute Ziele unentbehrlicher Mann noch nicht zur Vollendung des Martyriums gelangte. Wollt ihr Gewißheit haben, daß er sich damals nicht aus Furcht zurückzog. Um von jeder anderen Entschuldigung abzusehen; er hat ja selbst später den Märtyrertod wirklich erlitten; ihm hätte er sich doch sicherlich wiederum entzogen, wenn er es schon das erste Mal getan hätte. Allerdings hatte er damals Furcht, aber eine berechtigte: die Furcht nämlich, die sich scheute, den Herrn zu beleidigen, eine Furcht, die lieber den Geboten Gottes gehorchen, als im Widerspruch mit ihnen die Märtyrerkrone gewinnen wollte. Denn bei seinem in allen Dingen Gott geweihten Sinn und in seinem den göttlichen Mahnungen blind ergebenen Glauben30 war er überzeugt, daß selbst das Leiden Sünde für ihn wäre, wenn er nicht dem Herrn gehorchte, der ihm damals gebot, sich zurückzuziehen.",394,de
