id,author,work_title,section,text,word_count,language
Cyrill_von_Alexandria_Allgemeine_Einleitung_zu_Cyril_1,Cyrill von Alexandria,Allgemeine Einleitung zu Cyrill,1,"Die Kirche nennt den hl. Cyrillus in der Oration seines Festtages am Februar „Divinae maternitatis beatissimae Virginis Mariae assertorem invictum„. Seine kirchen- und dogmengeschichtliche Bedeutung beruht vor allem auf der siegreichen Verteidigung des Ehrennamens der Jungfrau „Gottesgebärerin“, und eine Auswahl aus seinen Schriften war deshalb in erster Linie auf den reichen christologischen oder antinestorianischen Nachlaß angewiesen. Dem Wunsche, eines der größern Werke über die hl. Dreieinigkeit anzureihen, trat die Rücksicht auf den Raum entgegen. Einen gewissen Ersatz mag die Erklärung des Nizänischen Glaubensbekenntnisses bieten, welche Cyrillus nur wenige Jahre vor seinem Tode auf Bitten befreundeter Mönche geschrieben hat. Die Sorge für möglichst korrekten Druck habe ich im wesentlichen dem sachkundigen und scharfen Auge meines Freundes, des Herrn ProfessorDr. Johannes Zellinger, überlassen dürfen. München, im 19351 „Gottesgebärerin"" [theotokos], nicht „Gottesmutter“, hatte man vermutlich in der Absicht gesagt, eine Parallele zu dem heidnischen Titel „Göttermutter”, dem Ehrennamen der Göttin Kybele, zu vermeiden. Allgemeine Einleitung Über Leben und Wirken des hl. Cyrillus Cyrillus ist als Kind einer angesehenen Familie zu Alexandrien geboren worden, ein Neffe des Patriarchen Theophilus von Alexandrien [385—412], welcher insbesondere als Gegner und Verfolger des hl. Chrysostomus ein trauriges Andenken hinterlassen hat. Über die Jugendjahre Cyrills liegen nur dürftige Nachrichten vor. Eine Zeitlang hat er bei den Einsiedlern „in der Wüste"" geweilt, sehr wahrscheinlich in der südlich von Alexandrien zwischen dem Nitrischen Gebirge und dem Nil sich hinziehenden Sketischen Wüstm Jahre 403 hat er sich als Begleiter seines Oheims Theophilus nach Konstantinopel begeben und auch der sog. Eichensynode beigewohnt, einer auf dem Landgute „Eiche"" bei Chalzedon abgehaltenen Synode, welche den hl. Chrysosto-mus seines Amtes als Patriarch von Konstantinopel entsetzton der Schuld des Heiligen ist Cyrillus überzeugt gewesen und noch lange überzeugt geblieben. Am Oktober 412 starb Theophilus, und schon am Oktober ist Cyrillus, allerdings nicht ohne die Konkurrenz eines Gegenkandidaten, zum Patriarchen von Alexandrien gewählt worden. Von nun an fließen unsere Quellen reicher. Ein vielbesprochener Bericht des Kirchenhistorikers Sokrates läßt den jungen Patriarchen im Lichte eines herrschsüchtigen Machthabers erscheinen, ist aber anerkanntermaßen durch parteiische Voreingenommenheit getrübt, um nicht zu sagen gefälscht. Mag sein, daß das Vorgehen Cyrills gegen die schismatischen Novatianer, deren Kirchen er schließen ließ, sowie auch gegen die Juden, die er aus Alexandrien auswies, von Rücksichtslosigkeit und Gewalttätigkeit nicht ganz freizusprechen war.",374,de
Cyrill_von_Alexandria_Allgemeine_Einleitung_zu_Cyril_2,Cyrill von Alexandria,Allgemeine Einleitung zu Cyrill,2,"Die wiederholten Streitigkeiten zwischen Cyrillus und dem Präfekten oder Augustalis Orestes zu Alexandrien aber, Streitigkeiten, die dem einen wie dem andern zu Beschwerden an den Kaiser Anlaß gaben, dürften viel weniger der Anmaßung des Patriarchen als vielmehr der Feindseligkeit des Augustalis zur Last zu legen sein. Die versteckte Andeutung des Berichterstatters vollends, daß Cyrillus die Schuld trage an der Ermordung der bekannten alexandrinischen Philosophin Hypatia im Jahre 415, scheint jedweder tatsächlichen Unterlage zu entbehren. Dem Nestorianismus gegenüber wird Cyrillus das auserwählte Rüstzeug der Vorsehung zur Rettung der Orthodoxie. Er erscheint nunmehr im Mittagsglanze seines Lebens und Wirkens. Er greift mitbestimmend in den Gang der Kirchengeschichte ein. Im Kampf gegen die These der Apollinaristen, daß der Sohn Gottes nur einen unbeseelten menschlichen Leib angenommen habe, während die Stelle der menschlichen Seele in Christus durch den göttlichen Logos ausgefüllt worden sei, waren mehrere Vertreter der antiochenischen Theologenschule, vor allen Diodor von Tarsus und Theodor von Mopsuestia, so weit gegangen, nicht nur eine vollständige, aus Leib und Seele bestehende menschliche Natur, sondern auch ein eigenes menschliches Subjekt in Christus zu behaupten. Es seien zwei Subjekte oder Personen in Christus zu unterscheiden, der vom Vater gezeugte Gottessohn und der aus der Jungfrau geborene Menschensohn. Der erstere habe, und darin bestand die Menschwerdung, in dem letzteren wie in einem Tempel Wohnung genommen und sich auf das innigste mit ihm verbunden. Und kraft dieser Verbundenheit mit dem Gottessohne sei nach und nach auch der Menschensohn zu göttlicher Hoheit und Anbetungswürdigkeit aufgestiegen, indem er sich, durch treue Bewährung in Leiden und Versuchungen, durch gänzliche Unterwerfung seines Willens unter den göttlichen Willen göttliche Attribute und Ehren verdientnsofern nun das höhere Subjekt das niedere zu seiner eigenen Herrlichkeit emporgehoben habe, könne man wohl auch von einem einheitlichen Gesamtsubjekte reden, von einem Christus, einem Herrn, einem Sohne Gottes. In Wirklichkeit aber seien die Prädikate, welche das Apostolische und das Nizänische Glaubensbekenntnis nach dem Vorgang der Hl. Schrift dem einen Jesus Christus zueignen, auf zwei Subjekte zu verteilen, den Menschen, der geboren wird und leidet und stirbt, und den Gott, der von Ewigkeit her ist und Wunder wirkt. Nestorius war mit antiochenischer Milch genährt worden und war auch längere Zeit hindurch zu Antiochien selbst als geschätzter Prediger tätig gewesen, bis er auf Betreiben des Kaisers Theodosius II. am April 428 zum Patriarchen von Konstantinopel, der Haupt- und Residenzstadt, bestellt ward.",389,de
Cyrill_von_Alexandria_Allgemeine_Einleitung_zu_Cyril_3,Cyrill von Alexandria,Allgemeine Einleitung zu Cyrill,3,"Hier, im Umkreis einer anders gearteten theologischen Tradition, sollten seine Predigten schon im Laufe des Jahres 428 auf Widerspruch stoßen, und zwar zunächst deshalb, weil sie die herkömmlich gewordene Bezeichnung der Jungfrau als „Gottesgebärerin“1 mißbilligten und an ihrer Statt die Bezeichnung „Christusgebärerin” empfahlen. Der ewige Gott könne nicht geboren werden. Es sei ein Mensch gewesen, den Maria geboren habe, aber jener Mensch, den der göttliche Logos mit sich verbinden und zum Erlöser des Menschengeschlechtes machen solltn Konstantinopel mit lebhaften Protesten von Klerikern wie von Laien beantwortet, erregten diese Predigten auch in Alexandrien, wo sie in Abschriften bekannt wurden, peinliches Aufsehen. Zu Beginn des Jahres 429 sah Cyrillus, der die Tragweite der Lehre des neuen Patriarchen der Hauptstadt von Anfang an klar erkannte,2 sich veranlaßt, gegen die in Umlauf gekommenen Predigten Stellung zu nehmen, ohne indessen den Namen des Predigers zu nennen. Sowohl in dem gerade fälligen Osterfestbriefe [Hom. pasch. 17] — von alters her pflegten die Patriarchen von Alexandrien in sog. „Festbriefen“, unsern „Hirtenbriefen” vergleichbar, die Christenheit des Nillandes zur würdigen Feier des Osterfestes aufzurufen — wie in einem ausführlichen Rundschreiben an die ägyptischen Mönche [Ep. 1] umriß er die überlieferte Lehre von dem einen Christus, welcher wahrer Gott und wahrer Mensch zugleich ist. Die Einheit der Person rechtfertige, ja fordere den Namen „Gottesgebärerin"". Denn ebenderselbe, der vor der Zeit als Gott vom Vater gezeugt worden, habe in der Zeit als Mensch aus der Jungfrau geboren werden wollen. Es folgte ein schriftlicher Gedankenaustausch zwichen Cyrillus und Nestorius, der jedoch nur dazu diente, den Gegensatz zu verschärfen. Auf einen ersten Brief Cyrills aus dem Spätsommer 429 [Ep. 2] erwiderte Nestorius mit einigen wenigen, hochfahrenden und wegwerfenden Bemerkungen. Auf einen zweiten längeren Brief Cyrills, die sog. Epistola dogmatica [Ep. 4], aus dem Januar oder Februar 430, sandte Nestorius unterm Juni 430 eine weitläufigere Erklärung, welche in den Worten gipfelte, daß es heidnisch, apollinaristisch und arianisch sei, zu sagen, Gott sei geboren worden, Gott habe gelitten, Gott sei gestorben. Schon vor Absendung dieses zweiten Antwortschreibens an Cyrillus hatte Nestorius einen anderweitigen Anlaß dazu benützt, Papst Cälestinus I. auf eine neue Häresie aufmerksam zu machen, die Lehre Cyrills, welche den Apollinarismus und Arianismus wieder einführen wolle. Später erst hat auch Cyrillus sich nach Rom gewandt, den Stand der Frage genauer dargelegt und um autoritative Entscheidung gebeten [Ep. 11].",384,de
Cyrill_von_Alexandria_Allgemeine_Einleitung_zu_Cyril_4,Cyrill von Alexandria,Allgemeine Einleitung zu Cyrill,4,"Im August 430 veranstaltete der Papst zu Rom eine Synode, welche den Titel „Gottesgebärerin"" und überhaupt die Lehre Cyrills guthieß und bestätigte, Nestorius hingegen für einen Ketzer erklärte und aus der Kirchengemeinschaft ausschloß, falls er nicht binnen zehn Tagen nach Empfang des Urteilsspruches seine Irrlehre widerrufe. Schreiben dieses Inhalts, vom August 430 datiert, ergingen von Rom aus an Nestorius, an den Klerus und das Volk zu Konstantinopel, an Cyrillus und an die angesehensten Bischöfe des Morgenlandes und Mazedoniens. Cyrillus ward beauftragt, im Namen des Papstes das Anathem über Nestorius auszusprechen, wenn er sich nicht bereit erkläre, fürderhin so zu lehren, wie der Glaube der römischen und der alexandrinischen Kirche und der gesamten Christenheit überhaupt es verlange. Eine Synode zu Alexandrien, welche Cyrillus etwa im November 430 abhielt, formulierte ein Ultimatum an Nestorius, indem sie in längerer Ausführung die Lehre entwickelte, die er annehmen, und zum Schluß in zwölf Anathematismen klar und scharf die Irrtümer zusammenfaßte, die er abschwören müsse [Ep. 17]. Die landläufige Angabe aber, daß Nestorius im Dezember 430 mit zwölf Gegenanathematismen über Sätze Cyrills geantwortet und so den Bruch besiegelt habe, ist wahrscheinlich unzutreffend. Auf Veranlassung des Nestorius jedoch hatte inzwischen der Kaiser unterm November 430 ein allgemeines Konzil zum Pfingstfest des nächsten Jahres nach Ephesus berufen. Der vordringlichste Beratungsgegenstand war die Streitfrage zwischen Nestorius und Cyrillus, und schon in ihrer ersten Sitzung am Juni 431 bestätigten die Bischöfe mit lautem Beifall den zweiten Brief Cyrills sowie das alexandrinische Synodalschreiben an Nestorius und erklärten letzteren „gottloser"" Lehrsätze wegen für abgesetzt und aus dem Klerus ausgestoßen. Die christliche Bevölkerung von Ephesus, die bis in die Nacht hinein auf das Ergebnis gewartet hatte, brach in Jubel aus, überschüttete die Konzilsväter und insbesondere Cyrillus mit Huldigungsrufen und geleitete sie mit Fackeln und Rauchfässern zu ihrer Wohnung. Doch sollten sich noch Schwierigkeiten erheben. Die Bischöfe der antiochenischen Kirchenprovinz, Patriarch Johannes von Antiochien an der Spitze, trafen erst am Juni in Ephesus ein, hatten also an jener ersten Sitzung nicht teilgenommen und stimmten dem Urteil der Teilnehmer nicht zu; sie traten vielmehr sofort am Juni zu einer Sondersynode zusammen, welche Nestorius in Schutz nahm und sogar über Cyrillus und Erzbischof Memnon von Ephesus die Amtsentsetzung aussprach. Der schwache Kaiser wollte beiden Parteien gerecht werden. Cyrillus und Memnon sowohl wie Nestorius wurden verhaftet und eingekerkert.",381,de
Cyrill_von_Alexandria_Allgemeine_Einleitung_zu_Cyril_5,Cyrill von Alexandria,Allgemeine Einleitung zu Cyrill,5,"Schon bald indessen bahnte sich, aus Gründen, die zum Teil in Dunkel gehüllt sind, ein Umschwung in der Stimmung des Hofes an. Der Kaiser trat auf die Seite der Orthodoxen, Cyrillus und Memnon wurden in Freiheit gesetzt, Nestorius hingegen in ein Kloster zu Antiochien verwiesen und an seiner Stelle ein Gesinnungsgenosse Cyrills, der konstantinopolitanische Presbyter Maximianus, auf den Patriarchenstuhl der Hauptstadt erhoben. Das Konzil zu Ephesus ward aufgelöst. Die Spaltung unter den Bischöfen aber dauerte fort. Die Antiochener beharrten nicht sowohl in der Parteinahme für Nestorius als vielmehr in dem Widerspruch gegen Cyrillus, dessen Lehre, wie sie glaubten, die zwei Naturen in Christus vermische oder doch die eine oder die andere Natur in ihrer Unversehrtheit beeinträchtige. Umsonst versuchten Papst und Kaiser zu vermitteln. Mehr Erfolg hatten aufklärende Briefe Cyrills, welche den Arianismus wie den Apollinarismus verwarfen, jede Vermischung oder Vermengung der zwei Naturen ablehnten und bereitwillig anerkannten, daß der göttliche Logos seiner eigenen Natur nach keiner Veränderlichkeit und keinem Leiden unterworfen sei. Nach und nach fand die Mehrzahl der Antiochener sich bereit, Cyrillus die Hand zur Versöhnung zu reichen. Patriarch Johannes von Antiochien entschloß sich, den greisen Bischof Paulus von Emesa nach Alexandrien zu schicken, um Cyrillus ein Friedens- oder Unionssymbol zu unterbreiten, welches sehr wahrscheinlich von Bischof Theodoret von Cyrus, dem bedeutendsten Theologen der Antiochener, verfaßt worden war. Es hatte einen durchaus orthodoxen Wortlaut, bekannte einen Christus, einen Herrn und einen Sohn und stimmte dem Titel „Gottesgebärerin"" rückhaltlos zu. Cyrillus zauderte nicht, dieses Symbol zu unterschreiben, verlangte aber noch eine Erklärung, daß man Nestorius für abgesetzt erachte und seine Lehre anathematisiere. Auch darauf ging Johannes ein, und etwa im März 433 erhielt er von Cyrillus das berühmte Friedensschreiben [Ep. 39], auch. „Ephesinisches Symbolum"" genannt, welches mit dem Psalmverse „Die Himmel sollen sich freuen und die Erde soll jauchzen"" anhebt und die Verbrüderung von Orient und Okzident feiert. War damit das Schisma offiziell behoben, so hat Cyrillus doch an der gänzlichen Beseitigung desselben bis zu seinem Ende arbeiten müssen. Am Juni 444 ist er gestorben. Papst Cälestinus I. , sein Zeitgenosse, ehrte Cyrillus mit den Prädikaten „bonus fidei catholicae defensor“, „probatissimus sacerdos”, „vir apostolicus“. Griechische Kirchenschriftsteller der Folgezeit, insbesondere Dogmatiker wie Eulogius von Alexandrien [gest. 607] und Anastasius Sinaita [gest. um 700], gefielen sich in volltönenden Lobsprüchen auf Cyrillus. Durch Dekret der Ritenkongregation vom Juli 1882 ist ihm der Titel „Doctor ecclesiae” zuerkannt worden.",394,de
Cyrill_von_Alexandria_Allgemeine_Einleitung_zu_Cyril_6,Cyrill von Alexandria,Allgemeine Einleitung zu Cyrill,6,"Seine Hauptwaffe im Kampf gegen den Nestorianis-mus war die Feder gewesen. Seit 429 oder seit Beginn des Kampfes hat er unablässig nicht bloß in Briefen, wie deren vorhin schon einige namhaft gemacht wurden, sondern auch in größern Lehr- und Mahn- und Strafschriften aller Art das kirchliche Dogma von dem Gottmenschen verfochten. Gleichwohl bildet dieses anti-nestorianische Schrifttum nur einen verhältnismäßig bescheidenen Bruchteil seines Gesamtnachlasses. Längst vor 429 war Cyrillus schon gewohnt, die Feder in der Hand zu haben. Er hatte bereits in umfassenden Kommentaren eine Reihe von Büchern des Alten wie des Neuen Testamentes bearbeitet und in nicht weniger umfassenden Werken das Trinitätsdogma beleuchtet, um dem Arianismus oder Eunomianismus den Todesstoß zu geben. Und nach 429 hat er noch anderweitige häretische Bewegungen, den Synusiasmus, den Anthropomorphismus usw. , in eigenen Monographien bekämpft und außerdem die Bücher Julians des Abtrünnigen „Gegen die Galiläer"" einer fast mehr als erschöpfenden Kritik unterzogen. Cyrillus ist infolgedessen eine der ersten Größen der altkirchlichen Literaturgeschichtn der Migneschen Vätersammlung füllen seine Schriften noch zehn Bände [PP. Gr. 68—77], obwohl nicht wenige derselben den Unbilden der Zeit zum Opfer gefallen sind. Einige Lücken der griechischen Überlieferung lassen sich indes durch alte Übersetzungen mehr oder weniger vollständig ausfüllen. Schon zu Lebzeiten Cyrills haben der Lateiner Marius Mercator und der Syrer Rabbula von Edessa Schriften des hochgeschätzten Griechen in ihre Sprache übertragen. Die Gewandung der Schriften Cyrills, die Sprache und die Darstellung, hat nicht viel Anziehendes, Das hob schon Photius, der feinfühlige Stilkritiker, hervor. Wenn freilich Cyrillus selbst zu Eingang seiner Osterfestbriefe wiederholt erklärt, daß er der rhetorischen Schulung ermangle und nicht den Glanz attischer Diktion anstrebe, so sind das ziemlich belanglose Wendungen, welche nur beweisen dürften, daß er diese oberhirtlichen Ansprachen an die gesamte Christenheit des Nillandes mit besonderer Sorgfalt ausgearbeitet hat. Zumeist aber ist sein schriftlicher Ausdruck matt und weitschweifig und doch auch wieder schwülstig und überladen. In der Regel wenigstens hat er auf das Äußere seiner Schriften wenig Wert gelegt und wenig Fleiß verwandt. Um so mehr reizt das Innere. Namentlich die dogmatischen Schriften und unter ihnen zuvörderst die antinestorianischen Streitschriften fesseln durch die Fülle und die Tiefe der Gedanken. Cyrillus ist geborener Dogmatiker, mit reichen dialektischen und spekulativen Anlagen gesegnet. Als Exeget hat er weniger geleistet. Die historisch-philologische Aufgabe des Bibelerklärers liegt ihm nicht.",377,de
Cyrill_von_Alexandria_Allgemeine_Einleitung_zu_Cyril_7,Cyrill von Alexandria,Allgemeine Einleitung zu Cyrill,7,"Er steht zudem unter dem Einfluß der alten, an Origenes anknüpfenden alexandrinischen Tradition, die nur zu gerne den Buchstaben beiseite schob, um einem sog. höhern Schriftsinne nachzuforschen. Seine Erfolge als Dogmatiker gründen darin, daß er sich bewußt und entschieden auf den Boden der kirchlichen Überlieferung stellte. Philosophische Autoritäten hat er nicht gekannt. Auch über Plato, auch über Aristoteles urteilt er nicht sehr schmeichelhaft. Den zeitgenössischen Philosophenschulen steht er als Eklektiker gegenüber. Origenes, sagt er, sei deshalb von der Wahrheit abgefallen, „weil er nicht wie ein Christ dachte, sondern dem Geschwätz der Hellenen folgte und nun in die Irre ging"" [Ep. 81]. Cyrills Lehrmeister sind vielmehr „die heiligen Väter“, in erster Linie Athanasius und die drei großen Kappadozier, Basilius, Gregor von Nazianz, Gregor von Nyssa. Das, was die Väter erarbeitet haben, will Cyrillus in möglichst einheitlicher Gestaltung zusammenfassen. Ein eifriger Verehrer, der erwähnte Anastasius Sinaita, nannte Cyrillus „das Siegel der Väter”. Er hatte dabei zunächst die Ausführungen über das Trinitätsdogma im Auge, welche wirklich als der endgültige Abschluß der vorausgegangenen dogmengeschichtlichen Entwicklung gelten dürfen. Die chri-stologischen Erörterungen sind nicht weniger ängstlich darauf bedacht, in engster Fühlung mit den Vätern zu verbleiben. In seinem zweiten Briefe an Nestorius schreibt Cyrillus: „Es wird von großem Nutzen für uns sein, wenn wir die Schriften der heiligen Väter zur Hand nehmen und ihre Worte möglichst hochschätzen und uns selber prüfen, ob wir im Glauben sind, wie geschrieben steht [2 Kor. 13, 5], indem wir unsere Ansichten mit den richtigen und untadeligen Lehren der Väter in Einklang bringen"" [Ep. 4]. Der dritte Brief an Nestorius mit den zwölf Anathematismen, das Programm der größern antinestorianischen Schriften, ist sich bewußt, „allenthalben den auf Einsprechung des Heiligen Geistes zurückgehenden Bekenntnissen der heiligen Väter zu folgen und ihren Gedankengängen sich anzuschließen und so gleichsam auf königlichem Pfade zu wandeln"" [Ep. 17]. Und der Brief an Johannes von Antiochien, welcher den Friedensschluß mit den Antiochenern preist, will wiederum „allenthalben den Lehren der heiligen Väter, insbesondere unseres seligen und hochberühmten Vaters Athanasius, folgen und auch nicht im mindesten von ihnen abweichen"" [Ep. 39]. Kein Autor des Jahrhunderts hat so häufig Berufung auf die Väter eingelegt wie Cyrillus. Diese gläubig-konservative Richtung, welche von der rationalistischen Dogmengeschichte der Neuzeit als seine Schwäche bezeichnet wird, hat ihn zum treuen Dolmetsch der Lehre der Kirche gemacht.",380,de
Cyrill_von_Alexandria_Allgemeine_Einleitung_zu_Cyril_8,Cyrill von Alexandria,Allgemeine Einleitung zu Cyrill,8,"Bisher ist nur eine einzige Gesamtausgabe der Werke Cyrills erschienen, veranstaltet von dem Pariser Kanonikus Jean Aubert, Paris 1638, in 6 Foliobänden. Sie ist bei Migne, PP. Gr. 68—77, Paris 1859, abgedruckt, zugleich jedoch um zahlreiche und zum Teil bedeutsame Nachträge vermehrt worden, Schriften, die erst nach Erscheinen der Gesamtausgabe ans Licht gezogen wurden hauptsächlich durch Kardinal Angelo Mai. In der Folge haben manche einzelne Schriften und Schriftengruppen sog. kritische Sonderausgaben erfahren, namentlich durch den Engländer Philip Edward Pusey und den Deutschen Eduard Schwartz. Im großen und ganzen übrigens zeichnet sich der überlieferte Text der Schriften Cyrills in seltenem Maße durch Reinheit und Zuverlässigkeit aus. „Gottesgebärerin"" [theotokos], nicht „Gottesmutter“, hatte man vermutlich in der Absicht gesagt, eine Parallele zu dem heidnischen Titel „Göttermutter”, dem Ehrennamen der Göttin Kybele, zu vermeiden. Den Kern der Lehre bildete nicht, wie in neuester Zeit wiederholt behauptet worden ist, die Theorie von der Entwicklung einer menschlichen Person zu einer göttlichen Person, sondern der Satz, auf den diese Theorie sich erst aufbaute, der Satz von zwei Personen in Christus.",173,de
Cyrill_von_Alexandria_Cyrills_Leben_und_Schriften_1,Cyrill von Alexandria,Cyrills Leben und Schriften,1,"Cyrills Leben und Schriften Schriften des hl. Cyrillus In Aufzählung der Schriften des Cyrillus folgen wir der Anordnung in der Ausgabe von Migne, welche unter allen bisher erschienenen die vollständigste ist (in zehn Bänden, series graeca, tom. 68—77), und in welcher zuerst die exegetischen und dann die dogmatischen Werke und Abhandlungen nebst den Homilien und Briefen zusammengestellt sind. ** I. Exegetische Schriften ** Von der Anbetung im Geiste und in der Wahrheit, siebenzehn Bücher (περὶ τῆς ἐν πνεύματι καὶ ἀληθείᾳ προσκυνήσεως καὶ λατρείας, de adoratione et cultu in spiritu et veritate), ein sehr umfangreiches Werk (bei Migne den ganzen ersten Band ausfüllend). Der Verfasser beantwortet zuerst die Frage, wie, da doch das alte Testament durch das neue abgeschafft wurde, dennoch Christus sage: „Ich bin nicht gekommen, das Gesetz aufzulösen,“ und wie man „Gott im Geiste und in der Wahrheit anbeten müsse“. Die mosaischen Gesetze, die von den fleischlichen Israeliten fleischlich gehalten wurden, müssen von uns, dem geistigen Israel, geistig beobachtet werden. Dort war Alles „Buch- stabe und Vorbild“, im Christenthum ist Alles „Geist und Wahrheit“. Da der Mensch durch die Sünde sein Heil verloren hat, muß er jener entsagen, das Joch des Teufels abschütteln und dem Gesetze Gottes folgen, welches uns zur wahren Freiheit ruft ( Buch). Das ist aber dem Menschen nur durch die Gnade Christi möglich, nicht durch das mosaische Gesetz ( u. Buch). Die Gnade verlangt jedoch die treueste Mitwirkung von Seite des Menschen ( u. Buch). Anfang und Grundlage des Heiles ist der Glaube und die Liebe Gottes und des Nächsten ( u. Buch). Sodann wird gezeigt, wie die mosaischen Gesetze über das Bundeszelt, die Priester und Leviten Vorbildlich zu beziehen seien auf die christliche Kirche und das neutestamentliche Priesterthum ( u. Buch). Die Reinigungsvorschriften des alten Testamentes waren Vorbilder von der von den Christen verlangten Reinheit des Herzens ( Buch) und die Opfer Bilder von dem Opferleben der Christen ( u. Buch). Wenn der Christ in der Kirche sein ganzes Leben Gott weiht, wird er als Lohn die ewige Seligkeit erlangen, wovon die religiösen Festtage der Juden ein Vorbild waren ( Buch). Kommentare zu den fünf Büchern Mosis (γλαφυρά, glaphyra seu elegantia commentaria in V. lib. Moysis) in dreizehn Büchern, worin er zeigen will, daß alle Schriften Mosis das Mysterium Christi und seiner Kirche vorbilden gemäß dem paulinischen Worte: „Das Ende des Gesetzes ist Christus.",390,de
Cyrill_von_Alexandria_Cyrills_Leben_und_Schriften_2,Cyrill von Alexandria,Cyrills Leben und Schriften,2,"1 Wir haben hier keineswegs eine zusammenhängende Erklärung des mosaischen Textes, sondern nur eine Auswahl verschiedener Stellen nach der Reihenfolge der Geschichte von Adam bis Josue, welche in der vorhergehenden Schrift noch nicht erörtert waren und allegorisch erklärt werden. Hieran reihen sich noch (bei Migne im Bd. ) folgende, in der Ausgabe von Aubert fehlende Fragmente von Kommentaren zu den Büchern der Könige, zu den Psalmen, zum Canticum des Moses, zum Canticum der Anna, zu den Sprüchwörtern und zum hohen Liede. Kommentar zum Propheten Isaias (ἐξήγησις ὑπομνηματική) in fünf Büchern und (bei Migne Bd. ) Fragmente von Kommentaren zu den Propheten Jeremias, Baruch und Daniel. Kommentare zu den zwölf kleineren Propheten, woran sich (Migne u. Bd. ) noch die Überreste der Kommentare zum Matthäus- und Lukas-Evangelium anreihen. Die Erklärung ist hier wie bei Isaias, sowohl historisch als allegorisch. Kommentar zum Johannis-Evangelium in zehn Büchern (Migne u. Bd. ). Dieser Kommentar besteht eigentlich in zwölf Büchern, wovon zwei (das siebente und achte, welche die Erklärung von Joh. 10, 18—12, 48 enthielten) nebst einigen Fragmenten ausgefallen sind. Hier erklärt der Verfasser nicht bloß den buchstäblichen und geistigen Sinn des Evangeliums, sondern widerlegt auch die falschen Ansichten der Häretiker sowohl über die Gottheit als über andere Hauptstücke der christlichen Lehre. So vertheidigt er ( Buch) die Lehrsätze von der heiligen Dreieinigkeit, dem Unterschiede der göttlichen Personen, ihrer Gleichheit und ihrem Wechselverhältniß, beweist die Vorsehung Gottes ( Buch), zeigt, das alte Gesetz sei nur ein Vorbild des neuen gewesen ( Buch), und dgl. An diesen Kommentar zum Johannis Evangelium schließen sich bei Migne die (bei Aubert fehlenden) Fragmente von Kommentaren an: a) zur Apostelgeschichte, b) zum Römerbriefe, c) zum ersten und zweiten Briefe an die Ko- rinther, d) zum Briefe an die Hebräer, e) zum Briefe Jakobus, f) zum ersten und zweiten Briefe des Petrus g) zum ersten Briefe des Johannes und h) zum Briefe des Judas. ** II. Dogmatische Schriften. ** a) Über die heilige Dreieinigkeit. Schatzkammer von der heiligen und wesensgleichen Dreieinigkeit (ἡ βίβλος τῶν θησαυρῶν περὶ τῆς ἁγίας καὶ ὁμοουσίου Τριάδος — thesaurus de sancta et consubstantiali Trinitate), auf Bitten eines Freundes verfaßt und so betitelt, weil es einen großen Vorrath von Beweisen für die Wahrheit dieses Geheimnisses enthält.",368,de
