id,author,work_title,section,text,word_count,language
Gregor_von_Nazianz_Einleitung_zu_Gregor_dem_Erleu_1,Gregor von Nazianz,Einleitung zu Gregor dem Erleuchter,1,"Einleitung zu Gregor dem Erleuchtet Nach der Himmelfahrt unseres Erlösers sandte der Apostel Thomas, einer von den Zwölfen, den Thaddäus, einen von den Siebenzig, nach Edessa, den Abgar zu heilen und das Evangelium nach dem Worte des Herrn zu verkündigen. So berichtet der armenische Historiker Moses von Chorene. 1 Thaddäus heißt darum auch der Apostel der Armenier. Ebenso war auch der heilige Apostel Bartholomäus in Armenien thätig, wo er auch den Martertod erlitt. Aber das durch Thaddäus und Bartholomäus verbreitete Christenthum hielt sich nicht lange in Armenien. Das Götzenthum hatte wieder überhand genommen und den christlichen Glauben gänzlich verdrängt. Aber im Anfange des vierten Jahrhundertes n. Chr. leuchtete von Neuem das Licht des christlichen Glaubens über Armenien; denn Gott erweckte in Gregorius einen neuen Apostel der Armenier, welcher, da er diesen das Licht des Evangeliums brachte, mit Recht von ihnen Lusavoritsch, d. h. der Erleuchter, genannt wird. So erscheint Gregorius Lusavoritsch als der Apostel der Armenier, als der Erleuchter Armeniens, als der eigentliche Vater der armenischen Kirche. Darum und wegen seines heiligen Wandels, sowie wegen der Wunder, welche Gott durch ihn wirkte, wird Gregorius in der armenischen wie in der lateinischen Kirche als Heiliger verehrt. Unter dem September 1837 hat Papst Gregor XVI. in einem Breve die Aufnahme des heiligen Gregor Illuminator in den römischen Kalender und die jährliche Begehung seines Festes am Oktober anbefohlen. Die Armenier feiern sein Fest am September. 2 Die Lebensgeschichte des heiligen Gregorius hat uns der gleichzeitige armenische Schriftsteller Agathangelus3 mitgetheilt, deßgleichen der von Gregorius als erster Abt des Klosters des heiligen Johannes des Täufers in der armenischen Provinz Taron eingesetzte Zenobius Klag und nach diesen Moses von Chorene. Auch der heilige Johannes Chrysostomus erzählt Manches über den heiligen Gregorius in dem Encomium,4 welches er während seiner Verweisung nach Armenien vorzüglich auf Ansuchen des dem heiligen Gregor verwandten Bischofs Dioskorus in der Stadt Kokisi an seinem Festtage vor einem zahllos versammelten Volke hielt. Der Vater des heiligen Gregorius war Anak, ein Parther, einer der vornehmsten Fürsten von königlichem Geschlechte unter Artaban, König von Persien, auch verwandt mit dem armenischen König Chosroe I. dem Großen (214-259 n. Chr. ). Seine Mutter hieß Ogohe, welche ihn im Jahre 257 in der damaligen Hauptstadt Walarschapat gebar. Nach dem gewaltsamen Tode seiner heidnischen Eltern flüchtete sich seine christliche Amme mit ihm nach Caesarea in Cappadocien, wo er im Alter von zwei Jahren die heilige Taufe empfing.",397,de
Gregor_von_Nazianz_Einleitung_zu_Gregor_dem_Erleu_2,Gregor von Nazianz,Einleitung zu Gregor dem Erleuchter,2,"Als Gregorius erwachsen war, nahm er Maria, eine Tochter des armenischen Fürsten David, zur Gemahlin, welche ihm zwei Söhne gebar, den Aristaces und den Werthanes. Im Jahre 286 gelangte Tiridates (Trdat) zur Herrschaft über Armenien und nun kam Gregor in dessen Dienste. Mit dem Eintritte in diesen Dienst beginnt die Martergeschichte des heiligen Gregorius. Trdat suchte ihn zum Götzendienste zu bewegen, jedoch immer ohne Erfolg; deßhalb mußte er verschiedene Martern erdulden; zuletzt wurde er in eine tiefe, mit Schlangen erfüllte Grube geworfen, wo er, durch ein göttliches Wunder erhalten, lange verborgen blieb. Da traf es sich, daß, um den Verfolgungen des römischen Kaisers Diokletian zu entgehen, die Nonne Ripsime und deren Gefährten nach Armenien geflüchtet kamen, dort aber auf Befehl des Trdat gemartert wurden. Zur Strafe hiefür ward Trdat, wie Agathangelus, Zenobius und der heilige Chrysostomus bezeugen, ähnlich dem Nabuchodonosor5 der menschlichen Gestalt beraubt und in jene eines wilden Schweines verwandelt. In Folge eines Traumgesichtes bewirkte Chosrowiducht, die Schwester des Königs, die Befreiung Gregor’s aus der Grube. Durch dessen Gebet wurde Trdat wieder von seiner Strafe befreit, im christlichen Glauben unterrichtet und zu demselben bekehrt. Darauf wurde Gregor zum geistlichen Hirten der armenischen Nation erwählt und nach Cäsarea geschickt, um dort von dem heiligen Bischof Leontius zum Priester und Bischof geweiht zu werden. Dieses geschah im Jahre 301 n. Chr. Von dort nahm Gregorius mehrere Geistliche mit sich nach Armenien, darunter die heiligen Mönche Anton und Gronides, sowie den Zenobius Klag. Nun begann er das Werk der Zerstörung der Götzentempel und der Erbauung von Kirchen. Trdat wurde nach vorausgegangenem Fasten am Ufer des Euphrat getauft nach dem Zeugnisse des mitanwesenden Agathangelus. Nachdem Gregor noch Schulen und Klöster errichtet hatte, zog er sich in die Einsamkeit zurück in die Höhle Mani, nachdem er seinen Sohn Aristaces zum Bischof geweiht und zu seinem Coadjutor bestimmt hatte (im Jahre 318). Noch in dem nemlichen Jahre begleitete Gregor mit Aristaces den König Trdat auf der Reise nach Rom zum Papste Silvester I. (314-335), welcher ihm die Würde eines Patriarchen über ganz Armenien ertheilte, mit allen Vorrechten der drei anderen damaligen Patriarchen von Antiochien, Alexandrien und Jerusalem. Fünf Jahre nach seiner Rückkehr begann das erste ökumenische Concil von Nicäa im Jahre 325 gegen die Arianer, welche leugneten, daß Christus wahrhaft Gott oder mit dem Vater gleichen Wesens sei.",383,de
Gregor_von_Nazianz_Einleitung_zu_Gregor_dem_Erleu_3,Gregor von Nazianz,Einleitung zu Gregor dem Erleuchter,3,"Als Gregor, welcher zu diesem Concil den Aristaces abgesandt hatte, die Beschlüsse des Concils erhielt, nahm er dieselben feierlich an und fügte seinerseits noch einige Canones für die armenische Kirche bei, deren Aechtheit jedoch nicht festgestellt ist. Von dem Jahre 331 an zog sich Gregorius zurück und starb nach sechs Jahren im Alter von achtzig Jahren in der Einsamkeit; sein Leichnam wurde erst später wunderbarer Weise aufgefunden und in der Burg Thortan begraben. Kaiser Zeno ließ seine Reliquien nach Constantinopel bringen, nur die beiden Arme blieben zurück, von denen der eine in der Hauptkirche Etschmiadsin zu Wagharschapat, der andere in der Kirche der heiligen Sophia zu Sis aufbewahrt wird, während das Haupt in Neapel und andere Reliquien in der italienischen Stadt Nardo sich befinden. Außer den obengenannten Canones werden dem heiligen Gregorius mehrere Gebete des armenischen Brevieres, sowie eine armenische Liturgie6 zugeschrieben. Das Hauptwerk des heiligen Gregor aber, bisher nur im armenischen Texte bekannt, ist das vorliegende, welches nun zum ersten Male in deutscher Uebersetzung erscheint. Es führt den Titel: Hadschachapatum, d. h. (xxx). Gregorius soll dieses Buch im hohen Alter geschrieben haben. Die erste Ausgabe erschien zu Constantinopel 1737; handschriftlich befinden sich diese Reden auf der Die Aechtheit der Reden des heiligen Gregorius also vorausgesetzt, sind sie jedenfalls sehr wichtig für die Kenntniß christkatholischer Glaubens und Sittenlehre aus sehr alter Zeit, und auch in ihnen findet sich schon Dasjenige bestätigt, was ich von den Reden eines anderen geistlichen Redners der Armenier, des Katholikos Johannes Mandakuni,11 geschrieben habe, daß nämlich der Glaube der katholischen Kirche zu allen Zeiten und bei allen Völkern, immer und überall, derselbe bleibt, daß die jetzige Lehre der Kirche keine andere ist, als die Lehre der Kirchenväter vor vielen Jahrhunderten; denn das, was die Kirche lehrt, hat sie ja von Christus, von den Aposteln und von den Kirchenvätern durch die Schrift und die Tradition überkommen. Der Inhalt der Reden ist theils dogmatischer, theils moralischascetischer Art. Besonders erörtert Gregorius das Geheimniß der Trinität in Uebereinstimmung mit den griechischen Kirchenvätern jener Zeit. Namentlich ausgesprochen und betont ist die Lehre vom Dasein Gottes, von dem Wesen und Sein Gottes, von den Eigenschaften desselben, von dem Verhältniß der drei göttlichen Personen nach Innen und nach Außen (Schöpfung, Erlösung, Heiligung).",369,de
Gregor_von_Nazianz_Einleitung_zu_Gregor_dem_Erleu_4,Gregor von Nazianz,Einleitung zu Gregor dem Erleuchter,4,"Gegenüber dem heidnischen Fatalism wird die Erschaffung der Welt und der Geschöpfe, sowie die Vorsehung Gottes für seine Geschöpfe durch alle Reden hindurch wiederkehrend hervorgehoben; ebenso wird die Nichtigkeit des Pantheismus gezeigt. Die Lehre von den Sakramenten findet sich deutlich ausgesprochen, besonders die Lehre von der Nothwendigkeit des Sündenbekenntnisses (Beichte) zur Erlangung der Sündenverzeihung, vom Empfange des heiligen Altarssakramentes, von der Salbung der Kranken u. s. w. Gregorius redet auch von der künftigen Auferstehung, von der Belohnung und Strafe, von der Fürbitte der Heiligen, von den Wundern durch die Reliquien der Heiligen, kurz von allen wichtigen Lehren des katholischen Glaubens. Den Grund jeglicher Tugend bilden Glaube, Hoffnung, Liebe. Der Glaube, gestützt auf Christus, auf die Schrift und die Tradition, in Verbindung mit den guten Werken, bewirkt die Seligkeit, die christliche Hoffnung ist das Unterpfand und die Liebe die Krone derselben. Die Güte und Wohlthätigkeit Gottes gegen seine Geschöpfe soll diese zum Guten antreiben. Die Tugend erwirbt die Seligkeit, das Laster die Verdammniß. Das Böse in der Welt ist Ursache der Strafen Gottes; Gott hat alle Geschöpfe gut erschaffen, zum Nutzen der Menschen; aber das Böse verkehrt das Gute in Schlechtes. Die Bestimmung der körperlichen Sinne findet sich in herrlicher Auffassung dargestellt. Die Märtyrer und überhaupt die Heiligen sind durch ihren Muth ein Beispiel der Tugend. Vor Gott hat nur die wahre Weisheit einen Werth, nicht die falsche menschliche, sondern die untrügliche göttliche Wissenschaft. Wichtig für die Liturgie ist die Erwähnung des Gedächtnisses der Verstorbenen beim heiligen Opfer. Die Uebersetzung ist nach der Mechitaristenausgabe vom Jahre 1838 geliefert. Der Text ist ganz sicher an vielen Stellen corrupt und defect; darum war es auch nicht immer möglich, das Armenische an manchen Stellen genau wörtlich wiederzugeben. In der kurzen Vorrede, welche die Mechitaristen dem Buche vorausgeschickt haben, berichten sie, daß ihre Ausgabe nach einem im Jahre 1122 geschriebenen Codex gefertigt worden ist, welcher von einem in der armenischen Stadt Sis aufbewahrten Codex aus dem Jahre 378 copirt war; auch lag ihnen ein anderes aus dem Jahre 1074 stammendes Manuscript vor. Zur Zeit, als diese Reden geschrieben wurden, hatte das Armenische noch nicht die eigenen Schriftzeichen, sondern man bediente sich der persischen, syrischen oder griechischen Buchstaben.",362,de
Gregor_von_Nazianz_Einleitung_zu_Gregor_dem_Erleu_5,Gregor von Nazianz,Einleitung zu Gregor dem Erleuchter,5,"Indem ich diese Reden in’s Deutsche übertragen der Oeffentlichkeit übergebe, bin ich hiebei von dem Streben ausgegangen, die noch unbekannten Schätze der armenischen Literatur an’s Licht zu ziehen und dem deutschen Volke, Laien wie Geistlichen, zugänglich zu machen. Kunzing, den Juni Joh. Michael Schmid, Cooperator und k. Lokalschulinspektor. Des Moses von Chorene Geschichte Großarmeniens. Aus dem Armenischen übersetzt von Dr. M. Lauer. Regensburg. Manz. Bekehrung Armeniens durch den heiligen Gregor Illuminator. Nach nationalhistorischen Quellen bearbeitet. Wien Agathangelus, ein Römer von Geburt, war Sekretär des armenischen Königs Tiridates des Großen (286-342), somit Augenzeuge. Sein Geschichtswerk, in welchem er die Bekehrung des Königs Tiridates zum Christenthum, sowie das Leben des heiligen Gregorius erzählt, ist von den Mechitaristen in St. Lazzaro bei Venedig im Jahre 1835 in armenischer Sprache erschienen. St. Chrysostomi opera XÄ Übersetzt von Villefroi. Paris Dan 4, Cod. arm. VI. Monac. in der kgl. StaatsVersuch einer Geschichte der armenischen Literatur. Nach den Werken der Mechitaristen frei bearbeitet von C. F. Neumann. Leipzig. J. A. Barth. sq. l. c. pag. 16 und Schon der ägyptische Einsiedler Antonius rief in Verbindung mit Paulus von Theben die einzelnen zerstreut lebenden Anachoreten zu einem gemeinschaftlichen Leben zusammen. Basilius der Große war der größte Beförderer des Mönchslebens im Oriente und schrieb selbst eine Mönchsregel, welche noch heute im Oriente in Geltung ist. Heilige Reden des Johannes Mandakuni. Aus dem Armenischen übersetzt von Joh. Mich. Schmid. Regensburg. Manz. Neumann, l. c. pag.",236,de
Gregor_von_Nazianz_Einleitung_zu_den_Briefen_des__1,Gregor von Nazianz,Einleitung zu den Briefen des Gregor,1,"Einleitung zu den Briefen des Gregor Sahen wir in den Dialogen Gregor in abgeschiedener Einsamkeit wehmüthig und zugleich freudig seiner frühern klösterlichen Bestrebungen gedenken, so hat uns die Pastoral-Siegel gezeigt, wie der große Papst das eine Nothwendige nie vergaß, es sich und Andern vor die Seele führte, selbst während er von den aufregendsten Geschäften bestürmt war. Hat Bernhard seinem Schüler Eugen IIL eingeschärft, der Betrachtung auch auf Petri Stuhle nicht zu vergessen, so war sich Gregor sein eigener Mahner. Die Briefe aber, von denen wir hier eine Auswahl vorlegen, führen uns in das thätige Lehen Gregors hinein; sie lassen uns den ganzen Geschäftskreis des größten Mannes einer stürmischen Zeit überblicken. Was die Auswahl selbst betrifft, so erklärt sich die Nothwendigkeit derselben durch die große Zahl der Briefe (14 Bücher, nach Gregor’s Regierungsiahren1 geordnet), welche zwei dicke Bände der Mauriner-Ausgabe füllen. Für den eigentlichen Geschichtsforscher ist freilich jeder einzelne Brief von höchstem Interesse, und er wird sich wohl schwerlich mit einer Auswahl begnügen können. Wer aber nur ein lebhaftes Bild der großen Persönlichkeit Gregor’s gewinnen, sowie die damalige Zeit in ihren Hauptzügen erkennen will, dem dürfte, so hoffen wir wenigstens, diese Auswahl einige Befriedigung geben. Sollte die Auswahl Verlangen nach dem Ganzen hervorrufen, so wäre ihr Zweck noch mehr als erfüllt. Maßgebend für die Auswahl, die von dem verdienstvollen Leiter dieses Unternehmens (mit Berücksichtigung unsrer Vorschläge) getroffen wurde, war also vor Allem die Rücksicht auf Gregor selbst und sein Verhalten in den großen Fragen, welche die damalige Zeit bewegten. Wir sehen, mit wie tief betrübter und geängstigter Seele er den höchsten Thron der Christenheit besteigt, wie er seinen Freunden ein treuer Ratbgeber für ihre Seele bleibt, bald aber auch kräftig in die Zeitereignisse eingreift. Er ordnet das Patrimonium Petri durch Anwendung gesunder ökonomischer Grundsätze, überwacht die Bischöfe bis in die entlegensten Theile der Erde, nimmt sich mit aller Kraft der Unterdrückten an, die Juden nicht ausgenommen: bald läßt er auch den Kaiser sein kräftiges und freimüthiges Wort ver nehmen unb bändigt die Anmaßung des byzantinischen Patriarchen. Die Beilegung des illyrischen Schismas, die Belehrung der Donatisten, die Christianisirung Englands, die Regelung der kirchlichen Verhältnisse an allen Orten, — Dieß alles wollte auch die Auswahl ohne Abschwächung zur Darstellung bringen. Deßhalb wurden auch alle aus gewählten Briefe vollständig übersetzt und keine bloßen Fragmente geliefert.",381,de
Gregor_von_Nazianz_Einleitung_zu_den_Briefen_des__2,Gregor von Nazianz,Einleitung zu den Briefen des Gregor,2,"Da mußte aber die Frage entstehen, was zweckentsprechender sei, die Briefe in historischer Reihenfolge zu liefern oder sie sachlichen Rubriken unterzuordnen. Wir haben uns nach reiflicher Überlegung, und nicht ohne vorher die Durchführbarleit der von anderer hochverehrter Seite projektirten sachlichen Einteilung versucht m haben, zu Ersterem entschlossen. Vorab schien schon der so gemischte Inhalt vieler Briefe, in welchen oft zwei oder mehrere Punkte nothwendig zu verschiedenen Rubriken ressortirten, einer sachlichen Eintheilung ohne Zerreissung der Briefe wenig günstig zu sein. Sodann erscheint keine Streitfrage als unabhängig von der andern, jede wirft Licht und Schatten auf die andere, Gregor’s eigene Erfahrungen sind nicht der mindeste Faktor. Dieß alles würde bei einer sachlichen Einbettung verschwinden und jedenfalls zahllose Hinweisungen unentbehrlich machen. — Dazu kommt noch als äusserer Grund die Schwierigkeit, einen nach der allgemein recipirten Weise citirten Brief in dieser Auswahl zu finden, falls nämlich die fachliche Anordnung beliebt worden wäre. Hingegen scheint uns die historische Ordnung wesentliche Vortheile zu bieten. Die Abwechslung der Materien kann die Theilnahme des Lesers nur erhöhen, während derselbe zugleich vor Ermüdung bewahrt wird. Sowohl das Personen- als das Zeitenbild tritt in lebhaften Umrissen hervor. Wir sehen, wie fast in jedem Jahre eine andere Haupt-Sorge die Seele Gregor’s bewegt. Ein eingehendes Personen- und Sachregister scheint hingegen alle Vortheile der fachlichen Eintheilung bieten zu können, obgleich es durch letztere nicht ersetzt werden könnte. So viel zur Rechtfertigung der formellen Gestaltung. In Bezug auf die Übersetzung haben wir unsre bisherigen Grundsätze festgehalten, Gregor sollte reden, in seinem eigenthümlichen Ton und Stjl, aber deutsch sollte er reden. Die Briefe sind bereits übersetzt von Maurus Feyerabend, Benediktiner-Prior von Ottobeuren. (Kempten, Kösel, Bb. ) Diese Übersetzung ist allerdings mit Verständniß und Geschick gefertigt, doch vermißt man bisweilen die „Treue im Kleinen„, und es macht sich auch, der Zeit entsprechend, einige Steifheit in der Ausdrucksweise geltend. Ausserdem scheint das Werk ziemlich selten geworden zu sein. Während z. B. Feyerabend die in den Briefen vorkommenden Titulaturen vielfach modernisirt und sogar das „Sie“ als gewöhnliche Anrede gebraucht, haben wir Gregor in dieser Beziehung gegeben, wie er ist und schreibt, und bemerken nur noch, daß Gregor sich an kein Surrogat des Gothaer Almanach, sondern lediglich an sein Herz gehalten hat. Die Ächtheit der Briefsammtung konnte nie bezweifelt wirden, nur einzelne wenige Stellen scheinen den Maurinern verdächtig. Die Briefe Gregot’s wirden immer eine reichlich fließende Geschichtsquelle ersten Ranges bleiben.",391,de
Gregor_von_Nazianz_Einleitung_zu_den_Briefen_des__3,Gregor von Nazianz,Einleitung zu den Briefen des Gregor,3,Berg am Laim am Feste der unbefleckten Empfängniß Die Briefe sind nach römischen Indiktionen d. h. Steuerjahren geordnet. Dieselben beginnen im September.,22,de
Gregor_von_Nazianz_Einleitung_zu_Gregor_dem_Gross_1,Gregor von Nazianz,Einleitung zu Gregor dem Grossen,1,"Einleitung zu Gregor dem Grossen Allgemeine Einleitung Als Quellen für die Lebensgeschichte des hl. Papstes Gregor des Großen dienen uns vor allem anderen seine Schriften. In vielen, vielen Personen-, Orts- und Zeitangaben bekundet sich uns Gregor als ein seiner Zeit ganz und gar verbundener Mann. Als nächste Quelle gilt Gregors von Tours, † 594 oder 595, Historia Francorum. Es folgen der Liber Pontificalis, dann Isidor von Sevilla, De vir. illustr. 40, und Ildefons von Toledo, De vir. illustr. Ewald entdeckte in St. Gallen eine Biographie Gregors aus der Feder eines Mönches von Whitby in England, wahrscheinlich aus dem Jahre 713 stammend, herausgegeben von Grisar 1887 und von Gasquet Beda Venerabilis ist der nächste Autor, der uns in seiner 731 vollendeten Kirchengeschichte berichtet. Gegen Ende des Jahrhunderts, 770—780, verfaßt Paulus Diaconus auf Monte Cassino sein Leben des hl. Gregor, 1 dem ein Jahrhundert später Johannes Diaconus, ebenfalls ein Mönch von Monte Cassino, seine ausführliche Vita folgen läßt. Rom und Italien in der zweiten Hälfte des Jahrhunderts Die Lebensjahre Gregors fallen in eine Zeit tiefen Niederganges, in eine Zeit unübersehbarer Gefahren für das weströmische Reich, für Italien und Rom, ungeheurer Gefahren auch für das Christentum, das mit dem bisherigen Bestand der Dinge unterzugehen drohte. Nach dem Tode Amalasunthas, der Tochter Theoderichs, begann für das schon schwer heimgesuchte Italien eine lange Reihe schwerster Kriegsjahre. Justinian, der eben das Vandalenreich gestürzt und Nordafrika für Byzanz wiedergewonnen hatte, begann in Italien den Krieg gegen das Reich der Ostgoten. Sein großer Feldherr Belisar eroberte rasch Sizilien und den größten Teil Italiens, 535— Justinian legte dem eroberten Lande schwere Steuern auf. Steuereinnehmer, Wucherer und die Besatzung, die von Byzanz unregelmäßig ihren Sold bezog, machten sich Geld auf jede Weise. Eigentum und Leben waren nirgends mehr sicher; die Soldaten waren ja nur zu einem verschwindenden Teil Römer und Griechen, sie stammten vielmehr aus den entferntesten Gegenden des byzantinischen Reiches; es waren Schwarze, Araber, Hunnen, Perser, Gepiden, und diese alle hausten in Italien mit ungezügelten Instinkten und Leidenschaften. Darum verödete das flache Land; die Leute flohen ins Gebirge; aber Hunger und Pest zogen hinter ihnen her, so daß im Picenum allein fünfzigtausend Menschen Hungers starbe Den Goten verblieb noch Pavia. Ungebeugt begannen sie unter Totila den Befreiungskrieg und entrissen den Byzantinern wieder einen großen Teil des Landes.",378,de
Gregor_von_Nazianz_Einleitung_zu_Gregor_dem_Gross_2,Gregor von Nazianz,Einleitung zu Gregor dem Grossen,2,"Aber das Kriegsglück schwankte; die Kriegsheere zogen hin und her, bis Narses, verstärkt durch Langobarden und Heruler, 553 den Untergang des Ostgotenreiches besiegelte, das verwüstete Italien zu einer römischen Provinz machte und als Statthalter in den Palast Theoderichs in Ravenna einzog. Aber dem Lande war nur eine kurze Ruhe gegönnt, die nicht hinreichte, um die Wunden des Krieges heilen zu lassen. Denn die arianischen Langobarden, die ihren Fuß schon einmal auf italischen Boden gesetzt hatten, vergaßen das sonnige Land nicht. Sie brachen am Osterdienstag 568 unter ihrem König Alboin von Pannonien auf, um über die julischen Alpen in Italien einzubrechen. Der Schrecken eilte dem Heere voraus. Dem Bischof Redemptus von Ferentino erschien der hl. Märtyrer Eutychius und sagte das Ende allen Fleisches voraus. Man redete von schauerlichen Zei- chen, die am Himmel erschienen, und sah feurige Schlachtreihen von Norden her komme „Bald wütete“, erzählt Gregor selbst, „das wilde Volk der Langobarden wie ein Schwert, aus der Scheide seiner Wohnstatt gezogen, gegen unsern Nacken, und das Volk, das in unserm Lande wie eine dichte Saat dastand, wurde dahingemäht und verdorrte. Denn die Städte wurden entvölkert, die festen Plätze zerstört, Kirchen niedergebrannt, Männer- und Frauenklöster dem Erdboden gleichgemacht; die Landgüter sind verlassen, und niemand nimmt sich ihrer an; das flache Land liegt brach und ist verödet, kein Besitzer wohnt mehr dort, und wilde Tiere hausen, wo viel Volk einst wohnte. “ 5 Während der Exarch Longinus, des Narses’ Nachfolger, unbegreiflicherweise tatenlos in Ravenna saß, rückten die Langobarden immer weiter vor, nicht ohne auch ritterliche Züge an den Tag zu legen. So empfing Alboin am Piave Felix, Bischof von Treviso, und stellte ihm einen Schutzbrief für seine Kirche aus. Nach und nach wurde ganz Norditalien in Besitz genommen und Pavia 572 nach dreijähriger Belagerung zur Hauptstadt des Langobardenreiches gemacht. Alboin wurde im gleichen Jahre von eigenen Leuten in Verona meuchlings ermordet. Das gleiche Los teilte 574 sein Nachfolger Kleph, unter dem die Langobardenherrschaft weiter nach Süden vorgetragen worden war. Venedig, der Küstenstrich von der Pomündung bis Ankona mit Ravenna, Kalabrien, Neapel und Rom mit ihrer Umgebung verblieben noch dem Kaiser von Byzanz. Auch die Inseln Sizilien, Sardinien und Korsika wurden vorerst noch von den Langobarden verschont, weil sie sich nicht auf die Schiffahrt verstanden. Ihnen sagte der Apennin mehr zu, weil sie sich dort leichter halten konnten, während die schwachen griechischen Besatzungen die festen Plätze in der Ebene besser zu verteidigen wußten.",399,de
