id,author,work_title,section,text,word_count,language
Hieronymus_Einleitung___Verzeichnisse_zu__1,Hieronymus,Einleitung & Verzeichnisse zu den Briefen des Hieronymus,1,"Einleitung zu den Briefen des Hieronymus Unmittelbar vor Ausbruch des Weltkrieges war in dieser Sammlung der erste Hieronymusband erschienen. Nicht zum kleinsten Teile trägt die nachkriegszeitliche Entwicklung daran Schuld, wenn erst jetzt die geplanten weiteren Bände folgen können. Sie umfassen eine Auswahl aus den Briefen des großen Dalmatiners. Daß sie in dieser Sammlung mit zwei Bänden vertreten sind, bedarf bei ihrer kulturellen Bedeutung und bei der Beliebtheit, deren sie sich zu allen Zeiten erfreuten, keiner weiteren Rechtfertigung. Der Übersetzung wurde die neue Textausgabe von Hilberg, die inzwischen vollständig erschienen ist, zugrunde gelegt. Nur an vereinzelten, in der Übersetzung kenntlich gemachten Stellen finden sich Abweichungen. In wenigen Fällen entschied sich der Übersetzer auch für eine andere sinngemäßere Zeichensetzung. Die Übersetzung ist selbständig und enthält auch eine Anzahl von Briefen, die meines Wissens bisher noch nicht ins Deutsche übertragen wurden. Hoffentlich ist es gelungen, das gesetzte Ziel zu erreichen und eine Übertragung zu bieten, welche dem deutschen Sprachgefühl gerecht wird, ohne der Originalität des Verfassers abträglich zu sein» Die ausgiebige Zusammenstellung der neueren Hieronymus-Literatur im ersten Bande bedurfte einer Ergänzung, da vor allem das Gedenken des Todestages unseres Kirchenvaters eine außer gewöhnliche Bereicherung des einschlägigen Schrifttums veranlaßte. Unberücksichtigt blieb hierbei die ausgedehnte Literatur zur kritischen Vulgataforschung, die als Sonderzweig der theologischen Wissenschaft zu gelten hat. Um den Gesamteindruck nicht zu stören, werden die Briefe an Theophilus von Alexandrien und an Augustinus nicht auf die Einzelgruppen verteilt, sondern als geschlossene Einheit gebracht. Dem Leiter unserer Anstalt, Herrn Oberstudiendirektor Trantow, und meinem Kollegen, Herrn Professor Michels, sei auch an dieser Stelle für ihre nie versagende Hilfsbereitschaft wärmstens gedankt. Berlin, am Feste des hl. Hieronymus 1936 Der Übersetzer Verzeichnis der Siglen CSEL = Corpus soriptorum ecclesiasticorum Latinorum. M PG = Migne, Patrologia Graeca. M PL = Migne, Patrologia Latina. Die von Vallarsi im Jahre 1734 begonnene Hieronymusausgabe, welche später von Migne übernommen wurde, widmet ihren ersten Band den Briefen des hl. Hieronymus. Die Sammlung umfaßt 150 Nummern, von denen nur 117 auf Hieronymus zurückgehen. Drei Briefe sind unecht, 1 drei weitere sind Übersetzungen von Osterfestbriefen des Patriarchen Theophilus aus Alexandrien, 2 während die übrigen 26 Nummern an Hieronymus gerichtete Briefe sind 3 oder fremde Briefe bzw. Aktenstücke, 4 die das Verständnis seiner Briefe erleichter Das CSEL, welches seine Hieronymusausgabe mit der dreibändigen Bearbeitung der Briefe durch Hilberg versprechend einführte, hat alle 150 Nummern in der gebräuchlichen Reihenfolge übernommen mit Ausnahme des",396,de
Hieronymus_Einleitung___Verzeichnisse_zu__2,Hieronymus,Einleitung & Verzeichnisse zu den Briefen des Hieronymus,2,"Briefes, den Prokop von Gaza an einen späteren Hieronymus gerichtet hat. 6 Jedoch umfaßt die Hilbergsche Ausgabe noch vier weitere Briefe kleineren Umfanges. 7 Sie sind nach dem Jode der Jungfrau Eustochium (gest. 419) geschrieben und nehmen Bezug auf die Bekämpfung des Pelagianismus. Diese Briefe wurden von De Bruyne durch einen glücklichen Zufall gelegentlich einer „Vulgatareise“ im Escorial entdeckt und zum ersten Male herausgegebe Nicht aufgenommen hat Hilberg den strittigen Brief ad Praesidium, De cereo paschali, für dessen Echtheit sich Morin mit aller Kraft einsetzte. Doch sind der Schwierigkeiten zu viele, die sich der Echtheit entgegenstelle Weitere Versuche, noch den einen oder anderen Brief Hieronymus zuzuweisen, sind restlos fehlgeschlage Leider enthalten die Sammlungen nicht alle Briefe unseres Kirchenvaters, da seine Korrespondenz weit über den Rahmen des überlieferten Stoffes hinausgeht. Im Schriftstellerkatalog berichtet Hieronymus, daß er mit Paula und Eustochium täglich in Briefverkehr stehe, so daß man die Briefe gar nicht zählen könne. 11 Es sind aber nur je drei Briefe an die beiden Frauen auf uns gekommen. Auch mit Marcella unterhielt er von Bethlehem aus einen ständigen Briefwechsel, 12 während nur drei Briefe aus dieser Zeit uns erhalten bliebe Ebenfalls gerieten mehrere Briefe an den Mönch Antonius in Haemona 14 und an die Nonnen am gleichen Orte in Verlust. 15 Außerdem können wir den Untergang einzelner Briefe an Theophilus von Alexandrien, 16 Paulinus von Nola, 17 Julianus, 18 Marcellinus und Anapsychia 19 Augustinus, 20 den Priester Firmus, 21 an Ambrosius, 22 Didymus, 23 Sophronius 24 und an Tante Castorina 25 nachweisen. Die auffallende Beobachtung, daß aus den Jahren 385 bis 392 kein einziger Brief vorliegt, dürfte kaum mit der Vermutung ausreichend begründet sein, daß Verärgerung über seine römischen Erfahrungen seine Feder einrosten ließ. Offenkundig sind die Briefe aus dieser Zeit einem Mißgeschick zum Opfer gefallen. Die Auffindung von vier neuen Briefen durch De Bruyne, 26 deren nirgendwo vorher als Hieronymusgut gedacht ist, ist eine kräftige Stütze für die Vermutung, daß auch, abgesehen von den sonst in der Literatur erwähnten verlustig gegangenen Briefen, das Epistolar unseres Kirchenvaters nur unvollständig auf die Nachwelt gekommen ist. Immerhin bleibt es staunenswert, daß uns von der in die ganze Welt des römischen Reiches gestreuten Korrespondenz soviel erhalten geblieben ist.",364,de
Hieronymus_Einleitung___Verzeichnisse_zu__3,Hieronymus,Einleitung & Verzeichnisse zu den Briefen des Hieronymus,3,"Mag auch die pietätvolle Gesinnung der Adressaten für den Einzelfall eine hinreichende Erklärung bieten, so kommen wir doch nicht an der Notwendigkeit vorbei, damit zu rechnen, daß der Schreiber selbst eine Sammlung seiner Briefe, zum mindesten jener, die mehr als ephemäre Bedeutung hatten, vorgenommen hat. Tatsächlich röhrt er bereits im Schriftstellerkatalog zwei solcher Briefsammlungen an, nämlich „Ad Marcellam epistolarum librum unum“ und „Epistolarum ad diversos librum unum“. 27 Sicherlich hat Hieronymus diese Sammlung später fortgesetzt. Auf den ersten Blick ergibt sich, daß der Begriff des Briefes bei Hieronymus nicht eng zu fassen ist. Von den auf uns gekommenen Schriften, die Briefe genannt werden, trifft der uns geläufige Ausdruck nur in verhältnismäßig wenig Fällen zu. Meist ist der Brief nur eine literarische Form, in welche dogmatische, aszetische, exegetische und historische Abhandlungen eingekleidet werden. Allerdings ist das Persönliche nie völlig ausgeschaltet Manche seiner Briefe hat übrigens Hieronymus selbst gelegentlich als libellus oder gar als liber 29 bezeichnet. Abgesehen von dem allgemeinen Aufschwung, den die Epistolographie im vierten Jahrhundert genommen hatte, mag für die Wahl der Briefform ausschlaggebend gewesen sein, daß sie seinen Schriften eine mehr persönliche Note und damit größere Wärme verlieh. In der direkten Anrede konnte er die Kunst der Rhetorik und Dialektik sich reichlicher entfalten lassen, als es in einer blassen theoretischen Auseinandersetzung möglich gewesen wäre. Dazu kommt rein äußerlich, daß seine Darlegungen vielfach Antworten sind auf Anfragen, die von Päpsten, Bischöfen, Priestern, Mönchen und Laien aus der ganzen christlichen Welt an den gelehrten Einsiedler zu Bethlehem gerichtet wurden. Gewisse Schwierigkeiten bereitet die Klassifizierung der Briefe unseres Heiligen. Ebert 30 unterscheidet sieben Gruppen von Briefen; eigentliche Briefe, Trostschreiben, Nekrologe, epistolae exhortatoriae, polemisch-apologetische Schreiben, allgemein didaktische und exegetische Briefch möchte die Briefe einteilen in solche familiären Charakters, 31 in aszetische, polemisch-apologetische und wissenschaftlich gerichtete Briefe. Wenn die Sammlung auch nur wenige Briefe enthält, die jeder aszetischen Nuance entbehren, 32 so ist doch eine ganze Reihe von Briefen, die Ebert als selbständige Gruppe aufführt, ihrem Inhalt und ihrer Tendenz nach vorwiegend auf Förderung des aszetisch-monastischen Lebens eingestellt. Den aszetischen Briefen wären demnach zuerst alle die Schreiben zuzuzählen, in welchen sich Hieronymus mit den kirchlichen Ständen und ihrer Aszese befaßt. 33 Meistens verdanken sie ihren Ursprung einer von außen gekommenen Anregung.",368,de
Hieronymus_Einleitung___Verzeichnisse_zu__4,Hieronymus,Einleitung & Verzeichnisse zu den Briefen des Hieronymus,4,"Hierher gehören auch die Mahnbriefe, 34 in welchen Hieronymus von sich aus zur Enthaltsamkeit, zur Erwählung des monastischen Berufes oder auch zur Buße nach schwerer Sünde auffordert Auch die Trostschreiben, 35 denen die Nekrologe beizurechnen sind, gehören hierher. Ebenso sind die zwei pädagogischen Schreiben 36 bei ihrer übernatürlichen Einstellung dieser Kategorie zuzuweisen. Die polemisch-apologetischen Briefe 37 zeigen unseren Heiligen durchweg im Kampfe für sein monastisches Ideal oder für die Wahrung der Orthodoxie. Beschäftigung mit dogmatischen Fragen aus rein spekulativem Interesse ist Hieronymus und damit auch den Briefen fremd. Wenn vereinzelte polemische Briefe stark ans Persönliche streifen und satyrisch werden, so dienen sie doch letzten Endes der Sache. Den polemisch-apologetischen Briefen weist man am besten auch eine Reihe kleinerer Schreiben zu, in denen Hieronymus Männer der Kirche zur Bekämpfung der Häresie anregt oder im Kampfe gegen diese bestärkt, ohne selbst in eine Erörterung der Probleme einzutrete Die letzte Gruppe bilden die wissenschaftlich gerichteten Briefe, die in eine didaktische 39 und eine exegetische 40 Abteilung zerfallen- Allerdings darf man bei den didaktischen Schreiben nicht übersehen, daß sie nur mit Rücksicht auf ihren Inhalt als wissenschaftliche Abhandlungen anzusprechen sind, während sie letzten Endes ihrer Tendenz nach polemische oder apologetische Zwecke verfolgen. Den weitesten Raum innerhalb der wissenschaftlichen Briefe nehmen die zahlreichen exegetischen Schreiben ein, bei denen sich Hieronymus auf seinem ureigensten Gebiete bewegt. Themata kirchenrechtlichen Inhaltes behandeln ep. 69 ad Oceanum und ep. 146 ad Evangelum. In diesem steht das Verhältnis zwischen Diakonat und Presbyterat zur Debatte, in jenem die Rechtmäßigkeit der Ordination eines zweimal verheirateten Bischofs, falls die erste Ehe vor der Taufe geschlossen wurde. Auch der Mischbrief ep. 55 ad Amandum, der auf Anfrage exegetische Schwierigkeiten ausräumt, hat einen kirchenrechtlichen Teil (f. ). Er behandelt einen Ehekasus, der Hieronymus in einem zweiten Schreiben des Amandus unterbreitet wurde. Eine Sonderstellung nimmt endlich auch ep. 71 ad Lucinum ein, welche nach Erteilung aszetischer Weisungen sich mit pastoralen Fragen (Sabbatfasten, tägliche Kommunion) befaßt. Vorsorglich sei hier noch bemerkt, daß man in dem einen oder anderen Falle wegen der Aufteilung auf die einzelnen Gruppen verschiedener Meinung sein kann. In seltener Einmütigkeit weist man unter allen Schriften unseres Kirchenvaters seinen Briefen die Palme zu. Sie begeisterten einen Karl den Großen und einen Erasmus von Rotterdam, sie erbauten einen Petrarca und bildeten die Erholung des mächtigsten Fürsten des Jahrhunderts, Kaiser Karls V. Eine hl.",387,de
Hieronymus_Einleitung___Verzeichnisse_zu__5,Hieronymus,Einleitung & Verzeichnisse zu den Briefen des Hieronymus,5,"Theresia führt ihre Sinnesänderung auf des Hieronymus Briefe zurück, und Petrus Canisius, der für seine Zeit die mangelnde Kenntnis der Väterschriften beklagte, suchte ihr entgegenzuwirken durch eine Ausgabe ausgewählter Briefe unseres Heilige Nach der formalen Seite hin verdienen die Briefe einen Ehrenplatz innerhalb der altchristlichen Literatur. In mannigfachen Variationen kommen die Fachgelehrten immer wieder zurück auf das, was der Humanist Erasmus, der gerade auf Grund der Briefe Hieronymus mit Cicero vergleicht, bereits gesagt hat. Er lobt die Klarheit der Entwicklung, die Anmut in der Erzählung, die Kraft der Rede, die Fülle der Gedanken, den Bilderreichtum, die malerische Darstellung, die Fähigkeit, in gleicher Weise das Erhabene und Große wie auch das Schlichte und Kunstlose darzustellen, die Fülle und Rundung sowie das Ebenmaß der Sprache. Niemand versteht es wie Hieronymus, den Gegner ins Herz zu treffen, aber auch niemand findet wie er die Töne der Freundschaft und zärtlichen Liebe. 42 Freilich sind diese Vorzüge kein Spiel des Zufalls. Weil die Briefe von vornherein für die Öffentlichkeit bestimmt waren, hat der Schreiber auf ihre Abfassung besondere Sorgfalt verwandt. Ein Stich ins Gezierte und Barocke kann ihnen nicht abgesprochen werden. Wenn Hieronymus gelegentlich bemerkt, daß er in der Eile diktiere, wie es ihm in den Mund komme, ohne auf die stilistische Ausfeilung achten zu können, so handelt es sich um einen Kunstgriff, der von der Rhetorenschule her an ihm haftengeblieben ist. Besonders hervorgehoben zu werden verdient der Reichtum an Schriftstellen, die Hieronymus in seine Briefe hineingeflochten hat. Allerdings ist damit eine Belastung für den Leser verbunden, weil die uns ungewohnte allegorische Ausdeutung der Schrift das Verständnis nicht selten erschwert. Oft genügt schon ein Wort, um eine mehr oder weniger gezwungene Gedankenverbindung mit einer Schriftstelle herbeizuführen« die er dann auf dem Tummelplatz der Allegorese vor uns paradieren läßt. Erfreulich aber ist, daß auch die Briefe, welche gleiche oder verwandte Stoffe behandeln, so viel individuelle Züge tragen, daß jegliche Ermüdung ausbleibt. Als ein weiterer Vorzug verdient hervorgehoben zu werden, daß vor allem die aszetischen Briefe nicht in theoretische Erörterungen ausmünden, sondern hineingreifen ins wirkliche Leben mit seinen Licht- und Schattenseiten. Auch das Heidentum hatte seine Epistolographie. Der Senator Symmachus, ein Zeitgenosse des hl, Hieronymus, hat uns eine Anzahl von Briefen hinterlassen, klassische Kabinettstücke, auf deren Schliff der Autor große Mühe verwandt hat. 43 Man hat sie wiederholt zum Vergleiche mit den Briefen unseres Heiligen herangezogen.",389,de
Hieronymus_Einleitung___Verzeichnisse_zu__6,Hieronymus,Einleitung & Verzeichnisse zu den Briefen des Hieronymus,6,"Aber abgesehen von den amtlichen Berichten an die Kaiser, kommt der große Staatsmann des sinkenden Heidentums, der doch mitten im öffentlichen Leben stand, über gesellschaftliche Floskeln nicht hinaus. Wie ganz anders die Briefe des Hieronymus, die sprühendes Leben sind. Neben der literarischen Bedeutung liegt ihr einzigartiger Wert darin, daß sie zur unerschöpflichen Fundgrube für die Kulturgeschichte eines Zeitraumes von rund 50 Jahren wurden. Zuerst sind diese Briefe die wichtigste Quelle für Leben und Lehre, Wirken und Bedeutung sowie auch für den so umstrittenen Charakter ihres Verfassers. Sie schildern die einflußreiche Stellung der römischen Bischöfe, das Ringen innerhalb des Christentums um den rechten Ausdruck für die christliche Lehre, das Rütteln der verschiedensten Häresien an dem starken Bau der Kirche, die Spaltungen in Antiochien und anderswo, die Gegensätze zwischen hohen kirchlichen Persönlichkeiten, die Nachwehen der Julianischen Episodor uns ersteht das siegende Christentum in seinem letzten Ringen gegen das sterbende Heidentum. Wir schauen die Spinngewebe in den verlassenen Göttertempeln und die an den Märtyrergräbern sich drängenden Scharen der Gläubigen, den Kampf gegen die letzten Spuren des Heidentums im christlichen Familienleben, den heidnischen Oberpriester im Hause seiner bereits christlich gewordenen Kinder. Wir erleben die erste Entwicklung des monastischen Lebens in Rom und im übrigen Abendlande, aber auch die bereits weiter fortgeschrittenen Formen des Mönchtums im Orient. Neben echtem christlichen Leben stoßen wir auf Heuchelei und Schein, auf einen unter christlichem Firnis sich verbergenden weitverbreiteten Epikureismus. Selbst das Priestertum zeigt neben zahlreichen Idealgestalten zu viele Schattenbilder. Wir bekommen einen Einblick in das religiöse Leben, wie es sich im Schoße der Familie und in der Öffentlichkeit abspielt. Auffallend groß ist die Schar der aus allen Provinzen des Reiches nach dem Hl. Lande Pilgernden. Wir wundern uns über die engen und regen Beziehungen zwischen den christlichen Zentren in Rom, Südgallien, Spanien und den verschiedenen Gebieten des Orients, Wir vernehmen, wie das Germanentum seinen Einfluß immer mehr geltend macht. Wir begleiten seine Scharen auf ihrem Kriegszug vom. Orient bis hinüber nach Spanien mit aller Not der bedrängten Völker. Wir erleben Roms Fall unter Alarich und das traurige Los seiner flüchtigen Einwohner, Auch die Warnung vor dem germanischen Met und der auf Blutrache sinnende, von einem Römer in seiner Familienehre gekränkte Barbar fehlen nicht Ein Lichtblick in diesem Bilde sind die bibelkundigen gotischen Gelehrten.",375,de
Hieronymus_Einleitung___Verzeichnisse_zu__7,Hieronymus,Einleitung & Verzeichnisse zu den Briefen des Hieronymus,7,"Wir erhalten überhaupt einen Einblick in den ganzen wissenschaftlichen Betrieb der damaligen Zeit bis hinein in die elementare Jugenderziehung, die anfängt, sieh auf eine christliche Basis umzustellen. Byzantinisches Hofleben, die Praktiken römischer Provinzbeamten und die Rebellion unterdrückter Vasallen rollen vor unseren Augen ab. Es begegnet uns die das Mittelalter befruchtende Idee vom unsterblichen römischen Imperium, 44 um dann wieder angesichts der Not der Zeit in Parusiestimmung auszumünden. Die sozialen Zustände in Rom und im Reiche treten neben der lindernden Tätigkeit christlicher Karitas immer wieder in unser Blickfeld. Diese Reichhaltigkeit des Stoffes ergibt sich von selbst bei einer Persönlichkeit, deren eigenes Leben sehr bewegt war, die in der christlichen Welt ihrer Zeit wie keine zweite, Augustinus nicht ausgenommen, bekannt war, die mit den verschiedensten Persönlichkeiten in Verbindung stand und die verschiedensten Gegenstände in den Kreis der Erörterung zog. Hat man doch die Behauptung aufgestellt, daß in der Klosterzelle zu Bethlehem der Mann wohnte, der wie kaum einer über die kirchlichen Zustände und Ereignisse in der ganzen Welt unterrichtet war. 45 Wenn Erasmus gegen Schluß seiner Hieronymusbiographie sich enthusiastisch äußert: „Stridon möge sich freuen, daß es der Welt dies strahlende Licht schenken konnte“, 46 dann sind es neben der Bibelübersetzung die Briefe, welche den Weltruf der kleinen dalmatinischen Stadt und ihres gelehrten Sohnes begründet haben. Nachträge zur Literaturübersicht Ausgaben. a) Gesamtausgaben, CSEL: Sancti Eusebii Hieronymi epistulae. Pars III: epistulae CXXI—CLIV, besorgt von Isidor Hilberg. Wien und Leipzig Einzelausgaben. J. Hausleiter, Victorini episcopi Petavionensis opera, Commentarii in Apocalypsim editio Victorini et recensio Hieronymi una cum posterioribus additamentis (CSEL IL). Wien und Leipzig 1916; W. Herding, Hieronymus: De viris inlustribus liber. Acc. Gennadii catalogus virorum inlustrium. Leipzig 1924; A. Ficarra, Florilegium Hieronymianum. Turin 1920; J. Schmid, SS, Eusebii Hieronymi et Aurelii Augustini epistulae mutuae (Florilegium Patristicum XXII). Bonn 1930; J. Meiers, Briefe des hl. Hieronymus (Schöninghs lateinische Lesehefte 19). Paderborn 1934; D. de Bruyne, Quelques lettres inédites de St, Jérôme (Rev. Bénédict. —11); L. Laurand, Lettres choisies de saint Jérôme avec introduction et notes. Paris 1916; J. M. Harden, Psalterium iuxta Hebraeos Hieronymi. London 1922; Biblia sacra iuxta latinam vulgatam Übersetzungen, a) deutsche: L. Schade, Des heiligen Kirchenvaters Eusebius Hieronymus ausgewählte historische, homiletische und dogmatische Schriften ( englische: F. A. Wright, Select letters of St Ierome (The Loeb classical Library 262; lat. und englisch). London italienische: Lettere di San Girolamo. A cura dei PP. Girolamini. 2 BB. Rom",394,de
Hieronymus_Einleitung___Verzeichnisse_zu__8,Hieronymus,Einleitung & Verzeichnisse zu den Briefen des Hieronymus,8,"Hierher gehören auch die Artikel „Hieronymus“ in: Pauly-Wissowa, Realencyklopädie für die Altertumswissenschaft 1565—1581 (H. Lietzmann); Die Religion in Geschichte und Gegenwart2 f. (K. Heussi); Lexikon für Theologie und Kirche V 13—17 (L. Schade), ferner „Jérôme“ in: Dictionnaire de théologie catholique —983 (J. Forget); Dictionnaire pratique des connaissances religieuses —1249 (P. Synave), endlich „Jérôme“ in Encyclopedia of Religion and Ethics —500 (G. Grützmacher). Erwähnung verdienen noch die Abhandlungen über Hieronymus von E. Klostermann in Teuffel, Geschichte der römischen Literatur6, Leipzig 1913, 328—343, und von P. de Labriolle, „Saint Jérôme et son temps“ in seiner Histoire de la littérature latine chrétienne Paris 1924, 445— Spezialarbeiten. a) F. Bulić, Stridone luogo natale di S. Girolamo (Miscell. et—330); M. Premvou, Della patria di San Girolamo (Scuola cattolica V 23 235—246, 287—295); G. Gentilizza, La Dalmazia patria di S. Girolamo (Bessarione —217); A. Vaccari, La patria e la famiglia di S. Girolamo (Civiltä cattolica 405—419); A. Vaccari, Intorno alla patria di S. Girolamo. Un iscrizione apocrifa e le ragioni della Civiltà cattolica (ebd. 146—149); G. Morin, La patrie de St Jérôme, le missorium d’Exsuperius, deux rétractations nécessaires (Rev. Bénéd. —220); P. Monceaux, Saint Jérôme au désert de Syrie (Rev. des deux mondcs VII. pér. ] 136— 377—394); E. Bouvy, St Jérôme à Constantinople (Rev. August. — 193—218); F. Cavallera St Jérôme à Constantinople (Bull. de litt. ecclésiastique 113—125); F Cavallera, Le dernier séjour de St. Jérôme en Occident (ebd. 252—265; 39—58]; A. Vaccari, S, Girolamo a Roma (Civiltà cattolica 481—498); A. Vaccari, Gli ultimi anni di S. Girolamo (ebd. 302—314); A. Vaccari, Un prossimo centenario o la morte di San Girolamo (ebd. 202— 503—513); A. Vaccari, San Girolamo nel suo convento di Betleemme (ebd. 385—400); F. Lanzoni, Il sepolcro di S. Girolamo (Scuola cattolica V 21 383— 458—469); A. Amelli, Analecta Hieronymiana et patristica (Miscell. etc, 157—180); P. de Labriolle, Le songe de St. Jérôme (ebd. 227—235); G. Menneson, L’amitié chez Saint Jérôme (Etudes —27); F. M. Abel, St. Jérôme et Jerusalem (Miscell. et—155); F. Stummer, Bewertung Palästinas bei Hieronymus (Oriens christianus 60—74); J. Zeiller, St. Jérôme et les Goths (Miscell. et—130); L. Duchesne, Sur le martyrologe dit de St. Jérôme (ebd. 219—226); G.",359,de
Hieronymus_Einleitung___Verzeichnisse_zu__9,Hieronymus,Einleitung & Verzeichnisse zu den Briefen des Hieronymus,9,"Morin, Pages inédites de deux pseudo-Jérôme des environs de l’an 400 (Rev. Bénéd. —318). F. Lammert, Die Angaben des Kirchenvaters Hieronymus über vulgäres Latein (Philologus —413); C. Kunst, De Sancti Hieronymi studiis Cicerionanis (Diss. ). Wien und Leipzig 1918; L. Fonck, Hieronymi scientia naturalis exemplis illustratur (Biblica I 481—499); P. Maffi, Le scienze della natura nelle opere di S. Girolamo (Conferenze Geronimiane. Rom 1921, 11—36); H. Quentin, Notes de lexicographie hieronymienne (Rev. des études latines —72). „Jérôme“ in Dictionnaire de la Bible 1305—1316 (J. van den Gheyn); L. Murillo, J. Jerónimo el „Doctor Máximo“ (Biblica I 431—456); A. Vaccari, I fattori della esegesi Geronimiana (ebd. 457—480); Benedikt XV. , Hieronymus-Enzyklika v. IX. 1920 (Acta Apostol. Sedis —422; F. Valente, S. Girolamo e l’enciclica „Spiritus Paraclitus“ sulla S. Scrittura. Rom 1921; A. Condamin, Un procédé littéraire de St. Jérôme dans sa traduction de la Bible (Miscell. et—96); L. H. Cottineau, Chronologie des L. Vossen, De Suetonio Hieronymi auctore (Diss. ). Bonn 1912; A. Feder, Zusätze zum Schriftstellerkatalog des hl. Hieronymus (Biblica I 500—513); A, Feder, Studien zum Schriftstellerkatalog des hl. Hieronymus. Freiburg 1927; R. Helm, Hieronymus Zusätze in Eusebius Chronik und ihr Wert für die Literaturgeschichte. Leipzig 1929; J. M. Toll, Paulus des eersten heremiten leven, dat Jheronimus bescreven hevet. Nach einer Handschrift aus dem Jahrhundert (Germanische Studien 67). Berlin J. L. Weidenhan, The dependence of St. Jerome on Origen (The catholic University Bulletin —605); R. Reitzenstein, Origenes und Hieronymus (Zeitschr. für neutest. Wissensch. und Kunde des Urchristentums —93); N. Marini, Beatus Hieronymus doctrinae de Romanorum pontificum primatu penes Orientalem ecclesiam testis et assertor (Miscell. et—217); P. Batiffol, Les sources de l’altercatio Luciferiani et Orthodoxi de St. Jérôme (ebd. 97—113); A. Casamassa, L’„Adversus Helvidium“ di S. Girolamo (Scuola cattolica V 19 225— 326—340; L. Hughes, The Christian church in the epistles of St. Jerome. London 1923; M. S. Weglewicz, Doctrina S. Hieronymi de SS. Eucaristia. Rom I. Schuster, L’influenza di S. Girolamo sui primordi della vita monastica in Roma (Miscell. et—122); D. Mercier, La physionomie morale de saint Jérôme. Ses initiatives (Conferenze Geronimiane 37—65); A. Bardicchia, Il pensiero morale e pedagogico di S. Girolamo. Matera 1925; Venturi, San Girolamo formatore delle anime. Rom 1921; B. Capelle, Sermon de S. Jérôme pour l’Epiphanie (Rev. Bénéd. —180); W. D. Gardiner, St.",378,de
Hieronymus_Einleitung___Verzeichnisse_zu__10,Hieronymus,Einleitung & Verzeichnisse zu den Briefen des Hieronymus,10,"Jerome’s letters on the monastic life (The Expository Times XLIII [1931/32] 25—30); A. Zuccoli, La vita dello spirito nella concezione di San Girolamo Dalmata. Contributo alla storia ecclesiastica del IV secolo (Archivio storico per la Dalmazia XIII/XIV [1932/33] 235—250); F. Cavallera, Saint Jérôme et la vie parfaite (Rev. d’ascétique et de mystique —127). M. Pronberger, Beiträge zur Chronologie der Briefe des Hieronymus (Diss. ). Amberg 1914; A. Ottolini, La rettorica nelle epistole di Girolamo da Stridone. Cremona 1905; E. Ceria, Quattuordeci lettere di S. Girolamo. Turin 1925; D. Gorce, Lettres spirituelles de St. Jérôme. 2 BB. Paris 1934; Girolamo santo. Lettera a Leta o dell’educazione della figliuola. Modena 1932; M. Sticco, Le epistole alle patrizie romane. Mailand 1919; F. Cavallera, Hieronymiana (Bull. de litt. ecclesiastique 315— Zur Chronologie der Briefe; vgl. auch Hieronymiana ebd. 140—151); G. Morin, Une lettre apocryphe inédite de Jérôme au pape Damase (Rev. Bened. —125). Siehe auch Karthago. Siehe auch unter C. Ep. Ep. Mitunter werden, nicht mit Unrecht, die Vorreden zu den biblischen Übersetzungen und Kommentaren als Briefe aufgefaßt. Dies ist z. B. der Fall in der neuen italienischen von den Hieronymiten (Rom 1920) veranstalteten Übersetzung der Briefgl. auch Bevenot in Theol. Revue 1924 (XXIII) In unserer Auswahl bleiben sie unberücksichtigt. Um die gebräuchliche Zählung nicht zu stören, wird der Brief unter seiner gewohnten Nummer vermerkt (vgl. CSEL ). Aus dem bisherigen Brief 18 ad Damasum macht Hilberg zwei Briefe, ep. 18 A und ep. 18 B. Bei den beiden an Pammachius gerichteten Briefen 48 und 49 tauscht Hilberg die Nummer. De Bruyne, Quelques lettres inédites de St. Jeröme (Revue Bénédictine 1910 [XXVII], 1 ff. Ep. 154 war allerdings von G, Antolin schon früher herausgegeben worden (Opusculos desconocidos de San Jeronimo, in Revista de archivos, bibliotecas y museos [ 1909]). Morin, Un récit méconnu de St. Jérôme (Revue Benedictine 1891 [VIII] 20 ff. Vgl. Duchesne, Liber Pontificalis , der gegen die Echtheit Stellung nimmt, und Morins Erwiderung: La Lettre de St. Jérôme sur le cierge pascal (Rev. Bénéd. 1892 [IX], 392 ff. ). Auch Grützmacher verhält sich ablehnend (I 12 f.",346,de
