id,author,work_title,section,text,word_count,language
Hilarius_von_Poitiers_Einleitung_zu__Des_heiligen_Bi_1,Hilarius von Poitiers,Einleitung zu: Des heiligen Bischofs Hilarius von Poitiers zwölf Bücher über die Dreieinigkeit,1,"Einleitung zu: Des heiligen Bischofs Hilarius von Poitiers zwölf Bücher über die Dreieinigkeit Grundlagen Wenn es eine Zeit gegeben hat, die sich der Sachlichkeit hätte rühmen können, so war es die der Kichenväter; und eben daß sie es nicht getan, das gerade steht am ehesten für sie ein. Und gerade weil die Männer dieses Zeitabschnittes — es ist hier vor allem an das vierte Jahrhundert gedacht — mit völliger Selbstvergessenheit ihrer Aufgabe sich hingegeben haben, deswegen wird es verständlich, mit wieviel Leidenschaft und Verbissenheit, mit wieviel Opfersinn und Geistesgröße sie für ihre Aufgaben sich eingesetzt haben. Wir besitzen keine Bildnisköpfe von ihnen, keine Lebensdarstellung, die den genauen Anforderungen einer anspruchsvollen Geschichtschreibung und den Wünschen eines teilnehmenden Menschen und Gläubigen genügte; noch weniger einen Aufriß der geistigen Strömungen, die widereinanderwogten und sich gegenseitig fortzureißen strebten. Alles das muß aus den Schriften der damaligen Zeiten erhoben werden, die erheblich zahlreicher und zuverlässiger sind als etwa die des dritten Jahrhunderts. Und nur deswegen ist Hilarius zu Bedeutung gelangt, weil er in die Kämpfe seiner Zeit hineingezogen wurde und in ihnen seinen Geist und Glauben bewähren konnte. Das veranlaßt, einen Blick auf die Glaubenskämpfe der damaligen Zeit zu tun. Glaubens-kämpfe. * Glaubens-kämpfe: nein. Glaubens-kämpfe: ja. Denn es würde Unrecht sein, von vornherein jeden Irrlehrer1 schlechten Willens zu zeihen, trotz der wenig liebreichen Worte, mit denen sich die Streiter bedachten; spricht doch sogar ein Synodalschreiben (Sardica 343) von den „Ariusbesessenen‟; und Hilarius ist nicht um eindeutige und kraftvolle Wendungen verlegen, wenn er seine Gegner kennzeichnen will. Aber man darf nicht übersehen: zuerst wollten alle* Beteiligten den* wahren* Glauben vertreten; und erst späterhin, wenn man den Unterschied der Auffassungen bemerkte, wenn man sich entscheiden mußte, ob man mehr Glauben oder Einsicht fordere, ob man mehr zu Eigensinn oder zu Willigkeit geneigt sei; wenn nicht nur Geist und Gesinnung, sondern auch Amt und Einkommen zur Frage standen, dann brachen jene Häßlichkeiten auf, von denen weniger das offene Kämpfen als vielmehr das hinterhältige Umtreiben Zeuge und Ausdruck ist. Was denn war es, das die Menschen und Denker zu solcher Hingabe und Verbissenheit, zu solcher Versenkung und Verstiegenheit durchdrang. das Höchste des Denkens und Seins, das Religiöse. Und nicht etwa das Gute, wie Plato es erreicht hatte; nicht die Weltverneinung, wie die Stoa sie ausdachte; sondern das Göttliche in seinem geheimnisvollen Seins- und Beziehungsreichtum, wie Jesus Christus es gelehrt hatte. Das Göttliche oder der Göttliche.",396,de
Hilarius_von_Poitiers_Einleitung_zu__Des_heiligen_Bi_2,Hilarius von Poitiers,Einleitung zu: Des heiligen Bischofs Hilarius von Poitiers zwölf Bücher über die Dreieinigkeit,2,"Damit sind wir zum Kern des ganzen damaligen Fragengefüges oder Fragengewühles vorgestoßen. Man fand es als klare Lehre der Hl. Schrift, daß es nur* einen* Gott gebe, daß dieser Gott ausschließliche Geltung für sich in Anspruch nehme. Weniger klar erkannt als mehr nur geahnt kam noch dies hinzu, daß man in der unaussagbaren Überlegenheit, in der geheimnisvollen Seins- und Lebensfülle des Gottes den Grund erahnte, warum es nur* ein* Göttliches oder, wie man lieber, weil anschaulicher und schriftgemäßer, sagte, nur* einen* Gott geben könne. Trotzdem war es ebenso klare Lehre derselben Schrift und Voraussetzung des kirchlichen Glaubenslebens, daß auch Jesus Christus Göttlichkeit für sich in Anspruch nehme, und überdies, daß er als Mensch gelten solle. Da und dort erkannte man auch schon, daß die ganze Fragenverwirrung nur noch vermehrt würde, wenn auch für den Hl. Geist volle Göttlichkeit geltend gemacht werde. Doch voerst legte man sich auf die Untersuchung fest, wie man das Verhältnis zwischen dem einen Gott und Jesus Christus deuten solle, eine Beschränkung, die einer raschen und glatten Erledigung der anderen Frage nur von Nutzen sein konnte, nämlich dieser, wie das Verhältnis zum Hl. Geist gedacht werden solle. Gerade bei diesen Schwierigkeiten, die um das Innerste des christlichen Glaubens sich mühen, zeigt es sich klar, daß auch die „Irrlehrer‟ ursprünglich durchaus nicht darauf aus waren, „neue‟ Lehren zu erfinden, sondern darauf, den vorgelegten Glaubensinhalt zu ordnen und in ausgeglichene Beziehungen zu setzen. Sie wollten also durchaus alle „rechtgläubig‟ sein und verfochten mit Leidenschaft den Anspruch, den wahren Glauben zu besitzen. Das „Irrelehren‟ kam dadurch zustande, daß sie nicht in genügender Weise einerseits das Überragen der Gottheit, anderseits die Enge menschlichen Denkens — was beides wie Bild und Gegenbild zusammengehört — beachteten; daß sie also vorschnell ihre Auffassungen für endgültig hielten und so nicht den Blick weit genug hielten, um die gesamte Schriftlehre — auf sie stützte man sich zumeist — von Gott und Christus in ein ausgeglichenes Gefüge zu bringen. Der Beweis dafür, daß man das Rechte wenigstens wollte, liegt darin, daß innerhalb des Glaubensgutes alle diejenigen Möglichkeiten erschöpft wurden, die zu einem Irrtum hätten Anlaß geben können, und zwar auch in solcher Reihenfolge, daß die geschichtliche Abfolge der dogmatischen Kämpfe und Entscheidungen zugleich die beste Einführung in die überzeitlich geltenden Zusammenhänge der Glaubenswirklichkeit ist. Den engen Zusammenhang mit dem Judentum bewies das Christentum darin, daß es zunächst die* Einheit* Gottes hervorhob.",394,de
Hilarius_von_Poitiers_Einleitung_zu__Des_heiligen_Bi_3,Hilarius von Poitiers,Einleitung zu: Des heiligen Bischofs Hilarius von Poitiers zwölf Bücher über die Dreieinigkeit,3,"Die Vertreter dieser Richtung nennt man „Monarchianer‟, im Anschluß an Tertullian (vgl. adv. Prax. 3), weil man die „Alleinherrschaft‟ Gottes unangetastet lassen wollte. Man versuchte es einerseits dadurch, daß man Gott und Christus zu sehr voneinander trennte, anderseits dadurch, daß man sie zu sehr in eins setzte. Zu der ersten Gruppe gehört Theodot der Gerber aus Byzanz, der seine Glaubensverleugnung in einer Verfolgung damit zu rechtfertigen suchte, daß er doch nur einen Menschen verleugnet habe, der zwar der Messias sei, auch wunderbar aus der Jungfrau geboren, auch bei seiner Taufe mit dem Hl. Geist begabt wurde, aber doch nicht wahrer Gott sei. Theodot wurde um 190 von Papst Viktor exkommuniziert. Tiefer drang Paul von Samosata,2 seit 260 Bischof von Antiochien. Er spricht von „Wort‟ (λόγος) [logos] und „Wesen‟ (οὐσία) [ousia], den Kampfwörtern des vierten Jahrhunderts. Christus sei Mensch, aber vom Logos als göttlicher Kraft erleuchtet; er sei „gleichwesentlich dem Vater‟ (ὁμοούσιος τῷ πατρί) [homoousios tō patri], wobei er Wesen mit Personträger gleichsetzt* (οὐσία = ὑπόστασις)*. Er wurde zu Antiochien 268 verurteilt und abgesetzt. Bei ihm gewinnt das Wort Irrlehrer schon etwas von dem Nebenklang des menschlichen Minderwertes. 3 Zu der zweiten Gruppe der Monarchianer, die zu sehr den Unterschied zwischen Gott und Christus aufhoben, gehört Sabellius, Priester aus Libyen († um 260). Nach ihm ist die Gottheit schlechthin* eins*, nur die Weisen ihrer Betätigung nach außen hin (modi operationis; Modalismus) lassen ihn dreipersönlich erscheinen: als Vater in der Weltschöpfung, als Sohn in der Erlösung, als Hl. Geist in der Heiligung und Leitung der Kirche. Als Folgerung ergibt sich ohne weiteres, daß im Sohn nicht eine eigenständige, vom Vater verschiedene göttliche Person gelitten hat, sondern vielmehr der Vater: „Patripassianer. ‟ Die endgültige Klarstellung, wo der Irrtum des Sabellius liege, erfolgte erst durch die Kirchenversammlung von Nicäa , wenn auch schon gleich Dionysius von Alexandrien und Dionysius von Rom ihn zurechtwiesen. So also war das Erbe des dritten Jahrhunderts an das vierte: es widersprach der kirchlichen Lehre auf das entschiedenste, von nur* einem* Gott zu lehren, in der Weise, daß dadurch die Göttlichkeit Jesu Christi gefährdet wurde. Anderseits aber galt es, die Gefahr zu vermeiden, Jesus Christus als Gott so herauszuheben, daß es zwei „Götter‟ gebe. Am deutlichsten wird das in den Schriften des Origenes (185/6―254/5), der einerseits klar die Gottheit des Sohnes behauptet, anderseits aber doch in solcher Weise von Christus spricht, daß er ihn dem Vater unterordnet (Subordinatianismus).",398,de
Hilarius_von_Poitiers_Einleitung_zu__Des_heiligen_Bi_4,Hilarius von Poitiers,Einleitung zu: Des heiligen Bischofs Hilarius von Poitiers zwölf Bücher über die Dreieinigkeit,4,"Diese letztere Möglichkeit wurde von Arius ausgebaut. Er war etwa um 280 in Libyen geboren und erhielt seine Ausbildung in Alexandrien, zeitweilig auch in Antiochien, wo er Schüler des Lucian von Samosata war († als Märtyrer am Januar 312 in Nikomedien). Gerade dessen Unterricht betrachtete er als für sich entscheidend; denn Arius nennt sich und seine Parteigänger mit Stolz „Syllucianisten‟. Von der uns wenig mehr durchsichtigen Lehre des Lucian darf soviel als gewiß gelten, daß er sehr stark die Ungezeugtheit und Anfangslosigkeit Gottvaters betont hat; undurchsichtig aber ist, wie Lucian das Verhältnis des Logos einerseits zu Gott, anderseits zu Christus bestimmt hat. Die Trinitätslehre des Arius, genauer seine Lehre über das Verhältnis von Vater und Sohn, ist aus verschiedenen Quellen hergenommen. Sie stellt den anfangs gutgläubig unternommenen Versuch dar, die Verbindung zwischen einerseits dem kirchlichen Glaubensgut und anderseits den philosophischen Gedankengängen herzustellen; sie ist aber weder Zeugnis tiefen Nachdenkens noch echter Gläubigkeit, sondern Ausdruck seines starren Einsehen-wollens und unschmiegsamen Wahrhaben-wollens. Fürs erste gilt ihm, daß dem Vater unbestrittener Vorrang zukomme, insbesondere das Ungezeugt- und Ungewordensein; fürs zweite sucht er eine Verbindung zwischen diesem Gott und der geschöpflichen Welt herzustellen: eben durch den Logos, der in Christus ist; fürs dritte versucht er dem Logos seine Überlegenheit über die Welt zu wahren, indem er ihn zwar erschaffen sein läßt — auf Grund eines Willensentschlusses des Vaters ―, zwar vor der Erschaffung der Welt, also* innerhalb* der Zeit, aber doch* vor* der geschöpflichen Zeit; fürs vierte bestreitet er dem Christus eine menschliche Seele, an deren Stelle der Logos tritt; und er bestreitet es deshalb, um das Leiden Christi verständlich machen zu können; freilich ist diese letzte Behauptung nicht in denjenigen Auslassungen enthalten, die von Arius auf uns gekommen sind, sondern ist anderwärts berichtet (bei Hil. , De tri, 50; Epiphan. , Pan. haer. 69, 19, 7; Ancor. 33, 4); fürs fünfte endlich kommt Christus der Name „Gott‟ nur aus Huld, nicht dem Wesen nach zu. Arius hat dies erreicht, daß er Gott (-Vater) die Ungezeugtheit vorbehielt, ihn aber zugleich soweit von der Welt trennte, daß er glaubte, eines Mittelwesens bedürfen zu müssen; und auch bei diesem war der „Logos‟ nicht etwa die göttliche Vernunfteinsicht, sondern selbst wieder ein Geschöpf. Starr und straff wie des Arius Haltung und Sprechweise war auch seine Christologie.",379,de
Hilarius_von_Poitiers_Einleitung_zu__Des_heiligen_Bi_5,Hilarius von Poitiers,Einleitung zu: Des heiligen Bischofs Hilarius von Poitiers zwölf Bücher über die Dreieinigkeit,5,"Nüchtern, ohne religiösen Schwung, aber getragen von herber Selbstbeherrschung und düsterem Asketismus, der zu leicht zum schwärmerischen Fanatismus wird und bei ihm wurde. Mit Recht urteilt Seeberg über ihn: „Er bearbeitet die Religion ohne Religion, er ist unerbittlich sachlich und eben darum ganz unsachlich; er will alles verstehen, und gerade darum fehlt es ihm an Verständnis‟ (Dogmengesch. Bd. , Aufl. , /28). Das Neue war bei Arius nicht dies, daß er eigene Gedanken vorbrachte, sondern dies, daß er die veränderte Zeitlage zu nutzen und die Verbindung von Staat und Kirche auszubeuten verstand. Und auch das würde ihm nicht den Erfolg gegeben haben, den er fand, wenn nicht die Verbindung von Priester und Volk damals so eng gewesen wäre (vgl. Ehrhard, Die Kirche der Märtyrer, ), daß man auf dem Markt wie in den Kirchen, in den Bischofshäusern wie am kaiserlichen Hof überall dieselben Dinge besprach, anders freilich nach Wunsch und Kenntnis. Und des Arius Fehler war weniger sein Irren ― das taten auch Rechtgläubige ― als vielmehr sein hartnäckiges Beharren, ein Beweis seiner geistigen und religiösen Enge. Die Lehre des Arius wurde sofort in ihrer Gefährlichkeit erkannt und auf einer Kirchenversammlung zu Alexandrien verworfen. Doch jetzt zeigte sich, daß eine neue Zeit geworden war: die Lehrkämpfe blieben nicht mehr rein kirchliche Angelegenheit, sondern wurden solche des öffentlichen, des staatlichen Lebens. Wie Arius weite Volkskreise zu gewinnen wußte, so auch anfänglich den Kaiser Constantin, bis Bischof Hosius aus Corduba (257— ) ihm die Bedeutung der Lehre des Arius klarlegte und ihn umstimmte. Daraufhin berief Constantin die Synode von Nicäa in Bithynien , die die Gottheit des Sohnes, insbesondere seine Gleichwesentlichkeit mit dem Vater, festlegte. Damit war der Weg beschritten, der gerade den arianischen Kämpfen das Gepräge gab: Festlegung des Glaubens durch Kirchenversammlungen und Verpflichtung der Rechtgläubigen auf Glaubensbekenntnisse. Mit Meisterschaft wußten die Verfechter des Arianismus diese neuen Mittel zu handhaben, mit erstaunlicher Geschicklichkeit alle Menschlichkeiten in ihre Pläne einzustellen, um — ihre eigenen Menschlichkeiten zu fördern: Geltung bei Hof, Gewinn von Macht und Erwerb von Reichtum. Anderseits waren die kirchlichen Spaltungen den Kaisern ein erwünschtes Mittel, in der Zuweisung ihrer Gunst sich sehr umwerben zu lassen und diejenigen zu bevorzugen, die ihnen am ehesten die Einheit und den Bestand des Reiches zu gewährleisten schienen. Zugleich war ein Weiteres von grundsätzlicher Bedeutung gegeben: die Bedeutung theologischer Arbeit für die Reinerhaltung des Glaubens.",390,de
Hilarius_von_Poitiers_Einleitung_zu__Des_heiligen_Bi_6,Hilarius von Poitiers,Einleitung zu: Des heiligen Bischofs Hilarius von Poitiers zwölf Bücher über die Dreieinigkeit,6,"Was im Morgenland die Schulen zu Antiochien und Alexandrien, was im Abendland einzelne Denker — Tertullian (um 160 bis nach 220), Hippolyt († 235), Novatian (251 Gegenpapst gegen Cornelius) ― geleistet hatten, war nicht nur Gelehrtenarbeit, sondern gewann jetzt seine Bedeutung für das Leben der Gesamtkirche. Zum erstenmal machte die Kirche in Nicäa ihr Recht geltend, maßgeblich und endgültig die Lehre festzulegen; und dazu gehörte auch dies, solche Begriffe zu wählen, die in ihrer Eindeutigkeit der Irrlehre keine Ausflucht ließen; auch solche Begriffe, die nicht in der Schrift standen. In Nicäa wählte man „Wesen‟* (οὐσία)* [ousia] und insbesondere „gleichwesentlich‟* ὁμοούσιος* [homoousios] als die angemessenen Begriffsworte für die Festlegung der Glaubenslehre. Doch Constantin stellte sich um: 328 durften die verbannten arianischen Bischöfe heimkehren; der rechtgläubige Bischof Eustathius von Antiochien wurde 330 abgesetzt und verbannt († 337 in der Verbannung in Thracien) und Athanasius, der gewaltige Vorkämpfer der Rechtgläubigkeit (295—373), 335 nach Trier verbannt; 336 sollte Arius in die Kirche aufgenommen werden, starb aber tags zuvor. Constantin starb 337, Athanasius kehrte 338 zurück. Er wurde aber auf der Kirchweihsynode in Antiochien 341 wieder abgesetzt, durfte jedoch nach der Synode von Sardica 343 wieder zurückkehren, was allerdings erst 346 tatsächlich wurdn Sardica verwarf man die Behauptung, der Vater und der Sohn und der Hl. Geist seien verschiedenen Wesens; setzte man sich dafür ein, daß Vater und Sohn* eines* Wesens seien, wobei man freilich für „Wesen‟ gerade dasjenige Wort benutzte* (ὑπόστασις)* [hypostasis], das man später der Bezeichnung „Person‟ vorbehielt. Die Abendländer hatten 345 und 347 in Mailand eine Kirchenversammlung gehalten und Photin von Sirmium († 375/6) abgesetzt, der die Personhaftigkeit des Logos leugnete und in die Denkweise des Paulus von Samosata zurückfiel. Athanasius kehrte zurück, Ursacius von Singidunum (Belgrad) und Valens von Mursa (an der Save; Mitrowitza), die einflußreichen Vorkämpfer des Arianismus, machten Frieden mit Rom und Athanasius. Ebenso haben die Morgenländer auf der ersten sirmischen Kirchenversammlung den Photin abgesetzt. Da wurde Constantius, der Kaiser des Westens und Schützer des Nicänums, ermordet. Die zweite sirmische Kirchenversammlung verwarf zwar die arianischen Formeln („er war einmal nicht‟), stellte aber den Sohn unter den Vater. Die Abendländer wurden gezwungen, auf den Kirchenversammlungen zu Arelate (Arles, 353), Mailand , Biterrä die Absetzung des Athanasius auszusprechen.",367,de
Hilarius_von_Poitiers_Einleitung_zu__Des_heiligen_Bi_7,Hilarius von Poitiers,Einleitung zu: Des heiligen Bischofs Hilarius von Poitiers zwölf Bücher über die Dreieinigkeit,7,"Die Widerstrebenden wurden verbannt: Eusebius von Vercellä (283 bis 371), Dionysius von Mailand (seit etwa 351 Erzbischof von Mailand), Lucifer von Calaris († 370/371), Hosius von Corduba (257―358), Liberius von Rom (Papst 352 bis 366) und Hilarius von Poitiers († 367). Immer mehr waren auf diesen Kirchenversammlungen die eigentlichen arianischen Stichwörter aufgegeben worden; immer mehr hatte sich die Erörterung daraufhin zugespitzt, was man bei der Bestimmung des Verhältnisses von Vater und Sohn mehr hervorheben wolle: entweder die Gleichheit des Wesens unter Wahrung der Personenverschiedenheit („gleichwesentlich‟, ὁμοούσιος [homoousios]) oder aber die Verschiedenheit der Personen unter Wahrung der Gleichheit des Wesens („ähnlichwesentlich‟, ὁμοιούσιος [homoiousios]). Darum gingen die Kämpfe, für die sprachliche Fassung dieser Beziehungen die Formeln zu finden, z. B. die vielumkämpfte: „ähnlich dem Vater in allem‟, die schon bei Cyrill von Jerusalem vorkommt (Cat. 4, 7). Dabei darf auch nicht übersehen werden, daß ὅμοιος [homoios] mehr besagt als unser „ähnlich‟, viel näher bei „gleich‟ liegt, wie man aus Joh. 5, 19 ersehen mag. Von daher begreift man die Verwunderung des Hilarius, der es sah und sagte und verfocht, daß „gleichwesentlich‟ und „ähnlichwesentlich‟ im Grunde dasselbe meinten. Diese Entwicklung war den strengen Arianern zuwider; sie beharrten auf dem „wesensungleich‟ und nannten sich Anhomöer. Ihr Führer war Acacius von Cäsarea († 366). Ursacius und Valens waren die Führer der gemäßigten Arianer, der Homöusier, alle drei einflußreiche Hofbischöfn langem Hin- und Widerkämpfen einigte man sich auf des Kaisers Seite auf die Formel ( sirmische Kirchenversammlung 359): „ähnlich nennen wir den Sohn dem Vater in allem, wie die hl. Schriften es sagen‟. Die Abendländer lehnten sie zu Ariminum ab; ihre Abordnung wurde aber gezwungen, eine ähnliche Formel in Nice zu unterzeichnen. Die Annahme in Seleucia war von vornherein gesichert. Der Arianismus hatte gesiegt: äußerlich. Und dennoch: er unterlag dem rechten Glauben. Denn nun waren mittlerweile die Begriffe geklärt, wie eine Denkschrift lehrt, die von Georgius von Laodicäa († zwischen 360 und 363) und Basilius von Ancyra († nach 360) etwa 359 verfaßt war. Für das* Wesen* galt, daß es bei Vater und Sohn das gleiche war: die* οὐσία* [ousia]. Für das Personsein, daß es verschieden war: * ὑπόστασις* [hypostasis]. Constantius starb Athanasius durfte unter Julianus zurückkehren. Dieser alte Kämpfer überschaute sofort die Gunst der Lage.",370,de
Hilarius_von_Poitiers_Einleitung_zu__Des_heiligen_Bi_8,Hilarius von Poitiers,Einleitung zu: Des heiligen Bischofs Hilarius von Poitiers zwölf Bücher über die Dreieinigkeit,8,"Er berief 362 eine Kirchenversammlung nach Alexandrien, wo die Begriffe „Wesen‟ (οὐσία) [ousia] und „Person‟ (ὑπόστασις) [hypostasis] festgelegt wurden, so daß die Einhelligkeit zwischen Morgen- und Abendland im Grunde hergestellt war; denn beide hatten eigentlich das gleiche gemeint. Klar und scharf war damit auch die Scheidung gegen die Anhomöer gegeben, die nun offen als Irrlehrer gekennzeichnet waren. Hilarius von Poitiers Berufung [Forts. v. ] In diese Kämpfe wurde Hilarius von Poitiers hineingezogen. War er für sie gerüstet. Hatte er die angemessene Einsicht in die umstrittenen Fragen, in die damalige Lage in Kirche und Staat. Ja und nein: Beides weisen seine Schriften aus. Denn auf sie ist man im wesentlichen angewiesen, um seinen Lebensgang, seine Stellung zu Glaube und Theologie, seine Persönlichkeit und Wirksamkeit klarzustellen. Von ihm gilt besonders, daß er nur um der Sache willen fortlebt und nur insoweit, als sie es ermöglicht hat; daß er also nur etwa für ein knappes Jahrzehnt sichtbar ist, auf der Höhe seines Wirkens als Bischof. Zunächst nein: Hilarius war nicht gerüstet, sofern man damit meint, er habe von Beginn seiner Mannes- oder sogar Jünglingsjahre an Einblick in die kirchliche und staatliche Lage gehabt; er habe in planmäßiger Arbeit sich die Waffen zurechtgelegt, mit denen er zu gegebener Zeit in den Kampf einzugreifen gedachte. Er gesteht ja selbst (De sy), daß er bis zum Jahre 355 von „gleichwesentlich‟ (ὁμοούσιος [homoousios]) und „ähnlichwesentlich‟ (ὁμοιούσιος [homoiousios]) nichts gehört habe, überhaupt die brennenden und zehrenden Flammen nicht sah und verspürte. Dann aber ja: Hilarius war doch gerüstet, sofern man damit meint, daß er die innere Kraft und Bereitschaft hatte, seine Person einzusetzen; daß er die Einsicht und Umsicht besaß, die notwendigen Erkenntnisse und Kenntnisse sich anzueignen; daß er vor allem einen festen Wurzelstock gläubigen Wesens in sich trug, aus dem sein Denken und Schreiben und Handeln aufwachsen und sich geltend machen konnte: wie ebenfalls seine Schriften ausweisen. Trefflich kennzeichnet er sich selbst: „(Erst) kürzlich wiedergeboren und (erst) eine Zeitlang im Besitz des Bischofsamtes, habe ich vom Glauben des Nicänums nie etwas gehört, als gerade damals, als ich in die Verbannung ging; aber die Einsicht in das ‚gleichwesentlich‘ (ὁμοούσιος [homoousios]) und das ,ähnlichwesentlich‛ (ὁμοιούσιος [homoiousios]) haben mir die Evangelien und Apostel innerst zu eigen gemacht‟ (De sy). Auf Hilarius trifft des hl. Augustinus Wort zu: „Viele, die aufs beste die (hl.",383,de
Hilarius_von_Poitiers_Einleitung_zu__Des_heiligen_Bi_9,Hilarius von Poitiers,Einleitung zu: Des heiligen Bischofs Hilarius von Poitiers zwölf Bücher über die Dreieinigkeit,9,"Schriften auffassen und darstellen konnten, waren im Volke Gottes in Verborgenheit da; sie vertraten aber nicht die Lösung schwieriger Fragen, da kein Leugner auftrat. Wurde etwa in vollgültiger Weise über die Dreieinigkeit gehandelt, ehe die Arianer ausfällig wurden. Wurde etwa in vollgültiger Weise über die Buße gehandelt, ehe die Novatianer Widerstand boten. ‟ (Comment. in ps. 54, ) [Forts. v. ] Schon gleich die erste Frage ist von Wichtigkeit: hat Hilarius diese Befähigung zum Glaubensstreiter dadurch gewonnen, daß er in einer Familie geboren und erzogen wurde, in der gläubige Gesinnung und kirchliche Gesittung selbstverständlicher Lebenskreis war; oder dadurch, daß er sich selbst den Weg vom Heidentum zum Christentum hin hat suchen müssen. Eine klare Nachricht fehlt, doch lassen seine Schriften die zweite Möglichkeit fast zur Gewißheit werden. „Wir sollten erkennen, daß nach dem Bade der Taufe einerseits von den himmlischen Toren her der Hl. Geist auf uns herabschwebe, anderseits wir mit der Salbung der Herrlichkeit durchgossen und durch die Kindschaftserklärung der väterlichen Stimme Söhne Gottes würden‟ (In Matth. 2, 6). „Wir werden nämlich* nach* einem unerträglichen Hunger mit den geistlichen Speisen himmlischer Erkenntnis ernährt; die Fesseln wurden gelöst, die uns nicht zum Ewigen hineilen ließen; verweht wurde die Blindheit durch die huldvoll gewährte Weisheit, und wir erschauen unsern Schöpfer mit den Augen der Einsicht‟ (In ps. 145, 5). Denn „mag auch die mühsam erarbeitete Bildung weltlicher Lehre da sein, mag auch des Lebens Unschuld da sein: das wird zwar zu einem frohen Zustand des Gewissens von Nutzen sein, nicht aber wird es die Erkenntnis Gottes erreichen‟ (De tri, 21). „Dann (erst), nach dem Empfang dieses Geheimnisses der Ehrfurcht (nämlich des Glaubens, insbesondere an die Menschwerdung und Erlösung), nach einer Nacht des Nichtwissens hingestellt in das Licht des Wissens, (dann erst) mag er sprechen: ,Soll nicht Gott meine Seele unterworfen sein. Von ihm nämlich kommt mein Heil. Er nämlich ist mein Gott, mein Heiland, mein Helfer, nicht werde ich fürderhin wanken. ‘ Wer also nach schweifenden Irrfahrten und nach dem Meinen des Falschglaubens den Ruhsitz des Glaubens fand, der wankt fürderhin nicht, weil er seinen Helfer und Heiland erkannt hat‟ (In ps. 61, 2). Und wie findet man diese Erkenntnis.",359,de
Hilarius_von_Poitiers_Einleitung_zu__Des_heiligen_Bi_10,Hilarius von Poitiers,Einleitung zu: Des heiligen Bischofs Hilarius von Poitiers zwölf Bücher über die Dreieinigkeit,10,"„Als du mich zum Leben beseelt und auch die Einsicht der Vernunft mir gewährt hast, da hast du mich zur Erkenntnis deiner herangebildet, durch Bücher, die ich für heilig halte, und zwar des Moses und der Propheten, deiner heiligen Knechte‟ (De tri, 19). „Zu spät hat mein Glaube, den du gebildet hast, diese zu Meistern gewonnen. Ohne sie gehört zu haben, so habe ich meinen Glauben geschenkt, so ihn durch die Wiedergeburt erlangt; und so bin ich darum dein‟ (De tri, 21). Noch schärfer faßt Hilarius den Gegensatz: „Wir und die anderen vor uns, von Schamlosen und Begehrlichen und Unreinen und Blutgierigen gezeugt und geboren fast wie die Jungen von Raben, wir rufen Gott an durch Erkenntnis, Bekenntnis, Dienst: damit wir aus Joch- und Herdenvieh durch die Erkenntnis Gottes zu Menschen würden, der Vernunft nämlich teilhaftig geworden aus solchen, die der Vernunft bar waren‟ (In ps. 146, 12). Deutlicher spricht Hilarius: „Was ich beim Glaubensbekenntnis meiner Wiedergeburt, getauft im Vater und Sohn und Hl. Geist, bekannt habe, will ich immer halten‟ (De tri, 57). „(Erst) kürzlich wiedergeboren und (erst) eine Zeitlang im Bischofsamt, habe ich vom Glauben des Nicänums nie etwas gehört‟ (De sy). Die vorgelegten Stellen sind zunächst noch so allgemein gehalten, daß man nicht weiß, ob sie nur den Unterschied zwischen einem Nichtgetauften und Getauften herausheben wollen oder aber den Übergang eines Heiden zum Christentum darstellen möchten. Fortschreitend aber werden die Aussagen bestimmter; und wenn man diese gelegentlichen Äußerungen zusammennimmt, erhellen sie, glaube ich, in eindeutiger Weise die einleitenden Kapitel des Buches De trinitate, wo Hilarius von dem Ungenügen spricht, das ein Leben ohne einen geistigen Gott bewirkt, auch wenn es über Reichtum und Überfluß verfügt (De tri, 1); von dem Sehnen des Menschen nach einer guten Lebenserfüllung (1, 2); von dem Bemühen des Geistes um Gotteserkenntnis (1, 3); von der einzigartigen Bedeutung der alttestamentlichen Schriften (1, 5). Man darf in dieser Schilderung den Rückblick des Hilarius auf seinen Lebensgang erblicken, geschrieben mit der Zurückhaltung eines vornehmen Geistes, aber um so überzeugter, je mehr er durch die Glaubenskämpfe sein Bestes und Höchstes — ein geistiges Leben um eines geistigen Gottes willen — in Frage gestellt sah. Hilarius war also zuerst Heide, ehe er Christ und Priester und Bischof wurde.",371,de
