id,author,work_title,section,text,word_count,language
Ignatius_von_Antiochien_Die_sieben_Briefe_des_Ignatius_1,Ignatius von Antiochien,Die sieben Briefe des Ignatius von Antiochien,1,"Des heiligen Ignatius Briefe Ignatius an die Epheser Ignatius, der auch Theophorus (heißt), entbietet vielmals Gruß in Jesus Christus und in vollkommener Freude der mit Recht überglücklichen Kirche von Ephesus in (Klein-) Asien, die gesegnet ist in der Größe Gottes des Vaters durch reiche Gnade, die vor allen Zeiten vorherbestimmt ist, auf dass sie immerdar sei zum bleibenden, unveränderlichen Ruhme geeint und auserwählt in wahrem Leiden nach dem Willen des Vaters und Jesu Christi, unseres Gottes. Kap. Lob der Gemeinde von Ephesus und ihres Bischofs Onesimus. Ich habe aufgenommen in Gott deinen vielgeliebten Namen (= die Gemeinde Ephesus), den ihr erworben habt durch euer gerechtes Wesen gemäß eurem Glauben und eurer Liebe in Christus Jesus, unserem Erlöser; da ihr Nachahmer Gottes seid, habt ihr, im Blute Gottes zu neuem Leben gelangt, das Werk der Bruderliebe vollkommen ausgeübt. Denn sobald ihr hörtet, dass ich, gefesselt um des gemeinsamen Namens und gemeinsamer Hoffnung willen, von Syrien her komme, im Vertrauen, durch euer Gebet (unterstützt) in Rom den Kampf mit den wilden Tieren ausfechten zu dürfen, damit ich dadurch es erlangen könne, ein Jünger (Christi) zu sein, da waret ihr eifrig bemüht, mich zu sehen. Ich habe also eure ganze Gemeinde im Namen Gottes empfangen in der Person des Onesimus, eines Mannes von unbeschreiblicher Liebe, eures Bischofs im Fleische, den ihr nach Christus - das wünsche ich - (am meisten) lieben und dem ihr alle ähnlich sein sollt; denn gepriesen sei der, dessen Huld euch für würdig hielt, einen solchen Bischof zu besitzen. Kap. Lob der übrigen Abgesandten; Mahnung zur Eintracht. Bezüglich meines Mitknechtes Burrus, nach Gottes Willen eures in allen Dingen gepriesenen Diakons, hege ich den Wunsch, dass er (bei mir) bleibe zu eurer und des Bischofs Ehre; auch Krokus, der Gottes und eurer würdig ist, den ich als Zeichen eurer Liebe empfing, hat mich in jeder Hinsicht aufgerichtet, wie auch ihn selbst der Vater Jesu Christi erquicken möge zugleich mit Onesimus, Burrus, Euplus und Fronto, durch die ich euch alle der Liebe nach gesehen habch möchte mich immerdar erfreuen an euch, soweit ich dessen würdig bin; daher geziemt es sich, dass ihr in jeder Hinsicht verherrlichet Jesus Christus, der euch verherrlicht hat, damit ihr, in einheitlicher Unterordnung verbunden, in Gehorsam gegen den Bischof und das Presbyterium in allem geheiligt seid. Kap. Nicht hohe Meinung von mir, sondern die Liebe zu euch drängt mich zu dieser Mahnung.",395,de
Ignatius_von_Antiochien_Die_sieben_Briefe_des_Ignatius_2,Ignatius von Antiochien,Die sieben Briefe des Ignatius von Antiochien,2,"Ich gebe euch meine Mahnungen nicht, als ob ich etwas wäre. Denn wenn ich auch um des Namens willen Fesseln trage, so bin ich doch noch nicht vollkommen in Jesus Christus. Ich fange nämlich jetzt erst an mit der Jüngerschaft (Christi) und rede zu euch als zu meinen Mitschülern; denn von euch musste ich (zum Kampfe) gesalbt werden durch Glauben, Ermunterung, Geduld und Langmut. Aber weil mich die Liebe nicht schweigen lässt, wenn’s euch angeht, deshalb habe ich mir vorgenommen, euch zu ermahnen, dass ihr in Übereinstimmung mit dem Willen Gottes wandelt. Denn auch Jesus Christus, unser untrennbares Leben, ist der Wille des Vaters, wie auch die Bischöfe, die bis an die Grenzen der Welt aufgestellt sind, im Willen Jesu Christi sind. Kap. In eurer Eintracht erklingt Gottes Lob, daraus erwächst euch Segen. Daher ziemt es sich für euch, dem Willen des Bischofs entsprechend zu wandeln, wie ihr es auch tut. Denn euer ehrwürdiges Presbyterium, seines Gottes wert, ist so mit dem Bischof verbunden, wie die Saiten mit der Zither. Deshalb erklingt Jesu Christi Lied in eurer Eintracht und einmütigen Liebe. Aber auch die einzelnen sollen einen Chor bilden, damit ihr in Eintracht zusammenstimmet, in Einigkeit die Melodie Christi auffasset und mit einer Stimme durch Jesus Christus dem Vater (lob)singet, auf dass er euch höre und aus euren guten Werken erkenne, dass ihr Glieder seid seines Sohnes. Es ist also gut, dass ihr in vollendeter Eintracht lebet, damit ihr auch an Gott allezeit Anteil habet. Kap. Wer sich von der Gemeinde trennt, schädigt sich selbst. Wenn nämlich ich in so kurzer Zeit zu eurem Bischof in so enge Beziehung getreten bin, die nicht menschlich, sondern geistig ist, um wieviel mehr muss ich euch glücklich preisen, die ihr (ihm) so fest verbunden seid, wie die Kirche mit Jesus Christus und wie Jesus Christus mit dem Vater, damit alles in Eintracht zusammenstimme. Keiner lasse sich irreführen: Wer nämlich nicht innerhalb der Opferstätte ist, der kommt um das Brot Gottes. Wenn nämlich das Gebet eines einzigen oder zweier (Menschen) eine solche Kraft hat, um wieviel mehr das Gebet des Bischofs und der ganzen Gemeinde. Wer also nicht zur Versammlung kommt, der ist schon von Hochmut besessen und hat sich selbst gerichtet. Denn es steht geschrieben: „Den Hochmütigen widersteht Gott“[^1]. Hüten wir uns also davor, mit dem Bischof uns zu entzweien, damit wir im Gehorsam gegen Gott verharren.",394,de
Ignatius_von_Antiochien_Die_sieben_Briefe_des_Ignatius_3,Ignatius von Antiochien,Die sieben Briefe des Ignatius von Antiochien,3,"1]: Spr 3:34; Jak 4:6; 1Petr 5: Kap. Den Bischof muss man achten wie den, der ihn gesandt hat; Einigkeit der Epheser. Und je mehr einer sieht, dass der Bischof schweigt (nicht tadelt), um so mehr Achtung soll er vor ihm haben; jeden nämlich, den der Herr des Hauses schickt zur Verwaltung seines Hauses, den müssen wir so aufnehmen wie den Sendenden selbst. Daher ist es klar, dass wir den Bischof so ansehen müssen wie den Herrn selbst. Nun ist Onesimus selbst voller Lob über euer Wohlverhalten in Gott, dass ihr nämlich alle der Wahrheit gemäß lebet und sich keine Irrlehre unter euch eingenistet hat, sondern dass ihr auf keinen mehr höret als auf Jesus Christus, der die Wahrheit redet. Kap. Vor den Irrlehrern muss man sich hüten wie vor bösen Hunden; Christus der wahre Arzt. Es ist nämlich üblich geworden, dass einige in verwerflichem Truge zwar den (Christen-) Namen zur Schau tragen, aber andere Dinge tun, die Gottes unwürdig sind; diesen müsst ihr ausweichen wie wilden Tieren. Das sind nämlich wütende Hunde, die heimlich beißen; vor diesen müsst ihr euch hüten, da sie (ihre Bisse) schwer zu heilen sind. Einer ist der Arzt, fleischlich sowohl als geistig, geboren und ungeboren, im Fleische wandelnd ein Gott, im Tode wahrhaftiges Leben, sowohl aus Maria als aus Gott, zuerst leidensfähig, dann leidensunfähig, Jesus Christus unser Herr. Kap. Ignatius warnt vor den Irrlehrern und erklärt sich als Opfer für die Epheser. Keiner soll daher euch verführen, wie ihr euch auch nicht verführen lasset; denn ihr gehöret ganz Gott. Wenn nämlich kein Streit bei euch eingedrungen ist, der euch quälen könnte, dann lebt ihr fürwahr Gott gemäß. Ein Sühnopfer für euch bin ich und werde auch geweiht für euch Epheser, die weitberühmte Kirche für ewige Zeiten. Die Fleischlichen können das Geistige nicht tun noch die Geistigen das Fleischliche, so wenig wie der Glaube die Werke des Unglaubens oder der Unglaube die des Glaubens. Aber auch was ihr dem Fleische nach tut, ist geistig; denn ihr tut alles in Jesus Christus. Kap. Freude über die Epheser, die den geistigen Tempel Gottes darstellen.",347,de
Ignatius_von_Antiochien_Die_sieben_Briefe_des_Ignatius_4,Ignatius von Antiochien,Die sieben Briefe des Ignatius von Antiochien,4,"Ich habe erfahren, dass einige von dort wieder abziehen mussten, weil sie eine schlechte Lehre hatten; ihr ließet sie ihre Saat bei euch nicht ausstreuen, indem ihr eure Ohren verstopftet, damit ihr die von ihnen ausgestreute Saat nicht aufnähmet, als Bausteine für den Tempel des Vaters, zubereitet für den Bau Gottes des Vaters, in die Höhe gehoben durch das Hebewerk Jesu Christi, welches ist das Kreuz, während euch als Seil diente der Heilige Geist; euer Glaube ist euer Führer nach oben, die Liebe der Weg, der zu Gott emporführt. Ihr seid also alle Weggenossen, Gottesträger und Tempelträger, Christusträger, Heiligenträger, in allen Stücken geschmückt mit den Geboten Jesu Christi; ich frohlocke auch über euch, da ich gewürdigt worden bin, durch diesen Brief mit euch zu reden und mich mit euch zu freuen, weil ihr entsprechend einem anderen (das ist nicht fleischlichen) Leben nichts liebet als Gott allein. Kap. Die Christen sollen den Heiden ein gutes Beispiel geben. Auch für die anderen Menschen betet ohne Unterlass[^2]. Denn auch in ihnen lebt die Hoffnung auf Umkehr, damit sie zu Gott gelangen. Gestattet ihnen daher wenigstens soviel, dass sie aus euren Werken lernen. Gegen die Ausbrüche ihres Zornes seid milde, gegen ihre prahlerischen Reden bescheiden, ihren Lästerungen stellt euer Gebet gegenüber, gegen ihre Verirrungen seid stark im Glauben[^3] gegen ihr ungestümes Auftreten seid sanft und hütet euch, ihnen nachzuahmen. Als ihre Brüder sollen wir erfunden werden durch unsere Nachgiebigkeit; wir wollen uns befleißen, Nachahmer des Herrn zu sein; wer wurde mehr beleidigt, mehr beraubt, mehr missachtet als er. Auf dass niemand unter euch als Pflänzlein des Teufels erfunden werde, sondern dass ihr in aller Reinheit und Mäßigung in Jesus Christus verbleibet fleischlich und geistig. [^2]: 1Thess. 5: [^3]: Kol 1:23; Röm 4:20; 1 Kor 16: Kap. Das Ende der Zeiten ist da und mahnt zur Gottesfurcht und zum Gebete. Die letzten Zeiten sind da; deshalb wollen wir auf der Hut sein und Furcht haben vor Gottes Langmut, dass sie uns nicht zum Gerichte werde. Entweder müssen wir Furcht haben vor dem kommenden Zorn oder die gegenwärtige Gnade lieben, eins von beiden, nur dass wir in Christus Jesus erfunden werden zum wahren Leben.",358,de
Ignatius_von_Antiochien_Die_sieben_Briefe_des_Ignatius_5,Ignatius von Antiochien,Die sieben Briefe des Ignatius von Antiochien,5,"Nichts gewinne euer Wohlgefallen außer ihm, in dem ich die Fesseln herumtrage, die geistigen Edelsteine, in denen mir die Auferstehung zukommen möge durch euer Gebet, dessen ich immer teilhaftig sein möchte, damit ich erfunden werde in den Reihen der Epheser, der Christen, die auch mit den Aposteln immer zusammengestimmt haben in der Kraft Jesu Christi. Kap. Lob der Epheser, an deren Stadt die vorbeikommen, die dem Tode für Christus entgegengehen. Ich weiß, wer ich bin und wem ich schreibch bin verurteilt, ihr habt Gnade gefunden; ich bin in Gefahr, ihr seid gefestigt. Ihr seid (= eure Stadt ist) der Durchgangspunkt für die, die (getötet werden, dass sie) zu Gott gelangen, ihr seid die Miteingeweihten des Paulus, der geheiligt, gemartert worden ist, des hochseligen, auf dessen Pfaden ich erfunden werden möchte, wenn ich zu Gott gelange, der in einem ganzen Briefe euer gedenkt in Christus Jesus. Kap. Mahnung zu häufigem Gottesdienste. Befleißiget euch daher, dass ihr häufiger zusammenkommt zur (Feier der) Eucharistie Gottes und zum Lobe. Denn wenn ihr euch oft versammelt, wird die Macht Satans gebrochen, und sein verderblicher Einfluss wird in der Eintracht eures Glaubens aufgehoben. Nichts ist besser als Friede, an dem aller Krieg himmlischer und irdischer Mächte abprallt. Kap. Alles beruht auf Glaube und Liebe; der Glaube muss standhalten bis ans Ende. Davon bleibt euch nichts verborgen, wenn ihr vollkommen seid in Glaube und Liebe zu Jesus Christus; denn das ist Anfang und Ende des Lebens. Anfang ist der Glaube, Ende die Liebe. Diese beiden, zur Einheit verbunden, sind Gott. Alles Übrige, was zum rechten Leben gehört, folgt aus diesen. Keiner, der den Glauben bekennt, sündigt, und keiner, der die Liebe besitzt, hasst. Den Baum erkennt man an seinen Früchten[^4]; so werden die, welche sich zu Christus bekennen, an ihren Werken erkannt werden. Denn jetzt kommt es nicht an auf das Bekenntnis, sondern darauf, dass einer in der Kraft des Glaubens befunden wird bis ans Ende. [^4]: Mt 12: Kap. Unser Reden, Schweigen und Tun sei ein Bekenntnis Gottes. Besser ist schweigen und etwas sein, als reden und nichts sein. Gut ist das Lehren, wenn man tut, was man sagt. Einer nun ist der Lehrer, der „sprach und es geschah“[^5], und das, was er schweigend getan hat, ist des Vaters würdig.",374,de
Ignatius_von_Antiochien_Die_sieben_Briefe_des_Ignatius_6,Ignatius von Antiochien,Die sieben Briefe des Ignatius von Antiochien,6,"Wer Christi Wort besitzt, kann wahrhaftig auch sein Schweigen vernehmen, damit er vollkommen sei, damit er durch sein Wort wirke und durch sein Schweigen erkannt werde. Nichts entgeht dem Herrn, sondern auch unsere Geheimnisse sind nahe bei ihm. Deshalb wollen wir alles tun, als ob er in uns wohnte, damit wir seine Tempel seien und er, unser Gott, in uns wohne, wie es auch ist und sich zeigen wird vor unserem Angesicht; deshalb sollen wir ihn auch richtig lieben. [^5]: Ps 32:9; 148:5; Jud 16: Kap. Die Anhänger der Irrlehren werden von Gott bestraft. Lasset euch nicht irreführen, Brüder; die die Ehre eines Hauses schänden, werden das Reich Gottes nicht erben[^6]. Wenn nun Leute, die dem Fleische nach solches verübten, dem Tode verfallen sind, um wieviel mehr, wenn einer den Glauben Gottes durch schlechte Lehre schändet, für den Jesus Christus gekreuzigt worden ist. Wer sich dadurch befleckt hat, wird in das unauslöschliche Feuer wandern, ebenso der, welcher ihn hört. [^6]: 1 Kor 6:9, 10; Eph 5: Kap. Warnung vor der Irrlehre und deren verderblichen Folgen. Deshalb nahm der Herr Salbe auf sein Haupt, damit er der Kirche Unverweslichkeit zuwehe. Salbet euch daher nicht mit dem üblen Geruch der Lehre des Fürsten dieser Welt, damit er euch nicht aus dem zu erwartenden Leben weg in die Gefangenschaft führe. Warum aber werden wir nicht alle (ohne Ausnahme) verständig, die wir doch die Kenntnis Gottes bekommen haben, das ist Jesus Christus. Warum gehen wir törichterweise verloren, da wir die Gnadengabe verkennen, die uns der Herr wahrhaft gesandt hat. Kap. Christus vom Heiligen Geiste empfangen, geboren und getauft. Mein Geist ist nur Auskehricht des Kreuzes, welches ist den Ungläubigen ein Ärgernis, uns aber Erlösung und ewiges Leben. Wo ist ein Weiser. Wo ein Forscher. [^7] Wo ist die Prahlerei derer, die man Weise nennt. Denn unser Gott, Jesus der Christus, wurde von Maria empfangen, nach dem Heilsplan Gottes zwar aus dem Samen Davids, aber vom Heiligen Geiste[^8]; er wurde geboren und getauft, damit er durch das Leiden das Wasser reinige. [^7]: 1 Kor 1: [^8]: Joh 7:42; Röm 1:3; 2Tim 2: Kap. Wie die Geheimnisse der Jungfrauschaft Marias, die Geburt und der Tod Christi dem Teufel verborgen blieben und wie sie den Zeiten geoffenbart wurden.",371,de
Ignatius_von_Antiochien_Die_sieben_Briefe_des_Ignatius_7,Ignatius von Antiochien,Die sieben Briefe des Ignatius von Antiochien,7,"Und es blieb dem Fürsten dieser Welt verborgen die Jungfrauschaft Marias und ihr Gebären, ebenso auch der Tod des Herrn; drei laut rufende Geheimnisse, die in der Stille Gottes vollbracht wurden. Wie wurden sie nun den Zeiten kund. Ein Stern strahlte auf am Himmel, heller als alle Sterne, und sein Licht war unbeschreiblich, und seine Neuheit rief Staunen hervor; alle übrigen Sterne aber samt Sonne und Mond führten einen Reigen auf vor diesem Sterne, und sein Licht überstrahlte alle; und es herrschte Bestürzung darüber, woher diese unter ihnen neue Erscheinung sei. Infolgedessen löste jegliche Zauberei sich auf, und jede Fessel der Bosheit ward vernichtet; die Unwissenheit ward weggenommen, das alte Reich ward zerstört, da Gott in Menschengestalt sich offenbarte zur Neuschaffung[^9] ewigen Lebens; da nahm seinen Anfang, was bei Gott zubereitet war. Deshalb kam alles in Bewegung, weil die Vernichtung des Todes betrieben wurde. [^9]: Röm 6: Kap. Ignatius verspricht einen zweiten Brief über den Heilsplan Gottes an die Epheser, die er nochmals zur Eintracht mahnt. Wenn Jesus Christus durch euer Gebet mich würdigt, und es sein Wille ist, werde ich in dem zweiten Briefe, den ich euch zu schreiben vorhabe, euch des weiteren darlegen, was ich begonnen habe über den Heilsplan in Beziehung auf den neuen Menschen Jesus Christus, in seinem Glauben und in seiner Liebe, in seinem Leiden und seiner Auferstehung. Ganz besonders (werde ich es tun), wenn der Herr mir offenbart, dass ihr alle Mann für Mann gemeinsam in der Gnade zufolge des Namens euch versammelt in einem Glauben und in Jesus Christus, der dem Fleische nach aus dem Geschlechte Davids stammt[^10], dem Sohne des Menschen und dem Sohne Gottes, auf dass ihr untertänig seid dem Bischof und dem Presbyterium in ungeteilter Gesinnung, ein Brot brechend, das ist ein Heilmittel zur Unsterblichkeit, ein Gegengift, dass wir nicht sterben, sondern leben in Jesus Christus immerdar. [^10]: Ebd. 1: Kap. Bitte ums Gebet für sich und für die Kirche in Syrien. Meine Seele gebe ich hin für euch und die, welche ihr zu Gottes Ehre nach Smyrna gesandt habt, von wo ich euch schreibe, voll Dank gegen den Herrn, voll Liebe zu Polykarp wie zu euch. Gedenket meiner, wie auch euer Jesus Christus (gedenken möge).",366,de
Ignatius_von_Antiochien_Die_sieben_Briefe_des_Ignatius_8,Ignatius von Antiochien,Die sieben Briefe des Ignatius von Antiochien,8,"Betet für die Kirche in Syrien, von wo ich gefesselt nach Rom weggeführt werde, der ich der letzte bin von den dortigen Gläubigen, wie ich ja gewürdigt wurde, zur Ehre Gottes erfunden zu werden. Lebet wohl in Gott dem Vater und in Jesus Christus, unserer gemeinsamen Hoffnung. Ignatius an die Magnesier Ignatius, der auch Theophorus (heißt), an die Kirche zu Magnesia am Mäander, die gesegnet ist durch die Gnade Gottes des Vaters in Christus Jesus, unseren Heiland, in dem ich sie grüße und ihr in Gott Vater und in Jesus Christus alles Gute wünsche. Kap. Veranlassung zu diesem Brief. Da ich von eurer in Gott gar wohlgeordneten Liebe erfuhr, nahm ich mir voll Freude vor, im Glauben an Jesus Christus einige Worte an euch zu richten. Da ich nämlich des Gott wohlgefälligsten Namens gewürdigt wurde, so preise ich in den Ketten, die ich trage, die Kirchen und wünsche ihnen die Einheit mit dem Fleische und Geiste Jesu Christi, unseres immerwährenden Lebens, die Einheit des Glaubens und der Liebe, über die nichts geht, und was noch wichtiger ist, die Einheit mit Jesus und dem Vater. Denn falls wir in ihm allen Übermut des Fürsten dieser Welt ertragen und meiden, werden wir Gottes teilhaftig werden. Kap. Freude über die Abgesandten der Magnesier. Da ich nun gewürdigt wurde, euch zu sehen in eurem Gottes würdigen Bischof Damas, in den ehrwürdigen Presbytern Bassus und Apollonius and in meinem Mitknechte, dem Diakon Zotion, an dem ich mich erfreuen möchte, weil er untertan ist dem Bischof, als einer Gnade Gottes und dem Presbyterium als einem Gesetz Jesu Christi …. Kap. Achtung vor dem jugendlichen Bischof. Es ziemt euch aber, das jugendliche Alter des Bischofs nicht auszunützen, sondern entsprechend der Macht Gottes des Vaters jegliche Ehrfurcht ihm zu erzeigen, wie ich erfahren habe, dass auch die heiligen Presbyter seine offenbar in jugendlichem Alter erfolgte Erhebung nicht missbrauchen, sondern als in Gott verständige Männer in Übereinstimmung mit ihm wandeln, doch nicht mit ihm, sondern mit dem Vater Jesu Christi, dem Bischof aller. Zur Ehre dessen nun, der uns erwählt hat, ziemt es sich, ohne jede Heuchelei gehorsam zu sein; denn man täuscht nicht diesen sichtbaren Bischof, sondern man spottet über den unsichtbaren. Ein solches Handeln aber bezieht sich nicht auf das Fleisch, sondern auf Gott, der das Verborgene weiß. Kap. Es ist nicht recht, den Bischof zu missachten.",390,de
Ignatius_von_Antiochien_Die_sieben_Briefe_des_Ignatius_9,Ignatius von Antiochien,Die sieben Briefe des Ignatius von Antiochien,9,"So ziemt es sich denn also, nicht bloß Christ zu heißen, sondern auch zu sein; wie es ja auch Leute gibt, welche den Bischof zwar so nennen, aber alles ohne ihn tun. Diese scheinen mir aber kein gutes Gewissen zu haben, weil sie nicht zuverlässig dem Gebote gemäß ihre Versammlungen halten. Kap. Tod und Leben ist uns vorgelegt. Da nun die Dinge ein Ziel haben und zweierlei zugleich uns vorgelegt ist, der Tod und das Leben, so wird auch jeder an seinen besonderen Ort[^11] gelangen; wie es ja auch zwei Münzen gibt, nämlich eine Münze Gottes und eine dieser Welt; und zwar trägt jede derselben ihr eigenes Gepräge an sich: die Ungläubigen das Gepräge dieser Welt, die Gläubigen aber in Liebe das Gepräge Gottes des Vaters durch Jesus Christus, dessen Leben nicht in uns ist, wenn wir nicht selbst durch ihn bereit sind, auf sein Leiden hin zu sterben …. [^11]: Apg 1: Kap. Mahnung zur Eintracht. Da ich nun in den genannten Personen die ganze Gemeinde im Glauben sah und lieb gewann, ermahne ich euch: Befleißiget euch, alles zu tun in der Eintracht Gottes, da der Bischof den Vorsitz führt an Stelle Gottes, die Presbyter an Stelle des Apostelkollegiums, und die Diakonen, die ich gar sehr liebe, mit dem Dienste Jesu Christi betraut sind, welcher von Ewigkeit beim Vater war und am Ende (der Zeiten) erschienen ist. Nehmet also alle gottgefällige Sitte an, gebet einander nach, und keiner sehe in fleischlicher Weise nach dem Nächsten, sondern liebet einander in Jesus Christus allezeit. Nichts sei unter euch, das imstande wäre, euch zu spalten, seid vielmehr eins mit dem Bischof und mit den Vorgesetzten zum Vorbild und zur Lehre der Unvergänglichkeit. Kap. Bleibet in Einheit mit dem Bischof. Wie nun der Herr, da er mit ihm eins ist, ohne den Vater nichts getan hat, weder durch sich selbst noch durch die Apostel, so sollt auch ihr ohne den Bischof und die Presbyter nichts tun; auch sollt ihr nicht versuchen, etwas auf eigene Faust als richtig erscheinen zu lassen, sondern bei eurer Versammlung sei ein Gebet, eine Bitte, ein Sinn, eine Hoffnung in Liebe, in untadeliger Freude, das ist Jesus Christus, im Vergleich zu dem es gar nichts Besseres gibt.",368,de
Ignatius_von_Antiochien_Die_sieben_Briefe_des_Ignatius_10,Ignatius von Antiochien,Die sieben Briefe des Ignatius von Antiochien,10,"Kommet alle zusammen wie in einen Tempel Gottes, wie zu einem Altare, zu dem einen Jesus Christus, welcher von einem Vater ausging und bei dem einen blieb und zu ihm zurückgekehrt ist. Kap. Hütet euch vor Irrlehren. Lasset euch nicht verführen durch die falschen Lehren und die alten Sagen, die nichts nützen; denn wenn wir bis jetzt nach dem Judentum leben, gestehen wir zu, dass wir die Gnade nicht empfangen haben. Denn die gotterleuchtetsten Propheten haben nach Christus Jesus gelebt. Deshalb wurden sie auch verfolgt, begeistert von seiner Gnade, auf dass die Ungläubigen volle Gewissheit bekämen, dass es einen Gott gibt, der sich geoffenbart hat durch Jesus Christus, seinen Sohn, der sein in der Stille ausgegangenes Wort ist und in allem dem Wohlgefallen hat, der ihn gesandt hat. Kap. Das Leben in Christus verbürgt nach dem Beispiel der Propheten Auferstehung. Wenn nun die nach dem alten Brauche lebten, umgekehrt zur neuen Hoffnung gelangt sind, indem sie nicht mehr den Sabbat halten, sondern ihr Leben nach dem Sonntag richten, an dem auch unser Leben aufgesproßt ist durch ihn und seinen Tod - was einige leugnen -, ein Geheimnis, durch das wir den Glauben erhielten und wegen dessen wir ausharren, damit wir uns ausweisen als Schüler Jesu Christi, unseres einzigen Lehrers; wie werden wir leben können ohne ihn, dessen Schüler im Geiste sogar die Propheten waren, und den sie als ihren Lehrer erwarteten. Und deshalb ist er, den sie in Gerechtigkeit erwarteten, euch erschienen und hat sie von den Toten erweckt. Kap. Warnung vor dem Judentum. Seien wir daher nicht unempfänglich gegen seine Huld. Wenn er nämlich unsere Handlungsweise nachahmt, dann sind wir schon dahin. Deshalb wollen wir, nachdem wir seine Schüler geworden sind, lernen, dem Christentum gemäß zu leben. Denn wer sich nach einem anderen Namen nennt außer diesem, der ist nicht Gottes. Schaffet also weg den schlechten Sauerteig, der veraltet und versauert ist, und wandelt euch um in einen neuen Sauerteig, der ist Jesus Christus. In ihm sollet ihr gesalzen werden, damit keiner unter euch verderbe (durch Fäulnis), da ihr nach dem Geruche werdet überführt werden. Es ist nicht am Platze, Jesus Christus im Munde zu führen und nach dem Judentum zu leben. Denn der Glaube des Christentums führte nicht zum Judentum, sondern das Judentum zum Christentum, zu dem jegliche an Gott gläubige Zunge geführt worden ist. Kap.",388,de
