id,author,work_title,section,text,word_count,language
Johannes_Chrysostomus_Die_griechische_Chrysostomusli_1,Johannes Chrysostomus,Die griechische Chrysostomusliturgie,1,"Die griechische Chrysostomusliturgie A. Proskomidie oder Prothesis I. Vorbereitung der Liturgen. Vorbereitung der Liturgen. * Der Priester, der das göttliche Geheimnis vollziehen soll, muß vor allem mit allen versöhnt sein und darf gegen niemand etwas haben. Er hat sein Herz, soviel als möglich, von schlechten Gedanken rein zu bewahren, kurz von Abend an enthaltsam und bis zur Zeit des heiligen Dienstes wach zu sein. * Naht diese Zeit, so macht er dem Vorgesetzten die gewöhnliche Begrüßung, geht in den Tempel und macht zugleich mit dem Diakon die drei Verbeugungen. Dann spricht der Diakon: Segne, Herr. Der Priester erteilt den Segen: Gepriesen sei unser Gott, immerdar, jetzt und allezeit und in alle Ewigkeit. Amen. Der Diakon beginnt zu sprechen: Himmlischer König, Tröster, Geist der Wahrheit, Allgegenwärtiger, alles Erfüllender, Schatz der Guten, Spender des Lebens, reinige uns von jeder Makel und rette unsere Seelen. Heiliger Gott, heiliger Starker, heiliger Unsterblicher, erbarme Dich unser. * (Dreimal. )* Die Ehre sei dem Vater und dem Sohne und dem Heiligen Geiste, jetzt und allezeit und in alle Ewigkeit. Amen. Allheilige Dreieinigkeit, erbarme Dich unser; Herr, sei gnädig unsern Sünden; Gebieter, verzeihe unsere Übertretungen; Heiliger, besuche uns und heilige unsere Schwächen um Deines Namens willen. Herr, erbarme Dich unser; Herr, erbarme Dich unser; Herr, erbarme Dich unser. Vater unser, der Du bist in dem Himmel u. s. w. Nach dem Vaterunser spricht der Priester: Denn Dein ist das Reich und die Kraft und die Herrlichkeit, des Vaters und des Sohnes und des Hl. Geistes, jetzt und allezeit und in alle Ewigkeit. Amen. Hierauf sprechen beide: Erbarme Dich unser, o Herr, erbarme Dich unser. Wir, die keine Entschuldigung haben, bringen Dir als unserm Herrn das Gebet dar: Erbarme Dich unser. Die Ehre sei dem Vater und dem Sohne und dem Heiligen Geiste. Herr, erbarme Dich unser; denn auf Dich haben wir gehofft. Zürne uns nicht allzusehr und gedenke nicht unserer Missetaten, sondern siehe nach Deiner Huld auch jetzt auf uns herab und erlöse uns von unsern Feinden. Denn Du bist unser Gott und wir sind Dein Volk und insgesamt das Werk Deiner Hände, und Deinen Namen rufen wir an. Jetzt und allezeit und in alle Ewigkeit. Amen. Gebenedeite Gottesgebärerin. Öffne uns das Tor der Barmherzigkeit, damit wir, die auf Dich vertrauen, uns nicht verirren, sondern durch Dich von Gefahren befreit werden; denn Du bist das Heil des Geschlechtes der Christen. Begrüßung der heiligen Bilder.",397,de
Johannes_Chrysostomus_Die_griechische_Chrysostomusli_2,Johannes Chrysostomus,Die griechische Chrysostomusliturgie,2,"Sodann gehen sie zum Bilde Christi und sprechen: Wir verbeugen uns vor Deinem reinen Bilde, Gütiger, und bitten Dich, Christus, unser Gott, um Vergebung unserer Sünden. Freiwillig wolltest Du mit Deinem Fleische das Kreuz besteigen, um Dein Gebilde von der Knechtschaft des Feindes zu befreien. Dankbar rufen wir daher Dir zu: Dadurch, daß Du erschienest, um die Welt zu retten, hast Du, unser Erlöser, das All mit Freude erfüllt. * Dann begrüßen sie das Bild der Gottesgebärerin und sprechen das Troparion:* Quelle der Barmherzigkeit, Gottesgebärerin, würdige uns Deines Mitleides, siehe auf das sündige Volk und zeige, wie immer, Deine Macht. Wir hoffen ja auf Dich und bieten Dir den Gruß, wie einst Gabriel, der Oberanführer der körperlosen Wesen. Dann neigen sie ihr Haupt und der Priester spricht folgendes Gebet: Herr, strecke Deine Hand aus von Deiner erhabenen Wohnung und stärke mich zu dem bevorstehenden Dienste, damit ich nicht zum Gerichte an Deinem furchtbaren Altare stehe und das unblutige Opfer darbringe. Denn Dein ist die Kraft und die Herrlichkeit in alle Ewigkeit. Amen. Gebet beim Eintritte in den Altarraum. Hierauf machen sie miteinander gegen die beiden Chöre eine Verbeugung und betreten so den Altarraum, indem sie sprechen: Ich will in Dein Haus eingehen und gegen Deinen heiligen Tempel in Furcht anbeten. Führe mich, Herr, in Deiner Gerechtigkeit; um Deiner Feinde willen mache gerade Deinen Weg vor mir. Denn in ihrem Munde ist keine Wahrheit, ihr Herz ist trügerisch, ein offenes Grab ist ihre Kehle, mit ihren Zungen schmeicheln sie; richte sie, Gott. Laß sie abfallen von ihren Ratschlägen, ob der Menge ihrer Frevel stürze sie, weil sie Dich, Herr, erbittert haben. Erfreuen sollen sich alle, die auf Dich vertrauen, sie sollen ewig fröhlich sein, und Du sollst unter ihnen wohnen. Und sie werden frohlocken über Dich, die Deinen Namen lieben. Denn Du, o Herr, wirst segnen die Gerechten, mit dem Schilde Deiner Huld hast Du uns umkränzt Wenn sie das Heiligtum betreten haben, so machen sie vor dem heiligen Tische drei Verbeugungen und küssen das heilige Evangelienbuch und den heiligen Tisch. Das Anziehen und Segnen der heiligen Gewänder. Dann nimmt jeder sein Stoicharion in die Hand, macht drei Verbeugungen gegen Osten und spricht für sich: Gott sei mir Sünder gnädig. Hierauf geht der Diakon zum Priester hin, neigt sein Haupt, hält in seiner rechten Hand sein Stoicharion und Orarion und spricht: Segne, Herr, das Stoicharion und Orarion.",396,de
Johannes_Chrysostomus_Die_griechische_Chrysostomusli_3,Johannes Chrysostomus,Die griechische Chrysostomusliturgie,3,"Der Priester aber spricht: Gepriesen sei unser Gott immerdar, jetzt und allezeit und in alle Ewigkeit. Amen. Sodann geht der Diakon allein auf eine Seite des Heiligtums und zieht sein Stoicharion an, indem er spricht: Meine Seele freue sich im Herrn. Er hat mich mit dem Mantel des Heiles bekleidet und mir den Rock der Freude angelegt. Wie einem Bräutigam setzte er mir die Mitra auf, und wie eine Braut umgab er mich mit Schmuck. Hierauf küßt er das Orarion und legt es auf die linke Schulter. Wenn er die Epimanikien an die Hände legt, sagt er beim Anziehen der Rechten: Deine Rechte ist verherrlicht in Kraft. Deine Rechte hat Deine Feinde zermalmt und mit der Fülle Deiner Herrlichkeit hast Du zerschmettert die Gegner. Beim Anziehen der Linken sagt er: Deine Hände haben mich gemacht und gebildet, verleihe mir Verstand und ich werde Deine Satzungen kennen lernen. Hierauf geht er zum heiligen Rüsttische und bereitet das Heilige vor. Den heiligen Diskus stellt er auf die linke Seite und den Kelch auf die rechte und ebenso, was zu ihnen gehört. * Der Priester aber kleidet sich so an: er nimmt das Stoicharion in die linke Hand, verbeugt sich, wie gesagt, dreimal gegen Osten, bekreuzt es und spricht:* Gepriesen sei Gott immerdar, jetzt und allezeit und in alle Ewigkeit. Amen. Dann zieht er es an, indem er spricht: Meine Seele freue sich im Herrn. Er hat mich mit dem Mantel des Heiles bekleidet und mir den Rock der Freude angelegt. Wie einem Bräutigam setzte er mir die Mitra auf, wie eine Braut umgab er mich mit Schmuck. Hierauf nimmt er das Epitrachelion, bekreuzt es und legt es mit den Worten an: Gepriesen sei Gott, der über seine Priester seine Gnade ausgießt wie Öl über das Haupt; wie Öl, das herabfließt über den Bart Aarons, das herabfließt auf den Saum seines Kleides. Dann nimmt er den Gürtel und spricht, sich umgürtend: Gepriesen sei Gott, der mich umgürtet mit Kraft und meinen Weg tadellos gemacht hat, immerdar, jetzt und allezeit und in alle Ewigkeit. Amen. Die Epimanikien nimmt er in der oben besprochenen Weise (wie der Diakon) an.",354,de
Johannes_Chrysostomus_Die_griechische_Chrysostomusli_4,Johannes Chrysostomus,Die griechische Chrysostomusliturgie,4,"Ist einer Protosynkellos der großen Kirche oder bekleidet er eine andere Würde, so nimmt er hierauf das Hypogonation, segnet und küßt es, indem er spricht: Gürte Dein Schwert um die Hüften, Mächtiger; in Deiner Kraft und Schönheit nimm zu, gedeihe und herrsche wegen der Wahrheit, Sanftmut und Gerechtigkeit, und wunderbar wird Dich Deine Rechte führen. Immerdar, jetzt und allezeit und in alle Ewigkeit. Amen. Hierauf nimmt er das Phelonion, segnet und küßt es, indem er spricht: Deine Priester, o Herr, werden Gerechtigkeit anziehen und Deine Heiligen in Freude frohlocken; immerdar, jetzt und allezeit und in alle Ewigkeit. Amen. Die Händewaschung. * Wenn sie hierauf auf die Seite des Rüsttisches (an das Wasserbecken) gekommen sind, waschen sie die Hände, indem jeder für sich spricht:* Unter den Unschuldigen will ich meine Hände waschen und Deinen Altar umgeben, Herr, um die Stimme Deines Lobes zu hören und all Deine Wundertaten zu preisen. Herr, ich habe die Zierde Deines Hauses und das Zelt Deiner Herrlichkeit geliebt. Verdirb meine Seele nicht mit den Gottlosen und mein Leben nicht mit Männern von Blut, in deren Händen Ungerechtigkeit und deren Rechte voll ist von Geschenken. Ich aber wandelte in Unschuld, befreie mich, o Herr, und erbarme Dich meiner. Mein Fuß steht im Rechten, in den Versammlungen will ich Dich preisen, Herr. II. Die eigentliche Proskomidie. Die Schlachtung des Lammes. Und so kommen sie zum Rüsttische. Hierauf machen sie vor demselben drei Verbeugungen und jeder spricht für sich: Gott sei mir Sünder gnädig und erbarme Dich meiner Dann spricht der Priester das Gebet: Durch Dein kostbares Blut hast Du uns von dem Fluche des Gesetzes losgekauft. Du hast das Kreuz bestiegen und wurdest von der Lanze durchbohrt, und dadurch hast Du den Menschen Unsterblichkeit gebracht. Unser Erlöser, Ehre Dir. Dann sagt der Diakon: Herr, segne. Und der Priester segnet ihn: Gepriesen sei unser Gott immerdar, jetzt und allezeit und in alle Ewigkeit. Amen. Hierauf nimmt der Priester die Opfergabe in die linke Hand und die heilige Lanze in die rechte; mit dieser macht er über dem Siegel der Opfergabe das Kreuz und spricht: Zum Andenken an unsern Herrn, Gott und Heiland Jesus Christus. Und sogleich stößt er die heilige Lanze in den rechten Teil des Siegels und durchschneidet ihn mit den Worten: Wie ein Lamm wurde er zur Schlachtbank geführt.",382,de
Johannes_Chrysostomus_Die_griechische_Chrysostomusli_5,Johannes Chrysostomus,Die griechische Chrysostomusliturgie,5,"Ebenso stößt er die heilige Lanze in den linken Teil und spricht: Und wie ein unschuldiges Lamm verstummt vor seinem Scherer, so wird er seinen Mund nicht öffnen. Wenn er die heilige Lanze in den obern Teil des Siegels stößt, sagt er: In seiner Erniedrigung wurde sein Gericht hinweggenommen. Er stößt dann die heilige Lanze in den untern Teil des Siegels und spricht: Wer wird sein Geschlecht aufzählen. Der Diakon blickt ehrerbietig auf diese Weihe und spricht bei jedem einzelnen Einschnitte: Lasset uns den Herrn bitten. Der Diakon hält sein Orarion in der rechten Hand und sagt hierauf: Hebe auf, Herr. Und der Priester stößt die heilige Lanze in die Seite des rechten Teiles der Opfergabe, hebt das heilige Brot auf und spricht: Denn sein Leben wird von der Erde genommen. Er legt es mit dem Siegel nach unten auf den heiligen Diskus, und nachdem der Diakon gesprochen: Schlachte, Herr. schneidet es der Priester in Kreuzesform , indem er so spricht: Das Lamm Gottes, welches hinwegnimmt die Sünden der Welt, wird geschlachtet für das Heil und Leben der Welt. * Und er wendet den andern Teil, der oben das Kreuz hat, durchstößt ihn auf der rechten Seite unmittelbar unter dem Namen Jesus mit der heiligen Lanze und sagt dazu:* Einer der Soldaten durchbohrte seine Seite mit einer Lanze, und sogleich floß Blut und Wasser heraus; und der es sah, hat es bezeugt, und sein Zeugnis ist wahr. Der Diakon gießt in den Kelch Wein und Wasser zugleich, nachdem er vorher zum Priester gesprochen: Segne, Herr, die heilige Vereinigung. Dieser segnet sie, indem er spricht: Gesegnet sei die Einigung Deiner Heiligen immerdar, jetzt und allezeit und in alle Ewigkeit. Amen. Die Ordnung der Oblaten. Hierauf nimmt der Priester das erste Opferbrot und spricht4: Zur Ehre und zum Gedächtnisse unserer seligsten und ruhmreichen Frau, der Gottesgebärerin und immerwährenden Jungfrau Maria, durch deren Fürbitten der Herr dieses Opfer auf seinen überhimmlischen Altar aufnehmen möge. Und er hebt einen Teil auf und legt ihn auf die rechte Seite des hl. Brotes, fast in die Mitte desselben, und spricht: Die Königin stand zu seiner Rechten, mit einem goldgestickten Gewande bekleidet und reich geschmückt.",358,de
Johannes_Chrysostomus_Die_griechische_Chrysostomusli_6,Johannes Chrysostomus,Die griechische Chrysostomusliturgie,6,"Sodann nimmt er das zweite Siegel, hebt einen Teil von ihr auf und legt sie auf die linke Seite des heiligen Brotes, fast gegenüber dem Teile der Gottesgebärerin und, indem er den Anfang einer neuen Reihe macht, spricht er: Zur Ehre und zum Gedächtnisse der allerhöchsten Heerführer Michael, Gabriel und aller überhimmlischen körperlosen Gewalten. Dann nimmt er einen zweiten Teil (vom zweiten Siegel) und spricht: Des ehrwürdigen und glorreichen Propheten, Vorläufers und Täufers Johannes, der heiligen berühmten Propheten Moses und Aaron, Elias und Elisäus, David und Isaias, der heiligen drei Jünglinge, des Propheten Daniel und aller heiligen Propheten. Und er legt ihn wohlgeordnet über den ersten Teil. Dann sagt er wieder: Unserer heiligen Väter, des großen Hierarchen und allgemeinen Lehrer, Basilius des Großen, Gregors des Theologen, Johannes Chrysostomus, Athanasius und Cyrillus, Nikolaus von Myra und aller heiligen Hierarchen Und er nimmt den vierten Teil und legt ihn nahe an den ersten Teil, eine zweite Reihe beginnend. Dann sagt er wiederum: Des heiligen Erzmärtyrers und Erzdiakons Stephanus, der heiligen großen Märtyrer Demetrius, Georgius, Theodorus und aller heiligen Märtyrer, Männer und Frauen Und er nimmt den fünften Teil und legt ihn über den ersten, der den Anfang der zweiten Reihe macht. Dann spricht er: Unserer heiligen und gotterfüllten Väter Antonius, Euthymius, Sabbas, Onuphrius, Athanasius vom Berge Athos und aller Heiligen beiderlei Geschlechtes * Und so nimmt er den sechsten Teil und legt ihn über den zweiten Teil, um die zweite Reihe vollzumachen. * Dann spricht er: Der heiligen und wundertätigen Uneigennützigen Kosmas und Damian, Cyrus und Johannes, Pantoelemon und Hermolaus und aller heiligen Unbezahlten (Ärzte). Und er nimmt den siebten Teil und legt ihn oben hin, indem er nach Ordnung die dritte Reihe beginnt. Dann sagt er: Der heiligen und gerechten Großeltern Gottes, Joachim und Anna, des Heiligen des Tages und aller Heiligen, durch deren Fürbitte uns Gott heimsuchen möge. Und er legt den achten Teil in guter Ordnung unter den ersten (der dritten Reihe); dazu sagt er noch: Unseres heiligen Vaters Johannes Chrysostomus, des Erzbischofes von Konstantinopel, wenn seine Liturgie gelesen wird; wenn aber die des großen Basilius gelesen wird, so erwähnt er diesen. So nimmt er auch den neunten Teil und legt ihn an das Ende der dritten Reihe, um diese vollständig zu machen. Dann nimmt er das dritte Siegel und spricht: Gedenke, menschenfreundlicher Herr, des ganzen Episkopates der Rechtgläubigen, unseres Bischofes oder Erzbischofes N.",395,de
Johannes_Chrysostomus_Die_griechische_Chrysostomusli_7,Johannes Chrysostomus,Die griechische Chrysostomusliturgie,7,"der ehrwürdigen Priesterschaft, des Diakonates in Christus und des ganzen geistlichen Standes, des Vorstehers N. , unserer Brüder und Mitliturgen, der Priester, Diakonen und all unserer Brüder, die Du, allgütiger Gott, durch Deine Barmherzigkeit zur Gemeinschaft mit Dir berufen hast. Und er nimmt einen Teil und legt ihn unter das heilige Brot. Dann erwähnt er die Lebendigen, die er zu erwähnen hat, mit Namen, nimmt so die Teile und legt sie unten hin Hierauf nimmt er ein anderes Siegel (das vierte) und spricht: Zum Gedächtnisse und zur Vergebung der Sünden der seligen Stifter dieses heiligen Klosters oder dieses heiligen Hauses. Hierauf gedenkt er des Hohenpriesters, der ihn geweiht hat, und anderer Verstorbener nach seinem Belieben mit Namen und spricht zuletzt so: Und all unserer rechtgläubigen Väter und Brüder, die in der Hoffnung auf die Auferstehung des ewigen Lebens und in Gemeinschaft mit Dir entschlafen sind. Und er nimmt einen Teil (und legt ihn zu den andern). Es gedenkt auch der Diakon der Lebenden und Verstorbenen nach seinem Belieben, während der Priester für sie Teile herausnimmt; zuletzt sagt der Priester9: Gedenke, Herr, auch meiner Unwürdigkeit und vergib mir jede freiwillige und unfreiwillige Sünde. Und er nimmt den Schwamm und sammelt im Diskus die Teile (Brosamen), die unter dem heiligen Brote sind, so daß sie in Sicherheit sind und nichts herausfällt Verhüllung und Darbringung der Oblaten. Dann nimmt der Diakon das Rauchfaß, legt Weihrauch in dasselbe ein und spricht zum Priester: Segne, Herr, das Rauchwerk. * Und sogleich sagt derselbe:* Lasset uns den Herrn bitten. Und der Priester spricht das Weihrauchgebet: Christus, unser Gott, wir bringen Dir das Rauchwerk zum geistigen Wohlgeruche dar. Nimm es auf Deinen überhimmlischen Altar und sende uns dafür die Gnade Deines allheiligen Geistes herab. Der Diakon: Lasset uns den Herrn bitten. Der Priester beräuchert den Asteriskus und stellt ihn über das heilige Brot, indem er spricht: Und ein Stern kam und blieb über dem Orte stehen, wo das Kind war. Der Diakon: Lasset uns den Herrn bitten. Der Priester beräuchert die erste Decke und bedeckt damit das heilige Brot und den Diskus, indem er spricht: Der Herr ist König, er ist in Herrlichkeit gekleidet, gekleidet ist der Herr in Stärke und umgürtet mit ihr. Denn er hat festgesetzt den Erdkreis, der nimmer wanken wird. Deinem Hause ziemt Heiligkeit, Herr, in Ewigkeit. Immerdar, jetzt und allezeit und in alle Ewigkeit. Amen.",393,de
Johannes_Chrysostomus_Die_griechische_Chrysostomusli_8,Johannes Chrysostomus,Die griechische Chrysostomusliturgie,8,"Der Diakon: Lasset uns den Herrn bitten. Verhülle, Herr. Und der Priester beräuchert die zweite Decke, verhüllt damit den heiligen Kelch, indem er spricht: Decke uns mit dem Schirme Deiner Flügel, unser Gott, und vertreibe von uns jeden Feind und Widersacher. Mache friedlich unser Leben, Herr, erbarme Dich über uns und über Deine Welt und rette nach Deiner Güte und Menschenfreundlichkeit unsere Seelen. Dann nimmt der Priester das Rauchfaß und beräuchert den Rüsttisch, in dem er dreimal sagt: Gepriesen sei unser Gott, dem es also gefiel. Ehre Dir. * Der Diakon sagt jedesmal:* Immerdar, jetzt und allezeit und in alle Ewigkeit. Amen. Beide verbeugen sich dreimal ehrerbietig. Dann nimmt der Diakon das Rauchfaß und sagt bei der Darbringung der kostbaren Gaben: Lasset uns den Herrn bitten. Der Priester verrichtet das Opfergebet: Gott, unser Gott, der Du das himmlische Brot, die Speise der ganzen Welt, unsern Herrn Jesus Christus, als Retter, Erlöser und Wohltäter, als unsern Segenspender und Heiligmacher herabgesendet hast, segne selbst diese Opfergabe und nimm sie auf Deinen überhimmlischen Altar. Da Du gütig und menschenfreundlich bist, so gedenke jener, die sie dargebracht haben, und jener, für welche sie dieselbe darbrachten. Auch uns bewahre bei dem heiligen Dienste Deiner göttlichen Geheimnisse vor dem Gerichte. Lautes Gebet: Denn geheiligt und verherrlichet ist Dein allverehrter und glorreicher Name, der Name des Vaters, des Sohnes und des Heiligen Geistes, jetzt und allezeit und in alle Ewigkeit. Amen. Hierauf gibt er die Entlassung und spricht: Ehre sei Dir, Christus, unser Gott, unsere Hoffnung, Ehre Dir. Der Diakon: Ehre sei Dir, jetzt und allezeit und in alle Ewigkeit. Amen. Herr, erbarme Dich. Herr, segne. Und der Priester gibt die Entlassung, indem er so spricht: Der es geduldet hat, wegen unseres Heiles von Johannes im Jordan getauft zu werden, Christus, unser wahrer Gott, möge sich durch die Fürbitte seiner unbefleckten Mutter und unseres heiligen Vaters Johannes Chrysostomus, des Erzbischofs von Konstantinopel, * (Basilius des Großen von Cäsarea in Kappadozien)* und aller Heiligen nach seiner Güte und Menschenfreundlichkeit über uns erbarmen. Der Diakon: Amen. Beräucherung des heiligen Tisches und der Kirche. Nach der Entlassung beräuchert der Diakon die heilige Opfergabe.",353,de
Johannes_Chrysostomus_Die_griechische_Chrysostomusli_9,Johannes Chrysostomus,Die griechische Chrysostomusliturgie,9,"Dann geht er weg und beräuchert in Kreuzesform den heiligen Tisch im Kreise herum, indem er für sich spricht: Du warst, o Christus, mit dem Leibe im Grabe, mit der Seele als Gott im Totenreiche, mit dem Räuber im Paradiese und mit dem Vater und dem Heiligen Geiste auf dem Throne, da Du alles erfüllst, Unermeßlicher. Und er betet den fünfzigsten Psalm: Erbarme Dich meiner, o Gott, nach Deiner großen Barmherzigkeit. *Während dessen beräuchert er den Altar und die ganze Kirche und kehrt wieder zum heiligen Altare zurück. Nachdem er dann nochmals den heiligen Tisch und den Priester beräuchert hat, stellt er das Rauchfaß an seinen Ort und geht selbst zum Priester. Vorbereitungsgebete vor dem heiligen Tische. Beide stehen miteinander vor dem heiligen Tische; sie verbeugen sich dreimal und beten für sich mit den Worten: Himmlischer König, Tröster, Geist der Wahrheit, Allgegenwärtiger und alles Erfüllender, Schatz der Güter und Spender des Lebens. Komm und nimm Wohnung in uns, reinige uns von jeder Makel und rette, Gütiger, unsere Seelen. Ehre sei Gott in der Höhe und Frieden auf Erden und unter den Menschen Wohlgefallen. * (Dreimal. )* Herr, öffne meine Lippen und mein Mund wird Dein Lob verkünden. * (Zweimal. )* * Dann küßt der Priester das Evangelienbuch und der Diakon den heiligen Tisch. Hierauf neigt der Diakon vor dem Priester das Haupt, hält das Orarion mit drei Fingern der rechten Hand und spricht:* Es ist Zeit, dem Herrn zu dienen. Heiliger Herr, segne. Und der Priester bekreuzigt ihn und spricht: Gepriesen sei unser Gott immerdar, jetzt und allezeit und in alle Ewigkeit. Amen. Der Diakon: Bete für mich, heiliger Herr. Der Priester: Der Herr lenke Deine Schritte zu jedem guten Werke. Und wieder sagt der Diakon: Gedenke meiner, heiliger Herr. Der Priester: Gott der Herr gedenke deiner in seinem Reiche, jetzt und allezeit und in alle Ewigkeit. Und wenn der Diakon das „Amen“* gesprochen und sich verbeugt hat, geht er hinaus (aus dem Altarraume), stellt sich an seinen gewöhnlichen Ort vor den heiligen Türen und spricht dreimal ehrfurchtsvoll:* Herr, öffne meine Lippen, und mein Mund wird Dein Lob verkünden. Große Ektenie. Hierauf spricht der Diakon: Segne, Herr. Der Priester spricht laut: Gepriesen sei das Reich des Vaters, des Sohnes und des Heiligen Geistes, jetzt und allezeit und in alle Ewigkeit. * Der Chor antwortet auf jede der folgenden Friedensbitten:* Herr, erbarme Dich.",392,de
Johannes_Chrysostomus_Die_griechische_Chrysostomusli_10,Johannes Chrysostomus,Die griechische Chrysostomusliturgie,10,"Der Diakon sagt: Im Frieden lasset uns den Herrn bitten. Um den Frieden von oben und das Heil unserer Seelen: lasset uns den Herrn bitten. Um den Frieden der ganzen Welt, um den Wohlstand der heiligen Kirchen Gottes und um die Vereinigung aller: lasset uns den Herrn bitten. Für dieses heilige Haus und für jene, die es mit Glauben, Ehrerbietigkeit und Gottesfurcht betreten: lasset uns den Herrn bitten. Für unsern Erzbischof N. , für die ehrwürdige Priesterschaft, für das Diakonat in Christus, für den ganzen Klerus und das Volk: lasset uns den Herrn bitte Für unsere gottesfürchtigsten und gottgeschützten Kaiser, für ihren ganzen Hof und für ihr Heer: lasset uns den Herrn bitten. Daß er ihnen beistehe und jeden Feind und Widersacher unter ihre Füße werfe: lasset uns den Herrn bitten. Für dieses heilige Kloster (oder für diese Stadt), für jede Stadt und jedes Land und all ihre rechtgläubigen Bewohner: lasset uns den Herrn bitten. Um eine gute Beschaffenheit der Luft, um reiche Fruchtbarkeit der Erde und um friedliche Zeiten: lasset uns den Herrn bitten. Für die Schiffahrenden und Reisenden, für die Kranken und Leidenden, für die Kriegsgefangenen und um ihre Rettung: lasset uns den Herrn bitten. Daß wir von aller Trübsal, Zorn, Gefahr und Not befreit werden: lasset uns den Herrn bitten. Unterstütze, rette, bemitleide und bewahre uns, o Gott, durch Deine Gnade. Eingedenk unserer allheiligen, unbefleckten, übergepriesenen und glorreichen Frau, der Gottesgebärerin und immerwährenden Jungfrau Maria samt allen Heiligen, wollen wir gegenseitig uns selbst und unser ganzes Leben Christus unserm Gotte empfehlen. * Der Chor:* Dir, o Herr. Der Priester spricht laut: Denn Dir gebührt aller Ruhm, Ehre und Anbetung, dem Vater, dem Sohne und dem Heiligen Geiste, jetzt und allezeit und in alle Ewigkeit. 1 Die Antiphonengebete: Antiphon; Ton. * Und es wird die erste Antiphon von den Sängern gesungen und der Priester spricht das Gebet zur ersten Antiphon. Der Diakon verbeugt sich, verläßt seinen Platz und stellt sich vor das Bild der Gottesgebärerin, indem er auf das Bild Christi blickt und sein Orarion mit drei Fingern in der rechten Hand hält. * (Beim Auszuge Israels aus Ägypten, Des Hauses Jakob aus einem barbarischen Volke. )13 Durch die Fürbitten der Gottesgebärerin, Retter, rette uns. (Da ward Juda sein Heiligtum, Israel seine Herrschaft. ) Durch die Fürbitten der Gottesgebärerin, Retter, rette uns. (Das Meer sah es und floh, Der Jordan wandte sich zurück.",395,de
