id,author,work_title,section,text,word_count,language
Martin_von_Tours_D__Martin_Luthers_Sermon_vom_A_1,Martin von Tours,D. Martin Luthers Sermon vom Ablaß und Gnade,1,"D. Martin Luthers Sermon vom Ablaß und Gnade, gehalten Anno Zum ersten, sollt ihr wissen, daß etliche neue Lehrer, als Magister Sententiarum, St. Thomas, und ihre Folger, geben der Busse drey Theile, nemlich: Die Reue, die Beichte, die Gnugthuung. Und wiewol dieser Unterschied (nach ihrer Meynung,) schwerlich, oder auch gar nichts gegründet erfunden wird in der heiligen Schrift, noch in den alten heiligen Christlichen Lehrern, doch wollen wir das jetzt so lassen bleiben, und nach ihrer Weise reden. Zum andern, sagen sie: der Ablaß nimmt nicht hin das erste oder andre Theil, das ist, die Reue oder Beichte, sondern das dritte, nemlich die Gnugthuung. Zum dritten: die Gnugthuung wird weiter getheilet in drey Theile, das ist, Beten, Fasten, Almosen; also, daß Beten begreife allerley Werk, der Selen eigen, als lesen, dichten, hören Gottes Wort, predigen, lehren und dergleichen. Fasten begreift allerley Werk der Casteyung seines Fleisches, als wachen, arbeiten, hart Lager, Kleider etc. Almosen begreift allerley gute Werke der Liebe und Barmherzigkeit gegen dem Nächsten. Zum vierten, ist bey ihnen allen ungezweifelt, daß der Ablaß hinnimmt dieselben Werke der Gnugthuung, für die Sünde schuldig zu thun oder aufgesetzt. 1 Zum fünften, ist bey vielen gewest eine grosse und noch unbeschlossene Opinion, ob der Ablaß auch noch etwas mehr hinnehme, denn solche aufgelegte gute Werke, nemlich, ob er auch die Pein, welche die göttliche Gerechtigkeit für die Sünde fodert, abnehme. Zum sechsten, laß ich ihre Opinion unverworfen auf dißmal; das sage ich, daß man aus keiner Schrift bewähren kann, daß göttliche Gerechtigkeit etwas Pein oder Gnugthuung begehre oder fordere von dem Sünder, denn allein seine herzliche und wahre Reue2 und Bekehrung, mit Vorsatz, hinförter das Creutz Christi zu tragen, und die obgenannten Werke (auch von niemand aufgesetzt,) zu üben. Denn so spricht er durch Ezechiel, 16: Wenn sich der Sünder bekehret, und thut recht, so will ich seiner Sünde nicht mehr gedenken. Item, also hat er selbst alle die absolvirt, Maria Magdalena, den Gichtbrüchigen, die Ehebrecherin etc. Und möchte wol gerne hören, wer das anders bewähren soll, unangesehen, daß etliche Doctores so gedeucht hat. Zum siebenten: Das findet man wol, daß GoTT etliche nach seiner Gerechtigkeit strafet, oder durch Pein dringet zu der Reu, wie im Psalm v. 31-34: So seine Kinder werden sündigen, will ich mit der Ruthen ihre Sünde heimsuchen, aber doch meine Barmherzigkeit nicht von ihnen wenden.",389,de
Martin_von_Tours_D__Martin_Luthers_Sermon_vom_A_2,Martin von Tours,D. Martin Luthers Sermon vom Ablaß und Gnade,2,"Aber diese Pein stehet in niemandes Gewalt, nachzulassen, denn allein Gottes; ja, er will sie nicht lassen, sondern verspricht, er wolle sie auflegen. Zum achten: Derhalben so kann man derselben gedünkten Pein keinen Namen geben, weiß auch niemand was sie ist, so sie diese Strafe nicht ist, auch die guten obgenannten Werke nicht ist. Zum neunten, sage ich: Ob die Christliche Kirche noch heut beschlösse und auserklärete, daß der Ablaß mehr denn die Werke der Gnugthuung hinnehme; so wäre es dennoch tausendmal besser, daß kein Christenmensch den Ablaß lösete oder begehrete, sondern daß sie lieber die Werke thäten, und die Pein litten. Denn der Ablaß nichts anders ist noch mag werden, denn Nachlassung guter Werke und heilsamer Pein, die man billiger solte erwählen, denn verlassen. Wiewol etliche der neuen Prediger zweyerley Pein erfunden, medicatiuas et satisfactorias, das ist, etliche Pein zur Gnugthuung, etliche zur Besserung. Aber wir haben mehr Freyheit, zu verachten (Gott Lob. ) solches und deßgleichen Plauderey, denn sie haben, zu erdichten; denn alle Pein, ja alles, was Gott auflegt, ist besserlich und zuträglich den Christen. Zum zehenten: Das ist nichts geredt, daß der Pein und Werke zu viel sind, daß der Mensch sie nicht mag vollbringen, der Kürze halben seines Lebens, darum ihm noth sey der Ablaß. Antworte ich, daß das keinen Grund habe und ein lauter Gedicht ist. Denn GoTT und die heilige Kirche legen niemand mehr auf, denn ihm zu tragen möglich ist, als auch St. Paul 1 Corinth. 10, sagt: daß Gott nicht läßt versucht werden jemand, mehr, denn er mag tragen. Und es langet nicht wenig zu der Christenheit Schmach, daß man ihr Schuld gibt, sie lege mehr auf, denn wir tragen können. Zum eilften: Wenn gleich die Bussen, im geistlichen Recht gesetzt, jetzt noch gingen, daß für eine jegliche Todsünde sieben Jahr Busse aufgelegt wäre: so müßte doch die Christenheit dieselben Gesetze lassen, und nicht weiter auflegen, denn sie einem jeglichen zu tragen wären: viel weniger nun sie jetzt nicht sind, soll man achten, daß nicht mehr aufgelegt werde, denn jedermann wol tragen kann. Zum zwölften: Man sagt wol, daß der Sünder mit der übrigen Pein ins Fegfeuer oder zum Ablaß geweiset soll werden; aber es wird wol mehr Dings ohne Grund und Bewährung gesagt.",373,de
Martin_von_Tours_D__Martin_Luthers_Sermon_vom_A_3,Martin von Tours,D. Martin Luthers Sermon vom Ablaß und Gnade,3,"Zum dreyzehenten: Es ist ein grosser Irrthum, daß jemand meyne, er wolle gnugthun für seine Sünde, so doch Gott dieselben allezeit umsonst, aus unschätzlicher Gnade verzeihet, nichts dafür begehrend, denn hinförter wohl leben. Die Christenheit fodert wol etwas; also mag sie und soll auch dasselbe nachlassen und nichts schweres oder unträgliches auflegen. Zum vierzehenten: Ablaß wird zugelassen um der unvollkommenen und faulen Christen willen, die sich nicht wollen kecklich üben in guten Werken, oder unleidlich sind. Denn Ablaß fodert niemand zum bessern, sondern duldet oder zulässet ihre Unvollkommenheit. Darum soll man nicht wider das Ablaß reden; man soll aber auch niemand dazu reden. Zum funfzehenten: Viel sicherer und besser thäte der, der lauter um Gottes willen gäbe zu dem Gebäude St. Petri, oder was sonst genannt wird, denn daß er Ablaß dafür nähme. Denn es gefährlich ist, daß er solche Gabe um Ablaß willen, und nicht um Gottes willen gibt. Zum sechzehenten: Viel besser ist das Werk, einem Dürftigen erzeigt, denn das zum Gebäude gegeben wird, auch viel besser, denn der Ablaß, dafür gegeben. Denn (wie gesagt,) es ist besser ein gutes Werk gethan, denn viel nachgelassen. Ablaß aber ist Nachlassung viel guter Werk, oder ist nichts nachgelassen. Ja, daß ich euch recht unterweise, so merkt auf: Du sollst vor allen Dingen (weder St. Petri Gebäude noch Ablaß angesehen,) deinem nächsten Armen3 geben, willst du etwas geben. Wenn es aber dahin kommt, daß niemand in deiner Stadt mehr ist, der Hülfe bedarf, (das, ob Gott will, nimmer geschehen soll,) denn sollst du geben, so du willst zu den Kirchen, Altären, Schmuck, Kelch, die in deiner Stadt sind. Und wenn das nun auch nicht mehr noth ist, denn allererst, so du willst, magst du geben zu dem Gebäude St. Peters, oder anderswo. Auch sollt du dennoch das nicht um Ablaß willen thun. Denn St. Paulus spricht 1 Tim. 5, 8: Wer seinen Hausgenossen nicht wohlthut, ist kein Christe, und ärger denn ein Heyde. Und halts dafür frey, wer dir anders sagt, der verführet dich, oder sucht je deine Seele in deinem Beutel, und fünde er Pfennige darinne, das wäre ihm lieber denn alle Seelen. So sprichst du: So würde ich nimmermehr Ablaß lösen. Antworte ich: Das habe ich schon oben gesagt, daß mein Wille, Begierde, Bitte und Rath ist, daß niemand Ablaß löse. Laß die faulen und schläferigen Christen Ablaß lösen, gehe du für dich.",394,de
Martin_von_Tours_D__Martin_Luthers_Sermon_vom_A_4,Martin von Tours,D. Martin Luthers Sermon vom Ablaß und Gnade,4,"Zum siebenzehenten: Der Ablaß ist nicht geboten, auch nicht gerathen, sondern von der Dinge Zahl, die zugelassen und erlaubt werden. Darum ist es nicht ein Werk des Gehorsams, auch nicht verdienstlich, sondern ein Auszug des Gehorsams. Darum wiewol man niemand wehren soll den zu lösen, so sollte man doch alle Christen davon ziehen, und zu den Werken und Peinen, die da nachgelassen, reitzen und stärken. Zum achtzehenten: Ob die Seelen aus dem Fegfeuer gezogen werden durch den Ablaß, weiß ich nicht, und glaube das auch noch nicht; wiewol das etliche neue Doctores sagen, aber ist ihnen unmöglich zu bewähren, auch hat es die Kirche noch nicht beschlossen. Darum zu mehrer Sicherheit viel besser ist es, daß du für sie selbst bittest und wirkest; denn diß ist bewährter und ist gewiß. Zum neunzehenten: In diesen Puncten habe ich nicht Zweifel, und sind gnugsam in der Schrift gegründet. Darum sollt ihr auch keinen Zweifel haben, und laßt Doctores scholasticos Scholasticos seyn; sie sind allesamt nicht gnug mit ihren Opinionen, daß sie eine Predigt bevestigen sollten. Zum zwanzigsten: Ob etliche mich nun wol einen Ketzer schelten, denen solche Warheit sehr schädlich ist im Kasten, so achte ich doch solch Geplerre nicht groß; sintemal das nicht thun denn etliche finstere Gehirne, die die Biblien nie gerochen die Christlichen Lehrer nie gelesen, ihre eignen Lehrer nie verstanden, sondern in ihren löcherichen und zurissenen Opinionen viel nahe verwesen. Denn, hätten sie die verstanden, so wüßten sie, daß sie niemand sollten lästern un-verhört und unüberwunden. Doch Gott gebe ihnen und uns rechten Sinn, Amen. Denn so er ohne allen Unterscheid alle Werke der Gnugthuung hinnähme etc. Denn so er dieselben Werke solte alle hinnehmen, bliebe nichts gutes mehr da, das wir thun möchten. armen Nächsten die Christliche Lehre.",291,de
Martin_von_Tours_Drei_Dialoge___ber_den_hl__Mar_1,Martin von Tours,Drei Dialoge; über den hl. Martinus,1,"Drei Dialoge (Dialogi; über den hl. Martinus) Gallus und ich waren zusammengekommen. Dieser Mann ist mir überaus teuer, einmal wegen des Andenkens an Martinus, dessen Schüler er war, dann auch seiner eigenen Verdienste wegen. Unerwartet fand sich auch mein lieber Postumianus bei uns ein; er war unsertwegen aus dem Orient heimgekehrt. Vor drei Jahren hatte er sein Vaterland verlassen und sich dorthin begeben. Ich umarmte den liebtrauten Freund und küßte ihn auf Knie und Füße. Wir gingen voll Entzücken, Freudentränen in den Augen, einigemal auf und ab. Dann breiteten wir die rauhen Mäntel auf den Boden und ließen uns nieder. Jetzt sah mich Postumianus an und begann zuerst: „Als ich im Herzen von Ägypten war, kam mir das Verlangen, an die Küste zu gehen. Dort fand ich ein Frachtschiff, das mit Waren beladen, gerade nach Narbonne abfahren solltn der gleichen Nacht kam es mir im Traume vor, als stündest du vor mir, zögest mich an der Hand und nötigtest mich, in jenes Schiff zu steigen. Als ich mich dann bei anbrechendem Morgen vom Orte meiner Ruhe erhoben hatte, dachte ich bei mir über den Traum nach. Da packte mich urplötzlich so heißes Verlangen nach dir, daß ich ohne Zögern das Schiff bestieg. Dreißig Tage später landete ich in Marseille, von da bin ich in zehn Tagen hierher1 gekommen; so günstig erwies sich die Fahrt meinem frommen Herzenswunsche. Du, um dessentwillen ich so viele Meere durchfahren, so viele Länder durcheilt habe, laß dich jetzt umarmen und genießen, gib dich mir ganz rückhaltlos“. Darauf antwortete ich: „Auch ich war, solange du in Ägypten weiltest, immer ganz bei dir mit Geist und Herz; Tag und Nacht mußte ich an dich denken, die Liebe zu dir hielt mich ganz gefangen. Um so weniger werde ich jetzt, das glaube nur, mich dir auch nur einen Augenblick entziehen; ich will an deinem Mund hängen, dir ins Auge blicken, dir lauschen, mit dir reden, aber so, daß durchaus niemand sich zu uns in die Heimlichkeit der abgelegenen Zelle drängen darf. Ich kann ja voraussetzen, daß dir die Anwesenheit dieses unseres Gallus nicht lästig fällt; er ist ja, wie du sehen kannst, ob deiner Rückkehr ebenso freudetrunken wie ich“. „Gut so“, entgegnete Postumianus, „Gallus darf in unserm Kreise bleiben.",371,de
Martin_von_Tours_Drei_Dialoge___ber_den_hl__Mar_2,Martin von Tours,Drei Dialoge; über den hl. Martinus,2,"Obwohl er mir nicht recht bekannt ist, soll er doch, weil er dein bester Freund ist, auch mir teuer sein, zumal, da er zu den Schülern des Martinus zählt. Es fällt mir nicht schwer, die Unterhaltung mit euch nach Belieben lang auszudehnen. Wenn ich kam, geschah es ja aus Verlangen nach meinem Sulpicius, um mit ihm nach Herzenslust plaudern zu können“ — bei diesen Worten umschlang er mich mit beiden Armen. “Fürwahr”, fiel ich da ein, “du hast Beweise genug erbracht für die vielvermögende Kraft treuer Liebe. Um meinetwillen hast du ja so viele Meere und Länder durcheilt und bist gleichsam vom Aufgange der Sonne bis zu ihrem Niedergang gekommen. Wohlan denn, wir sind so ungestört beisammen, keine Pflicht drängt uns, und wir können deinem Bericht in aller Ruhe lauschen. Drum erzähle uns doch, bitte, die ganze Geschichte deiner Wanderfahrt, erzähle vom blühenden Glaubensleben der Christen im Oriente, vom Frieden der Gottgeweihten, von den Einrichtungen der Mönche, von den wunderkräftigen Zeichen, die Christus durch seine Diener wirkt. Gewiß, hierzulande bei unsern gegenwärtigen Verhältnissen wird uns sogar das Leben zum Ekel. Deshalb vernehmen wir gern aus deinem Munde, ob die Christen wenigstens in der Einsamkeit ruhig leben können. Darauf erwiderte Postumianus :”Ich will deinem Wunsche nachkommen. Doch zuerst möchte ich von dir erfahren, ob alle jene Bischöfe, die ich hier verlassen habe, auch jetzt noch die gleiche Gesinnung haben wie vor meiner Abreise“ Da antwortete ich:”Laß solche Fragen; du kannst dir die Antwort darauf selbst geben; wenn nicht, dann ist es besser, keine Antwort zu vernehmen. Das kann ich dir aber nicht vorenthalten: die, über welche du Auskunft erhalten willst, haben sich gegen früher um nichts gebessert, ja nicht bloß das, auch jener, der allein uns einst Liebe entgegenbrachte und bei der Anfeindung durch die andern uns tröstlich aufatmen ließ, ist unfreundlich gegen uns geworden, mehr als recht ist. Doch ich will mich nicht schonungslos gegen diesen äußern, weil ich ihn als Freund verehrte und auch dann noch liebte, da er als mein Feind galt. Während ich dies still bei mir überdenke, empfindet mein Herz tiefes Weh darüber, daß wir die Freundschaft dieses weisen und frommen Mannes fast ganz eingebüßt haben. Doch lassen wir solch kummervolle Dinge; wir wollen lieber dem, was du uns schon längst versprochen, lauschen“. ”Gut"", entgegnete Postumianus. Daraufhin schwiegen wir alle eine kleine Weile.",387,de
Martin_von_Tours_Drei_Dialoge___ber_den_hl__Mar_3,Martin von Tours,Drei Dialoge; über den hl. Martinus,3,"Dann rückte er den Teppich, auf dem er Platz genommen hatte, näher zu mir heran und begann also: ""Jetzt sind es drei Jahre her, seit ich dir, Sulpicius, bei meiner Abreise Lebewohl sagtn Narbonne bestiegen wir das Schiff. Fünf Tage nachher liefen wir in einem afrikanischen Hafen ein — so sehr begünstigte Gottes Vorsehung die Reise. Es kam uns das Verlangen, nach Karthago zu gehen, die Stätten der Heiligen aufzusuchen und besonders am Grabe des Märtyrers Cyprian zu beten. Nach fünfzehn Tagen kehrten wir zum Hafen zurück und stachen wieder in die See mit dem Kurs nach Alexandrien. Ein widriger Südwind hätte uns beinahe auf die Syrten3 getrieben, allein die umsichtigen Schiffsleute wichen der Gefahr aus und gingen vor Anker. Vor unseren Augen lag das Festland; wir fuhren in Kähnen hinüber. Da wir nirgends Spuren menschlicher Ansiedelungen wahrnahmen, wurde meine Neugierde wach; ich ging weiter landeinwärts, um die Gegend auszukundschaften. Ungefähr drei Meilen4 von der Küste erblickte ich mitten im Sande eine kleine Hütthr Dach glich einem Schiffskiele, wie Sallust sagt5 , war mit starken Dielen gedeckt und reichte bis auf den Boden. Man hat sich zwar dort nicht vor gewaltigen Regenschauern zu fürchten — denn dort hat noch nie jemand etwas von einem Regenschauer gehört —, allein die Stürme sind derart gewaltig, daß man in jenen Landstrichen schon mehr Unheil befürchten muß, als irgendwo auf dem Meer, wenn einmal auch bei nahezu klarem Himmel eine nur mäßige Brise einsetzt. Gras oder Saaten kommen hier nicht fort, da der Boden nicht fest ist und der trockene Sand von jedem Windstoß davongetragen wird. Wo aber Vorgebirge auf der Seite, die vom Meere abliegt, die Winde auffangen, ist der Boden ein klein wenig fester und läßt spärlich rauhes Gras hervorsprossen, das den Schafen gute Nahrung bietet. Die Einwohner leben von Milch; wer aber von ihnen unternehmender oder, wenn ich so sagen soll, reicher ist, nährt sich von Gerstenbrot. Gerste allein wird dort geerntet. Bei dem raschen Wachstum, wie es jener Boden dort ermöglicht, fällt sie gewöhnlich dem Verderben der rasenden Orkane nicht zum Opfer; soll sie doch schon dreißig Tage nach der Aussaat zur Reife kommen. Daß hier Menschen bestehen können, ist einzig und allein der Steuerfreiheit zu danken. Dieses Gebiet umschließt die äußerste Küste der Cyrenaica und stößt an jene Wüste, die zwischen Ägypten und Afrika liegt; durch diese führte einst Cato6 auf seiner Flucht vor Cäsar sein Heer.",398,de
Martin_von_Tours_Drei_Dialoge___ber_den_hl__Mar_4,Martin von Tours,Drei Dialoge; über den hl. Martinus,4,"Ich ging also zu jener Hütte, die ich von der Ferne erblickt hatte. Dort fand ich einen Greis; er war mit Fellen bekleidet und drehte an einer Handmühle. Er grüßte uns und nahm uns freundlich auf. Wir erklärten ihm, wir seien an dieses Gestade geworfen worden und würden jetzt durch die Seestille an der sofortigen Weiterfahrt gehindert; wir seien ans Land gegangen, um dem natürlichen Wissensdrange nachzugeben, die Bodenbeschaffenheit wie die Kultur der Einwohner kennen zu lernen. Wir seien Christen und deshalb möchten wir vor allem in Erfahrung bringen, ob es in dieser Einöde auch Christen gebe. Jetzt warf sich jener uns mit Freudentränen zu Füßen; immer und immer wieder küßte er uns und lud uns zum Gebete ein. Er breitete Hammelfelle auf den Boden aus und ließ uns Platz nehmen. Dann setzte er uns ein wahrhaft reichliches Mahl vor, ein halbes Gerstenbrot, Wir waren unser vier, er der fünfte. Er brachte auch ein Büschel Kräuter herbei, deren Name mir entfallen ist; sie glich der Minze, hatte viele Blätter und den Geschmack von Honig. Uns mundete dieses süße und wohlschmeckende Gericht gar sehr, und wir aßen uns satt"". Da sprach ich lachend zu unserem Gallus: “Gallus, was hältst du von einem solchen Mahl. Ein Büschel Kräuter und die Hälfte eines Brotes für fünf Männer. „ Schüchtern, wie er ist, errötete er bei diesem Necken von meiner Seite und sagte: “Du bleibst immer derselbe; du lassest keine Gelegenheit, die sich dir bietet, vorübergehen, ohne mich wegen meines guten Appetits aufzuziehen. Aber das ist grausam von dir, daß du von uns Galliern verlangst, wir sollten wie Engel leben. Ja, bei meiner Vorliebe fürs Essen kommt mir der Gedanke, auch die Engel müßten essen. Denn was dieses halbe Gerstenbrot betrifft, so würde ich mich schämen, es auch nur für mich allein anzurühren. Jener Cyrenäer allerdings mag damit zufrieden sein; ihn zwingt ja die Not wie die Natur zum Hungern. Schließlich mögen damit auch jene vorlieb nehmen, denen das Schaukeln auf dem Meere alle Lust am Essen benommen hat. Wir sind weit weg vom Meere und, was ich dir schon oft versichert habe, wir sind eben Gallier7 , Doch dieser möge lieber mit seiner Erzählung von dem Cyrenäer weiterfahren”. “Natürlich werde ich mich”, entgegnete Postumianus, ""in Zukunft in acht nehmen, irgend jemand wegen seiner Enthaltsamkeit zu loben, damit ein so unerreichbares Beispiel ja nicht bei unseren Galliern Anstoß errege.",395,de
Martin_von_Tours_Drei_Dialoge___ber_den_hl__Mar_5,Martin von Tours,Drei Dialoge; über den hl. Martinus,5,"Ich wollte zwar von dem Mahle jenes Cyrenäers und auch von den folgenden Mahlzeiten noch mehr erzählen; denn wir blieben sieben Tage bei ihm. Doch ich will davon absehen, damit nicht Gallus den Eindruck bekomme, als wollte ich ihn zum besten halten. Als am folgenden Tage einige der Einwohner uns besuchten, erfuhren wir, daß unser Gastgeber Priester sei; er hatte uns das sorgfältig zu verheimlichen gewußt. Wir gingen dann mit ihm zur Kirche, die unserm Auge verborgen war, weil sie in einer Entfernung von ungefähr zwei Meilen8 hinter einem Berge lag. Sie war in Fachwerk aus gewöhnlichen Zweigen und Ästen hergestellt und sah nicht viel größer aus als die Hütte unseres Gastgebers, in der man nur gebückt stehen konnte. Als wir uns nach den Sitten der Einwohner erkundigten, machten wir die auffallende Wahrnehmung, daß sie von Kauf und Verkauf nichts wissen. Betrug und Diebstahl sind ihnen unbekannte Begriffe. Gold und Silber, das die Menschen als das Höchste preisen, besitzen sie nicht und haben auch kein Verlangen darnach. Als ich nämlich jenem Priester zehn Goldstücke anbot, wies er sie zurück und erklärte in hoher Weisheit, Gold errichte nicht die Kirche, sondern vernichte sie. Wir schenkten ihm dafür einige Kleidungsstücke. Er nahm sie dankbar an. Hierauf riefen uns die Schiffsleute ans Gestade zurück; so schieden wir von ihm. Nach glücklicher siebentägiger Fahrt langten wir in Alexandrien an. Hier lagen Bischöfe und Mönche in schimpflichem Zwiste miteinander Veranlassung oder Ursache davon war: die Bischöfe hatten auf mehreren Versammlungen durch verschiedene Dekrete verboten, die Schriften des Origenes zu lesen oder zu besitzen. Dieser Origenes galt zwar als der gelehrteste Ausleger der Hl. Schrift, allein die Bischöfe wiesen auf manche Stellen in seinen Büchern hin, die ungesunden Geist verrieten; seine Anhänger wagten nicht, diese Sätze zu verteidigen, behaupteten vielmehr, sie seien von den Häretikern in betrügerischer Weise eingeschoben worden10 ; man dürfe daher der Stellen wegen, die mit Fug und Recht getadelt werden, nicht auch alles andere verwerfen. Der Glaube der Leser könne ja leicht soweit unterscheiden, daß er keine Fälschung annehme und das beibehalte, was im katholischen Geiste geschrieben sei. Man dürfe sich aber nicht darob wundern, daß häretischer Betrug sich an neue, unlängst geschriebene Bücher gewagt habe; er habe sich ja mancherorts nicht gescheut, sich an der Wahrheit des Evangeliums zu vergreifen.",379,de
Martin_von_Tours_Drei_Dialoge___ber_den_hl__Mar_6,Martin von Tours,Drei Dialoge; über den hl. Martinus,6,"Indes die Bischöfe blieben hartnäckig bei ihrem Widerstand und zwangen kraft ihrer Amtsgewalt dazu, mit dem Schlechten und mit dem Verfasser selbst auch alles Gute zu verwerfen; es gebe ja noch Bücher mehr als genug, die in der Kirche Aufnahme gefunden hätten. Eine Lektüre, die den Unverständigen mehr Schaden, als den Verständigen Nutzen bringe, sei daher zu unterdrücken. Als ich manche Teile jener Werke mit mehr Aufmerksamkeit las, fand ich an sehr vielem Gefallen, an manchem stieß ich mich. Origenes ist an diesen Stellen ohne Zweifel nicht richtiger Ansicht; allein seine Verteidiger erklären diese Stellen für gefälscht. Ich muß mich wundern, daß ein und derselbe Mann solche Gegensätze in sich vereinigen konnte. Da wo er Billigung verdient, hat er nicht seinesgleichen seit den Aposteln; dagegen behauptet man, da wo er mit Recht Tadel finde, sei niemand auf schimpflichere Irrwege geraten Unter vielen Stellen, die von den Bischöfen aus seinen Schriften ausgehoben waren und verlesen wurden, weil sie offenbar gegen den katholischen Glauben verstießen, rief besonders jene Stelle den Argwohn wach, in der man lesen konnte, unser Herr Jesus sei für die Erlösung des Menschengeschlechtes im Fleische erschienen, habe die Kreuzesstrafe für das Heil der Menschen erduldet und um ihrer ewigen Seligkeit willen den Tod gekostet. Ganz in der gleichen Weise werde er auf demselben Leidenswege auch den Teufel erlösen; denn es entspreche seiner Güte und Liebe, daß er auch den gefallenen Engel befreie, wie er die irregegangenen Menschen auf den rechten Weg gebracht habe. Da die Bischöfe solches und anderes vorbrachten, entstanden Parteiungen, und schließlich kam es zum Aufruhr. Die Bischöfe vermochten diese Unruhe durch ihr eigenes Ansehen nicht zu unterdrücken, sie zogen deshalb, was sehr bedauerlich war12 , den Präfekten bei, um die Zucht in der Kirche wiederherzustellen. Aus Furcht vor diesem zerstreuten sich die Brüder und flüchteten die Mönche nach verschiedenen Gegenden; denn sie durften sich nach dem Erlasse nirgends niederlassen. Es gab mir zu denken, daß jetzt ganz besonders Hieronymus, ein durch und durch katholischer und in der Hl. Schrift sehr bewanderter Mann, alle Schriften des Origenes verurteilte, während er doch anfänglich im Rufe stand, Anhänger des Origenes zu sein Allein ich möchte mir über niemand ein Urteil erlauben, sollen doch hervorragende, gelehrte Männer in dieser Streitfrage verschiedener Ansicht sein.",373,de
