id,author,work_title,section,text,word_count,language
Origenes_Lobrede_auf_Origenes_1,Origenes,Lobrede auf Origenes,1,"Lobrede auf Origenes Es ist etwas Kostbares um das Schweigen und zwar nicht nur vielfach für so viele andere Menschen, sondern auch ganz besonders für mich im gegenwärtigen Augenblick, wo mir, ich mag wollen oder nicht, der Mund verschlossen und Schweigen aufgenötigt wird. Bin ich ja ungeübt und unerfahren in jenen schönen und glanzvollen Reden, die mit ihren gewählten und gediegenen Worten und Ausdrücken wohlgeordnet wie in unaufhaltsamem Flusse gesprochen oder verfaßt werden. Vielleicht bin ich sogar von Natur aus allzu wenig geeignet mich diesem anmutigen und im vollen Sinne des Wortes hellenischen Werke zu unterziehen. Und wahrlich, es kann nicht anders sein. Es sind ja jetzt schon acht Jahre, seitdem ich weder selbst etwas vorgetragen oder überhaupt eine große oder kleine Rede verfaßt noch einen anderen gehört habe, der für sich etwas geschrieben oder vorgetragen oder auch öffentlich eine Lob- oder Verteidigungsrede gehalten hätte, jene bewunderungswürdigen Männer1 abgerechnet, die sich dem schönen Studium der Weisheit in die Arme geworfen haben. Aber auch diesen ist es weniger um schöne Sprache und zierliche Ausdrücke zu tun. Indem sie den sprachlichen Wohlklang erst in zweiter Linie berücksichtigen, wollen sie das Wesen der Dinge selbst mit Scharfsinn erforschen und zum Ausdruck bringen, nicht als ob ich glaubte, daß ihr Streben nicht dahin ginge — im Gegenteil, sie trachten sogar sehr darnach ihre schönen und scharfsinnigen Gedanken in schöner und wohlgefälliger Rede auszudrücken — aber sie sind vielleicht nicht imstande so ohne weiters den tiefen, heiligen und gottähnlichen Gehalt, der in ihren Gedanken liegt, und andrerseits eine in gefälligen Ausdrücken sich bewegende Rede mit ein und demselben und noch dazu beschränkten menschlichen Geist zu umfassen. Es sind dies zwei Vorzüge, die bei den einzelnen Menschen gesondert vertreten und in gewissem Sinn einander geradezu entgegengesetzt sind. Wenn nun auch der denkenden und forschenden Tätigkeit das Schweigen sozusagen befreundet und förderlich ist, so wird man doch die Fertigkeit und den Wohlklang in der Rede nicht wohl anderswo mit Erfolg suchen können als im Vortrag und in ununterbrochener Übung darin. Indes ist es noch ein anderer Wissenszweig, der meinen Verstand gewaltig in Anspruch nimmt, und der Mund legt die Zunge in Fesseln, wenn ich auch nur etwas weniges in griechischer Sprache vorbringen möchte.",366,de
Origenes_Lobrede_auf_Origenes_2,Origenes,Lobrede auf Origenes,2,"Es sind das unsere bewunderungswürdigen Gesetze, nach welchen jetzt die Angelegenheiten aller Untertanen des römischen Reiches geregelt werden und die ohne mühevolle Arbeit weder zustande kamen noch von Grund aus erlernt werden können, da sie an sich schon weise und scharfsinnig, mannigfaltig und bewunderungswürdig, mit einem Worte im höchsten Grade dem hellenischen Geiste entsprechend, außerdem aber in der lateinischen Sprache abgefaßt und übermittelt sind, die da Achtung gebietend und prunkvoll und der kaiserlichen Gewalt angemessen ist, für mich aber immerhin ihre Schwierigkeiten hat. Ich hatte auch in der Tat nicht die Möglichkeit und, ich darf wohl sagen, auch nie den Wunsch sie mir auf andere Weise gründlich anzueignen. Da nun aber unsere Ausdrücke nichts anderes sind als eine Art Bilder für die Empfindungen unserer Seele, so müssen wir wohl zugeben, daß die befähigten Redner ebenso wie etwa gute Maler, die in ihrer Kunst eine hohe Fertigkeit besitzen und über einen großen Farbenreichtum gebieten, wenn sie nach keiner Seite hin etwas daran hindert, berechtigt sind nicht bloß einerlei Bilder zu malen sondern auch mannigfaltige und solche, die durch reichliche Beimischung von Blumen einen besonderen Grad von Schönheit erreichen. Ich aber will wie ein Unbemittelter, dem solche bunte Farben nicht zur Verfügung stehen — sei es nun, daß ich sie überhaupt nie besessen oder auch daß ich sie vielleicht verloren habe — gleichsam wie nur mit Kohlen oder irdenen Täfelchen2 mit den mir vertrauten und mit alltäglichen Worten und Redensarten nach Maßgabe meiner Kräfte die Urbilder meiner Seelenstimmungen mit den mir geläufigen Ausdrücken abzeichnen und nachbilden, indem ich es versuche die Züge meiner geistigen Bilder, wenn auch nicht klar und mit vielem Schmucke, so doch wenigstens im Kohlenabrisse darzustellen. Kommt mir dabei irgendwo ein anmutiger und wohlklingender Ausdruck in den Weg, so heiße ich ihn herzlich willkommen, ist dies nicht der Fall, so will ich mich nach einem solchen umsehen. Aber es ist auch noch ein dritter Umstand, der mich außerdem zurückhält und abwendig macht und mir noch weit mehr als die erwähnten Einhalt gebietet, ja mir vorschreibt einfach still zu sein, und das ist der mir vorliegende Gegenstand. Seinetwegen fühlte ich mich zwar von Begierde hingerissen zu reden, aber jetzt muß ich zögern und mich sträuben.",365,de
Origenes_Lobrede_auf_Origenes_3,Origenes,Lobrede auf Origenes,3,"Ich beabsichtige nämlich über einen Mann zu sprechen, der zwar, äußerlich betrachtet, ein Mensch zu sein scheint, aber in den Augen derer, die in die Tiefe seines Charakters einen Blick hinabzuwerfen vermögen, bereits mit höheren Vorzügen ausgestattet ist, die ihn der Gottheit näher bringen. Ich habe auch nicht im Sinne seine leibliche Abstammung und Erziehung zu rühmen; denn auch da fühle ich mich eingeschüchtert und zurückgehalten durch überwältigende Hochachtung; auch nicht seine körperliche Kraft und Schönheit, denn das sind offenbar Gegenstände des Rühmens für Knaben, wobei es weniger darauf ankommt, ob sie nach Gebühr hervorgehoben werden oder nicht. Denn über Dinge, die nicht Dauer und Bestand haben, sondern auf mannigfache Art und schnell vergehen, eine prunkvolle und schon im Eingang hochfeierliche Rede zu halten, das möchte, so fürchte ich, abgeschmackt und zwecklos sein. Ich möchte darüber nicht einmal reden, wenn mir etwas dergleichen als Thema einer Rede gestellt wäre, da es unnütze und hinfällige Dinge sind, Dinge, die ich nie freiwillig als Gegenstand einer Rede mir ausersehen hätte. Freilich bräuchte ich, falls mir wirklich dieses Thema gestellt wäre, bei meiner Rede keineswegs in ängstlicher Verlegenheit oder Sorge zu sein, ich möchte durch irgend eine Äußerung der Würde des Gegenstandes nicht gewachsen erscheinen. Nun aber will ich dessen Erwähnung tun, was an ihm das Gottähnlichste ist, und was in ihm die Wesensverwandtschaft mit Gott ausmacht, einerseits eingeschlossen in diese sichtbare sterbliche Persönlichkeit, andererseits aber unablässig ringend nach der Ähnlichkeit mit Gott. Ich gehe ferner daran mich in gewissem Sinn mit erhabeneren Dingen zu befassen, so auch um seinetwillen der Gottheit meinen Dank dafür abzustatten, daß mir das Glück zuteil geworden ist mit einem so großen Manne in Berührung zu kommen, gegen alle fremde und eigene menschliche Erwartung und ohne daß ich es je beabsichtigt oder auch nur gehofft hätte. Mit so wichtigen Dingen will ich mich befassen trotz meiner gänzlichen Bedeutungslosigkeit und geistigen Beschränktheit: werde ich da nicht mit gutem Grund schüchtern und zaghaft und zum Schweigen geneigt.",327,de
Origenes_Lobrede_auf_Origenes_4,Origenes,Lobrede auf Origenes,4,"Ja wahrlich, es erscheint mir ratsam mich still zu verhalten, damit ich nicht etwa unter dem Vorwande der Dankbarkeit, zugleich aber aus vorschnellem Eifer vielleicht über erhabene und heilige Dinge unedel, einfältig und alltäglich daherrede und so nicht bloß hinter der Wahrheit zurückbleibe, sondern ihr, soweit es bei mir steht, bei denen, die meiner Darlegung Glauben schenken, auch noch Eintrag tue, da sich meine Rede als kraftlos darstellen wird, mehr wie eine Verhöhnung denn durch ihren Gehalt als getreue Schilderung seiner Verdienste. Und doch sind deine Vorzüge, o teures Haupt, über alle Verkleinerung und Verhöhnung erhaben, und noch viel mehr die Gottheit, die in sich unerschütterlich bleibt, wie sie ist, und durch meine unbedeutenden und unwürdigen Worte nicht beeinträchtigt werden kann. Ich aber weiß nicht, wie ich den Eindruck der Verwegenheit und des vorschnellen Eifers vermeiden soll, wenn ich aus Unbesonnenheit mit einem geringen Maße von Verstand und Vorbildung hinüberspringen will auf große und meine Kräfte jedenfalls überragende Dinge. Ja, wenn ich anderswo und vor anderen Zuhörern den Entschluß gefaßt hätte einen solchen jugendlichen Streich auszuführen, wäre ich noch immer bis zu einem gewissen Grade keck und tollkühn; aber es würde doch nicht die Frechheit Schuld sein an meinem vorschnellen Auftreten, weil ich eine solche Verwegenheit nicht dir gegenüber an den Tag legen würde. Jetzt aber will ich das Maß der Unbesonnenheit voll machen oder habe es vielmehr schon voll gemacht, indem ich es gewagt habe sozusagen mit ungewaschenen Füßen das Heiligtum jener Ohren zu betreten, in welchen das Wort Gottes selbst nicht wie für die große Mehrheit der Menschen gleichsam unter dem dicken Leder rätselhafter und unklarer Ausdrücke mit verhüllten, sondern, man könnte sagen, mit entblößten Füßen klar und ganz erkennbar seinen Einzug hält und seinen Aufenthalt nimmt. Ich aber trage meine menschlichen Worte wie eine Art Schmutz und Schlamm an mir und habe es gewagt sie in Ohren einzugießen, die geübt sind reine und göttliche Klänge zu vernehmen. Doch ich habe bis jetzt schon genug gesündigt und jetzt wenigstens soll ich anfangen mich zu mäßigen, indem ich in der Rede nicht weiter fortfahre, sondern sie beschließe, nicht wahr. Ich täte es gern. Indes da ich doch einmal so keck aufgetreten bin, sei es mir gestattet vorerst die Ursache anzugeben, die mich ermutigt hat hier öffentlich aufzutreten; vielleicht dürfte dann diese meine Zudringlichkeit nachsichtige Beurteilung finden.",387,de
Origenes_Lobrede_auf_Origenes_5,Origenes,Lobrede auf Origenes,5,"Nach meiner Anschauung ist es etwas Entsetzliches um die Undankbarkeit, etwas Entsetzliches, und das im vollsten Sinne des Wortes; denn Wohltaten zu empfangen ohne sich zu bestreben sie, wenn es auch auf andere Weise nicht möglich sein sollte, wenigstens durch Dankesbezeigungen in Worten zu erwidern, das verrät einen Menschen, der entweder ganz ohne Verstand und ohne Sinn für Wohltaten oder ohne Gedächtnis ist. Wer von Anfang an Sinn und Verständnis hat für das Gute, das er erfährt, der ist, wenn er die Erinnerung daran nicht auch für die Folgezeit bewahrt und nicht irgendwie dem Sprecher des Guten auch seinen Dank erzeigt, stumpfsinnig, undankbar und gewissenlos und versündigt sich in unverzeihlicher Weise, mag er nun hoch oder nieder gestellt sein — im ersten Fall, wenn er hochgestellt und gebildet ist, weil er nicht mit aller Dankbarkeit und Ehrerbietigkeit die großen Wohltaten, die er erfährt, im Munde führt, in letzterem Fall, wenn er niedrig gestellt und unbedeutend ist, weil er nicht aus allen Kräften Lob und Anerkennung ausspricht gegen den, der nicht bloß den Hohen, sondern auch den Niedrigen seine Wohltaten spendet. Höher Gestellte und geistig Begabtere haben natürlich in Anbetracht ihres größeren Vermögens und ihres großen Reichtums die unabweisbare Pflicht ihren Wohltätern nach Kräften größere und ehrenvollere Anerkennung zu zollen; aber auch den niedrig Gestellten und in beschränkten Verhältnissen Lebenden steht es nicht gut an, teilnahmslos oder nachlässig zu sein oder den Mut sinken zu lassen, weil sie nach ihrer Ansicht nichts Würdiges oder Vollkommenes zu leisten vermögen, sondern wie arme Leute von dankbarer Gesinnung sollen sie nicht die Leistungsfähigkeit dessen, den sie ehren wollen, sondern ihre eigene als Maßstab zugrunde legen und mit den ihnen zu Gebot stehenden Kräften ihre Ehrenbezeigungen erweisen, die dem Geehrten vielleicht wohlgefällig und angenehm und in seinen Augen nicht minder wertvoll sein werden wie eine Menge von größeren Auszeichnungen, vorausgesetzt, daß sie dieselben mit etwas größerer Bereitwilligkeit und ganz ergebener Gesinnung darbringen. So wird in der heiligen Schrift erzählt3, daß einmal eine unbedeutende arme Frau gleichzeitig mit reichen und vermöglichen Leuten, die von ihrem Reichtum große und kostbare Geschenke opferten, für sich allein nur eine unbedeutende und ganz geringe Gabe beisteuerte, obwohl sie ihre ganze Barschaft war, und darum das Zeugnis erhielt, daß sie am meisten gegeben habe.",373,de
Origenes_Lobrede_auf_Origenes_6,Origenes,Lobrede auf Origenes,6,"Denn nicht nach der Größe der Gabe, die ja etwas Äußerliches war, sondern mehr nach den Gesinnungen und Absichten, die dabei zutage traten, bemaß, wie ich glaube, die hl. Schrift ihren Wert und ihre Vortrefflichkeit. Darum ziemt es sich auch für mich durchaus nicht, daß ich aus Furcht, mein Dank möchte den Wohltaten nicht entsprechen, Zurückhaltung beobachte, nein gerade im Gegenteil, es ist in der Ordnung, daß ich es wage und den Versuch mache, wenn auch nicht in ebenbürtiger Weise, so doch wenigstens nach dem Maße meines Könnens meine Ehrenbezeigungen als eine Art Gegenleistung darzubringen; wenn auch meine Rede etwa nicht den Grad der Vollkommenheit erreicht, wird sie doch wenigstens teilweise einen guten Erfolg haben, indem sie dem vollendeten Vorwurf der Undankbarkeit entgeht. Denn es wäre wirklich unedel ganz und gar zu schweigen unter dem verlockenden Vorwand, daß man nichts Würdiges sagen könne, während der Versuch einer Gegenleistung immer etwas Edles bleibt, auch wenn die Kräfte des Dankenden dem betreffenden Verdienste nicht gewachsen sind. Wenn ich also auch nicht imstande bin zu sprechen, wie es das Verdienst erfordert, so werde ich doch nicht schweigen; ja wenn ich alles geleistet habe, was in meinen Kräften steht, dann will ich mich dessen sogar noch rühmen. Meine heutige Rede soll also eine Dankrede sein. Daß sie sich (unmittelbar) an Gott, den Herrn der Welt, richtet, möchte ich zwar nicht sagen. Und doch geht von ihm alles Gute aus, das wir haben, und bei ihm müßte ich auch mit meinen Kundgebungen des Dankes, des Jubels und des Lobes den Anfang machen. Indes selbst angenommen, ich wollte mich ganz, nicht aber in meinem gegenwärtigen Zustand der Unheiligkeit und Sündhaftigkeit, vermischt und vermengt mit fluchwürdiger und unheiliger Bosheit, sondern frei davon im Zustande möglichst hoher Reinheit, herrlichen Glanzes und vollkommener Lauterkeit und ohne alle Beimischung von Unvollkommenheit, ich wiederhole, selbst angenommen, ich wollte mich ganz frei davon wie ein neugeborenes Kind als Opfer darbieten, auch dann könnte ich von meiner Seite keine Gabe darbringen, die würdig genug wäre dem Lenker und Urheber des Weltalls Ehre und Dank zu bezeigen; dieses nach Gebühr zu preisen vermöchte weder jemals ein einzelner für sich noch auch alle Menschen zusammen, auch wenn alles, was rein ist, sich vereinigen, aus sich hinaustreten oder vielmehr in einem Geist versammelt und in einem Anlaufe zusammenstimmend sich an ihn wenden wollte.",387,de
Origenes_Lobrede_auf_Origenes_7,Origenes,Lobrede auf Origenes,7,"Denn was auch immer von seinen Werken jemand aufs beste und erschöpfendste ergründen und, wenn es je möglich wäre, in würdiger Weise über ihn aussprechen könnte, er würde gerade um dieser Fähigkeit willen, deren er von niemand anderem gewürdigt worden wäre, sondern die er wieder von ihm empfangen hätte, nicht daran denken können darüber hinaus von irgend einer Seite etwas Größeres sich zu verschaffen und als Beweis seiner Dankbarkeit darzubringen. Wir wollen vielmehr unsere Lobpreisungen und Huldigungen für den Beherrscher und Erhalter des Weltalls, der die unerschöpfliche Quelle alles Guten ist, an den richten, der auch hierin unsere Schwache heilt und allein das Fehlende zu ergänzen vermag, den Führer und Erlöser unserer Seelen, sein erstgeborenes Wort, den Schöpfer und Lenker des Weltalls, weil dieser allein die Fähigkeit besitzt sowohl für sich selbst als auch für alle, und zwar für jeden einzelnen so gut wie für die Gesamtheit zumal, fortwährend und unausgesetzt seinem Vater den Dank darzubringen. Denn da er selbst die Wahrheit4, die Weisheit und Kraft5 des Allvaters, und dazu noch in ihm und mit ihm vollkommen geeinigt6 ist, deshalb ist es gar nicht denkbar, daß er aus Vergeßlichkeit oder aus Mangel an Einsicht oder irgendwie aus Schwachheit wie einer, der außerhalb von ihm sein Dasein hat, entweder nicht hinreichend Kraft hätte ihn zu preisen oder es zwar vermöchte, aber freiwillig — es wäre Sünde dies zu sagen — seinen Vater ohne Lobpreis lassen wollte. Er allein vermag am vollkommensten den ganzen Tribut des Lobes darzubringen, das ihm gebührt. Ihn hat der Allvater selbst mit sich Eins gemacht7, indem er durch ihn nahezu sich selbst übertraf. Darum muß der Vater, wenn man so sagen darf, in jeder Beziehung in gleich hohem Grade, wie er ihn ehrt, von ihm wieder Ehre empfangen. Dazu ist zuerst und einzig unter allen Wesen befähigt sein Eingeborner, Gott das Wort, das in ihm ist, während wir anderen alle nur insoweit Dankbarkeit und Ehrfurcht an den Tag legen können, als wir den vollgültigen und würdigen Dank für die vom Vater empfangenen Wohltaten ihm allein übertragen und auferlegen, in der Überzeugung, dies sei der einzige Weg der Gottesverehrung, durch seine Vermittlung in allem an den Urheber des Weltalls zu denken.",363,de
Origenes_Lobrede_auf_Origenes_8,Origenes,Lobrede auf Origenes,8,"Darum also soll offen das Bekenntnis abgelegt werden, daß der allumfassenden und immerwährenden Vorsehung, die im Größten wie im Kleinsten für uns sorgt und uns bis hieher geleitet hat, Dank und Preis darzubringen nur jenes Wort8 hinreichend würdig sei, welches höchst vollkommen und lebendig und das geistbelebte Wort der Urvernunft ist. Mein Wort des Dankes aber soll heute unter allen Menschen vornehmlich dem heiligen Manne gelten, der hier zugegen ist. Wollte ich aber mit meinem Lobe noch höher hinaufsteigen, so möge es unter den unsichtbaren und der Gottheit näher stehenden Schutzgeistern der Menschen dem gelten, der durch Auswahl des Allerhöchsten die Aufgabe erhielt mich von meiner Kindheit an zu leiten, zu pflegen und für mich zu sorgen, der heilige Engel Gottes, der mich ernährt von Jugend auf, wie jener Liebling9 Gottes sagt, indem er offenbar dabei an seinen Engel denkt. Doch er, der ein großer Mann war, hatte in angemessener Weise einen sehr erhabenen Geist oder sonst jemanden, wer es auch immer sei, oder vielleicht gar den Engel des großen Ratschlusses10 selbst, den gemeinsamen Erlöser der Menschheit, um seiner Vollkommenheit willen zum ausschließlichen Beschützer erhalten, — ich weiß es nicht gewiß; jedenfalls hat er in seinem Engel, wer es auch immer sein mochte, etwas Großes erkannt und gepriesen. Ich aber tue das Gleiche neben dem gemeinsamen Lenker aller Menschen auch dem meinigen gegenüber, wer auch immer dieser eigens für meine Unerfahrenheit bestimmte Leiter sein mag. Er ist mir von jeher in jeder Beziehung und überall ein guter Erzieher und Pfleger gewesen (nicht wie es mir oder einem meiner lieben Angehörigen ersprießlich zu sein scheint — wir sind ja zu blind selbst dem gegenüber, was vor uns liegt, als daß wir etwas von dem, was wir bedürfen, auch nur zu beurteilen vermöchten — sondern wie er selbst es als nützlich erkennt, da er alles im voraus überschaut, was für unser Seelenheil ersprießlich ist) und auch jetzt noch ist er mein Ernährer, mein Erzieher und mein Führer.",325,de
Origenes_Lobrede_auf_Origenes_9,Origenes,Lobrede auf Origenes,9,"Und von allem andern ganz abgesehen, hat er es auch, was unstreitig das Allerwichtigste war, so einzurichten gewußt, daß er mich mit diesem Manne in Berührung brachte, ohne daß ich mit ihm durch Abstammung oder irgend welche Bande menschlichen Blutes verbunden gewesen oder sonst in näherer Beziehung gestanden wäre oder mich in seiner Nähe befunden oder überhaupt nur zu seinem Volksstamme gehört hätte — dies sind bekanntlich die Umstände, die für die Mehrzahl der Menschen der Anlaß werden, daß sie Freundschaft miteinander schließen und einander kennen lernen — sondern, um es kurz zu sagen, unbekannt, verschieden nach unserer Herkunft, gegenseitig fremd und einander ganz und gar fernstehend, sodaß Völker, Berge und Flüsse trennend zwischen uns lagen, hat er uns mit wahrhaft göttlicher und weiser Vorsehung zusammengeführt und mir dieses heilbringende Zusammentreffen ermöglicht; und das hat er, wie ich glaube, nach himmlischem Beschlusse schon gleich bei meiner Geburt und seit den frühesten Tagen meiner Kindheit ausgedacht. In welcher Weise aber, das wäre zu weitläufig zu erzählen, nicht bloß wenn ich bestrebt wäre genau zu sein und nichts zu übergehen, sondern auch wenn ich das meiste beiseite lassend in gedrängter Kürze nur einige wenige meiner wichtigeren Erlebnisse erwähnen wollte. Meine erste Erziehung von Geburt an ging nämlich unter den Augen meiner Eltern vor sich und die Lebensweise in der Heimat war eine vom Pfade der Wahrheit abweichende. Daß ich einmal davon frei werden sollte, wagte wohl niemand zu erwarten und konnte auch ich nicht hoffen als unzurechnungsfähiger Knabe unter einem Vater, der dem Götzendienst ergeben war. Da verlor ich meinen Vater und wurde verwaist, und gerade das legte in mir bald den Grund zur Erkenntnis der Wahrheit. Damals nämlich wandte ich mich zum ersten Male dem heilbringenden und wahrhaftigen Worte zu, ich weiß nicht wie, geschah es mehr aus Zwang oder aus eigenem Antrieb. Was hätte ich denn auch mit vierzehn Jahren für eine Unterscheidungsgabe haben sollen. Indes begann von jener Zeit an dieses heilige Wort sogleich eine gewisse Anziehungskraft auf mich auszuüben, weil in ihm eben die allgemeine Vernunft der Menschheit zum vollen Ausdruck gelangt; diese Anziehungskraft äußerte es gleichwohl damals zum ersten Male.",353,de
Origenes_Lobrede_auf_Origenes_10,Origenes,Lobrede auf Origenes,10,"Darin nun erblicke ich (wenn auch nicht von jeher, so doch wenigstens jetzt, wo ich darüber nachdenke) ein nicht geringes Kennzeichen der heiligen und wunderbaren Fürsorge für mich, in der Fügung nämlich, daß dies gerade mit diesen Jahren zusammentraf, damit so einerseits alles, was dieser Altersstufe vorausging, insoweit es in Werken des Irrtums bestand, meiner Unmündigkeit und Unvernunft zur Last falle und das göttliche Wort nicht umsonst einer dafür noch nicht empfänglichen Seele überliefert werde, andererseits damit meine Seele, nachdem sie dafür empfänglich geworden, wenn auch nicht erfüllt mit dem göttlichen und reinen Wort, so doch wenigstens der Ehrfurcht gegen dieses Wort nicht bar sei, sondern das menschliche und göttliche Wort11 gleichzeitig in mir zur Herrschaft gelange, dieses, indem es mit der ihm eigentümlichen und für mich unaussprechlichen Kraft Hilfe brachte, jenes, indem es Hilfe empfing. Diese Erwägung nun ist es, die mich gleichzeitig mit Freude und Furcht erfüllt, indem mich einerseits der Gedanke an diese Führung erhebt, andererseits aber die Furcht beschleicht, ich möchte trotz dieser großen Gnadenerweisungen gleichwohl mein Ziel nicht erreichen. Doch ich habe mich unvermerkt bei diesem Teil meiner Rede zu lange aufgehalten. Ich möchte allerdings die wunderbare Führung zu diesem Mann ausführlich auseinandersetzen, trotzdem aber will ich mich am Anfang beeilen und kurz fassen um zu den folgenden Punkten zu gelangen, nicht als ob ich glaubte dem, der es so gefügt hat, den Tribut des Preises oder des Dankes und der Huldigung, so wie ich es schulde, darbringen zu können (ich müßte ja als anmaßend erscheinen, wenn ich diese Bezeichnungen gebrauchte und doch nichts Würdiges zu sagen wüßte), sondern weil ich mir vorkomme wie einer, der einfach eine Aufzählung macht oder ein offenes Bekenntnis ablegt oder wie man sonst die Sache zutreffender bezeichnen kann. Meine Mutter, die von meinen Eltern allein zurückgeblieben war um für mich zu sorgen, beschloß mir jene allgemeine Ausbildung geben zu lassen, wie sie bei Knaben von edler Herkunft und Erziehung von jeher üblich war, und mich außerdem noch zu einem Redner in die Schule zu schicken, weil ich eben ein Redner werden solltch besuchte diese Schule auch wirklich, und die damaligen Sachverständigen versicherten, daß ich es in nicht gar langer Zeit zum Redner bringen werdch dagegen kann das nicht gerade behaupten und möchte es auch nicht tun.",377,de
