id,author,work_title,section,text,word_count,language
Paulinus_von_Nola__ber_den_Tod_Paulinas__an_Pamm_1,Paulinus von Nola,Über den Tod Paulinas; an Pammachius (Epistula 66),1,"Über den Tod Paulinas; an Pammachius (Epistula 66) Ist eine Wunde geheilt, und will der Arzt der darübergezogenen Haut die natürliche Farbe zurückgeben, dann muß er, während er doch nur die Wiederherstellung der körperlichen Schönheit bezweckt, von neuem zu einem schmerzhaften Eingriff schreiten. So fürchte auch ich als verspäteter Tröster, nachdem ich unpassender Weise zwei Jahre lang geschwiegen, zu ungelegener Zeit das Wort zu ergreifen. Ich fürchte, an die Wunde deines Herzens, welche Zeit und Ergebung geheilt haben, zu rühren und sie durch die Erinnerung von neuem aufzureißen. Wessen Ohren sind so hart, wessen Herz ist aus Stein gehauen und mit der Milch hyrkanischer Tiger1 genährt, daß er, ohne Tränen zu vergießen, den Namen deiner Paulina vernehmen könnte. Wer möchte gleichgültigen Blickes zusehen, wie die sich öffnende Rose und der in der Knospe verschlossene Blumenkelch, bevor er sich zum Blütenkranz entwickelt und die ganze Fülle der roten Blätter entfaltet, zur Unzeit geknickt wird und dahinwelken muß. Zerbrochen ist die so kostbare Perle, der grünfunkelnde Smaragd ist zertreten. Was für ein großes Gut die Gesundheit ist, zeigt erst die Krankheit. Wir empfinden viel mehr, was uns eine Sache galt, wenn wir aufgehört haben, sie zu besitzen. Auf dem guten Ackerlande lesen wir von drei Fruchtarten, von der hundert-, der sechzig- und der dreißigfältigen An drei Frauen, die durch die Bande des Blutes und ihre Tugendhaftigkeit miteinander verwandt sind, finde ich diese dreifache Belohnung Christi wieder. Eustochium erntet die Blüten der Jungfräulichkeit, Paula drischt die mühsame Tenne der Witwenschaft, Paulina bewahrt das Ehebett keusch und rein. Eine Mutter, die sich stützen kann auf ein solches Gefolge von Töchtern, verdient bereits auf Erden alles für sich, was Christus im Himmel versprochen, hat. Und damit aus dem einen Hause ein Viergespann der Heiligkeit hervorgehe und die Männer mit den Frauen in der Tugend gleichen Schritt halten, so gesellt sich ihnen noch ein Begleiter, Pammachius, zu, ein wahrer Cherub des Ezechiel, ihr Verwandter, Schwiegersohn, Gatte. Ja sogar ein höchst liebevoller Bruder kann er genannt werden, weil die heilige Geistesgemeinschaft von der ehelichen Verbindung nicht abhängig ist. Der Lenker dieses Viergespannes ist Jesus. Solche Pferde sind es, von denen Habakuk singt: „Steige auf deine Rosse, und dein Ritt gereicht dir zum Heil“3 In ungleichem Laufe, aber mit gleicher Gesinnung strebt man der Siegespalme zu.",378,de
Paulinus_von_Nola__ber_den_Tod_Paulinas__an_Pamm_2,Paulinus von Nola,Über den Tod Paulinas; an Pammachius (Epistula 66),2,"Verschiedenfarbig sind die Pferde, aber einmütig; sie ziehen alle am Gefährt des gleichen Lenkers; sie warten nicht auf Peitschenhiebe, sondern die aufmunternde Stimme genügt, sie anzueifern. Machen wir einen kleinen Abstecher in das Gebiet der Philosophier Tugenden nennen die Stoiker, die so ineinandergreifen und gegenseitig zusammenhängen, daß demjenigen, der einer einzigen ermangelt, alle abgehen. Es sind die Klugheit, die Gerechtigkeit, die Starkmut und die Mäßigung. Jedes von euch besitzt sie alle, doch so, daß ihr insgesamt durch eine einzelne besonders hervorragt. An dir preist man die Klugheit, an der Mutter die Gerechtigkeit, an der Jungfrau die Starkmut, an der Gattin die Mäßigung. Wer ist aber weiser als jener, welcher die Torheit der Welt verachtet und Christo, der Kraft und Weisheit Gottes, nachfolgt. Wer ist gerechter als die Mutter, welche ihr Vermögen unter die Kinder austeilt und sie durch Geringschätzung des Reichtums darüber belehrt, was Gegenstand ihrer Liebe sein soll. Wer ist stärker als Eustochium, welche die Tore des Adelsstandes und die stolzen Ansprüche eines konsularischen Geschlechtes durch das Gelübde der Jungfräulichkeit durchbrochen und in der ersten Stadt die ersie Familie unter das Joch der Keuschheit gebeugt hat. Wer ist maßvoller als Paulina, welche, bestärkt durch das Wort des Apostels: „Die Ehe sei ehrbar und das Ehebett unbefleckt“4 , weder das Glück der Schwester noch die Enthaltsamkeit der Mutter zu erstreben wagte, sondern lieber sicher in den Niederungen wandeln, als unsicheren Schrittes auf den Höhen schwanken wollte. Trotzdem dachte sie, nachdem sie einmal den Ehebund eingegangen war, Tag und Nacht an nichts anderes als daran, wie sie nach der Geburt von Kindern den zweiten Grad der Keuschheit erreichen könne. Zwar nur ein schwaches Weib, doch zu hohen Taten begeisternd5 , suchte sie auch ihren Gatten ihrem Vorhaben gefügig zu machen; denn sie wollte den Gefährten ihres Heiles nicht im Stiche lassen, sondern rechnete auf seine Nachfolge. Trotz wiederholter Fehlgeburten verzweifelte sie bei neueingetretener Fruchtbarkeit nicht am Kindersegen. Mit Rücksicht auf den heißen Wunsch ihrer Schwiegermutter und die Traurigkeit ihres Gatten achtete sie ihrer eigenen Schwäche nicht, duldete sie in etwa mit ihrem Vorbilde Rachel. Doch anstatt eines Sohnes der Schmerzen und der Rechten6 gebar sie ihren Mann als Erben ihres eigenen Wunsches. Aus zuverlässiger Quelle habe ich erfahren, daß sie nicht dem ersten Ausspruch Gottes: „Wachset und mehret euch und erfüllet die Erde“7 , nicht den ehelichen Pflichten dienstbar sein wollte.",390,de
Paulinus_von_Nola__ber_den_Tod_Paulinas__an_Pamm_3,Paulinus von Nola,Über den Tod Paulinas; an Pammachius (Epistula 66),3,"Vielmehr hat sie nur in der Absicht, für Christus Jungfrauen zu gebären, sich Kinder gewünscht. Wir lesen, daß die Gattin des Priesters Phinees auf die Nachricht von der Wegnahme der Bundeslade von plötzlichen Geburtswehen überfallen wurde und einen Sohn gebar, den Ikabod Unter den Händen hilfsbereiter Frauen gab sie mit ihrem Kinde auch ihre Seele von sich. Von der Rachel ist Benjamin, d. h. ein Sohn der Kraft oder der Rechten, geboren worden, von der Gattin des Phinees ein Priester des Herrn, berühmt dadurch, daß er nach der Bundeslade benannt wurde Uns aber hat nach dem Hinschlummern und Entschlafen Paulinas die Kirche den Pammachius als Mönch, wenn auch als verspäteten, geboren, den Pammachius, der ein Patrizier ist durch den Adel seines Vaters und seiner Gattin, reich an Werken der Nächstenliebe, erhaben durch seine Demut. Der Apostel schreibt an die Korinther: „Sehet, Brüder, auf eure Berufung; denn nicht viele sind weise nach dem Fleische, nicht viele mächtig, nicht viele vornehm“ So forderten es die Anfänge der werdenden Kirche, daß das Senfkörnlein allmählich zum Baume sich auswuchs11 , daß nach und nach der Sauerteig des Evangeliums die ganze Masse der Kirche emporhob Doch in unseren Tagen besitzt Rom etwas, was es früher in der ganzen Welt nicht gab. Damals waren die Weisen und Mächtigen und Adeligen unter den Christen selten, jetzt gibt es viele weise, mächtige und adelige Mönche. Weiser, mächtiger und vornehmer als sie alle ist jedoch mein lieber Pammachius: groß unter den Großen, der erste unter den Ersten, der Anführer unter den Mönchen. Solche Kinder hat uns Paulina nach ihrem Tode hinterlassen, wie sie sie zu Lebzeiten sich gewünscht hat. „Freue dich, Unfruchtbare, die du nicht gebierst, frohlocke und jauchze, die du keine Geburtswehen kennst13 ; denn so viele Arme es zu Rom gibt, so viele Kinder hast du plötzlich geboren“. Die glänzenden Edelsteine, mit denen sie früher Hals und Gesicht zierte, sättigen jetzt die Leiber der Armen. Die seidenen Gewänder und der Goldbrokat sind in weiche Wollkleider verwandelt worden, die vor Kälte schützen, aber nicht mehr den Hochmut verhüllen. Das Hausgerät, das einst dem Vergnügen diente, steht jetzt im Solde der Tugend. Jener Blinde, der seine Hand ausstreckt und oft dort jammert, wo sich niemand aufhält, ist jetzt Paulinas Erbe und Miterbe des Pammachius. Jenen Krüppel, der seine Füße nicht mehr gebrauchen kann und sich mit der ganzen Körperlast dahinschleppt, unterstützt die zarte Hand eines Mädchens.",397,de
Paulinus_von_Nola__ber_den_Tod_Paulinas__an_Pamm_4,Paulinus von Nola,Über den Tod Paulinas; an Pammachius (Epistula 66),4,"Die Türen, zu welchen früher die Besucher scharenweise hereinströmten14 , werden jetzt von Armen belagert. Der eine, von Wassersucht aufgeschwollen, sieht dem Tode entgegen, ein anderer ist sprachlos und stumm, und weil er keine Zunge besitzt, womit er bitten kann, wirkt seine Bitte nur um so flehentlicher. Ein weiterer ist von Kindheit an gebrechlich und bettelt nicht für sich die Gabe. Ein vierter ist infolge des Aussatzes in Fäulnis übergegangen und überlebt sozusagen seinen Leichnam. „Hätt’ ich der Zungen und Sprachen auch tausend, und eherne Stimme, Nicht vermocht ich zu nennen die Namen dir aller Gebrechen“ Von einem solchen Gefolge begleitet, schreitet er einher, in ihnen erquickt er Christus, durch ihren Schmutz wird er gereinigt. So eilt der zum Himmel, der die Armen beschenkt und um die Gunst der Dürftigen anhält. Andere Ehemänner streuen auf die Gräber ihrer Gattinnen Veilchen, Rosen, Lilien und purpurfarbene Blumen und suchen durch solche Liebesdienste ihren Seelenschmerz zu lindern. Unser Pammachius befruchtet die heiligen Überreste und die ehrwürdigen Gebeine mit dem Balsam des Almosens. Mit solchen Salben und Wohlgerüchen erquickt er die ruhende Asche und denkt dabei an die Schriftstelle: „Wie das Wasser das Feuer löscht, so löscht das Almosen die Sünden“ Was für eine Tugendkraft dem Mitleid innewohnt und wie groß sein Lohn ist, das schildert der hl. Cyprian in einem umfangreichen Buche Auch Daniels Rat billigt diesen Glauben; denn er weiß, daß der gottlose König, wenn er auf ihn hätte hören wollen, durch die Unterstützung der Armen gerettet werden mußte Über einen solchen Erben ihrer Tochter freut sich die Mutter. Es bereitet ihr keinen Schmerz, daß der Reichtum an einen andern gekommen ist; denn sie sieht, daß er ihrem Wunsch gemäß ausgeteilt wird. Ja, sie kann sich Glück wünschen, weil ohne ihr Zutun ihre Wünsche in Erfüllung gehen. Es liegt keine Verminderung ihres Vermögens vor, sondern nur ein Tausch in der Arbeitsleistung. Wer hätte es für möglich halten sollen, daß ein Urenkel von Konsuln, eine Zierde des Geschlechtes der Furier, in eine einfache dunkle Tunika gehüllt, unter den in Purpur gekleideten Senatoren einhergeht, ohne zu erröten vor den Blicken seiner Standesgenossen. Ja, er macht sich sogar lustig über jene, die über ihn scherzen. „Es gibt eine Scham, die zum Tode, und eine Scham, die zum Leben führt",374,de
Paulinus_von_Nola__ber_den_Tod_Paulinas__an_Pamm_5,Paulinus von Nola,Über den Tod Paulinas; an Pammachius (Epistula 66),5,"Die erste Tugend des Mönches besteht darin, die Urteile der Menschen zu verachten und immer des Apostelwortes eingedenk zu sein: „Wenn ich den Menschen zu Gefallen wäre, dann könnte ich Christi Diener nicht sein“ Ähnlich spricht auch der Herr zu den Propheten, er habe ihr Angesicht gemacht wie eine eherne Stadt und wie einen Diamanten und wie eine eiserne Säule, damit sie sich nicht fürchteten vor den Beschimpfungen des Volkes21 , sondern die frechen Spötter mit ernster Stirne niederschmetterten. Den Charakter, der herausreift aus freiheitlicher Erziehung, überwindet die Ehrfurcht viel leichter als die Furcht. Und jene, bei welchen Qualen nichts ausrichten, besiegt zuweilen die Scham. Es ist nicht gering anzuschlagen, wenn ein vornehmer, ein beredter, ein wohlhabender Mann die Gesellschaft der Einflußreichen auf der Straße meidet und sich unter das Volk mischt, den Armen nachgeht, sich mit Ungebildeten unterhält und aus einem hochgestellten ein einfacher Mann wird. Je mehr er sich verdemütigt, desto erhabener steht er da. Es leuchtet eine Perle selbst im Schmutze und der Glanz eines echten Edelsteines erstrahlt auch im Kote. Eine Verheißung des Herrn lautet: „Wer mich verherrlicht, den werde auch ich verherrlichen“ Andere mögen sie von der Zukunft verstehen, in welcher die Trübsal in Freude verwandelt wird23 und die Krone der Heiligen ständig weiter dauert, wenn auch die Welt vergeht. Ich sehe, daß das Versprechen sich bereits in der Gegenwart erfüllt. Ehe Pammachius Christo mit ganzer Seele diente, spielte er im Senate eine Rolle; aber auch viele andere trugen die Auszeichnung der Prokonsuln. Der ganze Erdkreis war voll solcher Ehrenstellen. Er war der erste, aber unter anderen ersten; dem einen ging er an Rang vor, dem anderen folgte er nach. Mag eine Ehre noch so groß sein, sie verliert, wenn sie mit vielen geteilt wird. Unter rechtschaffenen Männern büßt eine Würde an Wert ein, wenn viele Unwürdige sie bekleiden. Deshalb hat auch Tullius so treffend von Cäsar gesagt: „Als er gewisse Leute auszeichnen wollte, da hat er nicht sie geehrt, sondern die Auszeichnung in den Schmutz gezogen“ Aber jetzt nennen alle christlichen Kirchen den Pammachius; jetzt bewundert die ganze Welt den Armen, den sie bisher in seinem Reichtum nicht gekannt hat. Was ist herrlicher als das Konsulat. Ein Jahr dauert es nur, und wenn der Nachfolger kommt, muß der Vorgänger sein Amt niederlegen. Unter der Menge bleiben die Lorbeerkränze verborgen und die Triumphzüge werden zuweilen durch die Schlechtigkeit der Triumphatoren besudelt.",396,de
Paulinus_von_Nola__ber_den_Tod_Paulinas__an_Pamm_6,Paulinus von Nola,Über den Tod Paulinas; an Pammachius (Epistula 66),6,"Dieses Amt erbte sich früher nur unter Patriziern fort, nur der Adel hatte es inne. Marius wurde trotz seiner Siege in Numidien und über die Teutonen und Cimbern desselben wegen seiner einfachen Herkunft für unwürdig gehalten. Das Amt, das ein Scipio vor Jahren als Lohn seiner Tapferkeit erhielt, ist jetzt in den Händen der Söldnertruppen. Schon lange schmückt die mit Palmzweigen bestickte Toga Nachkommen von Bauern. Mehr haben wir also empfangen als hingegeben; auf Kleinigkeiten haben wir verzichtet und Großes besitzen wir. Hundertfach verzinsen sich die Verheißungen Christi. Auf einen solchen Acker hatte einst auch Isaak gesät, der, zum Tode bereit, schon vor dem Evangelium das Kreuz des Evangeliums getragen hat „Willst du vollkommen sein“, heißt es, „so gehe hin und verkaufe alles, was du hast, und gib es dea Armen. Dann komme und folge mir nach. “26 Willst du vollkommen sein. Immer werden die erhabenen Dinge der freien Entscheidung der Zuhörer überlassen. Deshalb befiehlt auch der Apostel die Jungfräulichkeit nicht, weil der Herr in seiner Rede von den Verschnittenen, die sich um des Himmelreiches willen verschnitten haben, zuletzt sagt: „Wer es fassen kann, der fasse es“ Denn es liegt nicht am Wollen oder Laufen, sondern am Erbarmen Gottes Willst du vollkommen sein. Es wird dir keine Pflicht auferlegt, sondern der freie Wille soll sich die Belohnung erringen. Wenn du also vollkommen sein willst und so zu werden wünschest wie die Propheten, die Apostel und Christus, dann verkaufe alles, was du hast, nicht bloß einen Teil deines Besitztumes. Denn wenn die Furcht vor Not dir Veranlassung zur Untreue gäbe, dann könntest du auch mit Ananias und Saphira zugrunde gehen Und wenn du es verkauft hast, dann gib es den Armen, nicht den Reichen und Hoffärtigen. Gib, damit der Not gesteuert wird, nicht damit Schätze aufgehäuft werden. Wenn du weiterhin die Worte des Apostels liesest: „Einem dreschenden Ochsen sollst du das Maul nicht verbinden“30 , „Der Arbeiter ist seines Lohnes wert“31 , „Wer dem Altare dient, soll auch vom Altare leben“32 , dann denke ebenfalls an den anderen Ausspruch: „Wenn wir Nahrung und Kleidung haben, so wollen wir damit zufrieden sein“ Wo du Schüsseln dampfen siehst und Fasane in langsamem Feuer zubereitet werden, wo du schwere Silbergeräte, feurige Kutschpferde, fein frisierte Diener, kostbare Kleider, gemalte Tapeten bemerkst, wo der Empfänger reicher ist als der Geber, da wäre es ein halbes Sakrileg, das Gut der Armen solchen auszuteilen, die nicht arm sind.",400,de
Paulinus_von_Nola__ber_den_Tod_Paulinas__an_Pamm_7,Paulinus von Nola,Über den Tod Paulinas; an Pammachius (Epistula 66),7,"Aber es genügt noch nicht für einen vollendeten und vollkommenen Mann, Schätze zu verachten, Geld wegzugeben und wegzuwerfen, das in einem Augenblick verloren und gewonnen werden kann. Dies hat auch der Thebaner Crates34 , dies hat Antisthenes35 , dies haben sehr viele getan, von denen wir wissen, daß sie überaus lasterhaft gewesen sind. Der Anhänger Christi muß mehr leisten als der Weltmensch. Der Philosoph ist ein ruhmsüchtiges Wesen, der feile Sklave der Volksgunst und der Volksmeinung. Für dich genügt es nicht, Reichtümer zu verachten, wenn du nicht Christo nachfolgst. Der aber folgt Christo nach, welcher die Sünde meidet und die Tugend zum Begleiter hat. Christus ist, wie wir wissen, die Weisheit. Dieser Schatz wird gehoben aus dem Acker der Heiligen Schriften; diesen Edelstein kann man nur für viele Perlen erkaufen. Wenn du aber ein gefangenes Weib, nämlich die weltliche Wissenschaft, lieb gewonnen hast und durch ihre Schönheit bestrickt worden bist, dann schere sie kahl und schneide ihre Haarlocken und den Schmuck der Beredsamkeit samt ihren abgestorbenen Fingernägeln ab Wasche sie in der Lauge des Propheten37 , und dann kannst du bei ihr ruhen und sagen: „Ihre Linke ist unter meinem Haupte, und mit ihrer Rechten umarmt sie mich“ Und die Gefangene wird dir viele Kinder gebären, und aus der Moabitin wird eine Israelitin werden Christus ist die Heiligung, ohne welche niemand das Angesicht Gottes schauen wird. Christus ist die Erlösung, Erlöser und Kaufpreis; Christus ist alles, so daß jener, welcher alles um Christi willen verlassen hat, ihn allein für alles wiederfindet und freimütig ausrufen kann: „Mein Anteil ist Gott“ Ich erkenne, daß du voller Eifer bist für die göttlichen Wahrheiten, ohne so verwegen zu sein wie jene, die lehren, was sie nicht wissen. Bevor du anfängst zu lehren, lernst du. Deine gewöhnlichen Briefe verraten Vertrautheit mit den Propheten und Aposteln. Du strebst nicht nach einer hochtrabenden Beredsamkeit, noch kleidest du nach Schülerart spitzfindige Sprüchlein in abgerundete Perioden. Der luftige Schaum vergeht gar schnell, und wenn jemand noch so aufgedunsen ist, ein Zeichen von Gesundheit ist dies keineswegs. Bekannt ist jener Ausspruch Catos: „Schnell genug, wenn nur auch gut genug“. Wir haben freilich einst als Knaben gelacht, als er von dem Vorsteher der Rhetorik in der Einleitung angeführt wurdch denke, du erinnerst dich noch unseres beiderseitigen Irrtums, als die ganze Schule wie aus einem Munde rief: „Schnell genug, wenn nur auch gut genug“.",392,de
Paulinus_von_Nola__ber_den_Tod_Paulinas__an_Pamm_8,Paulinus von Nola,Über den Tod Paulinas; an Pammachius (Epistula 66),8,"Glücklich, sagt Fabius, wären die Künste, wenn nur Künstler über sie zu Gericht säßen. Einen Dichter kann nur derjenige verstehen, der selbst Verse machen kann. Philosophen kann nur jener beurteilen, welcher die verschiedenen Systeme kennt. Über mit der Hand gefertigte und in die Augen fallende Gegenstände entscheiden am besten die Handwerker. Wie hart dagegen unsere Lage ist, kannst du daraus erkennen, daß wir dem Urteil des Volkes ausgesetzt sind. Und jene sind in der Masse zu fürchten, die man, sobald man sie allein erblickt, verachten würde. Dies habe ich nur nebenbei berührt, damit du dich bescheidest bei dem Urteil Sachverständiger und nicht zu sehr dich um das kümmerst, was Unerfahrene von dir schwätzen. Genieße täglich von dem Marke der Propheten, damit du dich einweihst in die Geheimnisse Christi und der Patriarchen. Magst du lesen oder schreiben, wachen oder schlafen, immer möge dir des Amos Hirtenhorn im Ohre klingen; diese Kriegstrompete soll deine Seele in Alarm versetzen. Begeistert von dieser Liebe41 suche auf deinem Lager den, nach welchem deine Seele verlangt42 , und sprich vertrauensvoll: „Ich schlafe, aber mein Herz wacht“ Wenn du ihn gefunden hast, so halte ihn fest und entlasse ihn nicht. Und wenn er, während du für kurze Zeit eingeschlummert bist, deinen Händen entglitten sein sollte, dann verzweifle nicht sofort. Gehe hinaus auf die Straßen, beschwöre die Töchter Jerusalems, und du wirst ihn finden ruhend am Mittag, müde, liebestrunken, vom Tau der Nacht befeuchtet, unter den Scharen seiner Genossen, unter verschiedenen Wohlgerüchen, unter den Apfelbäumen des Paradieses. Dort reiche ihm deine Brüste, damit er trinke aus der weisen Brust. 44 Er möge ruhen in mitten seines Erbes, wo ihm zuteil werden Silberflügel einer Taube und ein Inneres glänzend wie Gold Jener kleine Knabe, der sich von Butter und Honig nährt, der unter Bergen geronnener Milch aufgezogen worden ist46 , wächst rasch zum Jüngling heran, beraubt schnell die Feinde in dir, plündert eiligst Damaskus und besiegt Assyriens König Ich höre, daß du ein Pilgerheim im römischen Hafen erbaut48 und einen Zweig vom Baume Abrahams149 an das ausonische Ufer50 verpflanzt hast. Wie Aeneas steckst du ein neues Lager ab, und an den Wassern des Tibers, wo er unter dem Drucke der Not die bedeutungsvollen Kuchen und die als Tisch benutzten Brotscheiben nicht verschonte51 , baust du ein Dörflein wie das unsrige, ein neues Haus des Brotes52 , und stillst den lang ertragenen Hunger durch unerwartete Sättigung.",396,de
Paulinus_von_Nola__ber_den_Tod_Paulinas__an_Pamm_9,Paulinus von Nola,Über den Tod Paulinas; an Pammachius (Epistula 66),9,"Ja mein Freund, du bleibst nicht beim Anfange stehen, sondern steuerst gleich auf das Ziel los. Von der Wurzel steigst du sofort zum Gipfel hinauf. Der erste unter den Mönchen in der ersten Stadt, folgst du dem ersten Patriarchen nach. Lot, d. h. der sich Abwendende, mag immerhin die ebenen Gefilde aussuchen53 , und nach dem pythagoräischen Buchstaben54 die leichten Wege zur Linken, die ins Verderben führen, einschlagen. Du, errichte dir auf den steilen Felsenhöhen mit Sara ein Denkmal55 , daneben sei die „Bücherstadt“56 und nach Vernichtung der Giganten, der Enakssöhne57 , möge Freude und Lachen dein Erbteil sein. Abraham war reich an Gold, Silber, Herden, Ländereien und Kleidern. So groß war sein Gesinde, daß er trotz der unerwarteten Nachricht ein Heer ausgesuchter junger Leute ausrüsten konnte und vier Könige, vor denen fünf Könige die Flucht ergriffen hatten, bei Dan erreichte und niedermachte Nachdem er so oft Gastfreundschaft geübt und die Menschen nicht abgewiesen hatte, wurde er für würdig erachtet, Gott als Gast zu bewirten. Doch nicht Knechten und Mägden überließ er die Wartung der Gäste; denn das Gute, das er übte, sollte nicht durch andere gemindert werden. Vielmehr widmet er sich allein mit Sara den Pflichten der Nächstenliebe, gleich als ob er eine Beute erlegt hätte. Er selbst wäscht die Füße und schleppt ein Mastkalb auf seinen Schultern von der Herde weg. Wie ein Sklave steht er zur Verfügung, während die Fremden den Imbiß einnehmen; er selbst setzt, ohne mitzuessen, die von Saras Hand zubereiteten Speisen vor An dies eine erinnere ich dich, teurer Bruder, mit der Liebe, die ich zu dir hege: „Gib nicht nur dein Vermögen, sondern dich selbst Christo hin, als ein lebendiges, heiliges, Gott wohlgefälliges Opfer, als einen vernünftigen Gottesdienst Ahme den Menschensohn nach, der nicht kam, um sich bedienen zu lassen, sondern um selbst zu dienen“ Und was der Patriarch an Fremden getan hat, hat unser Herr und Meister seinen Jüngern und Dienern getan. „Haut um Haut, und alles, was der Mensch besitzt, kann er geben um sein Leben. “ „Aber“, so sprach Satan, „rühre sein Fleisch an, und du wirst sehen, ob er dir nicht ins Angesicht flucht“ Der Erbfeind weiß, daß der Kampf um die Enthaltsamkeit viel schwerer ist als der Kampf gegen die Habsucht. Was äußerlich ist, wirft man leicht ab. Der innere Krieg birgt mehr Gefahren.",386,de
Paulinus_von_Nola__ber_den_Tod_Paulinas__an_Pamm_10,Paulinus von Nola,Über den Tod Paulinas; an Pammachius (Epistula 66),10,"Was nur angebunden ist, können wir losknüpfen, was aus einem Stücke gefertigt ist, müssen wir auseinanderreißen. Zachäus war reich, die Apostel dagegen arm. Was er geraubt hatte, gab er vierfach zurück, und das Vermögen, das übrig geblieben war, verschenkte er zur Hälfte unter die Armen. Er nahm Jesus gastfreundlich auf, und seinem Hause widerfuhr Heil Trotzdem wurde er, weil er klein war und sich zur apostolischen Vollkommenheit nicht erheben konnte, auch nicht in die Zahl der zwölf Apostel aufgenommen. Wenn man an Reichtümer denkt, dann haben die Apostel nichts, wenn man aber nach der Willensentsagung fragt, dann haben sie alle ohne Ausnahme die ganze Welt verlassen. Bieten wir Christo unsere Schätze samt unserer Seele an, und er wird sie gerne annehmen. Wenn wir jedoch nur das Äußere Gott, das Innere aber dem Teufel schenken, dann ist es keine gerechte Teilung und es wird heißen: „Hast du nicht gesündigt, weil du zwar richtig opfertest, aber nicht gerecht teiltest. “64 Daß du als der ersten einer aus patrizischem Geschlechte ein Mönchsleben begonnen hast, darf dir nicht Veranlassung zum Hochmut werden, wohl aber zur Demut; weißt du doch, daß der Sohn Gottes ein Menschensohn geworden ist. Wie sehr du dich auch erniedrigen magst, demütiger als Christus wirst du nicht werden. Es mag sein, daß du zu Fuß einherschreitest, mit einer schwarzen Tunika dich kleidest, den Armen dich gleichmachst, in Herablassung die Wohnungen der Elenden besuchst, daß du der Blinden Auge, der Schwachen Hand, der Lahmen Fuß bist, daß du selbst Wasser trägst, Holz spaltest, Feuer anzündest. Aber wo bleiben die Ketten, wo die Backenstreiche, wo der Speichel, wo die Geißelhiebe, wo das Kreuzesholz, wo der Tod. Und wenn du alles tust, was ich angeführt habe, so wirst du doch noch überragt von Eustochium und Paula, wenn auch nicht in den Werken selbst, dann wenigstens durch den in ihrem Geschlecht begründeten Mangel an Kraft. Ich war zwar damals nicht in Rom, vielmehr hielt mich die Wüste fest — o hätte sie mich immer festgehalten —, als sie zu Lebzeiten deines Schwiegervaters Toxotius noch der Welt dienten. Damals konnten sie den Schmutz auf der Straße nicht ausstehen; sie ließen sich von Eunuchen tragen und gelangten nur schwer auf dem unebenen Boden voran.",367,de
