id,author,work_title,section,text,word_count,language
Rufinus_von_Aquileia_Brief_an_den_Rufinianus_1,Rufinus von Aquileia,Brief an den Rufinianus,1,"Brief an den Rufinianus (Epistula ad Rufinianum) Dem Herrn Sohne und theuersten Mitdiener Rufinianus entbietet Athanasius seinen Gruß in dem Herrn. Du schreibst, wie es einem geliebten Sohne an seinen Vater zu schreiben sich geziemt; ich habe dich daher, da du durch dein Schreiben nahtest, mit Freuden aufgenommen, vor Allen mir theuerster Rufinianus. Obwohl ich aber im Anfange, in der Mitte und am Ende des Briefes, dir wie einem Sohne schreiben könnte, so halte ich mich doch zurück, damit nicht aus dem Schreiben die Empfehlung und das Zeugniß erkannt werde. Denn du bist mir ein Brief, wie geschrieben steht ( Kor. III, ), erkannt und gelesen im Herzen. Dieses glaube, diese Gesinnung hege, ja, dieses glaubch grüße dich, ich ermahne dich, mir wieder zu schreiben; denn nicht wenig, sondern ungemein erfreuest du mich, wenn du dieses thuest. Weil du aber aus frommem Eifer und nach der Vorschrift der Kirche, wie es deiner Gottseligkeit geziemt, hinsichtlich derjenigen gefragt hast, welche zwar durch Zwang gefallen, aber doch nicht von dem Irrglauben angesteckt worden sind; und weil du gewünscht hast, ich möchte dir schreiben, was hinsichtlich dieser in den Synoden, und überall beschlossen worden ist; so wisse, mein theuerster Herr, daß im Anfange, als jene Gewaltthätigkeit aufgehört hatte, eine Synode 2 gehalten wurde, wobei die Bischöfe aus dem Auslande anwesend waren, daß ferner eine andere Synode bei den Mitdienern, welche Griechenland bewohnen, und eben so auch bei denen in Spanien und Gallien Statt fand, und daß hier und aller Orten derselbe Beschluß gefaßt wurde, es sollte nämlich den Gefallenen, wenn sie Häupter der Gottlosigkeit waren, im Falle sie Reue zeigten, zwar verziehen, aber keine Stelle unter dem Klerus eingeräumt, denjenigen aber, welche die Gottlosigkeit nicht verfochten, sondern durch Zwang und Gewalt hingerissen wurden, nicht nur Verzeihung gewährt, sondern auch im Klerus eine Stelle verliehen werden; zumal da sie eine hinreichende Entschuldigung vorbrachten, und dieses gewissermassen einer göttlichen Fügung zu Folge geschehen zu seyn schien. Denn sie behaupteten, daß sie nicht in Gottlosigkeit verfallen seyen, sondern daß sie, damit nicht einige höchst gottlose Menschen zur bischöflichen Würde gelangen und die Kirchengemeinden verderben möchten, es vorgezogen hätten, der Gewalt zu folgen, und diese Last zu tragen, als die Völker ihrem Verderben entgegen gehen zu lassen.",370,de
Rufinus_von_Aquileia_Brief_an_den_Rufinianus_2,Rufinus von Aquileia,Brief an den Rufinianus,2,"Und dieses scheinen sie uns nicht ohne Grund gesagt zu haben, zumal weil sie als Beispiel anführten, daß Aaron, der Bruder des Moyses, an das Volk in der Wüste bei dem Vergehen desselben sich angeschlossen, zu seiner Entschuldigung aber die Absicht gehabt habe, damit das Volk nicht nach Aegypten zurückkehren und in der Abgötterei verharren möchte; denn dieser Grund war vernünftig, weil sie, wenn sie in der Wüste blieben, von der Gottlosigkeit ablassen konnten, wenn sie aber nach Aegypten gezogen wären, in der Gottlosigkeit gewandelt und diese in sich vergrößert hätten. Daher wurde die Verzeihung bis zu der Erlaubniß, wieder in den Klerus zu treten ausgedehnt; denn denjenigen, welche hintergangen und durch Gewalt gezwungen wurden, wird gerne Verzeihung ertheilt. Dieses mache ich auch deiner Frömmigkeit zu wissen, mit der Zuversicht, daß deine Gottseligkeit die Beschlüsse gefällig annehmen, und die Milde derjenigen, welche versammelt waren, nicht verwerfen werdch wünsche, daß dir dieses würdig scheine, auch den Priestern und den Laien vorgelesen zu werden, welche unter dir stehen, damit auch diese es erfahren, und dich wegen dieser deiner Gesinnung gegen jene nicht tadeln. Denn es wäre unpassend, wenn ich schriebe, da deine Frömmigkeit im Stande ist, sowohl unsere Ansicht hinsichtlich jener kund zu machen, als auch alles Fehlende zu ergänzen. Dank dem Herrn, der dich erfüllt hat mit jedem Worte und aller Weisheit. Diejenigen also, welche Buße thun, sollen öffentlich und ausdrücklich die Irrlehre des Eudoxius und Euzoius verfluchen. Denn diese Vertheidiger der arianischen Ketzerei haben Christum gelästert und geschrieben, er sey ein Geschöpf. Sie sollen auch bekennen das zu Nicäa von den Vätern abgelegte Glaubensbekenntniß und durchaus keine andere Synode dieser Kirchenversammlung vorziehen. Grüße die Brüder, welche bei dir sind, die, welche bei mir sind, grüßen dich in dem Herrn. Dieser Brief scheint nicht lange vor dem Tode des heiligen Athanasius geschrieben zu seyn. Fast das Nämliche schrieb er auch an Basilius, wie man aus dessen Briefe ersieht. Nämlich zu Alexandrien. Uebrigens kommt diese ganze Stelle vor in Concil. Nicaeno ll. p. 74 et",333,de
Rufinus_von_Aquileia_Einleitung__Rufin_s_Leben_und__1,Rufinus von Aquileia,Einleitung: Rufin's Leben und Schriften.,1,"Einleitung: Rufin’s Leben und Schriften. Einleitung: Rufin’s Leben und Schrifte Tyrannius (Toranus) Rufinus von Aquileja verdankt seine Berühmtheit in der christlichen Literaturgeschichte zum großen Theile seiner Übersetzungsthätigkeit aus dem Gebiete der griech. kirchl. Literatur, wie seinen bekannten Zerwürfnissen mit dem hl. Hieronymus. Er ward nicht, wie vielfach fälschlich angenommen worden ist, zu Aquileja selbst, sondern in der benachbarten kleinen italischen Stadt Julia Concordia um das Jahr 346 geboren. Obgleich frühzeitig in der christlichen Religion unterrichtet, verschob er doch, einem in seiner Zeit häufigen Zuge folgend, den Empfang der hl. Taufe in die spätern Jünglingsjahre. Die schönen Wissenschaften und die Rhetorik bildeten das Lieblingsstudium Rufin’s und führten ihn nach dem reichen, blühenden Aquileja, dem ,„zweiten Rom“ der damaligen Welt. Nachdem er hier seinen wissenschaftlichen Durst an den Quellen der profanen Literatur hinlänglich gestillt, ergriff ihn das Verlangen, auch die Wissenschaft der Heiligen kennen zu lernen. So zog er sich, etwa 25 Jahre alt, in ein uns näher nicht bekanntes aquilejensisches Kloster zurück, woselbst er von der Hand des hl. Chromatius unter Assistenz des Archidiakon Euseb und des Diakon Jovin die hl. Taufe empfing. Die hl. Schrift und die Werke der Kirchenväter lateinischer und griechischer Zunge bildeten nun den Gegenstand der wissenschaftlichen Studien Rufin’s in seiner klösterlichen Zurückgezogenheit. Die Griechen las er, bis jetzt allein der lateinischen Sprache mächtig, vorab noch in lateinischen Das Zusammenleben der beiden Freunde zu Aquileja sollte jedoch nicht lange dauern: unvorhergesehene, uns näher nicht bekannte Umstände veranlaßten den Hieronymus, Ende 372 oder Anfangs 373 in den Orient zu reisen. Untröstlich über die Trennung beschloß Rufin im folgenden Jahre seinen Freund im Orient aufzusuchen und landete Frühjahr 374 in Ägypten. Lehrreich und fesselnd waren für ihn die Einblicke, die ihm in das Leben und Thun der Einsiedler der Wüste zu werfen verstattet war: er sah den damals 75 jährigen hl. Makarius von Alexandrien, und ein gemeinsames Interesse an den Vorträgen des blinden Didymus, der als das Orakel seines Jahrhunderts verehrt wurde, führte ihn demnächst zu einem innigen Verhältniß mit der hl. Melania der Ältern, die, eine aufrichtige Bewunderin seiner Tugend, dem Rufin ihr Vertrauen schenkte und durch einen Zeitraum von 30 Jahren unverändert bewahrte. Hier in Ägypten war es, wo Rufin eine glänzende Probe seiner Festigkeit im Glauben ablegen und den Ruhm eines Bekenners sich begründen sollte. Die Arianer hatten sich damals nach dem Tode des hl.",389,de
Rufinus_von_Aquileia_Einleitung__Rufin_s_Leben_und__2,Rufinus von Aquileia,Einleitung: Rufin's Leben und Schriften.,2,"Athanasius des bischöflichen Stuhles von Alexandrien unter den Auspicien des Kaisers Valens bemächtigt und wütheten gegen die Vertreter des omoousioj. (xxx) Auch Rufin ward ein Opfer dieser Verfolgung: er verkostete Kerker und Mißhandlung. Die Wiedererlangung seiner Freiheit verdankte er der edlen Melania, die ihr Vermögen ganz zur Unterstützung vertriebener Bischöfe und verfolgter Bekenner der Gottheit Christi verwendete. Mit Melania und andern Verfolgten ging dann Rufin nach Palästina, woselbst eine höchst schmeichelhafte Ankündigung des Hieronymus in einem Briefe an einen gewissen Horatius in Jerusalem ihm die ehrenvollste Aufnahme sicherte. Erst gegen 377 jedoch kamen Rufin und Melania nach Jerusalem; die Letztere gründete hier ein Frauenkloster, dem sie 27 Jahre vorstand, der Erstere machte sich um die Errichtung eines Männerklosters am Ölberge verdient, dem er in kurzer Zeit eine beträchtliche Anzahl von Mitgliedern zuführte. Die zu Grunde gelegte Regel war wahrscheinlich die des hl. Basilius. Mit der priesterlichen Weihe ausgerüstet entfaltete sodann Rufin eine eifrige und erfolgreiche Thätigkeit in der Seelsorge, die namentlich auch durch zahlreiche ConUnterdessen hatte Hieronymus, nachdem er 382 Constantinopel verlassen, drei Jahre in Rom an der Seite des Papstes Damasus verweilt, dessen unbegrenztes Vertrauen er besaß, und dem er in allen wichtigen Dingen ein hochangesehener Rathgeber war. Gegen Ende 384 aber starb Papst Damasus, und so stand Hieronymus, der neben den rasch vorübergehenden Anfeindungen wegen seiner neuen biblischen Textesgestaltung besonders heftige Nachstellungen aus Anlaß seiner schonungslosen Rüge des damaligen römischen Klerus zu erdulden hatte, in Rom nahezu ganz isolirt. Da entschloß er sich denn, für immer in den Orient zurückzukehren. Nach einem längern Aufenthalte in Alexandrien, wo ihn Didymus fesselte, und nach einem Besuche bei den Mönchen der nitrischen Wüste 385 kam er wieder in’s hl. Land. Zu seiner bleibenden Wohnstätte wählte er aber nicht das Kloster des Rufin zu Jerusalem, sondern Bethlehem, die Stätte, wo die Krippe des Herrn gestanden. Mit Rufin aber blieb er in der innigsten Freundschaft verbunden, die besonders durch das gemeinsame wissenschaftliche Interesse getragen wurde. Der Eine suchte den Andern im Eifer des Studiums der hl. Schrift und der kirchlichen Autoren zu überbieten. Rufin warf sich jetzt vor Allem auf die Werke des Origenes und nahm zunächst die exegetischen Schriften dieses großen, von ihm so sehr bewunderten Autors, zum Pentateuch, den Büchern Josue, Richter, Könige, den Psalmen und dem hohen Lied in Angriff.",380,de
Rufinus_von_Aquileia_Einleitung__Rufin_s_Leben_und__3,Rufinus von Aquileia,Einleitung: Rufin's Leben und Schriften.,3,"Mehr als 25 Jahre bereits hatte Rufin und Hieronymus das Band innigster Freundschaft umschlungen, als ein unvorhergesehenes Ereigniß die ersten Samenkörner eines feindlichen Zerwürfnisses zwischen die Freunde streute, das nach und nach wachsend sie zeitlebens trennen sollte. Ein gewisser Aterbius, vielleicht aus der Schaar der anthropomorphistischen Mönche, kam nach Jerusalem und erlaubte es sich beim öffentlichen Gottesdienste vor versammelter Gemeinde den Bischof Johannes von Jerusalem, wie auch den Hieronymus und Rufin laut und unumwunden als Anhänger der origenistischen Häresieen anzuklagen und dieselben zur öffentlichen Ablegung ihres Glaubensbekenntnisses zu provociren. Während nun Hieronymus es für opportun erachtete, der Aufforderung des Aterbius am nächstfolgenden Sonntage nachzukommen und seinerseits die Irrthümer des Origenes öffentlich in der Kirche zu verdammen, waren der Bischof Johannes und Rufin anderer Ansicht und rechneten die Condescendenz des Hieronymus der unbefugten Aufforderung des Aterbius gegenüber Jenem als eine unwürdige Schwäche an. Es war Dieß im Jahre 392, und von diesem Zeitpunkte an trat eine gewisse Kälte in dem frühern Freundschaftsverhältniß zwischen Hieronymus und Rufin ein, von der uns die in demselben Jahre erschienene Schrift des Hieronymus de viris illustribus deutliche Spuren zeigt. Hätte Hieronymus diese seine literarhistorische Arbeit früher verfaßt, so würde ohne Zweifel Rufin unter den kirchlichen Autoren eine ehrenvolle Stelle und eine rühmliche Kritik in derselben erhalten haben: nun ward er ganz und gar ignorirt. Noch immer aber war das Zerwürfniß nicht bis zum Grade vollständiger und feindseliger Trennung gestiegen; vielmehr sollte das Jahr 394 noch ein Mal eine förmliche Aussöhnung herbeiführen. Um diese Zeit kam der hl. Epiphanius nach Jerusalem und predigte in Gegenwart des Bischofs Johannes und des Rufin gegen Origenes; dazu kam noch, daß er den Bruder des Hieronymus, Paulinian, unbefugt zum Priester weihtn dem zwischen den beiden Bischöfen durch diese Vorgänge entstehenden Streite stand Hieronymus zu Epiphanius, während Rufin die Partei des Johannes vertrat. Hier war es die hl. Melania, welche die letzte friedliche Ausgleichung zwischen den alten Freunden vermittelte. Zum Zeichen der Versöhnung reichten sich Rufin und Hieronymus in der Grabeskirche von Jerusalem die Hand und besiegelten die neue Vereinigung durch Darbringung des hl. Opfers. Das Jahr 397 gab dem Rufin Behufs Begleitung der hl. Melania Veranlassung nach Italien zu gehen. In Rom lernte er einen gewissen Makarius kennen, einen Mann, der von größerem Interesse für die kirchliche Literatur erfüllt war, als ihm seine persönliche Bildung dieselbe zu fördern oder auch nur zu beherrschen verstattete.",393,de
Rufinus_von_Aquileia_Einleitung__Rufin_s_Leben_und__4,Rufinus von Aquileia,Einleitung: Rufin's Leben und Schriften.,4,"In verschiedenen Schwierigkeiten wandte er sich an Rufin, der ihn seinerseits auf die Apologie des Origenes von Pamphilus verwies. Makarius, des Griechischen unkundig, ersuchte den Rufin um eine lateinische Übersetzung dieses Werkes, ein Wunsch, dem Letzterer nach einigem Widerstreben entsprach. Diese Übersetzung begleitete Rufin mit einem Briefe und einer Vorrede an Makarius, worin er einestheils constatirt, daß die Werke des Origenes vielfachen Fälschungen durch die Häretiker ausgesetzt gewesen seien, anderntheils die in ihrem Zielpunkt leicht kennbare Vermuthung ausspricht, es möge wohl die Übersetzung eines dem Origenes günstigen Werkes gewissen Personen ungelegen kommen. Selbstverständlich machte die Übersetzung der Apologie Aufsehen. Makarius jedoch ließ sich nicht abhalten, den Rufin weiterhin zu bestimmen, auch die Übersetzung des Hauptwerkes des Origenes, (xxx), in Angriff zu nehmen. Zu Ostern 398 konnten die beiden ersten Bücher dieser immerhin delikaten Arbeit bereits erscheinen. In der an Makarius adressirten Vorrede unterläßt Rufin es nicht, an die früher von Hieronymus selbst gefertigten Übersetzungen aus den Werken des Origenes und das überaus günstige Urtheil zu erinnern, welches Dieser über den großen Mann gefällt. Im Übrigen gibt Rufin selbst zu verstehen, daß er bei der Übersetzung des Periarchon mit ziemlicher Willkür verfuhr, indem er Einzelnes wegließ, Anderes modificirte. Nach Vollendung seiner Übersetzung zog sich Rufin nach Aquileja zurück, im Besitze eines Briefes des hl. Papstes Siricius, der seine volle kirchliche Gemeinschaft constatirte. Unterdeß war Hieronymus auf das Werk Rufin’s aufmerksam gemacht und von befreundeter Seite in den Besitz desselben gesetzt worden. Da Papst Siricius bereits am November des Jahres 398 gestorben war, so ward die Sache von Seite des Hieronymus und seines Freundes an den mittlerweile auf den Stuhl Petri erhobenen Papst Anastasius gebracht. Dieser nun lud den Übersetzer des Origenes in verschiedenen Briefen zur persönlichen Verantwortung nach Rom: Rufin jedoch entschuldigte sich durch Hinweis auf Familienverhältnisse und Überanstrengung von seinen Reisen; er hielt es für ausreichend, zu erklären, daß sein Glaube niemals ein anderer gewesen, als wie er zu Rom und Jerusalem und allweg in der katholischen Kirche gepredigt werde. Seinem Briefe fügte er eine besondere professio fidei bei, von welcher er erwartet, daß durch dieselbe seine Gegner zur Ruhe gebracht würden; „sei doch dieser sein Glaube persönlich erprobt durch Exil, Gefängniß und Dasjenige, was er zu Alexandrien für den Namen Jesu erduldet. “ In der professio fidei verbreitet sich Rufin in durchaus rechtgläubigem Sinne über Trinität, Incarnation, Auferstehung des Fleisches, Gericht, Ewigkeit der Höllenstrafen, Ursprung der Seele.",398,de
Rufinus_von_Aquileia_Einleitung__Rufin_s_Leben_und__5,Rufinus von Aquileia,Einleitung: Rufin's Leben und Schriften.,5,"Was den Origenes betrifft, so erklärt er, weder sein Vertheidiger noch sein Approbator, sondern lediglich sein Übersetzer zu sein. Finde sich in seiner Übersetzung etwas Gutes, so sei Dieß nicht ihm zuzumessen; finde sich Schlechtes, so sei Dieß gleicher Weise nicht auf seine Rechnung zu schreiben. Diese Erklärungen indeß befriedigten weder den Hieronymus noch den Papst Anastasius: Ersterer erklärte die Rechtfertigung Rufin’s für zweideutig und gekünstelt, Letzterer verurtheilte in einem an den Bischof Johannes von Jerusalem gerichteten Briefe vom Jahre 401 den Rufin zwar nicht geradezu und officiell, spricht sich indeß durchaus zu seinen Ungunsten aus und legt seinen Unmuth über denselben offen an den Tag. Rufin selbst erhielt von diesem Briefe spät erst Kunde, als ihm Hieronymus denselben zum Beweise vorhielt, daß er in Rom gegen ihn gewonnen habe. Rufin, der sonst mit dem Bischof Johannes in intimer Correspondenz stand, durfte sich so zu der Vermuthung veranlaßt sehen, der Brief selbst sei eine Fälschung. Um jedoch endgiltig den vereinigten Anstrengungen der Gegner, ihn zum Häretiker zu stempeln, zu begegnen, glaubte es nunmehr Rufin seiner Ehre und seinem Gewissen schuldig zu sein, sich öffentlich in einer besondern Schrift zu rechtfertigen. Er verfaßte diese in 2 Büchern, die er Apologie betitelte, und die hernach mit dem Namen „Invectiven“ benannt worden sind. Er widmete diese Schrift seinem Freunde Apronianus, der ihm den gegen seine Person und alle Origenisten gerichteten Brief des Hieronymus an Pammachius überschickt hatte. 3 Diese Schrift gibt Zeugniß von der tiefen Indignation, die den Rufin aus Anlaß seiner Verdächtigungen erfüllte, und ist nicht ohne Schärfe und Bitterkeit gegen Hieronymus abgefaßt. Rufin appellirt an die großen Männer, denen er seine Unterweisung im Glauben und seine Aufnahme in die Kirche verdankt, einen Chromatius, Jovin und Eusebius, an deren rechtem Glauben unveränderlich festzuhalten er sich bewußt ist. In sarkastisch-ironischer Weise rechtfertigt er sich im Besondern über seine Auffassung des Auferstehungsdogma und beruft sich bezüglich seines Verhältnisses zu Origenes auf die eigenen Übersetzungen des Hieronymus aus den Werken dieses Schriftstellers und die unverhohlenen Lobsprüche, die Hieronymus selbst ehedem dem Origenes habe angedeihen lassen. Die frühere Beziehung des Hieronymus zu Origenes erscheint dem Rufin eine solche, „daß Beide mit einander entweder freigesprochen, oder aber verdammt werden müßten. “ Kaum war die Rufin’sche Apologie in Rom bekannt geworden, als sich die Freunde des Hieronymus sofort beeilten, Diesem davon Kenntniß zu geben; sein Bruder Paulinian überbrachte ihm selbst längere Auszüge aus derselben.",396,de
Rufinus_von_Aquileia_Einleitung__Rufin_s_Leben_und__6,Rufinus von Aquileia,Einleitung: Rufin's Leben und Schriften.,6,"Unverweilt griff Hieronymus zur Feder, um der Rufin’schen Apologie eine eigene entgegenzustellen, welcher er noch eine besondere Schrift beifügte, in der er die professio fidei Rufin’s an den Papst Anastasius angriff. Schon bald bot sich dem Rufin die Gelegenheit, von der Apologie des Hieronymus Einsicht zu nehmen; sie veranlaßte ihn zunächst in einem längeren Briefe, der uns verloren gegangen, und dessen Inhalt wir nur aus der Antwort des Hieronymus 4 kennen, aus Besorgniß vor fernerm Ärgerniß privatim dem frühern Freunde sein Herz zu öffnen und seine innerste Meinung über dessen ganzes Verhalten zu offenbaren. Hieronymus konnte sich gleicher Weise nicht dazu entschließen, den Weg der Öffentlichkeit zu vermeiden: er verfaßte zu den beiden Büchern seiner Apologie ein drittes, welches jedoch wesentlich nur den Inhalt der beiden ersten reproducirt. In der irrigen Meinung, von Rufin in der afrikanischen Kirche verschrieen zu sein, schickte Hieronymus dieses Buch an den hl. Augustin, dessen herrliche versöhnende Antwort uns so recht den Maßstab einer richtigen Beurtheilung der von dem großen Manne aufs Tiefste bedauerten Fehde zwischen Hieronymus und Rufin an die Hand gibt. 5 Sei es, daß dieser Brief wirklich den beabsichtigten Eindruck auf das Gemüth des Hieronymus nicht verfehlte, sei es. daß Dieser aus eigenem Dafürhalten zu dem deßfallsigen Entschuß gelangte, für die Folge ergriff Hieronymus nie wieder die Feder gegen Rufin. Letzterer hatte inzwischen zu Aquileja auf Wunsch des hl. Chromatius an einer Übersetzung der Kirchengeschichte des Eusebius gearbeitet und dieses Werk in weniger als zwei Jahren vollendet. Das und Buch hatte er in verkürzter Gestalt reproduzirt und zu einem Buche vereinigt. Dazu gestattete er sich im und Buche Zusätze über die Wunder des Gregorius Thaumaturgus resp. über den Martyrer Lucian und im und Buche eine eigene Kapitelordnung. Dem Euseb fügte er als selbstständige Composition ein und Buch bei, worin er die Kirchengeschichte vom J. Constantin’s des Großen bis zum Tode Theodosius I. fortführte. Noch war Rufin mit diesen Arbeiten beschäftigt, als die Nachricht von dem gegen Ende April des Jahres 402 erfolgten Tode des Papstes Anastasius in Aquileja eintraf. Rufin entschloß sich nun um so eher, die Stadt wieder zu besuchen, in welcher seine Gegner die Meinung ausgestreut, er scheue sich überhaupt dorthin zu kommen, als auch die ältere Melania dort anwesend war. Um diese Zeit trat Rufin auch in Correspondenz mit dem hl.",382,de
Rufinus_von_Aquileia_Einleitung__Rufin_s_Leben_und__7,Rufinus von Aquileia,Einleitung: Rufin's Leben und Schriften.,7,"Paulin von Nola, dessen Einladung zu seinem Bischofssitze er entsprach, und auf dessen Wunsch er einen Commentar des Segens Jakob’s an Juda und demnächst auch des an die übrigen Söhne gerichteten verfaßte. Jm Jahre 410, einige Zeit vor der Belagerung der Stadt, hatten Melania, ihre Nichte Marcella und deren Gemahl Pinian Rom verlassen. Rufin begleitete dieselben nach Sizilien. Rom war unterdeß gefallen und die Stadt Rhegium von den Horden Alarichs verbrannt. Im Angesichte dieser Verwüstungen und in der Trennung von seiner Heimath suchte Rufin Trost in der ihm so lieb gewordenen wissenschaftlichen Thätigkeit: er sammelte die Scholien und Homilien des Origenes zum Buch Numeri, um sie in einen Band zu vereinigen und zu 6 übersetzen. Noch in demselben Jahre 410 jedoch ereilte ihn in Sizilien der Tod. Hieronymus hat es nicht unterlassen, in seiner Vorrede zum Propheten Ezechiel seine Kenntnißnahme vom Tode Rufin’s in bittern Worten zu vermerken; andere kirchliche Schriftsteller, auch desselben Jahrhunderts, haben dem Rufin ein besseres Denkmal gesetzt: Palladius, Cassianus, Gennadius, Sidonius, P. Gelasius und Paulin von Nola 7 sind des unbedingten Preises voll und gehen, wie wohl Hieronymus im Tadel, so vielleicht im Lobe über die Grenze des thatsächlich Begründeten hinaus. Gegen die Verdächtigung des Rufin als Häretiker hat später vor Allem Kardinal Noris in seiner pelagianischeu Geschichte Protest erhoben. Der größere Theil der literarischen Arbeiten wurde bereits im Verlaufe der kurzen Darstellung seines Lebensganges namhaft gemacht. Von seinen Übersetzungen sind hier noch zu erwähnen die pseudo-clementinischen Recognitionen, wahre Reden des hl. Gregor von Nazianz und des hl. Basilius, sowie verschiedene Mönchsregeln. Ob die Schrift historia monachorum oder liber de vitis patrum, welche in 33 Kapiteln das Leben ebenso vieler heiliger Asceten der nitrischen Wüste behandelt, ebenfalls den Übersetzungswerken zuzuweisen oder als selbstständige Schrift anzusehen ist, soll hier nicht entschieden werden; jedenfalls gehört das Werk dem Rufin an und nicht, wie Einige vermuthet haben, dem Evagrius von Pontus. Wenn die Echtheit der den Werken des Rufinus gewöhnlich beigedruckten Commentare zu den Propheten Hoseas, Joel, Amos und zu den ersten Psalmen, wie einiger anderer Schriften mit vollstem Rechte bezweifelt wird, 8 so ist von den eignen Werken Rufin’s nur eines noch zu nennen, und zwar das bedeutendste und werthvollste von allen. Es ist Sein Commentar zum apostolischen Symbolum, dessen deutsche Übersetzung unseres Wissens hier zum ersten Male versucht wird.",382,de
Rufinus_von_Aquileia_Einleitung__Rufin_s_Leben_und__8,Rufinus von Aquileia,Einleitung: Rufin's Leben und Schriften.,8,"Zu welcher Zeit seines Lebens Rufin dieses Werk geschrieben, ist uns nicht bekannt: am wahrscheinlichsten aber mag es der ruhigsten und gereiftesten Periode seines Lebens zuzuweisen sein, der Zeit, wo die Fehde mit Hieronymus schwieg, und wo ihm der ungestörte Aufenthalt in seiner Heimath Aquileja die nöthige Ruhe zu einer objectiven, von Persönlichkeiten freien Erläuterung der wichtigsten Lehren des christlichen Glaubens bot. Die Schrift ist zunächst auf den Wunsch eines uns näher nicht bekannten Bischofs Laurentius verfaßt und ward von diesem vornehmlich zur Unterweisung der Katechumenen bestimmt. Rufin wollte um so lieber der Einladung zu einem derartigen Werke entsprechen, als er dadurch die Gelegenheit einer indirekten, aber umfassenden Apologie seiner Rechtgläubigkeit fand, die seinen summarisch gehaltenen, ex professo geschriebenen Apologien wirksam zur Seite trat. Im christlichen Alterthum wurde der Rufin’sche Commentar außerordentlich hoch geschätzt, vielleicht überschätzt; daß ihm immerhin eine wesentliche Bedeutung für die Dogmengeschichte zukomme, ist auch heute noch unbezweifelt. Sollen wir diese Bedeutung hier in zwei Worten charakterisiren. so möchten wir sagen, daß der Rufin’sche Commentar am Anfang des Jahrhunderts die Summe der wesentlichen Bestandtheile der dogmengeschichtlichen Entwicklung der vorhergegangenen Jahrhunderte zieht. Dazu bot eine zunächst für katechetische Zwecke verfaßte Auslegung des apostolischen Symbolums um so mehr Veranlassung, als hier flüssige Meinungen der Schulen wie subtilere Detailfragen ausgeschlossen bleiben mußten, während vor Allem der wesentliche und gesicherte Bestand des christlichen Gemeinglaubens zu berücksichtigen und festzustellen war. Ein derartiges Werk aber zu liefern befähigten den Rufin neben seiner allgemeinen Bildung die vielen Reisen und der längere Aufenthalt in den verschiedenen Hauptkirchen des Morgen- und Abendlandes, wie seine vertraute und umfassende Bekanntschaft mit der kirchlichen Literatur. Einer besondern Inhaltsübersicht unserer Schrift dürfen wir uns hier enthalten und auf die Übersetzung selbst verweisen: hält sich ja Rufin strenge an die Reihenfolge der einzelnen Artikel des Glaubensbekenntnisses, um sie nach Inhalt und Bedeutung kurz und durchgehend treffend zu würdigen. - Die besten Ausgaben des lateinischen Urtextes sind die im Anhang der Maurinerausgabe des hl. Cyprian und die von Vallarsi in der Ausgabe von Rufin’s Werken (Venet. 1745). Von großem Werthe ist Rufin’s Erklärung des Symbolums für die in neuester Zeit viel (von Hahn, Caspari, Zezschwitz u. s. w. ) bearbeitete Geschichte der Glaubenssymbole überhaupt, des apostolischen insbesondere.",365,de
