id,author,work_title,section,text,word_count,language
Theodoret_von_Cyrus_Trauerrede_auf_Kaiser_Theodosi_1,Theodoret von Cyrus,Trauerrede auf Kaiser Theodosius d. Gr.,1,"Trauerrede auf Kaiser Theodosius d. Gr. (De obitu Theodosii oratio) Das also drohten uns die schweren Erdbeben, das die unaufhörlichen Regenschauer und kündigte die außergewöhnliche Dunkelheit und Finsternis, daß unser gnädigster Kaiser Theodosius vom Irdischen scheiden würde. 1 Selbst die Elemente trauerten über seinen Hingang. Der Himmel war in Dunkel gehüllt, die Luft starrte ständig in Finsternis, die Erde schütterte unter Beben und war vollbedeckt von strömenden Wassern. Warum auch sollte nicht selbst die Welt trauern, daß jählings ein Herrscher hinweggerafft werden sollte, durch den das harte Los dieser Welt so gern Linderung erfuhr, indem er die Vergehen, ehe er sie strafte, verzieh. 2 Er nun freilich ging hin, eine Königsherrschaft anzutreten3, die er nicht niederlegte, sondern nur vertauschte, kraft seiner Frömmigkeit in die Gezelte Christi aufgenommen, in jenes himmlische Jerusalem, wo er jetzt weilt und spricht: „Wie wir’s vernommen, so haben wir’s auch geschaut in der Stadt des Herrn der Heerscharen, in der Stadt unseres Gottes, die Gott auf ewig gegründet“ Aber so viele ließ er gleichsam des väterlichen Schutzes beraubt zurück, und in erster Linie seine Söhne. Doch nein, sie sind dessen nicht beraubt: er ließ sie ja als Erben seines Frommsinns zurück; sie sind dessen nicht beraubt: er erwarb ihnen ja Christi Gnade und des Heeres Treue. Gerade letzterem lieferte er den Beweis, daß der Herr die Frömmigkeit segnet, die Gottlosigkeit straft. Erst vor kurzem haben wir mitsammen den Heimgang dieses Fürsten laut betrauert: heute feiern wir in Gegenwart des Kaisers Honorius, der dem heiligen Opfer anwohnt, den Vierzigsten Denn wie der heilige Joseph seinen Vater in vierzigtägiger Totenfeier ehrte, so erweist auch er noch seinem Vater Theodosius die gebührenden Ehren. Wenn nun die einen den Dritten und Dreißigsten, andere den Siebten und Vierzigsten zu begehen pflegen, wollen wir sehen, welche Weisung die Schriftlesung gibt. Nach dem Tode Jakobs „befahl Joseph“, so heißt es, „den Leichendienern, ihn zu bestatten. Und die Leichendiener bestatteten Israel. Und volle vierzig Tage vergingen darüber; denn so viele zählt die Bestattungsfeier. Und Ägypten betrauerte ihn siebzig Tage“ Die Feier nun ist zu beobachten, wie sie die Schriftlesung vorschreibt. Doch steht im Buche Deuteronomium auch geschrieben: „Die Kinder Israels beweinten Moses dreißig Tage, und die Tage der Trauer wurden damit beendet“ Beide Bräuche haben sonach ihre Berechtigung, indem der notwendigen Pflicht der Pietät Genüge geschieht.",382,de
Theodoret_von_Cyrus_Trauerrede_auf_Kaiser_Theodosi_2,Theodoret von Cyrus,Trauerrede auf Kaiser Theodosius d. Gr.,2,"Ein gutes Kind war nun Joseph, der der frommen Feier die Form gegeben hat, den der Vater lieb hatte und zu dem er sprach: „Mein Gott sei dein Helfer und segne dich mit der ganzen Segensfülle der Erde um des Segens der Mutterbrüste und des Mutterschoßes, der Segnungen deiner Mutter willen und um der Segnungen deines Vaters willen. “8 Eines frommen Vaters gutes Kind. Schon er feierte also den vierzigsten Gedenktag seines Vaters Jakob, jenes Fersenhalters und Beinstellers Auch wir begehen feierlich den Vierzigsten des Theodosius, der in Nachahmung Jakobs dem Unglauben der Tyrannen10 ein Bein stellte; der die Götzenbilder der Heiden vergrub11, denn allen Götzendienst hat sein Glaube in Nacht begraben, allen heidnischen Kult in Vergessenheit gehüllt Er bedauerte es sogar, daß der Straferlaß, den er gewährt hatte, an den Schuldigen, die sich gegen ihn vergangen hatten, nicht zur Ausführung gelangte und die Begnadigung ihnen versagt blieb Freilich die Söhne werden die Gnade, die der Vater gewährte, nicht verweigern; sie werden sie nicht verweigern, ob auch jemand sie hierin zu beirren versuchte; sie werden den allgemeinen Gnadenerlaß gar nicht verweigern können, wenn sie ausführen, was er dem einzelnen zubilligte Keine ruhmvollere Tat hätte den Heimgang des großen Kaisers verklären können, der bereits alles seinen Söhnen übergeben hatte, das Reich, die Regierungsgewalt, den Kaisertitel: kein herrlicheres Denkmal, sage ich, hätte ihm im Tode verbleiben können, als daß der in Aussicht gestellte teilweise Erlaß der noch rückständigen Ertragssteuern infolge des Aufschubes als Gnadenerbe in seinen Rücklaß überging. Wer dies hintertreiben wollte, würde Fluch auf sich laden, dem Theodosius freilich bliebe das reiche Verdienst des großen Gnadenaktes unbenommen. Nicht mit Unrecht. Denn wenn schon der letzte Wille von Privatpersonen und die letztwilligen Verfügungen gewöhnlicher Sterblicher dauernde Gültigkeit haben, wie könnte die letztwillige Bestimmung eines so großen Kaisers der Rechtsgültigkeit ermangeln. Auch darin zeigte sich Theodosius ruhmwürdig, daß er sein Testament nicht nach dem gemeinen Rechtsherkommen machte. Bezüglich seiner Söhne blieb ihm ja nichts mehr zu bestimmen übrig: er hatte ihnen bereits alles übergeben; nur empfahl er sie noch einem anwesenden Verwandten Bezüglich seiner Untertanen und Schutzbefohlenen aber mußte er noch Anordnung treffen, um für sie Vermächtnisse auszuwerfen und letztwillige Verfügungen zu treffen. Er ordnete einen gesetzlichen Gnadenerlaß an, den er schriftlich hinterließ. Was ist geziemender, als daß der letzte Wille eines Kaisers Gesetz sei. Der große Kaiser nun ist von uns geschieden, aber er ist nicht ganz geschieden.",396,de
Theodoret_von_Cyrus_Trauerrede_auf_Kaiser_Theodosi_3,Theodoret von Cyrus,Trauerrede auf Kaiser Theodosius d. Gr.,3,"Er hinterließ uns seine Kinder, in denen wir ihn wiedererkennen, in denen wir ihn schauen und festhalten. Ihr Alter braucht uns nicht Sorge einflößen. Die Treue des Heeres bildet die Altersreife des Kaisers. Denn dort herrscht das volle Mannesalter, wo die vollendete Mannestugend herrscht. Sie stehen in Wechselwirkung. So ist umgekehrt die Glaubenstreue des Kaisers die Kraft des Heeres. [Forts. v. ] Ihr erinnert euch doch, welche Triumphe euch der Glaube des Theodosius errungen hat Da infolge des engen Geländes und der Behinderungen durch den Troß das Heer etwas zu spät in die Schlacht eintrat und der Feind infolge der Verzögerung des Kampfes zum Sturm überzugehen schien, sprang der Kaiser vom Roß, trat allein vor die Schlachtreihe und rief: „Wo ist der Gott des Theodosius. “ Schon stand er Christus ganz nahe, da er dies sprach. Wer könnte denn auch so sprechen, wenn er sich nicht als Anhänger Christi fühlte. Durch diesen Ruf nun begeisterte er alle, durch sein Beispiel wappnete er alle. Gewiß, er stand an Jahren bereits im Greisenalter, kraft des Glaubens aber im kräftigen Mannesalter. Der Glaube des Theodosius war also euer Sieg: euer Glaube und eure Treue sei die Stärke seiner Söhne. Glaube und Treue ergänzen deren Alter. So sahen auch weder Abraham, da er im hohen Alter einen Sohn erzeugen, noch Sara, da sie ihn gebären sollte, auf ihr Alter. Und kein Wunder, wenn der Glaube das Alter ersetzt: stellt er doch das Zukünftige dar. Was ist denn der Glaube anders als „die Wesenheit der Dinge, die man hofft“. 17 So lehrt uns die Schrift. Wenn nun der Glaube die Wesenheit der zu hoffenden Dinge ist, um wieviel mehr der sichtbaren Dinge. Ein großes Gut ist der Glaube, von dem geschrieben steht: „Der Gerechte aber lebt aus dem Glauben, und zieht er sich zurück, wird er meiner Seele nicht gefallen“ [Forts. v. ] Wir aber wollen uns nicht zum Schaden der Seele zurückziehen, sondern wollen zum Gewinn unserer Seele am Glauben festhalten. Denn ob dieses Glaubenskampfes haben unsere Ahnen Abraham, Isaak und Jakob ein gutes Zeugnis gefunden.",342,de
Theodoret_von_Cyrus_Trauerrede_auf_Kaiser_Theodosi_4,Theodoret von Cyrus,Trauerrede auf Kaiser Theodosius d. Gr.,4,"Und eben deshalb haben sie uns das Erbe des Glaubens hinterlassen: der glaubensstarke Abraham, der nicht aus den Werken, sondern aus dem Glauben gerechtfertigt wurde, da er Gott glaubte19; Isaak, der kraft des Glaubens nicht einmal vor dem Schlachtmesser des Vaters erzitterte20; Jakob, der den Fußstapfen des Glaubens seiner Väter folgend auf seiner Wanderschaft das Heer der Engel schaute und es „Versammlung Gottes“ nannte Ebenso hielt sich — an einer anderen Stelle, d. i. in den Büchern der Könige — Elisäus im Gebiete von Samaria auf. Da umringte und belagerte ihn plötzlich das Heer der Syrer. Giezi sah sie und sprach zu seinem Herrn: „Mein Herr, was sollen wir tun. “ Und der Prophet Elisäus sprach: „Fürchte dich nicht. Denn bei uns sind mehr als bei den anderen. “ Und er betete, daß der Herr die Augen des Giezi öffnen möchte. Da wurden seine Augen geöffnet, und er sah um Elisäus her den Berg voll Rosse und Wagen. Und Elisäus betete, Gott möchte sie mit Blindheit schlagen, und sie wurden es und zogen in die Stadt, die sie mit sehenden Augen nimmer betreten sollten Soldaten rings im Umkreis, ihr habt sicherlich gehört: Wo Unglaube ist, da herrscht Blindheit. Darum war mit Recht das Heer der Ungläubigen blind. Wo aber der Glaube herrscht, da ist das Heer der Engel. Ein großes Gut ist der Glaube: noch in den Toten ist er oft wirksam. So leiden der Widersacher und seine Legionen durch die Wunderkraft der Märtyrer täglich Pein. Darum nennt man auch, wie ich glaube, die Saitenstränge der Zither fides, weil sie, obgleich tot, Töne von sich geben [Forts. v. ] Es ist eine um so heiligere Pflicht, mehr und mehr uns zu bestreben, in diesem unserem Lebensstande nicht undankbar zu sein, sondern den Lieblingen des frommen Kaisers unsere sorgsame und väterliche Liebe zu weihen. Traget an seinen Söhnen die Schuld ab, die ihr dem Vater zu leisten habt. Mehr schuldet ihr ihm nach seinem Tode als zu seinen Lebzeiten. Denn wenn schon an den Kindern gewöhnlicher Leute die Minderjährigkeitsrechte nicht ohne schweres Verbrechen verletzt werden dürfen, wieviel weniger an den Kindern eines Kaisers. Und was für eines Kaisers, muß beigefügt werden. Eines frommen Kaisers, eines barmherzigen Kaisers, eines glaubensstarken Kaisers. Ihm gilt das nicht geringe Lob, das die Schrift mit den Worten ausgesprochen: „Etwas Großes und Ehrwürdiges ist es um einen barmherzigen Menschen, schwierig aber, einen gläubigen Mann zu finden",399,de
Theodoret_von_Cyrus_Trauerrede_auf_Kaiser_Theodosi_5,Theodoret von Cyrus,Trauerrede auf Kaiser Theodosius d. Gr.,5,"Wenn es viel heißt, irgendeinen barmherzigen oder glaubensvollen Menschen zu finden, wieviel mehr einen solchen Kaiser, den die Macht zum Strafen reizt, das Erbarmen aber davon zurückhält. Was gibt es Herrlicheres als den Glauben eines Kaisers, den die Macht nicht übermütig, der Stolz nicht hochfahrend, sondern der Frommsinn demütig macht. Von ihm gilt das prächtige Wort Salomos: „Das Dräuen eines sündigen Königs gleicht dem Brüllen des Löwen; aber wie Tau auf dem Grase, also ist auch seine Freundlichkeit“ Welche Größe, die dräuende Gewalt abzulegen und Huld und Gnade zur Schau zu tragen. Einen Gefallen erblickte Theodosius glorreichen Andenkens darin, wenn man ihn um Verzeihung bat; und desto näher stand er der Nachsicht, je mehr die Zorneswallung ihn anwandelte. Ein günstiges Vorzeichen der Vergebung war es, wenn er entrüstet war; und man wünschte an ihm, was man an anderen fürchtete, den Zorn. Das war das Heil der Angeklagten: obschon er über alle Gewalt hatte, wollte er lieber wie ein Vater rügen, denn als Richter strafen. Oft sahen wir Schuldige, die er strenge tadelte, zittern — und sie wurden, ihrer Missetat überführt, von der Schuld freigesprochen, nachdem sie bereits die Hoffnung aufgegeben hatten. Zur Einsicht wollte er sie bringen, nicht sie büßen lassen, ein Richter mit gerechter Wage, doch kein Strafrichter, da er keinem Geständigen die Verzeihung verweigerte. Oder handelte es sich um einen geheimen Gewissensfall, stellte er ihn Gott anheim. Dieses sein Wort fürchteten die Leute mehr als Strafe. Mit so zarter Rücksicht ging hierbei der Kaiser vor, daß er sich die Leute mehr durch Gottesfurcht als durch Menschenfurcht verpflichten wollte. [Forts. v. ] Der Größte unter den Philosophen26 soll den im Zorn begangenen Verbrechen Straflosigkeit zugebilligt haben. Doch besser spricht die göttliche Schrift: „Zürnet, aber sündiget nicht. “27 Sie wollte lieber die Sünde von vornherein verhüten als nachträglich entschuldigen. Besser ist es, in der Aufregung das Lob der Milde zu ernten, als im Zorn zur Rache sich fortreißen zu lassen. Wer nun möchte zweifeln, daß seine Söhne am Herrn den mächtigsten Schutz finden werden. Mit der Gnade des Herrn steht der Kaiser Arkadius bereits im kräftigen Jugendalter28, Honorius pocht alsbald an die Pforten der Jünglingsjahre29, fortgeschrittener an Alter denn Josias Dieser nämlich bestieg als vaterloser Knabe den Thron und lebte bis zum einunddreißigsten Jahre seiner Regierung und gefiel dem Herrn, da er gewissenhafter als die übrigen Könige Israels das Pascha des Herrn feierte und die Verirrungen des (heidnischen) Kultes abschaffte",400,de
Theodoret_von_Cyrus_Trauerrede_auf_Kaiser_Theodosi_6,Theodoret von Cyrus,Trauerrede auf Kaiser Theodosius d. Gr.,6,"Auch Asa war noch schwach an Leibeskraft, als er die königliche Laufbahn betrat, und regierte vierzig Jahre in Jerusalem Als er von einer endlosen und unzähligen Menge Äthiopier bedrängt wurde, hoffte er vom Herrn auch mit einer geringen Mannschaft Rettung finden zu können Hätte er nur auch in der Folgezeit treu an seinem Gottvertrauen festgehalten. Denn obschon er mit der geringen Schar Rettung und Sieg erlangt hatte, verließ er später den Herrn, rief die Syrer zu Hilfe und zog bei einem Fußleiden Ärzte bei. Nachdem ihm nämlich ein so deutliches Zeichen göttlicher Huld geworden, hätte er von seinem Helfer nicht lassen, sondern an ihm festhalten sollen. So konnten ihm denn auch die Ärzte nichts nützen, und er fand wie ein Ungläubiger seinen Tod Doch ihre Väter Abias und Amos waren beide ungläubig35, Theodosius dagegen voll Gottesfurcht, voll Erbarmen. Hoffen wir, daß er als Fürsprecher seiner Kinder am Throne Christi stehe, wenn sonst der Herr für menschliche Angelegenheiten ein gnädiges Herz hat. Etwas Edles ist es um einen barmherzigen Menschen, der anderen helfend für sich selbst sorgt und durch die Arznei für fremde Wunden die eigenen heilt. Denn wer zu verzeihen versteht, erkennt sich selbst als armseligen Menschen und wandelt die Wege Christi, der, als er Fleisch angenommen, lieber als Erlöser denn als Richter in diese Welt kommen wollte. Daher das schöne Wort des Psalmisten: „Ich habe geliebt, weil der Herr die Stimme meiner Bitte erhört“ Bei der Lesung dieses Psalmes war es uns, als hörten wir den Theodosius selbst sprechen. „Ich habe geliebt“, beteuert er. Ich erkenne die gottliebende Stimme; denn ich erkenne die Klänge, die diese Stimme bezeugen. Und er hat in Wahrheit geliebt, der seine Pflichten mehr als gewissenhaft erfüllte; der seinen Gegnern das Leben schenkte; der seine Widersacher liebte; der seinen Todfeinden verzieh; der es nicht über sich brachte, jene dem Untergang zu weihen, die nach seiner Krone strebten. Nicht der mittelmäßige, sondern der vollendete Schüler des Gesetzes kann das Wort sprechen: „Ich habe geliebt“; denn „die Vollendung des Gesetzes ist die Liebe“ Doch laßt uns hören, wie er geliebt hat. Wenn die Art der Liebe nicht genannt wird, ist jedenfalls die Gnade der göttlichen Liebe damit bezeichnet, kraft derer wir das lieben, was über alle erstrebenswerten Güter hinaus erstrebenswert ist; wovon geschrieben steht: „Du sollst den Herrn deinen Gott lieben",384,de
Theodoret_von_Cyrus_Trauerrede_auf_Kaiser_Theodosi_7,Theodoret von Cyrus,Trauerrede auf Kaiser Theodosius d. Gr.,7,"Da nun die fromme Seele beim Scheiden von der Erde voll des Heiligen Geistes zu des Himmels Höhen sich emporschwang, rief sie denen, die ihr gleichsam fragend entgegenkamen, zu: „Ich habe geliebt. “ Kein Wort ist inhaltsvoller, keines klarer. Es fragten die Engel oder die Erzengel: was hast du auf Erden getan. — Denn das verborgene Wirken kennt nur Gott allein. — Da antwortete sie: „Ich habe geliebt. “ Sie wollte sagen: Ich habe das Gesetz erfüllt, das Evangelium nicht übertreten; sie wollte sagen: Ich habe mich dem Tode dargeboten und „ward den ganzen Tag erachtet wie ein Schlachtlamm“ Eben darum vertraue ich, daß „weder Tod noch Leben, weder Engel noch Gewalten, weder Höhe noch Tiefe, noch ein anderes Geschöpf uns zu trennen vermag von der Liebe Gottes, die in Christo Jesu unserem Herrn ist“ [Forts. v. ] Die Beobachtung dieser Gesetzesvorschrift schärft der Herr Jesus auch im Evangelium ein, wenn er zu Petrus spricht: „Simon, Sohn des Johannes, liebst du mich. “ Und dieser antwortete: „Du weißt, Herr, daß ich Dich liebe. “ Und wiederum sprach er: „Simon, Sohn des Johannes, liebst du mich. “ Und wiederum antwortete er: „Ja, Herr, Du weißt, daß ich Dich liebe. “ Und zum dritten Mal gefragt beteuerte er: „Herr, Du weißt alles, Du weißt, daß ich Dich liebe“ So bekräftigte seine dreimalige Antwort seine Liebe, oder aber machte den Irrtum seiner dreimaligen Verleugnung gut. Auch an unserer Stelle stoßen wir beim näheren Zusehen auf eine dreimalige Antwort: „Ich habe geliebt, weil der Herr die Stimme meiner Bitte erhört. “ „Ich habe geliebt“, „weil er sein Ohr mir neigte, daß ich in meinen Tagen ihn anrufe“ „Ich habe geliebt“, „weil ich Trübsal und Schmerz erfuhr und um des Namens meines Gottes willen die Gefahren des Todes nicht floh, sondern wartete, daß sie mich fassen und finden könnten“ [Forts. v. ] Und so schön spricht er: „Ich habe geliebt“, weil er diesen Lebenslauf schon vollendet hatte. Deshalb beteuert auch der Apostel bereits im Angesichte seines Todesleidens: „Ich habe den guten Kampf gekämpft, den Lauf vollendet, den Glauben bewahrt; im übrigen ist mir die Krone der Gerechtigkeit hinterlegt“ Groß ist der Herr, der uns Kämpfe gegeben, durch welche der Sieger sich die Krone verdient. „Ich habe geliebt“, spricht er voll Zuversicht, „weil der Herr die Stimme meiner Bitte erhört.",384,de
Theodoret_von_Cyrus_Trauerrede_auf_Kaiser_Theodosi_8,Theodoret von Cyrus,Trauerrede auf Kaiser Theodosius d. Gr.,8,"„Ich habe geliebt“, und darum „neigte er mir sein Ohr“, um den im Staube Liegenden aufzurichten, den im Tode Liegenden aufzuwecken Denn Gott neigt sein Ohr nicht, um uns sinnenfällig zu hören, sondern um sich zu uns herabzulassen, daß er uns in Gnaden höre und unsere schwache Natur erhebe. Er neigt sich zu uns nieder, daß unser Gebet zu ihm aufsteige. Er, der Barmherzige, bedarf der Worte nicht. Er bedurfte ja auch nicht der Worte, als er das Schweigen des Moses hörte und versicherte, derselbe schreie nicht mit Worten46, sondern mit dem Flehen unaussprechlicher Seufzer zu ihm Gott vermag selbst die Stimme des Blutes zu hören48, obwohl es keine Stimme hat, über keine Zunge verfügt: doch es erhielt eine Stimme anläßlich des heiligen Leidens; es schrie im Märtyrtod, es schrie beim Brudermord, den er (Abel) für sein Opfer erdulden mußte. [Forts. v. ] „Ich habe geliebt“ spricht er, und deshalb aus Liebe den Willen des Herrn getan und ihn angerufen, nicht an wenigen, sondern an allen Tagen meines Lebens Denn nur an gewissen, nicht an allen Tagen ihn anrufen, das verriete den widerwilligen, nicht den hoffnungsseligen Beter; ebenso den Dankeszoll ihm abstatten wegen der reichlich fließenden Glücksgüter, deren man sich erfreut, nicht aus religiöser Gesinnung. Daher die Mahnung des Paulus: „In allem seid dankbar. “50 Wann wärest du denn nicht im Besitz eines Gutes, das du Gott dankest. Oder wann wärest du ohne eine Gabe Gottes. Kommt dir doch schon der tägliche Lebensbedarf von Gott zu. „Was hast du denn, das du nicht empfangen hättest. “51 Weil du also allzeit empfängst, ruf allzeit ihn an. Und weil das, was du hast, vom Herrn stammt, betrachte dich immer als Schuldner. Doch ich würde es lieber sehen, daß du aus Liebe, nicht gezwungen deine Schuld abstattest. Hörst du sein Wort: „Die Schmerzen des Todes haben mich umfangen“. 52 Ich aber habe selbst im Todesschmerz den Herrn geliebt. „Die Gefahren der Unterwelt haben mich getroffen“53, doch nicht von Furcht, sondern von Liebe, von Zuversicht beseelt, daß keine Bedrängnisse, keine Verfolgung, keine Gefahren, kein Schwert mich von Christus trennen könne So nahm er denn auch freiwillig „Trübsal und Schmerz“ auf sich55 im Bewußtsein, daß „Trübsal Geduld wirkt, Geduld Bewährung, Bewährung Hoffnung“ Wie ein guter Streiter nämlich suchte er die Wettkämpfe auf, um die Krone zu erlangen Er wußte freilich, daß ihm diese nicht durch eigene Kraft, sondern mit Hilfe des Herrn verliehen wurde.",399,de
Theodoret_von_Cyrus_Trauerrede_auf_Kaiser_Theodosi_9,Theodoret von Cyrus,Trauerrede auf Kaiser Theodosius d. Gr.,9,"Denn er hätte den Sieg nicht erringen können, wenn er nicht den angerufen hätte, der den Streitern hilft. [Forts. v. ] Der armselige Mensch zieht in den Kampf, um den Sieg zu erringen: aber er stürzt sich nur selbst in Gefahr, wenn des Herrn Name nicht mit ihm ist; wenn er nicht in der Stunde der Angst betet und spricht: „O Herr, rette meine Seele. “58 Daher jenes Wort des Apostels: „Ich sehe das Gesetz meines Fleisches, das dem Gesetz meines Geistes widerstreitet und mich zum Sklaven des Gesetzes der Sünde macht, die in meinen Gliedern ist. Ich unglücklicher Mensch. Wer wird mich retten aus dem Leibe dieses Todes. Die Gnade Gottes durch Jesus Christus unsern Herrn“ Der ist Sieger, der auf die Gnade Gottes hofft, nicht wer auf eigene Kraft vertraut. Warum wolltest du denn nicht auf die Gnade vertrauen, da du einen barmherzigen Vorkämpfer hast. Denn „barmherzig und gerecht ist der Herr und erbarmend unser Gott“ Zweimal ist von der Barmherzigkeit die Rede, einmal von der Gerechtigkeit: in der Mitte steht die Gerechtigkeit, vom zweifachen Gehege der Barmherzigkeit umfriedet. Denn überreichlich sind die Sünden, überreichlich soll darum die Barmherzigkeit sein. Beim Herrn ist die Überfülle aller Tugendkräfte; denn „der Herr der Kräfte ist er“ Doch gibt es keine Gerechtigkeit ohne Barmherzigkeit, keine Gerechtigkeit ohne Erbarmen; denn es steht geschrieben: „Sei nicht über das Maß hinaus gerecht. “62 Was über das Maß hinausgeht, dazu reicht deine Kraft nicht, auch wenn es gut wäre. Halte Maß, damit du nach Maß empfangest. [Forts. v. ] Doch hinderte die Barmherzigkeit nicht die Gerechtigkeit; denn die Barmherzigkeit ist eben die Gerechtigkeit. „Er teilte aus, gab den Armen, seine Gerechtigkeit währt ewiglich“ Der Gerechte ist sich nämlich der Pflicht bewußt, den Schwachen und Armen zu helfen. Daher des Herrn Aufforderung an Johannes, als er zur Taufe kam, um uns Schwachen die Sünden zu vergeben: „Laß nur. Denn also gebührt es uns, jegliche Gerechtigkeit zu erfüllen“ So ist denn klar, daß Gerechtigkeit Barmherzigkeit und Barmherzigkeit Gerechtigkeit ist. Würde uns nicht Gottes Barmherzigkeit erhalten, wie könnten wir denn schon als kleine Kinder beim Eintritt ins Dasein am Leben bleiben, da wir aus dem Mutterschoße hervor wie Fischlein vom Warmen ins Kalte, vom Nassen ins Trockene versetzt werden und eine Art Naturwoge uns wie Schiffbrüchige ins Leben gespien hat. Ein vernünftiger Grund fehlt hierfür, doch Gottes Gnade mangelt nicht.",392,de
Theodoret_von_Cyrus_Trauerrede_auf_Kaiser_Theodosi_10,Theodoret von Cyrus,Trauerrede auf Kaiser Theodosius d. Gr.,10,"Er also „behütet die Kleinen“, oder doch jene, die in demütiger Gesinnung sich zu den Kleinen bekennen Ein großes Gut ist die Demut, welche die in Gefahr Schwebenden rettet, die am Boden Liegenden aufrichtet. Sie kannte jener (David), der ausrief: „Sieh, ich bin es, der gesündigt hat, ich der Hirte, der Böses getan hat: doch diese in der Herde hier, was haben sie getan. Wider mich kehre sich Deine Hand. “66 Mit gutem Grund spricht er so, nachdem er seine Krone Gott zu Füßen legte, Buße tat, seine Sünde bekannte und um Verzeihung bat: Auch er (Theodosius) hat durch Demut das Heil erlangt. Christus erniedrigte sich67, um alle zu erhöhen. Auch er ist zur Ruhe Christi gelangt, der dem demütigen Christus folgte. [Forts. v. ] Eben darum, weil Kaiser Theodosius sich demütig erwies und, sobald die Sünde ihn angewandelt hatte, um Verzeihung bat, kehrte seine Seele heim in ihre Ruhe, wie die Schrift mit den Worten sagt: „Kehre heim, meine Seele, in deine Ruhe; denn der Herr hat dir wohlgetan. “68 Eine schöne Einladung an die Seele: „kehre heim. “ Gleichsam von langer, schweißtriefender Arbeit abgeplagt, soll sie nun von der Arbeit weg zur Ruhe heimkehren. Das Pferd kehrt heim in den Stall, wenn es seinen Lauf zurückgelegt hat; das Schiff in den Hafen, wenn es aus dem Wogenschwall zum sicheren Ankerplatz geführt wird. Doch was will der Ausdruck sagen: „in deine Ruhe“, wenn man ihn nicht im Sinne der Worte des Herrn Jesus versteht: „Kommt, Gesegnete meines Vaters, nehmt als Erbe das Reich in Besitz, das euch von Grundlegung der Welt an bereitet ist”. 69 Gleichsam als Erbbesitz nämlich empfangen wir, was uns verheißen ist. Denn treu ist Gott: er entzieht seinen Dienern nicht, was er ihnen einmal bereitet hat. Bleiben wir ihm treu im Glauben, bleibt auch seine Verheißung bestehen. Sieh, o Mensch, die Gnade Christi gegen dich. Noch treibst du in der Flut des Erdenlebens, und schon erfreust du dich des Besitzes im Himmel. Dort nun soll dein Herz sein, wo dein Besitz ist. Das ist die Ruhe, die den Gerechten geschuldet, den Unwürdigen verweigert wird. Darum spricht der Herr: „Wie ich geschworen in meinem Zorne: nicht sollen sie eingehen in meine Ruhe“ Die nämlich, welche „die Wege des Herrn nicht kennen“71, werden in die Ruhe des Herrn nicht eingehen.",383,de
